forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:17:56+00:00,2025-11-05 00:00:00+00:00,6.830519,6.924738,6.151683,6.1305785,9.504273,8.654986,3.8773184,7.653705,11.384198,11.753876,26.82906,33.326744,34.298386,25.603062,25.671307,32.042023,30.25928,29.01743,24.946726,19.969458,17.238699,17.114204,15.937878,13.1041975,10.390226,9.746631,9.983106,9.085988,9.686609,9.826088,11.753877,9.885262,11.177405,10.636766,10.041354,12.605142,12.24,11.879999,9.0,17.208603,24.363249,24.696102,20.88,25.40743,23.993399,17.373497,7.072878,11.901798,19.813087,22.33161,18.043148,16.267857,18.331741,17.581125,16.09969,16.071491,18.58451,21.385939,22.97522,23.966375,21.068459,22.238562,22.33161,26.525429,27.820337,25.050413,21.749481,20.037485,19.995398,20.00512,17.654688,10.514218,9.19939,5.4477882,3.096837,9.793059,11.874544,13.363711,13.32,16.263872,16.862455,17.072504,14.88242,13.608762,14.291592,12.594856,12.303366,26.28986,32.59939,34.201893,36.424103,38.006863,37.648838,37.064266,33.497414,30.903435,29.88,34.03476,32.399998,31.810638,29.601109,26.836306,23.857979,21.96295,20.880001,19.881649,20.907913,20.163212,18.374111,15.4800005,12.964998,19.469976,18.129137,15.905319,15.226764,13.441071,11.659777,9.779817,7.771331,7.8954163,7.968939,6.489992,8.089993,11.5199995,13.138765,13.5515,14.039999,14.33234,14.33234,14.512064,14.799459,15.542662,16.167967,17.418196,18.837322,19.171478,16.80857,13.584932,11.525623,10.08,9.255571,7.42159,3.671294,2.9024127,6.6185193,8.473393,10.105681,11.620809,12.24,12.496718,13.044722,13.392774,13.324863,13.551501,14.021525,14.76439,15.546833,15.815435,16.08761,16.870138,18.161278,19.734436,20.523157,20.018072,19.008545,17.283749,15.0038395,12.57426
2025-11-06 01:02:07+00:00,2025-11-06 00:00:00+00:00,10.028439,10.739833,9.726665,8.707237,9.360001,9.19939,8.435069,9.021574,9.585739,11.384199,11.304229,12.620554,13.849476,13.039754,11.966954,16.645864,25.567604,25.862436,23.441502,18.25026,13.276144,15.905319,18.03237,11.792404,7.2359104,9.339208,9.007196,11.720751,14.003028,22.226902,25.744402,26.420174,27.77838,21.629978,17.399586,15.629971,12.10157,13.202726,12.57426,12.015589,5.4833565,1.484318,6.28713,14.408997,12.904882,9.826088,7.5942082,3.563818,4.3349743,9.346143,13.084402,14.685176,14.578888,14.81259,11.631956,13.679999,14.973576,14.934577,13.202726,14.386494,13.363711,15.192682,21.470612,33.893574,38.90166,34.213257,36.35109,39.003136,39.658867,40.417915,36.158054,34.07091,27.25559,42.155373,36.44722,32.686733,33.202072,30.018473,29.598919,29.024128,28.739187,27.402597,24.798225,20.696085,18.448023,18.671474,22.206486,28.883131,28.66694,26.987997,26.33911,25.630886,23.087763,21.605999,19.914217,14.494192,10.086427,9.178235,8.287822,7.771331,6.12,5.1919937,1.835647,6.28713,9.0,9.885262,10.805998,9.83268,11.525623,13.722565,14.764389,21.986542,24.863468,27.419146,29.275326,27.14123,23.358423,19.969458,17.414474,15.034041,14.512064,14.869351,15.542662,16.394829,16.58346,17.49615,18.075441,18.391737,18.289274,17.974781,17.906157,17.414474,17.068707,16.42247,16.1198,14.799459,13.397612,12.9249525,12.783802,13.18308,14.408997,15.84409,14.264361,11.384199,8.891343,7.6367526,7.289445,6.6087217,5.8603754,6.151683,6.849467,7.5685663,9.178235,10.587918,11.269782,11.503113,11.620809,11.966954,11.620809,10.829958,8.942214,8.654986,8.647496,5.0528407,0.8049845,4.1046314,4.0249224,3.8939953
2025-11-07 00:59:47+00:00,2025-11-07 00:00:00+00:00,12.413477,12.55879,10.009036,8.854829,13.363711,16.610792,18.089775,19.66536,19.855558,16.42247,20.771093,21.407139,17.917007,21.629978,22.805367,21.749481,20.892412,20.892412,15.629971,14.799459,13.854155,10.948973,9.605998,10.137692,9.339208,4.3349743,10.538843,6.5693827,6.8399997,6.439876,8.311245,6.489992,8.699793,6.28713,5.506941,12.10157,19.917469,34.247337,28.19285,30.37683,33.96233,37.330803,42.021423,37.419224,37.29086,38.848316,38.803257,31.003918,31.035257,30.78368,32.058193,28.467329,25.199999,29.528778,28.856194,26.220753,23.452555,20.082708,17.873556,14.759999,13.493999,12.074766,10.661107,19.296133,23.73271,25.006397,25.364037,26.437336,25.006397,25.006397,23.576563,18.057508,12.496719,11.4862,11.304229,10.464797,8.825508,6.924738,6.924738,5.5887027,10.315115,9.693296,10.163227,11.841756,12.144331,14.145756,15.517629,21.9718,25.982424,27.51116,29.09103,28.348713,26.282463,24.315327,20.46941,15.745627,16.93531,16.394829,16.418526,17.447933,17.873556,18.709612,18.723461,19.64228,18.668005,17.595861,16.595179,16.179985,16.171976,16.263872,16.78156,15.629971,17.826363,18.59845,19.562946,19.523155,18.0036,15.683776,13.237039,10.703569,9.339208,7.771331,6.12,4.452954,3.0758414,1.1384199,1.1384199,4.5536795,8.311245,11.043261,12.768586,13.708391,13.53236,12.768586,11.792404,11.440978,10.8955765,11.609651,11.966954,10.805998,9.255571,9.0,10.440001,12.324414,13.397612,12.6462,12.57426,12.819235,13.237038,13.551501,13.18308,12.10157,10.636766,9.793058,9.605998,9.605998,9.531505,8.759178,7.6367526,7.5942073,9.0,10.853866,12.7279215,13.910169,14.84318,15.192682,15.273505,15.119999
2025-11-08 00:54:35+00:00,2025-11-08 00:00:00+00:00,6.638072,7.5170207,7.5685663,8.587338,8.714677,9.422101,7.6367526,6.439876,4.802999,13.358861,8.557102,13.5515,31.875755,31.712711,30.96837,33.549606,32.44996,33.3559,36.23861,36.204617,34.292717,33.64989,31.079075,23.871555,19.829433,24.216522,28.496904,20.06334,13.584932,14.081477,13.138765,10.587917,12.074766,14.05845,17.294992,15.683776,10.703569,9.6932955,10.1376915,17.673029,22.963936,27.820337,31.722921,23.400002,23.34455,23.795427,22.782625,18.391735,12.768586,12.496718,11.792404,10.630672,10.144082,9.826088,5.5887027,5.2416787,3.6179552,2.6208394,3.7585104,4.6800003,8.350138,10.028439,10.966713,14.707222,18.345877,22.148045,24.48,24.863468,24.162945,23.535301,22.505037,18.089775,17.654688,18.58451,22.027763,24.490587,23.933907,22.963936,21.99538,22.702845,21.67487,20.767975,19.296135,18.11841,17.148247,16.171976,14.759999,13.979871,15.192682,22.89611,21.398056,22.104116,22.104116,20.991426,17.917007,12.682018,10.685391,7.42159,6.0347,7.145796,3.7064266,1.1384199,3.0758414,6.763786,10.233123,10.514218,8.435069,9.021574,10.08,10.739833,12.096214,11.885453,13.1041975,13.698934,13.75558,13.1041975,11.923557,11.457958,12.287555,13.570615,14.934577,15.629971,16.171976,16.279802,16.516901,16.418526,16.24394,15.683776,15.188415,14.764389,15.124284,15.496736,16.263872,17.518356,19.0392,20.730501,23.34455,26.064596,27.217524,24.72495,20.390114,16.992609,14.689588,12.768586,11.457958,10.948973,11.480557,11.988594,13.246826,15.192682,16.279802,16.08761,15.580141,15.379206,15.141414,14.33234,13.570615,12.313893,11.304229,10.853866,11.090103,12.245293,13.779114,14.618837,15.546833,16.055355,16.075521,15.978484
2025-11-09 01:00:38+00:00,2025-11-09 00:00:00+00:00,22.380884,24.842607,27.475807,19.917469,19.110542,25.050413,27.021591,26.67889,24.336637,27.0,24.031178,17.727943,18.455048,15.509274,15.463246,25.630886,30.096085,31.259945,30.77105,30.36403,30.413074,28.910038,26.368616,21.96,14.471821,11.542478,11.440978,10.365251,8.12197,7.5942073,10.853866,9.726665,6.6185193,9.531505,9.904906,7.10031,7.208994,0.8049845,2.6208394,3.96,9.779817,14.759999,14.404499,26.220753,26.6327,27.155552,23.863409,18.014393,17.811815,18.899143,24.031178,25.20257,23.933907,22.79684,21.933426,21.434364,20.46941,18.723461,18.11841,18.328207,17.388409,16.327497,15.941944,13.75558,16.73516,17.786331,12.0694,19.0392,22.101183,19.06301,15.137133,13.32,15.7908325,14.512064,12.24,10.464798,8.707238,9.007196,4.802999,7.8954163,6.696387,6.6087217,8.669949,9.360001,7.8625183,9.605998,11.019764,8.587338,11.090103,14.145756,18.0036,19.245697,20.598795,21.26744,19.201874,15.893093,16.055353,16.071491,16.766108,17.208603,18.25026,18.861387,18.129137,17.654688,16.700275,15.5843,16.75064,14.869351,14.685176,14.205182,15.84409,15.4800005,17.643673,19.443333,19.803272,20.892412,22.007162,21.746504,19.64558,16.904673,15.629971,15.815435,16.363178,16.489416,16.299694,16.45007,16.171976,15.328561,14.764389,14.081478,13.397612,12.6462,12.620554,13.684735,15.124284,17.313717,20.833395,25.171696,29.157776,31.82082,34.03476,35.31121,35.50155,34.76377,34.895866,37.834267,42.24443,44.57172,42.626186,37.731365,33.342297,29.74306,26.089443,23.051247,21.175837,19.694992,17.10284,13.493999,11.27553,11.770403,15.7908325,25.210283,33.549606,37.50225,40.165417,40.32321,35.757988,28.623962
2025-11-10 01:03:26+00:00,2025-11-10 00:00:00+00:00,10.594036,8.699793,9.504273,8.557102,8.049845,6.28713,6.849467,7.8625183,10.24578,8.707237,1.8,1.4399999,1.8,6.379216,8.707237,11.183201,15.725037,15.484185,15.188415,17.731598,19.296133,19.64558,19.164719,14.404499,14.84318,11.440979,11.753877,10.30883,7.8954163,6.9899354,8.4042845,6.9247384,7.127636,10.365251,11.770403,13.797913,14.003029,13.75558,14.917212,16.78156,21.370783,27.212759,25.284714,22.206486,22.702845,24.648829,20.545246,13.684735,12.224107,10.948973,8.647496,5.95906,5.1544156,3.219938,5.495161,6.618519,7.8954163,8.913181,6.638072,8.534353,10.239453,11.609651,9.83268,10.587918,13.1041975,16.24394,17.935081,20.774214,21.707731,22.963936,21.129883,19.353138,16.78156,17.58481,19.855558,22.79684,24.606731,23.83896,22.963936,22.033648,22.346113,21.647945,20.929596,20.188908,19.469976,19.134262,18.806337,20.5484,23.762726,22.065973,19.829433,19.134262,16.516901,12.245293,9.107359,8.287822,8.759178,7.928178,7.2359104,5.8048253,8.12197,9.585739,10.97262,10.691453,9.793059,7.928177,8.4963045,9.9571085,11.27553,13.276144,14.05845,14.003029,17.935081,20.570463,25.864943,28.856194,30.77105,33.326744,37.35683,41.616997,43.09487,38.64764,31.018547,26.111792,25.323128,26.525429,27.682571,28.357857,28.916763,28.119204,25.38702,21.175835,17.917007,18.581022,21.437386,21.096123,17.208603,25.43802,36.939926,42.444897,43.763325,43.9436,41.899426,38.175278,35.457714,35.65454,37.003025,37.77256,37.67637,37.14286,37.10795,36.409866,35.69632,35.309376,35.221176,35.384537,35.9153,36.17955,36.869694,38.741417,41.77396,45.823345,48.58266,48.312485,45.74267,42.53488,38.545227,33.851486
2025-11-11 00:58:35+00:00,2025-11-11 00:00:00+00:00,15.379206,14.277983,16.485485,12.904882,12.496719,10.538843,10.661107,8.587338,8.647496,12.864649,11.966953,12.620554,14.986553,12.218805,15.856354,17.10284,23.277834,23.73271,18.837322,19.08,22.288042,24.819122,19.809813,12.605142,13.237039,14.20062,11.609651,11.212135,9.693296,5.315336,4.8965297,8.049845,9.028754,9.339208,10.805998,10.00256,9.726664,6.9527545,7.491114,3.219938,3.396233,5.154415,10.823973,22.253124,23.893261,23.576563,22.734219,19.469975,16.58346,17.22742,17.992796,22.657131,24.1388,21.96,18.888851,17.373497,16.215992,15.124284,14.764389,14.764389,13.698934,12.849528,12.682018,11.901798,11.570515,10.086427,10.1376915,10.390226,10.703569,11.726277,11.298495,11.91812,12.72283,11.91812,10.495713,9.779817,10.1376915,9.178235,8.12197,6.87779,4.68,3.6,0.5091169,2.3051248,4.1046314,5.495161,7.968939,6.28713,8.891344,11.631956,14.578888,15.484185,17.114204,17.811815,16.965895,16.179987,16.595179,16.29174,17.786331,18.472595,18.899143,19.829433,21.129885,23.023119,25.984917,25.43802,24.633049,22.238562,20.608229,21.288757,23.683512,24.967499,28.357855,30.7542,30.599998,30.173496,28.467327,26.564486,24.248613,22.104116,21.26744,21.707731,22.42427,22.725668,22.682856,22.7057,22.065973,20.275383,17.731598,15.546833,14.154915,13.493999,13.910169,16.343367,20.211363,22.7057,23.0653,22.346113,20.907913,18.391735,15.463244,13.797912,18.837322,31.569351,38.457703,31.037344,17.072504,6.618519,6.130579,11.874544,16.327497,16.263872,15.745627,17.31746,22.086521,27.504095,30.453527,29.301876,30.760519,34.57687,36.06115,35.455887,33.818928,30.993471,27.0,23.686249,20.371038,17.10284
2025-11-12 00:59:48+00:00,2025-11-12 00:00:00+00:00,11.177405,11.119281,10.086427,8.78872,7.072878,0.71999997,1.9386592,1.1384199,6.162207,9.904906,10.495713,10.990322,9.449572,7.289445,4.198285,0.8049845,3.7585104,9.007196,18.057508,20.163212,21.96,22.007162,19.829433,13.493999,12.641076,13.1041975,13.5515,13.1041975,13.207634,12.783802,13.441071,13.084402,10.086427,11.440978,9.659814,10.390226,7.9526596,3.9763298,7.9932976,8.891343,9.826088,7.5685663,7.2805495,6.924738,5.4119864,4.0249224,4.3498964,6.9247384,10.308831,11.165805,9.565437,9.290511,7.127636,8.287822,8.905908,8.350138,6.87779,7.8625183,9.47012,9.114471,9.3669195,8.669949,6.9899354,5.4119864,3.6,3.319036,5.8048253,8.350138,9.0,10.538843,11.525623,13.722565,14.764389,15.158522,13.910169,13.358861,14.84318,12.904882,12.413477,11.808878,9.511088,10.086427,9.746631,9.885262,10.086427,10.086427,12.783802,10.691453,11.592895,11.304229,17.654686,20.12461,18.892282,16.78156,13.246826,10.703569,11.246759,9.83268,10.661107,11.440978,13.276144,12.661564,12.6462,11.720751,10.630672,13.207634,13.276144,14.081478,14.205182,12.682018,12.620554,13.627795,16.1198,15.575981,15.530151,18.504139,22.288042,24.696104,24.344624,23.507751,22.768396,22.657131,23.847115,24.288662,22.314192,23.000591,27.105392,30.821552,33.47032,34.05379,32.47192,30.244286,29.548521,30.261421,31.63087,33.371437,35.261627,37.10795,37.87535,38.67278,39.39986,39.55743,36.932915,32.32992,28.551426,27.359999,27.117346,26.576681,25.153671,23.219301,21.349546,19.134262,16.954432,15.137133,14.044615,13.324863,12.287555,11.043261,11.019764,11.183201,10.483357,10.105681,10.829958,12.387348,14.003028,15.192682,15.0038395,14.372974
2025-11-13 01:15:18+00:00,2025-11-13 00:00:00+00:00,11.923557,11.966954,13.513193,12.738099,13.551501,12.287555,12.43434,10.028439,9.028754,8.707238,8.473393,7.9036193,8.557102,9.422101,4.3498964,5.8048253,14.277983,15.077082,11.928989,13.75558,13.75558,13.722565,11.966953,6.519877,10.495713,7.928177,3.6,2.0364676,2.5959969,5.4477882,7.5942073,10.041354,12.303366,10.787993,9.531505,9.028754,9.793058,11.043261,9.0,5.5887027,8.4042845,5.4477882,5.3517847,9.9571085,12.261158,14.471821,15.273505,15.03835,15.815435,14.113653,13.32,13.004921,13.797912,15.03835,13.708391,12.229406,11.609651,10.931203,10.105681,10.661107,11.304229,12.641076,11.726277,10.703569,13.708391,14.404499,15.034041,17.673029,19.809813,16.516901,12.879752,12.313894,14.529915,14.565548,15.021105,16.80857,15.986593,15.629971,15.629971,14.33234,13.722565,12.661564,11.792404,14.154915,13.450708,13.202726,12.324414,18.532133,21.068459,22.238562,21.599998,22.148046,22.322903,23.363974,24.57511,21.924562,18.472595,23.507751,27.217524,27.103003,24.693481,27.0,31.485083,33.696075,31.883888,27.897097,22.55106,18.733839,19.107151,28.551426,31.319998,29.28418,31.796375,32.19938,30.652895,28.808998,25.721743,23.157824,21.758419,21.068459,19.66536,17.388409,14.386494,12.599998,12.496718,12.984975,13.004922,11.480557,9.449572,7.928177,7.9932966,8.39657,9.028754,9.531505,10.464798,11.043261,11.304229,12.181624,13.779114,15.745627,17.339897,17.731598,15.042659,13.783817,15.646544,17.727943,20.390114,23.051247,24.881702,26.250393,26.882141,26.415268,24.627787,22.963936,21.046917,19.211996,18.511143,19.64558,22.26477,24.448214,26.476522,28.528723,29.947151,30.430117,30.302078,29.723444,27.859905,26.282465
2025-11-14 01:00:16+00:00,2025-11-14 00:00:00+00:00,11.090103,7.9526596,6.489992,3.563818,4.3498964,9.007196,10.594036,12.144331,12.57426,13.084402,14.05845,14.05845,13.5515,11.659777,11.720751,12.245294,17.294992,16.454008,10.308831,9.422101,13.044722,14.707222,13.627795,10.464798,10.446206,7.072878,8.39657,7.386582,7.7879906,4.68,3.8939953,5.3517847,10.495713,10.446206,9.983106,9.904906,11.753876,9.885262,17.026896,18.709612,31.09575,29.69727,24.482647,29.775719,26.299719,23.683512,19.721298,13.237039,13.049689,12.783802,13.246826,13.584932,13.37825,12.9249525,12.429127,11.885453,12.964998,13.556282,13.684735,12.387348,13.044722,11.988594,12.261157,17.610588,19.373219,22.45315,23.233252,23.979893,24.826954,25.959969,26.562046,23.277834,20.65848,24.863466,27.859905,28.394392,28.006056,29.533169,31.072817,31.205997,34.57687,32.151043,30.918108,27.77838,22.26477,19.959719,16.981165,18.075441,18.35647,29.627365,32.33193,32.142982,29.478264,27.804028,26.368616,25.744402,25.11758,23.34455,19.272614,16.87398,14.565548,13.551501,13.18308,15.696165,17.713316,16.78156,12.819235,12.031756,9.422101,8.404285,9.387651,12.496719,13.441071,13.527572,13.608762,15.7908325,17.935081,19.296135,18.218275,16.323528,15.281989,16.992609,20.00512,22.065973,22.288042,22.104116,21.166653,19.09358,16.323528,14.336861,13.608762,13.551501,14.336861,16.199999,18.171976,20.497883,22.7057,24.821732,25.862436,24.482647,22.206486,19.813087,18.472595,18.089775,17.581125,16.563911,16.299694,16.394829,17.518356,19.09358,19.803272,18.72346,16.343367,13.138765,8.759178,7.5685663,11.659777,15.978484,20.188908,23.4,25.711662,26.932714,27.959743,27.943514,27.492311,25.812277,21.437386,15.281989
