forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:17:55+00:00,2025-11-05 00:00:00+00:00,238.24055,270.0,296.56497,231.34016,36.86999,148.39255,360.0,310.60123,323.13,280.954,342.64587,275.04236,334.98312,357.33707,9.605136,13.46523,17.102825,17.037857,29.147985,30.784075,34.286938,39.6678,45.909298,46.73567,50.906155,79.50858,72.89719,87.70944,132.5104,125.21768,119.4758,122.27562,92.86235,115.55992,127.694305,128.65984,127.694305,131.98714,154.44008,168.9591,188.88058,197.24155,201.80147,193.39252,197.81898,214.62422,223.7812,191.68935,193.57045,207.3498,223.83095,260.78903,257.3196,272.66293,281.82147,279.86575,289.3846,301.26367,306.52896,310.69543,318.14505,319.28925,328.70703,335.63754,336.0375,340.60208,336.0375,332.3541,324.86572,315.67395,313.2101,303.6901,293.9625,291.03757,284.6209,279.46225,243.43501,230.52757,202.6199,203.6294,209.0545,209.93143,215.53777,225.8813,240.2552,241.55717,266.186,303.6901,318.05878,321.7795,321.24188,322.53937,326.73856,324.5246,327.2315,325.40765,338.9624,343.8107,347.77487,348.4862,351.79288,353.22443,352.80084,351.5967,348.40787,348.40787,348.9965,344.5213,340.70987,334.3232,325.4374,330.85202,330.12408,327.87503,325.37576,325.0079,324.9041,324.78232,324.46225,323.97253,319.0857,306.86996,280.30478,251.56496,233.74606,224.9999,222.39738,220.0302,221.18582,219.80553,218.36752,216.86998,214.69522,213.6901,214.43904,213.02386,209.60435,206.0753,204.17911,205.60214,207.55272,207.5972,200.85454,189.92618,181.5074,181.54813,187.90707,192.875,196.85847,200.55612,205.01686,208.1785,210.65059,213.17853,216.15828,216.52895,217.18478,214.8754,211.18492,210.57915,212.61923,216.20955,218.07283,220.27979,222.79738,223.26433,219.47243,211.90807
2025-11-06 01:02:04+00:00,2025-11-06 00:00:00+00:00,41.63345,46.54811,67.3801,60.255207,82.875084,121.42952,104.03627,143.13002,135.0001,112.24908,124.286934,122.61923,122.1957,132.13753,131.18582,161.0295,189.46225,194.93147,190.9806,205.38786,208.88649,222.61401,233.3438,218.991,245.55606,287.81897,287.1028,290.55612,308.15726,325.78424,294.44394,290.13638,299.29126,292.24908,292.93213,298.30066,284.93146,276.11542,287.74475,302.7352,299.98157,292.751,281.00348,319.89914,318.91833,310.8553,309.61066,303.6901,291.80148,283.24054,255.96373,229.39879,209.24873,209.19739,209.0545,204.10223,204.67685,210.69965,214.77791,210.96368,223.45189,237.38077,257.38068,288.43503,310.76352,327.62823,333.01984,330.64233,328.1576,321.61343,319.63553,323.97253,312.5104,333.88614,333.43503,332.50723,336.34198,340.6409,347.52094,350.9286,352.30405,352.80084,349.9507,344.43842,347.3196,345.5792,341.56494,341.56494,340.14468,335.11966,334.79892,332.41806,332.41806,334.79892,334.53668,332.44727,328.4958,330.9455,327.38077,330.01843,346.50424,353.6599,351.2539,3.179772,9.462248,14.036275,50.194473,135.0001,188.74608,189.86574,184.57384,181.9091,191.30989,195.46127,190.88548,195.17297,198.9705,199.21277,191.49654,175.33322,162.3498,165.96373,173.85347,180.0,184.5139,189.21095,193.65044,197.40279,201.16133,204.14554,207.40749,210.61853,215.16652,220.23628,225.83023,232.65057,239.23735,244.44008,249.04414,255.32356,264.80566,277.4313,300.25635,360.0,33.6901,26.564985,11.76827,6.581848,14.743609,44.999897,82.875084,44.999897,315.0001,306.86996,306.86996,360.0,120.96369,123.690094,315.0001,284.03625,198.43504,169.99208,170.53775,182.29056,204.44394,219.80553,227.12111,232.12495
2025-11-07 00:59:44+00:00,2025-11-07 00:00:00+00:00,275.35574,283.49576,282.99463,290.3232,281.68933,304.69522,303.6901,299.98157,301.8274,289.6539,289.0257,300.25635,316.73566,271.78986,303.6901,325.4914,330.6901,328.73633,323.8067,325.0079,312.5104,307.87503,296.56497,287.52567,270.0,261.87,270.0,270.0,180.0,84.805664,176.6336,180.0,84.805664,47.290634,312.70938,232.25313,266.00916,315.57864,323.70728,323.37857,329.03632,323.36578,318.01288,330.64233,325.45984,320.58264,313.26434,326.97614,346.25092,340.65558,345.9637,351.36295,352.04257,349.931,350.9098,350.23828,348.5507,348.11136,349.28693,346.8094,347.4712,343.11313,344.05453,353.7366,354.93646,352.40543,348.5305,345.5792,346.15927,346.75946,345.9637,347.73523,343.8107,338.5522,344.93146,349.50858,340.8209,342.34976,351.4693,344.47583,345.9637,343.3007,338.19852,246.80138,234.46223,224.9999,212.47118,197.87878,191.88864,196.58742,197.10281,195.33334,196.62083,199.14822,192.26476,185.96439,170.38034,173.82993,179.31796,184.6,190.19144,195.42223,198.83853,203.28609,204.67685,209.12396,214.54843,217.95428,222.82524,226.5911,235.95401,240.80261,266.82022,282.09473,299.4758,319.89914,343.0724,354.55975,345.9637,210.96368,202.6199,208.1785,217.87505,224.9999,231.07245,238.39255,248.19853,258.6901,270.0,281.3099,291.80148,300.96368,312.27362,327.38077,342.75845,1.8475709,24.304548,44.999897,55.304783,60.1012,62.818974,64.79892,65.55606,63.435013,64.8852,70.559875,78.996506,85.4861,91.50741,99.46225,104.420815,107.92801,108.970505,113.42871,121.26367,130.0302,136.2188,136.2188,135.0001,138.81418,151.92761,166.67546,177.39749,183.73132,189.65982,193.44862,192.80426,189.46225
2025-11-08 00:54:32+00:00,2025-11-08 00:00:00+00:00,293.9625,218.65984,233.13002,194.03627,135.0001,118.072395,83.99109,123.690094,83.29026,147.72438,326.3099,276.3401,281.0937,290.95584,306.20953,320.90613,322.92685,319.1447,321.61343,312.9691,315.72513,320.12823,322.56833,326.12143,327.05078,332.31903,328.44867,329.03632,331.33615,332.44727,332.1028,335.4926,340.3958,348.42484,349.82455,356.72958,340.11475,346.2005,1.4144003,360.0,359.326,353.36758,351.2539,346.71512,345.774,345.774,349.01938,352.87506,1.6846573,360.0,360.0,351.87,347.4712,344.3577,350.8377,358.21014,360.0,357.79745,353.6599,347.19574,332.24155,320.1945,335.22488,327.99466,251.56496,193.24052,195.6423,194.93147,194.03627,194.62091,194.99513,183.50346,167.19574,169.07724,175.91446,180.71614,183.21542,187.04567,191.05637,197.00803,200.70912,204.49857,209.39595,213.4763,217.72505,221.18582,221.71066,226.46873,244.98314,246.44772,279.46225,320.59937,347.4712,1.5481218,1.9748993,180.0,207.75845,235.0079,279.86575,293.49857,311.63345,342.34976,1.9748993,355.23645,349.04596,342.64587,335.69547,340.0168,349.28693,2.93562,12.528798,23.552286,35.706783,30.963696,25.820946,27.40749,29.475794,35.837746,53.74608,80.53775,104.03627,121.42952,136.8476,150.2552,156.2505,160.34608,163.81073,169.6952,175.101,178.45187,178.4926,178.4926,178.56793,181.24533,183.17976,186.54619,191.14285,196.69933,201.52266,208.24963,216.25392,221.03525,218.51695,209.60435,203.02553,207.824,220.15593,228.81418,233.13002,235.40765,237.26477,236.76828,235.88548,236.3099,239.03632,242.176,242.81897,240.42226,234.46223,231.14662,229.63554,229.08571,228.73149,226.80872,224.9999,221.34767,214.69522,206.99576
2025-11-09 01:00:36+00:00,2025-11-09 00:00:00+00:00,337.3801,343.16245,339.07544,338.34393,345.25638,354.7262,7.6505675,0.7345097,354.4946,353.04715,348.17853,349.90256,348.40787,348.84537,354.4471,357.73953,358.5498,353.81146,347.70474,345.4655,344.05453,344.8047,346.84244,348.6901,356.6336,4.763556,5.4402504,354.2895,329.9315,324.46225,329.42084,313.26434,305.53775,323.61554,315.0001,310.2363,283.24054,295.20108,303.6901,360.0,337.6198,291.80148,270.0,195.25517,194.03627,194.30031,196.96623,187.66672,171.52895,172.64772,176.02759,180.0,181.93054,187.76508,191.57516,195.48856,197.35411,200.04533,204.88034,206.56499,213.94363,209.14798,217.95428,218.51695,231.89238,261.1797,288.77814,301.75943,319.7637,338.6293,350.31128,351.4693,291.80148,257.00537,301.75943,308.15726,348.6901,357.79745,356.0549,353.4803,339.6768,330.75128,334.35904,342.25522,342.47433,3.8140097,329.03632,291.80148,135.0001,153.43501,159.14546,168.69011,178.0909,181.78987,176.42374,166.75948,171.11942,177.06439,181.39716,182.86235,185.85593,188.53069,185.5721,184.28908,178.53123,180.0,176.906,180.0,180.0,181.46877,188.32556,190.1246,191.30989,190.92276,191.88864,191.88864,192.09474,191.30989,186.58185,180.0,174.80566,173.21112,175.81517,177.13765,178.53123,178.4926,176.906,172.30405,166.32867,162.03076,158.74942,156.19405,155.43285,158.68202,163.30067,167.57407,171.51114,174.5963,177.85246,181.38033,184.76355,186.55685,184.2141,180.0,178.4926,180.0,182.46806,185.41693,187.65762,189.76662,192.12708,194.27255,197.10281,199.88525,202.71445,205.3777,207.21602,207.29948,206.14677,208.52303,218.08882,232.35231,255.2564,299.93143,336.0375,346.293,345.14133,340.75803
2025-11-10 01:03:23+00:00,2025-11-10 00:00:00+00:00,346.50424,328.5705,327.72437,322.12494,334.53668,355.76367,339.44388,319.89914,311.42358,318.36655,320.52756,324.46225,290.55612,296.56497,287.3541,322.12494,311.18582,282.5288,284.03625,217.87505,201.25058,191.30989,190.71307,186.70975,163.30067,159.67677,157.8336,166.42955,155.55606,113.49858,104.5345,96.581856,111.03758,100.88548,109.98319,130.36446,140.71062,137.72638,106.699326,300.96368,288.85324,309.66782,320.63068,341.1138,1.397161,8.325568,18.435053,163.30067,253.30067,299.0545,323.61554,5.19435,22.61991,8.746089,356.42374,349.99207,342.12122,332.6502,337.249,338.19852,336.8014,345.9637,6.842679,25.463305,41.00899,61.821507,81.46932,98.530685,127.875046,145.71307,142.76509,138.65233,144.46223,154.98314,157.01126,166.37299,177.13765,176.09958,177.45525,175.23645,177.95464,182.20255,184.66678,180.0,174.2895,173.92764,177.7543,180.95482,186.14653,188.48886,187.76508,187.65056,184.76355,185.6175,184.92702,181.21884,169.56258,165.5792,168.69011,172.87508,174.4279,177.13765,181.5074,178.4926,175.4861,176.6336,176.53185,178.15244,176.30869,168.3664,170.27249,176.6336,174.68555,169.3804,165.4655,171.86998,178.40889,181.45018,177.17294,170.19397,167.10626,172.40544,180.57292,185.81554,187.92065,188.4612,189.16228,190.06062,190.3048,190.47418,189.61966,187.85323,186.50552,185.1478,183.70836,185.04236,190.6196,199.9832,213.6901,253.49556,307.30402,324.51993,329.3494,331.27396,332.74475,333.67175,334.17905,333.6874,332.18967,330.0544,327.60864,323.93552,320.1945,316.6748,313.34454,310.3998,307.794,306.40417,305.2631,305.37485,307.13605,309.37756,310.73203,310.1172,308.72568,308.18182,310.55252,314.6726
2025-11-11 00:58:33+00:00,2025-11-11 00:00:00+00:00,156.57129,156.80139,157.93205,164.24876,155.69547,149.62096,124.82456,128.92755,116.56499,128.2902,137.4896,120.963684,129.80553,324.46225,316.5481,289.44012,317.5638,334.35904,338.19852,356.82022,10.437421,13.324542,8.130019,351.02744,336.8014,322.59457,310.81497,292.93213,305.31128,298.4428,297.47433,297.4075,301.60745,303.11136,299.4758,302.61923,295.5599,294.44394,292.24908,279.46225,224.9999,95.19434,142.43134,162.18102,158.83867,154.05775,160.1447,162.12122,167.27565,172.30405,176.98727,185.7105,182.79265,182.66295,181.273,178.85426,181.16911,180.0,183.46815,183.57626,178.36346,183.094,183.094,190.53912,197.28159,196.82149,196.26028,198.06056,197.19862,194.38142,183.46815,173.29025,175.36462,180.0,184.5139,190.43742,197.44728,204.44394,208.88649,212.61923,216.02747,220.91429,245.22488,235.0079,153.43501,135.0001,143.13002,147.72438,147.38077,145.84026,145.49142,147.42595,150.57263,153.43501,153.43501,152.74475,163.44286,170.07382,174.14407,174.4279,175.71092,170.75397,168.69011,174.03561,181.45018,186.41869,187.64032,187.03784,191.1738,194.67644,196.04001,197.15251,202.03629,206.8219,207.29948,208.78651,209.9621,208.51115,202.93213,194.21588,187.49576,188.13002,191.30989,194.03627,196.97559,200.62996,204.38637,206.22191,207.3238,206.99576,204.44394,198.92474,190.95403,186.3401,185.07951,184.48453,183.3664,182.3859,178.727,170.9606,160.76924,152.4028,145.24402,141.21562,141.7098,153.94656,204.77512,246.3706,237.99466,185.44025,150.01845,142.76509,140.71062,139.63554,135.0001,131.18582,129.55963,135.0001,170.53775,286.6993,316.9749,330.25522,331.1893,323.49847,317.00955,313.66785,313.5798,315.0001
2025-11-12 00:59:46+00:00,2025-11-12 00:00:00+00:00,155.55606,209.7448,217.56866,254.74483,304.9921,319.39877,319.7637,307.30402,305.75397,300.65057,305.31128,318.1799,306.25394,278.13,255.96373,206.56499,122.00535,116.56499,141.34016,159.44388,209.4758,212.82854,184.76355,149.42085,142.3057,158.19853,165.4655,167.19574,146.3099,149.03632,144.6887,128.04709,123.17853,123.17853,126.86998,124.82456,124.82456,127.694305,130.10085,146.3099,200.77234,201.5015,212.00534,201.37068,202.4428,202.24907,198.85326,192.99461,191.0409,195.37631,202.03629,212.90524,223.02507,221.98714,221.05472,228.23979,233.13002,238.73633,258.23172,257.19574,261.02747,262.40546,247.3801,221.98714,191.30989,177.70944,180.0,181.54813,178.53123,178.63611,182.66295,184.5139,185.85593,182.86235,197.10281,203.9625,208.61037,221.05472,222.79738,223.02507,233.13002,246.61476,252.47433,258.11136,261.46933,271.46878,271.5911,270.0,302.96942,311.18582,330.1012,336.8014,352.87506,2.6025116,17.241547,23.198618,25.114815,29.357658,31.827414,35.909817,44.999897,54.63746,67.3801,70.640915,57.528828,57.264786,70.1447,71.075264,74.054535,75.61857,81.25392,84.507774,88.9584,93.945114,97.59455,101.84206,106.18928,108.1528,107.175995,103.44863,98.13002,94.76356,93.945114,93.521385,95.355736,98.820305,101.72509,100.20392,96.203354,95.7105,107.35411,130.81499,165.96373,223.66785,253.49556,267.02634,281.441,297.672,310.91428,323.35425,335.647,344.5051,347.53506,347.10626,346.71512,346.56894,346.17133,345.74994,347.27563,348.87085,350.53775,353.23392,357.03912,358.9584,357.66275,354.55975,353.6599,358.31534,5.0423646,14.036275,28.178495,46.27295,61.113514,75.068535,94.08554,109.09359,113.962494,113.19862
2025-11-13 01:15:16+00:00,2025-11-13 00:00:00+00:00,140.44037,112.1664,114.62355,104.03627,105.945465,121.328636,113.49858,127.694305,133.60289,130.60121,136.8476,128.65984,119.74479,136.39711,173.15732,163.0724,197.10281,195.78082,198.85326,191.0409,191.59215,170.9606,169.82455,148.39255,142.76509,141.95291,139.18501,120.256355,113.962494,98.74608,99.46225,87.5105,96.581856,47.12111,21.801476,51.34017,141.34016,111.801476,249.44386,285.94547,277.1249,245.55606,210.96368,197.10281,192.33908,190.43742,187.30566,189.92618,193.39252,197.19862,203.70265,207.69939,215.53777,221.18582,219.47243,219.95749,231.34016,240.94548,246.61476,251.07526,270.0,281.6336,268.2101,295.27768,296.56497,320.33218,337.06787,346.4641,349.04596,357.03912,6.3401003,11.888645,10.539137,17.102825,25.277687,27.897186,29.197395,33.6901,40.9143,39.98684,47.20262,46.080845,48.366554,48.366554,55.407658,65.432846,61.92762,75.14134,79.69521,86.87794,93.12207,100.20392,106.26028,111.801476,114.70241,111.317986,109.290146,111.317986,113.55228,107.52566,97.43131,96.581856,98.914856,103.17256,100.12462,97.853226,97.001175,90.0,77.692,75.96373,63.435013,62.676193,54.9405,45.54559,35.537766,34.060966,34.07725,33.89621,31.920837,28.539894,26.564985,27.439646,28.30066,30.113651,30.784075,31.534754,33.023872,34.43906,36.253937,38.65983,40.814987,40.601215,46.54811,59.420856,74.931465,86.05489,95.7105,103.13403,110.13639,115.01687,119.53869,120.963684,120.37905,119.05451,120.96369,125.753975,131.34769,137.29063,143.13002,148.73633,153.43501,150.01845,144.6887,139.18501,133.60289,129.55963,127.23492,128.15727,131.18582,134.14499,138.09415,142.3057,144.6887,144.46223,144.46223,142.73352,140.6307,135.97093
2025-11-14 01:00:13+00:00,2025-11-14 00:00:00+00:00,160.9743,160.20103,162.3498,151.69934,84.805664,41.63345,93.814,135.0001,77.4712,75.96373,360.0,224.9999,149.03632,135.0001,350.53775,296.56497,278.74606,270.0,213.6901,184.39862,200.55612,206.56499,193.57045,180.0,153.43501,126.25393,120.96369,100.88548,66.801384,53.13002,14.931467,321.009,313.6029,312.1375,306.15826,284.03625,249.44386,310.2363,296.56497,306.86996,14.697369,22.01134,28.767557,354.36942,359.19308,5.3320737,14.470333,18.060568,28.495539,32.347424,37.568665,42.510403,50.194473,54.46224,61.92762,65.695465,67.24899,75.52967,74.74483,81.6342,84.644264,91.73567,98.13002,103.627014,106.821495,112.036285,110.28265,114.53771,117.51192,120.256355,122.79953,119.74479,115.40768,113.70266,116.56499,112.89059,109.798965,106.22027,103.24053,96.340096,95.7105,98.00464,96.41869,99.80603,102.042564,99.33492,102.63336,97.495766,99.18877,93.31772,74.66666,52.274952,39.44003,41.58333,37.405437,30.699654,27.349789,20.07162,19.057802,24.179106,24.537718,27.050516,30.784075,28.610369,29.29127,25.90646,24.443953,27.979382,35.909817,41.49638,39.289394,64.98315,68.19853,76.37299,86.63361,91.59111,95.85592,97.12492,94.39862,88.4089,85.101,85.23644,88.4926,91.43207,96.78888,102.80426,104.93147,101.821465,95.7105,90.0,88.45188,90.0,93.093994,97.12492,103.0919,108.06056,115.55992,123.6901,128.50069,129.6678,127.34943,124.04598,119.42737,114.34108,113.962494,118.52302,125.07384,133.02507,144.86572,156.2796,163.2287,163.83543,160.40762,157.21756,158.62932,160.76924,167.90526,178.727,189.46225,202.01134,221.63345,246.50142,267.03912,284.03625,297.47433,304.21576,307.614,310.23627
