forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:17:58+00:00,2025-11-05 00:00:00+00:00,5.5315175,5.010635,4.973617,4.924689,4.641804,4.432313,3.818553,3.3949382,3.377487,2.622287,1.1615524,-0.5552929,-0.42839512,0.53872705,1.9480507,2.9968677,3.2273319,2.9879944,3.622788,2.9586787,2.3479106,2.161779,1.7602063,0.81850135,-0.011390434,-0.4300905,0.035615657,-0.43414408,-0.38288122,-0.40911582,-0.22170979,-0.6513289,-1.2343048,-1.1379497,-1.2520335,-1.3972031,-1.4588343,-0.9893937,0.22386605,2.742261,5.1230154,4.8638926,4.229775,6.0041275,5.8240714,5.185414,7.5839834,6.5484776,6.582603,6.540669,6.381856,5.0145364,3.3039758,2.2437973,1.1391716,0.475623,0.14367238,-1.2866578,-1.9628285,-2.4734132,-2.7701209,-2.764127,-1.7087753,-0.3600562,-0.29059973,-0.49865848,-1.3086653,-3.4838245,-3.9387531,-3.980422,-2.928921,-2.0601337,-4.225518,-4.991772,-5.0998254,-5.4947095,-5.873162,-5.6013474,-5.562423,-5.0006013,-4.870123,-4.466537,-4.637287,-3.5382323,-2.7708478,-2.3532016,-1.4387199,-0.81749743,-0.52709395,0.2690657,-3.7550347,-4.8528614,-6.52485,-5.8738093,-4.215665,-6.014889,-5.6128964,-4.5742893,-4.637287,-4.166755,-5.6439834,-6.3676496,-6.9496417,-7.4465456,-7.958847,-8.704157,-9.263249,-10.309842,-11.765538,-13.030324,-14.26135,-15.731293,-16.869347,-17.847845,-17.796926,-17.961138,-17.771338,-17.524673,-16.540718,-16.001062,-16.240688,-16.839516,-17.4906,-17.847845,-17.575722,-16.925413,-16.349525,-16.086317,-15.7945175,-15.472697,-14.822102,-14.215792,-13.202269,-12.01286,-10.714612,-9.453662,-7.6352515,-5.8813934,-4.6445937,-3.9655197,-3.797989,-3.626182,-3.246945,-3.7551153,-4.18356,-4.170269,-4.1385384,-3.9134488,-4.1385384,-4.170269,-4.4411945,-4.57667,-4.3016267,-4.3469086,-4.482761,-4.5733337,-4.3016267,-3.5772266,-2.172767,-1.1471093,-0.24622393,0.015901873,-0.15673897,0.07200823,0.7820007,1.3165559,1.5897958,1.2218095
2025-11-06 01:02:10+00:00,2025-11-06 00:00:00+00:00,0.9441287,0.8918275,0.41125038,0.11924239,0.047480818,-0.14165804,-0.31770727,-0.4590088,-0.6555812,-0.768156,-1.1552554,-0.89232606,-0.20009659,-0.26141593,0.80616534,2.8712382,4.3062773,4.0976315,3.9606528,3.4716864,1.8284874,0.57078385,0.19081339,-1.7066414,-2.9292672,-2.1276994,-3.3181562,-3.8240345,-4.150841,-4.6270247,-3.4375741,-3.249962,-3.63302,-4.083165,-4.4308095,-4.191098,-4.390437,-4.71103,-4.086742,-1.4097414,-0.65252334,0.074597195,-0.83884114,-2.8868191,-3.0649831,-3.0649831,-2.143238,-0.8494683,-2.6885688,-2.9904568,-2.9692402,-2.903498,-2.3381155,-2.5571406,-2.8388739,-2.6182191,-2.1821518,-2.27674,-2.500268,-2.6267896,-2.2851443,-1.8222073,-1.5301529,-0.1845752,-0.47083113,-1.089565,-2.4176319,-5.191941,-5.5417495,-5.204323,-6.083667,-6.9345284,-6.5926127,-5.3191943,-4.9496474,-4.4549575,-5.4648113,-5.6261563,-6.18942,-7.367817,-8.111376,-8.517814,-8.797333,-8.884456,-8.976847,-8.847935,-9.542833,-12.7582245,-14.552975,-14.94759,-15.279251,-15.996763,-15.988418,-15.572643,-15.6557865,-13.866607,-14.877665,-15.267137,-15.347282,-15.428888,-15.925467,-15.8232,-16.173779,-16.01357,-15.952758,-16.322603,-16.787466,-16.612106,-16.787466,-17.017141,-16.738697,-16.001062,-14.67495,-12.817115,-10.160464,-8.459815,-6.4838223,-4.872236,-3.8582766,-3.25455,-3.447957,-3.4989707,-3.7255177,-3.8963332,-3.85046,-3.4376347,-3.3594964,-3.425717,-3.8065271,-3.9393976,-4.2154207,-4.5437584,-4.5651846,-4.238167,-3.209137,-2.3774655,-1.3747303,-1.0966464,-0.9728106,-0.11113499,0.71940815,1.282941,0.89874375,0.43672228,-0.49865848,-0.8539181,-1.4447644,-1.7335888,-2.0525136,-2.0685709,-2.2484922,-2.1585312,-2.2318916,-2.0525136,-2.2318916,-2.545843,-2.5009902,-1.9179887,-0.9317313,-0.035758052,0.60491496,0.98270947,1.211004,0.9158433,0.6449023,1.1941353,2.0460925,2.6671898
2025-11-07 00:59:50+00:00,2025-11-07 00:00:00+00:00,2.6718543,2.3916297,1.9739236,2.1978803,2.1536305,1.1423774,-0.47204447,-2.548345,-3.6250498,-3.3032253,-1.9243587,-1.3015822,-2.5929334,-2.0495868,-0.19917488,1.6382033,2.9421585,1.8555913,0.2522041,-0.82715344,-3.0553558,-3.5542176,-4.4128633,-5.555273,-7.039791,-7.303293,-6.6442294,-5.167981,-5.003855,-5.2539725,-4.8799486,-3.4783251,-3.249962,-2.7521718,-3.843846,-4.282394,-5.0422406,-2.5301058,0.8276848,2.012025,1.0515016,0.09702181,-4.5955577,-5.3308487,-6.3160963,-4.2684007,-4.172895,-7.1034493,-6.8698997,-4.781762,-4.1934156,-3.2431917,-3.1091678,-2.2827227,-3.5519187,-3.6911235,-3.8837388,-5.0905232,-5.5634685,-5.823052,-5.8808184,-6.1058617,-6.0234995,-6.4966874,-7.120353,-7.4162893,-7.9349637,-8.806437,-9.74367,-10.902108,-12.672742,-12.837968,-14.391396,-16.111324,-16.758244,-17.362288,-17.519371,-17.69601,-17.7162,-18.022131,-18.392609,-18.256403,-17.996233,-17.410324,-16.746937,-15.952758,-14.70429,-13.098465,-11.141308,-8.800608,-6.32195,-4.6934037,-3.724211,-3.6862931,-2.723121,-2.1846886,-2.7172303,-2.4656134,-2.2916603,-2.214192,-2.4305246,-2.7873712,-3.03927,-3.1975617,-3.1975617,-3.2431917,-3.3624322,-3.9134488,-4.503432,-5.133727,-5.0006013,-2.80049,-2.2762916,-2.4816494,-2.4369774,-2.0234802,-1.4411541,-1.0982494,-0.5418979,-0.28061062,-0.77881855,-0.8845011,-1.1525966,-1.0661929,-1.1691878,-1.2823883,-1.5529715,-1.7087753,-1.6937988,-2.0017931,-1.9786181,-2.2648196,-2.0429375,-1.7644978,-1.2823883,-0.61801624,-0.024351003,0.2880618,0.40485987,0.40573075,0.43906495,0.7912013,1.7307844,2.2481153,2.6268823,3.1625977,3.579233,3.8381803,4.222241,4.273837,4.5651627,4.73348,4.6379685,4.537245,4.3435354,4.1060953,4.0104985,3.8326938,3.6689227,3.5918622,3.765968,3.6724916,3.4228654,3.1264944,3.1588554,3.652583,4.355954,4.544063
2025-11-08 00:54:37+00:00,2025-11-08 00:00:00+00:00,-3.8187788,-3.9792588,-3.4562597,-2.2643092,-2.299657,-3.1667678,-3.4762814,-3.4310155,-3.3021681,-4.0195365,-3.4729521,-3.1142945,-2.9961398,-1.7021768,-0.16416793,0.54409575,0.28550375,-0.7421515,-5.5751486,-6.1574926,-7.039791,-7.559527,-7.768488,-8.594944,-8.660787,-8.598501,-8.396375,-7.811829,-7.778212,-7.2502475,-7.0669103,-6.507564,-5.824096,-5.2839313,-4.918785,-4.9800005,-5.4541655,-6.868737,-6.428434,-5.694484,-5.4096303,-5.6666923,-5.7256255,-4.274645,-4.351361,-4.4374766,-4.7092,-4.7494187,-5.4703465,-5.834779,-6.3921614,-6.9496417,-7.693103,-9.414621,-11.065847,-12.668359,-14.128176,-14.477329,-14.656679,-14.701517,-15.503926,-15.952758,-15.779116,-14.912717,-11.518406,-8.123681,-5.3124747,-3.9249296,-3.477509,-2.545843,-1.6431749,-0.962002,-1.4226028,-1.748713,-2.002507,-2.1678011,-2.8793097,-3.162453,-3.0707312,-3.2222526,-3.0850146,-2.7038794,-2.6013548,-2.5552788,-2.5092034,-2.6954365,-2.4446657,-0.81749743,-0.9782001,-0.8798836,-0.78182864,-0.22986366,-0.7414458,-0.44725248,1.4690115,1.8827229,0.23326549,-0.04146118,-0.13211647,3.552802,3.4148045,3.2237265,2.209042,2.0397282,-0.35876966,-0.20467174,-0.2524306,-0.2200033,0.14974959,0.44616085,1.4779305,2.0509098,2.6725278,2.604241,2.7561102,2.9023042,2.9776766,3.2113545,3.5008485,3.904651,3.9498048,3.9354978,4.1213055,4.203321,4.3927145,4.694545,4.816382,5.0734434,5.118338,5.2009177,5.09246,5.0298147,4.8123446,4.638989,4.437763,4.3572564,4.4590697,3.8975995,3.0826626,2.4146774,1.9758625,2.06063,3.3328264,3.724474,3.5011353,2.7728746,1.758336,1.0327592,0.6734067,0.3139958,0.2953755,0.26740837,0.59395754,1.1908801,2.9798765,4.7604375,5.8913445,6.086678,5.819767,5.4276137,4.939366,3.6962316,1.9112494,0.78738105,0.18960659,0.81565493,1.7361668,2.2187564
2025-11-09 01:00:40+00:00,2025-11-09 00:00:00+00:00,-6.6257505,-5.945872,-5.699596,-4.3983216,-2.9133072,-2.0175433,-1.8915361,-2.4123442,-3.9569447,-4.471144,-4.5121827,-4.7473454,-5.0468144,-5.392359,-5.2219133,-5.247825,-4.9668417,-5.0301366,-5.2164397,-5.3552856,-6.5760837,-7.21547,-8.516192,-9.531107,-11.091119,-12.388127,-13.8061285,-14.697127,-15.113663,-16.26122,-14.984572,-13.682947,-13.545793,-13.413656,-13.545793,-13.6393,-12.668599,-12.451473,-11.913844,-10.416771,-10.71087,-12.049089,-11.08376,-7.693019,-6.437004,-4.870123,-2.8960562,-1.9974494,-2.214192,-2.538947,-2.708273,-2.697861,-3.1091678,-3.4376347,-3.4835012,-3.4376347,-3.063194,-2.7902362,-2.708273,-2.6516752,-2.7497325,-2.9238033,-2.762609,-1.1110163,-0.5431384,-0.57981,-0.36793286,-0.5965796,-0.81753176,0.89874375,1.3830116,1.0848845,-0.46812114,-1.070848,-1.0661929,-0.9028252,-1.087877,-1.0730151,-1.1295519,-0.8444756,-0.45798287,-0.2556991,0.21263865,0.39902145,0.35491148,0.587574,1.3863204,2.1949124,2.681827,2.9193137,2.9464576,3.0826626,3.0413282,3.0413282,4.1864924,4.5931387,3.5662377,3.4788504,3.779509,4.345424,4.798671,4.915709,4.7737284,4.47572,4.5074973,4.555038,4.630852,4.868978,4.9339256,4.8381753,5.236558,5.8135705,6.0691714,6.093675,5.7864943,5.851282,5.779834,6.5192165,7.4005675,8.392408,8.843071,9.682655,10.709005,11.08554,10.980408,10.614959,10.0773115,9.357636,8.253753,7.2967606,6.3161225,5.476323,4.798671,4.4282646,4.404443,4.589417,4.4520793,3.461567,1.8487016,1.3419541,2.0657191,2.518997,1.3236197,0.44793618,-0.9728106,-1.9387479,-3.0689738,-4.2599607,-4.122999,-3.850593,-3.022387,-2.718431,-1.9078084,-1.5437417,-0.99155253,-0.71661395,0.011758936,1.3774562,2.9323409,3.8651853,4.68014,5.364204,5.364204,4.132759,2.261691,1.3584684,2.3250046,3.8555489
2025-11-10 01:03:29+00:00,2025-11-10 00:00:00+00:00,-8.00099,-9.62976,-11.1172905,-12.3884535,-13.638728,-14.340676,-13.410518,-12.726619,-12.393801,-13.21552,-14.581405,-14.940572,-14.384754,-13.729506,-13.699975,-11.005493,-11.175809,-12.339929,-11.599656,-11.366032,-10.48754,-9.760855,-9.261523,-8.946176,-9.575246,-9.406903,-10.077877,-10.278006,-9.041458,-7.2863483,-6.032565,-5.6666923,-5.591884,-6.1407895,-6.5947423,-6.824906,-7.0550876,-7.4662743,-7.4969797,-5.514831,-4.546489,-3.9721758,-3.7500644,-1.5164541,-1.7322867,-1.0777483,0.79372126,0.9143395,-0.2247371,-0.6628293,-0.5914341,-0.9028252,-0.86053616,-0.6786784,-0.13729127,0.7641102,1.3009552,1.4838748,1.3739468,1.4077003,1.4851301,1.3129017,1.847017,2.3183174,2.809459,2.8286476,3.245086,3.2113545,3.373599,3.214156,4.267107,4.365676,3.765968,3.4652357,4.0140557,4.53489,4.9895062,5.030426,4.745199,4.298058,3.927916,3.6914997,3.6022143,3.6494079,3.8687713,4.181473,4.8049555,5.5057654,5.7101455,5.4098024,5.0266275,5.004925,5.022185,4.4289804,4.4289804,4.3924637,2.9935358,2.2238238,2.6556964,3.4788504,4.154774,3.7325985,2.7467415,1.502141,0.17676121,-0.5401092,-1.0424062,-1.4516652,-1.648965,-1.4248034,-0.47083113,1.3518146,1.6888473,1.6870863,1.5190446,1.5738273,1.8254021,1.2411398,-0.5439027,-2.298492,-2.706443,-1.3909742,0.2646085,1.5478615,2.9906404,5.021044,5.9679503,5.7886786,4.603897,4.0245056,4.129757,4.0606384,4.135722,3.446194,2.5474322,2.0655727,2.2451422,2.5144722,2.5474322,2.183834,1.4385018,1.0644761,1.4830762,2.143036,1.926795,0.021892125,-3.4989707,-7.2947464,-8.782323,-8.783476,-8.800608,-8.7009325,-8.186689,-8.123681,-8.205701,-8.651311,-8.785013,-8.878772,-9.055791,-9.481746,-9.651094,-10.232324,-10.862119,-10.677592,-10.098174,-9.9740505,-10.5948,-11.712976
2025-11-11 00:58:37+00:00,2025-11-11 00:00:00+00:00,-4.96721,-6.5201383,-7.3321652,-7.6987386,-6.2179456,-4.318323,-4.203866,-4.6621203,-4.7116313,-4.8493633,-4.7815375,-5.3596883,-5.4301543,-4.7578554,-4.7560596,-3.7026231,-3.262429,-2.3525825,-2.8350396,-3.2946024,-4.0456233,-3.3636377,-2.1343863,-1.6630818,-2.5265443,-2.617452,-2.8508675,-3.249962,-3.3875456,-3.2783265,-3.236516,-3.0612864,-2.6684544,-2.9698203,-3.3013306,-3.7084067,-3.8502383,-3.7301888,-2.7733326,-0.79195213,-0.5848955,0.3958657,1.1835282,1.7229065,1.9840809,1.6988109,2.64428,3.0425892,2.7692482,2.7920768,3.2046845,4.0612125,4.5074973,4.7737284,4.790299,4.4551544,4.1271505,3.7943225,3.4614723,3.1137085,2.956928,2.6872663,2.6110156,3.1539433,3.0010896,3.1774101,3.1976435,3.4779575,3.3455908,3.475529,4.560857,4.872675,4.512026,4.82455,5.009732,4.8898497,4.821831,5.1098027,5.7527795,6.762729,7.1005697,6.809652,6.425642,5.796227,5.215184,5.169984,5.011848,5.5449824,5.6344867,5.662995,5.78074,5.9125547,6.034683,6.5314956,7.269521,7.169964,6.533947,6.1243143,5.4679136,5.7242575,5.851697,2.8610005,-0.89800674,-2.1994584,-2.5122392,-1.7734483,-0.721665,0.23219496,1.1711153,1.5890082,2.6556964,4.1702733,5.3338933,5.4043097,5.49585,5.6653595,6.3481965,6.791648,7.533431,8.032408,8.729416,10.29626,12.250577,13.258767,13.599462,13.596138,13.569009,13.470389,13.399741,13.193086,12.977203,12.480892,12.381629,12.714521,13.103514,13.309779,12.862076,12.1502,11.108926,10.160287,9.410578,9.646958,11.249082,12.392282,12.525241,11.873433,10.962535,10.024212,9.081835,8.098431,7.572953,7.6474233,8.160389,8.475377,8.346452,8.215096,8.116328,8.149177,8.376873,8.578393,8.56021,8.458046,8.347217,8.092792,7.9160004,7.644222,7.448121,7.142856
2025-11-12 00:59:51+00:00,2025-11-12 00:00:00+00:00,-3.9919884,-3.9555528,-3.7140915,-3.7220812,-4.056104,-3.8130672,-3.5795326,-3.8065066,-3.8399086,-3.8883266,-3.6194117,-3.3527176,-3.6287656,-3.9081664,-3.4859893,-0.6258426,0.6282124,1.5656307,0.14540376,0.33164725,0.02458278,0.108597636,-0.104790494,-0.62940514,-0.9319531,-0.9189047,-0.799199,-1.0916479,-0.94101274,-1.318079,-1.3062106,-1.2602677,-1.991833,-2.2254105,-2.363951,-1.7256192,-1.2558068,-1.578973,-1.6468787,-0.1267567,-0.14726426,0.20863721,-0.055682074,2.8229723,2.5224068,2.6090763,3.945338,4.1057596,3.1745734,2.3529935,1.6800946,1.2701817,1.0879786,0.8004209,0.2758082,0.23041292,-0.17744419,-0.31343827,-0.72146076,-0.81506944,-1.1450787,0.90582746,-0.31500077,0.20386031,-0.20022684,0.012640119,0.43443084,0.72887856,1.1066997,1.6160123,3.9850626,3.299649,2.6422253,2.20336,1.7110065,1.4375553,1.1251224,0.8980085,0.7183292,0.7459651,0.5206815,-0.090410255,-0.61801624,-1.2490216,-1.6667966,-2.1821518,-1.1599325,0.47228786,0.23200059,0.23701409,0.8548308,1.466426,2.0471323,2.4093425,4.170577,3.8276663,2.7698336,2.7314334,2.20336,2.0206773,2.1196322,2.581236,2.815125,2.888125,2.6068015,2.3951745,2.3001735,2.3719332,2.4693959,2.450337,2.8294187,3.468339,3.8880625,4.2264676,4.309159,4.603897,4.800132,5.4232664,6.503916,7.080478,7.606668,8.528616,9.566578,9.744502,8.894386,7.0592117,5.0302453,2.8854551,0.2758082,-0.5010134,1.502141,4.5231733,6.1310244,5.9382763,5.125422,4.4599566,4.262885,4.2346005,3.7573164,2.9315543,1.694501,0.6633853,-0.27472603,-1.3115126,-2.0286336,-2.4231083,-2.4124668,-2.4582493,-2.393543,-2.1342244,-1.9905572,-2.0366528,-1.9947047,-2.0105615,-2.0258877,-2.0099602,-2.1581874,-2.7459402,-3.586224,-4.235466,-4.1170826,-3.9311323,-3.6669745,-3.0606792,-2.4523609,-1.5758708,-1.174097,-0.97272354
2025-11-13 01:15:20+00:00,2025-11-13 00:00:00+00:00,0.7843831,0.27939996,-0.12169064,-0.035137687,-0.009637433,-0.15254924,-1.1805927,-1.8222576,-1.3521564,-1.2096422,-0.8464517,-0.87621576,-0.62004334,-0.20090792,-0.107773095,1.6324787,2.324808,2.810789,3.1365726,3.485489,3.026285,2.7919824,3.3267014,2.7858882,2.6028056,2.8035061,4.315679,4.0806336,4.8096447,4.5140452,4.2139235,4.046319,3.956451,3.5649931,2.134438,-0.1932178,-2.1315806,-3.0427468,-3.4847145,-0.5688713,-0.57070863,-0.62940514,-0.18547547,1.282941,1.3834441,2.1174068,4.4759593,3.7400353,2.636175,2.0001874,1.3774562,1.3929261,0.9325287,0.9019266,0.8980085,0.5915986,0.5020204,0.053563077,-0.58095115,-1.296931,-1.6952286,-2.0446384,-0.7344299,0.42415518,0.44807145,-0.07227116,0.09655293,1.1344734,1.7836853,2.197586,4.159948,4.1864924,2.865236,2.5024133,2.2265432,2.5085597,2.6531224,3.1412897,3.3177521,3.5969305,3.9845135,4.103176,4.181473,3.9103706,3.8159657,3.8894143,4.083723,4.3421693,4.3048687,4.135001,4.282775,4.588918,4.7750897,5.136203,5.3371763,5.8968997,5.7434187,5.6041365,5.476323,4.9339256,4.437763,3.8163698,3.3861344,2.8683658,2.6301444,3.1143825,3.6734395,4.070881,4.550143,4.7579274,4.0269127,1.6648453,0.44122124,0.118181095,0.36657456,-0.13318297,-0.4041029,-0.857483,-1.6790607,-2.9238033,-3.6669745,-3.7995827,-3.726901,-3.7231407,-3.974287,-4.2942653,-4.541009,-4.4016504,-4.1527834,-3.8852386,-3.644126,-3.561412,-3.3791165,-3.223628,-3.1613984,-2.7449138,-1.9113867,-1.0083745,-0.30475459,0.114330836,0.7641102,1.1331477,1.4824764,1.7618208,1.847017,2.03471,2.1739748,2.3959804,2.348083,2.443877,2.4917724,2.3959804,2.50254,2.4545636,2.2522893,2.143036,2.2217095,2.2725322,2.5451114,3.0830448,3.7664933,4.6853657,5.613235,6.6340923,7.7323995,8.720363,9.591771,10.21152
2025-11-14 01:00:18+00:00,2025-11-14 00:00:00+00:00,3.5929818,4.082518,3.8945577,4.3676114,4.518431,4.2097673,3.7958221,3.4401813,2.8095105,1.9280117,0.024774734,-1.1958578,-1.9243587,-2.6210687,-3.197766,-0.8046133,-0.09235674,-0.48942158,0.69654626,0.6318245,-1.0955225,-2.4712858,-2.9858031,-3.3436396,-2.1758094,-1.7905293,-1.3397719,-0.79337376,-0.5628968,-0.6973367,-0.16995162,-0.6643456,-1.1455313,-1.817997,-2.1639307,-3.0765064,-4.406886,-4.854484,-5.18348,-3.4337265,-2.9820533,-0.3280429,1.7954959,4.26137,4.5479045,4.6012406,5.814261,5.4268265,4.0345254,3.6765234,3.4283023,3.2115688,3.2003613,3.2129958,3.7408323,3.8381803,4.0960674,4.226123,4.373321,4.590715,4.58567,4.481934,4.5896187,4.9166026,5.0302453,5.2900453,5.5372467,5.7756147,5.9047136,5.9500566,6.268581,5.7087336,5.1037827,4.724348,4.1170387,3.5550208,2.9416409,2.3250046,1.5990909,1.5187494,1.6249735,2.2133946,2.955864,4.154448,4.8668957,5.109274,5.3506265,5.9713116,6.1612973,5.9133034,5.889899,5.2789044,4.406358,2.9986234,0.36657456,-1.2664235,-3.0673766,-3.5195732,-2.9964073,-2.2480989,-2.3626983,-2.345071,-2.682116,-2.6058865,-2.7301564,-2.5739162,-2.319751,-1.9200914,-1.6146928,-1.463849,-1.5199037,-1.35916,-1.1972836,-0.7385942,-0.18755051,0.1187282,0.32120803,0.69447875,1.1075895,1.2735974,1.303008,1.3106736,1.4857727,1.5087585,1.5216057,1.573633,1.6656646,1.7493378,2.032599,2.1962056,2.3034708,2.3545623,2.5531464,2.8449738,3.1060174,3.700537,5.0639257,6.627061,7.6304197,8.021334,8.210364,8.3419285,8.823982,9.3316,9.822031,10.127033,10.124859,10.324381,10.523903,10.723426,10.818432,10.5830345,10.199115,9.729942,9.509641,9.145434,8.771764,8.26896,7.697719,7.055655,6.5607834,5.6573772,4.4686317,2.6556964,-0.002136147,-2.7730672,-4.225518,-4.573452
