forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:12+00:00,2025-11-05 00:00:00+00:00,1.0611215,0.25263405,0.54046565,0.99898636,1.0966334,0.6720653,1.4448594,1.2631705,1.9380534,2.7035565,2.6681678,0.11187264,-0.9710267,-0.76461023,0.1251349,1.6547152,1.6492647,1.5976621,2.4135575,2.2118633,1.9797988,1.2490814,0.733681,0.1957182,-0.47506636,-0.62457675,-0.9074712,-0.41335526,0.033737857,0.29468012,0.6165665,0.76525617,0.8869828,0.69439197,0.87485313,0.9497933,1.0806553,1.2894425,1.801707,1.6363381,0.15136582,-0.5811172,-2.9950864,-1.8621831,-2.8763041,-3.3273542,-2.2266564,-1.0968013,-1.1478574,0.0007824689,0.9316963,1.2186714,1.0878558,0.85889816,-0.09909445,-0.6874563,-0.780972,-0.9285249,-2.3497038,-3.577848,-3.846629,-4.0597553,-3.6790824,-3.810686,-3.9146779,-4.0980463,-4.708881,-5.1581407,-5.386171,-5.8544035,-6.019326,-1.436752,-5.7669554,-5.940301,-5.441895,-4.9732533,-4.699212,-4.527351,-3.8996031,-3.712404,-3.588933,-3.564605,-3.543275,-3.6362936,-3.9994755,-3.920015,-3.3622134,-2.8328736,-1.7027789,-2.1959271,-2.2614646,-2.2539985,-4.5770745,-4.1835876,-5.2873197,-11.2502,-12.996387,-11.930525,-8.724279,-7.1300335,-5.950606,-5.762425,-5.422062,-4.7282653,-4.8735776,-5.165205,-5.4334035,-5.882287,-6.03539,-6.2607126,-6.3683305,-7.2157574,-7.947705,-8.38455,-8.840725,-8.846198,-8.6801605,-8.66349,-8.6801605,-8.507604,-8.662453,-8.8023205,-9.16004,-9.562549,-9.716177,-9.558844,-9.606224,-9.526179,-9.023718,-8.781789,-8.591556,-8.637396,-8.316527,-7.867381,-7.6208773,-7.0470767,-6.1817956,-5.9707727,-5.72721,-5.7584033,-5.759456,-5.3447046,-5.003261,-5.088131,-5.047993,-5.233417,-5.5803647,-5.4815917,-5.0669236,-4.6602726,-4.629698,-4.8513494,-5.4114265,-5.5882134,-5.144848,-4.7416806,-4.014737,-3.5195956,-2.9607747,-2.5662804,-2.0794735,-1.9820318,-2.6108983,-3.3225403,-4.110031,-4.030078,-3.5660205,-3.4800792
2025-11-06 01:02:31+00:00,2025-11-06 00:00:00+00:00,0.5292433,0.5126782,0.034662772,-0.18101999,-0.4025571,-0.2520209,-0.025607046,0.09560863,0.50179636,0.64026314,1.2409215,1.6775961,2.0172145,1.8581254,1.4470701,1.1661953,0.062049303,-0.36493698,-2.1403973,-4.5322914,-8.536771,-5.8273616,-4.8923078,-4.4971433,-5.8490286,-6.462087,-6.4757214,-6.498372,-5.256426,-4.9648447,-5.029585,-4.592598,-5.520656,-5.5278506,-6.558019,-7.441774,-7.238549,-7.328866,-6.4960775,-5.745566,-5.4229736,-5.66029,-6.8261204,-5.8009377,-5.8956327,-5.6895084,-5.730729,-3.5129607,-5.456902,-5.5416994,-5.1307282,-4.4436245,-4.2363544,-4.3497834,-4.0432243,-3.711641,-3.768441,-4.1047745,-4.645075,-4.5550165,-4.239837,-4.5315123,-4.3070507,-3.6003332,-1.8111295,-4.314145,-5.173326,-6.178115,-7.0045633,-10.995107,-11.434289,-13.746214,-14.794585,-12.891162,-9.830801,-6.9588733,-6.567999,-7.1486874,-6.937486,-6.116801,-6.657343,-7.074552,-7.132219,-7.402425,-7.445515,-7.507449,-7.6385517,-8.193503,-8.725818,-8.890693,-9.348882,-10.402004,-11.534617,-12.743278,-14.042624,-14.794651,-15.842375,-16.439034,-16.909206,-17.4223,-17.593374,-18.054651,-18.012072,-17.850023,-17.027876,-16.140673,-15.042618,-12.63466,-9.532614,-8.382593,-8.169474,-8.067927,-7.8757653,-7.59348,-7.3251896,-7.212204,-6.39048,-5.8544035,-5.533579,-5.2159233,-5.393451,-5.350959,-5.023054,-4.6602726,-4.629698,-4.522128,-4.291515,-4.2469034,-4.4776545,-4.807018,-5.848355,-7.0166607,-7.7070594,-7.2516036,-6.3021626,-5.039251,-4.287374,-4.124141,-4.2942953,-4.708653,-4.8616686,-4.9402695,-4.62988,-4.082976,-4.248559,-4.100832,-3.5421681,-3.5510206,-3.7100594,-3.8896937,-4.001691,-3.9565465,-3.882825,-3.8232095,-4.041901,-4.36375,-4.4080725,-4.307277,-4.0887065,-3.8516831,-3.5503101,-3.3242996,-3.7381704,-4.0927753,-4.110031,-3.2065523,-2.2731233,-1.9293891
2025-11-07 01:00:19+00:00,2025-11-07 00:00:00+00:00,-0.59249824,-0.7133488,-0.39645964,-0.3954897,-0.5893672,0.20768708,0.7750126,-0.9345206,-3.9810905,-6.3697095,-6.905671,-6.7126975,-6.827185,-6.587218,-5.8682165,-4.6359806,-3.2937033,-3.5616632,-2.924956,-3.2776716,-4.556013,-4.3475876,-4.9947658,-5.8241715,-6.9265065,-6.7332172,-6.757032,-6.2120037,-6.290001,-6.3771358,-6.5398245,-6.517213,-7.039125,-6.7126975,-7.307735,-7.0131445,-6.962802,-6.5232835,-3.0912187,-0.016503822,-1.9395455,-4.214291,-4.3741527,-5.3835697,-5.7584033,-7.54594,-9.262715,-9.968942,-11.737838,-12.13775,-10.750986,-7.9655666,-6.492366,-5.5194197,-5.672056,-5.0347886,-4.4082174,-3.8743215,-3.2739813,-3.164635,-3.1253815,-3.2761843,-3.705729,-4.399828,-4.803773,-4.641883,-4.6351767,-4.8907003,-4.871554,-5.2503867,-5.339073,-5.31785,-5.2174425,-5.3787775,-5.91578,-6.201058,-6.375889,-6.70248,-6.6021004,-6.652553,-6.66065,-6.6259756,-6.5953503,-6.308803,-6.0829515,-5.9748383,-5.882287,-5.886148,-6.702509,-6.7084656,-6.7294264,-6.5352874,-6.22551,-6.0706873,-5.8658867,-4.708881,-5.6385107,-4.915591,-4.35129,-4.262725,-4.439319,-4.1219106,-4.1130733,-4.1598535,-4.9843535,-5.7045126,-6.4302883,-7.0520186,-7.394892,-7.1629186,-6.300645,-4.7397103,-4.542002,-4.371167,-4.455536,-5.2243586,-5.8446703,-5.264042,-4.296788,-4.598508,-4.312629,-4.066479,-4.1063476,-3.9565465,-4.1020427,-3.644485,-3.8652613,-3.821104,-4.0432243,-4.408993,-4.803722,-4.923551,-5.0556383,-4.935317,-3.9266665,-3.5231817,-3.1216037,-2.6614656,-2.196325,-2.445414,-2.5608666,-1.990439,-1.3405424,-1.1907389,-1.1199086,-0.73281395,-0.62760794,-0.15067185,0.37787178,0.93710226,1.2850939,1.4758806,1.7412434,1.750087,1.6132147,1.424167,1.4712943,1.609278,1.9423057,2.0440166,2.2633004,1.8273112,1.1675943,0.5136745,0.3394375,-0.121614285,-0.11313041,-0.038127746
2025-11-08 00:54:52+00:00,2025-11-08 00:00:00+00:00,-3.1949916,-2.6607826,-2.8577557,-2.527941,-2.9628918,-3.9689584,-4.4534316,-4.80539,-4.842269,-5.296482,-5.2271934,-4.6778684,-4.3383045,-3.2843316,-2.1796434,-2.9808857,-2.8513148,-3.1036575,-6.4757214,-6.4561577,-6.2016087,-6.588731,-9.263076,-11.531756,-12.021152,-12.345057,-11.601368,-10.695442,-10.06297,-9.581275,-9.427244,-9.358474,-9.279311,-9.081785,-8.727226,-8.791954,-8.53801,-8.174761,-7.500811,-5.129415,-4.572208,-4.9233766,-5.3909073,-4.3807406,-4.8369865,-5.0116076,-5.4179206,-5.32304,-5.609252,-5.407323,-4.960209,-4.5926347,-4.510265,-4.588083,-4.6384993,-4.6125884,-4.602988,-4.6752024,-4.6563168,-4.342815,-4.3337965,-4.3280544,-4.295104,-4.172849,-4.8168354,-5.2503867,-5.667114,-5.1676416,-4.736322,-4.413814,-3.5503101,-2.9768407,-3.8255196,-3.3795884,-3.5661275,-3.6328666,-3.810686,-3.9205852,-3.588413,-3.9885225,-3.8454435,-4.023861,-3.8581984,-3.9030807,-4.0256085,-4.291515,-4.36375,-3.093869,-2.7781582,-2.5345342,-2.0338824,-1.9032727,-2.7140784,-3.1196816,-1.7010026,-0.59523004,-2.1146705,-2.0358462,-1.9321826,-1.9718745,-1.9718745,-1.8788623,-1.5642477,-1.8348638,-2.1085677,-2.4153416,-2.7730727,-2.8445826,-2.5547278,-2.7739525,-2.0798175,-1.2782576,-1.3815548,-0.9893449,-0.3917563,-0.50989985,-0.41029006,0.08726974,0.5236869,0.98578686,1.3416648,1.9000006,2.207199,2.5952225,2.662722,2.9427116,2.9120429,2.6417577,2.1255524,1.6562139,1.2807025,0.804336,0.40286428,0.13927987,0.19640969,0.08270821,-0.013265039,-0.13406639,-1.012277,-1.4515514,-1.2876385,-1.2049825,-1.0668869,-1.344631,-1.4252745,-1.6814884,-2.4594796,-1.9581138,-0.6001063,1.3519402,2.1154263,2.0440166,1.7673512,1.1216168,-0.21609552,-1.7446561,-2.8198507,-2.6107109,-2.1489494,-1.2176706,-0.8287062,-1.3504087,-1.7423447,-2.3491647,-1.9590473,-2.5520904,-2.8442175,-2.601981
2025-11-09 01:00:53+00:00,2025-11-09 00:00:00+00:00,-10.279975,-10.748097,-9.655779,-8.25329,-5.923279,-5.4103265,-5.1740103,-4.9900675,-5.3291464,-5.834676,-6.1130114,-6.021652,-5.4886613,-5.3238573,-4.074065,-2.652207,-2.601214,-2.7457716,-3.5539498,-3.794975,-4.542945,-5.258738,-5.9848313,-6.6059585,-7.193467,-7.2530823,-6.662062,-6.7257895,-6.8579025,-6.980545,-6.6602135,-6.387324,-7.2329917,-7.424189,-6.8155084,-7.0026937,-6.8486695,-6.855564,-6.5331054,-5.8983502,-5.5890956,-5.3800383,-5.7630486,-5.8954115,-5.805422,-5.0040145,-4.5402656,-3.192458,-4.0875816,-3.732792,-3.8319657,-4.1421547,-4.0535245,-3.7662294,-3.9885225,-3.9792552,-4.1598535,-4.4253554,-4.522128,-5.0556383,-4.9675784,-5.275802,-4.5277457,-3.697168,-4.160948,-3.7285283,-3.4520535,-4.309941,-4.0346804,-3.4481716,-1.8210974,-1.0968013,-2.516473,-2.71814,-2.5594592,-2.060409,-2.21088,-2.5523896,-2.8625133,-2.9607747,-2.8274019,-3.2650504,-2.97957,-2.6457233,-2.1452875,-2.114103,-1.495866,-0.51231766,-0.5679821,-0.42280757,-0.43480295,-0.03340146,-0.3253821,-0.028239477,0.25784937,1.1953686,0.4082279,0.7520203,0.8082702,0.49171594,0.34763956,-0.016914725,0.1494385,0.04972062,0.1197994,0.1951271,0.38052994,0.5564623,0.5683056,0.44952336,0.7761252,1.4389892,1.4554644,0.85365534,0.56027704,-0.16862935,-0.42073703,-0.92009664,-0.9623281,-0.90284467,-1.0792505,-1.4732333,-1.8613429,-1.9049671,-1.9548868,-1.7027789,-1.83908,-1.8111295,-2.077621,-2.2553008,-2.7688365,-3.9705093,-4.0875816,-3.093869,-1.8442761,-0.39442876,0.35084352,0.17244568,-0.09678673,0.5052755,0.444445,0.5253164,-1.1549944,-4.3914347,-6.6318183,-7.3408227,-6.9321136,-5.7463756,-4.965212,-3.6991844,-2.6614656,-0.6866218,1.3452401,2.6379044,2.9369488,3.1631646,3.0560935,3.3306184,3.6194897,3.3074903,2.2210233,0.75683445,0.40124133,1.5914948,2.6886823,3.094665,2.5705874,1.8698063
2025-11-10 01:03:49+00:00,2025-11-10 00:00:00+00:00,-4.4490166,-4.525782,-4.9933815,-5.1350026,-5.4742775,-5.819125,-5.861436,-5.7533607,-5.1931477,-4.757917,-6.86609,-6.5331054,-6.3575997,-6.2102838,-5.3195214,-3.882648,-3.5449646,-3.8999858,-4.4668646,-4.4772162,-5.9820857,-6.710753,-6.8842783,-7.729062,-9.207109,-8.775186,-8.782664,-8.68741,-8.910258,-8.598278,-8.753749,-8.665204,-8.709476,-9.179793,-9.444596,-9.048042,-8.70957,-8.817025,-9.714604,-8.737644,-7.5611987,-6.899792,-6.8351293,-5.1846833,-4.708653,-4.110031,-3.931586,-2.907891,-4.0161204,-3.5806432,-3.0500472,-3.339271,-3.335442,-3.4440625,-3.384578,-2.9100926,-3.0008543,-2.9187305,-2.889586,-2.6831992,-2.2965488,-2.0734656,-1.5212455,-0.41623607,0.24017154,0.71444416,0.90734375,0.8561716,0.4710419,0.2264076,0.2152059,0.56027704,0.34285063,0.52740407,0.66282326,1.0348141,0.84881425,0.9788368,0.88089806,0.80108285,0.7459205,0.35620484,0.18563633,-0.01710292,-0.22653621,-0.3156361,-0.9218544,-1.2315866,-1.9761366,-2.7301006,-2.6026745,-2.983327,-2.4786477,-2.7166548,-1.9854522,-1.1747057,-2.502588,-3.0448086,-3.0882924,-3.1268885,-3.1268885,-3.1268885,-3.6071668,-3.9146779,-3.8255196,-3.869194,-5.0488153,-5.1107936,-5.6237392,-5.3635125,-4.4370584,-2.7635639,-2.3501532,-1.326799,-1.6960618,-2.119932,-3.3611774,-4.31164,-3.9157934,-4.110031,-3.6066082,-3.342246,-3.2826514,-2.9815485,-2.0670407,-1.4061189,-0.43480295,0.5362561,1.2059902,1.2065878,0.71219045,-0.36035618,-1.3911806,-3.5561817,-6.0845995,-7.4754868,-5.782185,-2.938177,0.03725999,2.268762,3.049382,2.5227993,1.3339331,-1.0670866,-4.177104,-6.032126,-6.7913213,-7.506116,-7.9976826,-8.056699,-8.370554,-8.460235,-8.8023205,-9.2418995,-9.9564,-11.142013,-11.615747,-11.617118,-11.32702,-10.750066,-10.136279,-8.810089,-8.342972,-8.488966,-9.040988,-8.874622,-8.152587,-6.9663134
2025-11-11 00:58:51+00:00,2025-11-11 00:00:00+00:00,-5.962212,-5.897943,-6.428692,-6.3642054,-5.8730226,-5.408251,-6.010799,-6.4898286,-7.022867,-7.6538515,-7.6817756,-8.179189,-9.006339,-8.516747,-7.9569945,-6.8426604,-6.6610875,-6.3927455,-7.1531487,-6.9295335,-7.2251844,-8.156197,-8.388004,-9.529685,-10.259323,-9.375542,-8.109388,-7.362297,-7.818245,-8.122308,-7.549973,-7.172719,-5.791059,-6.1887875,-6.136314,-6.080763,-6.336883,-6.1687536,-6.0754538,-5.5393076,-3.8567781,-1.059991,-0.14878623,-0.29659674,-0.674223,-0.3784965,-0.63197094,-0.13348018,-0.51228,-0.41396794,0.0137111945,0.40043733,0.9504845,1.0293599,0.97358876,0.53832495,0.24244039,-0.102935374,-0.124078356,-0.35977843,-0.4338022,-0.7591011,-0.7761284,-1.1804298,-1.7797252,-2.2202268,-1.7270395,-1.6349341,-1.4850812,-1.7842802,-1.401431,0.3433246,-0.11358534,-0.41396794,-0.62922037,-0.75258946,-0.69004375,-0.60942465,-0.37780657,-0.4554625,2.646419,2.4103858,2.1271298,1.8910681,1.6126717,1.3299123,-1.065294,-0.6886012,-1.339123,-1.5617851,-1.6594952,-1.5769765,-1.8210974,-1.9443598,-1.9443598,-1.3081384,-2.772831,-3.2933562,-3.6237814,-5.372107,-7.078214,-4.0552807,-1.2960471,-0.4704283,0.019081514,0.16480029,0.38735944,0.476378,0.49694976,0.6675446,0.9766146,1.6545444,1.2943077,1.5998073,1.1483403,1.2562462,1.2972202,2.1611648,2.0193293,1.6217477,2.1908126,3.278417,4.90018,6.389963,8.311107,10.536032,11.884125,12.298591,12.153079,11.4807,9.521497,6.9944906,5.142719,4.985826,5.666463,6.0947375,5.822861,4.9967113,4.4590654,5.4927926,6.835876,7.4044604,7.364078,7.028068,6.448413,6.005205,5.83151,5.7161756,6.1597753,6.840013,7.1803555,7.08266,6.7712536,6.4029517,6.257261,6.063,5.9658685,5.73074,5.351102,5.155183,5.0327487,5.0729957,5.033276,5.1925225,5.045045,5.2330046,5.241901,5.3512855
2025-11-12 01:00:16+00:00,2025-11-12 00:00:00+00:00,-2.8561637,-2.460514,-2.6602137,-2.9707842,-3.290667,-3.5448003,-3.6199355,-3.7497025,-3.3371897,-2.4853702,-2.6436574,-2.5628605,-2.7648757,-2.851132,-2.2866611,-1.6217651,-1.2818003,-1.6217237,-2.3737226,-2.598171,-2.1403973,-2.5099514,-3.324143,-3.2245464,-3.9081686,-3.9067936,-3.7650278,-3.4690158,-3.8478491,-4.331924,-4.4199657,-4.4503393,-4.408676,-4.1526356,-4.220027,-3.930795,-3.8734174,-3.991373,-4.2659492,-4.4772162,-4.4677935,-3.9623451,-3.8058417,-1.4246476,-1.7842802,-1.4931368,0.0016339849,1.0205002,-0.965443,-0.9972068,-1.175244,-1.3670589,-1.5890822,-1.529261,-1.9284517,-2.3644977,-2.5031452,-2.901695,-3.388923,-3.8319657,-4.6160955,-5.0996685,-4.1752462,-2.6969895,-3.1693048,-3.2826514,-2.5695248,-3.403696,-3.407901,-3.2468152,-2.1858287,-1.9034104,-3.318413,-3.4232972,-3.114709,-3.4566634,-3.7559423,-3.9375982,-4.357304,-5.226904,-5.9382315,-6.4093466,-6.5806975,-7.04888,-7.091534,-7.390155,-6.0870495,-3.796344,-3.3809612,-2.4893003,-2.8486826,-2.5941327,-2.430246,-2.0654292,-0.16306269,1.1142359,-0.047257695,-0.37879476,0.044687703,0.28096685,0.28438574,0.32859957,0.17637435,0.49171594,0.12052421,0.17383343,0.3932039,0.446726,0.7039721,0.5652422,0.9272437,1.885979,1.6502595,1.5142329,0.30934578,1.3717464,2.8281891,4.4638,5.014242,4.450925,3.7568083,2.3213646,0.38672045,-1.2488624,-1.941121,-1.827759,-1.7740996,-2.566575,-2.9143693,-3.0832336,-2.0175745,-1.019703,-0.35977843,0.63615716,1.5406611,2.4754229,2.8268166,2.7980473,2.5811992,1.8273112,1.4052794,1.1858985,2.3560956,3.3140512,3.134937,2.114308,0.87306905,-0.17744006,-0.8822259,-1.5520774,-2.0242026,-2.5011249,-2.8865306,-3.042679,-3.2110968,-3.16947,-3.1929874,-3.046922,-2.9542902,-2.6179674,-2.2698662,-1.7932025,-1.4640429,-1.1394752,-1.1564785,-1.0501963,-0.9285249,-0.7240426
2025-11-13 01:15:33+00:00,2025-11-13 00:00:00+00:00,-2.7540314,-3.0043175,-3.1949916,-3.099988,-3.280835,-2.7110777,-2.5098531,-2.0734138,-2.8077037,-2.465908,-2.3657982,-2.1331494,-1.9103832,-1.9570752,-1.9103832,-1.032399,-1.9692432,-1.7651913,-3.6789544,-3.3892727,-3.9002216,-3.9654808,-3.8428247,-5.438389,-6.8673835,-6.8927565,-6.8842783,-7.200737,-7.1439767,-7.405539,-6.1017823,-6.083628,-6.3532066,-6.8475223,-7.1621447,-7.0582237,-7.5541553,-7.6410065,-7.147513,-6.5615854,-6.58345,-6.4741273,-6.811382,-3.8302228,-4.0346804,-3.9950535,-1.9843768,-1.1923308,-2.8973444,-3.1269813,-3.3427763,-3.2429311,-3.5849192,-4.311904,-4.9108696,-5.72721,-7.1140075,-7.8744206,-8.194629,-8.026467,-7.6209006,-7.494161,-6.4518447,-4.066479,-3.338629,-3.4800792,-3.4111834,-3.0385497,-3.2468152,-2.430246,-1.6156884,-0.41029006,-1.5767137,-1.8992031,-1.8712091,-1.7740996,0.1679682,1.6106163,1.8598024,1.6566273,1.3825878,1.413352,1.2807025,1.3244681,1.5947062,1.8441727,2.4425695,3.1824057,3.6270466,3.6158278,3.4442482,3.3463812,3.2108514,2.8909492,2.6704805,2.6310737,2.8525374,3.3248448,3.699305,4.330668,3.7836769,2.6434212,3.4678707,2.6310737,2.2210233,1.5905805,0.16480029,-0.1809125,-0.24107917,0.93281776,2.6884556,4.269705,5.3592315,4.810084,4.540081,4.152392,3.5738606,2.717351,1.8964108,1.105716,0.33401346,-0.52674204,-1.370674,-2.2944214,-3.1368196,-3.792156,-4.353968,-4.3094134,-4.187836,-3.8209672,-3.5794904,-3.562126,-3.4624054,-3.4185264,-3.4979644,-3.1346245,-2.6173959,-1.9792367,-1.3587178,-0.1887786,1.1852039,2.0543482,2.0094535,1.8373758,1.5366493,1.49993,1.5362132,1.5458618,1.4758806,1.2200412,1.3596818,1.6854897,2.1508734,2.5231342,2.9215941,3.223055,3.40994,3.7369616,3.9472163,4.2097735,4.4741516,4.5780888,4.920946,5.8202105,6.8001366,7.369445,6.494424,4.815563
2025-11-14 01:00:34+00:00,2025-11-14 00:00:00+00:00,-1.4977496,-1.5523978,-1.970071,-2.3919542,-2.7167015,-2.603461,-3.1078782,-3.383055,-4.62844,-6.6476235,-7.4399323,-7.8488126,-8.159653,-8.15268,-8.330908,-7.2487526,-6.6541424,-5.29467,-4.3571787,-5.977771,-6.111304,-5.918641,-6.2654667,-5.8022785,-5.765961,-5.5986648,-6.040029,-6.1772923,-6.5190086,-7.1439767,-8.09136,-8.184102,-8.660081,-8.556786,-9.136206,-10.379545,-10.505554,-9.560755,-8.441917,-6.412312,-6.099446,-5.17273,-2.9029114,-0.6712772,1.5646309,2.0612738,2.4737973,3.4233854,3.2212846,3.4436576,3.4678707,3.6575265,3.6141067,3.7836769,3.7290802,3.7269635,3.254097,2.9597208,2.43849,2.280433,2.090521,1.998805,2.1179476,2.568884,2.5069623,2.8759117,2.943283,2.9354165,2.8963606,2.6810274,2.852525,3.1006281,3.1259258,3.692672,4.577742,5.1925225,5.317961,5.476149,5.033276,4.156629,3.292424,1.1732441,-0.3314881,-0.7383733,-1.1001074,-1.2315866,-0.4172797,5.194724,4.956175,4.169724,3.6051173,3.3074903,3.1016197,2.7558575,2.2151585,1.9056733,1.5184206,1.2833152,0.52139705,-0.26029497,-1.4010948,-2.068986,-2.4055665,-2.6460435,-2.762942,-2.5600548,-2.3685179,-2.1698897,-2.2549424,-2.293157,-2.4958339,-2.3671815,-1.8147458,-1.4898423,-1.1773896,-0.9147983,-0.4270994,-0.09909445,0.012368858,0.149018,0.18482141,0.2855012,0.28306472,0.23521885,0.4741031,0.7343513,1.070805,1.4371846,1.8353357,2.1083083,2.2264102,2.18384,2.4311466,2.6995506,3.1725972,3.6829545,4.4572525,4.9571733,5.0029664,4.623128,4.1395993,4.759548,6.7254996,8.294798,8.857077,8.994097,9.057887,8.654131,7.560749,6.134667,4.5735626,3.3630626,2.0941057,1.5699245,1.8772451,2.486537,2.6709926,2.3417194,1.7719004,1.1950378,0.48428726,-0.9930248,-3.1231465,-4.4963975,-5.641983,-6.691743,-7.3661265,-7.851876
