forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:00+00:00,2025-11-05 00:00:00+00:00,176.30869,178.0909,194.03627,255.52966,222.13753,278.13,165.96373,143.13002,104.03627,336.0375,345.73544,348.95908,16.164576,15.843147,16.990906,23.70266,25.436188,25.407679,30.101221,30.67721,34.854527,38.25447,40.29208,38.23387,33.6901,27.552727,36.027473,36.027473,44.999897,60.64234,79.99209,113.962494,98.74608,65.22488,33.6901,66.037506,70.559875,113.62939,157.3801,173.82993,186.98096,190.3048,199.29015,182.96088,184.76355,194.99513,210.52963,170.53775,104.62092,73.07241,54.782326,126.86999,113.19862,44.999897,356.98727,340.76923,337.28555,332.04913,323.31018,330.4613,330.60403,328.69592,332.30063,341.98013,354.09393,358.5498,354.06857,345.5559,338.5522,332.1028,319.84406,306.46933,304.21576,294.44394,283.39252,275.44025,250.70985,241.55717,233.84172,229.76372,222.70937,208.7397,206.56499,215.53777,215.21768,226.97493,243.43501,271.33218,293.33405,309.69904,333.43503,335.13632,336.29733,338.07034,340.9307,337.75092,327.52884,335.14844,353.22443,352.87506,353.6096,351.5912,349.99207,349.3804,351.67444,351.31372,348.0707,347.70474,347.4712,344.2913,343.4651,351.43094,352.87506,352.14676,348.2749,344.84586,338.8752,334.02567,329.30035,325.78424,318.36655,308.65982,298.0724,282.09473,265.60138,245.55606,230.71062,227.12111,226.63654,224.9999,222.5104,218.92755,215.90982,212.47118,208.92633,206.02953,202.20352,199.0578,196.96623,198.43504,200.44963,199.65392,191.30989,173.21112,159.27437,158.74942,166.32867,175.4861,183.094,192.875,200.55612,205.7099,208.61037,207.75845,201.80147,194.62091,190.88548,193.57045,197.35411,199.8553,200.85454,202.6199,202.1664,200.77234,197.87878,196.18927,193.57045,191.09369
2025-11-06 01:02:12+00:00,2025-11-06 00:00:00+00:00,24.304548,22.93213,17.650223,36.027473,27.552727,38.65983,34.9921,54.46224,59.03632,354.80566,25.016869,70.346085,44.999897,120.96369,153.43501,165.96373,183.23964,198.43504,201.96062,194.03627,199.24962,198.71184,209.74478,202.93213,228.17992,227.60262,264.64426,268.49258,265.10098,289.85532,305.53775,310.97165,321.9529,326.0035,325.954,322.65057,331.55716,333.43503,337.3801,345.14133,10.304792,21.25058,6.3401003,346.90808,332.81897,323.67307,322.12497,325.0079,343.61038,360.0,216.86998,213.02386,214.15974,206.56499,204.30453,195.42223,209.7448,193.67133,195.12405,197.52567,206.56499,218.23386,247.3801,254.05453,283.7995,324.86572,337.19025,340.78012,339.82925,342.75845,339.74344,336.8014,333.43503,332.61267,329.22604,345.2803,344.56027,339.6768,341.0457,344.05453,344.99503,346.45206,348.31067,350.53775,353.24652,345.0183,346.84244,348.6901,348.147,345.61856,343.65173,341.80075,340.85178,340.8209,342.8972,342.7184,334.17905,335.69547,319.574,319.39877,330.4613,329.8587,339.44388,352.87506,12.7243595,6.3401003,305.53775,11.3098955,56.309914,99.46225,151.92761,175.76369,188.74608,195.15411,192.99461,195.67958,197.30061,195.33334,185.01303,166.2392,152.92801,155.37645,163.49556,171.46931,177.39749,182.3859,186.17007,188.017,188.74608,190.56096,193.29858,194.79681,197.41806,198.43504,197.78398,200.6745,209.74478,221.4676,226.36386,219.55963,207.40749,197.8504,193.06932,188.13002,187.94337,195.75124,209.7448,221.87778,234.86572,254.3577,279.86575,304.3804,323.13,334.35904,335.22488,332.52567,331.55716,334.44006,340.8209,345.9637,351.87,8.130019,63.435013,236.3099,250.0168,241.92761,214.50858,186.84268
2025-11-07 00:59:52+00:00,2025-11-07 00:00:00+00:00,243.43501,286.6993,224.9999,254.74483,247.06787,277.8532,278.42688,268.15244,312.7688,322.3057,333.8532,338.19852,323.39282,324.6051,335.22488,331.1893,345.774,350.53775,332.4028,337.75092,344.40714,334.05774,318.36655,305.83774,299.74478,304.3804,270.0,246.50142,236.3099,241.69934,244.35904,236.3099,204.77512,201.80147,220.36446,255.96373,228.50363,247.8905,327.61935,342.50415,347.17123,344.419,338.09674,350.72748,349.59235,344.6237,338.71353,342.3776,339.90466,337.4258,357.27374,354.95764,351.09836,347.79953,342.20392,348.14026,343.8865,346.47684,340.8209,343.96,350.6554,353.19104,351.3269,353.15732,353.41815,350.19397,349.50858,349.24908,348.40787,353.24652,354.4471,356.6982,352.30405,348.3664,349.04596,347.27563,344.2913,354.09393,353.6599,350.9098,351.4693,329.03632,323.13004,325.0079,265.23645,233.13002,214.50858,182.4895,197.44728,198.43504,201.41304,195.25517,197.61267,197.162,185.52745,165.96373,158.00882,163.55954,172.23492,179.24617,184.18483,187.94337,190.00792,191.30989,192.77124,193.84071,197.40279,198.1528,200.22495,200.55612,203.05133,209.60435,215.3113,214.56259,213.36638,211.60745,205.94225,200.37651,191.30989,180.0,173.29025,176.186,186.84268,196.69933,201.80147,201.80147,201.80147,44.999897,32.005356,28.30066,23.629398,19.440128,18.435053,20.224945,21.801476,28.810698,38.65983,46.39711,52.765083,55.304783,54.688713,56.88865,61.389645,69.14546,75.96373,84.55976,92.4895,97.12492,101.768265,106.9276,106.9276,99.46225,87.614105,83.15732,90.0,100.88548,111.801476,117.552734,123.6901,130.10085,138.17992,145.17545,154.2901,163.81073,174.95764,181.59111,183.17976,184.76355
2025-11-08 00:54:38+00:00,2025-11-08 00:00:00+00:00,304.82455,332.52567,327.72437,297.8972,224.9999,162.3498,233.13002,197.52567,173.29025,171.86998,285.94547,232.43134,257.00537,257.61926,317.2312,337.72403,341.74234,339.5129,331.89383,332.44727,327.75003,324.72748,323.71463,320.09216,321.91116,321.1466,328.62704,350.69012,352.17102,347.10626,342.25522,341.333,341.80075,345.61856,344.81412,348.6901,347.4712,353.9459,355.15607,356.23602,357.97867,357.3975,355.3467,345.78412,344.51144,348.26144,351.0695,357.79745,1.5481218,3.3664,3.46817,3.691312,1.9748993,352.14676,347.4712,345.9637,350.8377,358.26434,3.5762644,360.0,354.80566,330.64233,345.9637,17.354122,315.0001,174.2895,188.13002,188.74608,185.52745,190.53912,193.24052,180.0,157.96371,154.98314,161.27412,169.17703,175.60138,180.0,184.82068,188.49847,190.78426,192.99461,195.44638,199.35909,202.24907,199.48622,202.4259,210.46547,212.47118,214.641,220.60121,220.39983,230.9645,230.19447,213.6901,198.43504,207.89717,237.52882,255.96373,270.0,224.9999,33.6901,15.945477,4.23632,360.0,352.87506,353.82993,6.0089183,15.124064,20.924576,22.109503,11.3098955,22.833694,30.963696,41.185837,46.005,49.398785,55.304783,66.2505,82.56869,97.76508,103.39252,103.39252,109.290146,120.0685,133.36346,142.3057,148.39255,154.98314,160.0168,165.17348,169.99208,173.6599,175.71092,177.45525,180.0,184.08554,187.47147,191.48196,197.03786,204.14554,206.99576,201.19412,186.3401,175.91446,178.60284,189.68872,199.29015,206.56499,213.6901,220.31403,226.90913,234.78232,239.03632,241.50446,240.80261,237.99466,232.81522,227.20262,220.76352,216.11943,212.22873,210.32352,208.61037,206.14677,203.9625,200.4329,196.58742
2025-11-09 01:00:41+00:00,2025-11-09 00:00:00+00:00,320.44037,335.2826,351.87,352.6005,358.17206,353.41815,355.15607,354.50775,12.094739,7.5393586,357.3676,353.24652,352.62634,356.0549,360.0,353.88458,353.729,351.30457,347.4712,344.148,345.1545,347.1644,348.26144,352.76315,358.53122,356.42374,353.88458,345.4655,353.41815,351.2539,337.8336,323.97253,325.17545,330.9455,331.69934,332.52567,347.4712,350.9098,310.60123,325.71307,337.8336,321.70978,301.75943,195.6423,191.6336,192.5288,197.78398,182.3859,159.59003,158.40463,162.69939,169.47926,173.82993,177.8253,182.75905,185.97423,189.68872,190.88548,193.1092,193.65044,196.85847,197.10281,201.29742,201.96062,217.8066,223.87679,221.63345,224.9999,236.92932,226.08084,208.88649,213.6901,228.01286,282.80426,336.5014,356.82022,13.240531,30.465475,15.124064,16.189287,6.9111314,4.6353807,17.447285,20.924576,26.564985,32.195713,32.005356,41.185837,76.60749,107.74477,126.46933,138.81418,149.34941,156.0375,151.38963,152.52565,157.8336,168.0239,168.3664,163.14153,167.125,176.53185,178.31535,181.63654,173.29025,169.99208,163.61038,163.81073,166.37299,169.6952,170.83772,170.31128,177.33705,175.13557,175.13557,171.86998,168.05585,165.69969,165.06853,164.47583,163.30067,158.5522,152.6502,150.46132,154.8852,162.07199,164.47583,158.74942,150.2552,145.56096,147.72438,153.97047,158.40463,159.5671,160.61539,164.57777,173.9459,183.76396,188.13002,187.59456,184.25876,181.19347,176.98727,172.48795,169.91946,172.04257,177.04929,181.68465,186.3401,190.34863,193.80754,196.60706,199.0752,200.80687,201.27968,200.48709,200.19443,200.48044,201.42535,201.52266,200.32323,198.9705,196.38962,202.38017,208.44283,228.01286,296.56497,328.17258
2025-11-10 01:03:31+00:00,2025-11-10 00:00:00+00:00,356.53183,355.76367,355.91446,341.56494,319.89914,323.53067,337.01126,345.5792,351.87,346.42953,356.42374,356.42374,350.9098,330.5242,325.0079,346.373,357.79745,335.22488,333.43503,285.94547,194.03627,190.6196,186.3401,180.0,176.82024,173.6599,165.96373,175.36462,178.56793,186.98096,192.75752,194.99513,196.53491,197.61267,196.18927,195.25517,198.43504,203.55228,205.82094,228.36655,223.49261,251.56496,241.11351,234.0578,264.64426,287.52567,337.3801,12.094739,15.524177,5.19435,4.085537,7.12493,26.564985,1.9748993,2.0453732,354.2895,346.42953,358.45187,8.615564,14.036275,10.007925,23.805958,32.73523,42.27363,46.2188,61.113514,74.054535,90.0,105.945465,109.98319,130.36446,140.19447,137.72638,141.95291,144.86572,153.43501,175.36462,175.4861,174.14407,172.87508,168.40785,168.11136,165.61858,168.69011,163.44286,162.47433,167.31963,172.72508,171.7242,172.01076,171.74065,172.87508,174.95764,176.6336,182.12105,164.74483,146.3099,146.68936,152.81897,158.45895,165.61858,173.36758,164.74483,163.5399,163.17851,169.21574,173.99109,171.86998,173.29025,176.6336,175.101,170.75397,179.07597,183.31772,189.46225,187.92683,184.70776,181.30193,176.67267,170.88222,168.00313,171.06052,175.51547,179.48845,182.93561,186.18283,188.4612,189.07143,187.85323,187.0625,185.55986,183.51367,183.06642,184.899,189.06642,194.19858,201.37068,211.1224,220.81499,220.87231,217.6943,222.99045,260.36252,322.25314,338.11038,339.18484,336.0375,332.48807,330.9455,328.4311,325.30478,319.9698,313.4519,309.47244,307.38153,306.25394,305.11865,304.4027,303.83054,303.5507,303.147,303.16324,303.6901,304.9921,307.1584,309.0459,310.65668,311.94702
2025-11-11 00:58:39+00:00,2025-11-11 00:00:00+00:00,157.249,159.62349,157.47939,165.96373,175.07298,184.6858,188.00464,189.75235,189.16228,191.49654,195.25517,194.7436,204.77512,254.05453,211.82741,239.47037,262.23492,298.30066,270.0,258.11136,343.3007,352.23492,346.86597,3.0939984,8.365798,19.983198,11.3098955,360.0,2.4894993,326.97614,329.74365,330.5242,335.22488,330.75128,310.36444,319.89914,329.74365,308.2902,322.12494,350.53775,66.037506,90.0,113.198616,143.53067,140.82635,141.1155,138.99101,150.64235,157.01126,158.45895,161.56496,165.2564,164.87595,169.28693,172.09293,168.69011,165.96373,160.1447,167.125,178.21013,183.57626,173.08887,170.21767,162.07199,164.62369,165.2564,171.46931,170.53775,171.86998,169.99208,168.69011,172.64772,180.0,184.76355,180.0,180.0,187.59456,176.42374,156.80138,158.74942,151.92761,135.0001,132.5104,122.73522,103.39252,94.96966,90.0,101.3099,119.98155,131.49637,142.59457,150.1012,155.9245,161.91646,160.25307,171.02745,165.96373,160.0168,152.10283,156.97447,161.56496,163.41258,173.45381,176.6336,180.0,183.814,186.08844,186.17007,183.01273,184.87918,190.04929,192.89374,193.27641,199.1557,201.39296,200.87909,198.61578,196.18927,193.89122,192.26476,190.46912,188.65247,187.51205,187.67888,190.1246,194.56032,196.69933,193.19061,187.00117,180.0,177.7543,178.87672,178.89832,176.76036,172.7469,171.02745,170.38034,170.69014,169.93938,168.15794,166.18495,165.52966,166.15929,168.40785,169.3804,171.51114,175.23645,176.82024,170.07382,162.58194,160.40762,163.66388,170.18077,177.5634,180.0,181.39716,189.21095,210.69965,235.22209,251.56496,267.7543,287.74475,302.61923,311.63345,316.90915,318.991,317.36627,312.7974
2025-11-12 00:59:52+00:00,2025-11-12 00:00:00+00:00,90.0,126.25393,303.6901,326.3099,340.3461,341.56494,326.3099,329.03632,330.9455,335.85446,341.56494,339.44388,349.99207,334.44006,306.25394,323.13,70.70986,107.10281,143.74608,181.97488,191.6336,187.94337,171.86998,156.2505,158.5522,168.69011,184.23631,177.6141,170.13426,158.5522,167.90526,180.0,169.3804,135.0001,123.690094,135.0001,168.69011,180.0,171.57312,186.17007,195.52417,188.47105,187.12492,183.99083,185.7105,186.95287,188.97255,183.094,172.87508,177.79745,186.3401,186.70975,191.76826,187.43132,187.76508,203.9625,203.9625,212.27562,235.30478,263.6599,315.0001,126.86999,144.46223,150.64235,150.9455,152.44728,161.56496,164.47583,165.96373,167.61925,168.3664,172.09293,184.76355,199.65392,203.7495,207.55272,197.24155,197.81898,239.0363,203.6294,248.19853,198.43504,228.01286,235.0079,254.74483,263.6599,274.39862,270.0,289.29013,291.80148,315.0001,326.3099,270.0,284.03625,275.7105,231.34016,216.86998,247.3801,303.6901,352.40543,19.025702,26.564985,53.13002,52.253136,64.133705,53.471054,49.844074,43.91917,50.194473,63.435013,66.19405,72.55273,93.73133,88.78116,92.29056,99.65983,110.09532,118.495544,120.37905,116.56499,114.22774,116.56499,122.61923,130.0302,147.80429,173.4803,189.92618,198.03438,204.94388,210.17343,213.9965,218.15727,226.50737,243.88614,261.38443,274.39862,282.9465,290.6236,297.0505,305.6651,316.18518,325.52072,332.379,338.19852,343.23737,346.95435,348.6901,349.82455,348.54126,346.34955,345.7627,348.85715,353.85345,357.31628,357.1845,355.9859,356.82022,1.101687,7.969524,15.780828,24.775122,37.746864,49.574005,58.736336,67.83361,77.00539,87.70944,99.865746
2025-11-13 01:15:21+00:00,2025-11-13 00:00:00+00:00,160.90642,142.69597,144.46223,149.34941,156.0375,162.64589,169.99208,156.80138,158.96242,146.3099,147.99466,155.22488,171.86998,98.13002,150.64235,172.87508,182.86235,185.07951,175.33322,176.09958,167.98854,159.59003,156.16125,155.09526,140.71062,119.24873,114.90474,119.24873,163.49556,181.84756,176.30869,180.0,180.0,158.96242,172.14677,184.23631,221.18582,255.4655,257.73523,231.7098,241.1893,213.02386,200.55612,174.80566,174.14407,173.04713,174.2895,178.45187,188.3658,195.25517,204.30453,207.29948,201.80147,194.82652,191.30989,184.76355,189.86574,192.26476,206.56499,234.78232,247.1663,262.5687,272.86234,274.08554,265.60138,270.0,320.90613,330.9455,352.87506,3.8140097,7.12493,11.003508,18.03438,13.091906,12.528798,17.354122,19.179106,24.775122,34.56259,40.462154,39.98684,39.805527,41.760216,30.963696,33.340725,45.83023,53.3658,57.99466,73.300674,79.50858,88.93912,95.49223,97.96952,101.53459,106.699326,110.37652,113.962494,111.25058,105.945465,102.87501,91.3639,83.659904,95.04236,100.95402,100.71308,110.55613,124.3804,129.98683,135.0001,146.76828,136.2188,158.19853,273.17978,334.17905,353.6599,359.11862,5.7105074,10.097442,9.462248,7.7335134,6.3401003,7.59456,10.459866,12.8477125,14.796817,15.350199,17.354122,19.983198,23.552286,25.90646,22.380184,17.92802,15.708701,23.962492,37.30404,53.13002,64.5367,73.300674,87.13766,103.39252,116.56499,124.286934,130.36446,133.36346,133.36346,124.82456,115.76928,112.98875,119.53869,132.5104,141.34016,141.34016,137.60262,133.66785,133.66785,135.0001,135.0001,133.66785,133.72705,135.0001,140.38934,148.57048,152.35411,153.94656,153.43501,151.47697,146.61147,141.17017
2025-11-14 01:00:19+00:00,2025-11-14 00:00:00+00:00,154.35904,153.43501,136.73567,170.83772,195.06854,175.91446,174.47255,178.36346,178.02512,261.46933,249.22766,235.6196,262.8751,261.02747,218.65984,278.53067,343.3007,303.6901,78.6901,146.3099,153.43501,172.56868,171.86998,160.46326,171.86998,181.97488,191.30989,207.47435,220.36446,246.80139,235.6196,247.06787,255.52966,259.9921,254.05453,255.96373,57.264786,170.53775,236.3099,316.8476,358.6361,10.539137,17.418066,1.1691146,9.462248,6.20336,3.7313232,8.530692,10.304792,12.528798,14.676441,13.091906,18.853252,29.197395,40.763515,41.877792,39.98684,42.954597,44.999897,50.82635,61.92762,59.349415,64.2901,77.660934,90.0,91.19346,98.13002,104.57426,106.699326,109.133736,116.56499,120.963684,117.216034,111.541046,111.801476,104.38144,99.46225,99.24603,103.39252,106.31393,105.25517,108.43504,107.41806,116.0753,117.51192,123.17853,118.1785,116.56499,131.37842,137.56381,157.52052,204.22774,318.57642,349.28693,356.26868,9.549073,11.859754,10.539137,13.1575575,4.763556,6.5197067,4.467085,5.6174936,6.7660856,8.820306,13.535882,18.758749,21.370695,24.863682,21.801476,22.988754,36.326923,43.91917,55.407658,65.695465,71.564964,75.96373,79.28693,81.86999,84.644264,88.09089,93.691315,100.30479,102.87501,101.003494,96.340096,91.59111,86.82024,83.659904,80.2725,78.366394,77.660934,80.83774,88.21013,96.91113,106.38962,117.25525,127.74687,135.0001,136.04153,132.70937,130.23628,130.76352,133.1524,137.41954,146.853,156.0375,161.56496,163.52304,165.12427,164.57777,162.18102,158.5522,157.30617,159.67677,164.19742,169.11452,174.40076,180.0,189.46225,207.07199,224.9999,241.8215,265.60138,291.52267,304.43906,308.4181,307.97165
