forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:03+00:00,2025-11-05 00:00:00+00:00,7.1745424,7.101298,6.407407,6.107024,5.516005,5.014759,4.942248,5.5313725,5.8235087,5.7957015,5.7575502,5.9953613,6.1716084,6.073903,4.3108826,3.2588398,3.224774,3.2696688,2.2860763,1.1177083,0.49560124,-1.0923817,-0.979485,-1.1952493,-1.014076,-0.44682747,0.16893856,0.51251477,0.4520981,0.4508747,0.34926337,0.19577746,-0.2774724,-1.0578367,-1.293623,-1.6709099,-1.5876485,-1.3041428,-0.04743516,1.7835312,3.765831,5.8687925,8.370861,11.254967,12.132515,12.607528,12.894989,12.94752,13.023451,13.015231,13.09952,13.09952,13.175357,12.799942,12.049165,12.000201,11.845754,11.77298,11.599207,11.452336,10.960567,10.512685,10.196668,9.257419,6.9849076,4.051884,1.6392738,1.9831783,0.3201919,-1.2896619,-0.5862704,-0.15042806,-0.7608629,-1.0231653,-1.3058723,-1.464579,-1.9156052,-1.7263614,-1.4679474,-0.7782485,-0.076104715,0.4730775,1.0263306,1.0528021,1.2129278,1.16408,1.4144118,0.62386185,0.13247173,0.6426614,0.31670114,0.13378823,0.17885935,-1.2397785,-0.98251784,-1.6084813,-1.8594791,-2.6822,-2.4579313,-1.6484697,0.8369899,1.2051834,-1.112352,-3.7914143,-6.155413,-7.7208705,-8.5934725,-8.953663,-9.587545,-10.3411255,-10.9895935,-11.471577,-12.489488,-13.241717,-12.873609,-13.281026,-12.595736,-12.510098,-12.049338,-11.958802,-12.215379,-12.283358,-12.400583,-12.528128,-12.665534,-12.468369,-12.494865,-12.437636,-12.666037,-12.570447,-12.756672,-12.950345,-13.078077,-13.104608,-13.293393,-13.766797,-13.657348,-13.789614,-14.078734,-13.748265,-13.1298,-11.863966,-10.242562,-9.41568,-9.098804,-8.881245,-8.336999,-8.056401,-7.7569375,-7.435849,-7.35295,-7.321959,-7.5069985,-7.6920495,-7.8066573,-8.13127,-8.154728,-8.123567,-7.9227476,-7.7174287,-6.9451327,-6.205149,-5.201453,-4.525552,-3.3194458,-2.1918132,-1.0700576,-0.4046173
2025-11-06 01:02:17+00:00,2025-11-06 00:00:00+00:00,2.467165,2.4463599,2.2728336,2.1475062,2.202097,1.8016313,1.2783549,0.6066008,0.14845511,-0.7696703,-1.1445885,-0.6899448,-0.531299,-0.06521651,1.8967669,3.8648002,5.097583,6.823758,8.41687,10.277235,12.018079,12.897774,13.55318,13.486324,13.358426,13.244226,13.2220545,13.406056,13.118553,13.346543,12.455487,10.547889,8.5302,6.857011,4.3163037,3.3495393,2.9754984,2.5675678,3.7162158,2.7056615,1.9156852,1.2106653,0.44102326,0.23531929,-0.3273822,-1.6854441,-0.8684675,-0.38520688,-1.0913416,-1.0650156,-1.0361112,-1.0810695,-1.5565928,-1.8247745,-1.5306976,-1.3292868,-1.2841921,-1.419481,-1.3167229,-1.4405482,-1.3606,-1.4604537,-0.4917456,0.5367506,1.0385154,1.0734012,0.47802418,1.7421595,1.2389877,2.5242167,1.0464944,1.2019577,1.481993,1.9611601,2.1766644,2.4633594,2.3173833,1.9767647,1.4221883,1.6820235,0.4681533,-0.16456561,-3.403437,-5.137463,-6.808009,-8.109298,-8.852623,-9.69388,-11.317212,-12.723839,-12.441687,-11.564033,-11.037657,-10.462005,-9.871107,-9.376139,-9.1712055,-8.948675,-8.548677,-8.464102,-8.344555,-7.846303,-7.433266,-7.3451967,-7.3143983,-7.3709774,-7.3394485,-7.424778,-7.5226073,-7.7084074,-7.7964115,-8.651227,-9.808266,-10.3919325,-10.161079,-10.225722,-9.352543,-8.802361,-8.258688,-7.6567006,-7.662419,-7.5532594,-7.1224403,-7.019304,-6.972641,-6.73934,-6.703386,-6.9257402,-7.1683474,-7.3868093,-7.629231,-8.155566,-8.240976,-8.181787,-8.391928,-7.998805,-7.2262588,-6.680527,-5.518869,-4.4740286,-3.1484723,-1.6316302,-0.8074537,-0.30553102,-0.22458778,-0.11511266,-0.03247952,0.0701932,-0.16503675,-0.6276227,-0.7782485,-0.9817157,-1.1449696,-1.2208213,-1.3488314,-1.1511645,-1.1072239,-0.9352399,-0.5376765,-0.08860172,0.54297453,1.0634729,1.5670003,1.5102882,1.7682451,2.2606354,2.8563833,3.0659578
2025-11-07 00:59:57+00:00,2025-11-07 00:00:00+00:00,13.01471,13.050709,13.724961,13.279545,13.012034,12.873388,12.395047,11.725989,10.521267,9.732247,9.041829,8.141237,7.3967175,6.3012056,7.5276103,5.4813595,3.948545,3.3602319,3.0260713,2.380113,2.1800117,2.380113,1.1394014,0.14786592,-0.3983832,-1.2858349,-1.9291434,-1.9436173,-0.8924385,-1.0771561,-1.0824732,-1.16948,-1.4210033,-1.1006613,-0.6279399,-0.5863044,-0.5809758,0.24795015,0.3996391,1.3073919,1.6964172,0.18369614,2.845875,1.1551608,0.76735324,2.2984517,2.406845,2.3317175,2.3258848,2.4608796,3.3337154,3.9173326,4.0374503,3.698579,3.4301283,4.1616426,2.8177612,2.0076108,0.9452117,-1.4301375,-3.2843912,-6.6437383,-7.389025,-8.372789,-9.269619,-11.373489,-12.891757,-13.133995,-13.192834,-12.743432,-12.656608,-12.7517395,-12.355535,-11.761847,-11.250291,-11.017912,-10.793371,-10.76359,-10.382603,-10.259303,-9.939433,-9.651485,-9.539467,-9.392284,-9.251244,-9.169208,-8.953663,-8.919755,-8.649242,-8.566371,-8.569593,-8.307544,-8.495782,-8.74159,-9.090678,-8.675038,-8.836009,-8.786073,-8.817913,-8.398575,-8.603634,-8.761755,-9.144174,-9.421136,-9.437562,-9.033839,-9.054229,-8.524684,-8.345873,-8.211775,-7.9478326,-7.3843584,-6.561445,-4.9207926,-3.7137988,-2.849318,-1.8668125,-0.6840833,-0.06362119,0.58980644,0.5466998,1.0235469,1.26968,1.7128185,1.7841891,1.9995499,1.892429,1.8323671,2.0055344,1.9580548,1.98524,2.008812,2.1755013,2.5147142,3.0926971,3.3906655,3.725496,4.2145796,4.2688236,4.60306,4.7788835,5.025813,4.800648,4.3134084,3.4367576,2.9291756,2.2806895,1.4534622,0.20607665,-1.303402,-2.7644238,-3.579037,-4.2623796,-4.623637,-5.0301194,-5.0733585,-4.9374723,-4.7256813,-4.4606004,-4.076789,-3.5106626,-2.4081297,-1.3731523,-0.38271615,1.133332,2.291744,3.3201423,3.8434496
2025-11-08 00:54:42+00:00,2025-11-08 00:00:00+00:00,-1.1482515,0.10335415,0.18969633,-0.80760723,-1.8079116,-1.7332891,-2.0525305,-2.2114353,-1.5849748,0.4037359,-0.3461504,-0.04084084,1.8941207,2.0862074,2.417412,2.1003866,1.7373047,1.2723229,2.044371,3.2978354,2.889343,2.4724705,1.5471154,1.3605405,0.85579336,-1.6311437,-1.7456762,-0.5850665,-0.009726193,1.0957447,2.711969,1.3637162,-0.083055645,-1.2889382,-2.923137,-4.8706617,-5.2281685,-4.8986835,-6.3427305,-7.3027897,-9.027535,-9.686491,-10.3935995,-13.872597,-14.138097,-14.223831,-13.625109,-13.591752,-13.564152,-13.595466,-13.479084,-12.768246,-12.435303,-11.602071,-11.042704,-10.5882635,-10.23424,-10.013643,-9.874203,-9.517578,-9.308281,-9.328113,-9.05742,-9.072292,-8.817527,-9.144174,-9.10593,-8.836123,-9.01343,-8.836933,-8.763932,-8.352373,-8.310833,-8.33982,-8.455915,-8.240181,-8.426507,-8.426507,-8.270399,-8.495074,-8.955105,-9.425885,-9.41398,-9.1235485,-8.792932,-8.2266245,-7.5990047,-6.5586205,-5.6401925,-4.7382073,-3.7421005,-2.6812217,-1.2451494,-0.018223854,0.6192397,0.95562875,1.3694582,1.6660724,2.2708437,2.6511211,2.8402956,2.9687924,3.0763094,2.9323924,2.8364463,2.6335423,2.2470624,2.3629968,2.141124,2.0108793,1.6901824,0.7311318,0.3197181,0.64735305,0.6684934,0.5889624,0.43922338,0.50184214,0.6031473,0.42876005,0.113343604,-0.2161784,-0.62954175,-0.9510878,-0.9909843,-0.7201494,-0.6855103,-0.74934006,-0.5673349,-0.60039824,-0.7791093,-0.91631526,-0.8223798,-0.754032,-0.53510135,-0.13912371,0.26560113,0.2844533,0.2863119,0.35243773,0.35991934,1.0680664,1.7479576,2.040868,2.3764715,3.4837275,4.6277246,5.9059577,7.0016594,7.808164,8.522659,8.80572,8.80572,8.855103,9.032559,9.203066,9.600155,10.205573,10.80694,11.413724,11.965256,11.978147,11.461697,10.85589,10.577338,10.48789,10.919509,10.9882965
2025-11-09 01:00:45+00:00,2025-11-09 00:00:00+00:00,1.9590265,1.8725268,2.1351995,2.3728545,2.0848193,0.6885946,0.15809482,-0.9995066,-2.6359751,-3.2538435,-4.0398564,-4.7195716,-4.9464,-6.6260424,-6.955767,-7.599337,-8.083335,-8.727717,-9.3090515,-10.054949,-10.40519,-10.074972,-10.422225,-9.675596,-10.41641,-10.237235,-10.995023,-10.8668,-10.402082,-9.950187,-10.240444,-10.702294,-10.72423,-10.506534,-10.465397,-11.087964,-11.212632,-11.7663555,-9.298671,-8.425416,-8.400831,-7.9446287,-8.199685,-12.003281,-11.789133,-12.069497,-11.480808,-10.940178,-11.045469,-10.991824,-10.739257,-10.420055,-10.031014,-9.522853,-9.012532,-8.595061,-8.691671,-8.948675,-9.014139,-8.926751,-8.737171,-8.466505,-8.316299,-7.5837984,-6.595772,-5.3546267,-3.8736186,-2.427474,-0.9122867,0.15803596,1.3018771,1.9673324,2.219443,2.5619214,3.0791395,3.4129968,3.5276375,3.7575355,3.6678205,2.8251162,1.358406,1.2162074,1.933392,2.3087113,2.465947,2.5980043,3.0763094,3.2028115,3.1344044,2.3780136,1.8847241,1.0680664,0.74879086,0.74879086,2.5014603,1.5306939,1.2228099,1.005892,0.94248277,1.0835942,1.2019577,1.392385,1.9522997,2.460039,2.7176743,2.9840288,3.1523108,3.1742504,3.3428686,3.4381459,3.8224592,3.7889767,4.072155,4.711378,6.492284,8.000825,9.686256,11.172444,12.436071,12.8993,12.930541,13.177048,13.369769,13.438614,13.505611,13.620416,13.471525,13.286323,12.888772,12.700692,12.609921,12.410647,12.551422,12.960376,13.670095,14.252485,14.407948,14.050152,13.738614,13.545814,13.820634,13.959751,14.055958,14.279462,14.374228,14.279705,14.174135,14.174135,14.13791,13.955101,13.623579,13.089073,12.587887,12.493888,13.055207,13.686351,14.17134,14.333436,14.219466,14.294812,14.482504,14.568124,14.668097,14.750141,15.037589,15.094759,15.397606,15.710175
2025-11-10 01:03:36+00:00,2025-11-10 00:00:00+00:00,-11.426531,-11.333449,-13.18915,-13.722505,-13.232366,-12.882778,-11.86964,-11.003678,-10.048102,-9.361552,-9.298671,-9.542623,-10.372108,-10.7746105,-9.611449,-9.507509,-9.346703,-9.317862,-8.962137,-9.22716,-9.591622,-9.323271,-9.502168,-10.134897,-11.394152,-10.914383,-10.769322,-11.359105,-10.925371,-9.346068,-9.018265,-8.499765,-8.146292,-8.769983,-9.129496,-8.996863,-9.018953,-9.402163,-9.633309,-9.274203,-8.080837,-6.675502,-5.8147507,-2.427045,-1.2973157,-0.28247535,0.9125706,1.2553277,1.5735018,1.625611,1.9476806,2.14091,2.2235436,2.2429268,1.51398,0.95660955,1.0982779,1.3247433,1.6522654,1.694706,1.6755712,1.5410142,1.1927234,0.35720724,-1.2525043,-1.4276303,-1.4162283,-1.1817322,-0.96734446,-1.1388525,0.2863119,-0.48537266,-0.6325957,-0.99875575,-1.05572,-1.2119777,-0.94493383,-0.6855103,-0.5860455,-0.5206615,-0.21669528,-0.2118545,-0.21669528,-0.35273632,-0.074282005,-0.12968579,0.13269223,0.89646256,2.2728367,3.2208188,5.020333,7.7779803,8.933665,10.480087,11.182298,11.609079,12.171889,12.534173,12.607813,12.597067,12.349549,12.479883,12.727064,12.560104,12.410647,12.161553,12.167953,12.26771,12.609921,12.750448,13.257778,13.490074,13.513861,13.2928095,12.695212,12.548115,12.653593,13.066053,13.471466,13.815851,14.032619,14.282394,14.486996,14.541177,14.698132,14.830881,14.652602,14.099459,13.520365,13.008067,13.18694,13.429078,13.786298,13.8344345,13.862386,13.862386,14.154884,14.17977,14.515219,14.876755,15.268827,15.149156,14.027473,12.562481,11.363378,11.164107,11.427285,11.424985,10.837347,9.990863,9.068334,7.9006076,6.441511,5.215386,4.449913,3.9253137,3.5440636,3.338213,3.3011177,3.1603098,2.6464434,2.058778,1.3882594,1.2716937,1.5889983,1.646282,1.5498446,1.646282
2025-11-11 00:58:42+00:00,2025-11-11 00:00:00+00:00,-9.516449,-9.733871,-10.101227,-9.818876,-9.442061,-8.577096,-8.094191,-8.201125,-8.050322,-7.9984293,-8.029637,-7.6936226,-7.522838,-7.1060967,-6.8850055,-6.288866,-5.1289077,-4.061884,-3.639229,-2.5762272,-1.8081877,-1.6279764,-1.0379283,-2.0019767,-2.2701735,-1.7716599,-1.401019,-1.2855047,-1.8212041,-1.9504988,-1.8522071,-1.7448725,-1.5458065,-1.9577007,-2.674599,-3.0054657,-2.3579204,-2.2442384,-0.15775171,2.5606046,3.5906153,4.352347,3.7492814,-1.2246144,-0.8387269,-1.2674963,1.0009694,-0.7608629,-1.215947,-1.2262752,-1.1806389,-0.58360887,-0.21129331,0.41266388,0.91755253,1.0982779,1.1927234,1.419364,1.7375782,2.164109,2.628239,2.953951,3.4595697,3.7467737,4.1620445,5.182623,6.5921154,7.7282333,8.636765,9.464023,10.040288,10.212294,10.449977,10.879826,11.010342,11.395423,11.625251,11.620324,11.589963,11.557471,11.161423,10.814874,10.304462,9.892106,9.694585,10.022751,11.359447,12.189708,12.758617,12.699009,12.616027,12.482659,12.378581,12.378581,12.70009,12.723307,12.968027,13.2054825,13.490074,13.4691305,13.811856,13.89027,14.107614,14.165313,14.20353,14.018651,13.691675,13.40476,13.15703,12.706113,12.327567,12.436071,12.332056,12.871319,13.020231,13.436332,14.478054,14.994404,15.032952,14.816871,14.409982,14.384156,14.511608,14.578258,14.482504,14.307726,14.034504,13.7959385,13.686351,13.599101,13.478825,13.4966955,13.285304,13.111288,12.838852,12.921482,13.530079,14.299851,15.171957,15.730492,16.093838,16.301615,16.406034,16.160313,16.07997,16.17476,16.028341,16.16171,16.351902,16.408562,16.466589,16.349953,16.309572,16.138075,15.715608,15.15891,14.876488,15.010021,15.418619,15.465752,14.567912,13.051768,11.487385,10.823718,10.3155775,9.910294,9.752148,9.693787
2025-11-12 00:59:56+00:00,2025-11-12 00:00:00+00:00,-1.6844211,-2.0340927,-2.0742502,-2.902804,-3.0393183,-3.0804403,-3.3091736,-3.4921737,-3.524782,-3.2592163,-3.1287737,-3.2221906,-3.2118824,-2.8812637,-1.550137,2.1233547,2.9361656,2.967767,1.5736707,1.0526567,0.15297633,-0.23901202,-0.6656338,-2.7202132,-3.203525,-3.3238745,-2.8553517,-2.6219409,-1.6753732,-0.116406776,0.43238273,0.5171239,1.1553242,1.6529527,1.5052937,1.360405,1.5535897,1.601885,3.1771476,4.385555,4.695155,5.461857,6.871188,8.450369,9.535289,9.948199,10.616758,10.673869,10.870588,10.782747,11.000034,11.2556305,11.57095,11.589963,11.557471,11.374184,10.977618,10.680195,10.270292,9.859464,9.612239,9.4639015,10.366424,11.070095,11.112737,11.353263,11.0490055,11.238006,11.111838,11.02134,11.599252,11.868649,12.180441,12.328008,12.33552,12.283784,12.405228,12.407109,12.437453,12.529321,12.6960745,13.1225815,13.15171,13.150908,12.86124,12.627802,12.805305,12.675544,12.148299,11.313903,9.862769,8.681197,7.545896,6.9217834,7.3701215,6.854913,6.449555,6.1379943,5.265065,3.5448253,3.0441754,2.974189,3.713291,4.0339036,4.3073125,4.434325,4.6845355,4.777015,4.790837,4.458055,4.119422,3.564398,3.806451,4.0357194,4.0961637,4.119464,4.5151396,4.71,5.0192556,4.859797,4.6477337,3.7977035,3.0441754,2.2672951,2.040868,2.1366065,2.6996293,4.068041,5.574911,6.6396313,7.384365,7.935233,8.621163,9.6452055,10.996663,11.640617,11.056691,8.231239,4.2006807,2.9719734,3.4439416,4.9647374,6.4490266,6.909749,5.955753,3.0623474,-1.2726727,-3.746995,-3.1440077,-1.4617586,-0.6649787,-1.2413083,-2.1257389,-3.0518193,-3.6456542,-4.0245833,-4.335812,-4.4015794,-4.4377794,-4.443611,-4.5968523,-4.6806507,-5.490536,-6.2564554,-7.6002254,-8.2347355,-8.402835,-7.9994574
2025-11-13 01:15:24+00:00,2025-11-13 00:00:00+00:00,-0.8430448,-1.1140484,-1.014076,-1.3445393,-1.0833293,-0.63666916,-0.06605278,0.51251477,1.2063686,1.3409959,1.4124398,1.347422,1.6819134,1.6589247,2.5872648,4.215569,4.8340216,5.14351,5.835942,7.5819407,7.8579726,9.4238825,10.277235,9.315617,8.836597,8.193275,8.654789,8.882474,8.43266,9.019683,9.957804,9.534987,9.2190695,8.803485,9.022068,9.120569,9.436358,9.337726,10.885419,13.020488,13.871914,13.914188,13.816225,12.011867,11.419982,11.283503,11.721586,11.814958,12.180441,12.52996,12.716726,12.375474,12.258541,12.456216,12.805305,12.930518,12.854676,12.930518,12.905517,12.706558,12.514268,12.068152,12.437453,12.430263,11.868937,10.990664,10.281117,8.971873,8.295333,7.683146,6.962605,5.5924478,4.3946924,3.0659578,2.493704,3.2487228,4.544319,5.0440063,5.344251,5.676618,5.65009,5.4389224,4.9670897,3.5334194,2.0343378,1.0570298,0.29872805,-2.278534,-4.1665893,-4.2722826,-4.3552485,-3.6742294,-3.4189332,-3.5891244,-3.3272803,-3.3740206,-3.4792929,-4.3713713,-4.642759,-5.085318,-5.6694217,-5.9792213,-6.2564554,-6.5257473,-7.1128144,-7.3691425,-7.4552574,-7.0695796,-5.91395,-5.6673303,-2.4928546,-3.524057,-1.4714274,0.40205777,2.1535628,1.5250301,-0.28119776,-1.9140625,-3.3123853,-5.0608845,-5.8521013,-5.1345687,-3.6146674,-2.6075523,-2.1963406,-2.1963406,-2.1963406,-2.1140757,-2.0355716,-1.9607172,-1.5835402,-0.9678667,-0.4746681,-0.18352105,-0.13867341,0.036771204,0.047182757,0.039362293,-0.25427195,-0.2521952,0.29609558,0.547944,0.5749549,0.63332653,0.26810563,0.05473154,-0.2629231,-0.5372853,-0.767992,-0.71239156,-0.7612962,-0.7650762,-0.49090862,-0.35732135,-0.19406179,-0.16456561,0.078793064,0.36950406,0.3892802,0.8435169,1.6696936,2.6516173,3.3483312,3.8862233,4.5757256,5.0034437,5.4165177,5.4308224
2025-11-14 01:00:24+00:00,2025-11-14 00:00:00+00:00,10.3379345,10.604816,11.028482,10.741005,10.489316,10.139486,10.470511,11.065806,11.359563,10.893486,10.57058,10.471954,10.521267,10.57058,12.158463,13.634383,14.644505,14.67475,14.09812,14.418013,14.109056,13.969315,13.588948,12.340689,12.589659,12.777375,13.150536,12.6394005,12.0984955,11.557572,10.89166,10.211586,10.015965,9.881983,9.019683,9.09859,9.652118,8.435952,10.439278,12.567735,12.60451,10.7156925,8.217257,7.4142265,5.494124,4.5533824,5.2652664,3.963321,3.6708293,4.255105,4.6878924,5.494868,5.806694,6.2293077,6.323254,6.207403,5.3428555,4.1012645,2.7937996,1.3816042,0.21076058,-0.9407411,-1.5436426,-2.323382,-3.2161336,-3.100888,-2.450427,-2.0824916,-1.7392855,-1.5023848,-1.3841926,-1.3844442,-1.9354405,-2.130904,-2.401427,-2.6361675,-2.6975183,-2.9256291,-3.1081321,-3.1993868,-3.518811,-3.7926345,-4.275406,-4.2303824,-4.5532393,-4.9514327,-5.268971,-5.329761,-4.505216,-3.4000175,-3.34512,-1.8694737,-0.43953824,-0.26133287,-1.426597,-5.799936,-5.8516273,-5.734574,-5.914261,-5.8435326,-6.1607356,-5.6408906,-4.6322465,-4.039421,-3.4282117,-3.0765243,-2.3196602,-1.4569589,-1.1513917,-0.90668964,-1.1703656,-1.4417036,-1.7985554,-1.8346347,-1.7263614,-1.5880859,-1.1358324,-0.5441105,-0.262103,-0.12034567,-0.07041635,-0.12968579,0.12587292,0.20096275,0.2249703,0.50111705,0.65859586,1.2531022,1.8869141,2.321307,2.5609598,2.5126717,2.5609598,2.6575375,2.610582,2.8014953,3.2770545,3.7828927,4.531443,5.248051,6.039557,6.8459454,7.485721,8.111181,8.200779,7.779192,6.987424,6.6044292,6.8575435,7.3735805,7.667902,7.864115,7.886249,7.935233,7.864115,7.6431556,7.66531,8.030131,8.591069,9.182874,9.731076,10.2372465,10.791577,11.248305,11.526765,11.886607,12.415132,12.8759575
