forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:23+00:00,2025-11-05 00:00:00+00:00,0.2836723,0.08080582,-1.4574059,-1.778252,-1.6811926,-1.4603367,-1.7864496,-1.1873324,-1.2360661,0.13009462,0.7409322,0.8388354,1.3647524,3.48099,6.3625283,8.125939,9.18202,8.921287,8.4476795,8.589084,8.589084,8.122528,8.233685,8.460278,9.078884,9.630629,8.030902,6.4832544,4.982271,3.2965965,2.7128842,2.0763028,1.7609456,1.1778429,0.77135575,0.3333393,-0.028753266,1.8343586,3.4124227,3.3150406,1.8884206,1.1880398,1.5052454,-2.0197039,-2.2824876,-2.0327282,-0.51221615,-1.1684748,-1.2702739,-1.5497817,-1.65524,-1.888215,-2.2640767,-2.4520214,-2.3580477,-1.888215,-1.3735007,-0.31675428,1.1912955,2.9505444,4.3489556,5.607483,7.1743913,8.199199,8.769164,9.178539,9.883188,10.537513,11.074818,11.930592,12.438205,12.102925,13.09261,13.81075,12.974094,12.815629,12.517089,12.357539,12.467333,12.426091,11.534975,11.135935,10.836653,10.283862,9.885301,10.121221,10.35979,9.532781,8.690316,8.052254,7.449427,6.415271,6.8717985,7.1365247,7.470863,6.9623866,6.8313937,6.774754,6.505777,6.407661,6.3095455,6.450803,6.4016113,6.155648,5.990914,5.7865787,5.3188076,4.7852345,3.8935053,3.379428,2.7167535,2.7973132,1.5619104,0.038408976,0.6967933,0.50388896,0.16859123,-0.12032842,-0.9859803,-2.044019,-3.250041,-4.3180046,-5.5523853,-6.3315525,-6.7393217,-6.903039,-6.986036,-6.9865904,-6.903092,-6.7340345,-6.8466544,-6.8654137,-6.8466544,-6.8426647,-6.900308,-7.186784,-8.061644,-9.362191,-10.344736,-10.279859,-9.084986,-8.091689,-7.2347775,-6.765146,-6.644355,-6.4600706,-6.3149652,-6.2707214,-6.2293115,-6.0460653,-5.9616165,-5.75169,-5.6480618,-5.4563313,-5.4194465,-5.5510316,-5.5343103,-5.285823,-5.2200994,-5.418694,-5.7654114,-6.281183,-6.4200373,-6.3661375,-5.6757307,-4.9294715,-4.487204,-4.386977
2025-11-06 01:02:48+00:00,2025-11-06 00:00:00+00:00,8.099387,7.3994427,8.374375,7.526481,5.498269,4.238549,3.2400565,2.0798526,0.75083846,0.22559854,-0.29969513,-0.3196284,-0.9965914,0.016358512,1.733856,0.8410567,0.13985094,-1.057677,0.19377534,-0.96537286,-1.480732,-1.658357,-1.8646289,-2.7539449,-2.603461,-4.2385716,-4.529923,-4.352262,-4.6295485,-4.78339,-5.4153337,-5.7735963,-6.274089,-6.365919,-5.3228784,-3.1630306,-0.6906575,1.8652132,5.211384,7.1021132,8.313508,9.085614,10.069238,10.962473,12.030794,13.224952,13.336153,13.389554,13.335654,13.2654505,12.940973,13.263436,13.561972,13.089866,12.482691,11.62899,11.080978,10.582783,10.134402,9.78566,9.233041,9.615541,10.037454,9.870998,9.562499,8.934964,7.664159,6.5551176,6.2427363,6.813779,7.012913,6.1472526,6.016717,5.848035,5.85877,6.004707,6.088254,6.2460356,6.849175,8.1296625,8.95158,9.691536,10.023125,10.065116,8.753135,5.617966,4.640531,4.3010216,3.618843,3.912996,2.8552098,1.9397498,1.0704712,0.99338645,1.0722221,0.072285786,-0.051561974,-0.10362048,-0.80475914,-2.0384881,-2.834464,-3.6792421,-5.1649547,-5.838306,-6.589199,-7.721353,-7.5065427,-7.0591216,-6.667929,-6.768562,-7.3685894,-6.1064377,-5.646131,-7.387403,-8.24731,-8.4515,-7.928963,-7.4677916,-7.26136,-6.999418,-7.137472,-7.490325,-8.034873,-8.581428,-9.130068,-9.905673,-10.368092,-10.5085125,-10.602128,-10.468447,-10.526698,-10.589507,-10.573694,-10.6561365,-10.90813,-11.11772,-11.275504,-10.892492,-10.64042,-9.8192,-8.307524,-7.482881,-6.919383,-6.9625444,-6.564,-6.270416,-5.5965567,-5.2893004,-4.918662,-4.625851,-4.163721,-3.8402736,-3.6554623,-3.251345,-3.1760273,-2.9476693,-2.761251,-2.2944498,-1.667543,-1.1063845,-0.3936414,0.23441674,1.1381363,2.1052728,2.988374,3.7784379,4.321791,4.6971235
2025-11-07 01:00:35+00:00,2025-11-07 00:00:00+00:00,-1.8699294,-4.4777727,-5.3909073,-5.8864646,-5.2660127,-4.436229,-4.7559595,-5.4561124,-6.477836,-6.7959905,-6.476279,-3.1630306,0.6165665,4.4783554,8.364278,9.441474,10.551327,11.263603,10.444339,11.3246,12.215326,14.16809,14.221551,14.172116,14.044019,13.69751,12.22418,11.53293,11.10692,9.736688,8.750367,8.139966,7.582479,7.9894457,7.889683,7.340435,7.289885,7.637,9.322081,10.40546,10.693995,10.619978,9.923643,5.599539,5.3586416,6.519701,6.2440696,5.2580996,5.2107415,5.2409215,5.1675696,5.1656084,4.9874682,5.134746,5.3762417,5.565777,5.999474,6.863819,8.425964,9.367362,9.367362,8.222685,7.156626,6.573893,6.4811244,5.6454515,4.796844,3.927108,2.495024,1.4340286,0.9274889,0.74010324,0.6019471,-0.02438757,-0.80105907,-1.5199593,-2.0920324,-2.4286518,-1.5610857,-2.3399994,-3.8379245,-4.696635,-5.9312153,-6.2388644,-6.0623765,-5.606435,-5.807133,-5.7895827,-6.915135,-7.733337,-8.347237,-8.995836,-8.734361,-7.3252387,-7.1888466,-6.6750875,-6.5211296,-6.7868056,-6.751862,-6.938219,-7.320768,-7.9038644,-8.591565,-8.9241,-9.365777,-9.460631,-9.714899,-9.697774,-9.68427,-9.357716,-9.554785,-9.293599,-9.136786,-8.794481,-8.733025,-8.117442,-7.347294,-6.957682,-6.798984,-6.326377,-6.1466866,-5.6723223,-5.2235303,-4.939242,-4.430295,-4.1083484,-3.8784084,-3.648855,-3.251345,-3.1760273,-2.9476693,-2.934008,-2.7471924,-2.2689126,-1.9439245,-1.38066,-0.93592596,-0.18820663,0.41598424,1.0734875,2.3298995,2.8733878,3.314034,3.3875134,3.5688322,3.7042677,3.7423995,3.9498024,4.068282,4.108742,4.0727105,3.6839526,3.1036487,2.5716624,1.8945345,1.2173426,0.5537974,-0.16430993,-1.2461793,-2.3945835,-3.1970618,-4.020343,-4.1522303,-3.8464844,-3.0524879,-2.4543214,-1.8454573,-1.8517951
2025-11-08 00:55:04+00:00,2025-11-08 00:00:00+00:00,13.945017,13.5490055,12.689009,13.021343,12.046299,11.216067,10.180513,9.201383,8.611172,7.676625,7.1355443,6.5944443,6.151713,7.0241776,10.553199,11.167828,11.661822,11.499136,10.971272,10.513626,10.3981285,11.423824,10.93188,9.461179,9.024092,8.8073635,8.709264,8.561986,7.7750006,7.6160316,8.370655,7.1017623,6.3971934,7.112964,7.408847,7.992206,6.966787,4.909134,4.441267,4.4681635,4.294069,4.015284,2.3975036,3.2224116,2.1864903,1.9431885,1.9778067,1.3885611,0.021604812,-0.21955083,1.6718192,1.3703898,0.7177648,-0.90672946,-1.5696295,-3.54114,-4.213856,-5.5509386,-6.353342,-7.0884256,-7.620353,-7.733253,-8.354055,-8.686633,-9.277673,-9.912466,-9.775574,-8.480795,-8.817544,-7.974162,-8.256022,-7.608599,-7.8882923,-8.4496,-7.7269263,-7.5225735,-7.272139,-7.9038644,-8.63907,-10.103765,-10.321287,-10.461705,-10.56225,-10.385715,-10.165742,-9.868821,-9.110888,-8.934721,-8.52021,-8.597406,-8.510826,-8.1116905,-6.5992365,-5.8330803,-5.9025264,-6.0928116,-6.0466805,-5.7352543,-5.2185216,-4.5684934,-4.17752,-3.8996377,-3.5472915,-3.3616538,-3.2688398,-3.1296222,-2.7803998,-2.5748425,-2.2700884,-1.9893348,-1.1771103,-0.2894666,0.7266419,1.8309804,2.6589568,3.1744866,3.2702487,3.082476,2.9195478,2.499723,2.0560954,1.4965733,0.69692636,0.17604838,-0.4457076,-1.0267315,-1.4717047,-1.8511475,-2.3049822,-2.5890882,-2.7300997,-2.6842349,-2.4842644,-2.3023708,-2.3116543,-2.3717377,-2.8202379,-3.2261662,-3.8320262,-3.8089244,-3.7203076,-3.107605,-2.8411145,-2.5568974,-2.686801,-2.5247724,-1.9972124,-1.9198409,-2.149271,-2.3348231,-2.6703897,-2.958034,-3.4415019,-3.6329699,-4.0159254,-4.2046614,-4.213359,-3.8483474,-3.6865268,-3.5502994,-3.8348613,-3.8089244,-3.5803444,-2.6063044,-0.87243754,0.4240026,0.864709,0.4271269
2025-11-09 01:01:05+00:00,2025-11-09 00:00:00+00:00,4.8066425,3.580494,2.1493206,1.7876177,2.3271391,3.0847003,3.4677155,2.4803872,2.4593408,2.9467282,4.6851516,5.75431,6.2809424,7.7071276,8.570164,9.840754,9.690215,10.052614,7.489253,7.084924,6.0470066,5.2826476,4.6884413,4.233059,2.1840599,1.4894514,0.57922256,0.011198332,-0.23519005,-0.9227729,0.22955538,-1.0426859,-1.8897134,-2.5721054,-2.8165693,-3.128234,-3.109933,-3.587595,-4.0782886,-4.497058,-4.4003115,-3.6349857,-4.0167427,-4.4622655,-3.3585465,-2.9350219,-2.8452718,-2.0011704,-4.622746,-5.93944,-6.576527,-7.0672193,-7.556358,-7.76394,-7.1544404,-6.9823813,-7.453301,-7.687925,-7.7155294,-7.764174,-7.599438,-7.5918465,-7.177309,-7.567176,-7.2158737,-6.7848735,-6.6431475,-6.1528316,-4.7982802,-4.61492,-4.709257,-4.6569448,-4.6610656,-4.422349,-4.23598,-3.5337512,-3.3076687,-3.4401317,-3.3933222,-3.252899,-3.1557872,-2.8799508,-2.7386966,-2.4175694,-2.1466842,-1.8515483,-0.99569255,0.31330115,1.4534905,2.6194427,3.4120672,4.018067,4.0646777,3.8259447,3.4678395,3.618843,3.6381948,3.4933493,3.3967853,3.058797,2.9036467,2.8307703,2.7570455,2.4014347,2.204875,2.0574534,1.7134641,1.3046252,1.1237487,1.1958374,1.5079051,1.3554722,0.45049107,-0.25586563,-0.785176,-1.1033645,-0.7384042,-0.27835393,0.104116715,0.14715819,-0.0678062,-0.11680873,0.11717902,0.13391453,0.05160031,-0.23541988,-0.47461447,-0.5614458,-0.6517933,-0.69748664,-0.75012296,-0.8146068,-0.4759092,0.2121817,0.91359997,1.4068439,1.6469538,1.8327852,1.9742705,2.8542418,3.8774726,4.5440145,4.4079995,4.039683,3.4529116,3.06439,3.1391516,3.0432093,3.2350934,3.66681,3.8456204,3.829277,3.7618346,3.5958238,3.7618346,3.829277,4.1329193,4.563839,4.928612,5.3840365,5.8342266,6.374092,7.03937,8.150162,9.631254,10.740636,11.089019,11.259317
2025-11-10 01:04:06+00:00,2025-11-10 00:00:00+00:00,0.8986738,0.28466916,-0.28008646,-0.22372328,-0.5717022,-0.85740507,0.27879396,-1.5760972,-2.1809754,-2.5721054,-3.1975193,-3.780139,-4.3206954,-4.4483647,-5.2707458,-5.0000796,-3.901925,-3.2747152,-2.1351619,-1.061759,-2.5445735,-3.0141006,-5.5077295,-8.640466,-8.784142,-9.627179,-9.202417,-7.708007,-7.660774,-7.352157,-5.4715586,-4.868308,-4.7104874,-4.433264,-4.3031344,-4.254725,-4.6266136,-4.7232904,-4.555925,-4.3548636,-4.0961084,-4.261456,-4.6296334,-7.5519514,-6.185123,-5.6427884,-5.9615746,-5.571744,-5.2233152,-5.0598183,-4.594501,-4.5479736,-4.268818,-4.175772,-3.7866812,-3.7748013,-3.5310194,-3.3037434,-3.0446987,-2.7785034,-2.5152493,-2.040881,-1.1441325,0.22531654,1.1909963,1.6631492,2.5473297,3.5053031,3.9013977,3.7921743,3.325976,3.3512359,2.8073628,2.3777938,1.7958053,1.1477617,0.41381502,-0.26856723,-0.536843,-0.6615706,-0.9059907,-1.2481879,-1.3274077,-1.6211361,-1.8169593,-1.7343776,-1.5687835,-1.3343291,-1.6719491,-1.8883327,-2.0564287,-1.9507226,-1.6066936,-0.23802929,0.22531654,-0.06930741,-0.15260711,-0.27392402,-0.120540276,-0.26479384,-0.3642478,-0.22535814,-0.18561007,-0.33075854,-0.3907568,-0.5845891,-0.77842647,-0.92380774,-1.0691916,-0.7018876,-0.3512292,-0.33082244,-0.72914565,-0.5892879,-0.14549105,1.1410757,2.6485941,4.0086064,5.0758295,6.1126127,6.6772814,7.0025,7.39156,7.8680763,8.231503,8.713187,9.178191,9.611132,10.087605,10.459337,10.320009,9.972127,9.823034,9.913354,10.087605,10.480336,10.819851,11.165983,11.358448,11.597546,11.858898,11.907596,11.784732,11.259201,10.782062,10.437609,10.078952,9.922431,9.673943,9.631117,9.581359,9.7236395,9.852842,9.988588,9.889571,9.642026,9.627565,9.721323,9.725561,9.574243,9.526003,9.439822,9.44062,9.38128,9.110432,9.493136,10.797704,12.2555065
2025-11-11 00:59:03+00:00,2025-11-11 00:00:00+00:00,-3.958323,-5.423364,-8.3220825,-8.227603,-8.474914,-7.75524,-7.2102065,-6.6327972,-6.4303393,-6.6327972,-6.278361,-6.129217,-5.6952214,-5.743392,-5.467021,-5.2928147,-5.191589,-5.0357523,-6.1088467,-6.1426353,-5.785187,-5.6866255,-5.180318,-4.7204847,-5.347042,-5.2059956,-4.6473293,-4.6473293,-4.8466725,-5.191628,-4.7857485,-4.762917,-4.4083543,-4.067626,-3.3933632,-2.773224,-2.3186128,-1.4123086,0.20834163,1.3777816,2.1517467,2.7763646,2.7582743,2.9898474,3.3521407,3.4342344,3.0957878,3.1752017,3.155367,3.1458263,2.6683903,2.2507198,1.952371,1.599085,1.0592366,0.38585755,-0.12386695,-0.58565724,-0.928268,-1.1996827,-1.5698813,-1.570181,-1.5214056,-1.3462902,-0.8937268,-0.84235346,-0.7384042,-0.70252585,0.06617093,1.0151443,1.7656,1.7353675,1.6140292,1.747823,1.609974,1.4683541,1.130807,1.0305302,0.78903097,0.54752284,0.40261438,0.39495492,0.20143864,-0.040464118,-0.051561974,0.12043905,0.4989824,0.7659596,1.0868026,1.1833124,1.4939916,2.0327997,2.1225863,4.020031,3.6514404,3.1265008,3.1194386,3.0165803,2.9472632,2.9126806,2.6255283,2.7201517,2.7633793,2.4577274,2.29398,2.3199005,2.4140086,2.3842797,2.2370594,2.5581245,2.818371,3.2709818,3.7120626,4.2512527,5.090797,6.123291,7.098759,8.083309,9.174946,10.023125,10.626298,10.93152,11.180618,11.322915,11.363634,11.612113,11.600912,11.650545,11.700178,11.587827,11.473805,11.289998,11.270876,11.317999,11.407124,11.567696,11.788727,11.805413,11.839925,11.932938,12.102533,12.320457,12.454073,12.553835,12.53176,12.579821,12.964282,12.990347,13.108446,13.079219,12.998447,12.914269,12.978253,13.031026,13.300459,13.708587,13.879458,13.9489765,14.047979,14.077201,13.981202,13.975348,13.960419,13.984914,14.139829,14.139829,13.875994,13.3853245
2025-11-12 01:00:28+00:00,2025-11-12 00:00:00+00:00,-5.7150984,-5.8787975,-5.3942475,-4.673377,-5.380046,-5.992594,-6.1695914,-5.9281654,-5.2237906,-4.37222,-3.8747063,-3.404779,-2.9134657,-2.2494586,-0.14357127,1.4253533,2.1988654,2.4970787,2.9306674,2.1815042,1.0569429,-0.032847643,-0.38932303,-1.1385641,-1.7612252,-1.9462879,-2.6950033,-3.1126387,-2.6703458,-2.5913215,-2.9383876,-3.1581419,-3.5889313,-3.8761437,-3.9207895,-3.7793002,-3.4182634,-2.6724749,-0.76548874,0.48396134,1.6299314,1.769938,0.97063273,-1.1924487,-1.5215863,-0.02922144,0.7070746,0.3205669,0.61465985,0.73683935,0.62559354,0.636467,0.59612936,0.6019471,0.74073,0.6852202,0.62678355,0.56548697,0.4041994,0.2098055,0.06400772,0.25770274,0.4989824,0.45362023,0.9592174,1.4147549,1.2948161,2.3934596,5.0213046,4.8207,6.6772814,6.6620593,6.601752,7.0406656,7.0562663,7.965217,8.651819,8.083579,9.019909,9.475148,9.730637,9.984943,10.134402,10.487489,10.786773,11.031159,11.402379,11.919355,12.549414,12.832688,13.371225,13.605565,13.588977,13.094881,13.078798,12.878088,12.896759,13.077856,13.114652,13.031026,12.978253,13.2689495,13.225426,13.466994,13.511188,13.515515,13.407569,13.153785,13.224952,13.323017,13.554025,13.50521,13.7493,12.894396,11.452,10.233746,8.824484,7.7566514,6.685914,5.8212585,4.7916703,3.9406826,3.2373862,2.5795622,2.29331,2.22619,1.8778127,1.0412974,-0.0678062,-1.0911056,-1.7500592,-2.3620434,-2.7805932,-2.851207,-2.7524712,-2.6685672,-2.6629367,-2.125929,-1.461995,-0.337056,0.6902705,1.2839792,1.9423892,2.7130828,3.0957878,3.3020215,3.6380637,3.86852,4.0717134,4.5987444,5.008305,5.7698903,6.7296095,7.2452083,7.343823,7.29509,7.1949534,7.0435605,6.8410683,6.43871,5.532419,4.265881,3.3350554,2.6843758,2.322384,1.854101,1.6043168,1.4860306
2025-11-13 01:15:45+00:00,2025-11-13 00:00:00+00:00,-3.9010878,-4.58419,-4.4326153,-5.1552396,-4.6494327,-4.5758076,-2.750929,-2.564123,-2.784345,-2.7424638,-2.6230807,-2.2390535,-2.1052449,-1.2796938,0.0693926,0.88133186,1.287071,0.98819983,0.36768833,-0.62119305,-1.8360004,-2.1024945,-1.8012391,-3.0976365,-3.2843316,-3.74473,-3.9033432,-3.743793,-3.865186,-4.191521,-4.4767733,-4.8528905,-5.229044,-5.33293,-5.0559115,-4.8255887,-4.7035265,-3.538778,-0.60574365,0.34200168,1.0077757,0.8332543,0.68270653,0.41873315,2.014447,2.8429196,4.0600014,4.840399,4.83186,5.358053,6.016717,6.674059,7.350861,7.593648,7.92649,8.587259,9.694139,10.458646,10.973456,11.3943,11.467583,11.557743,11.666032,11.812075,11.714074,11.982811,12.058392,12.440092,12.555457,12.395901,12.169822,12.073526,12.106035,12.266965,12.171337,12.390309,12.7024975,13.012923,13.252608,13.143098,13.317397,13.317397,13.419826,13.511807,13.447134,11.659287,8.685865,4.6239605,0.2901536,-2.0634966,-3.4719431,-4.5891094,-5.3641777,-4.636997,-4.152362,-3.631219,-4.1535583,-4.351602,-4.5826635,-5.1777487,-5.681388,-6.1393247,-6.505732,-6.7805705,-7.009624,-7.2845154,-7.4219713,-7.1470656,-7.4644365,-7.009624,-7.8818073,-8.640218,-9.425954,-9.350496,-9.726661,-9.188673,-7.5813046,-6.796801,-6.816111,-6.809403,-5.7862334,-3.2136137,-0.71770805,0.8169114,1.8755466,2.6100304,2.9222467,3.0326018,2.9085555,2.727788,2.727788,2.8436837,2.8928218,2.8750026,2.7839947,2.70431,2.7583349,2.9126806,2.9357479,3.1273117,3.283064,3.442107,3.6301632,3.757886,3.786097,3.8840973,4.1052017,4.225651,4.447712,4.73958,4.6414514,4.1541324,3.2082844,2.5062408,2.0077796,1.5347642,1.115914,0.83733124,0.40318546,0.13237298,0.19439688,0.7266419,0.94978124,1.4779547,1.7849764,2.017089,1.7799973,1.1642858
2025-11-14 01:00:48+00:00,2025-11-14 00:00:00+00:00,-3.9048948,-4.2930236,-3.9456122,-4.2087507,-4.7694144,-5.0779815,-4.757917,-3.8719735,-3.930267,-4.443121,-4.1477017,-4.2965393,-4.497429,-3.804852,-0.87466735,-0.51992655,-0.17598495,-0.41530722,0.8964856,1.4034635,2.0684495,3.1861634,3.5026777,3.078607,3.804233,4.130287,4.592275,4.9579387,5.1281962,5.033949,5.0731416,4.967291,5.9982243,6.7156973,8.58336,9.204406,8.993309,9.824744,10.6802435,11.714576,12.624036,12.817522,13.091147,12.548819,12.453247,12.534804,12.486101,12.483706,12.902017,13.204038,13.480596,13.84255,14.097772,14.294492,14.432721,14.286276,14.435478,14.270355,12.958217,10.684145,8.573395,7.5271583,6.46242,3.3188257,0.5599525,-2.1650753,-4.5075016,-5.0325785,-4.4211802,-4.9073515,-4.988713,-4.3838468,-4.052336,-4.2165236,-4.430295,-4.7552958,-5.262557,-5.9945664,-6.4548125,-6.6003075,-6.6600733,-6.5189795,-6.398283,-6.7715344,-6.859461,-6.688953,-7.3252387,-8.219,-9.031365,-9.474414,-9.723624,-9.755335,-9.043328,-7.033159,-5.972104,-6.1982727,-6.4619637,-6.292416,-6.3378606,-5.4745574,-5.1712775,-4.0250964,-2.4175694,-0.45359573,0.7967054,1.4045469,1.8209412,1.5234853,1.721831,1.7644019,1.9472482,2.2688956,2.661984,3.3454475,3.7825005,3.927108,3.9257314,3.7674801,3.7762663,3.8350973,3.6957932,3.3779285,3.0009296,2.7631223,2.5665507,2.4671302,2.3180103,2.3657274,2.315961,2.2661946,2.0173616,1.5724043,1.4243122,1.4323759,1.4079022,1.46857,1.8049806,2.22619,2.62376,2.8125775,3.254555,3.2147179,3.0794225,2.623885,2.2379029,1.8998595,1.6612302,1.6130116,1.5647928,1.5165739,1.8461653,2.3478942,3.1265442,3.7941945,4.2773337,4.5915728,5.098397,5.6999702,6.39721,7.195327,8.337356,9.543006,10.796229,11.981258,12.86998,13.533402,13.354957,12.940973
