forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:26+00:00,2025-11-05 00:00:00+00:00,11.8025,10.8525,9.8025,9.3525,9.3025,9.2525,9.3525,9.202499,9.0025,8.6025,8.3025,8.1025,8.0025,9.1025,13.3525,16.4525,18.0525,19.102499,19.0525,19.3025,19.4025,18.6525,16.4525,15.1025,14.1525,13.1525,12.0025,11.3025,10.2525,9.202499,8.2025,7.3525,6.2524996,5.1525,4.3025,3.6025,2.9025,3.9525,7.5024996,9.3525,11.202499,12.7525,13.952499,15.205,15.155,14.455,11.605,9.155,8.305,7.855,7.555,7.455,7.705,8.1050005,8.405,8.705,8.855,8.905,9.005,9.405,11.455,13.605,15.455,17.355,18.605,19.555,20.105,20.005,19.605,19.005,18.105,17.855,17.455,17.855,17.305,17.305,16.505,14.505,14.005,12.805,12.755,12.305,12.305,12.055,11.505,12.055,13.805,15.155,16.105,16.955,17.555,17.855,17.905,16.905,14.105,11.955,11.455,11.005,10.205,10.105,9.605,9.505,9.455,9.105,9.655,10.605,11.355,10.355,9.355,8.1050005,6.955,5.605,5.305,5.305,5.105,4.505,3.7549999,3.0549998,2.5049999,2.0049999,1.505,1.005,0.505,-0.044999987,-0.69499993,-1.395,-1.995,-2.4450002,-2.7450001,-3.045,-3.4950001,-3.8450003,-3.745,-2.795,-1.3449999,0.055000007,1.355,2.655,3.5549998,4.055,4.155,3.7549999,2.455,0.65500003,-0.79499996,-1.4449999,-1.695,-1.8949999,-2.095,-2.1950002,-2.295,-2.345,-2.395,-2.4950001,-2.845,-3.2450001,-2.9450002,-1.395,0.805,2.8049998,4.405,5.755,6.705,7.205,7.255,6.755,5.1549997,3.0049999
2025-11-06 01:02:53+00:00,2025-11-06 00:00:00+00:00,17.8025,16.5025,15.1025,13.8525,13.0025,12.1025,11.3525,9.7525,7.9525003,6.5024996,5.4025,4.5525,3.8525,4.9525003,9.2525,11.5525,13.3025,14.5525,15.2525,15.8525,16.1525,16.0025,14.1525,10.8525,9.0525,8.0025,7.3525,7.0024996,7.1025,7.9525003,8.2525,8.8025,9.202499,9.2525,9.1525,9.1025,9.0525,10.6525,14.7525,17.5525,18.7025,19.2525,19.352499,18.505,18.005,17.405,15.355,14.555,13.905,14.455,13.955,13.655,13.005,12.755,13.155,13.255,12.205,11.655,11.305,11.155,10.905,11.755,13.805,15.355,16.855,17.605,17.505,18.155,18.405,17.905,15.205,13.255,12.605,12.105,11.655,11.455,11.455,11.255,11.255,11.305,12.705,14.555,14.555,13.855,12.355,9.655,7.9049997,7.055,6.505,6.855,6.605,6.055,5.505,4.855,4.155,3.605,3.7549999,2.955,2.655,2.355,1.455,0.255,-0.745,-1.6449999,-2.545,-3.2450001,-3.4450002,-3.4450002,-3.2450001,-3.545,-2.9950001,-1.995,-1.1949999,-0.645,0.805,1.505,2.055,2.155,1.5550001,0.555,-0.345,-0.995,-1.495,-1.945,-2.295,-2.545,-2.795,-2.9950001,-3.145,-3.2450001,-3.545,-3.795,-3.4950001,-2.2450001,-0.44499996,1.3050001,2.905,4.455,5.605,6.355,6.705,6.555,5.555,4.105,3.0549998,2.905,3.155,3.605,4.255,5.105,5.705,5.9049997,5.9049997,5.855,5.755,5.605,5.9049997,6.855,8.255,9.655,11.105,12.605,13.655,14.005,13.905,13.455,12.455,11.105
2025-11-07 01:00:40+00:00,2025-11-07 00:00:00+00:00,10.452499,9.3525,8.6525,8.2025,8.1525,8.5525,8.9025,9.452499,9.3525,9.6025,9.3025,9.5525,9.3525,10.452499,15.5525,18.0525,19.2525,19.9525,20.5025,20.852499,20.852499,19.8025,18.852499,17.5525,15.8025,15.702499,15.452499,15.2525,14.3525,13.6025,12.7525,12.0025,11.1025,10.452499,9.8525,9.4025,8.9025,9.452499,12.452499,14.1525,15.5525,16.602499,17.3025,19.055,19.155,18.505,15.355,13.255,12.655,12.105,11.805,11.655,11.605,11.705,12.355,13.055,12.005,11.755,12.405,12.855,12.905,13.355,13.655,12.955,12.255,11.855,10.705,9.005,8.305,8.255,8.1050005,7.055,6.255,5.605,5.455,4.555,3.5049999,3.355,2.5049999,2.2549999,0.65500003,0.255,-0.095,-1.3449999,-2.795,-2.345,-0.895,0.555,1.755,2.8049998,3.5049999,4.005,3.905,3.655,2.2549999,0.305,-0.69499993,-1.3449999,-1.695,-2.095,-2.395,-2.595,-2.795,-3.045,-3.145,-3.2450001,-3.345,-3.4950001,-3.4950001,-2.145,0.405,2.7549999,4.555,6.005,7.105,7.505,7.4049997,7.055,6.255,5.205,4.555,4.705,5.205,5.6549997,5.855,6.005,6.005,5.855,5.605,5.455,5.305,5.255,5.605,6.605,8.005,9.505,11.255,13.055,14.305,14.605,14.355,13.755,12.805,11.555,10.555,10.155,9.955,9.755,9.355,8.905,8.3550005,7.705,6.955,6.255,5.455,4.705,4.6549997,5.805,7.705,9.405,10.755,11.905,12.705,13.055,13.005,12.355,10.755,8.605
2025-11-08 00:55:08+00:00,2025-11-08 00:00:00+00:00,15.5525,15.5025,15.6525,15.1025,14.8525,14.9025,13.702499,12.5525,11.7525,11.1525,10.6025,10.1525,9.8025,10.452499,13.702499,15.452499,16.6525,17.4025,17.2025,17.2525,16.2525,16.2025,14.952499,13.3025,12.2525,11.4025,10.702499,10.1025,9.5525,9.2525,8.9025,8.7525,8.9025,11.1025,9.9025,11.4025,9.1025,7.1525,6.1025,5.4525003,5.4025,5.0525,4.8025,6.555,5.355,4.9049997,4.605,4.205,3.955,3.205,2.705,2.205,0.95500004,0.455,-0.095,-0.395,-0.745,-1.245,-2.545,-3.795,-4.245,-3.895,-2.645,-1.3449999,-0.19499996,0.65500003,1.0550001,1.155,1.605,1.455,0.305,-0.295,0.10500002,-1.0949999,-1.545,-1.945,-2.4950001,-2.795,-3.145,-3.545,-3.795,-3.9450002,-3.995,-4.0950003,-4.0950003,-3.2450001,-1.1949999,0.855,2.5549998,4.155,5.355,6.105,6.255,6.255,5.005,3.905,3.2549999,3.7549999,4.505,4.705,5.105,5.4049997,5.455,5.355,5.355,5.4049997,5.455,5.455,5.4049997,5.705,7.205,9.005,11.255,12.605,13.555,13.955,13.805,13.405,12.605,11.555,10.605,10.005,9.555,9.005,8.155,7.205,6.305,5.555,4.855,4.205,3.405,2.705,2.705,3.905,5.855,7.605,9.005,10.255,11.105,11.505,11.455,10.905,9.455,7.505,5.955,5.205,4.855,4.505,4.005,3.5549998,3.155,2.855,2.655,2.455,2.055,1.6550001,2.0049999,3.655,6.055,8.3550005,10.355,12.255,13.455,13.605,13.055,12.355,11.605,10.755
2025-11-09 01:01:08+00:00,2025-11-09 00:00:00+00:00,14.1525,13.0025,12.202499,11.1525,10.6025,10.0525,9.6525,9.3525,8.952499,8.8525,8.8025,8.9025,9.5525,10.5525,12.702499,13.6525,11.6025,10.8025,10.4025,9.8025,7.8025,7.3525,5.7524996,4.5025,3.5525,3.1025,2.2525,1.7525,1.3025,0.9525,0.20250002,-0.39749998,-0.6975,-0.84749997,-1.0475,-1.1975,-1.1975,-1.2475,-1.3475,-1.3475,-1.2975,-0.7975,-0.6975,-0.49499997,-0.745,-0.745,-1.795,-3.145,-3.045,-2.045,-2.145,-3.395,-4.295,-4.795,-4.895,-4.745,-4.695,-4.795,-4.795,-4.8450003,-4.945,-4.045,-2.045,0.005000025,1.705,3.2549999,4.405,5.205,5.305,5.205,3.8049998,3.0049999,2.405,3.605,3.905,4.155,4.105,4.505,4.6549997,4.6549997,4.705,4.805,4.855,5.055,5.005,5.305,6.555,8.405,10.555,11.955,12.955,13.505,13.455,12.955,11.555,10.055,8.955,8.155,8.1050005,7.6549997,6.955,6.205,5.855,5.505,5.305,5.305,5.305,5.205,4.805,5.255,7.305,9.455,11.555,12.955,13.855,14.305,14.205,13.555,11.955,9.755,8.005,7.205,6.9049997,6.6549997,6.305,6.055,5.805,5.605,5.4049997,5.255,4.855,4.455,4.9049997,6.805,9.505,11.955,13.905,15.555,16.655,16.905,16.605,15.955,14.955,13.655,12.655,12.155,11.905,11.805,11.855,12.055,12.205,12.255,12.255,12.255,12.205,12.155,12.255,12.605,13.155,13.805,14.705,15.755,16.555,17.005,17.205,17.005,16.155,14.905
2025-11-10 01:04:11+00:00,2025-11-10 00:00:00+00:00,4.4025,4.0025,3.7025,2.9025,1.9525,1.6525,0.90250003,0.5025,0.0024999976,-0.6975,-0.84749997,-0.89750004,-1.3975,-1.7475,-1.7974999,-1.7974999,-1.6475,-1.3975,-1.3475,-1.3475,-1.1975,-0.9475,-1.5975001,-1.4975,-1.4475,-1.4475,-1.5474999,-1.5474999,-1.3475,-1.3475,-1.4975,-1.2975,-0.9475,-0.84749997,-0.9475,-1.0975,-1.0975,-0.89750004,-0.5475,0.35250002,1.8525,3.2025,4.4025,3.855,5.005,4.855,3.905,2.8049998,2.5049999,3.0549998,3.405,3.5549998,4.105,4.305,4.255,4.155,4.105,4.155,4.105,4.155,4.255,4.605,5.955,7.855,9.905,11.255,12.305,12.905,12.805,12.205,10.905,9.555,8.705,8.1050005,7.805,7.055,5.805,4.6549997,3.955,3.5549998,3.405,3.0049999,2.405,2.055,1.8050001,2.8049998,5.355,7.355,9.055,10.155,11.155,11.755,11.705,11.155,8.405,6.755,6.055,5.805,5.4049997,5.355,4.9049997,4.555,4.405,4.355,4.305,4.205,4.155,4.105,3.955,5.1549997,8.455,11.505,14.005,16.155,17.405,17.655,17.055,16.105,14.555,12.655,11.305,11.205,11.705,11.955,11.555,10.955,10.455,10.355,10.355,10.355,9.955,9.455,9.755,11.355,13.705,15.855,17.555,19.105,20.105,20.505,20.355,19.755,18.355,16.405,14.855,14.005,13.455,13.105,12.905,12.905,12.855,12.705,12.555,12.505,12.705,13.105,13.405,13.605,13.755,14.005,14.555,15.205,15.705,15.905,15.955,15.755,15.305,14.655
2025-11-11 00:59:07+00:00,2025-11-11 00:00:00+00:00,-1.5474999,-1.3475,-1.1975,-0.74749994,-0.9475,-1.1975,-1.1975,-1.1975,-1.0975,-1.1475,-1.0475,-0.9475,-0.9475,-0.7975,-0.2975,0.65250003,1.8025,2.9025,3.7525,4.3525,4.7025003,4.4025,4.5525,3.1025,2.4524999,2.5525,2.3525,3.6525,4.2025003,3.9025,3.8025,3.8025,3.8525,4.0025,4.0025,3.8525,3.7025,4.4525003,6.7025003,8.702499,10.5525,12.0525,13.1025,12.605,12.605,11.855,10.355,8.805,7.555,6.455,6.455,6.055,5.1549997,4.505,4.055,3.655,3.3049998,2.955,2.655,2.655,2.305,3.2549999,6.005,8.455,10.605,12.155,12.655,13.055,12.855,12.055,9.655,8.055,7.4049997,7.055,6.605,6.105,5.855,5.555,5.4049997,5.255,5.105,4.9049997,4.755,4.555,4.555,5.505,8.505,11.105,13.155,14.705,15.455,15.255,14.905,14.555,12.055,10.605,11.355,9.955,10.005,11.105,11.205,11.255,11.405,11.455,11.505,11.605,11.505,11.455,11.755,12.105,12.655,13.505,13.555,14.305,15.255,15.255,15.055,14.855,14.805,14.755,14.605,14.155,13.555,13.055,12.805,12.605,12.555,12.605,12.705,12.855,12.805,12.805,13.205,14.455,16.155,17.655,18.855,19.905,20.555,20.655,20.355,19.755,18.655,17.305,16.205,15.655,15.405,15.255,15.155,15.155,15.105,15.005,14.905,14.805,14.655,14.505,14.555,14.905,15.405,16.105,17.155,18.355,19.105,19.205,18.855,18.305,17.555,16.605
2025-11-12 01:00:32+00:00,2025-11-12 00:00:00+00:00,3.4025,2.9525,4.0525,4.8525,4.3525,4.2525,4.4525003,4.5025,4.6525,4.8025,4.7524996,4.6525,4.8025,5.6025,7.7025003,9.3525,10.9025,12.5525,13.3525,14.1025,14.2525,14.0525,12.202499,10.1025,8.5025,7.3525,6.3525,5.6025,4.6525,4.1025,3.5025,3.0025,2.9025,2.4524999,2.3025,1.9025,1.6525,2.3025,6.1025,8.9025,10.702499,12.3025,13.4025,12.955,12.955,12.105,9.555,7.855,7.205,7.005,6.555,6.205,6.1549997,5.855,5.505,5.305,5.1549997,5.105,5.205,4.955,4.855,5.9049997,8.955,11.855,11.355,11.605,13.105,11.705,11.955,12.305,11.705,11.505,11.305,11.205,10.105,10.055,11.555,11.405,11.455,11.705,11.955,12.305,12.555,12.505,12.755,13.205,14.005,14.555,15.455,16.555,17.655,18.455,17.555,17.905,17.005,16.255001,15.605,15.705,16.305,16.555,16.355,16.055,15.455,15.305,15.805,16.105,15.955,15.705,15.055,15.205,15.905,17.505,18.355,18.555,18.455,18.305,17.955,17.355,16.455,15.355,14.305,13.505,12.755,12.105,11.455,10.855,10.305,9.805,9.305,9.005,8.855,8.905,9.105,9.605,10.255,10.955,11.605,12.255,12.805,13.305,13.755,13.905,13.505,12.805,12.405,12.555,12.955,13.505,14.205,15.005,15.655,16.005001,16.155,16.205,16.105,15.855,15.805,16.455,17.255,17.005,14.555,11.005,8.3550005,7.605,7.705,7.705,7.205,6.605
2025-11-13 01:15:48+00:00,2025-11-13 00:00:00+00:00,12.5525,11.702499,10.6025,9.3525,8.1025,7.0525,6.3025,5.8025,5.3025,4.7524996,4.2525,3.8525,3.4525,3.8525,7.6025,9.6025,11.1025,12.3525,13.0025,13.452499,13.5525,13.1025,11.202499,8.5525,7.0525,6.0024996,5.3025,4.7524996,4.2525,3.8025,3.4025,2.9025,2.4524999,2.0525,1.8525,1.8025,1.7025,2.2024999,5.9025,10.3025,12.9025,14.8525,16.4025,18.555,17.355,15.555,14.705,13.905,13.555,13.655,13.805,13.705,12.705,11.705,11.555,11.305,12.905,12.955,13.455,13.955,14.305,14.555,15.305,16.855,19.005,20.255,21.255,21.305,20.955,20.705,19.555,18.455,18.155,18.155,17.555,17.255,17.155,17.005,17.155,17.355,16.705,16.505,16.355,15.905,15.655,15.855,16.105,16.455,15.305,17.005,17.305,17.155,16.655,15.955,13.655,11.105,10.205,9.355,8.205,7.555,7.005,6.4049997,5.955,5.555,5.205,4.9049997,4.605,4.355,4.255,5.305,7.955,10.555,12.805,12.805,15.305,15.505,15.105,14.505,13.805,12.955,12.005,11.055,10.055,9.055,8.005,7.005,6.255,5.9049997,5.805,5.855,6.005,6.305,6.6549997,7.055,7.555,8.1050005,8.855,9.655,10.255,10.455,10.405,10.255,10.005,9.705,9.355,9.005,8.655,8.405,8.305,8.3550005,8.3550005,8.3550005,8.305,8.255,8.055,7.855,8.005,8.705,9.755,10.905,12.305,13.855,14.855,15.105,14.855,14.205,12.955,11.355
2025-11-14 01:00:52+00:00,2025-11-14 00:00:00+00:00,9.5525,8.5525,7.7025003,7.1025,6.5525,6.0024996,5.1525,4.3525,4.1525,4.2525,4.1525,3.5525,3.5025,4.1025,8.1025,12.9025,15.5525,17.6525,19.0525,19.6525,19.5525,18.852499,16.3025,13.7525,13.202499,13.6025,12.8025,13.7525,12.452499,11.1525,10.5025,10.1525,9.952499,9.5525,9.702499,11.1025,12.4025,13.452499,15.8525,16.6525,17.102499,17.602499,18.9525,19.105,18.655,18.305,18.055,17.455,17.005,16.905,16.605,17.105,17.205,17.055,17.055,16.505,16.205,16.105,15.805,15.555,15.355,15.205,14.205,13.955,14.455,15.055,15.455,15.205,14.805,14.005,11.855,9.655,9.205,8.205,7.1549997,6.555,5.9049997,5.305,4.755,4.255,3.8049998,3.455,3.105,2.8049998,2.605,3.455,5.955,7.9049997,9.505,10.805,11.505,12.255,12.605,12.305,9.605,7.955,7.4049997,8.005,7.305,7.705,8.1050005,8.1050005,7.705,5.105,3.955,4.455,4.755,3.8049998,3.8049998,4.255,4.955,5.605,7.1549997,8.855,8.955,9.155,8.955,8.705,8.455,8.155,7.705,7.005,6.205,5.705,5.755,6.105,6.305,6.055,5.6549997,5.305,4.9049997,4.605,4.755,5.705,7.105,8.655,10.405,12.305,13.455,13.355,12.555,11.755,11.105,10.455,9.955,9.655,9.505,9.455,9.555,9.805,10.005,10.155,10.305,10.405,10.305,10.205,10.555,11.705,13.305,14.955,16.755,18.655,19.905,20.155,19.805,19.205,18.305,17.155
