forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:28+00:00,2025-11-05 00:00:00+00:00,180.0,163.61038,182.60251,177.5105,197.10281,204.77512,208.1785,210.25635,218.65984,236.3099,231.34016,230.82635,228.50363,219.55963,224.9999,230.77434,230.52757,228.50363,233.2857,235.65384,237.5877,240.8658,243.43501,240.01845,248.74942,260.13425,255.17348,250.34608,268.09088,297.47433,357.13766,5.9060555,9.090207,14.743609,37.568665,38.65983,49.085716,61.69934,72.25524,54.46224,40.364468,39.805527,40.236294,44.999897,49.76371,62.10283,80.53775,111.03758,131.98714,143.13002,150.2552,154.98314,152.10283,159.77505,150.9455,150.9455,153.43501,152.24155,149.9315,152.24155,152.35411,153.43501,161.56496,173.6599,199.23076,205.08356,207.95087,206.0753,205.08356,208.14151,204.44394,206.56499,200.55612,202.89058,201.80147,198.77812,199.17911,227.43669,263.01904,292.6199,297.8972,284.03625,241.92761,226.97493,230.52757,234.16226,242.5925,251.56496,257.00537,262.0566,266.26868,268.78116,275.19434,278.36578,267.13766,245.22488,222.70937,215.53777,206.56499,188.13002,171.25392,189.46225,187.59456,194.93147,183.01273,182.86235,198.43504,239.53453,254.3577,262.47626,273.3018,274.76355,283.53586,279.86575,282.38074,283.70697,283.7363,284.32275,287.7005,291.3707,295.51382,298.8107,301.4295,302.47116,297.97937,289.9832,283.24054,281.3099,282.20044,282.20044,278.36578,271.84756,266.0549,268.15244,271.63654,274.39862,276.95285,279.46225,281.82147,284.03625,286.46008,286.31393,280.0079,265.23645,244.7989,233.74606,231.34016,230.90614,228.81418,228.57643,228.57643,228.57643,224.9999,223.1524,217.40543,212.90524,215.21768,236.3099,251.56496,260.75397,265.13556,268.80655,270.0,268.6981,265.71094,259.9921,246.25049,221.42357
2025-11-06 01:02:55+00:00,2025-11-06 00:00:00+00:00,259.69522,260.75397,267.87894,281.3099,274.39862,308.36752,339.77505,2.4366064,6.3401003,12.528798,26.564985,50.710617,60.255207,63.435013,62.59251,54.46224,51.34017,37.694313,34.50859,35.537766,39.289394,39.289394,42.510403,70.01681,71.564964,73.61038,109.653915,133.02507,156.80139,167.4712,162.03076,168.9965,170.9098,173.6599,180.0,186.24182,187.35228,187.88304,187.23683,198.9466,205.2011,210.57915,218.34561,201.80147,195.06854,200.95586,214.8754,211.21834,239.30035,236.3099,205.2011,153.43501,322.12497,304.21576,237.99466,230.90614,224.9999,227.29063,218.65984,220.91429,214.50858,209.7448,206.56499,213.6901,236.3099,246.80139,262.8751,284.03625,265.23645,279.46225,291.80148,260.53775,164.05453,156.0375,153.43501,156.80138,158.19853,156.3706,160.55988,180.0,171.46931,174.80566,171.86998,219.80553,255.14134,260.21765,263.29025,269.04517,267.3575,264.71002,264.05322,271.24533,280.53912,286.1444,289.29013,292.06796,297.18103,292.06796,288.00424,296.0033,298.30066,303.6901,297.1496,292.30624,280.78424,276.48297,277.76508,274.08554,270.0,271.10168,272.91077,276.24182,280.2221,282.80426,286.29413,287.61267,287.57135,287.52567,287.47485,287.1028,285.94547,282.01144,276.3401,271.33218,267.20737,264.14407,260.78903,257.79956,256.32867,253.44284,249.07542,244.17906,241.92761,247.61981,254.62369,257.19574,256.55136,253.0724,248.87521,241.07367,227.12111,213.23172,197.81898,180.0,164.74483,170.13426,182.29056,190.88548,191.76826,191.30989,186.3401,183.01273,180.0,177.5105,172.23492,166.60748,169.21574,189.46225,208.1785,220.91429,231.14662,239.0363,243.88614,245.22488,244.85524,243.94656,239.9315,231.84273
2025-11-07 01:00:42+00:00,2025-11-07 00:00:00+00:00,84.2895,76.60749,95.44024,112.24908,135.0001,157.61983,166.75948,181.73567,183.46815,186.91113,187.69595,201.25058,198.8248,200.28264,198.72588,207.80136,213.46541,213.6901,222.08908,221.57603,219.98683,218.019,218.991,210.34317,221.49637,231.58191,266.0549,260.34018,285.59286,259.69522,276.84268,265.42615,250.55988,215.53777,220.91429,231.34016,215.53777,201.80147,222.5104,234.46223,237.99466,237.80429,236.76828,250.82089,246.80139,244.98314,198.43504,171.86998,165.96373,153.43501,150.64235,150.64235,153.43501,152.10283,170.53775,168.11136,162.47433,165.2564,165.96373,168.11136,173.6599,193.24052,257.79956,267.7543,286.1135,290.72565,293.70264,300.46545,309.98682,313.91916,320.44037,318.991,329.03632,329.53452,327.09476,320.44037,326.3099,352.87506,346.86597,349.99207,352.87506,330.9455,332.24155,330.8026,318.36655,308.65982,318.94528,317.1211,315.0001,311.30853,307.64767,306.38446,305.9422,302.15228,300.46545,294.77512,280.78424,279.09018,274.76355,261.46933,246.0375,232.59457,232.12495,226.73567,228.36655,224.9999,224.9999,216.25392,190.00792,184.39862,183.57626,210.46547,232.69597,235.17543,223.60289,215.75398,204.14554,195.7087,188.88058,181.97488,180.0,183.94511,193.13403,202.751,214.11452,224.9999,229.39879,226.8476,220.91429,212.34741,203.19862,191.30989,189.46225,205.7099,221.05472,229.76372,237.45,244.32323,249.10216,250.9422,250.27763,248.80588,243.97047,236.3099,232.0012,238.57048,247.28555,253.41258,253.8865,251.56496,249.07542,248.83867,248.5522,248.19853,247.75093,244.65387,249.77505,262.23492,276.11542,281.9761,283.67133,285.0184,285.59286,288.43503,291.54105,292.3802,287.24155,274.76355
2025-11-08 00:55:10+00:00,2025-11-08 00:00:00+00:00,278.74606,211.42952,315.0001,175.76369,295.1148,255.4655,268.26434,271.84756,254.74483,220.23628,222.70937,226.97493,228.36655,180.0,175.91446,186.58185,212.27562,232.69597,241.92761,234.63745,229.39879,242.52565,233.13002,185.7105,169.6952,194.7436,202.38017,185.7105,150.64235,158.19853,154.5367,158.5522,161.11382,173.29025,192.40741,230.31459,237.60017,247.93205,251.333,250.39581,249.44386,250.78723,254.60439,270.0,285.25516,292.8906,291.54105,295.20108,309.09384,310.60123,303.23172,301.8274,300.96368,301.60745,306.86996,305.39487,310.1559,303.6901,289.29013,278.13,275.7105,271.43207,275.7105,278.58353,278.97253,282.63336,283.13403,281.49652,288.43503,285.3502,287.74475,303.9766,300.06848,284.32275,280.0079,277.1249,277.2749,273.90042,267.13766,259.82455,256.67545,253.85559,254.62369,250.25307,247.93205,242.78397,251.93944,257.82855,260.36252,260.36252,255.4655,249.92838,242.40279,222.87889,193.57045,178.15244,173.6599,180.0,190.88548,204.14554,214.8754,217.64769,219.47243,213.2749,206.56499,205.01686,206.56499,211.21834,213.31064,217.99878,232.22426,243.0479,249.94382,249.44386,251.83395,253.46509,254.29129,254.89885,256.39944,257.96942,260.38034,265.07297,270.0,274.23633,275.82623,276.48297,275.85593,276.3401,276.91113,275.52744,272.04535,263.15732,260.9098,266.42374,272.72626,275.7105,277.38596,277.98923,278.97253,280.1246,280.88547,280.6196,279.46225,276.70975,271.97488,267.95465,265.91446,261.87,257.00537,247.75093,241.1893,237.72438,234.16226,234.16226,230.52757,228.57643,228.57643,237.72438,251.56496,262.8751,267.87894,270.0,270.0,270.0,270.0,264.80566,246.80138,198.43504
2025-11-09 01:01:10+00:00,2025-11-09 00:00:00+00:00,167.90526,167.19574,188.13002,167.19574,167.73524,164.74483,180.0,191.88864,156.2505,149.42085,156.50142,152.44728,173.92764,195.25517,222.7688,229.30457,248.9076,246.46764,250.39581,255.17348,255.37909,245.63756,243.43501,257.27563,261.74066,268.99493,281.94415,287.47485,298.523,295.90643,287.0206,288.06055,282.65256,277.81522,277.81522,282.65256,277.1249,280.30478,273.9451,267.3975,273.3664,280.73883,270.0,277.1249,277.5237,281.53458,280.84027,287.3541,274.08554,278.27582,306.86996,303.11136,298.61035,288.43503,268.31534,255.52966,256.32867,264.14407,260.78903,256.29303,252.55272,251.07526,256.2637,261.08514,261.2539,261.57312,258.05585,251.91646,244.5367,230.59937,199.79897,170.9098,173.41815,180.0,182.3859,197.10281,194.62091,195.6423,198.43504,190.3048,177.13765,180.0,187.43132,201.4478,210.69965,213.6901,233.8067,245.03723,249.02643,254.4274,256.60748,257.074,256.42953,257.692,257.00537,252.80138,251.56496,254.24875,257.00537,256.75946,247.52052,237.99466,232.69597,233.13002,238.24055,239.0363,233.61555,236.97612,235.6196,240.94548,257.19574,267.79745,280.0079,277.30566,282.09473,285.3763,290.92456,293.1986,286.92758,270.0,246.80138,235.30478,231.84273,231.34016,227.12111,224.9999,220.60121,213.6901,205.01686,194.93147,187.59456,175.91446,171.25392,169.6952,167.4712,188.13002,240.2552,266.42374,275.44025,280.78424,288.43503,291.80148,278.74606,247.3801,228.01286,213.6901,194.03627,171.86998,167.4712,174.80566,175.60138,175.60138,180.0,180.0,175.23645,175.60138,171.25392,170.53775,168.69011,173.6599,192.5288,209.0545,217.87505,213.6901,196.69933,185.19434,175.23645,171.86998
2025-11-10 01:04:13+00:00,2025-11-10 00:00:00+00:00,283.0693,292.01132,310.46216,318.01285,295.90643,290.17075,293.3556,288.43503,290.55612,280.88547,286.6993,283.7363,284.30032,273.12207,267.03912,268.99493,274.927,274.927,271.14572,266.6982,276.58185,270.0,267.70944,272.33725,296.56497,293.05133,286.8215,288.00424,281.00348,279.86575,265.03033,263.9911,261.99536,267.43628,267.3975,265.4623,260.53775,262.40546,263.08887,263.85345,262.98358,257.27563,255.74994,252.29948,242.30061,220.426,204.14554,170.53775,167.19574,180.0,191.30989,191.68935,202.93213,223.99501,221.30852,213.6901,210.37904,216.25392,220.31403,212.15227,209.93143,220.426,237.52882,249.22766,252.75845,251.27411,255.06853,257.57407,257.36664,257.90524,258.4862,257.0926,260.9606,263.92764,266.00916,268.49258,271.73566,274.23633,267.3975,252.47433,244.65387,240.94548,236.3099,236.3099,234.78232,236.3099,261.02747,282.26477,277.59454,280.30478,281.9761,284.4208,285.25516,284.03625,259.9921,235.49141,220.91429,210.96368,202.38017,190.6196,165.96373,158.96242,146.3099,149.74365,155.22488,158.96242,153.43501,151.69934,156.80138,158.19853,151.38963,151.38963,175.60138,209.35765,233.97253,226.73567,205.01686,175.91446,168.69011,169.3804,173.29025,173.29025,176.82024,176.82024,176.82024,180.0,180.0,180.0,176.82024,176.82024,176.82024,180.0,183.17976,190.00792,198.43504,213.6901,235.30478,254.47583,264.2895,262.8751,258.6901,224.9999,189.46225,174.2895,165.96373,158.96242,151.69934,148.39255,145.30478,143.13002,143.13002,140.19447,135.0001,135.0001,139.39879,143.74608,146.3099,144.24602,144.46223,145.71307,152.15251,158.83867,163.83543,164.15686,163.16245,164.67844,170.98076,186.07236
2025-11-11 00:59:08+00:00,2025-11-11 00:00:00+00:00,276.4415,286.5349,282.8477,290.22495,302.94922,296.56497,283.78162,280.73883,282.63336,277.3523,274.927,268.15244,268.02512,265.23645,263.34567,258.50348,251.56496,246.80138,250.9743,246.80138,234.34457,230.7928,210.1413,192.09474,206.56499,221.00899,233.13002,234.3601,235.45157,236.94417,234.94049,234.94049,233.44743,234.94049,238.27644,237.31944,237.31944,239.03632,240.94548,242.31903,243.43501,245.48038,243.8385,260.70676,259.31512,259.1145,259.15973,256.32867,255.52966,252.64589,261.02747,259.9921,256.42953,247.3801,237.52882,240.2552,236.97612,231.7098,235.0079,233.61555,233.61555,232.59457,247.3801,259.1145,267.87894,273.57626,270.0,271.73566,273.9451,267.6141,249.77505,232.59457,224.9999,215.83774,213.6901,217.40543,215.21768,210.46547,203.9625,194.03627,194.03627,190.6196,180.0,170.53775,171.86998,170.53775,185.19434,219.28938,252.47433,274.39862,268.15244,273.57626,265.03033,272.72626,281.3099,251.56496,237.26477,229.76372,220.60121,224.9999,224.9999,239.0363,234.46223,215.53777,196.69933,209.7448,195.94547,191.30989,203.19862,229.39879,261.87,210.96368,214.9921,228.81418,224.9999,233.13002,243.43501,243.43501,220.60121,195.25517,180.0,176.6336,173.6599,173.6599,170.53775,169.99208,166.75948,166.75948,167.4712,168.11136,168.11136,168.11136,177.13765,203.19861,223.72705,233.97253,238.62704,240.5242,242.04912,241.55717,240.39565,238.39255,238.29861,240.2552,240.75127,240.01845,237.65257,237.52882,236.3099,235.49141,235.0079,234.46223,234.24602,232.3057,226.73567,216.86998,208.07239,199.65392,194.03627,195.25517,204.44394,219.28938,224.9999,219.28938,204.44394,190.3048,180.0,165.96373
2025-11-12 01:00:34+00:00,2025-11-12 00:00:00+00:00,189.68872,206.56499,240.5242,237.38077,236.5601,239.18437,239.74365,239.32278,238.89125,236.5601,239.0363,238.32457,236.3099,235.58157,237.69269,240.34099,242.14044,245.11966,251.09532,257.95743,262.30405,261.38443,262.18478,262.50424,263.4803,264.95764,264.95764,262.1468,258.23172,258.23172,255.96373,254.74483,248.19853,248.19853,242.24155,242.24155,248.19853,247.1663,247.8336,256.86597,263.4803,273.73132,284.30032,285.94547,286.38962,283.49576,259.9921,239.53453,228.81418,224.9999,220.91429,214.50858,205.2011,187.59456,175.91446,164.05453,165.06853,156.80138,155.22488,156.80138,153.43501,158.19853,157.3801,167.00539,209.7448,227.29063,220.60121,224.9999,216.38445,221.18582,215.21768,224.9999,213.6901,216.86998,212.00534,216.86998,217.87505,229.08571,217.56866,227.12111,232.12495,239.0363,232.3057,233.13002,240.2552,220.10085,215.53777,215.53777,212.47118,216.86998,224.9999,219.28938,215.53777,191.88864,167.4712,163.30067,167.4712,182.72626,202.24907,213.6901,218.991,226.00499,238.62704,241.55717,242.48808,244.39786,248.19853,244.44008,246.16125,247.28555,248.87521,256.50424,261.2539,264.61078,267.91748,272.16104,277.1249,280.53912,279.46225,272.04535,267.3975,273.17978,284.93146,298.30066,302.47116,307.87503,306.86996,305.53775,303.6901,296.56497,270.0,153.43501,135.0001,126.86999,116.56499,116.56499,126.86999,128.65984,146.3099,172.87508,190.3048,198.43504,184.76355,163.30067,153.43501,170.53775,191.30989,203.9625,204.44394,204.77512,205.76927,211.26367,217.56866,222.70937,225.9391,225.76381,229.08571,235.53912,243.43501,253.11313,270.0,301.21835,325.92276,332.24155,330.42227,330.9455,338.45895,348.6901
2025-11-13 01:15:50+00:00,2025-11-13 00:00:00+00:00,274.08554,272.9356,266.00916,265.71094,268.15244,258.23172,245.55606,255.96373,262.8751,270.0,275.19434,261.02747,261.02747,262.40546,252.75845,263.08887,275.5721,286.5874,294.0755,294.53772,299.1675,299.57773,289.0936,274.76355,283.39252,274.39862,249.44386,233.74606,247.1663,242.10283,238.57048,240.94548,240.64233,233.13002,230.90614,229.08571,231.84273,210.25635,199.9832,222.27362,235.49141,244.5367,247.52052,262.69434,260.75397,265.36462,254.74483,224.9999,209.0545,216.25392,218.65984,215.21768,226.97493,220.36446,207.75845,197.52567,207.75845,220.36446,218.991,211.75943,216.38445,207.64589,208.61037,204.22774,210.25635,224.9999,230.04251,225.83023,222.18437,218.65984,217.40543,210.73541,211.60745,223.26433,230.9645,238.62704,241.23244,241.5259,245.4099,241.38963,243.88614,244.74687,247.30617,253.66388,256.2005,262.27826,265.31418,270.98773,271.06088,302.12497,292.3802,295.64096,295.08356,294.34106,297.18103,294.77512,294.62354,289.1791,281.88864,263.29025,259.9921,256.75946,250.55988,247.61981,246.0375,242.10283,240.64233,236.3099,222.5104,227.72638,238.39255,265.23645,266.6336,258.6901,270.0,264.80566,251.56496,228.81418,186.3401,151.38963,135.0001,108.43504,36.86999,14.931467,17.354122,25.016869,31.607454,30.256361,19.983198,16.699326,26.564985,35.537766,44.999897,29.744795,12.528798,360.0,360.0,4.763556,9.462248,15.255177,18.435053,26.564985,26.564985,29.054508,29.054508,32.005356,35.537766,39.805527,33.6901,29.744795,20.556128,20.556128,14.036275,15.945477,18.435053,36.86999,44.999897,14.036275,350.53775,333.43503,321.34018,317.29062,315.0001,316.73566,323.13,325.0079,327.09476,326.3099
2025-11-14 01:00:53+00:00,2025-11-14 00:00:00+00:00,298.8107,308.65982,233.13002,185.19434,244.7989,224.9999,236.97612,238.24055,237.72438,238.24055,223.36346,224.9999,197.52567,174.55975,173.6599,171.46931,177.79745,213.6901,238.39255,240.39565,243.43501,246.44772,242.35411,232.12495,224.9999,245.55606,245.55606,249.44388,261.2539,259.50858,254.57777,250.9743,246.57129,240.2552,244.2901,254.3577,249.44388,248.83867,233.39284,235.17543,236.3099,235.2039,229.12769,227.4896,225.85501,218.45374,205.90645,209.7448,219.80553,229.76372,241.76265,244.98314,252.09546,250.46326,248.02544,248.36905,250.40762,252.1496,257.074,263.4538,266.87793,267.03912,292.3802,312.58044,310.97165,305.53775,303.9965,302.79953,298.61035,299.42737,299.0545,295.76926,291.3707,289.0936,293.9625,275.7105,252.47433,249.77505,249.77505,247.1663,249.77505,246.0375,243.43501,237.72438,238.57048,240.64233,261.02747,280.30478,276.11542,273.9451,271.73566,271.68463,273.57626,274.76355,275.7105,251.56496,206.56499,147.99466,129.80553,116.56499,135.0001,118.61037,56.309914,336.8014,76.75947,3.3664,48.01287,352.23492,54.46224,90.0,129.80553,156.80138,135.0001,14.036275,354.2895,360.0,12.528798,26.564985,36.86999,44.999897,48.366554,55.0079,61.389645,65.55606,73.300674,77.4712,82.875084,71.564964,61.389645,59.743652,61.389645,73.300674,83.659904,90.0,90.0,83.659904,60.255207,20.556128,5.19435,360.0,4.763556,4.763556,4.763556,5.19435,11.3098955,29.744795,56.309914,75.96373,79.69521,77.00539,82.40546,93.814,114.775116,126.86998,129.28938,128.65984,124.992096,124.992096,128.65984,137.72638,152.24155,162.18102,165.17348,162.12122,152.44728,149.03632,158.19853,168.3664
