forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:27+00:00,2025-11-05 00:00:00+00:00,979.35657,979.2744,978.7852,978.49603,977.6697,976.939,977.27655,977.54083,977.3038,976.8753,976.8373,976.9176,976.51526,976.60925,977.19037,977.2691,976.46,975.6659,975.0232,974.65393,975.4137,975.4631,975.03455,974.8024,975.901,976.4681,976.6079,976.74756,977.35803,977.51245,977.80524,978.22156,978.2609,978.0505,977.8399,978.86444,979.6085,980.0126,980.30145,980.8089,981.0341,980.47614,979.8647,978.51355,977.8572,977.2848,976.7607,976.66364,976.53625,976.08575,975.7909,975.6296,975.0626,974.39246,973.72235,973.3471,972.85333,972.2565,972.0199,971.54126,970.98926,970.92645,970.7826,970.35645,969.9975,969.4277,968.2778,967.3597,966.7154,966.193,965.3422,965.1415,964.27374,963.29443,962.897,963.1846,963.9957,964.1773,964.3334,964.8198,964.9745,965.266,965.84235,966.1745,966.59467,967.50793,968.1815,968.16974,968.5182,968.2621,967.8957,967.7457,967.80676,968.0848,968.09784,968.3543,968.7457,968.7386,968.8858,969.1067,969.12836,969.0984,968.99396,968.8982,968.7068,968.3109,967.84717,968.06006,967.93945,968.7505,970.171,971.53766,972.69714,973.7838,974.82355,975.7255,976.5396,977.3382,978.28796,979.21313,980.05786,980.66296,981.0931,981.48236,981.79,981.9681,982.1937,982.50946,982.7711,983.1285,983.60956,984.09076,984.59357,985.1058,985.4522,985.5704,985.0544,984.2249,983.51306,983.01733,982.6506,982.4767,982.5197,982.7503,982.9534,983.1094,983.2431,983.29767,983.1528,982.833,982.61725,982.4968,982.472,982.44714,982.4846,982.5217,982.59656,982.8147,983.0614,982.9655,982.20325,981.10333,980.11566,979.2423,978.49164,977.83356,977.4936,977.34406
2025-11-06 01:02:54+00:00,2025-11-06 00:00:00+00:00,974.7565,976.2781,976.8478,977.3588,976.96906,976.6232,977.40356,978.087,978.4355,978.0849,978.6821,979.2056,979.55994,979.59607,980.0201,980.12885,980.51324,980.54834,979.49286,978.66425,978.53705,978.22797,976.8187,975.9083,975.85474,975.60895,974.3697,973.2943,972.6694,971.6216,970.85345,970.58594,970.3066,969.8434,969.30206,969.53284,969.2306,968.7545,968.5623,968.72504,969.1942,968.0141,966.94073,966.7542,965.94336,965.4795,964.7699,965.36224,964.2826,963.7244,963.2643,962.95557,964.1508,964.5051,965.0092,965.6797,965.877,966.10645,966.4096,966.6387,966.8453,967.6547,968.1888,968.35114,968.54254,968.3139,967.56586,967.4253,967.26843,967.41125,967.24396,967.51825,967.8743,967.6911,967.8027,967.589,967.19867,967.0144,966.74066,966.7561,966.74066,966.7682,967.28125,967.7586,968.0727,968.9346,970.43506,971.193,972.30676,972.6972,972.598,972.80817,973.4814,974.5596,975.374,976.81665,978.246,979.0988,979.8575,980.22516,979.82684,980.03235,979.93353,980.05695,980.34045,980.40314,981.04724,981.3961,981.799,982.1357,982.5546,982.697,982.317,981.6425,981.41205,981.11676,981.05255,981.1008,981.51624,982.24036,982.7074,982.9754,983.08484,983.11487,983.0572,983.00775,982.9662,982.9165,982.8752,982.929,983.14874,983.4725,983.73035,984.09985,984.4929,984.5682,984.20795,983.429,982.76874,982.2213,981.5895,981.13806,980.8455,980.7106,980.5518,980.53613,980.4864,980.3876,980.155,979.868,979.58105,979.2218,978.76666,978.3993,978.1771,977.9391,977.779,977.7344,977.6696,977.426,976.90735,976.20844,975.6323,975.3437,975.1809,975.21893,975.49365,975.8688
2025-11-07 01:00:41+00:00,2025-11-07 00:00:00+00:00,974.3465,974.21326,973.44604,972.68616,971.2936,970.46185,970.2106,970.2892,970.4657,969.85565,969.7976,969.2173,968.72546,968.1952,968.198,968.069,967.6237,967.26324,966.82623,965.989,965.6889,965.2291,964.437,964.6299,964.67584,965.4638,965.25806,965.51276,966.0974,966.2405,966.4853,966.62634,966.70734,966.9131,966.89734,967.38184,967.67487,967.521,967.95966,968.63367,969.34985,968.8713,968.4023,967.6186,967.16,967.0018,966.58716,966.74445,966.92346,966.6812,966.6229,966.57196,966.3213,965.864,965.7319,965.31256,965.40094,965.59985,966.1076,966.9917,968.42706,970.0411,970.9117,971.57465,972.2304,972.3836,972.21893,972.3503,972.607,973.93445,974.4863,974.98206,975.924,976.4964,976.30725,976.9945,976.7892,977.1174,977.53986,978.05,978.2568,978.7817,978.8965,979.33057,980.029,980.9087,981.17004,981.0455,981.062,980.55853,979.8155,979.5033,979.60675,979.91113,980.36816,980.78094,981.47076,981.6678,982.08826,982.3256,982.57104,982.52997,982.4804,982.5511,982.62177,982.493,982.76276,982.9455,982.8584,983.0408,983.3876,983.27704,982.4356,981.27185,980.1463,979.20715,978.28766,977.484,976.8385,976.30676,976.0412,976.2094,976.5506,976.78064,976.5815,976.2636,975.9612,975.7775,975.6895,975.5939,975.532,975.542,975.6611,975.86237,976.1611,976.1607,975.5526,974.7346,974.04,973.64056,973.3676,973.3028,973.48206,973.86523,974.2087,974.4712,974.69775,974.84393,974.9091,974.98975,975.05493,975.19305,975.3155,975.6293,975.992,976.53766,977.016,977.7112,978.4234,978.8134,978.6542,978.07245,977.7179,977.5847,977.6805,977.8656,978.3668,979.05347
2025-11-08 00:55:09+00:00,2025-11-08 00:00:00+00:00,963.67865,964.02277,964.3495,965.3753,965.57,966.10925,966.8135,967.0808,966.8614,966.2507,967.06067,967.66473,967.5098,967.4213,967.97906,968.459,968.23956,968.3598,968.1399,968.07227,967.96936,967.66455,967.38354,967.15326,967.465,967.24493,966.73694,966.427,966.0656,965.38055,964.31256,963.5769,963.54004,963.6135,964.21045,965.30426,966.3799,967.25684,967.60895,968.1906,969.3539,969.905,970.5361,972.60913,973.137,973.75305,974.49493,975.1674,975.82117,975.83276,976.7981,976.79877,976.7272,976.8543,976.53314,976.8871,977.09174,977.1924,977.6123,977.7536,978.37244,979.04535,979.43414,979.18524,979.09247,978.6633,977.69135,977.40424,977.50757,977.8506,978.2171,978.8611,979.4411,979.8378,980.1304,980.3733,980.4739,980.59033,980.44525,980.32446,980.4825,980.3536,980.5114,980.4779,980.7729,981.13873,981.304,980.9424,980.5902,979.8035,978.4119,977.09174,976.0619,975.2429,974.4656,974.1047,973.8612,973.8281,973.92096,974.3237,973.9103,973.4273,973.06757,973.0106,973.04913,972.6894,972.3067,972.31445,972.53656,972.64374,972.93195,972.9879,972.5098,971.98663,971.5288,971.3286,971.38666,971.55634,971.986,972.71655,973.29736,973.7822,974.2087,974.5088,974.65247,974.7721,974.8022,974.8623,974.93695,975.1225,975.4827,975.9461,976.44794,976.979,977.4318,977.75336,977.6045,977.2316,976.9822,976.85706,976.76855,976.7758,977.0093,977.33246,977.72656,978.07367,978.49774,978.8336,978.9703,978.939,978.99536,979.0598,979.21954,979.3793,979.6987,980.11346,980.46375,980.8426,981.2375,981.4115,981.24725,980.75433,980.2299,979.49365,978.6327,978.0573,977.99646,978.12616
2025-11-09 01:01:09+00:00,2025-11-09 00:00:00+00:00,968.11414,967.9631,967.693,968.1216,967.5397,966.9061,966.6704,966.427,965.45465,964.0476,964.0698,964.77765,964.7993,965.27106,966.3756,967.7239,968.0026,968.19104,968.41034,968.9668,969.8748,970.6394,971.2731,972.5419,973.84186,974.6478,974.81647,975.1596,975.749,975.3424,975.08673,975.0624,975.12604,975.0937,975.0937,975.47595,975.94586,976.0883,976.39746,976.94037,977.6094,977.2543,976.49615,974.9731,975.40375,975.5949,974.9555,975.29266,976.5883,977.6073,978.1539,978.7953,979.29425,979.5603,979.94666,979.90485,980.0338,979.9547,980.25793,980.36566,980.6889,981.2382,981.6839,981.49963,981.23694,980.2215,978.958,977.861,976.6397,975.85144,975.17236,974.66003,974.73016,974.4666,974.46387,974.82355,974.6011,974.26733,973.797,973.56415,973.3082,973.18945,973.5875,973.16327,973.59247,974.28186,974.5063,974.2536,973.8207,973.68146,972.8699,972.77295,972.46936,972.706,973.1068,973.69244,974.40326,974.69495,975.0168,975.1549,975.1013,975.2465,975.59064,976.1262,976.4056,976.4056,976.8037,977.0259,977.6339,978.07074,978.7331,979.14545,978.9418,978.46277,978.00433,977.8114,977.7518,977.77496,978.0059,978.5052,978.79395,978.9596,979.1052,979.1626,979.19714,979.14325,979.09717,978.97046,978.8517,978.8362,978.87,978.9113,979.1648,979.7217,980.3959,980.65845,980.19336,979.4148,978.6209,978.0532,977.481,977.0931,976.9997,977.0898,977.2015,977.2537,977.32025,977.29834,977.0848,976.7829,976.4515,976.17175,975.9653,975.8835,976.03033,976.20703,976.4359,976.65784,976.8346,976.71533,976.28546,975.5598,974.9003,974.23334,973.4484,972.9691,972.8487,973.03235
2025-11-10 01:04:12+00:00,2025-11-10 00:00:00+00:00,975.40967,975.69055,976.2342,977.4702,976.2275,975.84467,975.8043,976.1151,975.8916,975.29285,975.61847,975.9683,975.8808,976.22266,976.6293,977.3,977.3244,976.9872,976.5434,976.5607,976.8155,976.8869,977.1653,977.9154,979.24567,980.00195,980.2016,980.1449,980.391,980.224,979.8581,979.675,979.8581,980.32794,980.224,980.6939,981.16376,981.371,981.18976,981.2628,981.26306,980.7833,979.8879,978.8439,977.79584,977.11084,976.3282,975.91113,975.87805,975.9092,975.97363,976.27606,975.98914,975.5597,975.3275,975.11816,975.0302,974.6322,974.5442,974.52075,974.3218,974.91644,975.4876,975.3552,975.07184,974.72034,974.3001,973.8278,973.61334,973.94556,974.35944,974.95215,975.64435,976.127,976.42566,976.6432,976.74976,976.84784,977.145,977.6405,977.8725,977.91315,978.4238,978.6394,978.8786,979.61115,980.3361,980.42566,980.9198,980.1118,979.3839,978.89764,978.71356,978.6693,978.3705,978.5691,978.7569,978.7837,978.7715,978.6294,978.6371,978.43024,978.44104,978.32947,977.9132,977.6987,977.76324,977.828,978.08386,978.31915,978.69055,978.853,978.4543,977.56525,976.66425,976.04736,975.5715,975.26276,975.2338,975.3741,975.48645,975.48645,975.4642,975.44946,975.3164,975.2868,975.16125,975.12396,975.09436,975.1602,975.2033,975.24664,975.2991,975.3315,975.36053,975.2819,974.986,974.58276,974.0789,973.63416,973.0994,972.68646,972.277,971.9926,971.6741,971.4696,971.3228,971.01337,970.5419,970.0105,969.4579,968.7726,967.9772,967.4838,967.40247,967.53455,967.66644,967.5997,967.44415,967.1184,966.5621,965.84186,965.1459,964.5285,963.84717,963.43884,963.22876,963.2022
2025-11-11 00:59:07+00:00,2025-11-11 00:00:00+00:00,979.5695,979.9843,980.3115,981.70654,981.84894,981.62555,981.7131,981.2513,981.0682,979.4271,980.30347,980.4867,980.5903,980.4071,980.9743,981.50964,980.9127,980.31396,980.0429,978.8533,977.41626,975.8519,974.07043,973.6115,974.019,973.50903,973.1333,972.94965,973.0611,972.879,972.617,972.64136,972.4109,972.2912,972.5621,973.33496,973.80505,974.211,974.5898,974.9643,975.19775,974.92816,974.62634,974.41705,974.3649,974.6161,975.0076,975.6851,976.4677,976.6552,977.1448,977.458,977.58765,977.6289,978.2362,978.8433,979.0598,978.99664,979.2443,979.2125,979.9382,980.5902,981.4399,981.27795,981.3645,980.57,979.69336,979.07446,978.82355,978.8313,978.37946,978.4413,978.5645,978.5113,978.44275,978.3013,977.865,977.53186,977.4782,977.5352,977.41644,976.8115,976.86847,976.9256,977.10156,977.63873,978.02295,978.07214,977.7478,977.04095,976.3916,975.80414,975.72003,975.77313,975.5145,975.75165,976.0465,976.09076,976.0981,975.9435,975.67065,975.5822,975.5086,975.8108,975.7738,975.7664,976.11993,975.94324,976.2232,976.3705,976.5962,976.60895,976.5834,976.3436,975.8291,975.37103,974.8424,974.45624,974.29346,974.2781,974.30426,974.23895,974.2171,974.0995,973.96735,973.83527,973.7029,973.5779,973.4528,973.32764,973.26886,973.3059,973.4459,973.84973,974.2566,974.4321,973.97955,973.298,972.5458,971.79913,971.07263,970.66754,970.92346,971.4004,971.7461,971.55634,971.2401,970.92365,970.6741,970.52747,970.40216,970.3284,970.3867,970.3345,970.2456,970.06146,970.0018,970.08856,970.2177,970.26447,969.97644,969.5154,969.09247,968.77106,968.3944,968.13354,968.0564,967.9959
2025-11-12 01:00:33+00:00,2025-11-12 00:00:00+00:00,972.05597,971.11694,971.50745,972.52625,972.2976,972.06696,972.13885,972.3065,971.8764,971.6775,971.47034,972.0284,972.4905,973.11884,974.1729,975.20874,974.8896,974.84,974.5453,974.8908,974.97095,974.92004,974.5084,974.9893,975.8453,976.194,976.4694,976.83954,977.5428,977.3617,977.0123,977.0138,977.2301,977.50116,977.3342,977.7571,978.19543,978.6097,979.57544,980.7026,981.5505,980.8964,980.1594,980.32654,980.14966,980.14276,979.75745,979.9579,980.27234,980.30707,980.20764,980.1234,979.7748,979.5369,979.58344,979.5988,979.27313,978.9551,978.8671,978.74054,978.9086,979.32697,979.59985,979.2861,978.85205,978.1309,977.4092,977.01154,976.5915,976.3705,976.0611,975.82404,976.0758,975.83295,975.5674,975.3907,974.94073,974.6165,974.4176,974.4176,974.1304,973.895,973.76984,973.2612,973.1434,973.3645,973.0168,972.8596,972.7777,971.5459,970.10046,969.0785,968.45374,968.0369,967.7739,967.35315,967.2685,967.006,966.6086,966.6086,966.1503,965.6037,965.5753,965.1496,964.8198,964.50366,964.2908,964.26935,964.8017,965.0821,965.5544,965.9294,965.92615,965.7147,965.4205,965.3104,965.248,965.4591,966.1562,967.13324,967.8899,968.3013,968.5938,968.8176,969.1132,969.2463,969.4824,969.5932,969.8063,969.97577,970.32947,970.73486,971.0289,971.3308,971.5151,971.5215,971.3676,971.01935,970.64764,970.3606,970.14825,969.9764,969.83093,969.72394,969.5547,969.24207,968.87616,968.553,968.2269,967.9503,967.7407,967.64484,967.6234,967.6982,967.80804,968.0212,968.41864,969.2206,970.2005,971.06665,971.6141,972.0314,972.5588,973.3225,974.1107,974.9723,975.8765,976.8613
2025-11-13 01:15:49+00:00,2025-11-13 00:00:00+00:00,975.34814,975.6482,975.624,976.6596,975.9866,976.0868,976.2974,976.50024,976.79047,976.7207,977.3206,978.2461,978.5663,978.9547,979.82697,980.74536,981.0726,981.15436,980.5866,980.50464,980.4088,980.14417,979.7169,979.8815,980.36993,980.50464,980.4046,980.5114,980.53754,980.1804,979.9912,979.93823,980.09125,980.09125,980.00354,980.3545,980.8643,980.71246,980.77527,981.1035,981.33075,980.4755,979.54333,977.5064,976.8701,976.31445,976.2783,976.4644,976.4499,976.2218,976.28094,975.71497,975.442,975.0805,974.9549,974.66034,974.6529,974.01953,973.8207,973.24615,973.4376,973.38696,973.17596,973.0972,972.48755,971.44946,969.96344,968.9906,968.4975,967.93506,967.3783,966.993,966.30084,966.9578,966.6635,966.64954,966.1231,965.64874,965.202,964.88635,964.6342,964.23645,964.1308,964.149,964.55334,965.2242,965.8308,966.01556,966.47644,966.28564,966.19794,966.06726,966.07196,966.5197,966.9577,967.4933,968.2669,968.7007,969.17804,969.47095,969.5644,969.8716,970.186,970.7068,970.85254,970.9902,971.1356,970.89813,971.457,971.60266,971.952,972.07556,972.22125,971.1986,970.4176,970.1669,970.012,969.9088,969.6514,969.4604,969.29083,969.3793,969.50476,969.6739,969.7619,969.90784,970.06793,970.4635,970.88165,971.3301,971.62463,971.85406,972.2897,972.9246,973.7581,974.29675,974.43744,974.4749,974.51215,974.6452,974.9697,975.27203,975.8315,976.3687,976.9135,977.19305,977.3846,977.57605,977.75275,978.0174,978.18634,978.28204,978.37787,978.53937,978.9854,979.4881,980.10443,980.72797,981.4567,981.79956,981.543,980.98895,980.5593,980.43274,980.5214,980.648,980.95984,981.29224
2025-11-14 01:00:53+00:00,2025-11-14 00:00:00+00:00,979.0144,978.48096,979.09814,978.72754,978.5522,977.9816,978.41693,978.09375,978.0549,978.1034,978.44714,978.9583,979.20593,979.1322,979.7006,980.34894,979.916,979.46204,978.683,978.3533,977.58936,977.17065,976.44586,976.08295,975.8274,975.4146,975.1273,974.7357,974.58026,973.57025,973.19324,972.93384,972.89636,972.46796,971.97437,972.16266,972.30444,972.13605,971.4141,971.28076,970.6567,969.8682,968.07715,968.2133,967.5019,967.2128,966.3078,965.5997,965.66016,965.95465,965.7984,965.58795,965.19763,964.56635,964.23645,963.907,963.4246,963.0766,962.8427,963.1338,963.78674,964.42926,964.97894,965.2594,965.7067,965.6963,965.56836,965.5544,965.7708,966.4235,966.777,967.47156,968.0666,968.7052,969.2773,969.6651,969.949,970.3434,970.5538,970.9552,971.2762,971.4132,971.9481,972.29974,973.0416,973.56415,973.93365,974.0905,974.1673,973.7038,973.1216,972.7668,972.9135,972.78156,972.72345,972.846,973.32996,973.0632,972.7229,972.8684,972.49274,971.9482,971.4531,970.227,970.3167,970.0487,971.10895,970.57684,971.9317,972.2991,972.5826,972.85815,972.97217,972.9675,973.03534,973.3825,973.80334,974.40015,975.0552,975.7834,976.416,976.87177,977.2245,977.45844,977.44763,977.3251,977.22504,977.37775,977.6571,977.94415,978.1926,978.4487,978.6864,979.063,979.4182,979.6603,979.47156,979.07446,978.809,978.9563,979.1478,979.3913,979.47986,979.52344,979.5076,979.3818,979.10223,978.83734,978.4033,977.888,977.44617,977.2547,977.1367,977.04095,976.87897,976.8422,976.75366,976.8401,976.8728,976.68964,975.99,975.0693,974.3112,973.79126,973.4356,973.24384,973.31177,973.5441
