forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:25+00:00,2025-11-05 00:00:00+00:00,991.13086,990.5661,990.41003,990.02216,989.25165,988.6645,988.3683,988.5785,988.0668,987.2695,987.2586,986.77936,986.3051,985.9918,986.21387,986.24365,985.8208,985.1615,984.80865,984.77203,985.4717,986.121,986.36224,987.0562,988.10626,988.7462,989.6321,990.3827,991.24005,991.2878,991.55,992.1879,992.2875,992.1236,991.8625,992.57587,993.28906,993.63055,993.8052,994.4292,994.4552,994.0057,992.94147,990.9893,990.4175,989.97235,989.31116,989.0708,988.74725,987.8792,986.94635,986.24603,985.7407,984.6691,983.8075,983.1614,982.74036,981.8925,980.97516,980.194,979.5725,979.37036,979.22894,978.4375,977.65875,977.08386,976.5937,975.9117,975.0249,973.8515,972.25854,972.7797,973.06036,973.653,973.11664,973.6938,974.5157,974.98413,975.5038,976.0182,976.4243,976.80884,977.20355,977.5974,978.09845,978.97614,979.5733,980.0336,980.4506,980.49945,980.0103,979.77045,979.95966,980.00507,979.6799,980.30524,980.7047,980.95294,980.9474,981.3352,981.2383,980.8826,980.70905,980.30676,978.58417,978.2598,978.2154,978.3547,978.96716,980.7919,982.99023,984.9858,986.25665,987.20886,988.1542,989.179,990.11273,991.0875,992.14417,993.24,994.1628,994.9482,995.6539,996.0682,996.1743,995.9773,995.9004,995.9437,996.1017,996.2595,996.5868,996.914,997.3251,997.7716,998.2021,998.32135,997.82794,996.93304,996.185,995.6706,995.20825,994.96423,994.8924,995.04034,995.1404,995.25244,995.2174,995.19385,994.9651,994.54254,994.2226,994.00507,993.88477,993.7702,993.7228,993.772,993.7228,993.74713,993.7698,993.55835,992.8018,991.8155,990.7777,989.7816,988.92523,988.0957,987.528,987.1719
2025-11-06 01:02:51+00:00,2025-11-06 00:00:00+00:00,987.7771,988.2977,990.29803,990.4714,990.9104,990.24884,991.0886,991.6526,992.4481,991.99976,992.3264,992.8411,992.9792,992.6081,993.00574,993.4693,993.67566,993.3107,992.157,991.3407,991.0706,990.3704,989.1264,988.4325,988.3306,987.6297,986.37933,984.95654,983.74414,982.86066,982.0963,981.5267,980.6874,980.00287,978.8435,978.4117,978.0712,977.3242,976.85645,977.05194,977.2813,976.33624,975.5346,975.34247,975.08167,975.0249,975.0148,975.21497,974.43414,974.46423,975.1079,975.526,975.61127,976.05475,976.37476,976.69434,977.0028,977.1011,977.42474,977.7642,978.2386,978.906,979.62476,979.8533,980.0558,979.7758,979.3059,978.93207,978.917,978.85614,978.86566,979.00916,979.13983,978.8878,978.4627,978.8997,978.40967,977.6391,976.9498,976.37335,977.0875,977.1422,978.2916,979.6063,980.38196,981.8074,983.08203,984.02325,984.87915,985.04535,985.5463,986.15466,986.9942,988.46216,989.35944,990.383,991.4159,991.95184,992.70306,992.7634,992.3621,992.3152,992.4677,992.60815,992.6755,992.616,992.89465,993.276,993.7702,994.0922,994.7184,995.00275,994.841,994.32263,993.8321,993.5866,993.48395,993.42725,993.5762,993.9623,994.18713,994.299,994.3489,994.30164,994.23676,994.06836,993.91797,993.88794,993.77924,993.87006,994.0277,994.37885,994.6386,995.05865,995.3805,995.46857,995.01056,994.2311,993.4855,992.64575,991.84827,991.14233,990.84045,990.6301,990.43085,990.04846,989.56934,989.0903,988.50305,987.8135,987.124,986.4343,985.84174,985.3407,985.1139,984.9784,985.0005,985.20703,985.5639,985.73035,985.5021,985.0831,984.8149,984.6984,984.72906,984.8871,985.2062,985.6483
2025-11-07 01:00:38+00:00,2025-11-07 00:00:00+00:00,986.94037,985.8476,985.06635,984.9043,983.6867,981.88745,981.30023,981.2895,980.9723,979.9118,979.2059,978.32166,977.33954,976.96216,976.55615,976.2094,975.74976,975.4535,975.5346,975.3962,975.25256,975.19196,974.83514,975.48456,976.0661,976.79584,976.6107,976.7005,977.0309,977.3661,977.3079,977.73425,978.04755,978.2795,978.0156,978.63477,979.33966,979.35077,979.712,980.3441,980.8183,980.34064,979.6156,979.08435,978.4971,978.32947,978.0699,978.09357,978.0309,977.5355,977.1294,977.34467,977.0694,976.79407,976.28296,975.4725,975.9257,976.72394,977.52734,979.2669,981.0446,982.8222,984.28656,985.2669,985.82214,986.6842,986.5497,986.93146,987.1495,987.79486,988.56476,989.12103,990.2506,990.9644,991.10767,991.6272,991.7353,991.41504,991.4134,991.8102,991.77783,991.7072,991.97394,992.19324,992.53253,993.17334,993.64435,993.59796,993.7815,993.5243,992.73126,992.4852,992.49084,992.64,992.78394,993.1411,993.52673,993.35376,993.59766,993.85876,993.81146,993.6378,993.705,993.5842,993.3847,993.3787,993.36694,993.1911,993.3058,993.0923,993.0094,992.6473,991.8294,990.6002,989.27655,987.9104,986.42505,985.2995,984.7126,984.48615,984.3619,984.3563,984.3563,984.35095,984.1463,983.9303,983.7201,983.60144,983.5794,983.5577,983.71277,983.86816,984.07855,984.3825,984.7343,984.8042,984.4897,983.88776,983.3388,983.0282,982.7682,982.7372,982.9905,983.47064,983.9902,984.5025,985.0577,985.5046,985.81696,986.1121,986.42334,986.76733,987.2243,987.67596,988.07745,988.57513,989.05426,989.78613,990.599,991.0962,991.0635,990.8241,990.628,990.58344,990.5887,990.8171,991.2191,991.83954
2025-11-08 00:55:06+00:00,2025-11-08 00:00:00+00:00,975.58154,975.5202,976.2962,977.06104,976.886,976.8027,977.5315,977.7646,977.5176,977.1632,977.7995,978.3384,978.2739,978.3977,979.24023,979.6697,979.83514,979.97314,979.7637,979.2735,979.19165,978.93646,978.48096,978.53503,978.9102,978.5665,978.58984,977.8738,976.9425,975.1866,974.0212,974.3649,974.619,974.8755,974.89166,975.6072,976.5275,977.6688,978.9597,980.405,982.02234,983.15753,983.9025,985.6545,985.9697,986.6873,987.60065,988.5318,989.59766,990.0141,990.4871,990.55475,990.2683,989.9876,989.8942,989.83527,989.74115,989.59094,989.85767,989.94257,990.2211,990.86145,991.04443,991.00256,991.05066,990.7837,990.2192,989.99084,990.1047,990.29846,990.5727,991.0622,991.4753,991.7576,991.85724,991.87714,991.8178,991.7032,991.42456,991.24866,991.23096,991.14594,990.81396,990.7271,990.9739,991.17065,991.0898,990.7664,990.37177,989.1158,987.3488,985.72626,984.35486,983.1588,982.1511,981.64453,982.26447,981.8622,981.8141,981.50165,981.17804,980.7631,980.48865,980.40814,980.4026,980.29474,980.3754,980.26733,980.752,981.1616,981.7071,982.1052,981.9895,981.53864,981.2653,981.3223,981.5265,981.87836,982.5452,983.35254,984.07135,984.52435,984.7878,985.0663,985.26917,985.48267,985.70685,985.9309,986.0687,986.3088,986.62854,987.0453,987.558,988.1261,988.77515,989.2046,989.18396,988.8434,988.55115,988.4151,988.23157,988.2708,988.4833,988.9137,989.29315,989.7805,990.42,990.8768,991.1285,991.19727,991.3801,991.5962,991.8347,992.1423,992.3827,992.60065,992.9025,993.3667,993.8201,994.0268,993.65497,992.94366,992.3072,991.6656,991.0995,990.6743,990.4281,990.417
2025-11-09 01:01:07+00:00,2025-11-09 00:00:00+00:00,979.9415,980.1288,980.1683,980.3493,979.79065,978.63904,977.77673,977.2611,976.5282,976.97455,976.69525,977.09393,977.1047,977.3848,978.3597,979.4483,979.56116,979.57214,979.9508,981.41315,982.98804,984.15643,985.1216,986.57007,988.11444,988.9912,989.2416,989.3154,989.7763,989.5654,988.8815,988.68774,988.4881,988.40875,988.1007,988.4881,988.8525,988.9378,988.7787,988.8196,989.05347,988.3823,988.0745,986.7584,987.06165,988.3673,989.2043,989.8732,990.7365,991.39056,991.6164,991.8475,991.75214,991.6494,991.5288,991.3293,991.5106,991.1966,991.06964,991.04565,991.227,991.6676,991.89545,991.7353,991.0455,990.0456,988.5863,986.97534,985.5986,984.386,983.4805,983.18976,982.9761,983.488,982.6906,982.84045,982.2481,981.75793,981.4782,981.2733,981.747,981.5752,981.39764,981.8767,982.6358,983.0511,983.33356,983.6246,983.70325,983.3922,983.1343,982.72174,982.54834,983.05304,983.5391,984.1416,984.87964,985.49396,985.81696,986.063,986.4181,986.66486,987.33234,987.8698,988.15497,988.18555,988.5231,988.77454,989.41394,989.9599,990.7435,991.22577,991.15405,990.6439,990.2634,990.03973,989.9582,989.9012,990.0144,990.34705,990.5302,990.7287,990.8845,990.95404,990.92096,990.80206,990.6833,990.6667,990.7524,990.8385,990.8854,990.8358,990.9658,991.45526,992.0231,992.2262,991.7024,990.8241,990.0431,989.49255,989.1414,988.8611,988.8295,988.86865,988.92316,988.91254,988.81555,988.6322,988.44885,988.0768,987.8987,987.72546,987.6496,987.66547,987.66547,987.7572,987.8751,988.02997,988.11346,988.01276,987.36505,986.5323,985.65247,984.9012,984.2936,983.7478,983.52936,983.4677
2025-11-10 01:04:09+00:00,2025-11-10 00:00:00+00:00,990.06366,990.30865,990.4166,991.5444,991.00226,989.6116,989.20105,989.74164,989.5364,989.02277,988.8235,989.03467,988.4301,988.62384,989.02875,989.59827,989.2126,989.39026,989.44794,989.8526,990.50793,991.0665,991.42535,991.754,992.4125,992.79425,991.9519,991.79004,992.0106,991.7078,991.1535,990.93976,991.2562,991.4206,991.4995,991.8928,992.48566,992.6356,992.5173,992.5081,992.5024,991.6912,990.3546,987.9281,986.7396,985.6461,984.6215,984.2338,984.4303,984.6796,984.5358,984.2338,983.9488,983.4861,983.2867,983.2479,982.88257,982.8882,982.48926,982.6501,983.66614,984.2532,984.8343,984.966,985.07294,985.08044,984.6294,984.4423,984.3453,984.8443,985.1616,985.9998,986.7211,987.4515,987.84204,988.3569,988.56415,988.9126,989.4771,989.83636,990.28156,990.3275,990.27637,990.6527,991.2281,991.8722,992.67163,993.0283,993.0518,992.84106,991.9778,991.4379,991.1522,990.99713,990.7299,990.62646,990.9265,990.89905,990.6777,990.7359,990.4119,990.2016,990.13776,989.9161,989.5702,989.3374,989.23474,989.1547,989.12103,989.10205,989.3396,989.01135,988.33276,987.723,986.9231,986.23517,985.6023,985.2196,985.15784,985.14575,985.25604,985.2246,985.1224,985.11176,985.1775,985.14056,985.2323,985.2798,985.353,985.40546,985.49725,985.46594,985.5629,985.7017,985.7745,985.69446,985.4037,984.9514,984.5181,983.95557,983.4156,982.948,982.7357,982.6915,982.5746,982.2169,981.6907,981.1694,980.4336,979.6004,978.9007,978.3704,977.8812,977.4626,977.0996,976.80853,976.49725,976.3337,976.04736,975.70465,974.8676,973.8775,973.1525,972.78455,972.58575,972.63153,972.78925,973.09796
2025-11-11 00:59:05+00:00,2025-11-11 00:00:00+00:00,993.21857,993.29816,993.7765,994.65985,994.3636,993.38904,993.4803,992.70544,992.3121,991.4403,991.9246,992.318,992.4089,991.4462,992.27905,992.85565,992.18353,990.747,989.7825,988.4988,987.09515,985.60547,984.27344,984.47516,984.73785,984.2813,983.5895,983.0829,982.9915,983.0829,982.5872,982.4847,982.7475,983.09607,983.4503,984.11743,984.7789,985.1143,985.4028,985.9822,986.50336,986.19806,985.9148,985.059,985.27386,985.7829,986.1705,986.7056,987.56104,988.2487,988.6452,988.9718,989.01886,989.36725,990.01215,990.4631,990.6231,990.6287,991.08484,991.16486,991.6269,992.39545,992.92377,993.1109,992.949,992.37604,991.614,990.9923,990.5023,990.2296,989.9486,989.8625,989.9749,989.74835,989.6185,989.5637,989.2071,988.79193,988.76416,988.45135,988.2409,988.1328,987.8948,987.997,988.18555,988.6782,989.09204,989.2741,989.2203,989.0904,988.25366,987.68164,987.36444,987.3849,987.13574,987.33435,987.66547,987.86487,988.05347,988.08203,987.7963,987.7099,987.53143,987.613,987.5971,987.3502,987.30756,987.08716,987.27057,987.4577,987.6,987.6333,987.47235,987.0477,986.44556,986.0014,985.5261,985.20953,985.0156,984.77985,984.69183,984.6053,984.4733,984.31525,984.1109,983.8809,983.65564,983.53284,983.41504,983.30255,983.28674,983.37354,983.5016,983.69714,983.92773,983.8714,983.23126,982.2932,981.6106,981.3589,981.26184,981.2322,981.1629,981.0637,981.0857,981.1627,981.36163,981.45874,981.3469,981.22974,981.1123,980.9901,980.95496,980.83264,980.71014,980.6898,980.6796,980.78687,981.01117,981.14386,981.1024,980.97345,980.81464,980.79456,980.8415,980.78094,980.71014,980.62854
2025-11-12 01:00:30+00:00,2025-11-12 00:00:00+00:00,982.1884,982.4543,982.62036,983.4179,983.1383,982.4652,982.2936,982.4927,982.4927,982.3518,982.2051,982.9413,983.4894,983.8079,984.84326,986.20844,986.2389,986.2295,986.3631,986.7116,987.01825,986.98193,986.6747,987.37726,988.18994,988.695,988.80096,989.2305,989.8865,989.7843,989.55145,989.5069,990.2133,990.1463,989.84015,990.0631,990.79297,991.2203,991.9776,992.9042,993.6685,993.0829,992.24347,992.3665,991.90735,991.83954,991.5484,991.5108,991.828,991.69293,991.67633,991.53,991.40564,991.10944,990.8772,990.758,990.5586,990.05206,989.9551,989.8582,989.71924,990.12915,990.40125,990.1965,989.8728,989.3797,988.4521,987.88556,987.08765,987.0216,986.5382,986.5932,986.7204,986.57025,986.2901,985.918,985.64294,984.9746,984.7969,984.6925,984.2965,983.6386,983.2765,982.7101,982.393,982.33746,982.54834,982.36487,981.8121,980.48126,978.8361,977.7751,977.2158,976.5311,976.05853,976.0757,975.8566,975.5553,975.25415,975.2691,974.7538,974.1463,974.02936,973.9172,973.67773,973.82605,974.2962,974.8376,975.7876,976.5484,977.39606,977.9116,977.9727,977.8242,977.7358,977.7607,977.9597,978.19086,978.61127,979.162,979.65405,980.1415,980.5788,981.01605,981.34,981.56696,981.7987,981.831,981.8686,981.9383,982.25073,982.5958,982.9405,983.3822,983.8293,983.9796,983.55334,982.8358,982.18866,981.77936,981.4411,981.20447,981.2857,981.4744,981.5714,981.4796,981.1993,981.0,980.77954,980.54297,980.4033,980.3551,980.5005,980.8507,981.5077,982.3693,983.22015,984.0272,984.8231,985.5765,986.1435,986.5654,987.06146,987.7132,988.33276,988.9792,989.58716,990.21246
2025-11-13 01:15:47+00:00,2025-11-13 00:00:00+00:00,987.24084,987.4411,987.86194,988.37396,988.18,988.5141,988.6429,989.63855,989.7448,989.53436,990.1326,991.0139,991.5308,991.7193,992.6164,993.3356,993.86786,993.82733,993.4055,993.35046,993.2481,992.81287,992.3373,992.4898,992.95233,993.04803,993.17084,993.06036,993.1819,993.1018,992.79987,992.6751,992.7555,992.6362,992.4609,992.50836,992.82764,992.66797,992.5119,992.9684,992.90985,991.8365,990.65753,988.37836,987.84094,987.3954,986.9971,987.04645,986.8053,986.2739,986.30597,985.9711,985.2744,985.0254,984.75024,983.99005,983.90326,983.434,982.9542,982.45874,981.9684,982.199,982.06323,981.22565,980.80475,979.8565,978.34766,977.27985,976.84375,975.8962,974.8861,975.6178,975.78735,975.481,975.0879,974.75684,974.1647,973.7764,973.63916,973.49725,973.7329,974.05054,974.7814,975.3516,976.65,977.6428,978.6919,979.3785,979.8602,979.7546,979.1879,978.907,978.8814,979.2072,979.4518,979.9513,980.52734,980.92523,981.3392,981.6665,981.8108,982.06854,982.42865,982.6859,982.9435,983.00146,983.0704,983.05334,983.441,983.89026,984.3604,984.43274,984.54987,984.09467,983.1536,982.56104,981.99243,981.806,982.21136,982.9993,983.6731,983.9261,984.064,984.1482,984.4221,984.74054,984.93994,984.9761,984.98413,985.11646,985.4759,986.05164,986.67255,987.45135,988.16614,988.7773,988.8758,988.7634,988.7313,988.77466,988.89307,989.18396,989.63104,990.2503,990.7833,991.1546,991.34326,991.53143,991.61786,991.7038,991.7623,991.96533,992.3393,992.63257,993.0386,993.4671,993.86597,994.3657,994.93726,995.21564,995.0128,994.5168,994.154,993.9968,993.9759,994.00946,994.26917,994.58167
2025-11-14 01:00:50+00:00,2025-11-14 00:00:00+00:00,991.63855,990.8517,990.85657,991.3727,991.3123,990.2493,990.60925,990.79785,990.67865,990.46277,990.3212,990.78357,990.74457,990.27655,990.8356,991.26337,990.8779,990.1333,989.18146,988.65985,987.96515,987.57196,986.90375,986.75977,986.8242,986.31836,985.8957,985.5232,985.5023,984.80774,983.9244,983.6125,983.49475,983.00446,981.9772,981.9008,982.0913,981.6631,980.9945,980.16156,979.245,977.8735,977.05115,976.8965,975.71674,974.54205,974.1768,974.2094,974.7869,974.7768,974.4359,973.71625,973.58435,972.8696,973.1307,973.1874,973.3413,973.60034,974.59216,975.2945,976.33093,977.46234,978.29,978.88586,979.2212,979.2331,978.9784,978.774,978.8401,979.2576,979.4203,979.9513,980.57556,981.25854,981.66095,981.9772,982.3038,982.4478,982.68274,982.9342,983.37933,983.53955,983.9958,984.35516,984.99927,985.42645,986.10583,986.16547,986.2588,986.1994,985.6271,985.2006,985.1353,985.27625,984.8366,985.1273,985.29425,985.5369,985.48816,985.33136,984.856,984.2227,984.3722,984.6951,984.9355,984.9227,985.4929,985.60657,986.3073,986.6092,986.95,987.1857,987.34534,987.2929,987.35236,987.6163,988.04724,988.5211,989.09766,989.8072,990.34283,990.81885,991.11725,991.43774,991.5978,991.6775,991.7744,991.9854,992.2985,992.50366,992.6637,992.80646,993.1028,993.7003,994.4495,994.80414,994.4566,993.71436,993.2242,993.1648,993.3588,993.5152,993.4291,993.3095,993.1196,992.8928,992.69336,992.4025,992.0204,991.54095,991.1588,990.85706,990.44745,990.14545,989.74664,989.3589,988.98773,988.7296,988.49884,988.1172,987.3302,986.3022,985.2442,984.1476,983.02826,982.24054,982.22534,982.548
