forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:29+00:00,2025-11-05 00:00:00+00:00,9.693296,10.739833,11.609651,11.879999,13.397612,15.542662,15.484185,15.596767,16.981165,19.486609,20.61766,21.09305,21.734581,23.219301,24.774696,27.567635,29.793125,30.037897,31.060303,28.732422,27.288855,24.063513,20.240198,16.09969,13.854155,14.336861,12.371645,11.177405,10.853866,11.090103,9.585739,9.504273,10.483357,10.495713,10.315115,8.669949,8.373386,7.8954163,11.304229,12.620554,12.245294,10.823973,8.669949,9.531505,10.446206,9.9571085,9.3669195,10.538843,10.931203,11.165805,11.91812,11.808878,11.019764,10.805998,10.829959,10.799999,12.783802,19.33639,23.068108,22.26477,22.26477,21.659916,23.507753,27.381306,29.69727,32.553635,31.863558,33.626774,30.58517,28.257132,27.155552,24.144167,22.206486,26.302181,14.48972,11.681987,6.830519,10.495713,10.24578,11.879999,11.720751,11.252519,10.829959,11.177405,10.829959,10.365251,12.9249525,14.77755,15.226764,17.462784,19.493261,19.803272,18.374111,13.004921,8.311245,7.5599995,7.24486,7.7879906,8.161764,9.931042,10.691453,11.019764,12.72283,17.238699,23.166216,29.834423,28.82249,30.274265,28.266306,29.68636,25.600533,23.683512,24.94413,23.906818,25.582806,25.38702,25.44566,24.33664,21.09305,16.516901,14.05845,14.587776,16.981165,18.204042,17.25373,14.917212,13.450708,12.849528,12.682018,12.605142,11.928989,11.013882,11.090103,12.261158,14.205182,16.327497,17.377226,17.935081,18.584509,19.70815,20.545246,20.12461,17.339897,13.75558,11.841756,11.592895,11.592895,11.753877,11.609651,11.983188,11.885453,12.096214,12.313894,12.261157,11.966954,11.212135,11.720751,13.783817,16.78156,19.201874,20.291357,20.730501,20.49156,19.592731,18.35647,16.676977,14.773164,13.281023
2025-11-06 01:02:57+00:00,2025-11-06 00:00:00+00:00,15.158522,15.683776,13.910169,13.18308,12.783802,18.057508,14.345898,13.089354,10.296251,8.891343,8.669949,9.686609,8.891344,8.287822,14.264361,14.830076,14.404499,12.287555,10.805999,10.086427,8.647496,8.473393,6.87779,9.3669195,9.826088,9.779817,10.464797,10.948973,11.609651,10.97262,10.829958,12.24,22.963936,23.400002,23.863409,24.288662,24.36591,26.901417,30.551254,35.902668,34.477398,33.851486,32.55363,29.96662,26.493652,23.333443,29.328403,22.104116,24.522314,19.770523,16.854767,12.599998,16.375053,10.495713,10.464798,9.983106,10.464797,10.383987,10.00256,9.793059,9.957108,9.387651,10.30883,11.966953,12.641076,13.202726,12.904882,15.484185,14.917212,10.495713,7.8625183,5.3517847,1.2979984,5.0142193,5.95906,5.4833565,6.87779,9.255571,8.654986,11.885453,16.58346,29.827904,29.620802,30.574575,27.691935,29.660152,26.758923,25.764534,24.64094,24.826952,23.34455,22.930048,21.42227,18.837322,19.137648,20.12461,17.786331,20.08916,18.971008,19.483284,19.33639,19.486609,19.809813,18.079027,15.905319,19.09358,20.969805,22.751316,23.770906,23.576563,27.722336,29.601109,26.727423,27.231804,25.277023,26.072052,27.103,26.901417,23.584808,18.888851,15.4800005,14.869351,15.542662,16.171976,15.716793,15.315873,14.81259,14.654254,14.20062,14.081477,13.608762,13.276144,14.003028,16.299694,19.681828,22.26477,23.78453,25.02971,25.476198,25.212852,24.344624,24.464113,25.944988,28.174458,29.947153,31.178993,32.61727,33.66337,33.371437,32.59939,31.581665,30.563978,29.546328,28.528723,27.267473,25.772078,25.264202,25.96995,27.776047,29.179993,30.25928,31.178993,31.404713,30.10685,28.03612,25.294964,21.413193,17.174677
2025-11-07 01:00:44+00:00,2025-11-07 00:00:00+00:00,9.779817,9.826088,10.163227,12.245293,11.770403,10.883676,11.681987,10.739833,14.081478,21.829777,22.79684,21.129883,21.218632,22.35481,27.14123,32.84494,34.51685,31.863558,35.864746,33.3559,28.460497,21.566973,19.107151,19.171478,15.827721,13.493999,11.770403,12.245293,11.874544,10.636766,9.504272,8.942214,9.422101,9.686609,9.931042,10.233123,10.630672,10.948973,12.57426,12.682018,12.096214,12.096214,12.783802,12.57426,12.397806,8.39657,5.1165614,6.5693827,6.130579,5.0911684,6.830519,9.021574,9.449572,7.5170207,5.5887027,8.654986,12.413477,15.1884165,15.7908325,17.114204,17.581125,17.49615,19.914215,22.915916,20.898613,22.183128,20.898613,21.67786,21.434364,18.043148,18.39878,24.798225,21.068459,20.497883,23.34455,22.380884,20.991426,17.992796,19.161337,17.414474,14.57889,14.336861,13.237038,12.031756,11.609651,11.113451,15.546833,16.80857,17.072504,17.429354,18.971008,19.201874,19.64228,19.33639,15.379206,11.720751,10.8955765,10.823973,10.853866,10.829959,11.27553,10.966713,11.435313,11.090103,11.212135,11.457958,11.457958,11.885453,12.55879,13.527572,20.26899,22.828087,24.912935,25.277023,26.42753,26.459387,26.576681,27.21038,28.503725,30.376833,31.76375,33.004364,34.126022,34.62369,33.864883,32.078403,30.54701,29.533169,28.515089,27.757376,26.739542,25.72174,25.20257,25.96995,28.04305,29.179993,30.05515,31.087412,31.25372,30.158459,27.748037,25.478743,22.7057,20.316889,18.278645,17.595861,17.873556,17.727943,16.516901,14.84318,13.493999,12.682018,11.542478,10.805999,10.08,9.36,9.007196,9.114471,9.793058,10.829958,12.768586,15.379206,16.854767,16.854767,16.055353,14.799459,13.5515,11.525623
2025-11-08 00:55:11+00:00,2025-11-08 00:00:00+00:00,13.044722,11.367109,9.028754,8.350138,9.19939,8.557102,8.891343,9.686609,10.383987,10.787993,10.966713,11.770403,12.10157,13.527572,15.1884165,13.779114,12.229406,11.966954,14.693999,16.75064,15.778518,14.186923,9.793059,9.511088,9.339208,9.346143,10.182337,10.137692,9.0,10.948973,12.074766,15.893093,20.674158,24.344624,29.17777,30.652895,29.379177,29.035288,29.487053,28.73242,27.193705,25.764534,26.081993,23.358423,21.166653,18.775303,18.723461,17.057314,16.434305,17.782686,19.35314,18.844202,18.161278,18.847641,18.193361,17.87718,16.645864,15.827721,16.24394,16.946787,16.299694,16.299694,21.986542,24.442911,26.200977,27.504095,29.157776,29.620802,30.10685,27.77838,25.161398,24.014996,20.211363,21.03152,19.245697,16.954432,16.454008,15.542662,15.844089,16.267857,16.42247,17.388409,16.179987,15.778516,16.704155,16.595179,20.883102,23.770906,25.364037,26.867676,27.661497,27.248455,25.922499,24.387178,25.277025,28.174458,30.945345,32.353966,33.283943,34.145008,33.3559,32.353966,32.11071,31.845251,31.820824,31.820824,32.078403,32.11071,30.248568,29.96662,30.599998,32.151043,33.53415,33.84766,33.014175,31.956972,30.009838,28.001427,26.220753,23.863409,22.180206,20.478907,19.134262,18.0,16.923828,15.484185,14.4,13.339445,12.7279215,12.57426,12.413476,12.522619,12.758432,13.910169,16.203999,18.391735,20.633371,23.266697,24.387177,23.623243,22.065973,19.829433,17.283749,14.917212,13.1041975,12.303366,12.303366,11.966953,11.384199,10.829959,10.308831,9.885262,9.255571,8.654986,8.534353,8.714677,9.178235,9.220499,8.714677,8.942214,9.931042,11.525623,12.599998,12.475961,12.181624,12.245293,11.841756,10.829959
2025-11-09 01:01:11+00:00,2025-11-09 00:00:00+00:00,4.6938252,7.2359104,6.618519,8.891344,8.854829,9.3669195,9.36,9.346143,7.729527,7.7043357,14.145756,16.179985,8.557102,8.714677,23.4,23.803596,27.333935,25.849905,24.72495,29.533169,27.475807,26.576681,25.925,24.95452,22.768396,24.344624,24.798225,24.633049,23.667091,23.132626,23.006226,23.18579,22.73707,22.104116,20.898611,23.377836,23.576563,22.530937,17.935081,23.110207,23.762726,25.277023,19.70815,24.975283,25.809765,24.482647,19.443333,22.915916,22.159746,17.57744,15.509274,16.862455,15.5843,13.556282,13.527572,16.311613,17.447933,16.645864,16.78156,15.1884165,15.379206,15.876775,19.969458,22.057161,24.633049,23.966375,25.41763,26.009844,24.798225,24.079666,25.140787,25.759504,28.185955,31.557032,31.869658,32.353966,32.37799,32.682762,29.568253,28.528723,28.583183,28.019936,29.568253,29.533169,28.348713,27.103003,29.01743,30.871965,32.096577,32.587456,31.278593,29.655787,26.27753,23.535301,20.364674,14.241629,14.168641,14.654254,14.33234,13.570615,13.1041975,12.313893,11.792404,11.440978,10.594036,9.826088,10.041354,10.137692,9.904906,9.346143,9.114471,10.1376915,11.090103,13.138765,14.345898,13.905509,12.245293,10.787993,9.107359,7.5942073,6.638072,6.439876,6.489992,6.638072,6.1305785,5.8048253,5.4833565,5.4833565,5.8048253,5.8048253,5.815978,5.506941,5.7599998,5.937272,6.12,6.12,5.4477882,6.439876,7.8954163,8.404285,7.8954163,7.145796,5.991594,5.1544156,4.73506,4.6800003,4.6938257,4.8965297,5.1919937,5.495161,5.95906,6.379216,6.87779,7.5599995,7.5599995,7.5685663,7.928178,9.0645685,10.931203,12.43434,12.904882,12.979984,12.864649,12.522619,12.0694,11.620809,11.304229,11.5199995
2025-11-10 01:04:16+00:00,2025-11-10 00:00:00+00:00,24.066206,22.288042,22.66857,21.370783,23.469128,20.63023,18.532135,18.532135,20.780453,20.780453,19.959719,21.188072,20.721119,20.008356,18.775301,18.391735,20.991426,21.485697,19.191748,19.242327,22.771244,25.376808,24.122686,20.018072,19.881649,14.799459,10.661107,16.167967,11.885453,15.496736,20.5484,19.09358,18.72346,17.673029,17.106628,16.454008,14.934577,16.766108,23.051247,24.627787,25.045238,25.6233,26.064596,26.729847,26.14403,25.1614,26.89419,30.77737,29.671074,30.248568,32.886345,33.857227,33.108257,33.09651,31.072817,29.03752,29.024128,28.266304,28.28464,28.79325,26.072052,24.696102,25.762016,28.220419,29.620802,29.620802,29.951483,29.795301,27.112564,24.609364,21.647945,16.946787,14.24163,14.145756,13.084402,12.287555,11.570515,10.823973,9.47012,8.669949,7.92,7.6367526,7.771331,7.771331,7.628263,7.289444,7.771331,8.311245,8.64,9.3876505,10.308831,11.367109,10.24578,8.473393,6.87779,6.28713,5.8048253,5.692099,5.815978,5.8048253,6.924738,6.489992,6.489992,6.9527545,6.830519,7.5170207,7.6367526,8.049845,8.350138,8.64,8.287822,13.708391,14.33234,13.891522,13.324863,12.768586,12.229406,11.480557,11.090103,10.787993,11.165805,11.631956,12.55879,12.904882,12.594856,12.10157,11.609651,11.269782,11.113451,10.829958,10.703569,10.931203,10.931203,11.043261,11.631956,11.91812,12.783802,13.830749,14.291592,13.044722,10.990322,9.227524,8.28,9.504273,10.799999,11.525623,11.384198,11.183201,11.090103,11.019764,11.480557,12.218805,13.513193,15.281989,18.11841,21.67786,24.57511,26.121714,26.89419,28.01531,29.644857,31.154043,31.89608,33.87062,37.722775,40.582714,38.457703,35.15488
2025-11-11 00:59:10+00:00,2025-11-11 00:00:00+00:00,16.595179,18.11841,19.083395,17.0763,16.055353,18.289274,19.164719,19.08,18.391735,18.844202,19.523155,18.584509,19.64558,18.448023,18.86139,22.065973,25.364037,26.459387,22.66857,24.408424,24.766848,25.600533,23.263912,19.995398,25.284714,25.567604,27.438046,29.328403,28.528723,28.006056,27.238943,27.492311,27.238943,25.233404,23.950148,23.166216,21.650938,22.159746,24.75638,22.473343,21.9718,20.808498,22.86496,27.757376,25.40743,22.751316,19.852295,13.797913,14.039999,13.905509,12.864649,12.661564,11.901798,11.212135,10.948973,10.661107,10.041354,9.793058,9.107359,9.227524,9.021574,9.387651,9.511088,10.464797,11.165805,12.413476,13.1041975,13.708391,13.276144,10.739833,10.163227,10.1887,9.726664,8.404285,9.422101,8.404285,8.942214,6.9153743,8.435069,7.653705,8.714677,8.78872,7.7879906,5.8048253,8.311245,6.379216,6.763786,8.287822,10.182337,10.009036,10.787993,8.557102,10.163227,9.346143,6.489992,3.319036,1.484318,3.8773184,5.0528407,4.379589,3.9763298,4.3349743,6.162207,5.1544156,4.6938252,5.0528407,5.6920996,4.802999,5.771239,7.342588,8.209263,8.766573,8.707237,9.220499,10.233123,9.793059,8.707237,8.557102,9.449572,10.390226,11.440978,11.874544,12.413476,13.1041975,14.33234,15.807239,17.174677,17.786331,18.218275,18.668005,18.947083,19.513195,20.523157,22.218153,24.195107,26.230639,28.348713,30.599998,31.557032,30.85307,29.257614,26.574244,22.828087,18.35647,15.021105,14.264361,15.021105,15.530151,16.323528,16.92383,17.208603,16.08761,14.512064,13.324863,12.88981,12.979984,12.783802,12.594856,12.413477,12.413477,13.584932,15.277749,16.075521,15.0038395,13.049689,11.874544,11.525623,12.074766
2025-11-12 01:00:35+00:00,2025-11-12 00:00:00+00:00,17.551615,24.57511,27.381308,27.026386,29.301876,30.30208,29.546328,28.28464,28.019936,27.511158,25.72174,24.195107,21.650938,23.424908,26.649727,26.260265,25.630886,26.758923,26.82906,27.238941,25.959969,23.770906,17.28,13.441071,13.202726,12.144331,11.090103,10.931203,10.829958,10.805998,10.685391,11.090103,11.183201,11.269782,10.464797,10.233123,10.703569,10.195057,10.495713,10.137692,10.829959,12.181625,14.345898,12.783802,11.177405,8.647496,8.049845,6.6185193,6.4096174,7.145796,7.10031,7.42159,8.089993,8.854829,9.504273,9.360001,8.825508,9.255571,9.114471,9.531505,8.4042845,8.707238,8.825508,10.041354,12.783802,14.693999,13.551501,14.982228,16.489416,15.9134655,13.551501,13.684735,14.081477,13.281023,11.435313,10.514218,9.673221,10.44,10.464797,10.296251,10.383987,11.183201,14.565548,15.281989,16.08761,16.92383,18.440998,19.95972,20.150354,21.94524,23.233252,22.657131,23.277834,23.86341,23.950148,22.682856,22.828087,23.199759,25.96995,27.267473,27.722336,27.871534,27.579382,27.579382,26.260265,25.376808,23.584808,22.288042,20.87379,20.073025,20.188908,23.933908,24.130743,22.682856,20.5484,17.935081,14.799459,12.7279215,11.885453,11.019764,9.931042,8.287822,6.830519,6.12,5.4477882,5.1544156,4.5536795,4.8965297,5.904439,6.9247384,7.24486,6.9247384,6.6185193,6.87779,7.9932976,9.0,9.0,8.12197,7.5685663,8.12197,9.511088,10.296251,9.19939,7.5170207,6.489992,6.9899354,7.771331,6.792466,7.9526596,15.986593,22.406927,24.195107,23.233252,19.586119,12.245293,5.692099,10.446206,14.764389,17.81909,20.192118,21.129885,20.957443,20.532627,20.570463,20.316889,18.998314,16.039202,11.928989
2025-11-13 01:15:51+00:00,2025-11-13 00:00:00+00:00,11.542478,12.849528,14.145756,13.237039,13.237039,14.458382,13.1041975,11.966953,10.495713,10.1376915,9.605998,10.163227,9.983106,8.854829,11.525623,10.483357,11.659777,12.9249525,14.512064,14.986553,15.2947035,13.779114,9.0,9.6932955,9.793058,9.346143,7.172949,9.686609,9.220499,8.891343,9.511088,9.793059,9.085988,9.504273,9.422101,10.08,10.661107,10.137692,4.896529,8.825508,11.720751,15.256526,16.434305,11.885453,14.021525,12.768586,9.793059,11.681987,11.609651,10.883676,12.55879,13.089354,14.081477,15.349684,15.281989,14.05845,15.379206,17.373497,19.083395,19.228851,19.878391,22.104116,23.1774,25.455843,28.515089,28.766228,29.301876,29.28418,29.024128,29.52878,29.09103,31.037344,29.533169,27.841293,28.90107,30.7542,30.312769,31.104082,31.262014,30.500309,29.47826,28.33957,27.009598,25.729298,22.862125,21.068459,20.018072,19.734436,18.864824,19.346441,19.914215,20.08916,19.469976,17.208603,11.808878,10.383987,10.144082,9.693296,9.449572,9.107359,8.209263,7.69592,7.42159,7.072878,6.2145634,5.3999996,4.73506,1.484318,3.8939953,2.16,1.609969,3.396233,4.379589,2.9024127,2.16,1.2979984,2.9024127,4.5820518,3.8268526,2.3051248,3.0758414,9.565437,18.455048,23.598541,21.461555,15.463246,10.685391,9.178235,9.360001,10.041354,9.346143,8.854829,8.78872,10.009036,11.304229,12.313894,12.261157,11.720751,11.200571,11.457958,11.720751,11.988594,11.753876,10.739832,10.233123,9.686609,8.913181,8.404285,7.8954163,7.127636,6.8777895,7.42159,8.209263,9.0,9.0,8.942214,8.404285,7.928177,7.5942082,6.9247384,5.904439,5.00128,5.0911684,5.771239,6.924738,7.6367526,8.28,8.825508
2025-11-14 01:00:55+00:00,2025-11-14 00:00:00+00:00,5.1919937,4.3498964,3.8939953,6.519877,6.4799995,10.703569,10.636766,10.483357,10.829959,10.829959,11.440978,11.792404,11.966953,11.5199995,12.959999,15.188415,16.676977,17.25373,17.373497,19.107151,19.373219,18.35647,13.830749,15.696165,12.819235,14.003028,17.57744,19.734436,19.862083,21.129883,19.85556,19.083395,18.171976,18.278645,20.304129,19.969458,20.3774,23.773632,24.696102,28.348713,31.712708,33.636406,33.60557,31.060303,31.319998,31.319998,32.619255,30.10685,29.882166,29.354904,30.871965,31.235058,31.072817,29.337238,28.220419,27.691935,27.475807,24.923338,22.007162,20.497883,16.418526,13.896187,17.727943,18.359999,18.472595,18.626305,19.602652,19.228851,19.969458,19.376562,15.876775,11.269782,10.636766,10.931203,10.483357,9.885262,9.605998,9.605998,8.905908,8.759178,7.9526596,8.28,7.92,9.0,8.12197,5.7599998,6.2145634,6.9527545,7.2805495,8.311245,9.779817,10.086427,8.759178,5.7599998,6.297428,5.1919937,6.9247384,8.287822,8.714677,7.4128532,8.891343,11.966954,12.599999,10.8955765,17.713316,17.174677,17.57744,15.941944,13.039754,11.792404,10.787993,11.298495,11.183201,11.246759,11.709688,11.720751,11.720751,11.480557,11.525623,11.592894,11.304229,10.691453,10.1887,10.163227,10.028439,9.360001,9.178235,9.339208,10.00256,10.1887,10.00256,9.659814,9.83268,10.703569,11.726277,12.313893,11.874544,10.661107,9.605998,8.766573,7.9036193,8.209263,9.449572,11.525623,12.387348,11.753877,11.090103,11.165805,12.6462,14.205182,15.226764,14.830076,14.84318,15.379206,14.658676,14.561099,14.830076,14.973576,14.408997,13.237039,12.88981,17.015474,21.67487,21.611998,20.008356,19.829433,22.007162,24.923338
