forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:18:45+00:00,2025-11-05 00:00:00+00:00,1022.63837,1023.13336,1023.92975,1023.92755,1023.0262,1022.62555,1022.6233,1022.72125,1022.32,1021.71906,1021.9173,1022.11646,1022.4152,1023.01587,1023.4284,1023.84375,1023.4502,1022.5554,1021.75714,1020.9595,1020.5615,1020.56177,1020.1605,1020.05457,1020.0475,1020.1436,1020.53973,1020.5375,1020.83496,1020.6345,1020.4328,1020.43146,1020.1305,1019.4296,1019.1295,1019.5282,1019.9282,1020.4309,1020.6373,1020.44305,1020.24963,1019.7574,1018.6623,1016.37555,1015.4764,1015.1747,1015.17053,1015.25867,1015.35126,1015.54724,1015.6478,1015.6481,1015.3484,1014.74896,1014.05023,1013.551,1012.95197,1012.45245,1012.2526,1012.1527,1012.0528,1012.35443,1012.3627,1012.2672,1011.8748,1011.178,1010.0803,1008.7809,1007.98224,1007.68115,1007.57947,1007.7751,1008.0682,1008.36505,1008.96295,1009.06165,1009.35974,1009.2582,1009.35724,1009.4565,1009.2564,1009.0556,1009.25507,1009.55444,1010.05334,1010.65436,1010.9614,1011.06793,1010.9744,1010.381,1009.18616,1008.1896,1007.69135,1007.6906,1008.0862,1008.57623,1009.2696,1009.9649,1010.4606,1010.85864,1011.3579,1011.6567,1012.0556,1012.6548,1012.9539,1012.95294,1013.1508,1013.74896,1014.4471,1015.54663,1016.75,1017.6523,1017.85535,1017.7577,1017.6593,1017.6593,1017.6577,1018.1541,1019.24805,1020.8397,1022.23206,1023.32526,1024.2191,1025.0137,1025.6085,1026.1035,1026.4996,1026.8967,1027.1943,1027.4926,1027.89,1028.3872,1028.8865,1029.4884,1030.1924,1030.3978,1030.0043,1029.2124,1028.4187,1027.5232,1026.6263,1026.0269,1026.1222,1026.515,1027.0084,1027.5045,1028.1012,1028.3988,1028.3962,1028.0942,1027.7927,1027.5912,1027.2898,1027.0887,1026.9869,1026.8855,1026.9867,1027.3927,1028.0011,1028.1097,1027.5183,1026.527,1025.5337,1024.5386,1023.4412,1022.6409,1022.3355,1022.32684
2025-11-06 01:03:22+00:00,2025-11-06 00:00:00+00:00,1019.35425,1019.6488,1020.34564,1020.2432,1019.8422,1019.14166,1019.1407,1018.639,1018.637,1018.4341,1018.83234,1019.32837,1019.9263,1020.2279,1019.93134,1019.7449,1019.6549,1019.2608,1017.8665,1016.66943,1015.97144,1015.8719,1015.57043,1015.86414,1016.15753,1016.0535,1016.05066,1015.24945,1015.0484,1014.7474,1014.14636,1013.8447,1013.24506,1012.64557,1012.44604,1012.447,1012.7483,1012.74927,1012.8581,1012.8628,1012.96875,1012.1755,1010.877,1008.5906,1007.6916,1007.3897,1007.3837,1007.77484,1008.3673,1008.56305,1009.06006,1009.458,1009.55707,1009.45685,1009.2564,1009.15607,1009.0556,1008.85504,1008.9544,1009.354,1009.75366,1010.355,1010.86273,1010.9706,1010.77716,1010.38257,1009.4865,1008.4888,1008.18823,1008.1855,1008.48083,1008.8725,1009.3658,1009.7626,1010.45996,1010.95795,1011.4562,1011.6557,1011.8555,1012.35504,1012.45465,1012.3547,1012.455,1012.95355,1013.75024,1015.0477,1016.24695,1017.3481,1018.05133,1018.255,1018.2562,1017.9569,1018.1557,1018.5528,1019.546,1020.83813,1022.4321,1023.6272,1025.0217,1025.916,1026.5118,1026.9086,1027.605,1028.401,1028.7979,1028.995,1029.5914,1029.889,1030.7858,1031.285,1031.79,1031.9949,1031.7017,1031.2083,1030.5135,1029.7178,1028.8209,1028.3212,1028.4165,1028.9092,1029.4027,1029.8987,1030.3953,1030.6925,1030.6897,1030.5873,1030.3849,1030.2834,1030.0819,1030.0809,1030.1792,1030.3778,1030.5792,1030.8856,1031.1945,1031.2035,1030.7119,1029.9203,1029.0269,1028.1316,1027.0347,1026.3346,1026.029,1025.9209,1025.9135,1026.1093,1026.4065,1026.5048,1026.3044,1025.9054,1025.5065,1025.2067,1024.9071,1024.8075,1024.8073,1024.9071,1025.1094,1025.4171,1025.7274,1025.7361,1025.2423,1024.5469,1023.6506,1022.65344,1021.55475,1020.7549,1020.6524,1020.8487
2025-11-07 01:01:07+00:00,2025-11-07 00:00:00+00:00,1016.25616,1015.9533,1015.3516,1014.75055,1013.9501,1012.9491,1013.24725,1012.9513,1013.4496,1012.84796,1012.74963,1011.852,1011.5507,1011.8536,1011.7601,1011.5612,1011.66736,1011.47363,1010.3816,1009.68317,1009.08435,1008.6837,1008.2819,1008.57623,1009.06885,1009.26495,1009.5608,1009.458,1009.7559,1009.75464,1009.75555,1009.754,1009.75305,1009.7517,1009.65094,1010.04926,1010.54785,1011.0477,1011.65533,1012.0651,1012.07245,1011.47614,1010.4802,1008.2886,1007.98785,1007.98535,1008.181,1008.57336,1009.06726,1009.6632,1010.0609,1010.55927,1010.9576,1011.1564,1011.3556,1011.75525,1011.95483,1012.15485,1012.15485,1012.5551,1013.35315,1014.0521,1015.0528,1015.75287,1016.455,1017.156,1017.35864,1017.55566,1017.6491,1018.24036,1019.13617,1020.13245,1021.72925,1022.52826,1023.5257,1024.5195,1025.2153,1025.7122,1026.0094,1026.6069,1027.004,1027.4011,1028.097,1028.1941,1029.0903,1030.1876,1030.8906,1030.995,1030.701,1030.007,1029.1125,1027.9166,1027.4187,1027.1188,1027.1162,1027.8081,1028.6014,1029.1974,1029.4941,1029.6907,1029.5883,1029.5863,1029.4845,1029.4829,1029.0819,1028.6816,1028.481,1028.7794,1029.0781,1029.1799,1029.3917,1029.2031,1028.613,1027.8217,1026.9279,1025.9331,1024.9366,1024.2365,1024.031,1024.2217,1024.4143,1024.5103,1024.7074,1024.7058,1024.4056,1024.0062,1023.70685,1023.50745,1023.3079,1023.2087,1023.3083,1023.50745,1023.7098,1024.0168,1024.3268,1024.4362,1024.0438,1023.3506,1022.656,1021.8599,1020.9624,1020.4616,1020.4558,1020.64667,1020.939,1021.2346,1021.53174,1021.8295,1021.92786,1021.92725,1021.9265,1021.72644,1021.5267,1021.42676,1021.5257,1021.82404,1022.1253,1022.73065,1023.33813,1023.64545,1023.3519,1022.65857,1021.9631,1021.16565,1020.3664,1019.76544,1019.6606,1019.75366
2025-11-08 00:55:29+00:00,2025-11-08 00:00:00+00:00,1008.1737,1009.0696,1009.46533,1009.0628,1009.26013,1008.75867,1009.45685,1009.0562,1008.95886,1008.76,1008.8605,1009.6597,1010.1596,1010.6597,1010.86597,1011.2703,1011.37427,1011.2795,1010.6819,1010.0853,1009.3866,1009.18677,1008.88544,1009.27875,1010.072,1010.6683,1011.4676,1012.0629,1012.6595,1012.75745,1012.7582,1012.85675,1013.1584,1013.65576,1014.74835,1016.1388,1017.73285,1018.92914,1020.1305,1020.53467,1020.73883,1020.24445,1019.74756,1017.9575,1018.1557,1018.4531,1019.24927,1020.14105,1021.5349,1022.63007,1023.924,1025.0194,1025.7152,1026.0114,1026.3083,1026.8059,1027.3031,1027.4001,1027.9976,1028.7946,1029.6909,1030.489,1031.2928,1031.1976,1031.1036,1030.5094,1029.5148,1028.4185,1028.0205,1027.8203,1027.6176,1028.3102,1028.704,1029.1,1029.4961,1029.5928,1029.3888,1029.0858,1028.984,1029.0819,1028.7806,1028.8795,1028.5792,1028.7788,1028.8783,1029.0817,1029.0941,1028.8055,1028.1155,1027.3237,1026.1302,1024.6355,1023.7385,1022.9397,1022.63776,1022.6258,1022.61694,1022.9134,1023.2108,1023.11035,1022.71075,1022.2115,1021.91254,1021.8135,1021.6144,1021.41583,1021.3172,1021.3182,1021.6226,1021.92883,1022.33295,1022.4386,1022.2429,1021.7475,1021.2509,1020.55347,1019.8551,1019.3556,1019.25336,1019.44965,1019.64667,1019.84515,1020.1445,1020.34406,1020.34344,1020.2432,1020.1429,1019.9431,1019.74304,1019.6431,1019.74304,1020.0424,1020.3427,1020.9438,1021.646,1021.9483,1021.6515,1021.05524,1020.45874,1019.86273,1019.2661,1018.9671,1018.96265,1019.2553,1019.54956,1019.94763,1020.54706,1020.8461,1020.84357,1020.7408,1020.53815,1020.43695,1020.3364,1020.3357,1020.4344,1020.5333,1020.73413,1021.2372,1021.74146,1021.94635,1021.5516,1020.85736,1020.0622,1019.2665,1018.4698,1017.8703,1017.7653,1017.95715
2025-11-09 01:01:27+00:00,2025-11-09 00:00:00+00:00,1009.77325,1010.1691,1010.7657,1011.4625,1011.36066,1011.7584,1012.35626,1012.1552,1012.05475,1011.95605,1012.25793,1012.6573,1013.6576,1015.2549,1016.94727,1018.34106,1019.0443,1018.94604,1019.2457,1019.2461,1019.345,1019.9415,1020.2371,1021.2307,1022.72394,1024.317,1025.6107,1025.908,1026.605,1027.0027,1027.499,1028.1947,1028.8906,1029.187,1029.5837,1030.4808,1031.278,1031.877,1032.5798,1032.883,1033.0876,1032.3933,1031.3981,1028.1165,1027.8177,1027.8168,1028.1139,1028.7065,1029.499,1030.2948,1030.6909,1030.9879,1031.0839,1030.9807,1030.8783,1030.7769,1030.3755,1030.1744,1030.1741,1030.1738,1030.3739,1030.5773,1030.7897,1030.4014,1029.711,1028.8197,1027.4268,1026.0322,1025.0358,1024.137,1023.93524,1023.9234,1024.3137,1024.3096,1024.3083,1024.1078,1023.6083,1023.30927,1023.1106,1022.9122,1022.61365,1022.5151,1022.2237,1022.4268,1022.72833,1023.03033,1023.1337,1023.239,1023.1452,1022.6496,1021.7518,1020.9551,1020.4568,1020.1538,1020.052,1020.14777,1020.4459,1020.84454,1021.0434,1021.24286,1021.2426,1020.94257,1020.94257,1020.8423,1020.74274,1020.44305,1020.6428,1020.6428,1021.0428,1021.5426,1022.04443,1022.3473,1022.25,1021.95245,1021.45526,1020.7578,1019.9604,1019.4612,1019.3591,1019.55536,1019.7517,1019.8477,1019.9431,1020.0395,1020.03766,1019.93646,1019.8353,1019.63477,1019.43475,1019.23456,1019.23334,1019.232,1019.43317,1019.8381,1020.4459,1020.6528,1020.25854,1019.5643,1018.7679,1017.8697,1016.9699,1016.36816,1016.3634,1016.85657,1017.1508,1017.34625,1017.4423,1017.4394,1017.23804,1016.9374,1016.63696,1016.3363,1016.03564,1015.8356,1015.73627,1015.6373,1015.63983,1015.84344,1016.14856,1016.1537,1015.6586,1014.96344,1014.167,1013.36896,1012.47015,1011.8701,1011.66833,1011.7654
2025-11-10 01:04:39+00:00,2025-11-10 00:00:00+00:00,1021.5349,1023.42804,1024.8217,1025.5173,1025.8142,1025.212,1026.5087,1027.4049,1028.4004,1028.5973,1028.994,1029.2909,1029.6881,1030.7864,1031.3892,1031.6923,1031.5966,1031.2015,1031.002,1030.7048,1030.7062,1030.8055,1030.6028,1031.2976,1031.8915,1032.2878,1033.0841,1032.7819,1032.78,1032.5784,1032.1763,1032.2728,1032.3704,1032.5681,1032.6667,1033.1649,1033.5635,1033.864,1034.0782,1033.5907,1033.1992,1032.5055,1031.6124,1026.5282,1025.3318,1024.5331,1024.1315,1023.9205,1024.1135,1024.509,1024.5074,1024.1074,1023.7078,1023.30865,1022.9102,1022.8119,1022.51373,1022.2154,1022.11646,1022.4184,1022.722,1022.9256,1023.429,1023.534,1023.4389,1022.94385,1022.34827,1021.2513,1020.6514,1020.3514,1020.24927,1020.2458,1020.6438,1020.94257,1021.1417,1021.04114,1020.8413,1020.54156,1020.54156,1020.4417,1020.24225,1020.3421,1020.3421,1020.44244,1020.6422,1021.14197,1021.7428,1022.046,1022.048,1021.45135,1020.5541,1019.65625,1019.05707,1018.55756,1018.3558,1018.5524,1019.0508,1019.14966,1019.1483,1019.0475,1019.04724,1018.84644,1018.546,1018.54517,1018.24445,1017.94244,1017.8384,1018.03625,1018.23584,1018.637,1019.04626,1019.155,1018.66034,1017.86145,1016.9623,1016.0659,1015.0697,1014.3709,1014.26794,1014.5622,1014.7566,1014.95135,1015.146,1015.1423,1014.7407,1014.2406,1013.64197,1013.14514,1012.74927,1012.35254,1012.0528,1011.9516,1011.85144,1011.9522,1012.1539,1012.0563,1011.56024,1010.76514,1009.969,1009.17065,1008.2711,1007.5709,1007.17,1006.96826,1006.7673,1006.6679,1006.5692,1006.47003,1006.16956,1005.869,1005.4687,1005.07,1004.6717,1004.57104,1004.9657,1005.55817,1006.2525,1007.05054,1007.85034,1008.4518,1008.55475,1008.35974,1008.0632,1007.7654,1007.36597,1007.16455,1007.3597,1007.6521
2025-11-11 00:59:26+00:00,2025-11-11 00:00:00+00:00,1030.4008,1030.1964,1031.7914,1031.9882,1032.1849,1031.0835,1031.4808,1031.6787,1030.9774,1030.2764,1030.575,1030.6746,1030.6733,1031.3733,1031.487,1031.6978,1031.2079,1030.3154,1029.3209,1028.5261,1027.6292,1027.0308,1026.031,1025.7236,1026.3157,1026.2106,1026.207,1025.604,1025.2024,1024.6028,1024.3029,1023.9032,1023.7033,1023.70233,1023.90125,1024.2021,1024.7023,1025.1045,1025.4194,1025.2307,1025.144,1024.6516,1023.9561,1021.85956,1021.1602,1021.0587,1020.85516,1020.9445,1021.339,1021.63617,1021.7344,1021.6329,1021.532,1021.63104,1021.6297,1021.62836,1021.62775,1021.3278,1021.2272,1021.42676,1021.9263,1022.5279,1022.7377,1022.9474,1022.9541,1022.35986,1021.36456,1020.0673,1019.4679,1019.26746,1019.165,1019.2563,1019.7517,1020.14777,1020.24005,1020.3367,1020.33545,1020.13464,1020.13367,1020.0332,1020.03284,1019.533,1019.63196,1019.73114,1019.9307,1020.3319,1020.74054,1020.94867,1020.9547,1020.25946,1019.163,1018.066,1017.1678,1016.7676,1016.4655,1016.75446,1017.54474,1017.74146,1018.1397,1018.13776,1017.8365,1017.43567,1017.23486,1017.13434,1017.0344,1016.8339,1016.8337,1016.8333,1016.8327,1017.2333,1017.7424,1017.85114,1017.35803,1016.5635,1015.7681,1015.0713,1014.3732,1013.9723,1013.86694,1013.9587,1014.1518,1014.3481,1014.54565,1014.54407,1014.34265,1013.9418,1013.5425,1013.2453,1012.9497,1012.7524,1012.8513,1013.04895,1013.24817,1013.6506,1014.05505,1014.1588,1013.76196,1013.1648,1012.4673,1011.6697,1010.77136,1010.2716,1010.26904,1010.5647,1010.86115,1010.8599,1010.85956,1010.7591,1010.6572,1010.45496,1010.2538,1009.9548,1009.4572,1009.1586,1008.95825,1008.7571,1008.7578,1009.0613,1009.56683,1009.67236,1009.07806,1008.1836,1007.3872,1006.6884,1006.08765,1005.7854,1006.08105,1006.8757
2025-11-12 01:00:54+00:00,2025-11-12 00:00:00+00:00,1025.2146,1025.7096,1025.8063,1024.9052,1024.2034,1023.30414,1022.8042,1022.8032,1023.1023,1022.80164,1023.1019,1023.30634,1023.908,1024.4104,1025.0214,1025.2339,1024.945,1024.1533,1023.1568,1022.7604,1022.2586,1021.95953,1021.5577,1021.6531,1022.0482,1022.2407,1022.83527,1023.03156,1023.32874,1023.22656,1022.825,1022.8234,1022.7216,1022.7204,1022.71906,1022.818,1023.2173,1023.4178,1024.0284,1024.3441,1024.4537,1023.7578,1022.5603,1021.26624,1020.3674,1019.96643,1019.66486,1019.85376,1020.44464,1021.0399,1021.3367,1021.3345,1021.3331,1021.0322,1021.13116,1021.23047,1020.93005,1020.82983,1020.72925,1020.82886,1021.22815,1021.72925,1022.1385,1022.34766,1022.25446,1021.55963,1020.3645,1019.16785,1018.46954,1018.0695,1017.8674,1017.95557,1018.5458,1018.94055,1019.03766,1019.2359,1019.0347,1018.8339,1018.63385,1018.4334,1018.233,1017.93286,1017.6329,1017.6329,1017.83234,1018.3332,1018.44336,1018.3526,1018.0596,1017.2654,1015.97046,1014.6745,1013.9762,1013.57556,1013.47144,1013.5619,1013.8539,1014.0496,1014.04706,1013.945,1013.4439,1013.44257,1013.34204,1013.2418,1013.04175,1012.54224,1012.34204,1012.54126,1012.9409,1013.1432,1013.4543,1013.46515,1013.07153,1012.3759,1011.57916,1010.6819,1009.88336,1009.282,1009.276,1009.6673,1010.05975,1010.4555,1010.75305,1011.0512,1011.1498,1011.0496,1011.04895,1011.0487,1010.9478,1010.94745,1011.0464,1011.1453,1011.4464,1011.95197,1012.5593,1012.86664,1012.4731,1011.779,1011.0831,1010.4841,1009.8836,1009.58136,1009.8779,1010.47296,1011.1682,1011.8637,1012.6595,1013.1562,1013.2542,1013.05347,1012.95294,1013.15234,1013.4518,1013.8514,1014.15045,1014.5495,1014.9504,1015.4547,1016.0608,1016.36694,1016.17316,1015.5798,1015.08374,1014.58344,1014.08075,1013.87683,1014.1724,1014.867
2025-11-13 01:16:08+00:00,2025-11-13 00:00:00+00:00,1021.44855,1021.7434,1022.4396,1021.83716,1022.23364,1021.8311,1022.3294,1022.4286,1022.82697,1022.2266,1022.32587,1022.924,1023.12256,1023.8216,1023.9323,1024.0474,1023.8562,1023.45886,1022.66174,1022.16284,1021.8625,1021.86115,1021.4607,1021.55536,1021.8478,1022.2429,1022.83856,1022.9359,1023.13275,1022.9301,1022.6287,1022.6268,1022.4255,1022.52374,1022.6227,1023.12085,1023.61975,1023.719,1024.1287,1023.9427,1023.85205,1023.2576,1022.26056,1019.668,1018.86975,1018.6693,1018.3676,1018.55695,1019.35205,1019.25024,1019.24194,1019.5384,1019.13715,1018.83624,1018.6357,1018.53485,1018.4347,1018.13434,1018.03375,1018.0335,1018.3328,1018.8339,1019.0437,1018.8531,1018.4606,1017.66595,1016.47064,1015.1741,1014.3758,1013.97485,1013.77094,1013.86127,1014.1534,1014.3497,1014.5472,1014.44476,1014.2434,1013.9425,1013.8418,1013.7417,1013.34143,1012.94147,1012.5415,1012.5415,1012.7411,1013.3423,1013.7528,1014.0621,1013.7696,1012.8752,1011.5799,1010.28326,1009.68475,1009.3831,1009.4786,1009.969,1010.56177,1010.95734,1011.45337,1011.6509,1011.7498,1011.6493,1011.6487,1011.5488,1011.44855,1011.24854,1011.24854,1011.2488,1011.5488,1012.24915,1012.8577,1013.1673,1013.17456,1012.57996,1011.48413,1010.88654,1010.3876,1010.1856,1010.48,1010.9712,1011.5638,1012.0591,1012.55585,1012.9532,1013.2517,1013.4508,1013.55066,1013.6506,1013.6513,1013.8514,1014.15106,1014.6503,1015.05194,1015.5562,1016.0624,1016.3688,1016.175,1015.7812,1015.385,1014.98505,1014.5825,1014.4798,1014.777,1015.274,1015.87054,1016.46747,1016.9641,1017.4611,1017.7583,1017.95593,1018.1541,1018.35297,1018.45294,1018.65265,1018.75165,1018.85095,1019.0516,1019.555,1020.1605,1020.466,1020.27203,1019.7782,1019.18256,1018.5831,1017.88214,1017.5798,1017.7759,1018.27094
2025-11-14 01:01:15+00:00,2025-11-14 00:00:00+00:00,1021.4527,1020.7475,1021.2432,1021.3408,1021.03796,1020.7357,1020.93335,1020.73193,1020.82983,1020.6285,1020.82697,1021.3249,1021.8228,1022.6221,1022.63226,1022.84467,1022.6553,1021.76166,1021.46326,1020.96497,1020.26556,1020.1644,1019.9639,1020.1566,1020.0504,1020.0488,1020.5439,1020.44086,1020.5375,1020.0351,1019.33325,1019.1315,1018.9301,1018.72833,1018.4267,1018.62427,1019.0222,1019.3223,1019.23004,1019.04175,1018.55756,1017.8648,1016.9699,1014.9733,1014.0751,1013.5742,1013.3703,1013.5606,1013.85364,1014.0496,1014.2469,1014.1444,1013.8441,1013.4439,1013.24335,1013.1428,1012.74286,1012.24274,1011.94244,1011.9421,1012.2421,1012.7442,1013.05286,1013.2615,1013.1679,1012.37085,1011.177,1009.9816,1009.3834,1009.18134,1009.27814,1009.76794,1010.361,1010.9566,1011.1536,1011.35187,1011.3506,1011.4493,1011.44855,1011.5482,1011.348,1011.24817,1011.24854,1011.3484,1011.6481,1012.349,1012.95667,1013.36523,1013.47217,1012.77783,1011.68256,1010.68536,1010.28577,1010.28424,1010.28015,1010.67084,1011.2637,1012.15894,1012.65533,1012.8523,1013.05115,1013.0509,1013.151,1013.2517,1013.2523,1013.2529,1013.45276,1013.65283,1013.953,1014.5536,1015.16064,1015.46875,1015.17566,1014.5803,1013.9844,1013.3839,1012.78076,1012.5771,1012.87366,1013.4696,1014.06616,1014.4629,1014.86035,1015.1581,1015.2571,1015.35675,1015.3564,1015.25586,1015.2555,1015.15497,1015.1536,1015.2524,1015.3525,1015.7557,1016.1607,1016.36597,1016.07196,1015.47833,1014.88257,1014.2851,1013.5857,1013.18445,1013.2799,1013.573,1013.8673,1014.16315,1014.36017,1014.4588,1014.2596,1013.8619,1013.4638,1013.0651,1012.66644,1012.46704,1012.46704,1012.56635,1012.66583,1012.96625,1013.2669,1013.36835,1013.0725,1012.57745,1011.9805,1011.3797,1010.6768,1010.1738,1009.9709,1009.86786
