forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:19:57+00:00,2025-11-05 00:00:00+00:00,267.20737,263.51703,273.75165,273.23962,268.6981,271.24533,268.6361,268.49258,266.72958,266.3087,258.6901,248.96242,239.42085,224.9999,229.39879,224.9999,222.08908,211.86594,202.4428,196.33612,189.61966,185.35573,191.15462,198.65799,203.89517,207.72816,207.45091,208.1785,216.38445,229.50499,252.23505,265.63852,271.00507,269.47916,277.56134,282.69266,287.29254,286.8585,288.62167,293.3556,291.80148,290.55612,292.30624,300.71884,303.2749,309.34048,313.39404,307.18478,305.4458,311.92245,318.53238,311.2846,306.25394,305.9422,302.57404,293.80594,288.43503,293.6294,284.5345,272.29056,254.74483,221.42357,215.90982,221.63345,211.37296,211.29298,209.0545,205.42683,204.37645,200.64706,199.14822,200.22495,199.74693,201.92964,204.16663,204.49857,206.56499,205.64096,205.64096,207.824,209.39595,210.20316,210.69965,210.1413,214.69522,211.47679,211.67543,213.42484,222.70937,234.21094,250.76923,251.56496,272.9356,320.90613,291.80148,279.09018,272.29056,272.29056,275.19434,266.6336,233.97253,224.9999,199.9832,201.03758,183.57626,171.46931,186.00891,164.05453,162.25523,173.29025,175.71092,178.727,188.47105,182.4895,171.86998,167.98854,163.17851,160.76924,161.56496,163.81073,167.56046,175.38943,188.91484,207.12122,223.26433,236.0035,245.22488,251.56496,255.96373,259.93936,262.98358,264.95764,265.91446,265.10098,263.29025,260.67648,257.38068,253.0724,251.81085,253.73972,257.06195,262.50424,270.75385,279.8335,285.84314,284.58896,280.23474,275.5529,273.8654,272.97366,271.46878,269.24615,266.82022,265.03033,265.03033,265.10098,265.10098,263.38663,261.51114,257.84506,252.64589,247.249,244.17906,244.5367,246.3706,249.73422,255.74994,264.2895
2025-11-06 01:04:40+00:00,2025-11-06 00:00:00+00:00,202.28563,204.44394,210.5475,210.31113,223.95847,244.86708,259.9921,258.17853,273.15063,285.66217,289.13373,294.44394,291.6747,285.84314,283.32455,282.77124,288.2086,290.47235,293.4047,295.88696,287.71588,291.2093,301.46408,298.88647,296.13095,302.47116,296.56497,289.5732,280.53912,273.01273,271.73566,273.27042,277.90707,281.59213,273.6913,259.8754,254.3577,247.1663,219.09384,200.32323,198.79999,203.19861,203.19861,205.06743,201.80147,201.20929,199.60417,199.9832,203.47101,201.67471,207.18103,208.11311,214.65138,214.69522,214.09503,214.54843,220.33307,225.69019,235.9806,230.7106,235.88548,237.26477,228.99101,262.8751,263.41815,244.7989,224.9999,247.1663,231.009,223.1524,223.02507,224.9999,226.97493,223.02507,204.44394,208.30066,199.65392,198.43504,187.12492,176.98727,163.30067,162.3498,164.05453,159.14546,152.35411,149.03632,157.249,160.1447,158.45895,151.85849,145.37578,142.02834,149.03632,147.99466,150.06857,174.80566,213.6901,213.31064,194.03627,194.03627,203.49858,184.57384,192.5288,90.0,187.43132,138.81418,150.2552,270.0,253.73972,302.09256,320.57224,296.56497,253.0724,239.42085,221.98714,226.63654,234.92616,241.76265,250.9422,264.61078,275.7105,276.07236,271.3019,268.66782,272.6025,278.47107,282.17145,284.74362,287.1028,285.73206,280.4374,273.6214,267.20737,262.45065,257.7639,255.32356,256.42953,259.91946,261.95718,261.15826,258.94363,258.6901,261.5967,265.64902,268.15244,267.3975,264.2895,260.78903,258.23172,256.5348,253.0724,248.19853,241.1893,236.07016,234.03938,232.54935,230.57222,224.9999,220.5153,219.3405,221.98714,226.49428,231.56267,237.13132,243.43501,249.8141,255.01831,259.28693
2025-11-07 01:02:24+00:00,2025-11-07 00:00:00+00:00,292.83368,285.94547,277.5237,284.99512,285.3502,284.32275,277.30566,270.0,268.09088,268.15244,266.42374,270.0,275.7105,265.42615,252.25523,222.5104,212.47118,205.97433,202.38017,195.25517,187.85323,180.0,183.06642,179.029,180.0,181.63654,183.31772,180.0,184.08554,191.9293,191.45872,190.42065,198.62796,212.00534,215.9422,196.69933,215.90982,226.63654,230.7928,229.26797,233.88057,251.56496,275.85593,239.0363,240.42226,239.30035,263.4803,316.46872,321.009,330.25522,330.75128,332.52567,332.5925,325.84024,338.9624,341.56494,360.0,25.016869,33.6901,75.068535,90.0,102.5288,106.26028,122.73522,129.2894,132.3574,129.47243,123.310646,117.89718,118.39293,126.32692,120.256355,119.05451,132.87889,154.72232,188.13002,207.64589,197.52567,171.86998,173.15732,186.3401,160.90642,149.03632,184.20528,194.98167,212.90524,315.60303,311.37842,326.3099,8.746089,245.09526,264.50778,274.96964,281.0937,286.38962,297.47433,303.6901,299.85892,303.94363,296.56497,303.6901,306.25394,301.90805,292.3287,289.2496,288.6768,286.5349,284.44406,287.68448,280.6196,279.60513,278.48886,275.8773,273.27042,273.41653,269.13196,264.64426,261.87,263.75818,267.3975,269.11862,266.0549,258.4654,249.59003,243.97047,239.589,235.49142,226.97493,218.25447,213.02388,211.21834,211.78722,213.6901,218.45374,224.0609,229.68597,232.35231,233.6427,235.06062,237.06131,238.5359,240.25522,240.04648,239.03632,241.76265,253.30067,267.54602,273.814,270.80692,261.74066,256.2005,263.11838,274.5377,280.9806,281.46948,279.59305,277.90707,277.1249,277.2242,278.13,280.52072,282.875,285.18588,285.94547,286.16458,286.16458,285.18588,284.03625
2025-11-08 00:56:44+00:00,2025-11-08 00:00:00+00:00,174.3825,178.12216,181.73567,184.2678,184.20528,188.00464,195.81926,202.69383,198.75874,204.94388,211.42952,188.13002,200.37651,233.13002,239.85869,240.94548,241.50446,284.85864,277.76508,272.54474,277.59454,282.5288,286.26028,286.09088,284.85864,288.8248,286.6993,295.90643,308.36752,328.67136,357.70944,23.198618,41.82009,61.26031,61.69934,87.614105,105.78082,110.409966,116.56499,121.67542,113.749504,110.89784,107.85041,104.03627,110.28265,95.85592,92.29056,86.36713,86.58348,104.03627,128.2902,154.65387,190.49142,198.43504,187.76508,190.49142,169.99208,166.60748,209.0545,143.74608,111.801476,141.34016,109.09359,144.46223,160.46326,163.68607,196.22026,222.13753,233.32556,236.61147,236.5601,240.55466,262.23492,275.33206,277.88306,270.0,271.84756,282.42593,276.0541,275.28998,280.88547,267.5105,263.92764,257.00537,247.94888,255.63538,259.21576,257.06195,261.77338,267.13766,261.76447,255.4655,262.71115,268.11185,266.3087,270.0,268.24664,269.40936,272.31366,273.21542,266.67267,265.96237,265.65683,265.65683,245.95578,235.24402,241.76265,237.09476,235.81383,238.07916,238.20113,223.06943,221.63345,229.72021,233.44743,232.96953,232.12495,232.43134,237.05078,243.82477,249.94382,254.96213,259.6242,263.82993,267.73953,270.7345,272.97366,273.9724,274.3322,274.68582,274.76355,274.68582,275.6175,278.97253,282.99463,285.94547,283.7608,278.74606,276.4587,276.58185,278.91486,280.0079,279.46225,278.8203,279.30988,280.78424,283.1906,285.4787,288.69907,291.80145,294.37646,296.56497,298.4741,300.06848,299.74478,299.0545,299.51138,302.90524,307.6263,311.009,310.91428,310.0607,309.14398,306.86996,305.4171,306.86996,312.7688,322.3057
2025-11-09 01:02:39+00:00,2025-11-09 00:00:00+00:00,280.30478,293.9625,324.46225,332.5925,333.43503,340.9064,360.0,8.130019,59.620956,100.784256,110.924576,118.495544,124.07724,122.471176,132.0891,142.65057,141.34016,129.3693,110.80687,114.86367,113.962494,125.28683,120.203156,92.147545,96.044,93.621414,102.144264,117.64589,149.03632,180.0,172.50424,180.0,180.0,189.72751,178.0909,180.0,190.78426,207.97939,195.12405,285.94547,304.82455,216.46933,144.46223,221.53168,217.74687,239.21593,227.4896,229.14471,225.80684,229.93927,235.43741,234.34457,254.05453,264.50778,270.0,271.73566,274.61057,273.57626,277.88306,303.2749,298.5399,284.44406,278.13,274.08554,270.8303,269.1697,263.38663,271.5074,282.60016,276.13715,275.19434,271.78986,275.8859,277.81522,273.9908,275.50537,272.17468,270.0,271.48782,264.99945,265.48608,264.95764,262.5687,249.02643,236.54666,234.94049,232.38597,242.7005,234.46223,239.67648,235.6196,237.31944,241.38963,251.09532,248.03938,247.5741,262.46063,274.57382,264.98697,260.81125,272.17468,276.3401,279.01926,271.84756,272.68372,277.76508,272.72626,278.36578,275.52744,265.84042,273.57626,273.57626,277.23682,276.5462,281.49652,280.92276,278.13,278.27582,283.29858,290.55612,294.51962,294.22772,292.1095,290.46234,290.64706,291.80148,292.79654,295.1148,297.3498,300.32352,300.80136,300.32352,300.65057,304.18616,307.56866,310.78574,311.98712,312.614,313.8066,316.77145,319.574,321.8427,322.9695,322.4808,322.63324,324.16226,326.56012,328.70703,330.25522,331.0491,331.9276,331.38962,331.38962,330.39563,328.46524,327.20047,326.3099,326.61145,328.84076,329.23734,327.61935,324.0578,321.51978,321.51978,324.0578,324.72748,323.97253,324.46225
2025-11-10 01:05:58+00:00,2025-11-10 00:00:00+00:00,99.46225,177.9905,195.94547,195.59286,194.7436,201.80147,196.50444,170.13426,175.03035,75.96373,80.53775,85.101,136.54811,165.37909,161.56496,236.3099,155.22488,200.85454,297.55273,301.4295,290.55612,146.3099,186.1154,186.5197,200.40997,219.0355,219.47243,212.73521,224.9999,229.51407,229.12769,222.33694,218.50067,226.50737,233.67308,253.9091,248.74942,246.91484,250.51378,248.34395,244.84073,251.09532,248.6293,273.77222,270.0,270.0,268.9088,268.80655,273.0774,276.11542,271.4144,266.82022,268.04755,268.02512,266.6336,263.33344,260.9098,259.33026,247.8905,233.65245,237.46495,238.64297,238.89125,240.25522,247.30617,245.95578,245.48038,238.44865,250.16779,257.57407,259.43903,263.88458,273.46817,273.91818,276.91113,272.72626,273.6913,279.2932,280.30478,284.5345,281.0937,282.17145,278.27582,282.30798,281.72507,282.99463,268.89832,275.7105,281.113,289.0578,288.43503,283.7995,299.56024,295.84433,284.9817,288.88617,292.6199,295.88696,296.56497,301.09723,299.35767,301.35703,307.36673,302.2756,302.53503,303.45334,304.69522,306.3046,306.25394,305.4171,302.22873,302.7352,296.56497,290.69553,292.3802,292.5431,293.9625,295.67676,298.523,302.27563,305.36255,306.52896,305.31128,305.53775,313.26434,326.3099,339.77505,356.82022,19.440128,30.068504,28.30066,23.962492,22.249071,25.083572,28.442837,27.950872,21.413042,11.513804,4.23632,3.433568,5.19435,6.170083,3.9451082,357.27374,346.75946,338.6293,337.01126,335.77228,335.22488,334.72232,335.55606,337.6198,340.6409,341.1138,339.77505,336.61475,332.1028,325.40765,315.0001,307.6943,310.36444,318.1799,323.61554,326.3099,326.3099,326.3099,135.0001,131.63345
2025-11-11 01:00:38+00:00,2025-11-11 00:00:00+00:00,225.83023,236.3099,244.5367,251.87805,249.55037,247.06787,237.6804,244.2901,246.92957,253.49556,263.88458,268.9191,268.9584,264.55975,249.3255,244.2901,251.28816,255.96373,260.53775,256.5348,258.0031,262.50424,261.87,255.11368,259.53088,259.27118,258.56635,253.23737,252.20392,255.11368,256.13895,259.4265,252.1212,255.74994,254.19742,223.56796,217.77574,221.82008,229.51407,224.9999,224.14499,207.25525,221.90585,246.80139,256.17133,257.19574,266.24835,281.84204,272.91077,274.46707,273.6913,270.90936,277.88306,281.49652,278.97253,281.3099,278.97253,275.01303,280.3888,281.113,278.27582,272.12103,266.93356,273.6913,270.0,268.99493,282.03058,280.45984,288.1781,285.5726,284.47034,288.19925,291.03757,290.47235,286.83755,289.35907,284.2068,295.61545,294.56717,295.88696,296.92758,296.56497,299.21915,295.76926,295.76926,296.1615,299.74478,303.43988,301.90805,300.19153,300.06848,305.72748,315.0001,321.07245,319.86456,322.59457,322.04572,322.9434,323.9016,324.46225,326.3099,327.38077,329.53452,327.6804,325.75092,325.75092,325.75092,324.92618,326.0234,323.97253,322.69595,317.29062,322.02835,320.35587,322.90707,321.8427,320.0637,319.82083,320.77435,321.6048,322.792,325.78424,332.4028,337.1663,335.55606,328.73633,321.9529,318.1799,313.1524,306.25394,296.56497,278.74606,257.90524,239.53453,230.71062,224.9999,217.74687,211.42952,206.56499,206.56499,208.70586,208.14151,202.01134,194.79681,194.79681,210.17343,235.37578,251.56496,254.57777,252.47433,253.66388,259.046,266.58347,275.5529,286.83755,297.13507,304.17703,307.21652,309.49957,311.94122,315.43732,319.3324,323.25244,328.39255,333.43503,337.5838,339.36237,339.44388
2025-11-12 01:02:08+00:00,2025-11-12 00:00:00+00:00,250.88017,260.83774,266.34784,263.36758,258.559,257.7639,259.14365,255.12427,255.06853,255.96373,248.40463,215.53777,220.10085,227.4896,226.54811,229.51407,220.46214,219.80553,239.34941,237.60017,243.43501,249.82925,256.46414,259.1145,256.46414,258.31067,259.26114,251.56496,252.58194,250.9064,249.44388,252.25523,249.82925,256.2392,257.98856,262.5687,258.92984,266.56644,265.91446,269.01227,267.08923,267.13766,267.1845,289.53674,303.31064,300.00482,300.10123,296.56497,298.61035,297.58194,299.74478,299.44534,302.2756,299.13422,297.27667,301.6607,302.09256,299.44534,297.27667,300.5475,303.92984,305.83774,302.68054,302.1957,302.90524,300.11365,296.13095,298.85556,300.96368,305.9606,308.01898,307.80658,307.66568,309.47244,313.06943,316.27295,319.0446,319.0446,321.20343,321.7455,322.43134,325.53912,325.24402,326.0409,322.73352,319.82083,318.7154,320.79282,311.53168,307.56866,303.07068,295.08356,289.1791,289.9832,284.34937,277.9695,280.20392,275.0795,275.31445,273.73132,272.3859,263.79663,249.07542,233.53067,247.21756,223.02507,204.56715,203.57472,201.5015,217.40543,244.2901,250.51378,258.1976,261.11942,265.91446,275.10208,285.6796,293.4287,299.64978,304.06094,305.75397,303.34073,297.75842,292.83368,291.28647,290.39496,289.0936,285.84314,281.46948,277.76508,277.4313,278.3438,279.2298,280.36627,282.23608,284.19858,285.6682,287.79608,289.51596,291.54105,294.32556,295.24048,294.12097,292.4259,290.659,289.53674,288.16605,287.90454,288.71182,289.0257,289.72235,288.8,286.31393,285.52417,288.9705,297.3498,301.60745,301.32864,296.56497,289.44012,270.0,248.19853,232.43134,213.6901,161.56496,82.875084,34.69522,16.504446
2025-11-13 01:17:20+00:00,2025-11-13 00:00:00+00:00,273.43356,268.8767,263.11838,260.13425,251.56496,254.74483,259.91946,256.60748,255.32356,261.87,262.30405,259.28693,253.14151,254.47583,262.40546,272.54474,273.01273,277.1249,276.98096,282.5288,284.03625,288.8,299.8988,290.85452,299.95352,299.13422,296.9521,295.79596,298.23734,294.14554,297.68097,295.46332,297.97937,297.64587,300.25635,302.09256,301.8274,300.96368,305.34018,306.15826,300.32352,296.99576,297.4075,315.80682,320.33218,321.49933,321.66663,318.36655,316.9749,321.89236,321.9529,323.53067,324.34457,324.8335,324.8335,329.65683,324.6051,323.36578,321.34018,323.13,318.69147,317.8156,313.09085,300.1413,280.17545,273.90042,258.4399,247.69374,245.43285,245.55606,255.96373,260.53775,246.19405,232.76509,217.47626,229.84407,196.9276,194.03627,200.89784,210.0685,204.22774,206.56499,216.34755,229.66693,237.89377,240.01845,243.01984,252.42865,256.60748,265.73218,293.1986,299.13422,294.32556,296.8472,297.10803,290.25653,283.57043,283.13403,283.04562,285.44638,288.9705,282.63336,275.6175,277.72174,274.68582,267.3575,273.094,272.06998,273.17978,273.32733,274.03763,268.51218,270.0,270.68204,271.3803,274.82068,278.90164,281.85297,283.32455,284.22598,284.2373,282.43954,279.46225,277.69595,276.25394,274.76355,274.14453,273.52136,273.75165,274.0141,276.22574,278.58353,280.68484,279.46225,277.1249,276.0089,276.3401,276.84268,277.4313,276.78888,274.39862,276.3401,285.94547,297.824,306.60718,310.31403,311.98712,313.91916,313.87677,313.83093,313.7812,316.2188,319.7637,320.82635,319.7637,317.4896,315.0001,312.39737,309.8055,306.15826,302.3474,299.1974,297.18103,295.27768,293.80594,292.3802,294.10223,296.05344
2025-11-14 01:02:29+00:00,2025-11-14 00:00:00+00:00,302.98853,310.17917,296.56497,290.6745,290.55612,293.07043,291.25058,289.3349,289.0578,295.30136,299.85892,302.68054,302.94922,301.10873,301.8274,303.45334,303.6901,301.79886,288.77814,293.7495,281.72507,297.824,290.37653,292.71445,298.61035,301.32864,309.42776,308.9559,309.09384,316.8476,315.59058,315.61597,314.37048,310.50278,304.24908,306.46933,305.1665,302.79953,303.11136,296.56497,288.43503,279.21094,266.82022,256.9081,254.62369,255.96373,246.0375,228.50363,222.27362,222.5104,204.56715,199.8553,194.85866,198.43504,198.13817,209.14798,240.15416,244.25934,247.0362,251.56496,249.44386,258.50348,267.99048,283.29858,299.98157,294.62354,293.1986,296.56497,298.11313,290.62997,288.43503,291.90875,288.24594,286.6389,281.3099,281.71243,278.45493,276.42865,278.48886,276.4415,279.60513,275.00055,276.84268,272.32147,274.34317,275.7105,269.27478,270.71616,271.4144,272.8985,275.44025,273.9908,272.6324,271.43207,280.93378,288.23257,287.00803,285.75125,285.06854,281.61145,274.61057,273.6913,276.4415,272.8155,271.87784,273.9451,275.19434,275.28998,275.49222,273.23962,267.91748,263.77426,265.23645,266.12155,262.61404,271.14572,284.6209,295.46332,298.8107,298.8107,298.8107,300.17343,300.7841,302.00534,302.47116,302.96942,303.2749,302.82855,302.82855,302.82855,305.9098,307.87503,309.17365,307.18478,302.47116,299.57773,298.8107,299.1675,301.15924,306.6342,312.3574,317.72638,315.88132,312.4362,309.9575,312.27362,317.0454,320.59937,320.82635,319.7637,317.38596,317.38596,316.2188,316.2188,316.27295,315.0001,313.66785,308.36752,300.65057,294.30453,288.43503,283.70697,280.30478,279.0394,278.13,278.53067,282.20044,288.43503
