forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:19:59+00:00,2025-11-05 00:00:00+00:00,998.3694,998.7094,1000.0406,999.99365,999.5878,999.96045,999.7405,1000.191,1000.0554,1000.052,999.9912,1000.2891,999.51056,999.12036,999.15826,998.22174,997.2847,995.35956,992.94946,991.00757,989.5315,987.5012,985.4611,983.52594,982.08496,980.4158,978.27734,976.59894,976.2761,976.3584,977.86957,980.02594,981.66785,983.3166,985.37115,987.4189,989.9603,991.5195,992.94653,994.1476,995.22736,996.2158,996.21893,996.36237,997.4652,998.43585,999.41144,1000.53485,1001.2825,1001.5359,1001.87683,1001.6286,1001.20496,1001.41907,1001.54517,1001.66064,1001.38043,1001.2788,1001.18427,1001.1346,1000.5908,1000.1287,999.63794,998.8815,998.1361,996.80884,995.0071,993.4488,992.2323,991.3926,990.7748,990.10657,989.3338,988.48517,987.81067,987.22455,986.4518,985.7133,985.02905,984.27155,982.9061,982.7378,982.2559,981.95215,982.33563,982.82056,983.21027,983.80255,984.2479,984.09406,984.4587,985.1148,986.0581,986.7842,987.8516,988.7065,989.27625,989.8216,990.9113,991.42346,991.4927,991.85944,992.6317,992.8993,993.4884,993.6881,993.6038,993.77423,994.4777,994.66656,994.7406,994.3414,993.4867,992.4569,991.44525,990.767,990.06085,989.3517,988.35724,987.2644,986.3589,985.6464,985.12415,984.78253,984.6208,984.6395,984.7488,984.94275,985.2266,985.72906,986.6503,987.7906,988.87006,990.0105,990.9944,991.8494,992.167,992.1635,992.4349,993.07196,993.9832,994.7989,995.6273,996.5607,997.2062,997.6623,997.9322,998.10767,998.09357,997.99207,997.8939,997.80646,997.82025,997.736,997.73254,997.82715,997.76044,997.66077,997.49255,997.1097,996.3026,995.2759,994.5136,994.19293,994.032,994.06696,994.29767,994.8158
2025-11-06 01:04:43+00:00,2025-11-06 00:00:00+00:00,982.373,981.4134,981.7268,980.31757,979.4941,978.58527,979.6015,982.0087,983.5627,985.7768,987.33057,989.18854,990.56934,991.6474,992.41034,993.62805,994.49835,995.38184,995.43365,996.6932,997.4586,998.3529,999.3719,999.984,1000.80536,1001.055,1000.73987,1000.53674,1000.33344,999.9341,1000.0288,999.93756,1000.0391,999.84283,999.74475,999.7483,999.7621,999.48645,999.01984,998.7346,997.93726,996.8185,995.002,993.1161,992.2323,991.0949,990.2805,989.89746,988.9379,988.78284,988.16205,988.0608,987.44617,987.1163,986.62537,986.35004,986.4706,986.208,986.2207,986.7178,987.3069,987.7407,988.1493,988.4023,988.7345,988.6487,989.0487,989.4602,990.11975,990.58167,991.4309,992.27313,992.7481,993.1312,993.51434,993.8811,993.8811,993.9471,994.4411,994.62463,994.79504,994.5887,994.1897,994.3761,994.6806,994.8067,994.6525,994.3853,993.8739,992.7042,992.01074,991.2847,991.2722,991.2722,990.8732,990.6798,990.10004,989.52625,988.9371,987.4619,986.7433,985.9577,984.70624,983.8287,982.549,984.1202,984.02814,983.9335,985.08325,986.15686,987.4332,988.2444,988.2286,987.6646,987.3819,987.7361,988.4793,989.31396,990.4397,991.65625,992.6729,993.18463,993.4891,993.71515,993.9647,994.13354,994.3091,994.59283,994.78906,995.0799,995.3571,995.6339,995.837,995.8824,995.95123,995.7255,995.2049,994.5821,994.13165,993.93884,993.81714,993.98975,994.5586,995.31995,995.885,996.15216,996.32117,996.392,996.3679,996.34375,996.3231,996.30255,996.28864,996.194,996.1234,995.972,995.6514,995.1843,994.4446,993.4697,991.93494,990.1678,988.67896,987.66815,986.9385,986.4052,986.16956,986.1332
2025-11-07 01:02:27+00:00,2025-11-07 00:00:00+00:00,998.9754,999.6187,1000.62726,1000.7726,999.71924,998.97705,998.8652,999.1595,999.8257,999.9271,1000.3232,1000.22156,999.6397,998.7926,998.3629,997.51825,996.3276,995.0474,994.4054,993.29126,992.32214,990.7885,989.91626,989.1408,988.95715,987.9881,986.9243,986.367,986.0221,985.44226,984.68823,984.118,984.3144,984.11487,983.93427,984.41876,984.7738,985.5054,986.1542,987.342,988.13995,988.41907,988.3876,990.85913,991.5886,992.5428,993.4659,994.45807,995.2434,995.67505,996.40076,996.89154,996.75714,996.9434,996.9914,997.3636,997.54987,997.54333,997.3301,997.3132,997.753,997.67035,997.5963,996.81055,995.68713,994.1865,993.4772,991.2916,991.51013,991.3103,991.3071,991.19934,991.5859,991.5731,991.54407,991.2367,990.7297,989.7223,988.6424,987.4835,986.0171,984.8423,982.98,982.5872,982.7805,982.264,983.72705,984.1263,983.5612,984.4252,985.0564,985.2762,986.28406,987.0849,987.72205,988.58875,988.95776,989.3981,989.61096,990.0502,989.7182,989.9814,990.65106,990.8371,991.5098,991.7939,992.3718,992.9571,993.5458,994.0113,994.28314,994.4773,994.3823,994.0635,993.91376,994.01886,994.28644,994.744,995.3906,996.2236,996.8732,997.347,997.6345,997.8273,997.7223,997.5229,997.13684,996.5754,995.7294,995.0797,994.6155,994.2464,993.6909,992.8575,991.83356,990.806,989.68005,988.54736,987.68304,987.1664,986.9185,986.86975,986.9289,987.1905,987.36383,987.56354,987.67816,987.68463,987.38025,986.968,986.65375,986.5357,986.5158,986.496,986.4628,986.3315,986.23004,986.08356,985.86847,985.54156,984.89996,984.24835,983.76086,983.8167,984.1409,984.4646,984.80084,985.1371
2025-11-08 00:56:47+00:00,2025-11-08 00:00:00+00:00,988.1472,988.3243,987.7256,987.02893,986.4653,986.11383,985.895,985.66376,984.60284,984.3148,983.998,984.18787,984.8624,984.9956,985.6442,986.2523,986.6962,987.2665,987.0419,987.87494,988.7993,989.96625,990.83014,991.7456,992.9783,994.1192,994.47485,995.1315,994.81335,995.2871,995.568,995.6018,995.5953,995.4289,995.5305,995.7268,996.31555,996.2822,995.62177,995.35205,994.79596,993.6297,992.33154,994.53204,993.5175,993.2467,993.2437,992.5822,991.81934,991.3477,990.77795,990.1954,989.20703,988.906,988.51324,987.92413,987.62964,987.8197,986.933,986.841,986.54956,986.35315,985.6693,984.7887,983.54425,982.94226,982.5527,982.163,982.16956,982.63226,983.51276,984.242,985.48596,986.26434,986.89667,987.2447,987.6062,988.1672,987.9604,988.44415,988.3426,988.34607,988.35284,988.65436,989.25665,989.5048,989.4718,989.3097,988.7955,988.2639,987.7254,987.40424,987.9561,988.3626,989.2892,989.95557,990.5237,990.8248,991.39655,991.67377,991.6771,992.0627,992.36743,992.2796,991.7855,991.50836,991.11584,990.6321,989.42725,988.72784,988.0645,987.2812,986.14966,984.79095,983.7829,983.2107,982.9494,982.87103,982.9562,983.22736,983.5086,983.6231,983.7478,983.86926,983.9804,984.1835,984.3798,984.5693,984.8473,985.12537,985.3897,985.7492,986.03375,986.25665,986.50256,986.5522,986.2122,985.67535,985.4038,985.47595,985.6199,985.9567,986.2964,986.73065,987.0798,987.25586,987.44867,987.54,987.6249,987.7061,987.78375,988.0443,988.30115,988.65936,989.1192,989.5821,989.9886,990.2636,990.47406,990.57153,990.3472,989.90936,989.63135,989.69995,989.9312,990.2435,990.72766,991.29144
2025-11-09 01:02:41+00:00,2025-11-09 00:00:00+00:00,992.1356,993.7555,994.30524,995.0542,994.7466,995.2142,994.89966,995.8646,995.93964,995.84796,995.4455,995.7064,995.8962,995.99603,996.39636,996.62476,995.85706,994.7832,994.0417,993.0752,992.45154,991.8153,991.0014,990.49146,990.2853,989.88324,989.3509,988.7618,987.49146,987.00055,986.6077,986.3102,986.6999,986.4053,986.2058,986.90576,987.5359,986.4809,986.804,985.5711,985.1969,984.2736,983.083,984.3698,984.3166,984.0697,984.2061,984.33527,983.933,983.5061,982.9593,982.88293,983.11066,982.5288,982.63666,982.68994,982.66595,982.9501,983.2376,983.23047,983.63,983.8073,983.20544,983.17163,982.3456,982.349,982.2641,982.7784,983.7195,984.6909,985.9052,986.8625,987.63007,988.4013,989.37225,989.98486,990.4306,990.8645,991.19,991.7114,992.02295,992.3447,992.3619,992.0572,991.9694,991.8816,991.25916,990.2638,989.0678,987.4489,986.2645,985.3133,985.0699,984.94824,985.1715,985.4624,985.56055,985.8382,986.2844,986.2745,986.18964,986.5278,986.3346,986.4728,986.2166,986.7474,986.9834,987.1464,987.61725,987.93506,988.1779,988.1779,987.8835,987.44556,987.2851,987.44574,987.8546,988.27264,988.7103,989.2556,989.70245,989.9563,990.02057,990.0878,990.162,990.34454,990.429,990.5203,990.7131,990.90247,991.1694,991.53406,991.8353,992.1107,992.4231,992.5176,992.1822,991.72784,991.53815,991.79266,992.3113,992.82935,993.3569,993.8873,994.3298,994.4947,994.37604,994.36194,994.2535,994.25,994.1485,994.1448,994.1448,994.23944,994.4219,994.6005,994.7231,994.8169,994.9473,994.8665,994.5711,994.1663,993.9115,993.98346,994.3064,994.61237,994.98834,995.3488
2025-11-10 01:06:01+00:00,2025-11-10 00:00:00+00:00,989.45233,989.7136,989.4545,988.79285,987.7066,987.2219,986.9212,987.7,987.5989,987.3104,986.7182,986.41724,986.80676,986.2339,985.8538,985.26166,984.27985,983.9853,983.0378,982.2177,982.4141,982.316,982.2177,982.6772,984.03864,984.1385,983.9654,984.2528,984.2848,984.31946,984.347,984.39105,984.64795,984.75287,985.2571,985.8458,986.0489,985.9781,985.50073,985.51776,985.88,985.2912,985.10175,983.0959,983.90247,984.7114,985.5605,986.8122,987.7021,988.5145,989.2858,989.5323,989.911,990.3013,990.49414,990.954,991.0829,990.98816,990.6937,990.8728,990.69257,990.78503,990.2099,989.28235,988.37427,986.8535,985.9144,985.24054,985.1161,984.93896,985.27856,985.7325,985.6925,985.8584,986.2475,986.25775,986.4605,986.68036,987.0319,987.4141,987.4453,988.0198,988.4024,988.79846,989.41486,990.10754,990.5899,990.62823,990.2499,989.962,990.15173,990.3646,991.12335,991.7179,992.60925,993.6416,994.2032,994.6395,995.10944,995.79297,995.85315,996.20087,996.5761,997.0667,997.0492,997.5294,997.91833,998.50366,999.09235,999.3995,999.5468,999.4416,998.93317,998.2009,997.62195,997.49725,997.6305,997.75616,997.9697,998.17224,998.2994,998.16327,997.8551,997.6554,997.6691,997.6933,997.81226,997.92413,998.0257,998.11,998.23724,998.4371,998.6054,998.8014,998.86255,998.79877,998.39215,997.7619,997.2912,997.25793,997.38403,997.49945,997.7054,997.90344,998.0234,997.78894,997.4735,997.1582,996.9269,996.79364,996.5728,996.3659,996.0716,995.8789,995.5774,995.2762,995.1188,995.133,995.187,995.0221,994.33453,993.5312,992.9722,993.0273,993.4312,993.73975,993.96954,994.20575
2025-11-11 01:00:40+00:00,2025-11-11 00:00:00+00:00,980.7796,980.8962,981.5534,981.8827,981.9138,982.03253,982.5772,982.8613,983.34515,984.52936,984.1233,984.62415,983.8392,983.7614,983.1897,982.6685,982.635,982.7297,983.8057,983.7887,984.1641,984.526,984.803,985.3007,986.3834,986.6778,986.68115,986.88086,987.5677,988.35596,988.955,989.44214,989.84155,990.048,990.1496,990.35266,990.5455,989.9807,989.2467,988.9694,988.2282,987.38873,986.44727,986.019,986.0942,986.10004,986.20984,986.5077,986.6906,986.91016,987.0965,987.1947,987.3909,987.8235,988.2196,988.3556,988.59534,989.0047,989.3056,989.783,990.2871,990.8112,990.97253,991.0707,991.19574,990.4593,990.4855,990.28253,990.7993,991.01086,991.6312,992.36896,992.6326,992.56213,992.8901,992.75446,992.7407,992.72015,992.9905,993.1729,993.1557,993.03015,993.1211,993.1246,993.62225,993.9251,993.7597,993.6409,992.99066,992.2352,991.806,991.89417,992.54126,993.0291,993.796,994.5088,994.97156,995.26245,995.4586,995.4376,995.21704,995.39575,995.17865,995.75653,995.7463,995.8408,995.9284,996.212,996.706,997.0006,997.115,997.1303,996.73773,996.20624,995.83014,995.9018,996.32825,996.6532,996.9774,997.399,997.6344,997.79236,997.77136,997.8484,998.0236,998.2022,998.2934,998.3003,998.2164,998.234,998.23737,998.24084,998.27954,998.39746,998.3522,998.05414,997.05914,995.6212,994.4976,994.01697,993.8514,993.5907,993.2349,992.7842,992.1271,991.2471,990.25903,989.1992,988.0903,987.0068,985.79834,984.55396,983.189,981.99176,981.0377,980.1491,979.58014,979.2625,979.1678,979.0795,978.9029,978.8305,978.9321,979.28876,979.72375,980.25995,980.7041,981.0566
2025-11-12 01:02:10+00:00,2025-11-12 00:00:00+00:00,985.60187,985.4898,987.2559,988.048,989.41797,989.4217,990.0207,990.31836,990.95514,990.9379,990.4473,990.54205,989.95337,989.6863,989.7001,988.8778,988.0586,986.8266,985.3875,985.12317,985.1164,984.96185,985.1928,985.18256,985.64636,985.4333,985.2469,985.57855,985.68994,985.89954,985.79834,986.27875,986.763,987.04376,987.4161,987.7747,988.5226,988.9388,989.25543,989.7956,989.92365,989.8517,989.47235,989.8312,990.0892,990.40546,991.13367,991.86145,992.3994,992.85254,993.2245,993.512,993.5929,993.67737,993.7444,994.11633,994.2076,994.48096,994.5478,994.62494,995.3151,995.53125,995.269,995.0728,994.35455,993.42303,992.746,992.543,992.6994,992.88684,993.45856,993.86664,993.7651,993.8255,993.46173,993.0586,992.61334,992.6271,992.69403,992.5821,992.3718,992.1654,991.8639,991.6608,991.5661,991.28125,990.7208,990.25385,989.66016,988.6498,987.7303,987.1543,986.92236,986.9402,986.3523,986.3216,986.02045,985.5298,985.0154,983.9026,983.0636,982.0111,981.37445,980.356,978.87756,977.46857,975.8797,975.23517,974.33795,973.643,973.0794,972.5475,971.9172,971.4061,971.1661,971.50543,972.2022,973.10376,974.1258,975.2515,976.1903,976.74304,977.1028,977.46857,977.8348,978.10913,978.48157,978.95874,979.43933,980.0114,980.661,981.4019,982.07855,982.62354,983.2019,983.56995,983.7113,983.64325,983.9441,984.8077,986.04016,987.26917,988.5959,990.01373,991.14667,991.806,992.2761,992.6514,992.92834,993.21234,993.39825,993.6892,993.88196,994.17975,994.4706,994.765,994.89777,994.896,994.7311,994.4396,993.91064,993.3579,992.77893,992.3567,992.10046,991.94556,992.00354,992.2608
2025-11-13 01:17:23+00:00,2025-11-13 00:00:00+00:00,987.16895,986.66797,986.8778,986.5801,987.3549,987.0574,987.1587,987.5512,987.75775,987.9437,987.7139,988.3838,988.685,988.7994,989.0855,989.14496,989.171,988.99774,988.33356,988.7132,989.26605,989.8474,990.44446,991.0574,991.9302,992.2177,992.275,992.52856,992.5079,992.5045,992.5079,992.80225,993.2895,993.68536,994.0778,994.47034,995.05566,994.92456,994.5021,994.54266,994.3632,993.77435,993.38184,993.72437,994.0703,994.0577,994.7136,995.0303,994.9749,995.0384,994.7231,994.2429,993.847,993.847,993.53894,993.623,993.71423,993.50397,993.094,993.07996,992.88,993.0264,992.59906,991.9391,991.2437,990.1222,988.76434,988.3489,988.0344,987.1365,986.7549,986.2308,985.493,984.32904,983.618,981.67194,980.5476,979.0631,977.7834,975.99255,974.378,973.2316,972.1548,971.66394,971.5563,971.52747,971.9235,972.00574,971.7559,971.37537,971.4422,972.0818,973.3855,974.36145,975.67993,976.9197,977.7765,978.52167,979.1618,979.32446,979.6967,980.0689,980.28894,980.85724,980.8267,980.8844,981.21246,981.90955,982.7115,983.16486,983.5468,984.1421,983.95404,984.0358,984.44476,985.10864,986.1418,987.0763,988.01733,988.958,989.8141,990.501,991.0053,991.5028,991.88495,992.26044,992.6322,993.1936,993.7514,994.4142,994.98175,995.55676,996.1733,996.85516,997.479,997.97943,998.0564,997.81494,997.83466,998.1909,998.61206,999.21826,999.9155,1000.60815,1001.2223,1001.5801,1001.86395,1002.0531,1002.2389,1002.33344,1002.5263,1002.719,1003.00995,1003.2096,1003.4058,1003.7071,1003.8403,1004.0286,1004.1455,1004.05115,1003.4483,1002.53674,1001.9742,1001.83954,1001.9558,1002.16266,1002.3654,1002.66187
2025-11-14 01:02:32+00:00,2025-11-14 00:00:00+00:00,993.42554,993.0096,994.5967,994.8538,994.021,994.2844,994.17944,994.86633,994.96796,995.55664,995.9457,996.5309,996.9234,996.7388,997.1247,996.79254,996.2441,996.071,994.7484,994.6768,994.69806,994.8406,995.084,995.1582,995.4017,995.2864,994.6564,994.74756,994.25696,994.05725,993.5632,993.3601,993.26196,992.768,992.57513,992.2774,992.37555,991.7401,991.0097,990.08936,989.2534,987.9229,987.18744,986.8929,986.3039,985.31824,984.6539,983.835,983.3444,982.62,980.8803,979.3767,977.59735,976.1147,974.3173,973.27576,972.0504,971.4072,970.94476,970.5038,970.5864,971.0114,971.4456,972.0979,972.0979,971.5373,971.8255,972.0946,973.09735,973.9657,974.9535,975.8753,976.52234,977.17584,977.75446,978.03876,978.5057,978.6783,978.8812,979.2263,979.4463,979.5376,979.47345,979.9166,980.7049,981.12115,981.4019,981.5572,981.82007,981.7321,982.35065,982.8581,983.8643,984.9516,986.07153,987.3164,988.2772,989.0485,989.64056,990.138,990.84546,991.133,991.8164,992.58765,993.13654,993.8545,994.2504,994.5947,994.89264,995.4005,996.09503,996.48376,996.24945,995.7756,995.4743,995.5526,995.9049,996.3487,996.8833,997.5056,998.0429,998.40094,998.5764,998.8536,999.1375,999.33026,999.61774,999.8036,999.98566,1000.2766,1000.86176,1001.5486,1002.0776,1002.47253,1002.70746,1002.7208,1002.40204,1001.96094,1001.781,1001.9443,1002.36523,1002.87335,1003.3673,1003.8463,1004.2571,1004.4255,1004.52356,1004.5271,1004.52356,1004.52356,1004.42206,1004.2188,1004.01184,1004.00494,1004.37665,1004.94403,1005.36804,1005.4901,1005.3642,1005.20496,1004.7945,1004.3567,1003.97736,1003.7443,1003.66797,1003.68567,1003.899,1004.206
