forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:05+00:00,2025-11-05 00:00:00+00:00,10.703569,11.304229,11.709688,12.641076,12.24,11.269782,11.043261,10.144082,10.948973,11.019764,12.55879,11.592895,12.181625,17.309973,18.720001,23.871555,25.671307,24.640942,24.535526,25.294964,24.344624,23.540806,22.79684,26.944744,26.795223,26.518099,24.482647,21.434364,18.584509,29.363731,30.312769,23.664352,26.089443,24.569836,21.203358,17.238699,18.837322,18.847641,21.068459,21.889065,23.277834,22.691423,21.710716,19.969458,17.388409,14.33234,10.948973,9.511088,7.491114,4.8433046,2.5959969,0.8049845,2.6208394,6.519877,8.557102,11.183201,13.0447235,14.168641,15.978484,16.595179,18.58451,19.855558,23.241617,26.200977,26.983194,25.582806,23.806318,22.206486,21.659916,22.66857,21.659916,22.314194,23.795427,24.280659,24.826952,25.045238,24.821732,24.20314,24.20314,24.014996,24.162947,21.794127,18.089775,16.489416,18.668005,17.610588,17.555307,17.309973,14.205182,12.979984,11.966954,11.457958,10.691453,6.151683,5.8603754,5.8048253,5.3517847,7.289444,8.4042845,7.2,7.208994,7.0911775,6.2145634,3.7585104,2.16,5.4833565,7.172949,8.311245,10.105681,8.373386,11.4862,13.089354,16.80857,17.873556,20.288164,21.659918,23.762726,25.922499,28.006058,29.795301,31.435646,31.796375,30.945345,30.282827,28.99062,27.86921,26.727423,26.7565,27.09822,27.44749,26.901417,25.862436,25.620771,26.64,28.61264,29.973106,30.911821,31.575506,31.122828,29.162222,26.405453,23.73271,20.948164,18.161278,16.394829,16.23596,16.923828,17.313717,17.294992,17.283749,16.93531,16.203999,15.484185,15.158522,14.830076,14.830076,15.188415,15.856356,16.923828,17.673029,18.391735,19.083395,19.083395,17.414476,15.379206,13.905509,12.9249525,12.979984
2025-11-06 01:04:45+00:00,2025-11-06 00:00:00+00:00,24.863466,24.567198,25.460934,24.27265,17.782688,18.998316,32.886345,30.811037,26.87491,27.609911,26.459387,21.67487,20.969807,22.545315,22.915916,22.91026,23.166216,22.915916,24.248611,21.129883,17.713316,15.379206,10.514218,9.422101,9.957108,9.504272,9.885262,10.163227,8.825508,4.1046314,7.0911775,9.19939,10.829958,9.983106,13.797913,16.946787,18.844202,21.349546,22.553936,24.50381,25.919998,27.381308,27.74103,24.36325,23.34455,23.598541,23.34455,23.906818,22.79684,22.657131,22.930048,21.611996,18.947083,14.021525,14.021525,12.55879,11.885453,12.387348,11.440979,10.495713,9.290511,10.233123,13.202726,10.931203,10.661107,9.028754,7.10031,4.3349743,1.2979984,4.39436,6.3690495,9.085988,8.654987,9.3876505,9.47012,8.905908,10.24578,10.739833,10.495713,9.3669195,8.759178,9.107359,8.161764,10.703569,13.661038,14.4,16.766108,20.291357,20.746122,19.513195,18.335276,17.654688,16.73516,16.62249,12.313893,21.915693,28.296091,25.488914,23.675303,24.627789,26.250393,23.828083,27.943514,23.565569,20.767975,22.17144,25.944988,21.325253,20.730501,22.26477,24.795612,22.657131,22.55106,20.774214,22.366402,24.149532,26.459389,28.038431,27.887802,27.038372,27.021591,28.08923,29.528778,30.259275,29.914679,29.237675,28.1169,25.812277,23.803596,23.313995,24.1388,25.501621,26.415268,26.552288,27.117346,27.359999,27.381308,27.397867,26.302181,23.759998,20.929596,18.289274,16.862455,16.1198,15.990646,16.641972,18.075441,19.64228,20.746122,21.817902,23.113008,24.344624,25.582806,26.552288,26.787966,26.758923,26.739542,26.987997,27.059933,27.217524,26.758923,26.434887,25.43802,23.675304,21.485697,19.67195,17.713316,16.08761
2025-11-07 01:02:29+00:00,2025-11-07 00:00:00+00:00,9.220499,7.9036193,9.693296,10.383987,10.948973,12.303366,11.966954,11.503113,14.007655,15.034041,18.35647,17.654686,18.289274,20.892412,23.039999,22.751316,23.084955,23.4,23.224882,21.322214,22.346113,21.67487,20.418695,21.188072,20.929596,16.575644,14.417988,15.192682,16.965895,15.646544,14.48972,8.049845,10.296251,12.24,13.202726,10.587917,11.525623,12.096214,11.966954,13.551501,12.768586,11.165805,9.6932955,8.287822,7.6367526,4.6102495,4.8433046,7.289444,10.08,10.365251,11.304229,11.966954,12.738099,15.408671,15.496736,14.982228,16.363178,18.289274,14.84318,15.629971,16.263872,17.992796,15.745627,14.77755,16.327497,14.277983,12.229406,14.973577,14.186923,8.209263,6.696387,2.16,6.193674,6.193674,19.201874,31.361351,36.982006,29.96662,30.886656,28.460497,27.558228,25.582806,27.748037,26.282465,25.959969,27.059933,26.493652,26.983196,27.609911,25.922499,24.464113,24.408424,23.441502,25.762016,28.772987,25.460936,25.264202,23.0653,21.261345,22.380884,23.871555,25.0064,23.683512,22.427162,20.345573,18.792551,16.62249,17.298738,17.339897,19.443333,22.253124,22.26477,19.296133,18.0036,17.518356,16.516901,15.978484,15.807239,15.856354,16.831684,18.289274,20.674156,23.185787,25.7041,27.579382,28.961546,29.964457,29.522196,28.820242,28.001427,27.757376,27.511158,27.267473,27.295977,27.609911,27.438046,26.867676,25.992397,25.455843,24.696104,23.770906,23.051247,22.183128,21.129883,20.364674,20.150354,20.380579,20.68356,20.63023,20.608229,20.140705,20.393293,20.380579,19.839235,18.0036,16.418526,16.58346,17.414474,18.514643,19.813087,22.077717,24.344624,25.14852,23.4,20.056877,17.193533,15.175612,14.168641
2025-11-08 00:56:48+00:00,2025-11-08 00:00:00+00:00,20.188908,19.09358,15.856356,14.917212,15.978486,14.372974,10.514218,11.435313,17.057314,18.692286,15.815435,15.273505,17.447933,15.141414,13.698934,11.177405,11.440979,9.83268,5.8603754,7.6367526,5.937272,12.287555,13.849477,10.630672,11.440979,10.086427,13.527572,15.141414,17.076298,18.532133,18.681883,16.73516,12.0694,16.746773,16.904673,18.671474,19.09358,23.023117,19.296135,17.727943,18.504139,12.57426,17.58481,15.778518,13.905509,14.658676,10.948973,9.673221,9.360001,16.09969,24.72495,25.212852,25.199997,26.220753,25.35637,24.458813,26.089443,24.442913,24.442913,20.111729,23.86341,22.565422,24.363249,23.363974,23.4,23.667091,24.014996,23.871555,20.799152,20.326454,24.640942,26.260265,25.744402,22.881956,22.42427,21.24305,19.296133,23.400002,25.959969,26.415268,27.009598,24.858253,28.901073,28.594517,24.216522,20.907913,24.216522,28.100763,29.528778,28.054604,28.639803,28.312117,24.503809,23.023119,19.06301,14.869351,14.044615,14.118243,15.496736,16.279802,19.346441,20.65848,15.124284,20.12461,23.770906,24.703974,25.812277,26.518099,26.250393,26.987997,27.333935,28.58545,30.05515,30.500309,28.694056,26.729847,24.20314,22.366402,20.94507,20.268991,20.265795,20.364674,20.957443,20.929596,20.364674,19.64558,19.386591,19.134262,20.545246,22.884789,24.1388,25.346148,26.882141,28.30983,29.478264,30.302078,30.222849,29.869154,28.802248,26.64,24.023088,21.288757,18.671474,16.055353,14.458382,14.799459,15.827721,16.862455,16.862455,16.418526,16.766108,17.902534,19.829433,21.068459,21.313093,21.566975,21.758419,22.930048,24.696104,26.072052,26.42753,25.862436,24.569836,22.608458,20.073025,17.414474,14.88242,12.313894
2025-11-09 01:02:43+00:00,2025-11-09 00:00:00+00:00,8.905908,9.826088,9.605998,8.647496,10.823973,10.538843,10.105681,9.3876505,10.829958,10.739832,14.84318,13.493999,14.186923,14.84318,13.570615,14.693999,15.315873,16.1198,10.464797,10.594036,12.413476,12.7279215,13.039754,15.328561,13.441071,11.304229,18.03237,15.484185,18.0,16.704155,13.004922,11.200571,10.464797,14.003028,15.815435,17.654688,19.483284,20.140705,20.073025,19.513195,19.33639,19.33639,20.150354,20.523157,20.858265,18.919704,16.854767,21.068459,21.38897,23.770906,24.408424,23.469128,22.42427,23.199759,25.476198,24.946726,24.863466,25.338476,26.867676,25.764534,25.277023,27.959742,29.339449,30.244286,29.59235,29.951483,31.82082,31.106167,26.183659,25.277023,22.963936,22.963936,15.111424,14.113653,15.937878,18.193361,19.826164,21.120682,20.26899,19.881649,21.767351,20.746122,23.1774,23.166216,23.419376,25.212852,26.250393,27.026386,27.06472,28.220417,27.475807,25.501621,25.364037,24.363249,24.448214,18.806337,18.11841,20.150354,19.829433,18.94024,18.0,14.799459,14.332341,16.394829,18.998314,20.833395,22.66857,23.210928,21.407139,20.176065,21.746502,22.077717,24.014996,25.671307,23.83896,21.398056,17.518356,14.561099,13.708391,14.24163,14.986553,15.315873,15.716793,15.827721,15.379206,14.587776,14.145756,14.408997,14.618837,15.39184,16.418526,17.31746,18.998316,21.175837,24.216522,26.478971,27.757376,28.006056,27.497026,25.501621,22.828087,21.370783,22.218153,24.535526,25.842384,24.72495,22.35481,20.696085,20.617662,21.2522,21.67487,21.218632,20.730501,20.46941,20.46941,20.991426,21.194187,21.53089,21.746502,21.288757,19.93048,18.25026,16.24394,14.408997,12.413476,10.365251,7.729527,4.8433046
2025-11-10 01:06:03+00:00,2025-11-10 00:00:00+00:00,10.883676,9.779817,14.4,19.64228,27.0024,23.333443,25.264202,20.972897,18.584509,15.856354,19.469976,17.58481,20.46941,19.05281,20.991426,21.746502,21.288757,21.566975,19.134262,18.72346,17.643673,16.418526,17.283749,20.523157,23.000591,23.277834,22.691423,19.8,16.676977,17.414474,16.45007,17.462784,18.161278,19.416653,18.775301,19.8,19.959719,21.24305,23.0653,24.609364,26.700743,27.397867,25.6233,28.460497,25.620771,24.858253,24.387177,19.70815,17.373497,17.462782,19.008547,19.826164,21.385939,21.313093,22.159746,23.708124,24.195107,23.686249,24.72495,24.75638,24.75638,25.7041,26.867676,27.959743,28.40124,27.66384,27.595825,25.045238,27.105392,25.277023,17.935081,17.10284,22.380884,25.671307,25.96496,18.792551,13.698934,11.792404,14.408997,19.559633,25.14852,28.820242,24.735432,25.44566,25.759504,26.405453,26.121714,27.579382,27.859905,28.091534,27.698954,26.925497,24.651457,24.33664,19.161337,16.311613,17.551615,17.072504,18.331741,18.1041,17.076298,15.7908325,13.891522,12.181624,10.805998,10.163227,11.013882,11.720751,11.570515,12.6462,12.245294,10.931203,13.089354,14.4,13.779114,13.104198,11.988594,11.212135,10.883676,11.592895,11.966953,12.904882,14.168641,14.277983,13.237038,12.413477,11.792404,11.159999,10.137692,11.090103,15.408671,22.065973,26.944744,28.930204,29.655787,29.660152,29.5551,28.44,27.021591,25.2924,23.319553,21.322214,19.64558,18.25026,16.862455,16.055353,15.463246,15.141414,15.0038395,14.88242,14.386494,12.397806,10.483357,9.0645685,8.825508,9.360001,9.693296,8.714677,7.8954163,6.792466,6.28713,5.5887027,5.04,5.634891,7.8954163,10.495713,12.768586,15.379206
2025-11-11 01:00:41+00:00,2025-11-11 00:00:00+00:00,21.142147,19.61587,23.740902,24.458813,25.96995,23.4,19.576189,17.873556,18.919704,19.694992,22.61419,20.957443,22.725668,24.57511,29.215502,28.082308,27.36947,27.729347,27.381308,26.649727,25.582806,22.68,17.731598,15.496736,13.797912,12.522619,13.584932,20.380579,20.65848,20.746122,21.986542,21.889065,23.584808,26.749235,25.683926,25.630886,26.486313,28.460497,29.024128,26.28,24.863466,24.967497,25.6233,24.248613,24.33664,19.809813,25.9225,25.992397,25.49908,23.510508,18.782204,15.815435,15.517629,17.193533,18.430452,19.829433,22.805367,25.171696,24.821732,23.452555,22.66857,21.53089,21.868332,24.703976,25.842384,26.420174,26.299719,24.288662,18.751125,16.862455,12.9249525,14.205182,14.934577,15.192682,16.520823,16.595179,15.683776,15.5843,14.869351,14.081478,13.684735,13.324863,13.722565,14.471821,14.830076,14.77755,17.31746,21.767351,23.904108,23.277834,24.184391,22.961115,18.161278,15.807239,12.88981,17.399586,21.900904,20.991426,19.930477,18.720001,22.59699,22.881958,21.461555,22.545315,23.000591,22.89611,22.314194,20.858265,20.393293,20.49156,22.35481,22.702845,19.592731,16.981165,18.161278,16.279802,14.48972,12.979984,11.384198,10.00256,8.217153,6.12,3.8939953,2.0991426,2.7416782,4.5820518,6.9153743,9.085988,11.119281,12.074766,11.298495,9.6932955,9.605998,12.413476,16.78156,19.803272,20.570463,20.746122,20.87379,21.437386,21.758419,22.104116,22.26477,22.42427,22.42427,22.180206,22.539564,22.884789,22.657131,21.9718,21.175835,20.724247,20.176065,18.709612,15.84409,13.5515,13.551501,16.575644,21.096123,23.806318,23.224882,20.833395,18.1041,15.281989,11.720751,9.72,10.041354,11.592895
2025-11-12 01:02:12+00:00,2025-11-12 00:00:00+00:00,11.726277,16.676977,20.304129,22.406927,21.67487,20.87379,22.218153,18.335276,27.811018,25.318008,24.57511,25.376808,26.562046,27.66384,29.05983,27.492311,26.250393,24.993437,24.464113,21.749483,19.652176,19.083395,16.171976,14.182355,16.595179,17.0763,17.388409,17.462784,21.273533,22.79684,25.161398,28.66468,23.241617,22.608458,20.721119,18.751125,15.517629,14.869351,18.228943,21.647945,23.051247,23.675303,23.313995,26.064596,21.09305,20.46941,16.92383,14.241629,14.799459,15.646544,16.516901,17.193533,18.204042,18.03237,17.727943,16.610792,15.175612,14.81259,13.441071,13.32,12.496719,12.429127,14.372974,15.137133,15.778518,15.778518,16.279802,15.617529,12.57426,8.825508,5.506941,1.484318,2.8116899,4.6102495,6.193674,5.0142193,4.6938257,6.830519,10.703569,12.864649,13.324863,14.408997,15.124284,14.830076,13.202726,13.708391,14.241629,13.556282,10.853866,8.4042845,3.7585104,2.968636,8.225035,9.0,12.413476,15.034041,18.1041,18.584509,18.03237,20.172853,18.64369,17.992796,16.575644,16.299694,17.31746,19.406637,21.566973,22.565422,22.26768,20.87379,21.30093,22.59699,22.077717,21.046917,21.434364,19.443333,17.015474,14.934577,13.854155,13.479583,13.513193,13.746156,14.512064,15.021105,15.03835,15.03835,14.799459,14.291592,14.021525,14.799459,17.654688,21.817902,24.482647,25.264202,25.318008,24.312662,22.553936,19.881649,16.87398,14.081477,10.787993,7.42159,4.1046314,7.2359104,10.703569,10.703569,8.473393,7.208994,8.28,9.72,11.542478,13.627795,15.844089,17.25373,15.629971,13.722565,13.905509,16.311613,19.353138,20.150354,16.58346,11.966954,11.27553,14.154915,18.089775,21.647945,25.562534,29.660152
2025-11-13 01:17:24+00:00,2025-11-13 00:00:00+00:00,5.771239,9.028754,8.766573,12.015589,18.228943,24.86868,17.114204,14.345898,17.298738,19.559633,20.345573,17.462784,16.62249,16.954432,18.448023,21.67487,25.56,27.887802,27.595825,27.09822,26.099379,23.219301,16.92383,16.641972,19.61587,20.12461,20.88,20.674156,19.95972,16.704155,20.570463,18.089775,16.58346,15.379206,15.978486,15.463244,16.24394,16.394829,18.861387,20.380579,20.275385,20.523157,21.218632,20.65848,15.629971,11.480557,6.297428,6.151683,6.849467,7.92,9.028754,9.178235,8.225035,8.209263,7.386582,7.9036193,7.628263,8.4042845,7.10031,5.8603754,7.072878,6.28713,3.319036,4.379589,7.2359104,10.446206,12.6462,14.4,13.358861,13.854155,12.641076,13.493999,18.36353,17.227419,19.022177,19.09358,23.166216,26.282465,25.864943,26.36616,24.464113,23.708124,23.675303,24.703974,25.20257,26.729847,28.227304,29.62518,30.911821,25.603062,21.178896,22.657131,23.770906,23.0653,19.914215,16.870138,13.608762,19.93048,23.269482,17.873556,16.58346,16.58346,17.283749,17.974781,16.854767,16.24394,18.556595,22.728518,25.570139,26.089443,24.798225,25.537172,24.66197,23.042812,18.416384,15.856356,12.7279215,9.9571085,8.311245,7.172949,5.4477882,3.6,6.12,9.255571,10.041354,9.9571085,10.739833,14.003029,18.25026,20.46941,19.64228,16.75064,14.20062,12.594856,10.990322,10.315115,10.966713,12.181625,13.009903,12.429127,10.853866,9.007196,6.162207,3.396233,2.6208394,2.2768397,2.5455842,3.219938,3.7064266,4.1046314,4.8433046,5.904439,6.792466,7.4128532,7.289445,6.638072,6.1305785,5.692099,5.495161,5.315336,5.1919937,5.3517847,5.1165614,4.1046314,3.671294,3.671294,3.671294,3.2599385
2025-11-14 01:02:33+00:00,2025-11-14 00:00:00+00:00,10.1887,10.636766,10.495713,12.181625,14.529915,15.072783,15.484185,19.022177,20.570463,20.570463,19.826164,19.161337,17.31746,13.237039,10.805998,8.714677,9.178235,12.959999,15.629972,15.856356,13.339445,9.531505,4.6938252,4.8965297,8.905908,6.9247384,8.311245,7.8954163,8.373386,3.6,0.8049845,3.2599385,2.6208394,0.8049845,2.968636,8.049845,7.5942073,7.386582,7.0911775,7.208994,6.12,6.439876,10.464797,12.964998,12.783802,11.966954,15.827721,19.083395,22.97522,25.233404,27.66384,26.925497,28.58545,27.859905,25.772078,23.710857,26.36616,26.260265,24.66197,24.20314,22.218153,21.38897,17.771753,17.193533,21.710716,25.537172,24.72495,24.363249,25.812277,24.798225,23.740902,20.633371,18.11841,12.413476,18.25026,18.043148,17.533146,20.275385,19.592731,18.455048,16.595179,16.343367,18.228943,21.829777,24.94413,26.903828,26.727423,28.185955,28.820242,27.475807,25.809765,24.344624,20.288164,16.78156,13.513193,12.229406,11.966954,12.768586,11.885453,11.298495,10.1887,9.983106,8.714677,6.4096174,7.491114,7.6367526,9.290511,12.783802,9.449572,9.793059,9.346143,4.6800003,3.8773184,3.8939953,2.5959969,2.0364676,1.0182338,0.35999998,1.1384199,2.9024127,4.0249224,4.896529,5.815978,6.6087217,7.42159,8.209263,9.021574,9.693296,10.390226,10.853866,10.853866,10.703569,11.119281,11.183201,10.685391,10.315115,10.365251,10.538843,10.799999,10.446206,9.726665,9.0,7.9526596,6.830519,5.991594,6.1094027,6.489992,6.439876,5.2416787,3.6179552,3.219938,3.7064266,4.896529,5.8603754,7.2359104,8.287822,9.028754,8.825508,8.373386,8.209263,7.6367526,6.8777895,6.696387,7.4128532,8.699793,9.693296,10.966713,11.91812
