forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:11+00:00,2025-11-05 00:00:00+00:00,1004.9341,1004.8214,1006.4945,1007.2677,1006.65717,1006.9429,1007.42847,1008.31384,1008.3126,1008.60205,1008.4929,1008.7859,1008.4891,1008.44617,1008.61664,1007.76404,1007.1913,1006.1136,1004.4341,1003.5456,1002.6964,1001.0856,999.3826,997.5897,995.39734,992.23114,988.58215,985.8191,983.4428,981.0538,979.3557,978.1556,980.22797,983.22125,986.4059,989.4815,992.7609,994.975,997.07294,998.6684,1000.4565,1001.646,1002.7319,1003.53766,1004.99774,1006.3509,1007.81274,1008.7878,1009.4568,1010.04645,1011.04224,1011.0311,1011.00836,1010.914,1011.03723,1011.31134,1011.0159,1011.42334,1011.32654,1011.0524,1011.34784,1011.07587,1010.52545,1009.4268,1009.24274,1007.9744,1006.69507,1005.63104,1004.74426,1003.44763,1002.5536,1001.88434,1000.62115,999.81445,998.9122,998.22266,997.4258,996.43915,995.85254,995.0646,994.2745,993.2797,992.9838,992.19257,991.897,992.1047,992.39465,993.13715,993.5514,994.1634,994.8533,995.6625,996.443,997.49615,998.8617,999.8273,1000.4982,1001.1582,1001.8796,1002.9664,1003.4288,1003.649,1004.3371,1005.2205,1005.31506,1006.105,1006.5957,1006.4903,1007.3879,1007.69446,1007.9959,1007.99243,1007.59375,1006.99774,1006.403,1006.0057,1005.6096,1005.1248,1004.6577,1004.1985,1003.33716,1001.96704,1000.2915,998.6128,996.8313,994.9467,993.65283,993.2477,993.33325,993.5117,993.3757,993.3315,993.4002,993.8922,994.695,995.2983,995.4994,995.50037,995.8943,996.97644,998.55054,1000.01904,1001.4764,1002.828,1004.0907,1005.07635,1005.7766,1006.27454,1006.4646,1006.45197,1006.34515,1006.1452,1005.84985,1005.6549,1005.5544,1005.455,1005.2677,1005.0032,1004.65027,1004.1924,1003.42755,1002.45935,1001.77563,1001.57086,1001.55334,1001.6347,1001.819,1002.1025
2025-11-06 01:04:55+00:00,2025-11-06 00:00:00+00:00,996.87085,994.19336,992.3956,990.61127,988.5297,987.03845,986.6364,987.0325,988.3026,990.28125,991.8693,993.9482,995.631,997.35443,998.3716,999.27264,1000.1692,1001.05475,1001.8401,1002.93146,1003.91797,1005.37177,1006.5369,1007.9301,1009.1073,1009.37555,1009.36694,1009.3631,1009.5606,1009.46124,1009.4624,1009.8561,1009.9553,1009.85474,1009.95404,1009.7554,1010.1552,1009.88354,1009.41895,1009.1427,1008.6667,1008.1871,1006.91364,1005.3449,1004.45306,1002.7656,1001.1923,1000.3312,999.9451,999.0522,998.5429,998.04156,997.2442,996.65076,996.25793,995.96423,995.45856,995.7494,995.93994,996.1258,996.5176,997.43945,997.4867,997.8202,998.05396,998.17456,998.8679,999.95624,1000.72406,1001.6781,1002.8461,1004.02435,1004.7013,1005.5765,1006.2662,1006.6481,1007.13666,1007.4368,1008.13007,1008.6255,1008.6255,1009.0206,1008.7226,1008.91754,1009.70526,1009.6068,1010.0979,1010.0966,1008.8039,1008.1193,1007.5268,1006.74396,1006.56555,1006.17255,1006.077,1005.89905,1005.5332,1005.0491,1004.1628,1002.97314,1001.3891,1000.698,998.5148,997.41833,996.42365,994.1341,992.94055,991.84424,992.93243,993.3358,994.02875,994.5255,994.3178,994.0347,994.03,994.92554,996.2171,997.4081,998.49963,999.491,1000.27106,1000.7286,1000.9738,1001.23016,1001.51373,1001.90985,1002.1997,1002.4735,1002.7396,1002.9114,1003.08856,1003.1706,1003.2623,1003.4698,1003.58777,1003.6075,1003.2338,1002.56305,1002.0809,1001.8787,1001.8626,1001.94635,1002.3263,1002.8057,1003.28845,1003.583,1003.7816,1003.8822,1003.9803,1003.9778,1003.9803,1004.0881,1004.3006,1004.41223,1004.5188,1004.52637,1004.33746,1003.9559,1003.2788,1002.50244,1001.5295,1000.3574,999.2767,998.4806,997.7759,997.1658,996.4501,995.7307
2025-11-07 01:02:38+00:00,2025-11-07 00:00:00+00:00,1007.0336,1008.01715,1008.9968,1009.1807,1009.06775,1008.46796,1008.9646,1009.4599,1010.0547,1010.0534,1010.65063,1010.65186,1010.3539,1009.4935,1008.8339,1008.36255,1008.1832,1007.2044,1006.9148,1006.50775,1005.409,1004.4036,1003.2832,1001.9944,1001.5169,999.8771,998.81476,997.7394,996.8523,995.6681,994.87933,994.29004,993.98175,993.3716,993.65936,993.9574,994.74286,994.9705,995.6091,996.24023,996.96045,997.66144,997.86017,1000.819,1001.86865,1003.135,1004.39636,1005.4572,1006.3109,1007.0779,1007.54926,1008.12573,1008.5154,1008.914,1010.0165,1010.30334,1010.63214,1011.0269,1011.0221,1011.179,1011.97363,1012.4274,1011.8834,1011.614,1010.64215,1010.26825,1009.78894,1009.0891,1008.77936,1007.857,1007.4416,1006.8279,1007.13403,1006.6507,1006.4576,1005.76605,1004.97345,1004.2734,1003.18054,1002.1823,1001.2917,999.79694,998.6959,996.70435,995.795,993.0194,993.42737,993.14453,992.68494,991.7942,992.3114,992.41986,993.5834,994.5469,995.03296,995.50543,995.7832,995.9534,996.33887,997.02795,997.5081,997.4983,997.68823,998.36163,998.7417,998.5967,998.5904,998.99023,999.88916,1000.5161,1001.2337,1001.6518,1001.45807,1000.9725,1000.78955,1001.08276,1001.7659,1002.44525,1003.2178,1004.0856,1004.86414,1005.35944,1005.76434,1005.9728,1006.0822,1006.1913,1006.1021,1005.9082,1005.71454,1005.4229,1005.0366,1004.6525,1004.17194,1003.5938,1003.01825,1002.1446,1000.9761,999.5095,998.4295,997.8275,997.51196,997.2982,997.0911,996.98584,996.8784,996.6653,996.4501,996.23956,996.2333,996.23236,996.33167,996.4344,996.5385,996.639,996.827,997.0114,997.0114,996.94073,996.6869,996.3199,995.6338,994.83563,994.22797,994.1062,994.0757,994.24567,994.4199,994.5958
2025-11-08 00:56:55+00:00,2025-11-08 00:00:00+00:00,1001.2393,1000.1667,999.4998,998.71533,998.0397,997.0418,996.0552,995.4578,994.3754,994.1805,993.78516,993.7749,993.9574,994.28876,994.72614,995.0582,995.4644,995.76154,995.5525,996.51447,997.7673,999.60004,1001.0406,1002.3989,1003.8647,1004.53925,1005.11194,1006.1885,1006.87744,1007.67084,1007.9675,1008.3648,1008.5622,1009.3568,1009.65356,1010.1477,1010.9623,1010.87683,1010.59344,1010.89777,1010.98596,1010.6058,1010.0418,1010.4219,1010.3994,1010.4711,1010.7581,1010.5658,1009.6837,1009.20386,1008.02814,1007.7422,1006.6636,1006.17255,1004.583,1004.38434,1002.59265,1001.79224,1001.00433,1000.51575,1000.5146,999.2221,998.7241,997.74445,996.8597,994.7677,993.6862,993.878,993.0982,991.8923,991.10895,991.13293,991.14197,991.12726,991.8625,993.0486,993.62134,994.2681,995.23773,995.63727,996.12085,996.70245,997.1882,997.8747,998.26105,998.2576,997.97406,997.8023,997.19916,996.4891,995.79254,995.508,995.8034,995.8796,996.4437,996.9257,997.6085,998.4961,999.0896,999.19885,999.6024,999.7898,1000.3895,1000.39954,1000.4864,1000.1658,1000.074,999.688,999.688,999.33765,998.78595,998.0225,996.9493,995.6731,994.56616,993.9654,993.5575,993.2498,993.14197,993.1348,993.1299,993.03186,992.9387,992.8394,992.73035,992.71576,992.7086,992.9119,993.1214,993.5272,994.01917,994.608,995.0125,995.3476,995.4994,995.441,994.96643,994.3828,993.9833,994.15894,994.7175,995.1802,995.6494,996.0227,996.402,996.5908,996.68524,996.7786,996.8683,996.85693,996.9491,997.14905,997.45044,997.7484,998.03046,998.2069,998.4031,998.6352,998.88525,998.92633,998.6511,998.366,998.1664,998.43933,998.89746,999.3574,999.7303,1000.00726
2025-11-09 01:02:48+00:00,2025-11-09 00:00:00+00:00,1003.73694,1005.3958,1005.8634,1006.2403,1006.7208,1007.50055,1007.88684,1008.8728,1009.7667,1009.763,1010.25836,1011.05554,1011.25793,1011.9904,1012.1964,1012.0272,1011.85175,1011.55975,1011.10364,1010.62024,1010.3162,1009.9058,1009.48096,1009.66125,1009.8418,1009.2591,1007.6891,1006.613,1005.82556,1004.5496,1003.2736,1002.3852,1001.4995,1000.617,1000.01843,999.2275,999.91815,999.42236,998.93854,998.9454,998.85675,998.07904,996.52014,995.3579,994.8531,994.85095,995.1477,995.06323,994.3773,994.1854,993.57904,992.87897,992.6824,992.9736,991.9708,991.3412,990.89557,990.7913,990.0757,990.0602,990.9423,991.1323,990.6202,990.5438,990.1126,989.51666,989.2234,989.94653,990.722,991.588,992.3579,992.94025,993.32623,993.61804,994.0116,994.5107,994.91046,996.10236,997.39355,998.39435,999.19385,1000.3958,1000.6925,1001.18164,1001.57007,1001.615,1001.3745,1000.72876,999.57465,998.3957,997.41974,996.9266,996.6063,996.1745,996.04297,996.00085,995.893,995.78876,995.88086,995.5963,995.40735,995.2959,995.5926,995.85284,995.839,995.93616,996.1861,996.2377,996.73926,996.99915,997.1501,997.08984,996.7125,996.23456,995.9271,996.0042,996.36633,996.83044,997.3043,997.8809,998.35913,998.5396,998.6227,998.7123,998.8103,998.8141,998.9169,999.0152,999.1109,999.312,999.6197,1000.0317,1000.3469,1000.5679,1000.5933,1000.61505,1000.4367,1000.1553,1000.16254,1000.55054,1001.12604,1001.7017,1002.07825,1002.4552,1002.7347,1002.7224,1002.7135,1002.6071,1002.5982,1002.59094,1002.68524,1002.7859,1002.8899,1003.0911,1003.285,1003.4761,1003.681,1003.80994,1003.8506,1003.8846,1003.7077,1003.52466,1003.52563,1003.80225,1004.1622,1004.6292,1005.212,1005.8016
2025-11-10 01:06:12+00:00,2025-11-10 00:00:00+00:00,1010.113,1008.83136,1008.9539,1007.4856,1006.03625,1003.18243,1002.2931,1001.91895,1001.34143,1001.3496,1000.4623,999.0691,999.2507,998.55176,998.45245,997.65765,996.4642,995.4788,995.1123,993.8285,993.6161,993.4118,992.5039,992.19446,992.09155,991.9833,991.86304,992.0826,991.7982,991.51166,991.39276,991.358,991.42584,991.7099,992.5046,993.28876,994.0691,994.04755,993.5437,992.3707,992.67456,992.6759,992.55634,990.34143,990.8405,991.3021,991.7729,992.5566,993.0458,993.33374,993.5337,993.931,994.8223,995.8218,996.6252,997.6247,998.4278,998.92444,999.22107,999.6121,1000.00476,999.8343,999.49097,998.9288,997.9626,996.6975,995.90967,995.40234,995.3917,995.3548,995.6145,995.606,995.58044,995.5585,995.74725,995.6382,995.72876,996.02673,996.445,997.04724,997.2505,997.64325,998.1201,998.72327,999.5388,1000.17914,1000.31323,1000.6366,1000.16724,999.6812,999.7759,999.9673,1000.55054,1000.9919,1002.0613,1002.55334,1003.0534,1003.5501,1003.9486,1004.3302,1004.638,1004.8366,1005.08136,1005.5607,1006.0485,1006.4407,1006.5312,1007.0215,1007.9217,1008.2785,1008.5315,1008.5581,1008.18384,1007.691,1007.2958,1007.28033,1007.45087,1007.71857,1008.0824,1008.4436,1008.61444,1008.5025,1008.3,1008.0988,1007.9957,1007.99445,1007.89386,1007.7933,1007.6939,1007.6939,1007.8901,1008.0874,1008.2006,1008.14435,1008.1023,1007.8495,1007.3806,1006.7045,1006.3109,1006.4939,1006.8621,1007.22656,1007.48755,1007.6452,1007.61487,1007.2061,1006.6091,1006.0131,1005.51404,1005.11414,1004.71564,1004.4164,1004.11725,1004.01666,1004.0128,1004.2074,1004.3159,1004.54724,1004.69293,1004.731,1004.3608,1003.78394,1003.491,1003.6727,1004.037,1004.6034,1005.27625,1006.1503
2025-11-11 01:00:47+00:00,2025-11-11 00:00:00+00:00,988.9022,987.00073,986.898,986.2004,987.10004,987.7772,987.935,989.18726,989.55695,990.13257,990.02106,990.51056,990.8194,990.542,990.7561,989.2829,988.1939,988.97894,990.52637,990.12164,990.3165,990.7977,990.4898,990.28864,991.18005,991.3703,991.35913,991.67206,992.268,992.85645,993.5443,994.83044,996.11926,996.9238,997.7234,998.4162,999.11395,999.22675,999.2528,999.1814,998.90656,998.4145,997.61865,996.56256,996.74817,996.7277,996.82117,996.81146,996.8717,996.95386,996.85944,996.85236,997.0619,997.15625,997.55475,997.8405,998.2341,998.439,998.737,999.1356,999.637,999.876,999.8204,999.7593,999.3819,998.9917,999.0827,999.266,999.44336,999.5104,999.89667,1000.17914,1000.5494,1000.8424,1000.84143,1000.82166,1000.7994,1000.7893,1001.18164,1001.3765,1001.46954,1001.7776,1001.9686,1002.1572,1002.6639,1003.11847,1003.0657,1003.1031,1002.6294,1002.13617,1001.9268,1002.3288,1002.8029,1003.3491,1004.1104,1004.3912,1004.7749,1004.7585,1004.7648,1004.56744,1004.55237,1004.74713,1005.04517,1004.9508,1004.8427,1005.03125,1005.02747,1005.22235,1005.72015,1005.9617,1006.1021,1006.1339,1005.75494,1005.26685,1005.0706,1005.3503,1006.015,1006.5852,1007.16345,1007.84515,1008.23096,1008.22095,1007.91534,1007.81104,1008.0071,1008.20447,1008.5,1008.6934,1008.9864,1009.0832,1009.0832,1008.9851,1008.8997,1008.7327,1008.5752,1008.21643,1007.5565,1006.7931,1006.0082,1005.4787,1004.9262,1004.488,1003.9837,1003.5953,1003.00934,1002.222,1001.3368,1000.4501,999.46173,998.4707,997.3805,996.2892,995.2959,994.3038,993.4148,992.52673,991.8363,991.24036,990.7437,990.25055,989.76935,989.39343,989.2055,989.39716,989.77765,990.2568,990.7363,991.4148
2025-11-12 01:02:19+00:00,2025-11-12 00:00:00+00:00,991.26105,991.35657,992.2356,992.42554,993.60004,993.9922,995.1978,996.098,997.2961,997.60034,997.8252,998.53394,998.7377,998.85675,999.0883,998.71136,998.22095,997.2213,995.8234,995.4333,995.4357,995.1268,995.29645,995.08344,995.47455,995.46954,995.26746,995.3655,995.4624,995.46954,995.37396,995.57513,995.7725,995.8706,996.36975,996.96326,997.65137,997.8743,998.0996,998.61694,998.6327,998.4458,998.0498,999.55457,999.93756,1000.19946,1000.77985,1001.3625,1001.95355,1002.3619,1002.4527,1002.4464,1002.6256,1002.7076,1002.8826,1002.96564,1003.1555,1003.3479,1003.4421,1003.73126,1004.1323,1004.1912,1003.9461,1003.78394,1002.92017,1002.2403,1001.9413,1001.92334,1002.1984,1002.36554,1002.94055,1002.82043,1002.8044,1002.68396,1002.3772,1001.68195,1001.3765,1001.27203,1001.2846,1001.2064,1001.0911,1000.77423,1000.3719,1000.07526,999.7848,999.42487,998.868,998.51324,997.64465,996.4619,995.9665,995.56445,995.635,995.5939,995.458,994.9217,995.00977,994.898,994.68933,993.89233,993.4975,992.8073,992.2263,991.7297,991.04443,990.6521,989.66504,988.998,987.7865,986.9932,986.20575,985.32043,984.1418,982.84796,981.95654,981.6622,981.76526,981.9663,982.26434,982.7598,983.1571,983.26117,983.3678,983.4684,983.75684,984.0391,984.4227,984.7146,985.10846,985.5008,986.0869,986.6717,987.36816,987.98645,988.7158,989.24036,989.55524,989.8653,990.36194,991.3385,992.70105,994.06366,995.52515,996.98505,998.25476,999.14087,999.8361,1000.4333,1001.02795,1001.62384,1002.2197,1002.8157,1003.31226,1003.7095,1004.00116,1004.0942,1004.3029,1004.64276,1004.9001,1005.04504,1004.77386,1004.19366,1003.79724,1003.57684,1003.54034,1003.5073,1003.68353,1003.8634
2025-11-13 01:17:30+00:00,2025-11-13 00:00:00+00:00,996.664,995.85834,996.5512,996.2582,996.7499,996.25323,996.2629,996.56714,996.6702,996.9707,997.26624,997.4649,997.7566,997.9784,998.20026,998.42053,998.5415,998.65515,998.6399,999.03217,999.52545,999.8112,1000.29346,1000.6895,1001.3754,1001.6722,1001.6722,1002.0708,1002.16766,1002.2632,1002.3552,1002.7463,1003.237,1003.63434,1004.02783,1004.32104,1004.8127,1004.8127,1004.4214,1004.3381,1003.95184,1003.3741,1002.8811,1003.2327,1003.51495,1003.761,1004.40344,1004.586,1004.76605,1004.458,1004.24805,1003.64325,1003.2459,1003.05493,1003.1643,1003.2472,1002.8349,1002.74054,1002.0604,1001.9837,1002.18365,1001.91895,1001.3613,1000.8998,1000.1302,998.9551,998.17096,997.873,997.25916,997.0863,996.7442,996.1323,995.62695,994.64716,993.6664,992.9807,992.0833,990.4928,989.32886,987.83765,985.93085,983.79504,982.43054,981.3483,980.5595,980.35754,979.75183,979.4518,979.2611,978.6908,978.43243,979.00635,980.0769,981.03033,981.9917,982.7707,983.45624,983.9431,984.52954,985.0126,985.4014,985.70074,986.4867,986.8826,987.3793,987.87225,988.0672,988.7636,989.25775,989.88696,990.1269,990.253,990.0698,990.37494,990.66956,991.4487,992.41644,993.4885,994.46936,995.45294,996.2413,996.83356,997.42957,997.9262,998.5221,999.1181,999.71405,1000.3074,1000.80054,1001.49207,1002.2767,1003.1605,1003.96136,1004.69165,1005.4361,1006.07245,1006.4964,1006.8124,1007.2119,1007.8846,1008.7388,1009.59576,1010.3644,1011.03723,1011.6168,1012.10724,1012.5046,1012.8037,1012.903,1013.0024,1013.1017,1013.3971,1013.6912,1013.98676,1014.1803,1014.3751,1014.4847,1014.7211,1014.87164,1014.81396,1014.441,1013.8607,1013.364,1013.2416,1013.2037,1013.2686,1013.34424,1013.4247
2025-11-14 01:02:41+00:00,2025-11-14 00:00:00+00:00,1002.9364,1002.923,1003.3104,1003.5066,1003.1093,1003.1093,1003.4073,1004.1001,1004.2987,1004.79535,1005.2895,1005.98596,1006.2803,1006.21814,1006.1555,1005.9823,1005.5945,1005.3036,1004.39764,1004.39886,1004.68964,1004.53424,1004.82495,1004.8165,1005.20496,1004.9965,1004.1956,1004.2987,1003.9957,1003.6951,1003.29913,1002.90186,1002.4027,1001.8054,1001.6068,1001.4047,1001.5971,1001.0062,1000.11945,999.3373,998.46655,997.3946,996.51654,996.3711,995.7607,995.1843,994.84576,994.53687,993.3559,992.6744,992.164,990.2684,989.1056,988.4227,986.8115,985.1255,983.4465,981.87537,980.3018,979.70825,979.2999,979.6963,979.5095,979.83716,979.4868,979.00635,979.39905,979.7906,980.1705,980.82214,981.68384,982.5623,983.1364,983.8111,984.30396,984.5002,984.9893,985.18066,985.57416,985.9702,986.365,986.7586,987.0479,987.44147,988.0473,988.4756,988.60895,988.9327,989.05255,988.97,989.16864,989.7526,990.5292,991.5914,992.66815,993.55457,994.44,995.22833,995.8243,996.5134,997.3067,997.70404,998.5942,999.473,1000.36316,1001.1602,1001.7561,1002.3446,1003.04614,1003.50104,1003.8565,1004.0918,1004.11096,1004.1169,1004.2271,1004.60895,1005.0766,1005.64453,1006.1157,1006.58734,1007.06415,1007.45154,1007.7445,1008.04004,1008.3367,1008.6359,1008.93506,1009.23303,1009.52985,1009.8278,1010.22125,1010.71405,1011.12024,1011.4522,1011.79584,1011.93207,1011.754,1011.468,1011.36743,1011.44617,1011.71014,1012.0755,1012.54486,1013.1169,1013.4952,1013.6849,1013.8823,1013.8823,1013.8823,1013.78424,1013.6849,1013.5856,1013.58435,1013.6824,1013.974,1014.4656,1014.7736,1014.9134,1014.96844,1014.8128,1014.34155,1013.6621,1013.1654,1013.13995,1013.29694,1013.5578,1014.0309,1014.7086
