forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:12+00:00,2025-11-05 00:00:00+00:00,-0.8671942,-0.67849976,-0.7146959,-1.5104375,-2.1053743,-2.5900729,-3.1427891,-2.8989482,-2.724575,-2.7034497,-2.7823439,-2.8801303,-2.276178,-0.91316205,-0.2874109,-0.15056923,-0.30704448,-0.82957304,-0.9670428,-0.34957454,-1.1961739,-0.66394997,1.4982501,1.7226685,2.3242362,2.7874277,3.381887,5.278101,6.3702064,6.523973,6.777313,6.5283294,2.9742904,1.5547533,1.2567085,1.0312071,0.37203568,0.6926202,1.0169777,1.2017562,1.1132683,-0.4938387,-0.99738336,-1.634387,-2.322806,-3.2889805,-3.6535528,-3.601302,-3.699927,-3.5801702,-3.5619853,-3.7485344,-4.0435157,-4.432991,-4.648415,-4.8384976,-4.805573,-5.0206156,-5.2626624,-6.0477767,-6.0031004,-5.9728,-5.292524,-4.963005,-3.5110447,-2.350933,-2.1548316,-2.1433275,-1.207537,0.0034262151,0.8165621,1.5150584,3.5847242,5.5771465,6.857025,7.0057554,6.947089,7.1619606,7.5652084,7.856904,8.111909,8.303644,8.310707,8.515,8.56854,8.369252,8.564761,9.335796,9.65109,9.790593,9.590406,9.971081,9.846502,9.205288,8.509504,6.9495473,6.0341854,4.947593,4.1079125,3.287225,3.461334,2.0893679,1.800507,2.112743,1.0989892,0.51602376,1.0011013,1.332599,1.2344444,0.92266643,0.49033597,0.5109821,0.6083194,0.88024306,0.9552958,0.80887353,0.8326903,1.1479326,2.346148,4.025563,5.6268487,7.4700174,9.254987,10.586899,11.182506,11.391961,11.391961,11.600065,11.707208,11.557752,11.202002,10.42639,9.2936125,7.220528,4.5982237,2.411948,0.6950723,-1.0737646,-2.659065,-3.806959,-4.309913,-4.9257426,-5.67196,-6.278384,-6.5990286,-6.6952744,-6.5910997,-6.5223265,-6.7805705,-7.0544147,-7.2927365,-7.1511517,-6.7238307,-6.531627,-6.531627,-6.579678,-6.478497,-6.3045382,-6.278384,-5.8938403,-4.8205957,-3.1771054,-2.2779932,-2.5923595,-3.459093,-4.0202856,-3.9362216,-3.5319877
2025-11-06 01:04:55+00:00,2025-11-06 00:00:00+00:00,3.567042,3.1718767,3.150781,3.9218516,4.684973,4.8848424,4.6352687,4.434177,2.7900033,2.2947721,2.195725,1.2033616,0.42084533,0.8990732,1.2577027,0.894393,0.21127269,0.04995578,-1.4558158,-1.3948717,-1.6344739,-2.1612957,-2.3121796,-3.3126965,-2.9960396,-2.8453557,-2.9196007,-2.187964,-2.947576,-3.4543786,-3.502999,-3.3322387,-4.1577487,-3.8699162,-3.918468,-3.6730723,-3.3584237,-3.6149766,-3.9067519,-3.8857965,-3.2044709,-2.7185361,-1.896848,-2.9471574,-1.7232282,-0.16031499,0.46153337,1.8711364,4.859091,5.639667,6.0450025,6.4597554,6.312785,6.556553,7.0069137,7.1548796,7.5295057,7.36765,7.36765,7.133904,6.9137635,7.1548796,7.4322033,7.3864255,7.1343384,7.087094,6.5057197,6.971421,7.128298,6.532099,5.3427234,4.3780427,3.5540419,2.776453,2.3984349,2.4853797,2.3883522,1.3869764,1.2065156,1.535146,1.9868863,1.7439384,0.85792226,0.47844997,0.66441786,1.4433525,2.1493244,2.309825,2.490947,3.0351388,3.140948,4.1741223,4.928123,6.467005,8.154732,8.819972,9.614777,9.652572,9.652572,9.908278,10.4617195,11.014726,11.413768,11.613287,11.7171335,11.417493,11.367553,11.417493,11.317614,11.317614,11.317614,11.417493,11.467434,11.367553,11.167791,11.017971,10.818209,10.515922,10.362081,10.30635,10.099851,9.571227,8.930373,7.905347,6.349515,4.5128636,2.9897218,2.094201,1.3339949,0.6838201,-0.18981795,-1.3231816,-2.2636864,-3.420418,-4.8487005,-6.197583,-6.457335,-6.129407,-5.803396,-5.903864,-6.244709,-6.5910997,-7.0633283,-7.5356107,-7.652632,-7.2820926,-6.385005,-5.9038744,-5.7148333,-5.576297,-5.5281773,-5.1992645,-5.006497,-4.5825877,-4.1601653,-3.513508,-3.1099365,-2.8341033,-2.731818,-2.7680702,-2.2881296,-1.8173732,-1.4945236,-1.397243,-1.5104584,-1.680568,-1.4944425,-1.319295
2025-11-07 01:02:38+00:00,2025-11-07 00:00:00+00:00,-3.1186585,-2.8171124,-3.462155,-3.5667198,-3.7227478,-3.6757138,-3.8213654,-3.4358473,-3.8433473,-4.238276,-3.8919697,-3.8678405,-3.8919697,-3.791008,-4.0752673,-4.487096,-4.864704,-5.049496,-3.9826546,-3.0834618,-2.082818,0.058984905,0.20166625,0.02386284,-0.006145124,1.0288914,2.5456765,5.3323526,6.2042017,6.762768,7.4330792,7.828676,7.9770217,8.07592,7.320734,5.694209,6.0071645,8.396365,8.813478,8.9291525,8.107827,7.2113795,6.6606154,6.425575,4.811495,3.235064,2.3095367,1.1993567,0.09201613,-0.32887265,-0.58482414,-0.9568309,-1.5136427,-1.7890542,-1.6752435,-1.600567,-1.6720061,-1.8696394,-2.3615766,-2.9318035,-3.0485501,-3.0791676,-3.130109,-2.7073915,-1.9201825,-1.3403034,-0.70844537,0.18903033,1.4949108,1.3433163,1.4191928,1.9567915,2.950329,3.7830567,4.1301336,4.1246037,4.273163,4.779196,5.4280376,7.2736406,7.9719872,8.470803,9.5696945,11.264126,12.211846,12.96004,13.009915,13.558589,6.57566,6.857025,6.6548023,7.14604,6.4846826,4.5914135,3.5540419,2.309825,2.1479025,1.2481323,0.88156706,0.4905491,-0.26775163,-1.1053908,-2.0820718,-4.03651,-5.054242,-5.8884277,-6.5899653,-6.4168496,-6.4322767,-7.044652,-8.10603,-9.783895,-10.416961,-10.096412,-11.423472,-10.412424,-9.22927,-8.258249,-7.6343265,-7.062892,-6.724654,-6.6700716,-6.71937,-6.3943806,-5.2588854,-4.024245,-3.1109457,-2.8732815,-3.2313485,-3.5648599,-3.8881648,-4.395606,-4.2092934,-3.1122937,-1.8827266,-0.9115545,-0.7462363,-1.1568012,-1.4985791,-1.3664725,-1.2115675,-0.9044746,-0.7662433,-0.5229954,-0.4113914,0.04042004,0.49826095,0.919124,1.045256,1.0558807,1.0539516,1.3987575,1.6504449,1.8989813,1.8466613,1.6928688,1.6007377,1.446621,1.1546578,0.4327469,-0.7931035,-2.151063,-2.9326348,-2.73196,-2.335209,-2.303324,-2.6962779,-3.265128
2025-11-08 00:56:55+00:00,2025-11-08 00:00:00+00:00,-2.0084383,-0.5627701,1.4642366,3.6058404,5.207716,6.22021,6.5098844,6.952004,7.354631,7.8478355,8.396365,8.286425,8.07592,8.636935,8.960419,9.407892,8.364879,7.226057,7.2450113,5.646739,4.449888,2.3126156,0.14964466,-0.67849976,-0.7745367,-1.4623111,-2.3423147,-2.7657704,-3.0105746,-3.0595357,-3.045497,-2.8862634,-2.8862634,-2.8862634,-2.630371,-2.9474418,-3.0105746,-3.252723,-2.52672,-2.16744,-2.3530393,-1.9744588,-1.8242592,-3.1624978,-1.8800346,-1.6944411,-1.3009249,-0.92247385,-0.17040654,-0.037697606,0.059358656,0.28610596,1.1479326,2.408366,3.4247956,4.431695,5.080116,5.3749022,5.5734687,6.173575,6.6208906,7.7215724,8.371039,8.969616,9.419872,9.469812,8.970404,9.16639,8.820581,8.470995,8.620817,8.970404,10.718328,11.014726,10.661,10.765324,8.32069,5.906183,5.8654566,4.075083,1.1517608,0.7266174,0.04042004,-0.6458165,-1.2505499,-2.7227337,-3.0730376,-2.3527536,-2.493761,-2.9883523,-3.3342185,-2.5973897,-3.5274932,-2.1652155,-6.1611304,-6.863294,-7.0053434,-6.863294,-8.12427,-8.516987,-8.173191,-7.9161983,-7.9636083,-8.200669,-7.899498,-7.567038,-7.22029,-7.1618037,-7.315437,-7.140201,-6.9883366,-5.5917573,-4.028482,-3.4211771,-3.0143168,-0.9044746,1.0500455,1.7995672,1.1499199,-0.0849468,-1.0343541,-1.2317303,-0.9280009,-0.77835095,-0.63013655,-0.4336787,-0.38760954,-0.7852903,-1.3321077,-1.6303748,-1.6800861,-1.6253033,-1.2248131,-0.53594095,-0.19869156,-0.12708512,-0.23185138,0.0019783736,0.25207973,0.81269634,1.3029575,1.6385683,1.7414749,1.679353,1.495819,1.1037023,0.60843855,0.11316519,-0.086129226,-0.15072197,-0.21891832,-0.3188044,-0.3188044,-0.5082388,-0.6804999,-1.2305001,-1.4061848,-2.2635267,-3.7183113,-5.7725873,-7.2664824,-7.7953973,-7.8404937,-6.75446,-5.1463604,-4.5890617,-4.8007426,-5.1510715
2025-11-09 01:02:49+00:00,2025-11-09 00:00:00+00:00,-0.8600027,-1.8698167,-2.3212626,-2.7354884,-2.9681926,-2.7823439,-2.4829001,-2.4829001,-2.3758423,-2.532057,-2.7023063,-3.173496,-2.6898925,-1.9445112,-2.0142508,-2.189583,-1.412536,-1.1881719,-0.9020909,-0.052541282,0.34193984,0.5315254,0.41620427,0.009902876,-0.1118605,-0.9717763,-1.6293637,-0.7414023,1.2947315,2.6359136,3.7855356,5.0184245,5.1738186,5.2729793,5.56312,6.701991,7.6031566,8.206851,9.207773,10.314753,11.719632,12.746964,11.941097,11.467434,11.617256,11.067911,11.167791,10.968031,11.067911,11.217731,11.417493,11.563407,11.159196,9.472851,7.718825,7.94771,7.7079883,6.0741706,1.9260339,1.5707514,0.673072,-0.48705846,-1.008322,-1.6544416,-0.86733687,-0.8961849,0.3120615,0.46001288,-1.3388921,-2.9451644,-5.6200695,-6.382712,-7.1031737,-7.532617,-7.7813716,-7.696047,-7.8045073,-8.200669,-8.485162,-8.88315,-9.762266,-9.378036,-8.219436,-7.638387,-7.352431,-6.8009458,-6.5510345,-5.6383004,-5.0617046,-4.913085,-4.848039,-4.2362022,-2.7812903,-2.8003368,-2.447084,-1.5341662,-1.0869888,-0.98894906,-1.0379689,-1.1705755,-1.3669817,-1.4846586,-1.3619432,-1.4853472,-1.4039544,-1.4266964,-0.99779356,-1.755388,-1.6556156,-0.6889507,-0.39430153,-0.14121307,0.53182423,0.23953824,-0.7157475,-0.42770916,0.14032121,0.17029458,-0.24078387,-0.90052265,-1.512232,-1.9011122,-2.1927836,-2.435851,-2.7557397,-2.8042848,-3.0287514,-3.1741748,-3.1926537,-3.2897487,-3.1650946,-3.1650946,-3.047013,-2.941833,-2.5471866,-2.350933,-1.9189768,-1.207537,-0.707285,-0.45968103,-0.23734558,-0.3999467,-0.9321869,-1.7356522,-2.2180984,-2.1562662,-2.0688324,-2.002527,-2.3447592,-2.6870027,-3.0964966,-3.2918046,-3.4382885,-3.5359454,-3.7312624,-4.0435157,-4.2607636,-4.1328845,-4.3144865,-4.254856,-4.1156554,-3.6940992,-3.301377,-3.2258394,-3.4692886,-3.459408,-3.3035457,-3.310951
2025-11-10 01:06:12+00:00,2025-11-10 00:00:00+00:00,-0.24606541,0.045539524,0.9741291,2.1152062,3.488038,3.978519,3.5294924,4.325159,5.2958026,6.0484347,6.701991,7.136377,7.900613,9.00898,10.219133,10.264932,10.897485,11.284254,10.215112,10.308838,10.019609,9.716909,9.655056,10.152032,10.25908,10.4642105,10.122,9.168881,8.633005,8.781539,8.831049,8.633005,8.3854475,6.4175053,4.726367,1.7111801,1.6785882,2.3827617,2.542403,1.9893161,1.3924512,1.1022142,-0.43589303,-0.87812644,-0.9758959,-1.1753441,-3.835997,-4.964163,-5.668944,-6.6099586,-6.6934114,-6.863294,-6.8153305,-7.3047748,-7.838784,-7.9339433,-8.342913,-7.9469943,-7.1065397,-6.6718845,-6.104151,-5.525327,-5.568727,-5.2659755,-4.830597,-4.221846,-3.7147686,-3.4905276,-1.8246641,-2.1314714,-1.8748348,-1.493678,-2.002527,-2.3125517,-2.5450711,-2.9277747,-3.0615249,-3.25496,-3.3043098,-3.160098,-3.0850914,-2.9640613,-2.888718,-2.9689627,-2.8396251,-2.4955544,-2.1636918,-1.3193927,-0.6184103,-0.16142312,-0.8281481,-0.82769144,-1.6818179,-2.065288,-2.398542,-1.968638,-1.5333381,-0.094284,0.09038766,0.16329537,-0.34355408,0.061344776,0.11246883,-0.18877052,-1.3818185,-2.9311793,-3.4786682,-3.6777565,-3.512127,-3.1886055,-3.843805,-4.7760806,-4.9134564,-5.0979176,-5.0617046,-4.785845,-4.341486,-4.0843816,-3.6104627,-3.1950328,-3.1048915,-3.2585325,-3.5617816,-3.7680173,-4.066302,-4.455577,-4.604545,-4.753514,-4.662877,-4.662877,-4.6732097,-4.722982,-4.691484,-4.774985,-5.3652997,-6.4677644,-7.0405803,-6.9482656,-6.5120273,-6.1524205,-5.5917573,-5.208078,-4.93733,-4.9461417,-4.8239093,-4.8182783,-4.922676,-4.937992,-4.8835754,-4.834222,-4.8835754,-5.2302685,-5.7300673,-6.0801544,-6.473,-6.6642895,-6.8816285,-7.0125084,-7.3473086,-7.733425,-8.127344,-8.1530695,-7.9706783,-7.671609,-7.393947,-7.4160357,-7.3452334,-7.1644425
2025-11-11 01:00:48+00:00,2025-11-11 00:00:00+00:00,8.119404,8.223889,8.423416,8.859883,11.055216,7.9957952,6.15732,5.7191973,3.814017,2.065935,1.0404347,0.094969705,-0.3904289,-0.31132415,-0.22938664,0.14273676,0.15029313,0.09795214,-0.8620463,0.8924194,0.7099686,-1.3786615,-3.1902263,-3.918468,-4.3176565,-4.141313,-5.52026,-4.1194663,-3.793983,-5.5112576,-6.0929728,-6.2391806,-6.430426,-6.770001,-6.478239,-6.478239,-5.7124305,-5.183977,-4.4154015,-4.1777325,-3.5251083,-2.6068354,-1.2462782,-2.5662029,-1.1283332,-1.2644461,-1.3056492,-1.1823862,-1.1478367,-1.4784535,-1.7308455,-1.9068947,-1.8578054,-2.0050735,-2.1412659,-2.0829823,-2.2679906,-2.462411,-3.0105603,-3.1645463,-3.060155,-2.2469773,-1.634001,-1.2084568,-1.2587255,-1.2115675,-0.5230586,1.6200243,2.490083,2.085785,1.7365931,1.4871696,1.2377455,1.2377455,0.9508493,0.68901074,0.40340108,0.104790606,0.14027305,0.098414876,-0.5367394,-0.88053304,-0.5919738,-0.7852903,-1.9357599,-1.379764,-1.2156976,-1.26067,-1.3967813,-1.9058299,-1.3488526,-1.3563766,-1.7285788,-2.0338373,-1.7745261,-1.9190481,-2.8786163,-3.5176845,-3.4030101,-3.3135245,-3.6651657,-4.0584574,-4.3615913,-4.726799,-4.9852066,-5.342772,-5.7503657,-6.325874,-6.7621665,-7.0053434,-7.5644526,-7.74701,-7.62556,-7.3004575,-7.024885,-6.4925003,-5.9772854,-5.8655157,-5.6667895,-5.403116,-5.2399178,-5.113422,-4.8434296,-4.721023,-4.677452,-4.789595,-4.911153,-5.0417337,-5.1809754,-5.327769,-5.475836,-5.575321,-5.6467066,-5.5498195,-5.7323346,-6.176252,-6.5604663,-6.6201477,-6.2175117,-5.4387493,-4.3887696,-3.2663093,-1.8254219,-0.23545441,0.7299974,0.8695,0.9297686,1.038206,1.3375154,1.6867086,2.1356695,2.7342808,3.432657,3.8317258,3.781843,3.5767195,3.1272395,2.6278162,1.8862468,1.437285,1.2377455,1.1878608,1.1878608,1.3375154,1.5370543,1.6867086,1.6867086,1.4935645
2025-11-12 01:02:19+00:00,2025-11-12 00:00:00+00:00,-3.57569,-3.4022722,-3.5335042,-4.4628873,-5.232016,-6.1017637,-6.2926803,-6.1972213,-6.0001326,-5.424177,-4.737792,-4.737792,-4.7249665,-4.0342636,-3.0241942,-2.7481606,-1.7296782,-0.5715152,0.63962615,0.5672728,-0.13232829,-0.58628356,-0.38275975,-0.6934819,-1.0766474,-1.274275,-1.2223396,-1.2248678,-1.4224967,-1.8214046,-1.5213119,-1.7227131,-1.8214046,-1.6180952,-1.4211102,-1.4211102,-0.8325152,-0.18152699,0.22045276,0.41607746,0.23934676,0.24193804,0.0019590585,-1.5054299,-0.78223455,-0.9112539,-1.1225512,-1.0598888,-1.0791178,-0.58262956,-0.26886138,-0.10915408,-0.35003197,-1.4061848,-2.592309,-3.1714547,-2.592309,-2.8316364,-3.5005026,-3.7978158,-4.0026712,-3.9013355,-4.3385215,-3.9355314,-4.077519,-3.4757679,-3.6065476,-3.348649,-3.0651174,-3.3184872,-3.851585,-4.03651,-4.2930136,-4.5621295,-4.357872,-4.7255335,-5.113422,-5.113422,-4.9978437,-5.0127916,-5.2073097,-5.33117,-5.6233773,-5.6720796,-5.863195,-5.7148333,-5.949432,-5.8510365,-5.8013687,-5.646211,-5.462157,-4.449182,-4.352193,-5.025115,-6.0201893,-6.7122564,-6.9235296,-6.7238307,-6.886237,-6.8830895,-6.6663356,-6.7149734,-7.004659,-7.1410384,-7.4960713,-7.6411476,-7.786225,-7.686048,-7.652632,-7.8649344,-6.785292,-2.0661514,-1.2280905,-0.729317,-0.38760954,-0.094284,0.24004382,0.13068268,-0.4805,-1.5304999,-2.2166495,-2.1936765,-1.7297975,-1.5708358,-1.823872,-2.348706,-2.8171787,-3.3715222,-3.958288,-4.4472847,-4.8384976,-5.245097,-5.33117,-5.306578,-5.101961,-5.0803385,-4.681282,-4.3486886,-4.0701385,-4.1996374,-4.5293703,-4.9942255,-5.25831,-5.2318964,-5.408971,-5.597668,-5.9718347,-6.119223,-6.2180614,-6.069804,-6.0681157,-6.117473,-6.216188,-6.2655463,-6.36632,-6.4196568,-6.413338,-6.0617065,-6.056423,-6.316791,-6.213788,-5.865268,-5.312514,-4.6427574,-4.03651,-3.9328103,-4.162435,-4.4472847
2025-11-13 01:17:30+00:00,2025-11-13 00:00:00+00:00,-4.655571,-3.648861,-3.1428816,-2.8636913,-2.71681,-2.457176,-2.7023063,-2.8636913,-2.8147306,-2.8312373,-2.4444337,-1.8707505,-1.5191556,-0.9977265,-0.6770454,-0.8620463,-1.1324927,-0.8731989,2.1500013,2.0005038,1.9519295,1.8517597,1.9444908,1.5547533,1.1575345,1.1575725,0.86001027,0.75818706,-0.2367522,-1.2540392,-1.7080841,-1.4759864,-1.9694431,-2.221213,-3.0757065,-3.5047023,-3.624381,-4.178587,-4.327105,-4.0881453,-4.0498753,-4.4312544,-4.4787145,-5.0979176,-4.785845,-4.398543,-3.955193,-4.305172,-4.2860894,-4.3900404,-4.2426248,-4.1926303,-4.290804,-4.579895,-5.165125,-5.6233773,-6.3002768,-6.325874,-5.915594,-5.7503657,-5.889258,-5.6643796,-6.0562105,-6.699526,-7.2233768,-7.480762,-7.70521,-7.027373,-6.336522,-6.244709,-6.0093865,-5.7922735,-5.839523,-5.847909,-5.847909,-5.814632,-5.7070546,-5.335704,-5.3920383,-4.950776,-2.217656,0.013169953,1.9918253,3.5823076,4.026198,3.9263144,3.3769505,3.0273552,3.688003,3.8856153,4.1079125,4.424093,1.8062088,0.6569873,-0.38701406,-0.9423446,-1.3858716,-2.033763,-2.6432552,-3.3608615,-4.162435,-4.9891024,-4.9902735,-5.11005,-5.646801,-5.5232587,-5.8520937,-5.9487867,-6.250005,-6.1996083,-6.044036,-5.6216946,-5.4771004,-5.8886547,-5.84221,-5.951835,-5.9979243,-5.9728,-6.0786705,-6.008695,-6.098141,-6.0474787,-5.9518414,-5.8109202,-5.672536,-5.7206564,-5.584817,-5.584817,-5.354848,-5.354848,-5.3686433,-5.2588854,-5.143087,-4.9446173,-4.7670584,-4.8791094,-4.5679865,-3.9987593,-3.5490797,-3.0389981,-2.655482,-2.6898115,-2.9013753,-3.2088697,-3.559645,-3.6991136,-3.6484263,-3.7472527,-3.747874,-3.8962984,-3.995248,-4.044723,-4.2413898,-4.3900404,-4.488463,-4.7355394,-4.6387644,-4.238569,-4.0843816,-4.171719,-4.3661885,-4.309913,-4.102733,-3.559454,-3.373719,-3.255143,-3.4583802,-3.7833896
2025-11-14 01:02:41+00:00,2025-11-14 00:00:00+00:00,-1.9820822,-1.867169,-1.7664843,-1.6194769,-1.573169,-1.4787554,-0.7885626,-1.5202934,-1.1235628,-1.4719044,-2.0648043,-2.364218,-2.5169191,-1.9179069,-1.151499,-2.2849662,-2.5807157,-3.143134,-3.3647938,-3.554242,-4.0278993,-4.2793126,-4.5927763,-4.4525533,-4.111306,-3.8753114,-3.8753114,-3.8947906,-3.6997447,-3.5335042,-3.4179733,-3.4179733,-3.4179733,-2.8270009,-3.8919697,-4.383723,-6.913207,-7.50336,-6.8177366,-6.682884,-6.703959,-6.525118,-6.55209,-8.321678,-7.721151,-7.2069964,-7.6791515,-7.6794233,-7.7717586,-7.676087,-7.297494,-7.0544147,-6.7805705,-6.569808,-6.000061,-4.9701223,-0.79848164,-0.009383198,1.4791385,2.6345127,2.9274702,3.0772974,2.6777585,1.5370543,1.094953,2.309825,2.762952,2.902973,1.9518737,0.149154,-0.7171222,-1.1053908,-0.86328363,-2.3222454,-2.9689627,-3.5176845,-4.017906,-4.1567817,-4.5188756,-4.873707,-5.131917,-5.506511,-5.8181877,-6.082695,-6.03406,-5.970393,-5.667875,-5.641086,-5.809805,-5.2871437,-5.1463604,-5.1514597,-5.4579763,-5.8408685,-5.7122655,-5.576297,-5.5479264,-5.5136747,-5.2399178,-5.0164485,-4.794872,-4.6492033,-4.769651,-4.7467837,-4.844178,-4.789595,-4.8725185,-4.677452,-4.5311556,-4.0517116,-3.766017,-4.023132,-3.7857294,-3.50707,-3.0858023,-2.5450954,-1.9719548,-1.816993,-1.9848802,-2.514728,-2.8586762,-2.8108172,-2.7847884,-2.8733897,-2.9500175,-3.1658542,-3.4510286,-3.6016903,-3.6512256,-3.6512256,-3.7502964,-3.7998314,-3.7484648,-3.4382885,-3.1707983,-3.1524036,-3.182723,-3.2697606,-3.3635676,-3.2068343,-3.3843844,-3.464564,-3.678141,-4.0730762,-4.263395,-4.3964834,-4.4416018,-4.5894737,-4.737347,-4.835931,-4.8852215,-4.9345136,-4.9838057,-4.9838057,-5.031639,-5.2290587,-5.238397,-5.0862193,-5.0653925,-5.2394695,-5.26289,-5.232106,-5.048078,-4.3661885,-4.077636,-3.8414373,-3.835997,-4.0402694
