forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:22+00:00,2025-11-05 00:00:00+00:00,-4.4490166,-3.41749,-2.4387712,-1.0106134,-0.67458755,0.030848868,0.2118194,-0.6277183,-1.163403,-1.1104592,-0.5992344,0.17460467,1.193693,3.336156,5.5581026,8.748757,9.4449835,7.5259237,7.1017623,5.4480767,4.698052,3.9185352,3.4612179,1.1758567,1.0787274,-0.7634394,-0.17246273,-0.31680143,1.2580155,0.9460386,-0.4430908,-1.0120264,-0.9428011,-0.61367655,-0.73600674,-0.98008543,-0.7928412,-0.45018348,0.60487306,0.20141393,-0.5481386,-0.43219572,-1.7591329,-3.4607403,-3.506254,-3.5972843,-3.5303156,-3.3119664,-3.060924,-2.5804687,-2.393672,-1.2054733,-0.3715424,0.37276018,0.79862314,1.1298211,0.24629556,-0.31220606,0.73649246,2.7808125,3.9356716,4.4139504,5.4908967,6.2670674,6.3836775,7.684434,8.762048,8.9761915,9.121211,9.169834,7.9656587,7.2733855,6.580807,5.898869,5.249386,5.1329613,5.473819,5.298651,6.1524796,5.1451597,3.2193513,2.585899,1.0904456,-0.4804284,-0.9124503,-1.6434702,-1.9881543,-2.9626236,-3.8821142,-4.5060678,-4.753279,-5.144034,-5.190152,-4.9849105,-4.6826215,-4.6302,-4.5872545,-4.360129,-3.889124,-3.459093,-3.647097,-3.6940992,-1.6364297,0.0029289417,1.8964283,2.4402568,2.2354383,2.584628,2.6345127,1.8989813,1.045256,2.3781044,1.7365931,1.5433908,0.9384361,-0.5572478,-2.7419112,-4.8616366,-5.7734795,-6.0913386,-6.332405,-6.6172905,-6.8072243,-6.8872895,-7.20946,-7.484796,-7.7717586,-8.011284,-8.107099,-8.202914,-8.442459,-8.446692,-8.079016,-6.5204215,-4.4949384,-2.9082096,-2.0178657,-1.3669231,-0.9483548,-0.46020487,-0.02677125,0.13845024,-0.29152957,-0.997876,-1.6878283,-2.1246843,-2.3122494,-2.6082418,-2.9008653,-3.160098,-3.3520813,-3.4530864,-3.599451,-3.648925,-3.995248,-4.341576,-4.439048,-4.0026712,-3.3557572,-2.8964775,-2.9163325,-2.9346104,-2.9769945,-2.9786491,-2.736894,-2.6898115,-2.661943,-2.727541
2025-11-06 01:05:11+00:00,2025-11-06 00:00:00+00:00,0.045577347,-1.7138288,-1.551242,-1.2869933,-0.79964197,-0.5190754,-0.6733198,-0.8668642,-0.62030625,-1.1215307,-1.3153816,-1.4766897,-1.993898,-2.2494586,-1.6030185,-1.2893784,-2.1125946,-2.0662074,-2.0971532,-1.807713,-2.55053,-2.2261374,-2.6905525,-3.3486457,-2.2111263,-2.1438391,-1.6848121,-2.7822917,-2.4294884,-0.7983792,-0.26864633,0.3573453,-0.29969513,-0.81103355,-0.5540472,1.452673,1.9250256,2.8980534,3.2010381,4.240975,5.776044,6.9644203,8.140203,8.809452,7.9310255,6.9825416,5.6543407,5.1727023,4.952808,4.901718,4.632282,4.086154,4.293337,4.5982237,3.3246527,2.0744488,1.2552953,0.18464401,-0.80911845,-1.5149755,-1.847595,-2.2984571,-3.1356337,-3.600692,-3.9166539,-4.322224,-4.221846,-3.9525523,-3.4804175,-3.2697606,-3.0039558,-3.0511348,-3.0039558,-2.9567778,-2.781419,-2.656803,-2.1561482,-1.1760974,-0.83007675,0.02451249,0.03549398,0.92266643,2.1480339,1.6936705,2.1467814,1.1677239,1.6300167,1.6572566,0.90032315,1.3637663,1.5449067,1.0041025,-0.20641416,-1.2128351,-1.1041989,-0.81418777,-0.559794,-0.38929376,-0.9931072,-1.446201,-2.2655592,-2.8003368,-2.7441375,-2.2270348,-2.4807425,-3.6019309,-2.8833303,-2.510594,-2.9220386,-4.139114,-5.398852,-6.1386423,-7.3515563,-7.640279,-7.1601377,-5.7933097,-4.2232585,-3.2088697,-2.949893,-3.0964966,-3.1886055,-3.2137132,-3.465031,-3.6423738,-3.918495,-4.2930136,-4.4501805,-4.38064,-4.1266108,-3.7484648,-2.7625906,-1.5375975,-0.8483096,-1.1829749,-1.9175557,-2.5686681,-2.7047575,-2.6782568,-2.4844654,-1.995701,-1.3320916,-0.9509712,-1.1478367,-1.5514137,-2.0184052,-2.3447592,-2.5807457,-2.5556731,-2.0444534,-1.4853472,-0.8589262,-0.3226338,-0.055326037,0.4570709,1.0062933,1.4529765,1.9983957,2.4457564,2.7934318,3.0351388,3.0607216,2.902973,2.809787,2.8734753,2.7957196,2.7235823,2.5179074,2.34042
2025-11-07 01:02:53+00:00,2025-11-07 00:00:00+00:00,-3.8656623,-3.303225,-2.9460182,-2.3561194,-1.7630001,-1.9972416,-0.92056465,-0.031638507,-0.57307076,0.14074665,-0.07310779,-0.5481386,1.8996651,2.2630692,2.7414765,3.48307,4.705895,6.27944,6.8743763,7.5090747,7.843512,7.0649877,6.452796,6.563789,5.8859806,4.958131,4.270603,2.8290162,2.0716395,2.1205096,2.4466424,0.46455508,0.22192483,0.3333393,0.7245637,0.28905866,-0.51618683,-0.8147232,-0.8184778,-1.1340789,-0.605172,-0.31669566,-1.1116157,-5.1676683,-4.9227614,-4.5445786,-4.3353486,-4.2092934,-3.8326392,-3.4104726,-2.4978328,-1.619708,-0.3631358,1.4008557,2.6395593,3.0381622,3.0381622,3.1378121,3.087987,1.3127995,0.09170933,-0.545099,-0.8644468,0.3019938,0.36959514,1.999094,-1.464466,-3.1307752,-5.392109,-6.213788,-7.0035367,-7.1745934,-6.691587,-4.0847764,-1.8679193,-3.0912285,-4.4860616,-4.5033007,-4.384023,-4.0584574,-4.2059445,-5.2719574,-5.0302486,-3.8777525,-1.396419,-3.2633436,-5.0464416,-5.430386,-5.356781,-5.525327,-6.2097535,-7.724915,-6.6093774,-4.9461417,-3.1599078,-2.6099882,-2.7584045,-2.433467,-2.3339255,-1.923216,-1.2066406,-0.9841322,-1.4222431,-2.519049,-3.4786682,-4.0086765,-4.3942623,-4.6472144,-4.4437995,-3.896519,-3.1341853,-2.1688333,-2.4203238,-3.0392382,-2.8746576,-2.8677368,-2.7988656,-2.656803,-2.7041562,-2.9409325,-3.0356467,-2.772852,-2.3703294,-1.970078,-1.3193927,-0.58205307,0.24418925,1.1873418,2.001138,2.735973,2.92083,2.8873975,2.9858046,3.177007,3.5116985,3.42137,2.7714758,1.6975315,0.8624326,0.3868672,0.34738317,0.19528762,-0.24245027,-0.78072697,-1.0180707,-0.7258196,-0.06126802,0.09170933,-0.15129265,-0.65388554,-0.9805743,-1.1257387,-1.09003,-1.2354175,-1.4777354,-1.5422152,-1.7685269,-1.9768708,-2.1636918,-2.5413716,-2.772852,-3.0650246,-3.371083,-3.7411294,-4.1492558,-4.5679865,-4.7277384,-4.6826215
2025-11-08 00:57:07+00:00,2025-11-08 00:00:00+00:00,3.123482,3.4382956,2.7544599,1.3164549,1.0589542,0.7404907,-0.2977192,-0.14109814,-0.6575108,-1.3023587,-1.8634973,-3.128291,-3.069701,-2.741679,-2.6720686,-3.1180785,-3.4679306,-4.1477017,-2.905607,-3.2092032,-3.446872,-3.4293919,-3.6437078,-3.1104538,-2.5755312,-2.224382,-3.153963,-3.8447323,-4.0648675,-3.1536405,-2.3816488,-1.9620743,-0.81213266,0.370915,-0.9548982,-1.428153,-0.7143652,1.6464462,0.3334909,-0.2744214,-2.1052449,-2.175276,-1.1398793,-1.619708,0.22316489,1.5978261,1.294259,0.48947018,0.14027305,0.04858753,-0.54810834,-0.7610227,-0.0910092,-0.14041346,-1.6580602,-2.2047353,-2.447084,-2.1661985,-3.507511,-3.6656456,-4.51387,-4.7540426,-4.7583213,-5.7799764,-5.913242,-5.8655157,-5.81779,-6.06584,-6.104151,-6.724654,-7.8673854,-8.967487,-9.350187,-9.358547,-8.67824,-8.595989,-8.433646,-8.188679,-7.893623,-7.400814,-6.2655463,-6.0290217,-6.1351595,-5.657189,-4.654201,-4.3495064,-2.5662544,-1.6057296,-0.5309564,-0.9280009,-1.3858716,-0.8320861,-0.28306034,0.2128842,-0.28306034,-0.8814921,-0.4870294,-0.24359046,-0.094284,-0.38760954,-0.9803048,-1.0901858,-1.4844348,-1.3304193,-1.1779314,-0.581725,0.113706514,0.4112385,0.6089592,0.46001288,1.4291959,1.828737,2.3281622,2.4280462,2.6278162,2.7342808,3.0335853,2.9415214,2.6426322,2.2308562,1.7556719,1.4957638,1.5096333,1.3620079,1.1517608,0.93997616,0.7266174,0.39279228,-0.121733956,-0.26775163,0.13845024,0.70439625,1.0539516,1.0062933,0.7330952,0.4137571,0.121623605,-0.20641416,-0.47812662,-0.91751516,-1.1171434,-1.4626917,-1.5477705,-1.4394233,-1.26067,-1.008322,-0.60664755,-0.35171053,-0.4342979,-0.8418911,-1.0379689,-1.2830706,-1.3178358,-1.465098,-1.5141858,-1.465098,-1.3811126,-1.2412562,-0.92894566,-0.92247385,-1.1524763,-1.7796613,-1.9664097,-1.7050409,-1.3812858,-0.9654397,-0.7670752,-0.8741616
2025-11-09 01:02:59+00:00,2025-11-09 00:00:00+00:00,-2.727387,-3.0145533,-3.5959218,-3.3569942,-3.3569942,-3.3569942,-3.1102786,-3.1581419,-2.6720686,-1.0523927,0.82529867,-1.3218058,-1.8354875,-1.4676206,-0.9312695,-2.098818,-3.161671,-1.9616836,-1.2318294,0.8578824,0.3191165,1.5696477,-3.2495282,-4.3695335,-2.5270605,-2.9833086,-3.2144601,-3.872656,-3.9236178,-4.1128025,-4.122249,-4.688043,-3.5640488,-5.801086,-7.5479527,-6.129217,-8.596628,-7.075518,-8.019395,-7.3994737,-7.2102065,-8.219453,-7.0467987,-9.829643,-10.611532,-9.504391,-7.91161,-7.7680902,-7.6115937,-6.2473364,-5.5479264,-5.4528403,-5.161909,-4.4292655,-3.9430237,-4.3861465,-4.1861405,-4.088893,-4.357872,-4.024245,-3.4119718,-2.9095147,-2.3447592,-1.75528,-2.308358,-3.303202,-4.911654,-5.126364,-2.8677368,-1.7285788,-1.8032091,-3.5609238,-1.4222431,-1.0259998,-0.7812317,-0.8847111,-1.7596272,-2.2394652,-2.2296677,-2.0827944,-1.7596272,-1.1887472,-0.7288214,-0.2334179,0.36080307,0.6095914,1.3736598,1.588415,1.7361755,1.9624627,2.204672,2.0262327,2.0722632,2.4953144,2.6671033,2.1639416,1.7769967,1.7202456,1.0997953,0.33552667,0.6233567,0.14724049,-0.43242753,-0.62259865,-0.5569677,-0.657144,-0.657144,-0.7058192,-0.8031701,-0.92894566,-0.59348404,-0.52842915,-0.94482625,-1.2219294,-1.6285176,-2.1029294,-2.160207,-2.3357801,-2.0564373,-1.6735208,-1.3498164,-1.2859203,-1.2050693,-1.1989934,-1.3913368,-1.6325579,-1.7285788,-1.6821675,-1.6955177,-1.6231298,-1.2899421,-0.99717116,-0.75309217,-0.79926425,-1.3671583,-1.7889503,-1.91152,-1.8644465,-1.958594,-1.966161,-2.0724883,-2.2306437,-2.393332,-2.350933,-2.3827353,-2.3827353,-2.2396588,-1.9403827,-1.8348747,-1.6325579,-1.3450128,-1.1085241,-0.8258497,-0.6809154,-0.58429426,-0.86339444,-0.9104899,-1.0133648,-1.2859203,-1.3249178,-1.3784496,-1.676157,-1.2115675,0.19201858,1.7342122,2.7808125,3.0807755,3.1544373
2025-11-10 01:06:28+00:00,2025-11-10 00:00:00+00:00,-1.461998,-4.546364,-5.0297117,-5.871782,-5.562466,-6.410746,-6.458227,-7.14125,-8.174761,-7.2102065,-6.230632,-7.5663104,-8.687249,-6.859197,-7.830811,-8.453343,-7.453671,-4.314996,-9.465786,-7.769055,-9.02143,-9.5585785,-9.161208,-10.604123,-9.776189,-9.295478,-8.180364,-4.898515,-2.5441399,-2.3494136,-1.4548451,-0.8731707,-3.681365,-3.9751542,-3.6165135,-3.5701067,-3.5210772,-2.7056243,-1.9673164,-1.2659131,-1.5271422,-1.4952189,-2.5760322,-4.0220194,-3.6475039,-1.7838953,-1.4647557,-2.7227337,-1.5237823,-2.3153007,-3.1583385,-3.657285,-3.5691328,-3.3385198,-3.038337,-2.6523297,-2.1246843,-1.7732887,-1.4249672,-0.9280009,-0.13423909,0.75835526,1.8466613,2.0446773,2.0008812,2.641377,2.6751392,3.1173792,3.3936763,3.105502,3.2318194,1.9036742,1.1239269,1.3066151,0.0510905,-0.09643481,0.55749774,0.7349367,0.70743287,0.33470458,-0.16930895,-0.58871394,-0.36257812,-0.36941564,-0.49876243,-0.38929376,-0.1347548,-0.2884285,-0.90508056,-1.1113431,-1.7095779,-1.8968929,-1.92879,-1.8041203,-1.8690856,-1.8518701,-2.2035837,-2.227759,-1.953518,-1.7391717,-1.5956203,-1.4405206,-1.0674134,-1.319295,-1.1053908,-0.6084689,-0.094555125,0.87365454,3.0846608,3.9352598,3.83714,2.7427154,1.952357,1.5112544,2.1297772,1.8525995,1.6844954,1.4312452,1.3224357,1.3913018,1.2528542,0.56795305,-0.28468853,-0.94482625,-1.397243,-1.4199457,-1.6575235,-1.7320586,-1.7627671,-1.892611,-2.1219938,-2.1606927,-2.4487863,-2.8398583,-3.415974,-3.8213995,-3.7588813,-3.4285843,-3.0983133,-3.0414581,-2.9421315,-2.7541618,-2.3822882,-1.930717,-1.5395278,-1.5624909,-1.684456,-1.7627671,-1.8581411,-2.112895,-2.1605015,-2.2557163,-2.5604293,-2.6079555,-2.4461515,-2.2873504,-1.9881543,-1.7970706,-1.6673943,-1.5416512,-1.3249178,-1.1126875,-0.9997502,-0.98569334,-1.2996062,-1.1644106,-0.44695604,0.34049207
2025-11-11 01:00:58+00:00,2025-11-11 00:00:00+00:00,-5.9349403,-7.7836666,-8.640466,-7.7836666,-5.9830203,-3.632401,-3.901925,-3.926006,-4.433264,-4.0981116,-4.0010066,-3.3235426,-2.675165,-2.1732173,-2.1736484,-3.2495282,-3.224584,-3.619873,-3.6370158,-3.82422,-3.6577315,-3.301735,-1.1409893,-1.1651156,-3.002488,-4.276122,-4.645257,-5.1209044,-4.831915,-4.5931253,-3.9982455,-3.2689424,-2.114617,-0.5729954,0.32151183,1.1119477,2.408676,2.7326565,3.1766531,3.4108508,3.7331192,3.510011,3.7150946,3.0807755,3.1513665,3.3937404,1.9222641,0.8689556,0.56766325,0.5446209,0.35051918,0.059358656,-0.15129265,-0.36509797,-0.2715163,-0.5324656,-0.5192313,-0.31117588,-0.1461873,-0.43684173,-0.18598756,0.3472202,0.7056544,0.85792226,-0.046329286,-0.47909233,-1.0269852,-1.4056127,-1.1732064,-1.4056127,-1.8800346,-1.8834608,-1.847595,-1.6059936,-1.3445044,-1.2532411,-1.1384923,-1.0465528,-0.5162668,-0.2161388,-0.38701406,-0.41377205,-0.19204041,0.02792131,-0.36509797,-0.7023451,-0.14382741,0.04089609,-0.8023001,-1.6471876,-2.1911469,-2.0963445,-2.335209,-2.1359475,-2.1919677,-2.3703423,-2.5258157,-2.5735102,-2.7165961,-3.0651174,-2.9550817,-3.0981784,-2.8481166,-2.4513104,-2.1156776,-1.8032091,-1.2691913,-0.7120709,-0.50803304,-0.3226338,-0.66858983,-1.1092165,-2.1076636,-1.9158746,-0.94634223,-0.18508483,1.0513741,1.952357,2.1186032,2.0150788,2.0255535,2.604796,3.3279305,4.245061,5.6683846,7.1714735,8.454113,9.385369,9.9912815,10.696215,11.232139,11.863929,12.177314,12.404395,12.4808445,12.653413,12.8116045,13.04484,12.910748,12.418375,11.749483,11.02622,10.114454,9.300821,8.308186,7.3957434,6.4346814,5.5224614,4.890098,4.486127,3.998926,3.3333242,2.7642727,2.1077895,1.7286278,1.3029575,1.1108608,1.1086558,0.9512363,0.98765665,0.9251112,0.97285634,0.97285634,0.7818741,0.33502182,0.12409206,0.07277143,0.28975153
2025-11-12 01:02:31+00:00,2025-11-12 00:00:00+00:00,-4.08308,-6.716235,-6.6481543,-6.252274,-5.7533607,-5.459925,-4.08308,-2.8077574,-1.8387482,-1.3802781,-0.6003287,-0.079576634,0.76613593,1.7648646,2.7421246,3.5934544,4.2721715,4.046738,3.510011,3.3356895,2.80961,1.5096409,1.8013089,1.3140203,-0.31680143,-1.5668552,-1.7117753,-2.1438882,-2.5286896,-2.306766,-1.5819718,-1.24376,-0.7338437,-0.8942675,-1.300786,-1.3980023,-0.8457345,-0.25071636,0.041472036,-0.3349237,-0.9757071,-0.9831828,-1.1479051,-1.2661664,-1.3271861,-0.9872937,-1.2066017,-0.94482625,-1.0951939,-0.8695905,-0.33675522,-0.02394218,0.2676349,0.4905491,0.69458085,0.69458085,0.54734105,0.5964209,0.49826095,0.54734105,0.560596,0.44159642,0.61604106,0.8154477,0.7426506,0.34434003,-0.0915527,0.09550499,0.75130665,0.8853841,0.89200103,0.9033272,1.3515822,1.5440582,1.685918,1.865577,2.0682464,1.8249416,1.5150584,1.2842363,1.6953478,1.7276179,1.5138086,1.0949875,1.5897653,2.9366016,3.6180239,4.2248273,4.695516,5.062167,5.8853164,6.6411457,8.125287,8.615253,9.087928,9.503478,10.497427,11.028417,10.676241,9.589898,8.368992,6.921758,5.982152,3.7617736,2.3102126,1.7367177,1.3511788,1.5635773,1.8337816,1.4356397,-0.7494707,-2.0357153,-2.5768027,-3.0234432,-3.6413288,-3.9350338,-4.280121,-4.3001966,-4.1281238,-3.9849756,-4.028482,-3.9733737,-3.7949295,-3.5377426,-3.461885,-3.6039734,-3.5794377,-3.5889194,-3.7082207,-3.7937238,-3.7054665,-3.4165542,-3.2412012,-2.9518962,-2.8398583,-3.0356467,-3.5042834,-3.9631722,-4.414649,-4.498472,-4.229802,-4.1974363,-4.0398245,-3.9291193,-3.8686771,-3.8881648,-3.8881648,-3.7217915,-3.701191,-3.5274932,-3.3663526,-3.0745976,-2.8552442,-2.5130205,-2.435851,-2.214882,-1.9714679,-1.4359791,-0.8803404,-0.6054264,-1.3445044,-2.535648,-3.3239923,-3.1926742,-2.772852,-2.2873504,-1.9881543,-1.7970706
2025-11-13 01:17:41+00:00,2025-11-13 00:00:00+00:00,-1.8891385,-2.2580717,-1.9998467,-2.2879322,-2.1469877,-2.7210748,-2.6354423,-2.5389442,-2.2101223,-2.0282397,-1.6136603,-1.2241702,-1.2825446,-1.1369386,-0.2862457,-0.3256764,-1.7067536,-2.1905427,-2.5319705,-2.5319705,-3.1971796,-3.272552,-3.2546492,-2.9715464,-2.509123,-2.290722,-2.2401235,-2.1134806,-1.4952189,-0.53062415,-0.29395097,-0.079576634,0.07449419,-0.3756264,-1.2290444,-1.1714989,-0.77725726,-0.4323033,0.9080749,1.9392959,2.2823298,2.0867407,2.1043048,-0.78381306,-0.13831833,0.6950723,0.6637765,0.8441736,1.1428683,1.4392866,1.7815564,2.2673073,2.727942,1.3900323,0.3876084,0.5330934,0.7242817,1.5264671,2.2142255,3.3240144,4.5422816,5.659881,6.710979,8.17198,9.184168,9.820187,10.82282,11.492059,11.697616,11.504972,10.725594,10.149965,9.626846,8.829474,8.291433,6.510966,3.044273,0.48684296,-0.6995562,-0.5132613,-2.003595,-2.8517861,-3.3198338,-3.4573777,-3.2769022,-3.371083,-3.4104726,-3.3198338,-3.8999646,-4.009692,-4.336387,-4.6367946,-4.5445786,-4.6457233,-5.2003775,-5.4482255,-5.065646,-4.446215,-4.1363974,-3.9355314,-3.2889805,-3.2303674,-3.4142182,-3.8037965,-3.6019309,-3.553276,-3.649328,-3.7453818,-3.8894658,-3.988639,-3.9590576,-3.9632347,-4.4902205,-4.0701385,-3.7116947,-3.835109,-3.9752035,-4.121923,-4.2561126,-4.2188206,-4.1723747,-3.8137233,-3.218899,-2.8195324,-2.3609338,-1.8380105,-1.6614501,-1.600567,-1.8087162,-1.9068947,-1.9938008,-1.9772596,-1.8786936,-1.6752435,-1.4636232,-1.4895053,-1.8581411,-2.3087852,-2.8007596,-3.2343347,-3.374465,-3.3666418,-3.130109,-2.7341537,-2.535648,-2.7988656,-2.9704874,-3.1595635,-3.2258394,-3.122477,-3.038337,-2.640968,-2.0201497,-1.4647557,-1.0598888,-0.93566674,-0.78268015,-0.6556778,-0.70427686,-0.8838001,-1.4999216,-2.2615254,-2.847657,-2.2963398,-1.5243381,-0.8152348,-0.5569677,-0.46244574
2025-11-14 01:02:54+00:00,2025-11-14 00:00:00+00:00,-3.7784457,-2.2966657,-2.2427855,-1.9515712,-1.954312,-1.6894866,-1.3980023,-1.3448812,-1.8083837,-1.4781873,-0.846081,0.008559761,0.38263735,0.38263735,1.1848778,2.9244616,3.8251526,3.7776508,3.8057377,4.743856,4.4911494,4.503178,3.978177,3.168445,3.4399366,3.1876802,2.732693,3.2660372,3.4881709,4.1499763,4.311263,4.6290865,4.5203485,4.50858,4.866097,5.1678176,4.78472,5.856551,7.4197245,9.214482,11.551894,12.569795,12.392377,11.749483,11.394549,10.809457,10.224329,10.00325,8.747758,7.213992,6.4346814,4.245061,1.3835882,0.5256866,-1.5888472,-1.7889503,-2.2963398,-2.4505699,-2.0851943,-2.656803,-2.846221,-3.0650246,-3.2870367,-3.6000938,-4.6145086,-4.661038,-4.474926,-4.6813107,-4.660632,-5.0312386,-5.377799,-4.963005,-4.313025,-3.4936783,-2.141968,-2.6040802,-2.8341033,-2.9346104,-2.941833,-3.0485501,-2.8679326,-1.8223113,-3.5691328,-5.3829165,-5.4128547,-5.054242,-4.604491,-4.57791,-4.4072313,-4.352193,-4.6826215,-4.495712,-3.647097,-3.3814006,-3.3896399,-3.255584,-3.2258394,-2.786884,-2.2532043,-1.6603056,-1.5281771,-1.5022603,-1.5771439,-1.5731902,-1.6758347,-1.6264893,-1.5277988,-1.6322807,-1.7801279,-1.5277988,-1.1526426,-0.8741616,-1.5416512,-2.0724883,-2.4293673,-2.5662029,-2.6601808,-2.5706112,-2.4850261,-2.6265452,-2.4978328,-2.403308,-2.437853,-2.3435109,-2.3435109,-2.437853,-2.2306437,-1.6059936,-1.060286,-0.73452544,-0.7314743,-0.7158317,-0.75410813,-0.8099744,-0.76565516,-0.9104899,-1.1428746,-1.5526826,-2.003595,-2.2068858,-2.1601908,-2.1498294,-2.1468968,-2.0376732,-2.0741394,-2.1126788,-2.4007697,-2.4493325,-2.5492167,-2.6040802,-2.6136186,-2.7585926,-2.8069181,-2.8069181,-2.8552442,-2.8552442,-2.6523297,-1.7303336,-0.47775987,0.38352126,0.52004045,0.06562817,-0.1893432,-0.35177627,-0.35177627,-0.5172606,-0.59104645,-0.40137497
