forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:41:11+00:00,2025-11-05 00:00:00+00:00,-0.55860394,0.17720237,-0.78250563,-1.0194561,-0.43559325,-1.4385322,-1.4385322,-0.22005254,1.0120124,2.748009,3.1558778,4.1521277,5.466696,6.3679004,8.886628,8.228749,8.22725,4.409371,4.143791,4.5022874,4.8007054,1.7825259,0.9173853,1.0318803,1.8010974,1.7105489,0.50774705,-0.6497932,-1.3686131,-1.9040221,-1.8753153,-1.8979576,-1.8309262,-1.8309262,-1.6502421,-1.0511775,-1.3052536,-1.508583,-0.33768344,-0.42294684,-0.32977492,-0.24027692,-0.82416403,-0.31298408,-0.43559325,0.63370824,0.4184238,0.386276,-0.23232886,-2.8314164,-3.2314591,-4.5161576,-3.7485917,-3.0194616,-2.178413,-0.56378275,3.5768514,4.249223,5.6752033,6.5527663,7.0315747,8.493757,9.102982,9.196283,8.242451,5.607682,4.2714477,3.769343,3.769343,4.3822217,4.749518,5.2259474,6.24945,6.6229916,5.5242796,4.6225047,4.388036,3.9944408,2.4448605,1.5252795,-0.40842736,-2.0414858,-3.7175999,-4.7059855,-5.135599,-4.8679323,-4.981898,-4.983103,-4.8442907,-4.854098,-5.017131,-5.192039,-5.282639,-5.289668,-4.79506,-5.177265,-4.715899,-2.8108542,-1.3239809,-1.4056232,-0.30955347,-0.06449665,0.1794434,-0.45657146,-0.6549316,-1.8614953,-2.0583727,-1.88235,-3.1414475,-3.5802808,-3.407708,-4.105598,-6.295137,-6.4883256,-3.8682952,-3.9222865,-3.8943284,-3.7509665,-3.1354265,-2.58875,-2.2459576,-2.6431823,-3.3292494,-3.8707855,-4.170506,-4.328851,-4.4943585,-4.7162423,-4.9456687,-4.965924,-4.8685274,-4.7711325,-4.381561,-3.6756022,-2.606002,-1.9062535,-1.6473624,-1.4535029,-1.5854439,-1.7679951,-2.3324437,-2.6214764,-2.831081,-2.8490813,-2.809235,-2.4521344,-1.8947127,-1.7615634,-2.0104158,-2.6386065,-3.228397,-4.118602,-5.159524,-5.8038197,-5.947218,-5.895735,-5.6025963,-5.107465,-4.667701,-4.696369,-5.1845217,-6.35189,-6.727774,-5.981124,-4.61076,-3.8404229,-3.5651083,-3.6603515
2025-11-06 02:33:10+00:00,2025-11-06 00:00:00+00:00,-0.6216669,-1.1649537,-1.5382582,-2.2538445,-3.5291235,-2.9858713,-2.6718695,-2.7614763,-2.8789237,-2.6055162,-2.5071256,-2.2046993,-2.0291276,-1.881859,-0.2177188,0.7005538,0.40830126,-0.28845555,-1.7884706,-1.493886,-1.1027267,-0.8543164,-1.3875046,-0.47530708,-0.23494284,-0.9517365,-0.022017201,-0.59409475,-2.1699643,-2.1727579,-1.5577258,-1.6227764,2.5309937,3.896532,5.5932655,5.565476,6.3679004,7.590555,8.593148,7.893505,6.9235973,6.733068,6.781997,6.4772754,6.4182386,6.42917,6.520044,7.7879214,8.220869,4.702759,5.7655416,4.9654794,4.3504944,3.3200724,1.8979341,0.45429873,-0.40910435,-0.6130154,-0.71022344,-0.8560374,-0.9688763,-1.1476734,-1.944357,-2.8050518,-2.8840342,-3.0335662,-3.1440566,-3.415174,-3.5533056,-3.3288357,-3.172779,-2.968792,-2.968792,-2.4529076,-2.2378948,-1.1282804,-1.0915697,-1.1983213,-1.7597734,-2.0492382,-2.262957,-2.197496,-1.71562,-1.3119497,-0.7040567,-1.2810729,-2.046779,-2.2150886,-3.2945552,-5.313516,-5.122897,-2.8581524,-3.5409672,-3.3037298,-2.7926984,-4.053829,-3.974055,-3.6250563,-4.439318,-6.6953835,-8.005316,-7.9577346,-6.2147026,-5.0451007,-5.8874764,-7.798885,-8.2747755,-8.957036,-9.220181,-8.873267,-8.314997,-7.7619963,-3.4827602,-5.73125,-5.9408464,-5.029045,-4.480289,-3.7732244,-3.2554753,-2.8490813,-2.8489032,-3.1642613,-3.8602006,-4.317144,-4.510193,-4.5710244,-4.634747,-5.0060782,-5.4272504,-5.753504,-5.9944925,-6.0065107,-5.9462943,-5.8351965,-5.812043,-5.497061,-4.8461757,-3.7153661,-2.7105207,-2.0438552,-1.9740291,-1.9448696,-1.9291929,-2.1661654,-2.1846998,-1.8588005,-1.438808,-0.91339964,-0.024438933,0.8890125,1.671053,1.751949,1.7331102,1.5869102,1.4894418,1.4894418,1.557299,1.6475798,1.9056929,1.9811815,1.7861736,1.5468999,1.1302192,0.66221505,0.16663073,-0.15787913,-0.3134497,-0.26957348
2025-11-07 02:31:05+00:00,2025-11-07 00:00:00+00:00,-0.92253625,-0.42849746,-0.94496524,-0.9517365,-0.7631225,-0.8671075,-0.77261984,-1.3207343,0.61523676,2.4130948,3.5659094,2.9102316,3.977743,5.8013062,7.893488,8.61747,7.9739866,7.0690556,7.0690556,6.588649,6.2442594,5.013568,3.9104772,3.3348713,4.5984125,2.708208,2.0747228,0.90509987,0.5643545,-0.418117,-1.0704051,-1.4116312,-2.519305,-2.3426356,-3.2472777,-3.1584861,-2.9755766,-2.8305976,-2.782272,-2.3592656,-1.9522662,-1.8957858,-2.0497344,-1.9637908,-1.7861336,-1.8682483,-1.7040933,-1.0217276,0.13180268,2.813948,2.353133,1.7538229,1.4622271,1.319172,1.169693,1.0202132,0.5775898,-0.31332943,-1.0544145,-1.347947,-2.8459067,-2.6354866,-1.9314393,-2.3143165,-2.2460375,-4.422357,-5.457106,-7.924886,-5.9207363,-5.6440053,-5.883003,-5.9462943,-6.470841,-6.456723,-6.423192,-4.071927,-2.7336683,-2.9315586,-3.6496816,-4.3962917,-4.947161,-6.1074758,-6.649858,-7.2710967,-7.103157,-6.8139224,-6.843991,-5.883003,-4.29721,-5.0431843,-4.798821,-3.61273,-3.5174882,-3.2891397,-3.4245539,-3.5050883,-3.658018,-3.9827375,-4.281004,-4.944573,-5.367941,-5.4755206,-5.247786,-5.0305924,-5.162359,-4.878605,-4.205047,-3.7218008,-3.850841,-3.4222486,-2.5651772,-2.4065814,-1.9773623,-2.0120404,-2.980366,-2.8716412,-2.4490476,-1.9801508,-1.650032,-1.3294635,-0.83407944,-0.018482307,1.0922171,1.9332806,2.5745234,2.9160502,3.1592064,3.2553148,3.0621774,3.058673,2.907037,2.567973,2.4710946,2.4827328,2.6753876,2.5080566,1.9792666,1.2342191,0.41504896,-0.67616916,-1.8737,-2.6821575,-3.1440566,-3.479621,-3.7761054,-4.032952,-4.0518417,-4.2327027,-4.32523,-4.1010685,-4.112801,-4.223279,-4.338172,-4.457357,-4.6282644,-4.553227,-4.6486545,-4.6282644,-4.8207326,-4.8413477,-4.9956937,-5.4546285,-5.669218,-5.669218,-5.628301,-5.778252,-6.1665015,-6.7015505
2025-11-08 02:19:40+00:00,2025-11-08 00:00:00+00:00,4.8482904,4.0746646,4.0237737,1.9467721,1.2695854,0.4237935,-0.04480828,-0.17966175,-0.2484189,-0.7200928,-1.1078764,-1.6641284,-2.0578263,-2.8484159,-3.001968,-2.4723148,-2.549186,-2.6787703,-2.3217006,-2.6155179,-2.5553126,-2.9651577,-2.9798944,-2.7738254,-2.9456031,-3.2059984,-2.519305,-2.091451,-2.973942,-3.1021097,-3.0859752,-3.0859752,-3.1021097,-3.6264951,-4.004937,-4.1838493,-4.004937,-3.189718,-3.4105308,-3.2886596,-3.6122532,-4.159521,-5.8472867,-7.555769,-8.698523,-10.258681,-11.249217,-11.314941,-13.474638,-5.2076163,-5.433356,-6.050941,-7.201017,-8.2747755,-8.322684,-7.8142567,-7.8142567,-8.983065,-10.303696,-10.774567,-11.904687,-13.39316,-14.411593,-14.4828825,-12.803854,-12.465502,-11.036176,-9.563433,-6.5744596,-2.2433174,-3.2877228,-0.9728794,-0.07598079,-0.21362537,-1.8047689,-1.7937267,-0.63295305,0.015559552,-0.60534143,-2.990757,-4.1008215,-4.225643,-4.6238327,-4.864149,-4.765692,-4.2796884,-3.2185636,-2.1489546,-0.58119714,0.58398473,0.7629796,0.6786256,1.0255731,1.4686512,0.47211835,0.77107966,-0.2201996,-0.3963575,0.045979414,-0.010266047,-0.9230514,-0.86570525,-0.25990352,0.83237743,1.3169621,0.7084575,1.2294356,2.6694348,2.9664044,3.4118502,3.4139948,2.6907227,2.542721,1.7988241,1.4062145,1.074517,0.8332776,0.53531665,0.083622396,-0.24199338,-0.6176766,-0.9079931,-1.0657992,-1.1781932,-1.1476734,-1.2448876,-1.1682465,-1.2400717,-1.4838164,-1.5585756,-1.8514948,-1.9291929,-2.0956006,-1.9958087,-1.6150217,-1.4780908,-1.4634666,-1.7254157,-1.8034627,-1.9663923,-2.4170504,-2.6317189,-2.6723483,-2.8212051,-2.925648,-3.2953637,-3.6897738,-3.8259215,-3.7009983,-3.5567665,-3.336482,-3.249283,-3.2823133,-3.3312757,-3.1843889,-3.0537043,-2.8976603,-2.7621484,-2.4287863,-2.3942297,-2.5687273,-2.9307387,-3.0335662,-2.5715806,-1.7938361,-1.3261024,-1.2798533,-1.708257
2025-11-09 02:40:44+00:00,2025-11-09 00:00:00+00:00,-5.215585,-5.3866944,-5.2637696,-4.9217234,-4.4885473,-4.297242,-3.9905121,-3.6533802,-3.7019305,-3.7504807,-3.6264951,-3.5778742,-4.1017528,-4.9697266,-5.4221954,-5.3326163,-5.1369376,-5.1693544,-2.8633103,-3.1360652,-2.794849,-4.8781238,-6.3103957,-6.9867206,-6.503012,-4.9879913,-4.9654365,-5.428111,-6.138608,-5.909481,-6.5242176,-7.1318035,-8.037031,-8.274298,-8.703921,-10.281613,-11.285321,-12.151905,-12.752245,-13.935474,-13.86613,-13.296253,-12.375376,-11.178693,-10.26382,-9.412531,-7.4170628,-6.2146134,-4.9643383,-2.755722,-1.4311279,-0.38352466,-0.17563567,-0.5173201,-1.1506096,-2.341047,-3.8131337,-4.679029,-4.5433927,-4.471735,-4.7162423,-4.430257,-3.7149818,-3.4860172,-1.7525845,-1.1811057,-0.7444376,-0.45371997,1.6752988,1.0255009,0.32263714,0.8209063,-0.7413885,-1.0432563,-1.1142615,-1.0708916,-0.46261713,-0.18015213,0.2917161,0.9055571,0.9269865,0.6679277,0.42123008,0.6796636,1.1763327,1.4711928,1.7169046,2.0608938,2.0253856,2.417439,2.368433,2.0789702,1.2457672,0.34996277,-0.1253617,0.01955789,0.02498067,-0.48678255,-0.54380596,-0.67130613,-0.6310701,-0.89883965,-1.1425757,-1.1114987,-1.0624788,-1.1114987,-1.2585602,-1.6847496,-1.8514948,-1.8026742,-1.1398838,-0.6147873,-0.33024907,-0.19369331,-0.45625508,-0.5683477,-0.80122066,-0.86326754,-0.77309227,-0.91339964,-0.98379546,-0.71444744,-0.07839128,-5.4246604e-05,-0.66161925,-1.4208727,-2.1805007,-2.4887488,-2.5313306,-2.535006,-2.547899,-2.5205255,-2.4351144,-2.0688295,-1.8562603,-1.534342,-1.6124278,-1.8937181,-2.0328324,-1.990398,-1.5738945,-1.2894074,-1.5649706,-1.9897447,-2.251521,-2.2031312,-2.0917895,-1.944357,-1.995255,-2.1397624,-2.281003,-2.2835312,-2.3588889,-2.0890918,-1.4865743,-0.59795934,0.34996277,1.1851325,1.9280403,2.5615356,3.2258124,3.738135,4.1121063,4.5444818,4.8891397,5.476317,6.13046,6.999779
2025-11-10 02:33:12+00:00,2025-11-10 00:00:00+00:00,-2.0947833,-2.1395137,-4.7390394,-5.562055,-6.81344,-8.464761,-8.662165,-8.969171,-9.706382,-10.333357,-10.421858,-10.445971,-10.618215,-10.404656,-9.999283,-10.804921,-13.586901,-12.613417,-11.566059,-8.401265,-6.6727533,-6.244664,-5.841176,-5.2579575,-4.799294,-3.268086,-2.7164028,-1.844441,-1.3517227,-1.2135952,-2.6342294,-4.140159,-3.3546188,-4.8691635,-2.7338135,-4.3283596,-4.64097,-3.5909338,-3.3645582,-2.2415788,-0.96649206,0.1389967,0.63428,-0.13064559,0.68392867,0.8269274,0.33735165,0.23497054,-0.47376359,-2.1459212,-1.6338353,-1.0708916,-0.9006021,-0.8031157,-0.95247436,-0.7045219,-0.7535861,-0.7698652,-0.17852023,1.1285138,2.1232104,2.2130222,2.453148,2.8560126,2.728619,2.7151842,1.6618271,1.0272342,-0.18521698,-0.6745958,-1.2143966,-1.4226506,-1.2290335,-1.3324524,-1.5135876,-2.1848164,-2.2361023,-2.3324437,-2.0693753,-2.100414,-2.0200772,-1.71562,-1.5036663,-1.3119497,-1.2495476,-1.1506096,-1.0173376,-0.72235537,-1.1819404,-1.8007401,-2.3092477,-2.9322321,-2.8258512,-1.3898143,-0.92107135,-0.6502755,-0.42413816,-0.24199338,0.16460854,0.7299887,1.428096,2.902631,4.4511356,5.0933747,4.4265156,4.0596957,3.2564213,2.592055,2.2061565,1.8417492,2.2204282,3.0604434,3.5727415,3.3263261,3.0768883,3.2246537,3.4018033,3.3687098,3.192699,2.9069872,2.3164716,1.4542562,0.67677176,-0.14926441,-0.5580914,-0.9826141,-1.1808821,-1.3738405,-1.2773602,-1.4172586,-1.6077299,-1.8005954,-1.947988,-2.0502126,-2.059812,-2.0727417,-2.4170504,-2.6973069,-3.105603,-3.846876,-4.7059584,-5.1196012,-4.5215244,-3.4282434,-2.2607875,-1.2312492,-0.53131825,0.12320348,0.1719617,-0.020649768,-0.16511267,-0.16794236,0.011303549,0.097194545,0.048740085,0.097194545,0.011303549,-0.2161743,-0.8456282,-1.0566877,-1.1846578,-1.1586239,-0.9466771,-0.30948386,0.46596664,0.9437292,1.21816,1.4216244
2025-11-11 02:22:04+00:00,2025-11-11 00:00:00+00:00,-4.9440904,-4.186295,-4.2136993,-3.3813965,-2.59926,-2.6489725,-4.1679163,-2.245461,-5.700567,-4.2699265,-5.6622767,-6.2946606,-5.3025928,-4.8691635,-3.0423045,-2.6620677,-1.6545519,-0.19927005,-0.75834215,0.36884168,-1.1291728,-2.524649,-2.1934927,-1.7301359,-1.0985808,-0.41324615,-0.38649666,-0.1424324,0.22220458,0.7686903,1.4973351,2.0992017,2.8623066,3.243995,2.847615,2.7984762,1.6146554,0.66140956,0.9738101,0.64799136,0.9417735,0.5082699,0.1680258,-0.38756686,-0.7082321,-1.1106375,-1.7861336,-2.1540694,-2.2387366,-2.3852,-1.7306201,-1.0990665,-1.1749505,-0.98792946,-0.49872947,0.0035151904,0.17283624,0.16295816,-0.16932599,-0.21641204,-0.31389856,-0.5841317,-0.69483685,-0.5183409,-1.5181862,-2.4013915,-3.3469586,-3.4733326,-2.3214872,-1.9056486,-1.8394936,-1.6337652,-1.7731854,-1.6124645,-1.4634666,-1.4172586,-1.229121,-0.66161925,-0.19173266,-0.6310548,-1.1913235,-1.5576781,-1.8497629,-2.0200772,-2.046779,-1.9003154,-1.6580842,-1.2312492,-1.039374,-1.4562511,-1.9088943,-2.3913982,-2.7471807,-2.5433264,-2.1521997,-2.2607875,-2.319925,-2.2273016,-2.0120404,-1.8486071,-2.0886714,-2.424778,-2.3324437,-2.525131,-2.579956,-2.589456,-2.6377807,-2.7178235,-2.7659981,-2.7138603,-2.2635045,-1.6124278,-0.7829719,0.8503056,1.8760921,3.0928373,4.3334928,5.476802,6.49149,7.306869,7.9995933,8.716123,9.490225,10.191698,11.218026,12.160341,12.787084,12.802257,12.459505,12.394809,12.720395,13.142914,13.515086,13.738133,13.860865,13.811494,13.590223,13.192085,12.590948,11.788156,10.969759,9.956138,8.834521,7.697639,6.7505774,6.016764,5.4296794,4.9404182,4.2779317,3.6149206,3.1269684,2.7631402,2.3959222,2.2404945,2.02631,1.8026938,1.7040215,1.4372811,1.1996796,0.88743335,0.6179782,0.25917217,0.073917046,-0.05495255,0.19764954,0.17673568,0.037045397,-0.102651216
2025-11-12 02:24:59+00:00,2025-11-12 00:00:00+00:00,-3.8399487,-2.1362433,-1.0839229,-0.6171927,-1.0796367,-1.4598318,-1.0787233,-0.34671667,0.37238362,1.0918503,1.6682533,0.5013253,1.6944257,2.0584543,2.4453497,2.3160675,1.6168693,0.4338576,-0.99193484,-1.3207343,-1.8920116,-2.6371748,-3.210513,-2.9639418,-3.1926134,-2.4821584,-3.0222545,-2.8766172,-2.6856217,-2.8789237,-3.6770082,-3.6360621,-3.2954557,-3.3272629,-2.8485951,-2.5345178,-2.1894994,-2.1763978,-0.47376359,0.45478138,0.311665,0.49153274,-0.56788135,-2.0170918,-2.481933,-1.9439836,-2.2186983,-1.6125767,-0.9558969,0.7096613,0.85712856,1.3458816,1.4113088,1.6960247,2.0021253,2.3949964,2.530507,2.8711052,2.902631,2.8584845,2.6659799,2.454014,2.374215,1.9451617,1.2196069,0.9775003,0.5631249,0.44588208,0.7346692,1.6642851,1.643334,1.4057981,1.2481008,1.1946247,1.2354459,1.5592486,1.5682242,1.516885,1.4142185,1.5506896,2.1716976,3.404028,4.551579,5.404874,6.0026975,6.899525,8.394163,9.893038,10.930077,11.67603,12.152879,11.686501,11.577773,11.321412,10.745593,10.044853,8.124405,7.165201,7.165541,7.2490683,6.1472907,3.8140666,1.8606148,1.5854627,0.7401759,0.38579985,-0.5368815,-2.4783802,-2.6411848,-2.5427082,-3.618539,-4.8037558,-5.8073454,-6.90994,-7.2424164,-7.0874696,-6.854302,-6.750896,-6.865609,-7.412747,-7.5831413,-7.8404107,-7.9686594,-8.058428,-8.155157,-7.952066,-7.8167205,-7.510862,-7.244451,-6.919225,-6.735998,-6.625662,-6.292703,-5.831179,-5.450225,-5.378723,-5.5326815,-5.669133,-5.8263135,-5.7356925,-5.6530995,-5.2661085,-4.658097,-4.3365765,-4.2318444,-4.29721,-4.2206225,-4.2958727,-4.4411025,-4.344282,-4.4260125,-4.3776755,-4.3293395,-4.3776755,-4.3619056,-4.235476,-4.019134,-3.5297399,-3.1589684,-2.9116502,-3.3250127,-4.5188184,-4.979071,-4.299118,-3.2109802,-2.159621,-1.6565628,-1.3863178
2025-11-13 02:42:47+00:00,2025-11-13 00:00:00+00:00,-3.2476406,-2.603351,-3.288246,-2.9798944,-3.5343375,-3.3377466,-4.4798155,-3.3898067,-2.6012533,-3.3032467,-3.531082,-3.1820555,-3.1979277,-2.7021472,-0.9835696,-0.29205388,-0.48021632,-0.54913276,-1.1572306,-2.4291034,-3.909269,-4.055682,-4.120321,-3.3506432,-2.0593348,-0.904157,-0.5227812,-0.2197061,-1.0735196,-0.7624718,0.98038256,1.3231922,1.3591566,1.457831,-0.3444514,-0.9808177,-1.0735196,-0.96649206,1.4084938,1.1077017,1.4062693,2.4099963,3.3691752,4.115018,4.605765,5.3620973,5.0280213,4.963552,4.812997,3.3520346,3.6253583,4.1313486,4.7816215,5.8406672,6.4001346,7.1963296,7.64684,8.344342,9.340764,9.789147,10.187711,10.690503,11.575186,12.0379,11.88595,11.627061,10.987868,10.213985,9.312254,8.630269,7.985602,7.6477513,7.5071454,6.926521,1.3253223,-1.5855411,-2.345904,-3.0283973,-4.3028855,-4.2590847,-7.806098,-8.433778,-7.548776,-7.0634274,-7.2813077,-7.0960617,-6.818223,-6.6715255,-7.3177037,-7.7847834,-8.030249,-8.209585,-7.850926,-8.344099,-8.539582,-8.990725,-9.035844,-8.990725,-9.126086,-9.172229,-8.97193,-8.564509,-8.385449,-8.137145,-7.6169934,-7.3237996,-6.868098,-6.5652075,-6.2712016,-6.2150927,-5.8784804,-5.7885714,-6.0434513,-6.4237385,-6.7780457,-6.7327166,-6.7437196,-6.4109197,-6.14815,-5.684411,-5.5000916,-5.1735387,-4.878605,-4.764378,-4.779983,-4.8283963,-4.876809,-4.9736366,-4.8467464,-4.8952317,-4.867708,-4.8425927,-4.673481,-4.268883,-3.8754792,-3.7504833,-3.8581643,-4.2205935,-4.519067,-4.706583,-4.7490597,-4.3331237,-3.7352877,-3.1948485,-3.0668843,-2.939581,-2.925379,-2.8150787,-2.8150787,-2.8763518,-2.939581,-3.1025987,-3.1025987,-3.267391,-3.4138744,-3.56036,-3.6511617,-3.4593441,-3.3020427,-3.1540422,-3.027545,-2.7444823,-2.4269388,-2.13243,-2.0414858,-1.9642678,-2.2031312,-2.6450524
2025-11-14 02:26:05+00:00,2025-11-14 00:00:00+00:00,-2.0609584,-1.7996055,-1.0217276,-0.9509645,-0.9639491,-0.020954443,0.5052825,1.1000473,1.0513101,1.0513101,-0.3134114,-0.8531954,-1.1455412,-1.6012198,0.29245636,-0.40911624,-0.44194755,0.7394752,1.6547452,2.4267685,3.1905458,4.0077715,3.6892493,3.8331015,4.069914,4.0545444,3.521932,3.0325892,3.0325892,3.1304593,3.2522948,3.6430147,5.3232775,6.0120025,7.3279977,8.741488,9.695497,10.71148,11.765176,12.398999,12.548601,12.553348,12.019296,10.51044,8.641624,8.005907,5.8978763,4.2197256,1.8541298,4.3598347,-0.22051689,-3.6655602,-5.834651,-6.2794704,-6.170279,-5.9529347,-5.7152343,-5.9453244,-5.824487,-5.8189874,-5.7419267,-5.827664,-5.5553527,-5.4250574,-6.3131156,-6.808246,-6.9709945,-7.140711,-6.5348115,-6.5941343,-6.865876,-7.188141,-7.4612217,-7.7853484,-8.20613,-7.9206004,-7.5356803,-7.766998,-7.15131,-6.3036385,-5.5490627,-5.3273945,-4.968597,-5.064515,-4.874133,-4.9221697,-5.5226245,-6.655094,-6.8198414,-6.7315555,-6.65218,-6.0376434,-5.732018,-5.5684857,-5.457106,-5.198862,-4.8726797,-4.8963075,-4.909397,-4.909397,-5.089373,-5.089373,-5.175168,-5.0787835,-4.9342103,-4.8860197,-4.522687,-4.392692,-4.139381,-4.0422754,-3.9135976,-3.5802917,-3.904979,-3.9399126,-4.0816474,-4.160487,-3.9890203,-3.7368011,-3.419558,-3.385188,-3.3352606,-3.0375032,-2.6574075,-2.396172,-2.3420117,-2.240207,-2.2896166,-2.3390265,-2.388436,-2.539402,-2.6918812,-2.5933106,-2.7168934,-2.7026348,-2.869456,-3.122028,-3.4417214,-3.9153507,-4.1971097,-4.2477484,-3.876102,-3.6368663,-3.574643,-4.006583,-4.1622214,-4.29721,-4.2496905,-4.205047,-4.163206,-4.3077626,-4.2206225,-4.005421,-3.7509665,-3.6756022,-3.6998527,-3.7265632,-3.6511617,-3.5560048,-3.5409672,-3.7352877,-3.9232738,-4.0143948,-4.167556,-3.9266098,-3.6060271,-3.3817322,-3.0623996,-2.782485
