forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:20+00:00,2025-11-05 00:00:00+00:00,7.361,7.061,6.911,7.161,7.061,6.511,5.811,4.611,4.311,4.261,4.111,3.761,3.511,3.461,4.011,4.661,4.961,5.311,5.211,5.561,5.411,5.011,4.511,3.611,3.511,3.011,2.611,1.061,1.561,1.411,0.311,-0.039,0.41099998,0.661,-0.089,-0.639,-0.539,-0.539,-0.039,1.0109999,2.261,3.5609999,4.711,4.368,4.468,4.368,4.0179996,4.368,4.6679997,4.868,5.6679997,6.0179996,5.9179997,5.618,5.2679996,4.9179997,4.5179996,3.7180002,3.4680002,3.068,2.618,1.968,2.2180002,3.2180002,4.2679996,3.2680001,2.168,1.4679999,0.06799999,-0.532,-0.78200006,-1.2820001,-1.132,-1.6320001,-1.832,-2.182,-3.682,-4.8320003,-6.8320003,-7.432,-6.882,-6.282,-6.2320004,-6.8320003,-6.782,-6.932,-5.4820004,-3.832,-2.682,-1.832,-1.732,-1.3820001,-1.7820001,-2.382,-2.382,-3.5319998,-3.2819998,-2.632,-3.2819998,-3.932,-4.2320004,-4.0820003,-4.532,-5.182,-5.682,-4.882,-4.182,-4.2320004,-4.2320004,-3.932,-3.632,-3.5319998,-3.2819998,-2.7819998,-2.5319998,-2.682,-2.9819999,-3.2319999,-3.382,-3.432,-3.382,-3.132,-2.7319999,-2.432,-2.2819998,-2.2319999,-2.2319999,-2.2819998,-2.432,-2.5319998,-2.582,-2.582,-2.582,-2.632,-2.682,-2.632,-2.4819999,-2.2319999,-2.082,-1.8820001,-1.832,-2.382,-4.2320004,-6.7320004,-8.432,-8.532001,-7.782,-7.2320004,-7.2320004,-7.432,-7.682,-8.082,-8.632,-8.882,-8.882,-8.632,-7.9820004,-6.682,-4.9820004,-3.5319998,-2.4819999,-1.6320001,-1.082,-0.88199997,-0.982,-1.132,-1.3820001,-1.732
2025-11-06 01:05:08+00:00,2025-11-06 00:00:00+00:00,4.711,3.961,2.961,2.111,1.361,0.311,-0.439,-0.589,-0.73899996,-0.73899996,-0.789,-0.839,-0.839,-0.73899996,0.261,2.3109999,3.911,4.661,3.761,5.211,5.911,6.311,6.111,5.461,5.611,6.011,6.111,6.611,6.961,6.961,6.111,5.061,4.811,5.861,5.261,4.611,3.011,2.111,2.661,2.461,2.411,2.911,2.3109999,0.46799996,-0.432,-0.38200003,-0.732,-1.132,-1.132,-1.582,-1.5320001,-2.7819998,-3.7819998,-4.632,-5.282,-5.432,-6.5820003,-6.8320003,-6.682,-6.282,-5.932,-6.432,-4.882,-3.382,-1.932,-1.082,-0.68200004,-0.68200004,-1.5320001,-2.032,-2.7319999,-3.432,-3.182,-3.9819999,-3.332,-3.432,-3.0319998,-3.332,-3.932,-4.182,-5.032,-5.882,-5.782,-6.282,-6.182,-5.532,-4.682,-4.4820004,-4.532,-3.9819999,-3.5319998,-3.432,-3.332,-3.5319998,-3.932,-3.932,-3.7319999,-3.882,-4.432,-4.932,-5.182,-5.282,-5.2320004,-5.182,-4.282,-3.932,-3.882,-3.7819998,-3.582,-3.632,-3.432,-3.132,-2.7319999,-2.332,-2.382,-2.132,-1.932,-2.5319998,-4.5820003,-7.3320003,-9.332,-9.832,-9.582,-9.232,-9.182,-9.082,-8.582,-7.432,-5.882,-4.682,-4.2320004,-4.0820003,-3.7819998,-3.132,-2.332,-1.3820001,-0.23200001,0.96799994,1.968,2.568,2.9680002,3.0180001,2.618,1.8679999,1.268,0.96799994,0.81799996,0.71799994,0.71799994,0.81799996,0.918,1.1179999,1.318,1.318,0.8679999,0.218,-0.13200001,0.06799999,0.56799996,1.318,2.418,3.7180002,4.718,5.118,5.1679997,5.0179996,4.568,3.918
2025-11-07 01:02:51+00:00,2025-11-07 00:00:00+00:00,4.661,4.711,4.911,5.311,5.711,5.911,6.111,6.161,5.961,5.361,5.261,4.461,4.661,4.311,3.3109999,2.361,1.661,1.311,1.2609999,0.611,-0.23900001,-0.68899995,-0.93899995,-1.189,-1.289,-1.789,-2.289,-2.4390001,-2.539,-2.589,-2.539,-2.4390001,-2.389,-2.239,-1.9890001,-1.789,-1.689,-1.789,-1.939,-1.889,-1.589,-1.589,-1.7390001,-0.832,-1.3820001,-1.982,-2.632,-3.432,-3.132,-3.832,-3.682,-3.582,-3.7819998,-4.032,-4.4820004,-4.882,-5.4820004,-5.9820004,-5.782,-6.032,-5.8320003,-5.432,-4.4820004,-3.4819999,-3.432,-2.882,-2.582,-2.682,-2.7819998,-3.132,-3.882,-4.432,-4.182,-4.0820003,-4.132,-3.9819999,-3.2819998,-3.132,-2.932,-2.832,-2.9819999,-3.132,-3.132,-2.9819999,-3.0319998,-4.032,-3.5319998,-2.4819999,-1.682,-1.082,-0.732,-0.38200003,-0.13200001,-0.08200001,-2.882,-6.0820003,-5.782,-5.182,-3.432,-2.832,-2.7319999,-2.332,-1.832,-1.682,-1.582,-1.6320001,-1.482,-1.482,-1.332,-1.0320001,-0.38200003,0.46799996,0.8679999,2.2680001,3.568,4.2679996,4.818,5.118,5.068,4.7679996,4.5179996,4.368,4.2679996,4.118,3.9680002,3.818,3.568,3.168,2.668,2.2180002,1.9179999,1.6179999,1.3679999,1.068,0.768,0.61800003,0.61800003,0.71799994,0.8679999,1.068,1.268,1.318,1.168,0.81799996,0.418,-0.18200001,-0.832,-1.3820001,-1.6320001,-1.732,-1.8820001,-2.182,-2.4819999,-2.832,-3.2819998,-3.7319999,-3.932,-3.682,-3.132,-2.4819999,-1.6320001,-0.68200004,0.06799999,0.518,0.768,0.518,-0.582,-2.182
2025-11-08 00:57:05+00:00,2025-11-08 00:00:00+00:00,-0.18900001,0.011,-0.289,-0.589,-1.039,-1.439,-1.889,-2.139,-2.139,-2.1890001,-2.339,-2.4390001,-2.589,-2.589,-2.489,-2.389,-2.139,-2.039,-2.9390001,-2.839,-2.639,-3.089,-3.989,-4.439,-4.839,-5.139,-5.639,-7.239,-6.189,-7.039,-7.839,-6.739,-5.889,-6.989,-6.739,-6.939,-7.239,-6.289,-5.539,-5.089,-4.839,-4.589,-4.539,-3.632,-3.682,-3.9819999,-4.0820003,-4.0820003,-3.7819998,-3.682,-3.632,-3.882,-4.432,-4.882,-5.432,-5.3320003,-4.182,-3.682,-3.382,-3.182,-3.082,-3.132,-2.832,-2.4819999,-1.982,-2.032,-1.932,-1.7820001,-1.432,-1.8820001,-3.832,-7.782,-8.632,-8.582,-8.932,-7.632,-5.8320003,-4.9820004,-4.432,-4.282,-3.7319999,-3.382,-2.9819999,-2.832,-2.382,-2.4819999,-2.2819998,-0.93200004,0.06799999,0.81799996,1.3679999,1.968,2.368,2.118,0.81799996,-0.432,0.118,1.068,0.8679999,0.71799994,1.4679999,1.668,1.968,1.968,1.768,1.018,0.017999992,0.06799999,0.017999992,0.118,-0.032000005,0.318,0.318,0.16799998,0.218,0.46799996,0.81799996,0.96799994,0.81799996,0.518,0.218,0.06799999,-0.08200001,-0.282,-0.532,-0.832,-1.132,-1.3820001,-1.582,-1.732,-1.8820001,-1.982,-1.982,-1.7820001,-1.482,-1.132,-0.63199997,-0.08200001,0.318,0.61800003,0.768,0.518,-0.38200003,-1.682,-2.682,-2.9819999,-3.0319998,-3.2819998,-4.132,-5.2320004,-5.782,-5.382,-4.432,-3.582,-3.0319998,-2.5319998,-1.982,-1.3820001,-0.78200006,-0.08200001,0.71799994,1.568,2.418,3.318,4.1679997,4.6679997,4.4179997,3.818
2025-11-09 01:02:58+00:00,2025-11-09 00:00:00+00:00,-2.489,-2.839,-3.239,-3.6890001,-4.389,-5.039,-5.889,-6.239,-5.989,-5.789,-6.089,-5.489,-6.189,-6.839,-7.389,-6.289,-4.439,-3.589,-4.189,-3.9390001,-4.239,-3.989,-5.339,-6.289,-6.289,-6.039,-5.839,-5.289,-5.489,-5.089,-5.189,-5.689,-5.339,-4.389,-3.539,-2.6890001,-2.789,-3.039,-2.9390001,-2.639,-2.539,-2.889,-2.9390001,-1.2820001,-1.482,-1.832,-3.382,-7.282,-8.132,-8.382,-8.632,-7.8320003,-6.4820004,-5.432,-4.5820003,-4.032,-3.682,-3.632,-3.132,-2.882,-2.7819998,-2.582,-1.982,-0.93200004,-0.032000005,0.56799996,1.1179999,1.6179999,2.2180002,2.2680001,1.268,-0.13200001,-1.082,-0.63199997,0.71799994,1.3679999,1.568,1.568,1.418,1.7179999,1.8679999,1.668,1.6179999,1.068,0.71799994,0.418,0.96799994,1.3679999,1.318,1.3679999,1.6179999,1.9179999,2.168,1.768,1.068,0.017999992,-0.78200006,-0.432,-0.532,-0.732,-0.982,-1.2820001,-1.5320001,-1.6320001,-1.682,-1.7820001,-2.082,-2.082,-2.132,-2.2319999,-1.5320001,0.16799998,1.418,2.568,3.818,4.118,3.9680002,3.118,1.1179999,-1.5320001,-3.5319998,-4.182,-4.132,-4.032,-4.132,-4.2320004,-4.2320004,-4.0820003,-3.882,-3.582,-3.382,-3.082,-2.4819999,-1.332,0.118,1.668,3.318,5.068,6.218,6.5179996,6.2679996,5.818,5.068,4.118,3.368,3.0180001,2.868,2.868,3.0180001,3.368,3.7680001,4.2679996,4.868,5.318,5.5179996,5.5179996,5.568,5.618,5.6679997,5.7679996,6.0179996,6.318,6.6679997,7.068,7.5179996,7.9679995,8.418,8.918
2025-11-10 01:06:25+00:00,2025-11-10 00:00:00+00:00,-6.739,-5.039,-6.039,-6.139,-7.839,-8.188999,-7.039,-6.889,-6.739,-6.789,-6.139,-4.639,-3.789,-3.4390001,-3.1890001,-2.789,-2.289,-2.339,-2.4390001,-2.539,-2.239,-2.6890001,-3.039,-3.639,-4.289,-5.439,-6.139,-6.139,-6.089,-6.039,-5.689,-5.589,-5.739,-5.089,-5.289,-4.839,-5.139,-4.739,-3.6890001,-2.989,-2.139,-1.439,0.41099998,1.018,1.568,1.668,0.668,-0.032000005,-0.13200001,0.318,0.118,1.168,1.318,1.768,1.8679999,2.068,1.968,1.768,1.068,0.61800003,0.61800003,0.46799996,0.368,0.118,0.06799999,0.46799996,1.2179999,1.768,2.368,2.118,1.518,0.56799996,0.16799998,-0.582,-0.982,-1.132,-1.482,-1.832,-1.982,-1.932,-2.182,-2.432,-2.582,-2.882,-3.382,-3.832,-2.632,-0.08200001,1.9179999,3.418,4.4179997,5.1679997,5.468,4.5179996,1.268,-0.38200003,-0.08200001,-0.032000005,-0.48200002,-0.582,-2.182,-2.7819998,-2.832,-2.932,-2.9819999,-3.132,-3.332,-3.132,-2.682,-2.382,-1.0320001,1.068,2.668,3.7680001,4.568,4.818,4.618,4.068,3.068,1.7179999,0.668,0.16799998,-0.08200001,-0.282,-0.532,-0.68200004,-0.68200004,-0.432,-0.032000005,0.368,0.768,1.168,1.6179999,2.118,2.668,3.168,3.7180002,4.218,4.568,4.6679997,4.568,4.4179997,4.218,3.9680002,3.818,3.818,3.918,4.0179996,4.118,4.2679996,4.4179997,4.568,4.718,4.7679996,4.718,4.618,4.568,4.6679997,4.7679996,4.968,5.2679996,5.568,5.6679997,5.318,4.7679996,4.218,3.7680001,3.418
2025-11-11 01:00:57+00:00,2025-11-11 00:00:00+00:00,-4.389,-5.439,-5.889,-6.089,-6.139,-5.839,-5.539,-5.289,-4.939,-4.189,-4.239,-3.839,-3.589,-3.789,-3.389,-2.339,-1.689,-0.68899995,-0.889,-0.139,0.611,2.0609999,1.961,2.461,3.411,3.361,3.211,3.011,2.861,2.761,2.5609999,2.111,1.661,1.461,1.2609999,1.411,1.061,0.861,0.261,0.76100004,1.811,3.161,4.411,3.568,3.818,3.5180001,2.618,1.668,1.418,1.018,0.8679999,0.418,0.26799998,0.26799998,0.06799999,-0.282,-0.78200006,-1.332,-1.832,-2.132,-2.382,-2.4819999,-1.582,0.368,1.968,3.318,4.1679997,4.868,4.9179997,4.4179997,2.7180002,-0.48200002,-0.18200001,-0.93200004,-1.582,-2.382,-3.182,-3.332,-3.5319998,-3.582,-3.7319999,-3.4819999,-3.2819998,-3.432,-3.332,-2.7819998,-1.082,1.818,4.0179996,5.718,6.968,7.618,7.6679997,6.6679997,4.5179996,3.2680001,3.668,3.618,3.418,3.5180001,3.7180002,3.918,4.218,4.1679997,4.318,4.5179996,4.868,5.1679997,5.718,6.2679996,6.968,8.168,9.268,10.518,11.467999,11.868,11.918,11.768,11.368,10.768,10.217999,9.768,9.418,9.168,9.217999,9.368,9.467999,9.467999,9.368,9.068,8.467999,7.6679997,7.0179996,6.618,6.368,6.068,5.618,5.068,4.6679997,4.5179996,4.468,4.1679997,3.368,2.368,1.568,1.168,1.018,0.768,0.368,-0.032000005,-0.38200003,-0.582,-0.68200004,-0.732,-0.832,-0.93200004,-0.63199997,0.218,1.4679999,2.818,4.468,6.2679996,7.468,7.7679996,7.468,6.7679996,5.368,3.5180001
2025-11-12 01:02:29+00:00,2025-11-12 00:00:00+00:00,1.2609999,2.011,2.461,2.8109999,3.111,3.261,3.011,2.5609999,1.561,0.861,1.0109999,0.061,-0.139,0.011,0.011,1.211,2.3109999,3.5609999,4.761,5.411,5.411,5.261,4.261,2.961,2.261,1.7609999,1.311,0.911,0.51100004,0.011,-0.289,-0.93899995,-1.139,-1.439,-1.7390001,-1.939,-1.9890001,-2.089,-1.439,1.111,2.861,4.161,5.261,7.618,7.7679996,7.068,4.618,2.818,2.5180001,2.118,2.168,2.5180001,1.968,1.7179999,1.568,1.268,1.2179999,1.1179999,1.068,1.1179999,1.1179999,1.318,2.5180001,4.868,7.118,8.918,10.318,11.568,12.018,11.717999,10.418,9.217999,8.668,8.318,8.368,8.618,8.768,8.717999,8.768,8.918,8.918,8.717999,8.768,8.668,7.9679995,7.868,8.368,9.268,9.768,9.768,9.918,9.568,9.318,8.418,7.068,5.318,6.468,5.9179997,5.118,3.918,3.5180001,2.568,1.668,0.918,0.318,-0.33200002,-0.88199997,-1.232,-1.582,-1.8820001,-1.682,-0.63199997,0.16799998,1.1179999,1.668,1.968,2.068,1.8679999,1.2179999,0.318,-0.38200003,-0.68200004,-0.832,-1.0320001,-1.432,-1.982,-2.432,-2.832,-3.2319999,-3.4819999,-3.632,-3.632,-3.432,-2.832,-2.032,-1.2820001,-0.63199997,-0.08200001,0.218,0.118,-0.23200001,-0.78200006,-1.7820001,-2.932,-3.5319998,-2.9819999,-1.8820001,-1.132,-1.232,-1.6320001,-1.932,-1.832,-1.582,-1.432,-1.482,-1.6320001,-1.6320001,-1.482,-1.182,-0.832,-0.23200001,0.418,0.8679999,0.96799994,0.81799996,0.318,-0.832,-2.2819998
2025-11-13 01:17:39+00:00,2025-11-13 00:00:00+00:00,3.761,3.0609999,2.461,1.7609999,1.2609999,0.661,0.161,-0.439,-0.68899995,-0.789,-1.339,-1.589,-1.789,-1.9890001,-1.039,2.611,4.411,5.911,6.861,7.761,8.211,8.061001,6.361,4.011,2.761,2.0609999,1.5109999,0.911,0.161,-0.389,-0.439,-0.439,-0.389,-0.539,-0.789,-0.789,0.111,0.611,1.861,4.511,7.211,9.461,11.361,13.018,14.068,13.518,12.318,11.068,10.568,10.467999,10.418,10.717999,10.518,9.818,9.717999,9.868,9.568,9.168,8.467999,8.068,8.168,8.717999,9.018,9.518,9.918,9.168,8.318,8.118,8.018,7.4179997,5.868,4.7679996,3.818,2.868,2.068,1.4679999,0.8679999,0.318,-0.13200001,-0.48200002,-0.78200006,-1.0320001,-1.2820001,-1.6320001,-1.932,-2.2319999,-2.082,-1.3820001,-0.48200002,0.017999992,0.46799996,0.8679999,1.168,1.018,0.16799998,-0.38200003,-0.48200002,-0.63199997,-0.93200004,-1.232,-1.432,-1.5320001,-1.682,-1.832,-1.932,-2.032,-2.2819998,-2.5319998,-2.4819999,-2.582,-2.2819998,-1.432,-0.88199997,-0.532,-0.38200003,-0.23200001,-0.23200001,-0.33200002,-0.68200004,-1.232,-1.582,-1.582,-1.3820001,-1.432,-1.8820001,-2.5319998,-3.082,-3.2819998,-3.332,-3.5319998,-4.0820003,-4.682,-4.932,-4.532,-3.7319999,-2.832,-1.682,-0.38200003,0.518,0.8679999,0.8679999,0.368,-0.982,-2.7819998,-4.182,-4.682,-4.7320004,-4.782,-4.882,-4.932,-5.032,-5.182,-5.382,-5.5820003,-5.882,-6.132,-5.9820004,-5.132,-3.882,-2.632,-1.3820001,-0.13200001,0.71799994,1.018,0.918,0.318,-1.082,-2.9819999
2025-11-14 01:02:52+00:00,2025-11-14 00:00:00+00:00,3.611,2.711,2.161,1.911,1.811,1.5109999,1.111,0.76100004,0.661,0.51100004,0.211,0.161,0.461,1.061,2.211,5.311,8.611,11.461,12.661,14.161,14.961,14.661,12.861,11.411,10.661,9.911,9.561001,9.511001,9.011001,8.461,8.211,8.411,7.961,7.511,7.961,8.111,7.561,7.211,6.761,6.461,5.261,4.511,4.611,7.618,6.968,5.9179997,4.6679997,3.568,3.0180001,2.368,1.7179999,1.168,0.668,0.118,-0.33200002,-0.63199997,-0.93200004,-1.132,-1.2820001,-1.432,-1.482,-1.582,-1.5320001,-1.232,-0.68200004,-0.18200001,-0.08200001,0.418,0.81799996,0.61800003,0.16799998,0.017999992,-0.08200001,-0.38200003,-0.68200004,-1.132,-1.6320001,-1.982,-1.7820001,-2.032,-2.632,-2.632,-2.632,-2.682,-2.832,-2.832,-2.5319998,-2.2319999,-1.7820001,-1.432,-1.182,-1.0320001,-0.93200004,-1.0320001,-1.582,-3.182,-3.432,-3.432,-3.132,-2.9819999,-1.932,-1.8820001,-3.5319998,-3.832,-2.882,-2.582,-2.832,-3.2819998,-3.0319998,-3.432,-3.082,-2.2319999,-0.982,-0.032000005,0.46799996,0.96799994,1.2179999,0.918,-0.282,-2.032,-3.332,-3.682,-3.632,-3.5319998,-3.582,-3.632,-3.682,-3.7819998,-3.882,-3.9819999,-4.282,-4.5820003,-4.4820004,-3.7819998,-2.682,-1.5320001,-0.33200002,0.918,1.8679999,2.4680002,2.7680001,2.4680002,1.1179999,-0.832,-2.2819998,-2.7319999,-2.632,-2.5319998,-2.5319998,-2.5319998,-2.5319998,-2.5319998,-2.5319998,-2.5319998,-2.632,-2.682,-2.4819999,-1.7820001,-0.78200006,0.318,1.6179999,2.9680002,3.818,3.918,3.5180001,2.9680002,2.2680001,1.418
