forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:21+00:00,2025-11-05 00:00:00+00:00,11.808878,9.504272,10.028439,18.388212,18.792551,20.991426,21.767351,20.316889,12.605142,13.896187,15.7908325,18.514643,14.773164,18.161278,19.95972,23.617756,26.064596,27.475807,29.460672,30.158459,31.853388,36.674088,33.71338,31.259941,27.238943,25.537172,22.039528,20.150354,19.373219,16.199999,13.896187,11.753876,11.770403,6.9247384,7.2359104,9.504273,5.8603754,6.193674,3.563818,5.8048253,9.885262,10.739833,12.661564,10.390226,11.165805,10.587917,11.983188,14.05845,16.75064,19.694992,18.58451,17.313717,16.808569,15.379206,12.768586,4.8433046,4.1046314,4.0249224,5.692099,7.628263,10.739833,12.303366,16.263872,13.849477,19.523155,18.079027,25.241108,24.482647,23.4,21.602999,22.366402,22.104116,21.129885,19.416653,17.208603,15.937878,14.372974,13.1041975,11.91812,10.805998,11.246759,11.019764,10.739832,11.384198,11.792404,13.0447235,12.594856,13.53236,15.716793,16.645864,17.072504,17.287498,17.208603,15.580141,15.530151,17.477621,20.991426,20.188908,20.87379,19.576189,19.201874,16.323528,16.29174,16.363178,16.548256,16.992609,18.171976,19.164717,20.858265,23.313995,24.336637,27.362366,27.059933,26.28986,26.079508,24.36591,22.930048,21.924562,21.566973,21.26744,20.969807,20.767975,20.87379,21.30093,22.238562,23.507753,24.312662,24.162947,23.532547,23.090569,22.782625,22.66857,22.366402,21.9718,21.67786,21.313093,21.252197,21.203358,20.898613,19.862083,18.584509,17.81909,18.089775,18.899143,19.228851,18.79255,18.374111,17.873556,17.283749,16.92383,16.595179,16.29174,16.08761,15.696165,15.379206,14.654254,14.039999,13.358861,12.6462,11.966953,11.631956,12.031756,12.819235,12.783802,12.7279215,12.303366,13.32,16.394829
2025-11-06 01:05:10+00:00,2025-11-06 00:00:00+00:00,26.302181,26.36616,25.233404,22.406927,19.134262,17.713316,17.377226,14.255272,10.703569,8.707237,10.948973,10.739833,8.825508,9.779817,7.5599995,8.287822,10.315115,10.787993,11.246759,11.384199,12.24,12.879752,14.003028,16.645864,20.898613,19.453327,17.555307,18.709612,22.148046,16.199999,10.703569,9.1641035,3.6179552,4.3349743,2.3051248,5.495161,10.308831,17.811815,18.218275,17.057314,21.53089,23.377836,24.288662,24.48,22.68,22.751316,21.791153,20.833395,20.478907,17.298738,15.192682,13.1041975,12.0694,10.829958,10.315115,9.793059,9.449572,9.422101,10.587918,10.685391,11.298495,12.594856,12.819235,14.113652,14.186923,15.379206,15.349684,14.529915,14.84318,14.693999,12.074766,10.829958,11.090103,10.948973,10.823973,8.669949,7.42159,8.913181,13.044722,14.904173,14.529915,15.575981,16.676977,15.021105,13.684735,12.758432,13.797912,14.77755,18.36353,19.09358,21.2522,23.269482,18.58451,20.674158,21.791153,22.104116,21.897945,24.122683,22.148045,21.129883,18.919704,18.514643,18.472595,18.374111,18.278645,18.892282,19.881649,20.774214,20.46941,20.140705,20.326454,20.188908,20.948164,20.523157,20.833395,19.809813,18.58451,17.399586,16.42247,14.973577,13.53236,11.792404,10.086427,8.404285,7.2,6.6185193,6.130579,7.0911775,8.913181,10.587918,10.464797,9.565437,9.178235,9.826088,11.304229,12.7279215,14.77755,16.923828,18.0036,16.700275,15.137133,14.76439,16.42247,19.416653,21.96,23.087763,24.066206,24.798225,24.640942,23.795427,23.863409,25.099514,26.882141,28.71437,30.430117,31.700449,32.79361,32.79361,31.796375,31.170673,30.926489,30.657122,30.599998,31.072817,31.63087,31.956972,31.655441,31.09575
2025-11-07 01:02:52+00:00,2025-11-07 00:00:00+00:00,13.004922,14.512064,15.9134655,16.904673,10.948973,14.291592,13.104198,10.630672,6.8777895,2.8799999,5.4119864,8.049845,12.24,17.992796,19.852295,30.413074,31.569351,30.703587,27.475807,25.6233,25.264202,25.20257,23.933907,22.148045,20.240196,18.751125,18.014393,15.546833,15.986595,14.587776,12.864649,11.631956,9.793058,8.089993,8.311245,10.685391,7.754637,3.6179552,3.2399998,1.5273507,2.2768397,1.1384199,6.193674,15.815435,15.696165,16.1198,14.039999,13.896187,14.458382,15.596767,16.179985,16.58346,17.0763,16.870138,15.7908325,15.990646,19.130875,23.03156,22.366402,22.104116,22.148046,22.104116,23.47741,25.376808,26.141552,24.821732,26.7565,26.415268,26.368616,25.516865,25.516865,24.826952,23.906818,22.206486,20.056877,17.399586,16.79314,17.709658,17.727943,17.906157,18.218275,18.359999,18.678415,18.03237,17.22742,17.414474,16.179987,16.575644,17.49615,17.377226,16.548256,15.580141,15.807239,13.905509,13.493999,12.261158,11.792404,9.659814,9.422101,9.227524,9.107359,10.514218,11.4862,12.10157,12.904882,12.303366,12.904882,14.332341,15.315873,14.88242,17.373497,16.45007,17.339897,17.81909,18.335276,20.991426,24.94413,27.887802,28.808998,29.17777,29.723444,29.598919,28.348713,28.137632,29.723444,31.999523,33.588207,33.3559,32.33193,31.559086,31.765793,32.19938,32.696644,32.86861,32.379993,32.379993,32.553635,33.043606,33.221584,33.58628,33.96233,34.04808,34.358788,34.417206,34.296494,33.740276,32.726357,31.435646,29.871325,28.312117,27.295977,26.368616,26.072052,26.064596,26.064596,26.260265,26.260265,25.762016,25.264202,24.766848,24.881702,25.49908,25.49908,25.071098,24.363249,23.4,22.691423,22.159746
2025-11-08 00:57:07+00:00,2025-11-08 00:00:00+00:00,22.314194,21.068459,20.523157,20.49156,18.345877,15.937878,14.345898,14.693999,14.618837,15.124284,16.323528,16.704155,16.548256,17.49615,18.218275,19.64228,17.873556,19.586119,21.370783,21.67487,21.313093,20.111729,18.35647,20.620804,20.08916,20.592503,23.34455,23.263912,15.778518,13.854155,14.658676,13.779114,15.546833,18.391737,17.477621,9.726664,16.267857,14.565548,21.986542,22.691423,22.406927,23.358423,23.224882,18.751125,18.36353,16.93531,15.646544,11.480557,7.968939,13.397612,16.676977,17.163355,16.93531,16.394829,14.685176,14.917212,15.141414,14.654254,15.94601,16.279802,21.175835,22.104116,22.450264,21.758419,21.566975,20.523157,18.899143,16.92383,15.629971,14.88242,13.608762,11.525623,10.009036,8.4963045,5.692099,4.6102495,3.319036,3.319036,3.7585104,5.154415,6.4799995,6.924738,6.849467,8.350138,9.779817,11.659777,12.620554,14.440443,13.698934,13.441071,14.480773,15.856354,16.199999,15.617529,17.447933,19.13426,19.164719,19.110542,22.027763,22.206486,22.086521,22.884789,24.066206,23.358423,22.702845,23.532547,25.140787,25.376808,26.459387,26.649727,25.277023,27.288855,26.282465,25.922499,26.208397,26.496098,27.07669,27.579382,28.954834,30.58517,31.060303,30.05515,27.80403,25.862436,24.122686,22.104116,21.599998,22.89611,25.488914,27.288855,28.082308,27.871534,27.871534,27.871534,27.871534,27.66384,27.162708,26.758923,26.064596,25.872456,25.49908,25.189713,24.766848,24.27265,23.557316,22.42427,21.650938,19.95972,17.49615,14.77755,12.287555,10.315115,8.373386,6.28713,3.219938,0.8049845,4.0249224,6.9899354,9.605998,11.27553,12.24,13.493999,15.30741,18.089775,21.566973,23.023117,21.068459,17.227419
2025-11-09 01:02:59+00:00,2025-11-09 00:00:00+00:00,17.902534,20.858265,23.806318,18.720001,22.392464,13.661038,16.263872,15.990646,14.386494,14.05845,16.08761,17.57744,15.990646,17.22742,11.019764,13.324863,15.077082,13.722565,17.462782,14.84318,19.110542,19.493261,11.592894,4.68,2.9024127,8.12197,22.682856,24.858253,25.277023,19.483284,19.93048,14.8257065,13.392774,11.983188,17.377226,9.47012,22.104116,26.00486,26.282463,24.40046,22.406927,19.469975,17.727943,16.862455,17.114204,15.459054,14.689588,12.313894,9.585739,8.78872,5.1919937,2.8116899,3.219938,4.8965297,5.6920996,7.5942082,8.707237,8.891343,8.759178,9.47012,10.805999,12.6462,13.32,14.440443,15.827721,16.375053,17.377226,17.388409,17.10284,18.03237,20.082708,21.626984,20.929596,20.991426,23.83896,25.12016,25.683926,23.993399,26.260265,27.41678,24.162947,27.41678,24.967497,26.407907,25.455843,24.567198,24.192429,24.985659,25.460936,25.683926,27.288855,27.257967,26.886963,30.141266,30.267845,29.47826,29.337238,29.651413,30.319181,29.515608,27.729347,26.405453,27.416782,27.748037,28.220417,28.694056,28.185953,27.055143,25.809765,26.7565,26.250393,25.9225,24.798225,24.798225,24.967497,23.710857,21.980644,20.172853,18.668005,16.800856,15.124284,13.089354,10.636766,9.0,7.771331,6.725354,5.2416787,3.2599385,1.5273507,2.6208394,3.5455887,4.6800003,5.634891,7.491114,9.957108,12.229406,14.529915,16.831684,18.391737,18.504139,17.974781,17.906157,18.971008,20.746122,22.183128,22.691423,22.691423,22.961115,23.708124,24.458813,25.476198,26.28,26.87491,28.227304,30.532158,33.342297,34.858707,34.57687,33.342297,32.271744,31.942772,32.138947,31.602175,30.319178,28.266304,26.739542,25.96995,25.455843
2025-11-10 01:06:27+00:00,2025-11-10 00:00:00+00:00,5.2416787,6.489992,9.605998,10.483357,10.8955765,15.077082,18.35647,16.965895,17.193533,14.77755,15.683774,15.7908325,24.26998,25.11758,25.603062,23.993399,22.553934,23.34455,21.603,19.486609,18.892282,16.263872,13.104198,12.229406,10.948973,9.659814,7.8625183,5.5887027,5.634891,7.8954163,11.792404,14.529915,17.935081,16.548256,14.904173,13.089354,13.570615,12.413476,19.386593,21.413193,18.79255,18.35647,18.626305,14.81259,16.179985,17.811815,18.057508,18.03237,16.808569,16.520823,20.3774,18.678415,18.532135,19.483284,19.164717,20.073025,20.808498,23.584808,24.766848,23.979893,25.264202,26.28,26.474075,26.478971,27.103003,26.14403,25.922499,25.364037,26.161375,27.288855,26.574244,28.51282,27.887802,27.155552,27.333935,26.649727,25.7041,23.770906,22.782625,24.312662,25.12016,25.43802,24.95452,24.795612,24.149532,22.057161,21.734581,21.096123,21.068459,22.26477,22.668568,22.725668,22.682856,20.883104,19.134262,16.215992,15.5843,15.4800005,15.745627,14.241629,13.363711,13.004922,10.233123,10.948973,9.028754,9.255571,8.350138,8.647496,7.69592,9.021574,8.78872,9.957108,11.720751,11.923557,13.441071,14.145756,14.618837,15.188415,15.496736,15.4800005,15.876775,16.808569,18.448023,20.188908,22.077717,23.990698,25.43802,25.772078,25.49908,25.567604,26.562046,27.362368,28.660158,29.957968,31.151962,32.651028,34.1526,35.15488,36.158054,36.158054,35.450405,35.15488,35.572662,36.504074,37.226505,37.51262,37.8,37.51262,36.601574,35.221176,34.411556,33.933697,33.510952,32.90408,31.557032,29.957968,28.894344,28.712116,29.204409,29.69727,29.69727,30.007679,29.651413,28.97944,28.079998,26.980793,25.671307,24.442911
2025-11-11 01:00:58+00:00,2025-11-11 00:00:00+00:00,5.6233797,2.0991426,5.3517847,10.464798,11.525623,13.202726,17.148247,17.581125,15.815435,13.905509,14.113653,16.299694,15.192682,17.643673,20.991426,18.584509,17.227419,14.84318,16.323528,17.566378,19.373219,22.89611,20.945072,25.346148,22.065973,24.693481,27.595825,27.322077,26.208395,25.49908,26.089447,28.337282,28.40124,27.475807,28.503725,28.162954,27.36947,26.66188,26.795223,29.515608,32.783726,32.169178,33.672993,28.162954,29.268686,30.007679,29.651413,30.993471,31.178993,30.353355,29.257614,28.757215,26.980793,27.238941,27.381306,28.04305,27.238941,26.081993,26.299719,28.277763,26.544964,25.620771,25.045238,24.821732,24.703976,25.161398,25.620771,26.111792,26.124195,25.932495,25.516865,24.640942,24.27265,23.675303,21.980644,20.316889,17.22742,15.175612,10.636766,8.311245,5.815978,5.506941,4.379589,4.0249224,3.219938,4.0249224,4.3349743,5.8603754,9.0,10.086427,11.753876,13.755579,13.896187,14.654254,16.75064,18.079027,17.309975,16.279802,15.496736,16.09969,16.746773,17.533146,19.469975,19.386593,18.671474,19.809813,19.469975,17.76081,19.586117,19.562946,19.211996,18.888851,18.775301,17.294992,16.595179,14.471821,11.659777,9.531505,8.4042845,7.9526596,7.5942073,6.9899354,6.439876,5.8603754,5.5887027,7.289444,8.78872,7.386582,5.00128,4.379589,6.9899354,11.384199,14.578888,16.055353,16.73516,17.309973,18.345877,19.386591,19.64558,18.861387,17.377226,15.893093,13.708391,11.440978,9.531505,8.669949,8.707238,8.209263,7.0911775,5.6233797,4.6938257,4.1046314,3.96,4.1046314,4.5536795,5.3517847,6.489992,7.754637,9.659814,11.435313,13.584932,15.277749,16.78156,16.676977,16.1198,15.2947035,14.654254,14.386494
2025-11-12 01:02:30+00:00,2025-11-12 00:00:00+00:00,26.009842,27.0024,27.684914,28.220417,28.40124,26.89419,26.099379,26.807312,27.36947,26.944744,27.56058,29.47826,29.76484,29.337238,30.993471,32.2396,36.066536,37.35683,38.848316,39.65233,38.988182,36.367126,31.062386,30.173496,31.76375,30.192822,28.79325,26.552288,23.469128,21.407139,22.881958,24.651457,24.881702,25.140787,25.12016,26.729847,26.729847,25.44566,26.208395,29.257614,31.608328,33.893574,34.94968,24.336637,22.553936,20.275383,18.36353,15.484185,13.084402,10.661107,8.311245,7.127636,6.0347,3.6,2.5455842,3.0758414,4.510787,5.4119864,6.2145634,6.725354,7.5170207,8.654986,11.298495,14.904173,16.92383,18.0,19.513195,19.083395,18.581022,19.586119,20.304129,19.681828,19.602652,18.075441,18.391737,18.79255,18.374111,18.775303,17.873556,18.079027,16.676977,14.512064,14.48972,12.43434,10.587917,9.028754,6.87779,10.495713,16.279802,20.163212,20.291357,21.129885,21.129885,18.331741,17.76081,18.1041,19.969458,24.66197,27.504093,29.5551,28.772987,28.091534,27.41678,27.598173,28.162954,27.859905,26.865265,26.980793,26.486313,26.61323,26.795223,27.105392,27.238941,27.532352,27.381308,27.086262,26.807312,26.61323,26.407907,26.459387,26.368616,26.009844,24.951921,23.928492,22.148046,20.12461,18.626305,17.884428,17.654688,17.377226,17.581125,18.075441,18.11841,17.935081,17.283749,16.78156,16.704155,16.870138,16.563911,16.039202,15.530151,15.021105,14.529915,13.896187,13.70839,13.854155,14.578888,14.799459,14.345898,13.661038,13.441071,13.237039,13.527572,13.684735,13.854155,13.779114,14.003029,13.661038,13.441071,12.904882,12.879752,12.413477,12.4811535,12.096214,11.720751,11.457958,11.753876,12.387348
2025-11-13 01:17:40+00:00,2025-11-13 00:00:00+00:00,33.58628,26.959166,21.767351,21.67786,23.86341,20.969807,19.513195,19.161337,19.66536,17.771753,20.957443,21.96,20.265795,18.844202,21.67487,27.804028,31.06239,32.283787,33.68069,33.91269,33.40055,31.616526,27.698952,24.993439,20.49156,15.646544,10.787993,10.144082,9.726664,7.42159,4.1046314,2.7416782,2.2768397,4.072935,5.8603754,6.989936,6.3690495,10.703569,12.984975,15.30741,15.7908325,18.391737,20.523157,16.08761,15.072783,15.856354,15.349684,17.0763,16.610792,15.941944,16.62249,15.629971,14.05845,13.009903,10.787993,9.565437,8.217153,6.9899354,7.072878,7.729527,10.308831,15.5843,16.954432,21.077686,19.33639,23.358423,22.86496,23.686249,23.83624,22.539564,20.65848,29.162222,28.963785,30.05515,30.261421,30.070238,29.268686,29.957968,31.122828,32.10667,31.981293,31.487139,31.487139,31.303444,31.614477,31.796375,30.993471,30.190672,30.190672,29.96662,29.795301,29.947153,30.599998,30.070238,30.25928,29.882166,29.6383,29.09103,28.583183,27.295977,26.493652,26.220753,25.20257,24.703974,25.02971,24.482647,23.269482,21.470612,19.734436,19.373219,19.95972,19.681828,19.61587,19.09358,18.626305,18.440998,18.218275,17.713316,16.323528,15.03835,13.979872,13.397612,12.55879,12.074766,11.298495,10.296251,9.931042,10.182337,10.44,10.691453,10.703569,10.464797,10.464797,10.44,10.195057,10.296251,10.495713,10.787993,10.966713,11.298495,11.440979,11.113451,10.30883,8.699793,7.754637,7.5170207,7.42159,7.69592,7.69592,7.42159,7.5170207,7.628263,8.089993,8.699793,9.693296,10.739832,11.966954,12.7279215,12.984975,13.513193,14.618837,15.778516,16.485485,16.299694,15.496736,14.693999,14.386494,14.081477
2025-11-14 01:02:54+00:00,2025-11-14 00:00:00+00:00,23.675303,19.296133,12.57426,10.948973,11.879999,11.367109,9.028754,1.9386592,3.6,5.3999996,7.24486,7.2,9.605998,12.768586,18.075441,16.992609,18.723461,19.296135,19.734436,18.844202,20.620804,18.328207,14.021525,11.808878,13.207634,15.893093,17.462784,15.546833,14.764389,11.165805,9.0645685,7.9526596,7.2359104,9.983106,18.751125,31.956972,31.883888,29.28418,24.774696,28.227304,33.50128,33.77291,35.261623,26.7565,25.952478,26.099379,27.41678,24.192429,26.36616,28.373846,28.583183,29.568253,28.62396,27.381308,27.0,27.257967,27.757378,28.257132,28.082308,28.296091,28.8,28.51282,28.954834,29.01743,29.522196,29.088802,28.460497,28.357855,28.894344,29.69727,29.5551,30.886656,31.072817,30.888754,29.5551,28.056913,26.161375,25.199997,24.569836,23.000591,22.45315,22.218153,21.758419,20.523157,20.240198,19.406637,18.35647,18.59845,18.075441,17.826363,17.31746,16.80857,16.548256,16.548256,16.548256,15.815435,15.349684,13.779114,13.0447235,12.245293,10.829958,8.707237,9.178235,11.753876,12.538134,12.229406,12.475961,12.7279215,12.475961,12.538134,12.031756,11.720751,11.988594,11.983188,13.049689,13.32,13.450708,13.276144,12.57426,11.27553,10.028439,8.891344,7.42159,6.28713,5.0142193,3.8773184,3.4152596,3.8773184,4.6800003,5.4833565,5.815978,6.0347,6.28713,6.638072,7.42159,8.209263,9.255571,10.041354,10.661107,10.1376915,9.36,8.707238,7.6367526,6.5693827,5.4477882,4.379589,3.671294,2.7416782,2.3051248,3.319036,3.96,4.3349743,4.73506,4.379589,3.319036,3.396233,4.73506,5.0911684,5.2416787,5.95906,7.289445,9.0,10.296251,10.805998,10.703569,11.440978,12.074766,12.7279215
