forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:24+00:00,2025-11-05 00:00:00+00:00,6.7584996,6.4585,6.5585,6.2584996,6.6584997,6.9084997,6.8085,7.1085,7.2584996,7.2085,7.0084996,6.9585,6.7584996,6.5084996,6.2085,6.3585,6.9585,7.3085,7.1584997,7.3585,8.2085,7.6584997,6.3585,6.6085,6.6085,5.6085,4.9084997,4.1584997,3.8085,3.9085,3.5585,3.3585,3.0085,2.9085,3.6085,3.4085,3.6085,2.5085,4.2085,5.2085,5.8585,6.3085,6.7584996,8.288,8.488,8.238,7.138,6.588,6.488,6.888,7.1879997,7.588,8.088,8.288,8.188,8.938001,8.788,9.338,9.438001,8.838,8.688001,9.088,10.238,11.688001,12.588,12.688001,12.688001,12.488,11.988,11.188001,9.738,8.988,7.7879996,6.4379997,5.2879996,4.238,3.788,3.7380002,2.9880002,2.538,2.538,2.238,1.838,0.888,0.538,0.288,1.338,2.538,3.338,3.788,3.9880002,3.9880002,3.688,3.188,2.188,1.388,1.888,1.688,0.638,-0.562,-0.562,-0.562,-0.462,-0.26200002,-0.162,-0.31199998,-0.462,-0.662,-0.86200005,-0.86200005,-0.512,0.238,0.238,-0.162,-0.662,-1.112,-1.612,-1.9619999,-2.0119998,-1.862,-1.7619998,-1.7619998,-1.812,-1.9619999,-2.312,-2.7619998,-3.112,-3.362,-3.462,-3.112,-1.812,-0.062000006,1.2379999,1.638,1.5380001,1.5380001,1.7880001,2.088,2.238,2.088,1.838,1.5380001,1.288,1.088,0.788,0.338,-0.162,-0.512,-0.612,-0.562,-0.562,-0.662,-0.762,-0.86200005,-1.0120001,-1.112,-1.0120001,-0.412,0.388,1.088,1.4879999,1.688,1.7379999,1.588,1.288,0.988,0.788,0.68799996
2025-11-06 01:05:14+00:00,2025-11-06 00:00:00+00:00,7.0084996,6.4084997,5.2584996,4.8085,4.7584996,4.0585,5.1085,4.2085,4.7584996,3.4085,3.0585,2.6585,2.5085,2.1085,4.4585,6.3085,6.8085,7.2584996,7.3085,7.8585,8.0585,7.9084997,6.7085,5.3585,4.7085,4.4585,4.5084996,4.8085,5.4084997,5.6085,5.8585,5.7584996,5.3085,5.7085,6.0585,6.4585,6.1584997,6.1085,8.0585,10.0585,10.3585005,10.5085,10.408501,11.288,10.788,9.738,8.3880005,6.988,6.738,6.0379996,5.2879996,4.638,3.888,3.538,3.2380002,2.888,2.7380002,2.638,2.138,0.68799996,0.037999988,-0.662,0.73800004,2.138,3.2380002,3.7380002,4.238,4.138,4.038,3.688,3.038,2.7380002,2.338,1.9879999,1.9879999,1.888,1.088,0.037999988,0.338,0.68799996,0.838,0.73800004,0.588,-0.162,-0.412,0.188,0.638,0.288,1.4879999,1.7379999,2.388,2.4880002,2.238,1.838,0.788,0.188,-1.0120001,-1.662,-1.5120001,-1.612,-2.162,-2.462,-3.162,-3.5119998,-3.662,-3.7120001,-3.7619998,-2.7619998,-2.162,-1.662,-1.5120001,-0.612,-1.2119999,0.438,1.2379999,1.338,1.2379999,1.138,1.2379999,1.338,1.388,1.338,1.2379999,1.138,1.188,1.2379999,1.2379999,1.038,0.73800004,0.388,-0.11199999,-0.71199995,-1.0120001,-0.912,-0.562,-0.062000006,0.68799996,1.588,2.288,2.588,2.688,2.688,2.4880002,2.188,1.9879999,2.038,2.188,2.438,2.888,3.438,3.838,4.038,4.088,4.1879997,4.388,4.638,4.888,5.1879997,5.488,5.638,5.588,5.388,5.338,5.5379996,5.838,5.9379997,5.588,5.088
2025-11-07 01:02:56+00:00,2025-11-07 00:00:00+00:00,6.0084996,5.3085,5.3585,5.4084997,5.8085,6.1085,6.2584996,6.8585,6.1085,5.8585,6.3085,6.6584997,7.1085,7.4585,8.1085005,8.7085,9.908501,9.6085005,9.8085,9.0585,8.2085,7.8585,7.2584996,6.5585,5.6584997,4.7584996,4.0085,3.6585,2.9585001,2.5085,2.1585,1.2585001,0.1585,-0.041500002,-0.1415,-0.19150001,-0.24150002,-0.19150001,0.1585,0.5585,1.1085,1.5585,2.1085,4.5379996,4.488,3.938,3.138,2.788,2.238,0.988,0.238,0.338,0.338,0.438,0.388,-0.462,-0.912,-0.662,-0.512,-1.2119999,-1.9619999,-2.112,-1.812,-1.2119999,-0.362,0.888,1.7379999,1.438,0.838,0.438,-0.26200002,-0.21200001,-0.062000006,0.088,-0.162,-0.412,-0.912,-2.5119998,-2.862,-3.112,-3.812,-3.7619998,-4.362,-4.7120004,-4.5620003,-4.412,-3.612,-2.612,-1.4619999,-0.512,0.438,0.888,0.488,0.638,0.888,1.888,0.538,0.438,-0.31199998,-0.96199995,-3.362,-4.862,-5.8120003,-5.4620004,-4.762,-3.162,-2.362,-1.062,0.088,0.638,1.7379999,2.438,3.2380002,4.288,3.588,3.788,3.888,3.9880002,4.038,4.138,4.288,4.638,5.088,5.5379996,5.988,6.488,6.7879996,6.838,6.6879997,6.5379996,6.388,6.1879997,6.0379996,5.9379997,5.888,5.7879996,5.5379996,5.2879996,5.0379996,4.9379997,4.838,4.738,4.5379996,4.288,4.088,3.9880002,3.9880002,3.888,3.688,3.438,3.188,2.888,2.638,2.388,2.238,2.088,2.088,2.188,2.388,2.638,2.9880002,3.438,3.638,3.4880002,3.138,2.938,3.038,3.2380002
2025-11-08 00:57:10+00:00,2025-11-08 00:00:00+00:00,5.7085,5.3585,4.9084997,4.1584997,3.3085,2.7585,2.2585,2.0585,1.8085,1.4085001,0.5585,0.4585,0.2585,0.3085,0.5585,0.7585,1.2085,1.4585,1.3585,1.6585001,2.1085,2.2085001,1.8085,1.4585,1.2585001,1.1585001,0.5085,0.108500004,-0.1415,-0.19150001,-0.3415,-0.49150002,-0.54150003,-0.49150002,-1.1915,-0.5915,-1.7414999,-2.8915,-2.6915,-1.7414999,-0.79150003,-0.19150001,0.1585,1.138,1.2379999,0.588,-0.562,-1.312,-2.212,-2.412,-2.2619998,-2.912,-2.812,-2.962,-3.412,-3.8619998,-4.112,-4.412,-4.7120004,-5.012,-5.112,-4.762,-3.2619998,-1.812,-0.86200005,-0.26200002,-0.162,-0.162,-0.21200001,-0.0119999945,-0.062000006,-1.612,-1.5120001,-0.162,-1.112,-1.5120001,-1.5120001,-1.2620001,-0.412,0.838,1.138,1.138,0.68799996,0.088,-1.4619999,-1.162,-0.31199998,0.788,1.9879999,2.9880002,3.688,4.138,4.238,3.838,2.888,2.188,2.238,2.138,2.888,2.338,2.288,1.7880001,0.838,-0.462,-0.0119999945,3.288,4.288,4.138,4.088,4.088,4.5379996,4.6879997,5.088,5.5379996,5.0379996,4.988,4.838,4.738,4.738,4.738,4.6879997,4.488,4.1879997,3.9880002,3.888,3.788,3.7380002,3.688,3.638,3.538,3.388,3.188,3.088,3.038,3.088,3.188,3.388,3.638,3.788,3.638,3.338,3.138,3.138,3.188,3.188,3.088,2.938,2.838,2.788,2.788,2.7380002,2.638,2.538,2.4880002,2.4880002,2.4880002,2.588,2.7380002,2.9880002,3.338,3.9880002,4.738,5.088,4.738,4.038,3.438,3.188,3.138
2025-11-09 01:03:02+00:00,2025-11-09 00:00:00+00:00,-0.3415,-0.19150001,-0.2915,-0.24150002,-0.2915,-0.19150001,-0.1415,0.0585,0.0585,-0.3915,-0.49150002,-0.4415,-1.0415,-1.0914999,-0.6915,-0.09150001,0.4085,-1.1915,1.0585,1.0085,0.6085,-0.041500002,-0.8415,-0.99149996,-0.99149996,-1.1915,-1.3414999,-1.5914999,-1.8915,-2.2415,-2.7914999,-4.0915003,-4.7415004,-5.3415003,-6.1415,-6.7915,-7.1915,-7.3415003,-4.6915,-3.0915,-1.7915,-1.2414999,-1.3414999,0.588,0.988,-0.0119999945,0.68799996,-0.512,-0.562,-0.26200002,0.138,0.338,0.938,0.388,0.73800004,0.938,0.638,0.888,0.73800004,0.68799996,-0.21200001,-0.31199998,0.288,1.2379999,2.338,3.4880002,3.938,4.5379996,4.488,3.888,2.688,2.238,1.9879999,2.138,2.388,1.9879999,0.438,-0.86200005,-0.612,-0.162,0.73800004,3.838,4.638,4.7879996,5.0379996,5.488,5.588,5.888,5.988,5.7879996,6.0379996,6.138,5.838,5.5379996,5.088,4.9379997,4.888,5.0379996,4.988,4.738,4.5379996,4.488,4.388,4.238,3.638,3.538,3.338,3.388,3.2380002,3.388,4.138,4.9379997,5.7879996,6.2879996,6.638,6.638,6.338,6.088,5.988,5.9379997,5.738,5.338,4.838,4.288,3.7380002,3.138,2.538,1.9879999,1.4879999,1.038,0.438,-0.11199999,-0.11199999,0.838,2.338,3.788,4.988,6.088,6.888,7.2879996,7.388,7.0379996,5.988,4.488,3.288,2.7380002,2.4880002,2.288,2.138,2.038,1.9879999,2.038,2.138,2.288,2.4880002,2.7380002,3.138,3.688,4.338,4.988,5.638,6.2879996,6.738,6.738,6.5379996,6.4379997,6.5379996,6.7879996
2025-11-10 01:06:31+00:00,2025-11-10 00:00:00+00:00,-3.9915001,-3.8415,-3.8415,-4.5915003,-5.3415003,-5.8915,-6.2915,-6.5415,-6.6915,-7.1415,-7.3915,-6.0915003,-6.7915,-7.4915004,-4.6415,-3.1415,-2.5915,-1.1415,-3.0915,-3.0915,-3.1415,-2.9415,-3.7914999,-5.2415004,-5.3415003,-3.7914999,-4.2915,-3.5915,-3.2415,-2.5915,-1.7414999,0.2585,0.3085,0.108500004,-0.4415,0.5085,0.4085,0.6085,0.7585,0.5085,0.70849997,1.0085,1.2085,2.938,3.838,3.538,2.688,2.188,2.688,2.588,2.538,2.288,1.5380001,1.188,1.838,2.688,3.938,3.588,4.338,3.7380002,4.138,4.838,5.338,5.888,5.838,5.638,5.1879997,5.838,5.838,5.488,5.238,5.0379996,5.0379996,4.588,4.138,4.288,4.5379996,4.588,4.6879997,4.738,4.5379996,4.638,4.588,4.638,3.938,3.838,4.488,5.338,6.0379996,6.1879997,6.4379997,6.5379996,6.638,6.0379996,4.638,3.588,3.088,2.838,2.9880002,3.188,3.138,2.7380002,2.4880002,2.638,2.638,2.388,3.188,4.1879997,4.138,3.2380002,4.988,6.988,7.838,8.288,8.838,8.688001,8.188,7.388,6.0379996,4.338,2.9880002,2.388,2.088,1.888,1.588,1.288,1.088,0.938,0.838,0.838,0.988,1.288,1.688,2.238,2.838,3.538,4.388,5.238,5.7879996,5.7879996,5.488,5.088,4.6879997,4.1879997,3.888,3.888,4.038,4.1879997,4.338,4.5379996,4.588,4.488,4.288,4.138,3.9880002,3.888,3.938,4.288,4.838,5.2879996,5.588,5.738,5.838,5.838,5.6879997,5.488,5.138,4.6879997
2025-11-11 01:01:01+00:00,2025-11-11 00:00:00+00:00,-0.19150001,0.008499999,0.3585,0.5085,-0.19150001,0.2085,0.6085,0.9085,0.70849997,0.4085,0.008499999,-0.09150001,0.0585,0.2585,0.70849997,1.1085,1.3585,1.4585,0.95849997,1.1085,0.8585,0.7585,1.2585001,1.5585,1.6085,1.6085,1.7085,1.8585,2.1585,2.8585,3.7085001,4.3085,4.8585,5.2584996,5.3085,5.3085,5.3585,5.2584996,5.1584997,5.2085,5.1085,5.3585,5.8585,5.5379996,5.388,5.338,5.338,5.388,5.238,5.238,5.088,5.0379996,4.638,5.238,5.2879996,5.388,5.388,5.338,5.2879996,5.138,4.888,4.888,5.088,5.588,6.238,6.588,6.5379996,6.888,6.838,6.5379996,5.738,4.638,4.588,6.0379996,6.488,6.0379996,5.5379996,5.088,4.7879996,4.888,4.7879996,4.4379997,3.788,3.338,2.388,1.888,3.2380002,4.138,5.1879997,5.9379997,6.5379996,6.7879996,6.638,6.138,4.288,3.438,2.9880002,2.638,2.438,2.388,2.138,2.288,2.038,1.888,1.638,1.588,1.438,1.438,1.7379999,2.138,3.338,5.238,7.088,8.488,9.688001,9.988,9.788,9.538,9.3880005,9.288,9.288,9.488,9.8880005,10.3880005,11.1380005,12.038,12.788,13.3880005,13.8880005,14.1380005,14.088,13.838,13.438001,12.788,11.988,11.338,10.8880005,10.588,10.288,9.938001,9.588,9.188001,8.688001,8.088,7.588,7.2879996,7.0379996,6.738,6.338,5.9379997,5.338,4.488,3.538,2.7380002,2.038,1.5380001,1.4879999,2.188,3.338,4.638,6.1879997,7.838,8.988,9.288,9.088,8.6380005,7.988,7.088
2025-11-12 01:02:33+00:00,2025-11-12 00:00:00+00:00,2.4585001,2.4585001,2.7585,2.8085,2.9585001,3.4585001,3.8585,4.0585,4.4084997,4.8085,5.4585,5.7085,5.8585,5.9585,5.5585,5.6584997,6.2085,5.6085,5.9084997,5.7584996,6.1085,5.3085,4.8585,4.7085,4.6584997,4.5585,4.4084997,4.4585,4.4585,4.4084997,4.3585,4.4084997,3.9585001,3.6585,3.8585,3.5585,2.8585,2.5585,3.9585001,5.3585,5.7085,6.3085,6.6584997,8.188,8.238,7.388,6.0379996,4.588,3.888,3.538,3.538,3.338,3.138,2.888,2.7380002,2.4880002,2.188,2.238,2.388,2.438,2.338,2.4880002,4.038,6.4379997,8.188,9.488,10.3880005,10.8880005,10.988,9.8880005,7.638,6.4379997,6.238,6.088,5.738,5.588,5.238,4.888,4.738,4.738,4.888,4.838,4.988,5.138,5.488,6.0379996,7.1879997,8.988,10.8880005,12.538,14.088,15.088,15.038,13.838,12.088,10.8880005,10.188001,9.788,9.188001,8.538,7.9379997,7.338,6.6879997,7.0379996,6.888,6.338,5.888,5.2879996,4.738,4.288,4.488,5.0379996,5.388,5.588,5.6879997,5.4379997,4.988,4.588,4.4379997,4.388,4.238,3.838,3.338,2.938,2.7380002,2.688,2.638,2.588,2.538,2.4880002,2.238,1.9879999,1.9879999,2.4880002,3.2380002,3.838,4.1879997,4.4379997,4.488,4.338,3.9880002,3.688,3.538,3.438,3.288,3.088,2.888,2.688,2.438,2.188,1.9879999,1.938,1.9879999,1.9879999,1.838,1.638,1.638,2.038,2.688,3.2380002,3.638,3.9880002,4.138,4.088,3.838,3.688,3.688,3.7380002
2025-11-13 01:17:43+00:00,2025-11-13 00:00:00+00:00,4.7085,3.9085,3.5085,3.4585001,3.4085,3.4585001,3.4085,3.1585,2.8585,2.7585,2.7585,2.5085,2.3085,2.2585,3.9585001,5.8085,6.6584997,7.4084997,7.4084997,7.9084997,8.1085005,7.8085,6.0084996,4.5585,3.5585,2.9585001,2.6085,2.2585,2.1085,1.6085,1.2085,1.1085,0.7585,0.7585,0.5085,0.4085,0.6585,0.6085,2.3085,4.8585,7.7085,9.3585005,10.4585,11.838,11.788,10.838,8.288,7.838,7.388,7.1879997,6.988,6.7879996,6.638,6.488,6.4379997,6.7879996,7.238,7.638,7.888,8.338,8.6380005,9.238,10.788,13.088,14.088,14.6380005,14.8880005,14.288,13.8880005,12.188001,10.3880005,10.038,9.1380005,8.788,8.188,7.238,6.4379997,5.838,5.338,4.988,4.5379996,4.138,3.888,3.788,3.538,3.288,3.2380002,3.388,3.688,3.838,4.088,3.888,3.638,3.4880002,3.2380002,3.188,3.038,2.888,2.7380002,2.688,2.7380002,2.688,2.638,2.638,2.538,2.438,2.288,2.088,2.038,2.188,2.538,3.138,3.2380002,3.088,3.088,3.038,2.9880002,2.9880002,3.088,3.288,3.338,3.2380002,3.038,2.888,2.788,2.688,2.638,2.688,2.788,2.838,2.788,2.638,2.638,2.788,3.038,3.338,3.7380002,4.138,4.4379997,4.588,4.638,4.388,3.588,2.538,1.638,1.138,0.788,0.488,0.238,-0.0119999945,-0.162,-0.26200002,-0.362,-0.362,-0.462,-0.512,-0.11199999,1.138,2.838,4.088,4.5379996,4.5379996,4.4379997,4.238,3.938,3.688,3.538,3.438
2025-11-14 01:02:57+00:00,2025-11-14 00:00:00+00:00,3.9585001,3.1085,2.4585001,2.0585,1.9085001,1.6585001,1.6085,1.5585,2.5585,2.8085,2.5085,1.7085,0.95849997,0.6085,2.8085,6.6584997,10.2085,12.658501,13.0085,13.6085005,13.7085,12.7585,10.2585,8.2085,7.4084997,7.2085,6.8085,6.3585,6.0585,5.9084997,5.7584996,5.7584996,6.3085,6.8585,7.5585,7.8085,8.1085005,8.658501,10.1085005,12.1085005,11.5585,10.5085,9.8585005,11.3880005,10.238,9.988,8.938001,8.538,7.6879997,7.2879996,6.738,5.588,5.0379996,4.7879996,4.588,4.338,4.038,3.638,3.4880002,3.2380002,2.938,2.688,2.888,3.2380002,3.388,3.638,3.588,3.438,3.138,2.9880002,2.838,2.688,2.4880002,2.288,2.088,2.238,2.288,2.288,2.138,1.7379999,1.338,1.388,1.188,0.988,0.988,1.088,1.288,1.838,2.288,2.138,2.338,2.288,2.238,2.288,1.888,1.888,2.188,2.288,2.388,2.338,2.388,2.438,2.388,1.7880001,2.288,2.788,2.838,2.838,2.838,2.7380002,3.188,3.788,4.4379997,4.6879997,4.988,5.0379996,4.888,4.6879997,4.388,4.088,3.788,3.638,3.588,3.4880002,3.338,3.188,3.038,2.888,2.688,2.538,2.338,2.188,2.188,2.438,2.888,3.4880002,4.338,5.338,6.0379996,6.2879996,6.238,5.7879996,4.7879996,3.388,2.238,1.5380001,1.088,0.73800004,0.388,0.088,-0.062000006,-0.11199999,-0.0119999945,0.037999988,-0.11199999,-0.31199998,-0.062000006,0.888,2.238,3.538,4.6879997,5.738,6.388,6.388,6.0379996,5.488,4.7879996,3.938
