forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:35+00:00,2025-11-05 00:00:00+00:00,-3.6374335,-3.3951445,-2.2605104,-3.0400069,-2.805478,-1.7853986,-2.4783351,-4.271288,-4.090169,-2.7341752,-1.6971681,-0.918625,1.1861434,3.9126601,6.987598,8.878334,9.604366,9.169177,6.5710435,5.978552,4.3953648,4.1368065,2.4286194,1.001551,0.51854146,0.27702448,0.12403036,0.21009244,0.7744826,0.8493834,0.2771623,-0.36004353,-0.5656144,-0.9440552,-1.2357374,-1.5815895,-1.878039,-1.1907746,0.14635052,0.63342077,0.76430833,-0.33531877,-1.9813546,-4.4895144,-4.727032,-4.2595143,-4.125495,-4.238113,-4.2593136,-4.4450045,-4.2846365,-2.374023,-1.6692928,-0.6034913,-0.22557595,-1.256672,-1.9709055,-2.376907,-1.0821781,2.0152657,2.956461,4.4678583,5.329728,5.204223,6.9751835,8.471929,9.088901,9.1869955,9.263757,9.215063,7.7293353,6.7516317,6.146808,5.6747704,5.450201,5.2209635,5.2356725,5.3965607,5.0508213,4.841493,4.5450835,2.4237885,1.6917647,0.07732849,-1.1480266,-1.9676406,-3.0314348,-3.486214,-4.018901,-4.5018716,-4.9979324,-5.483226,-5.574567,-5.735114,-5.5875688,-5.8543425,-6.0807943,-5.9577236,-5.2980657,-4.6512895,-4.452339,-3.1227229,-0.84810996,0.06425063,0.30220804,0.543845,0.7844351,0.5347209,-0.104664415,0.14476275,0.1351776,0.124,-0.064594366,-0.6445136,-0.83052677,-1.7756925,-3.0868466,-4.3491573,-5.2275267,-5.8302116,-6.6066127,-7.050551,-7.4262457,-7.8293576,-8.335933,-8.656364,-8.770293,-8.698094,-8.282607,-8.134362,-8.235527,-8.4329815,-8.042207,-6.910013,-5.2379193,-3.6144013,-2.1393635,-0.7138545,0.324,0.59373003,0.16775832,-0.28418067,-0.9871897,-1.7832371,-2.5215366,-3.1063755,-3.5451534,-4.0897455,-4.538415,-5.0337873,-5.2875175,-5.3449264,-5.4442415,-5.5435557,-5.981898,-6.4208837,-6.415204,-5.6205916,-4.5357466,-3.5059907,-2.9824858,-2.5679724,-2.2425776,-2.1156178,-2.2350776,-2.2838314,-2.193687,-2.098835
2025-11-06 01:05:31+00:00,2025-11-06 00:00:00+00:00,1.0952243,-0.18126047,-1.1364533,-0.4414214,-1.3532006,-0.9858143,-0.83755255,-0.7521865,-0.359371,-0.44524065,-0.74167323,-0.83630055,-1.5795088,-1.0353476,0.55366653,0.80132276,-0.19281116,-0.22939032,-1.467778,-1.7656212,-2.6186738,-2.7106063,-3.2502773,-3.849549,-3.4366055,-3.2636795,-3.058588,-2.4172642,-0.10431462,0.7011037,1.1434062,0.06473015,-0.872607,-1.7606363,-1.3329954,0.97308385,2.4603329,2.8325408,3.928474,4.572185,5.906608,6.905325,8.038432,9.15038,7.982712,6.709851,5.502439,5.2332015,5.2060237,5.0182123,4.8700914,4.546704,4.0624537,3.8728747,4.455424,3.594915,1.5936753,0.5311002,-0.18485586,-1.2007562,-1.7348651,-2.1655416,-2.966233,-2.8959599,-2.843436,-2.8097744,-3.1454,-3.8020723,-4.3693805,-4.6897697,-4.352157,-3.736872,-3.013216,-2.9984875,-2.7876904,-2.5428724,-2.3031852,-1.8717747,-0.1955198,1.7046261,1.8511403,1.9963095,1.8408523,1.5914286,1.3918896,1.5335759,1.783289,1.7471795,2.0403898,1.209105,0.8251328,2.0028691,1.3037015,0.9997842,0.40186217,-0.3386491,-1.2272893,-0.40397778,-0.90283537,-1.2021508,-1.052493,-0.55363476,-1.521531,-2.718422,-2.7758765,-2.3588874,-2.906909,-2.6280723,-3.5076582,-4.0971894,-4.742319,-4.661565,-4.477551,-5.057045,-5.640123,-5.2355604,-4.6450067,-4.3306494,-4.387875,-4.6000767,-4.8800035,-4.730511,-4.5504203,-4.4393415,-4.6834564,-5.126421,-5.3240876,-5.083326,-4.848358,-4.51941,-4.4696374,-4.370092,-4.3104,-4.1963816,-3.9413204,-3.6453211,-2.7545664,-1.813997,-1.1701326,-1.1206023,-1.4677072,-1.8157842,-2.2192419,-2.6284046,-2.994508,-3.1555011,-3.2693305,-3.073751,-2.4870334,-1.753682,-1.0503308,-0.6262168,-0.24800241,-0.037158694,0.3157332,0.7127248,1.154399,1.5914286,2.124,2.674,3.341596,4.085014,4.3834915,4.186426,3.4599502,2.849237,2.2697744,1.4911283
2025-11-07 01:03:12+00:00,2025-11-07 00:00:00+00:00,-3.6876059,-3.8722167,-3.1684444,-2.0822747,-0.9237738,-0.6343585,0.37504104,-0.4464352,-0.8976384,-0.46779966,-1.0259005,-1.1971428,2.695609,2.0905645,2.9043355,4.0225396,5.6643124,6.905325,7.542673,8.126995,8.508377,7.334181,6.864013,5.9586883,6.5196767,6.0613856,5.1422353,4.4847975,3.2073,2.4603329,1.8272656,2.104366,1.648891,1.4736187,1.437947,0.7247183,0.11134572,-0.40906054,-0.8590219,-0.22443722,0.11334958,0.69738156,0.113184415,-3.848057,-3.6184347,-3.7635753,-3.8025312,-4.2539415,-4.4500957,-4.438301,-2.6987317,-0.26055863,0.9553283,1.4836334,1.6334611,1.4836334,1.5335759,1.8831741,1.7909672,1.6475272,1.3485696,0.1647289,0.3157332,0.29404753,0.4147879,-0.64140487,-1.4407727,-2.8355513,-4.7327332,-5.4293613,-5.574874,-6.046822,-4.672685,-3.9939315,-3.3513508,-4.45537,-5.0864744,-5.1272464,-5.323328,-5.422922,-4.699389,-4.436075,-5.430638,-5.6422935,-5.6273074,-6.266332,-6.8110013,-7.325309,-8.046335,-8.87476,-9.8237095,-9.958863,-8.439992,-3.8245277,-3.8899546,-3.248681,-3.0060973,-2.1727288,-2.018052,-2.018052,-3.4567661,-3.891045,-4.3865995,-4.879339,-5.027588,-4.9781713,-4.9778423,-5.1272464,-5.13564,-4.752343,-4.3157206,-4.319437,-5.611436,-5.3794165,-5.0950065,-5.4735823,-5.7047405,-5.6294003,-5.466496,-5.0614486,-4.626479,-4.29755,-3.924889,-3.5081224,-2.7771652,-2.0095742,-0.93298227,0.34281027,1.8381734,2.6795614,3.0651617,2.9171627,2.954764,3.1324146,3.254475,3.08884,2.3167665,1.3865148,0.29733065,-0.28603333,-0.63401586,-0.8356691,-1.296137,-1.8572083,-2.1505864,-2.080917,-1.8238422,-1.8704996,-2.0690188,-2.4967093,-2.737575,-3.0266263,-3.1304991,-3.285841,-3.0634828,-2.8292816,-2.7638118,-2.8434083,-3.3107724,-3.7919884,-4.485219,-5.166058,-5.9717107,-6.077001,-6.214046,-5.964648,-5.797208,-5.6211185
2025-11-08 00:57:22+00:00,2025-11-08 00:00:00+00:00,4.520075,3.8483639,2.7292726,2.2059534,1.8507408,1.6677914,1.2864417,0.019623244,-0.34447476,-0.2308883,-1.4533925,-2.3452606,-2.101494,-2.0771081,-2.938477,-2.651214,-2.9995804,-2.5553365,-2.3165472,-1.3214818,-3.5666616,-3.7568097,-3.668557,-3.9457242,-3.9486334,-3.8582032,-3.5883863,-3.3278425,-1.964329,-0.690371,-0.3585027,-0.31717682,-0.2174057,-0.2174057,-0.3585027,-0.45112708,-0.54519004,-0.9353601,-0.49176943,0.44470868,1.0796105,-0.55611336,-1.8252327,-1.8305677,-1.3046368,-0.34729904,-0.78319585,-3.4121912,-3.6711252,-3.0531204,-2.5570183,-2.2126014,-1.5331184,-0.70329195,-0.893653,-1.2779227,-1.476767,-1.2520369,-2.0235932,-3.8280077,-4.8693,-5.701809,-4.9463687,-4.3183284,-5.1789665,-5.0332904,-4.8876166,-5.081849,-5.6645737,-6.6133194,-9.369782,-11.920538,-11.971354,-11.674904,-10.796136,-10.301834,-9.087303,-8.213946,-7.9566846,-8.493476,-7.817126,-7.1822934,-6.7962017,-7.5795746,-7.678896,-6.1619434,-3.9719105,-2.4605665,-2.5215366,-1.7207394,-0.72485393,-0.23400635,0.06425063,-0.7256763,-1.7700847,-1.7700847,-1.0746683,-0.69434136,-0.78081644,-1.7169676,-1.874258,-2.4723153,-2.4230943,-1.9235407,-1.4740126,-0.7782336,-0.08048919,0.41483223,0.51163214,0.41483223,1.23392,1.5239999,1.924,2.2740002,2.4325414,2.5324264,2.624,2.4325414,1.900907,1.055099,0.4911523,0.28380948,0.28380948,0.2345975,0.19549423,0.104958676,0.061649147,-0.04306408,-0.41650873,-0.67530143,-1.0554653,-1.4307178,-1.6220481,-1.3814363,-0.95716244,-0.65871394,-0.7301514,-0.81475925,-1.1049036,-1.5061597,-1.8405414,-2.069833,-2.252401,-2.5448816,-2.6215804,-2.5773194,-2.5550237,-2.5042408,-2.726719,-2.9585166,-3.1518192,-2.9518423,-2.705618,-2.51016,-2.65894,-2.9037519,-2.902799,-2.589745,-1.9425614,-1.739487,-1.8238422,-1.965793,-2.2263823,-2.2263823,-2.2467504,-1.9492267,-1.580227,-1.1697721
2025-11-09 01:03:12+00:00,2025-11-09 00:00:00+00:00,-1.0651072,-1.811436,-2.0191014,-2.1985908,-2.634164,-2.9581735,-2.2496607,-2.0552106,-1.5912848,-0.7880059,-0.49176943,0.23942591,0.39494056,0.006098274,-0.11298086,-0.47563788,-0.61494625,-1.6956109,-1.0344204,-0.36004353,1.0474507,0.47834045,0.40191078,-1.6345551,-3.4650753,-1.08395,-0.9848899,-2.1496227,-1.0875776,-3.3977609,-3.1682312,-4.130209,-4.1005683,-3.9026856,-6.739453,-8.857591,-7.052683,-8.26049,-9.17561,-8.487662,-7.3605337,-9.165155,-8.430888,-10.283487,-10.509289,-10.217186,-9.468288,-8.167571,-7.063848,-4.1963816,-3.5239606,-3.5149744,-4.857263,-6.1183233,-5.9698844,-5.875944,-5.628248,-5.2379193,-4.906978,-4.9566936,-5.1058407,-4.7578335,-3.2540693,-2.4230943,-2.8484607,-3.6455626,-3.1705866,-1.9668356,-1.4979004,-2.0892174,-3.914145,-3.2693305,-2.0613496,-1.5761893,-1.4833481,-2.1699579,-2.7148516,-2.8292816,-2.8617332,-2.3571641,-1.8533874,-1.3321551,-1.1240778,-0.4783379,-0.1297761,0.3157332,0.45687616,0.88535464,0.910462,1.4171872,1.8634473,1.9611908,2.2055452,2.34834,2.201321,1.8375249,1.2769687,0.39724338,-0.071314394,0.011866204,0.12412393,-0.19108807,-0.5858246,-1.3503779,-1.8910674,-1.8324562,-2.0385318,-2.1859977,-2.3246531,-2.1769922,-1.3136954,-1.2925148,-1.3469677,-1.9072833,-2.202683,-2.4030097,-2.6549084,-2.6189282,-2.5199778,-2.7211401,-2.8784513,-2.7444866,-2.4427214,-2.113134,-1.9003483,-1.8669227,-1.9515659,-2.2461061,-2.4915612,-2.7370214,-2.767644,-2.8063757,-2.7120883,-2.2252612,-1.7504611,-1.495615,-1.6582346,-1.9524878,-2.1713042,-2.2847207,-1.9692147,-1.8572083,-1.5849681,-1.7313102,-1.9670862,-2.2350776,-2.4052365,-2.5287044,-2.4539213,-2.3325849,-2.262084,-2.193687,-2.1273458,-2.2252612,-2.2591145,-2.2461061,-2.3231778,-2.4115658,-2.7876904,-2.7211401,-2.0570085,-1.1565754,-0.14646056,0.76552415,1.6907021,2.1171768,2.0186338,1.5823995
2025-11-10 01:06:47+00:00,2025-11-10 00:00:00+00:00,-2.3866708,-2.7312195,-4.2956223,-4.276705,-5.0210586,-5.9944863,-6.673416,-6.653402,-7.1164265,-7.3592196,-7.165795,-7.0397506,-9.702847,-5.4925885,-5.8738146,-4.9100337,-4.3021097,-4.2079453,-8.350974,-6.749191,-7.212537,-7.521126,-10.416879,-12.520865,-11.842381,-10.358824,-9.988447,-9.2633095,-7.5987835,-5.443422,-4.9463615,-4.3021097,-4.1542406,-4.8534307,-4.69455,-3.3109388,-3.3109388,-2.8162875,-2.6411853,-2.6385746,-3.1355057,-3.4702218,-4.160394,-4.2518992,-3.8490098,-3.0822463,-4.3673115,-2.1134157,-2.7861137,-3.703056,-4.845791,-4.713019,-4.4334555,-3.9991086,-3.652949,-3.044201,-2.557195,-2.0959065,-1.5863636,-1.1286011,-1.2029209,-1.4257219,-0.75661707,0.43694878,1.3681765,1.9259282,1.6156629,2.3032851,2.8426223,2.8069575,2.8454325,1.0795774,0.17467463,-0.38992748,0.20167512,0.03231391,-0.016497454,-0.31204438,-0.20831898,-0.29728043,-1.1350311,-1.4205204,-2.127772,-2.2754326,-2.4317777,-2.3933785,-1.848126,-1.7348651,-1.8204195,-2.2644954,-2.572636,-2.8825278,-3.2712014,-2.7888904,-3.0900064,-3.2971222,-3.316628,-3.3465347,-3.441773,-3.1892855,-3.0269973,-2.734629,-2.3969095,-1.8472468,-1.2648164,-0.7612869,-0.5067391,1.2890975,3.0437684,3.2808704,2.9605715,0.8829719,-0.17688692,-0.6648581,-0.95134383,-0.23658225,1.0822085,1.7496744,1.7667061,1.5001788,0.77645195,0.22334523,-0.42156568,-1.0246073,-1.2310559,-1.4407727,-1.6834599,-1.9580323,-2.31933,-2.551489,-2.8409877,-2.9958737,-3.2752595,-3.9906523,-4.792885,-5.5744762,-5.861098,-5.4903903,-5.2123885,-4.7235594,-4.0822496,-3.4062505,-3.046888,-2.6987317,-2.557147,-2.5428724,-2.6845536,-2.781677,-2.7857494,-2.8820992,-2.9302745,-2.7927372,-2.6092694,-2.6092694,-2.6092694,-2.8409877,-2.9302745,-3.1167376,-3.3694184,-3.6018386,-3.8490098,-4.111442,-3.9308388,-3.3138664,-2.3660526,-1.6321157,-1.0077066,-0.5041483
2025-11-11 01:01:12+00:00,2025-11-11 00:00:00+00:00,-8.404695,-9.167794,-9.617751,-10.20056,-8.269856,-7.697728,-8.9767685,-6.7232423,-6.5570445,-5.1555395,-4.2571716,-3.7556524,-3.4591758,-3.3163373,-2.4937148,-3.7221067,-3.8524206,-4.042047,-3.6922576,-3.1062875,-3.0951433,-3.0827749,-2.6613212,-3.1047966,-3.5377114,-4.4460034,-4.862727,-4.5809827,-4.5740514,-4.333498,-4.3283067,-3.3429503,-2.3954017,-0.95933783,0.18268241,1.2344625,1.8336493,2.2788055,3.2003329,3.1250496,3.1213343,2.8770013,3.1446798,2.5476315,2.876115,2.201321,0.36805022,-0.020009808,-0.78267205,-0.9245712,-0.9439616,-1.8126314,-2.0644512,-2.2914681,-2.3442879,-2.5406532,-2.8617332,-2.726719,-2.465663,-2.0293329,-1.6278454,-1.2335927,-0.5315419,-0.38064688,-0.6806282,-1.2483029,-1.7519737,-2.2854445,-2.0977874,-2.6506562,-2.9031825,-2.841316,-2.987157,-2.9726725,-2.9784505,-2.8151765,-2.5773194,-2.527603,-2.4300933,-2.3721364,-1.881675,-1.4799995,-1.3625053,-1.4799995,-1.4246677,-1.0746711,-0.7725868,-1.472362,-1.954357,-1.9584529,-2.031521,-2.4957993,-3.0818853,-3.0101223,-3.1481338,-3.0702689,-3.1408558,-3.1698124,-3.1882842,-3.1121008,-3.0868466,-3.135535,-3.0151646,-3.0639222,-2.7638118,-2.726719,-2.6063347,-2.655745,-3.4567661,-3.904989,-4.077109,-4.2539415,-3.8415496,-2.3411875,-0.49429715,0.43794066,1.181392,1.6261569,1.4068382,0.97715354,0.83391786,1.2158716,2.0918725,3.1228416,4.769541,6.4400406,7.9913297,9.209762,10.104322,10.998865,11.633671,12.001533,12.428959,12.556957,12.705078,12.830426,12.994884,13.098055,13.109829,12.910264,12.21925,11.606985,10.756426,9.579371,8.423591,7.3356895,6.341647,5.440368,4.5338545,3.5250928,2.8481834,2.3187099,1.9823564,1.5936753,1.2768271,0.88463014,0.71565056,0.6460368,0.68036413,0.7206343,0.66093165,0.63388914,0.43794066,0.49275658,0.2823764,0.22354245,0.0056319153,-0.025580341
2025-11-12 01:02:46+00:00,2025-11-12 00:00:00+00:00,-6.74079,-6.7203283,-6.6850348,-6.625363,-5.9310055,-4.618103,-3.2308912,-2.735301,-2.0625083,-1.1173964,-0.6258866,-0.09940796,0.49343425,1.1448084,1.9669822,2.97744,3.6843889,3.463391,3.2764,3.1562889,2.2572186,1.1500959,0.94071686,-1.5801291,-0.7263355,-0.6307862,0.05110859,0.2593608,0.4101071,-0.00655339,0.24451333,-0.099059954,-0.89924353,-1.2914042,-1.9442462,-1.5652287,-1.7188838,-1.4928129,-0.1639767,0.40390536,0.08739272,-1.0551329,-1.25873,-1.962201,-1.9135212,-1.9709055,-2.244924,-2.079399,-2.01233,-1.9186674,-1.6187679,-1.4802774,-1.148237,-1.1170713,-1.2152443,-1.2152443,-1.1926239,-1.0941905,-1.0825771,-1.0904111,-1.0217826,-0.91123235,-0.817353,-0.7764591,-0.54616594,-0.28603333,-0.30036336,-0.071505584,-0.071505584,0.64455515,0.7639101,0.8560367,0.63066334,0.48487195,0.6409393,0.76445854,0.7882125,1.0916283,1.5357834,1.5497339,0.84505427,-0.36501053,-0.8463298,-0.7759588,0.17327145,1.190422,2.544364,3.59454,3.9551263,5.4048195,6.694158,7.855612,8.794609,9.57592,9.984704,10.541732,12.140125,11.598387,10.934359,9.850934,8.441636,7.4214816,6.268204,4.177476,1.78949,1.1107066,1.0993679,1.6314756,1.466197,0.61269915,0.34386238,-2.0781152,-4.1849685,-4.986306,-5.421507,-6.06874,-6.1580434,-6.2560825,-5.935517,-5.8269253,-5.652258,-5.422592,-5.523411,-5.377595,-5.5210543,-5.836588,-5.8612204,-5.563799,-5.3794913,-5.074239,-5.081849,-5.2780867,-5.180687,-5.0126286,-4.775302,-4.9544344,-5.0950065,-5.3659925,-5.422231,-5.574567,-5.468016,-5.3659925,-5.4440546,-5.422592,-5.4537272,-5.3311753,-4.954512,-4.8460746,-4.845791,-4.674772,-4.606184,-4.450611,-4.2067466,-3.9710193,-4.0516844,-4.134783,-4.1005836,-3.7441585,-3.3638694,-3.3323886,-3.6280377,-4.2518992,-4.74991,-4.688387,-4.2069325,-3.9117007,-3.8365357,-3.8839018
2025-11-13 01:17:54+00:00,2025-11-13 00:00:00+00:00,-1.7096521,-2.0246696,-2.7087817,-3.2633715,-3.8668792,-3.0213623,-2.8816547,-2.8816547,-2.735301,-2.9790845,-2.7931004,-2.6640656,-2.6640656,-2.8255022,-1.2727331,-0.39318758,-1.0259005,-1.7771372,-2.4335728,-3.3717315,-3.3999648,-3.3135917,-3.6554618,-3.8722167,-3.465389,-3.8100207,-3.900527,-3.7333808,-3.929149,-3.5754194,-2.4737694,-2.4699824,-1.8764445,-1.2861826,-1.5312035,-1.9755079,-1.8783474,-1.6303872,0.35227457,1.9933408,2.2524524,1.2795151,0.16582415,-1.4674389,-0.93908954,0.008552362,-0.50001967,-0.09211487,0.19297434,0.048058443,-0.47343302,-1.1606824,-1.304223,-1.1528292,-0.7182873,-0.26186103,0.36935484,0.88463014,2.0240772,3.2872055,4.6799936,5.91172,7.1991177,8.473484,9.555444,10.667565,11.410529,12.188793,12.306991,11.78696,10.829828,10.545595,10.069824,8.996351,8.3614235,7.4642887,3.9564295,-1.0453976,-0.50825715,0.029626371,-2.3275974,-3.2655387,-4.0646234,-4.5328307,-4.347962,-4.536009,-4.398056,-4.9344134,-5.880123,-6.398758,-7.0248656,-7.5107045,-7.038986,-7.3404403,-7.794105,-7.7220197,-7.437232,-7.4158645,-7.529837,-7.356668,-7.389738,-7.3483605,-7.0888224,-6.5372443,-6.5180535,-6.3950796,-6.5294256,-6.858843,-6.7675586,-6.863663,-6.470572,-5.93998,-5.7737446,-6.2007623,-6.3319416,-6.2922945,-6.4424696,-6.1482882,-5.6986995,-5.570436,-5.313466,-5.2811437,-5.1800995,-4.9539685,-4.327638,-3.7789767,-3.3492184,-3.248681,-3.2009556,-3.2504897,-3.3532586,-3.4083488,-3.2540693,-2.8106592,-2.0959065,-1.8472468,-2.069833,-2.6826339,-3.2688134,-3.5694506,-3.7092974,-3.9308388,-3.931983,-3.870367,-4.077109,-4.176663,-4.134777,-4.1438875,-4.2041507,-4.397495,-4.4125404,-4.3817835,-4.1331406,-4.1093583,-4.1663446,-4.232716,-4.183749,-3.9145856,-3.613046,-3.5127738,-3.5523474,-3.7815082,-3.7906854,-2.9430459,-2.1562173,-1.437006,-1.3620322,-1.6867365
2025-11-14 01:03:10+00:00,2025-11-14 00:00:00+00:00,-4.313174,-3.4878993,-3.5180883,-3.6118963,-3.2984066,-2.7358057,-2.735301,-3.007144,-3.2716324,-2.3724236,-1.4448277,-0.9651529,-0.34447476,-0.37773737,0.0834472,1.7260026,2.5575926,2.635511,2.5336819,1.9892927,0.99261314,1.977971,3.5526714,3.2666821,2.928237,2.7164376,2.3212547,2.2293441,1.6296664,1.1775942,1.3884839,1.9895949,2.435863,2.435863,2.8325408,4.158259,4.741628,6.1154237,8.061856,10.339887,12.137176,12.790987,12.64504,12.236853,11.654941,11.31331,10.578411,9.924254,9.530325,7.072259,6.207793,4.7117996,0.4089111,-0.37047142,-2.0090826,-2.5751255,-3.3197546,-3.486214,-3.2904737,-4.1793413,-4.4625034,-4.959151,-4.72013,-4.781648,-5.427354,-5.5660434,-5.6933374,-5.7801175,-5.416597,-5.536726,-6.302509,-6.2857823,-5.893043,-5.2577524,-5.01347,-4.755349,-4.659756,-4.659756,-4.6045995,-4.893828,-5.182055,-4.639181,-3.9650774,-3.4160175,-3.4243336,-3.9710193,-4.1829624,-4.6953063,-5.566374,-5.861098,-5.675738,-5.6986995,-5.652258,-5.494485,-5.4065213,-5.346926,-5.2291155,-5.2300944,-4.8325367,-4.4502215,-4.183749,-4.2098775,-3.944268,-3.498163,-3.30904,-3.2593858,-3.2097316,-3.2097316,-3.1600773,-2.9118078,-2.2461061,-1.7988536,-1.9360831,-2.446316,-3.1728752,-3.4560478,-3.6972542,-3.6432903,-3.5488636,-3.1734593,-3.1264973,-3.1264973,-3.1955798,-3.1481338,-2.8703725,-2.7482579,-2.4450042,-1.9453483,-1.5961434,-1.4673162,-1.7697906,-2.2166624,-2.3588874,-2.2843091,-2.0911837,-1.9640744,-2.061004,-2.4251304,-2.7630718,-2.7304924,-2.7304924,-2.6135736,-2.6694736,-2.7599998,-3.0687156,-3.2193346,-3.1408558,-3.2023842,-3.2368317,-3.2329123,-3.3564734,-3.502752,-3.6002724,-3.6490333,-3.8440785,-3.8733578,-3.7465546,-2.8690143,-1.9327629,-1.1961625,-1.3206416,-1.7632492,-2.0159068,-1.7180634,-1.3594252,-1.0137863,-1.043222,-1.1385833
