forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:26+00:00,2025-11-05 00:00:00+00:00,-2.084788,-1.4672935,-0.68380296,-0.47771612,-0.28804883,0.4281476,1.5447949,3.463374,4.1153693,3.88747,3.8034306,4.2926464,4.7376184,4.296032,4.396825,5.228253,4.835747,4.712296,4.519903,4.022501,2.498165,1.4485668,1.5166404,-0.40035793,-1.7961348,-0.8091296,-1.523087,-2.9993207,-2.9915643,-1.1802402,-1.2299027,-1.9523852,-2.7661858,-3.055839,-2.5370142,-3.0062873,-4.319914,-3.874229,-1.2344276,-1.5020072,-1.4761304,-1.4224516,-0.76878005,-3.8337665,-4.057117,-4.015366,-3.661461,-3.550547,-3.3722618,-2.6434634,-2.4022825,-2.539155,-3.2532058,-3.715388,-2.3125129,0.21576825,2.4443436,3.0956757,4.1020637,4.6033196,5.5603323,6.2184114,6.4943905,6.3412747,5.2064614,4.659237,3.9390016,3.4106908,2.9730835,2.8020034,2.5754442,3.8858712,4.850017,4.7960863,3.067073,1.8181362,-0.30974498,-1.7497036,-3.3630688,-4.6549544,-4.7576995,-4.7235026,-4.6932898,-4.596891,-4.407226,-4.502651,-5.125128,-5.552554,-5.6304297,-5.775478,-5.8100367,-5.590546,-5.561284,-5.4726105,-4.8900337,-4.6195693,-4.240587,-3.1915162,-2.779856,-4.7878656,-4.8824444,-2.382355,-0.18098924,-1.0981727,-1.3455178,-1.9077613,-2.1538587,-2.2946463,-3.4310749,-3.915795,-4.1477413,-3.7287495,-3.505304,-3.4863608,-3.831651,-4.2502694,-4.773886,-5.4020834,-6.229741,-7.1130347,-7.910064,-8.217683,-8.339536,-8.245235,-7.720774,-6.801538,-5.735972,-4.777078,-3.5886216,-2.6460662,-1.4935675,-0.27230102,0.4176354,0.041845113,-1.0462903,-2.0550122,-2.3262107,-2.0857458,-2.1818187,-2.8691394,-3.7221072,-4.4300737,-4.9770246,-5.3553667,-5.5197806,-5.576446,-5.6956143,-5.5896783,-5.25348,-4.679108,-4.390905,-4.48615,-4.679939,-4.775694,-4.869802,-5.0634003,-4.923832,-4.5350046,-4.254938,-3.9908566,-4.074848,-4.1458473,-4.3622904,-4.6763043,-5.1345816,-5.1483107,-4.324242,-3.059568
2025-11-06 01:05:17+00:00,2025-11-06 00:00:00+00:00,-4.282394,-4.206916,1.021913,0.5865313,0.54804844,0.43103862,-0.34423766,-2.1033306,-3.1893957,-3.7777271,-4.1418295,-4.6334944,-4.1135836,-4.427596,-1.8094622,-0.7782884,-0.9036332,-1.254899,-0.90707016,-0.7664537,-1.0681742,-1.7593654,-1.4672935,-2.5008888,-2.2903535,-1.1463289,-0.4590088,-0.41092938,0.50372225,-0.38080505,-0.9672677,1.4969152,4.143916,4.942773,5.2828507,4.9894314,4.3490067,4.5105543,5.8660483,6.416934,5.851005,5.470703,5.6155057,3.1981206,3.7576983,3.2908256,4.349731,4.0854187,3.2287269,1.3748938,-0.0695563,-1.7530035,-2.5565214,-3.0564837,-3.3406394,-3.457966,-4.650846,-5.1670084,-5.1670084,-5.1670084,-4.477447,-4.2766147,-4.3150067,-4.3258667,-3.8156517,-2.8003805,-1.5475241,-2.3823287,-3.4639952,-3.7796435,-3.6952183,-3.6098723,-4.05111,-4.220442,-4.267724,-4.5819097,-4.899026,-4.6763043,-4.217217,-2.7218094,-1.6713485,-0.43041715,-0.172646,-1.4467065,-3.2924552,-3.5833154,-3.6784847,-3.769198,-4.216381,-5.213484,-6.011795,-6.2437105,-6.3858347,-7.488633,-8.52827,-8.929494,-9.291206,-8.633661,-8.305534,-7.665069,-7.585195,-6.501667,-5.798809,-7.9152,-8.958132,-8.028731,-8.3124695,-8.669606,-7.5788116,-3.6550882,-3.86257,-0.60447574,0.033123873,-0.21064281,0.06843809,-0.3544165,-1.032364,-1.604466,-2.068336,-2.3402088,-2.485836,-2.3336704,-1.9574645,-1.7812265,-2.1043358,-2.504688,-2.971281,-3.0500798,-2.8256445,-2.8461645,-3.3823156,-4.062803,-4.442383,-4.1265006,-3.5754435,-3.0344303,-2.4536397,-1.660647,-1.0192937,-0.3619197,0.06786852,0.37850457,0.10406654,-0.2875429,-0.7401063,-0.93274534,-0.9920444,-0.77212685,-0.38445717,0.06258712,0.5463778,1.0570271,1.365564,1.5898341,1.3824191,1.0301367,0.8959608,1.2335197,1.5710607,1.906138,1.852453,1.8333367,1.6877844,1.2817411,0.87095726,0.45934412,0.4311937,0.86445075
2025-11-07 01:02:59+00:00,2025-11-07 00:00:00+00:00,-0.99934345,-1.1422967,-0.6320899,-0.83820194,-1.2113621,-1.298,-1.6636882,-0.9988603,3.3330896,4.893193,5.795341,6.1929593,6.182266,6.7345643,7.471283,7.705539,7.3116546,6.715318,5.8332744,5.8538275,4.8461523,4.7393265,3.8047268,3.9398286,2.194427,1.386612,0.67596763,0.29101127,-1.216517,-1.9779099,-3.152039,-4.5422573,-4.735309,-4.120322,-5.1657114,-5.0235286,-5.3105154,-4.973872,-4.7493324,-4.6657476,-4.379967,-3.747412,-2.125212,-1.3709458,-2.546801,-3.5112689,-3.3418207,-3.108044,-3.004502,-3.0523643,-1.1430869,0.12631814,0.12631814,0.5581941,-0.06151406,-1.0625887,-3.2924552,-3.0152748,-3.020327,-3.456755,-4.133098,-3.0204928,-4.631073,-5.33867,-5.2613964,-7.138762,-7.2787576,-6.0175467,-6.045273,-6.453953,-6.6325216,-5.781222,-6.7271414,-5.4932923,-6.125151,-6.670376,-6.706234,-6.936597,-6.645108,-6.692923,-6.6432505,-7.0320697,-7.3734,-6.595357,-5.7506123,-4.4020348,-2.776199,0.008821843,0.1824295,-0.066413514,0.567291,0.7668315,0.091887295,-1.5296415,-2.2600534,-2.953132,-4.0729456,-4.133098,-4.3047843,-4.3786397,-4.9089174,-5.316102,-5.5211687,-5.1073403,-5.5011816,-4.192225,-3.5995488,-2.971281,-2.7440295,-2.2260613,-1.1166486,-0.3865145,-0.059049945,0.9275768,2.0724106,1.5232836,0.15934783,-0.9582965,-1.3458245,-1.1082622,-0.8707121,-0.2299494,0.4570481,1.3013929,1.9939681,2.7282176,3.0167885,3.0167885,2.533874,1.9939681,1.3492174,0.48381734,-0.18515745,-0.54724723,-0.64190954,-0.73657316,-0.8785732,-0.8015922,-0.94385856,-1.5262207,-2.1205337,-2.7276006,-2.9620888,-2.962808,-2.9209158,-3.0621762,-3.3857744,-3.5267732,-3.6677778,-3.8557913,-4.043814,-4.2318463,-4.4198895,-4.6079397,-4.7960005,-5.0310884,-5.354722,-5.5410867,-5.68463,-5.739128,-5.705324,-5.6304297,-5.653959,-5.5149484,-5.212485,-5.0072346,-5.4446697,-5.978343
2025-11-08 00:57:12+00:00,2025-11-08 00:00:00+00:00,1.9992207,1.5848744,1.2671665,0.48625,-0.52115476,-1.531722,-2.4786704,-3.7951176,-3.7784896,-4.0147724,-3.2530591,-3.8227062,-2.100971,-2.5911756,-3.985946,-5.4622784,-4.9203243,-3.2703767,-3.6826508,-1.3293657,-1.7174368,-2.4822574,-1.1168909,-0.89326584,-0.21571514,-0.5612062,-0.5173524,-1.1590753,-1.3080293,-1.9092562,-2.7432494,-2.0158906,-2.5421584,-3.9881163,-3.4493518,-5.3497896,-6.1443925,-7.034561,-6.276452,-6.949605,-5.9588723,-7.808408,-7.1934114,-8.018115,-7.7674575,-7.3681936,-8.406013,-9.430243,-9.920033,-9.766423,-8.32385,-4.307635,-5.0341887,-6.404671,-5.423229,-6.6561904,-7.601483,-8.335998,-9.424154,-9.612814,-9.518483,-8.737345,-8.446156,-8.258888,-8.760187,-6.925265,-5.6715603,-2.2230337,-2.7107675,-1.8955237,-3.0521598,-3.8627708,-3.8148215,-3.5903654,-2.8741899,-2.358425,-0.40948182,-0.00867581,-1.9711123,-3.1485138,-3.432471,-3.389404,-2.4071789,-2.8461645,-3.7353137,-4.0649714,-3.6024027,-3.432471,-2.9087782,-1.5567566,-0.3728518,0.5232701,0.022456065,0.13506156,1.6709455,1.9242977,1.4794511,-0.56638837,-1.4136357,-1.268236,-1.2262268,-1.2921969,-1.1267459,-0.7504832,-0.025850283,2.0283258,3.0073595,2.3906593,3.5174143,3.8141282,2.881382,3.013359,0.9913712,1.5138634,0.45839125,0.16356122,-0.028103895,-0.21977523,-0.468395,-0.8777747,-1.1818023,-1.5833981,-1.8209842,-2.0585825,-1.627012,-1.2216055,-0.98090607,-1.3176199,-1.8180892,-2.438764,-2.8411684,-3.1258337,-3.3156211,-3.5300872,-3.6530938,-3.7796435,-3.862749,-3.9498017,-3.808787,-3.4859886,-2.7249928,-2.509082,-2.6039612,-2.7937262,-3.1512003,-3.4167216,-3.68527,-3.9569442,-3.8268316,-3.7476473,-3.457966,-3.2765355,-3.004502,-2.7580228,-2.5185895,-2.185042,-1.9441968,-2.0377772,-2.295813,-2.4862893,-2.741652,-2.965984,-2.8812315,-2.214688,-1.5149947,-0.98157674,-1.0278127,-1.3176199
2025-11-09 01:03:03+00:00,2025-11-09 00:00:00+00:00,-4.0147724,-3.870735,-4.0148215,-3.4646606,-2.1331985,-2.5385587,-2.5645003,-2.3591073,-2.3030248,-2.466187,-1.9526653,-1.0702583,-1.2543343,-3.1955693,-2.0741925,-0.2637442,-1.5539211,-2.309887,-5.054016,-5.4579973,-5.5998883,-6.1949425,-6.012561,-5.5536213,-6.7351847,-7.2338157,-6.503809,-4.6587334,-5.480129,-6.896942,-7.7714148,-8.1356945,-9.879414,-9.390611,-8.948832,-8.8197365,-8.506617,-8.087914,-6.4134197,-7.4236298,-4.998149,-3.583709,-1.4592092,-1.4155778,-1.946207,-2.5168817,-2.8077123,-2.8256445,-2.8461645,-2.771839,-2.776199,-2.4344292,-1.7321377,-2.5449617,-1.6830492,-1.9662741,-2.1248531,-2.3341227,-2.0889997,-2.113739,-3.4503539,-3.7239473,-2.7937312,-1.6830492,-0.6773324,-0.027730828,0.57220936,0.81890494,0.5748258,0.9794189,1.814413,1.3768597,0.048928175,-1.0628915,-1.0296772,-1.4087187,-1.5556467,-1.4091902,-0.84716815,-0.16474457,0.6156761,1.4689971,1.2366415,1.105548,1.3598131,1.3203765,2.1928155,1.9895912,2.5334265,2.0380335,1.8095508,1.5711126,1.3748938,0.45839125,0.5119073,-0.5762116,-1.3992794,-1.8097419,-1.8253574,-2.014739,-1.9872806,-1.9160222,-2.0110617,-2.324272,-2.4037201,-2.248039,-1.9994879,-1.8013138,-1.8971784,-2.0473413,-1.9434187,-1.6833265,-1.3266339,-1.7881482,-1.7897959,-2.0406544,-2.1028104,-2.3093638,-2.4488537,-2.7743545,-2.941611,-2.5398886,-2.1295843,-1.9136307,-1.7010221,-1.6201423,-1.6929201,-1.6794485,-1.8738899,-1.8955237,-1.919648,-2.0659044,-1.8708962,-1.5336202,-1.0502528,-0.8835636,-0.9582965,-1.3519397,-1.7411696,-1.9939623,-2.0768933,-2.0304017,-1.9939623,-1.8380852,-1.7026864,-1.8006067,-2.0221903,-1.9994879,-1.8937387,-1.6551942,-1.3785595,-1.3785595,-1.2336138,-1.2744663,-1.318041,-1.3163217,-1.2216055,-1.2926438,-1.2983105,-1.162587,-0.25313926,1.01444,2.1487865,2.678784,3.288717,3.7011366,4.427445,5.355885
2025-11-10 01:06:34+00:00,2025-11-10 00:00:00+00:00,-4.3280587,-6.8485885,-8.783483,-9.541806,-10.939367,-10.588347,-10.208862,-10.152199,-10.743255,-11.2794285,-11.32679,-10.316303,-10.29501,-8.427977,-6.8674293,-7.5184417,-7.7201204,-4.7395573,-4.131152,-4.094751,-2.7657201,-3.543079,-4.9005656,-3.5476725,-3.802593,-4.2259307,-4.59522,-4.5058093,-2.3574486,-1.9992858,-5.0715666,-4.84313,-4.673018,-4.62468,-4.528004,-4.673018,-4.7568207,-4.4157214,-3.8824282,-2.149793,-1.347779,-0.11722894,0.8269162,0.8838065,0.42758507,-0.06863156,-0.43286932,-1.2723519,-1.1267459,-1.1598157,-1.1598157,-1.5825403,-1.3536676,-1.3889769,-0.8690472,-0.22127824,0.5433566,1.1533158,2.2003386,3.3650146,3.7116575,3.1749928,2.8614242,2.3387935,2.241475,2.9795241,0.7045032,-0.2299494,-0.1941545,-0.35333747,-0.5284528,-0.468395,-1.2769973,-0.84275305,-1.4359419,-2.6001277,-1.8924142,-2.0620854,-2.0620854,-1.6101972,-1.5625958,-1.5625958,-1.5149947,-1.5930041,-1.4136357,-1.4616442,-1.138195,-0.80103856,-1.1152499,-0.8312396,-0.81750154,-0.9965339,-1.320315,-1.3673825,-1.8727021,-2.1814485,-2.0221903,-2.0221903,-1.5688243,-1.0775874,-0.5026783,-0.059049945,0.42016432,0.93381995,0.90893734,0.979566,1.0368091,0.84716594,0.40889338,0.32916823,0.560057,0.12727164,-0.10234819,0.2783743,0.32532695,-0.09727455,-0.6143743,-0.86474586,-0.6582601,-0.45937356,-0.45115852,-0.88458514,-1.1735526,-1.6529332,-1.9414717,-1.9923649,-2.185042,-2.4258962,-2.6185863,-2.7149336,-2.8071692,-2.7100034,-2.6162183,-2.4780426,-2.4514134,-2.1814485,-1.7259482,-1.3992794,-1.1482226,-1.6027269,-2.0700336,-2.5869143,-2.821394,-2.8218293,-2.962808,-2.962808,-2.8688219,-2.7748384,-2.4030027,-1.9869148,-1.6679786,-1.5413008,-1.7780136,-1.7026864,-1.5833981,-1.4197946,-1.3721954,-1.3933377,-1.5413008,-1.7039242,-1.6968683,-1.9304513,-1.7897959,-1.7429119,-1.506284,-1.0064816,-0.35333747,0.46193144
2025-11-11 01:01:03+00:00,2025-11-11 00:00:00+00:00,-5.951596,-5.2768555,-3.6885126,-2.1126587,-4.322453,-4.8838973,-5.597819,-5.2637224,-5.789363,-4.7696958,-3.2387369,-5.132277,-4.640072,-4.464205,-3.4192457,-2.8288023,-2.100971,-0.46697888,-0.6697071,-0.83334535,-1.1514317,-1.3847847,-1.2005181,-1.6720496,-1.7051471,-1.5441293,-1.5434641,-1.0546006,0.3354568,0.69226426,0.9252053,1.5149294,1.9080651,1.9897256,2.30119,2.0969064,1.7552087,1.6790162,1.0972998,1.0487778,1.145821,1.5056404,1.6507524,-0.4906577,-1.2427186,-1.4681138,-1.7910122,-2.0263822,-2.0263822,-1.892582,-1.9397483,-1.2983105,-2.2109842,-1.6567606,-1.5624361,-1.3844674,-1.6567606,-1.3992794,-1.2758303,-1.4655392,-1.3933377,-1.6078264,-1.3933377,-1.0205778,-1.4615182,-1.7429119,-1.7960955,-1.8428842,-2.1698792,-1.9374187,-2.6813507,-3.3842335,-2.6897557,-2.6434634,-3.1874788,-2.8017962,-2.3519397,-2.0460238,-1.6309143,-1.259218,-1.0425045,-0.93274534,-1.0886713,-1.8960284,-2.233212,-2.0066922,-1.465799,-1.6679786,-1.6497967,-1.4593083,-1.5153793,-1.5270692,-1.5737553,-1.4123334,-1.0425045,-1.0403575,-1.1779878,-1.5137284,-1.5688243,-1.3662047,-1.1113535,-1.2921969,-1.6201423,-1.8245021,-1.6929201,-1.7413858,-1.7413858,-1.8728952,-2.185042,-2.5203414,-2.3912396,-2.0700336,-1.5190328,-0.42222607,1.1890824,2.2990782,3.5738976,4.674625,5.517513,6.1986914,7.0167165,7.8612523,8.827448,9.710568,10.465791,11.160666,11.756263,12.139529,12.25444,12.234549,12.15556,12.054057,11.82696,11.436191,11.042659,10.48962,9.870172,9.007308,8.130958,7.3405294,6.802433,6.0885587,5.244162,4.161819,3.5395944,3.385733,3.2773087,3.0686462,2.3542104,1.5422293,0.8268834,0.57179505,0.48956788,0.32267103,0.10406654,0.09853638,-0.11751222,-0.19182232,-0.5509124,-0.8627721,-1.4615182,-2.4022825,-3.1621878,-3.0621223,-2.4037411,-1.9519842,-1.5249546,-1.0778941
2025-11-12 01:02:35+00:00,2025-11-12 00:00:00+00:00,-1.5232856,-1.313443,-1.807882,-0.96170324,-0.13233815,0.28661633,1.096132,2.1046286,2.0479677,2.7060807,2.8799102,3.0267174,3.0021005,1.2217921,1.2637807,0.41851124,0.67151076,1.1771005,1.0261215,-0.64995545,-0.60262406,-0.9812894,-1.5966902,-2.0068002,-2.6934962,-2.8818338,-2.2903535,-2.1648297,-2.0227873,-1.9004772,-1.6389921,-2.237149,-2.3164425,-2.1256776,-2.4383214,-2.6297534,-2.43006,-2.0545454,-0.8917371,-0.29778478,-0.40372404,-0.24063295,-0.27131945,-1.8019774,-1.5326431,-0.82684815,-1.1774682,-1.3458245,-0.89897114,-0.21037844,0.6504059,1.1660247,1.2852341,1.5682912,0.8587991,0.42015108,0.2993091,0.42016432,0.6070257,0.70505184,1.1301374,1.5371896,1.812308,1.6162223,1.2192065,0.22567722,-0.4796404,-0.7404809,-0.5102584,-0.053290546,-0.47726953,1.3401994,2.3907337,2.0510151,2.4513834,2.172949,1.4714872,1.3265973,0.94418466,0.79951245,0.79951245,1.1268846,1.5051512,1.9655076,3.0810995,4.422399,6.196041,8.2772,9.455283,10.06572,10.413963,10.021481,9.542904,9.105086,8.691518,8.2772,7.9594946,7.785329,6.7523484,4.266051,2.9189374,1.7924517,1.2383103,0.2217379,-2.5667849,-4.10237,-4.887386,-4.6660595,-4.402345,-4.5732126,-4.2468286,-4.144655,-4.2641315,-4.6660595,-4.887636,-4.887636,-5.1143265,-5.2063413,-5.667635,-5.897163,-6.218534,-5.914184,-5.5059123,-5.2139354,-5.078108,-5.260864,-5.260864,-5.354722,-5.266192,-5.228808,-5.071607,-5.188102,-4.9765964,-4.835155,-4.701968,-4.703182,-4.5732126,-4.634981,-4.541925,-4.6815104,-4.666471,-4.6564536,-4.5576468,-4.3693323,-4.2318463,-4.3258667,-4.372877,-4.2866483,-3.8616397,-3.309969,-3.1480908,-3.2438183,-3.6438913,-3.8479838,-3.8956075,-3.7870083,-3.4903142,-2.8079777,-1.7515268,-1.1779878,-1.2201506,-1.8791244,-2.1061032,-1.6406898,-1.1303039,-0.7873988,-0.98157674,-1.5314758
2025-11-13 01:17:45+00:00,2025-11-13 00:00:00+00:00,-3.9168231,-3.2686355,-3.141128,-3.315817,-3.1883988,-3.111893,-3.2539701,-3.1122377,-3.5855017,-3.68023,-3.7981899,-3.3657804,-3.1083643,-2.8634434,-1.4739465,-0.14286362,0.6184698,0.4385346,0.21370819,0.22130314,0.17754069,-0.15221514,-1.1460186,-1.4278865,-1.7918557,-2.0943282,-2.237149,-2.8017914,-2.9989316,-2.9250424,-2.1899815,-2.7817032,-3.0683851,-3.2117326,-3.0126388,-2.972823,-2.1598685,-1.612765,0.54463136,3.2656047,3.1534348,2.8054538,1.7726166,-0.81345296,-0.5880381,0.45325148,1.0397165,1.9953972,2.2577956,1.6679729,1.6008414,1.6008414,1.7540605,2.48716,3.385733,4.6497865,6.0973926,7.182251,7.891241,8.636734,9.133723,9.671628,10.50372,10.88385,11.031794,10.222427,9.397489,9.040832,8.8167715,8.252207,8.032855,7.56491,5.527563,1.496817,-0.50012606,-3.4585876,-4.2449956,-5.4160924,-4.9303074,-4.7584953,-4.9589663,-5.0731826,-5.053769,-5.3329906,-5.3795295,-5.723314,-5.6768713,-5.5149484,-5.375943,-5.0979524,-5.441042,-5.4871635,-5.7177835,-6.0806265,-6.4028015,-6.1453757,-6.3303423,-6.2100673,-6.3491096,-6.395458,-6.441808,-6.2806773,-6.327128,-6.580861,-6.627214,-6.7199206,-6.698764,-6.450118,-6.1520834,-6.0585876,-5.637888,-5.6587796,-5.6587796,-5.4126306,-4.890103,-4.651296,-4.4162493,-4.2318463,-4.2318463,-4.5100856,-4.5100856,-4.5100856,-4.3258667,-4.1924443,-3.8616397,-3.6574938,-3.4903142,-3.34696,-3.1668663,-3.1336844,-3.1336844,-3.0714667,-2.8691394,-2.4780426,-1.9930453,-1.70545,-1.5209751,-1.4976345,-1.6784313,-1.7975496,-2.109433,-2.271892,-2.295813,-2.474068,-2.6622953,-2.8256445,-3.0985541,-3.1955044,-3.4082065,-3.672685,-3.5995488,-3.2837243,-2.8077123,-2.634881,-2.779856,-3.0344303,-3.2147977,-3.2874048,-3.2681735,-3.432773,-3.5744777,-3.7687287,-3.862163,-3.8553553,-3.5330815,-3.543713,-3.7685552,-4.0878406
2025-11-14 01:02:59+00:00,2025-11-14 00:00:00+00:00,-1.1321555,-0.68344563,-0.54081106,-0.2524259,-0.49717608,-1.245434,-1.368315,-1.5557634,0.062063288,-0.84852475,-1.0864623,-1.571823,-1.6042284,-1.0864623,1.1465087,3.530701,3.1872633,1.6324787,2.5445845,1.6911216,0.74072224,1.2929852,-0.76817286,-1.0777875,0.4987654,1.2740719,1.2217921,1.1251957,1.2217921,0.9735387,1.0487778,1.0972998,1.4546193,1.8252146,2.464554,3.0267174,4.050699,5.5313115,8.043284,10.197863,9.6291275,8.95854,8.022904,8.1068535,7.551404,7.686953,6.3328185,5.1603217,3.9270458,1.2192065,-3.3842335,-3.6115048,-3.2000077,-4.169725,-4.402345,-4.4799566,-4.8529954,-5.132801,-5.077034,-5.3659916,-5.599197,-5.7857733,-5.8915057,-5.909091,-5.978343,-5.932,-5.653959,-4.9607,-5.4222775,-5.4446697,-5.978343,-5.705324,-5.3069105,-5.925712,-5.972359,-6.51294,-6.60585,-6.60585,-6.2989116,-5.91792,-6.2905564,-6.152611,-6.0656495,-5.6675806,-5.4026613,-5.2828646,-5.1661906,-4.6195693,-4.4095745,-4.3622904,-3.8647225,-3.7051153,-3.5007792,-3.2622678,-3.1480908,-3.2991757,-4.267724,-4.3931274,-4.267724,-4.220442,-3.6745696,-2.8079777,-2.95664,-3.1668663,-3.2942872,-3.086068,-2.785279,-2.5824687,-2.1847837,-1.8452905,-1.6056722,-1.5314758,-1.8924142,-1.7306696,-1.6833265,-1.7780136,-2.014739,-2.2514775,-2.4408772,-2.8022156,-2.8967495,-2.8494823,-2.7076845,-2.7076845,-2.4616427,-2.3718808,-2.248039,-2.334472,-2.376528,-2.421897,-2.5185895,-2.3840678,-2.4805634,-2.5222404,-2.5659485,-2.4301853,-2.2961926,-1.9869148,-1.8835652,-1.8896723,-1.983252,-2.0230513,-1.7734661,-1.5156683,-1.6034377,-1.7509252,-1.8973862,-2.0438497,-2.2195988,-2.2850978,-2.3703058,-2.1628945,-1.9662741,-1.8188105,-1.7601047,-1.8585422,-1.8188105,-1.7997453,-1.8617333,-2.1047182,-2.4713655,-2.7787764,-2.9603693,-2.9843798,-2.7743545,-2.460918,-2.0700336,-1.5886421
