forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:46+00:00,2025-11-05 00:00:00+00:00,958.20416,957.45135,957.95557,958.4455,958.6892,958.91974,960.1519,961.28735,962.5897,963.4173,964.2921,965.01337,965.7622,966.0275,966.8328,968.26196,968.9486,969.2464,969.5428,969.97675,970.27057,970.7666,971.00867,970.50616,969.9881,969.8645,969.5511,968.83887,968.497,967.867,967.34216,966.846,966.278,965.2857,964.18585,963.7254,963.12823,961.7074,960.23865,958.6316,956.74207,954.45667,952.74646,954.2941,953.2124,952.2395,951.2704,950.5824,950.0055,949.40393,948.9974,948.6182,948.6054,948.1767,947.38586,946.8422,946.5702,946.58203,946.8873,947.7717,948.08655,948.8101,949.91016,951.0268,951.9352,953.29895,953.9364,954.58264,955.20844,956.0517,956.9715,957.64246,958.56726,959.0357,959.2873,959.38196,959.59106,959.875,959.26794,959.61707,959.78656,959.989,960.0903,959.8517,960.2042,960.60266,960.7624,961.441,961.8808,962.3114,962.4266,962.3605,962.66284,963.55225,964.8085,965.91956,967.05194,968.0437,968.8364,969.6783,970.1217,970.1017,970.2461,970.6247,971.0979,971.15283,971.52124,972.01447,972.50726,973.15015,973.872,974.5436,974.75006,974.7266,974.6902,974.7775,974.84503,975.0636,975.4425,975.9722,976.2735,976.1277,975.74243,975.39557,975.11694,974.86816,974.5447,974.22107,973.81256,973.49866,973.2695,973.1449,972.87115,972.5523,972.1684,971.7488,971.1225,970.4479,969.7218,969.10724,968.5293,967.95154,967.4772,967.0849,966.6726,966.1314,965.5634,964.82513,963.9927,963.0846,962.1667,961.1252,960.0646,958.82404,957.4888,955.9549,954.5731,953.33356,952.0463,950.9946,949.93066,949.0038,948.42487,948.1767,948.2703,948.56683,949.31696,950.2621
2025-11-06 01:05:47+00:00,2025-11-06 00:00:00+00:00,969.2858,968.93646,968.7939,969.1053,968.327,966.75726,966.438,966.34955,965.62805,964.8581,964.4462,963.5405,962.99585,961.6033,960.6451,959.9262,958.6802,957.28265,954.84247,952.8613,951.6034,950.6369,949.51385,948.71484,947.84595,947.2911,946.0273,945.3944,944.8264,944.74036,944.71674,944.6948,944.47577,944.59174,945.1848,945.85754,946.9001,947.48706,948.1322,949.0061,950.2197,950.9295,951.2412,954.4879,954.9989,955.7475,956.47845,956.9425,957.7166,958.0745,958.3294,958.4968,958.2299,958.1517,958.1323,958.1255,958.1255,958.0892,958.1086,958.0892,958.4119,958.543,959.0093,959.3921,959.7546,960.3716,960.3153,960.6754,961.44275,962.2475,963.46704,964.6942,966.02405,967.3064,968.15393,969.2652,969.63385,969.89777,970.0173,969.92267,970.2363,970.2066,970.21643,970.56995,970.9983,971.52124,972.4471,972.5516,973.0619,973.51227,973.5538,973.75476,973.8785,974.16266,974.3379,974.6124,975.0223,975.1024,975.01794,975.227,975.28174,975.1674,975.02277,974.9084,974.82355,974.7191,974.63434,974.6691,974.62897,974.3898,974.2259,974.0506,973.69183,973.2444,972.7265,972.0163,971.1351,970.4435,969.97894,969.71094,969.3383,968.8648,968.28894,967.70294,967.0589,966.311,965.5626,964.71014,963.6683,962.7305,961.7928,960.8742,959.77545,958.5913,957.3217,955.9558,954.5655,953.1573,951.7384,950.32776,948.9997,948.0925,947.76904,947.8562,948.0819,948.4065,948.8625,949.41296,949.92706,950.43176,950.95447,951.3336,951.7313,952.1195,952.6605,953.2872,953.9416,954.5378,955.05786,955.64215,956.23193,956.8831,957.3745,957.57666,957.526,957.69824,958.1693,958.8704
2025-11-07 01:03:27+00:00,2025-11-07 00:00:00+00:00,949.2156,947.79,947.46075,947.037,946.6595,946.0529,946.27637,946.5449,946.69946,947.1749,947.9294,948.50195,949.09827,949.8012,950.9479,952.03864,952.61884,953.6054,953.30994,954.1163,954.70355,955.2162,955.5108,956.6204,956.99963,957.4922,957.2458,956.62024,956.0889,955.7458,955.82117,956.248,955.9174,956.1261,955.82275,956.5898,956.8642,957.1369,957.3472,957.9177,958.62823,958.87415,959.15826,962.9395,963.5551,964.7484,965.8152,966.8593,968.14215,969.0396,969.56793,970.1963,970.4556,970.5648,970.7743,970.7942,971.1325,971.30164,971.27185,971.7449,972.02875,972.7754,973.6772,974.3603,975.052,975.4421,975.3044,975.3165,975.61237,975.9161,976.1226,976.60376,977.0284,977.3587,976.95044,976.9766,976.7838,976.22174,975.7187,975.3162,975.08734,974.8882,974.62396,974.1958,973.6331,973.46875,973.12506,972.3438,971.68866,970.8969,969.26855,968.25446,967.14545,965.724,964.4835,963.6217,962.81647,961.55634,959.63336,958.1365,956.57324,955.40796,953.62695,951.69354,949.62775,948.7286,947.4301,946.8725,946.4203,946.2295,946.20776,946.7586,947.19653,947.7044,948.131,948.5899,948.9868,949.4348,949.92444,950.28326,950.6592,950.79535,950.85406,950.9041,951.11633,951.3195,951.5989,951.9268,952.321,952.8457,953.40674,954.1943,954.82947,955.52075,956.05054,956.71246,957.3163,957.8436,958.428,959.14685,959.82904,960.5507,961.1799,961.83746,962.5219,963.1763,963.84894,964.5213,965.16455,965.8074,966.4686,967.06354,967.5735,968.02765,968.4158,968.83356,969.1856,969.54706,970.0225,970.16656,970.10223,969.78906,969.3131,968.4675,967.45264,966.4581,965.5993,964.654
2025-11-08 00:57:35+00:00,2025-11-08 00:00:00+00:00,956.6578,957.17566,957.4594,957.48895,957.94806,958.1956,958.4699,958.3339,958.13824,958.4256,959.57416,959.0291,959.75055,959.92975,961.1275,962.2492,962.5741,963.17126,962.9819,963.33356,963.9594,964.404,965.2158,966.2421,967.5445,968.8598,969.7679,970.8736,971.96906,972.471,972.3163,972.37286,972.6844,972.73804,972.6915,972.6138,972.93787,973.2658,973.49536,973.78564,974.2846,974.3947,974.62885,974.6245,975.1292,975.423,975.7416,975.935,976.5292,976.7739,976.9241,976.74036,976.54663,976.4025,976.11865,975.89935,975.7948,975.197,975.0925,974.90314,974.67413,974.67413,974.27075,973.9043,973.0609,972.1189,970.88873,969.71356,968.2538,967.0321,965.9429,964.7865,964.0382,962.55054,961.224,960.1446,958.4114,956.0623,954.253,952.46277,951.033,949.36615,947.8984,947.2355,946.84735,946.65796,946.7337,946.6257,946.41724,946.69104,946.7453,946.7862,947.3099,947.64417,947.9508,948.257,949.2507,949.8686,950.3643,950.8256,951.32947,951.44495,951.7309,952.23395,952.7367,953.46643,953.91174,954.5655,955.2855,955.892,956.5075,957.19806,957.62115,957.78815,957.9449,958.00916,958.11304,958.266,958.6205,959.2118,959.6408,959.9635,960.32367,960.6745,961.0066,961.43317,961.85,962.27637,962.78784,963.2136,963.6204,964.1313,964.68036,965.3818,966.22565,966.92773,967.33545,967.58966,967.6904,967.7072,967.56384,967.4041,967.3332,967.3262,967.32404,967.41736,967.52155,967.5601,967.44763,967.18317,966.8902,966.52075,966.12256,965.64886,965.0144,964.31323,963.7254,963.4312,963.16425,962.8004,962.12537,961.15485,960.26807,959.3226,958.2881,957.4336,956.8197,956.48755
2025-11-09 01:03:23+00:00,2025-11-09 00:00:00+00:00,967.4967,968.60144,970.2556,970.9383,970.95135,971.0092,971.7415,972.6072,972.46124,972.334,972.62775,972.74304,973.1339,973.12067,973.67474,974.1943,974.6587,975.2066,975.2747,975.71246,976.5289,977.29614,977.6257,978.1148,978.718,979.1814,979.1265,979.1265,978.828,978.3896,978.56824,978.36914,978.3294,978.1104,977.5028,977.2142,977.543,977.08954,976.2925,976.8356,976.5914,975.2352,974.15845,971.15424,969.7707,968.81354,967.54407,966.04645,965.26013,963.6683,961.8488,959.8131,958.7615,957.09485,954.78357,952.7,951.8855,950.30365,949.404,949.21454,948.8168,948.58997,948.6371,949.0501,949.0373,949.1657,949.2966,949.49963,949.76984,950.0642,950.14935,950.1439,950.84393,952.0857,952.208,952.1592,952.6079,952.99817,953.691,954.3078,955.1417,955.50195,955.7393,956.7343,957.4639,958.39246,959.2921,960.2947,960.91595,961.48016,961.58734,961.7514,961.8512,961.9776,962.5904,962.9208,963.36914,963.5233,963.4497,963.7537,964.10443,964.03845,963.85864,964.1994,964.46466,964.69183,964.10425,964.1706,964.3219,964.5868,965.08014,965.695,965.89667,965.7438,965.60944,965.27045,964.94464,964.68317,964.71497,964.8143,964.8875,964.8421,964.7858,964.74835,964.7199,964.71075,964.6252,964.4736,964.1415,963.8944,963.6101,963.41144,963.16425,962.9641,962.80994,962.42566,961.8645,961.07794,960.3014,959.31213,958.25195,957.4241,956.89703,956.6019,956.23816,955.74615,955.2804,954.7285,954.08167,953.25385,952.4945,951.709,950.89716,950.103,949.23126,948.2823,947.43726,946.9027,946.47186,945.8422,944.9452,943.9532,942.83124,941.3792,939.8085,939.09796,939.94666,941.7659
2025-11-10 01:07:03+00:00,2025-11-10 00:00:00+00:00,975.98346,975.853,978.09937,977.93604,978.18524,977.94135,978.36975,978.295,978.2105,977.64264,977.45325,977.8418,976.87524,976.28754,977.0547,976.7608,975.24646,974.7224,973.91364,972.7545,971.8024,970.629,969.09424,967.5174,965.8957,964.10394,962.22034,960.59375,959.1269,957.59424,956.26953,954.76373,953.78876,952.76575,951.4587,951.3074,951.73346,951.5629,951.2972,951.9255,952.61395,953.00757,953.28796,950.3758,950.49756,950.84393,951.4311,951.97253,952.2659,952.69104,953.1132,953.6479,954.02,954.56256,955.37787,955.99445,956.71497,957.3311,957.9658,958.7713,959.6901,960.50476,961.0258,961.70667,962.19446,962.62445,962.64526,962.69574,962.69165,962.7411,963.0246,963.1866,963.4861,963.61127,963.71594,963.72595,964.0289,964.1805,964.2564,963.96234,964.1329,964.10425,963.80115,963.50757,963.03394,963.23285,963.34686,963.78906,963.75,963.33734,962.20764,961.0904,960.3669,959.70825,959.1324,959.1192,959.0759,958.87915,958.8236,958.58734,958.3234,958.2674,958.0215,957.7853,957.66235,957.45404,956.8097,956.47845,956.39374,956.5448,956.96985,957.3327,957.0268,956.39514,955.79156,955.2429,954.786,954.4484,954.3833,954.3314,954.3314,954.2499,954.02374,953.8341,953.5861,953.18445,952.75555,952.1865,951.5047,950.92664,950.54736,950.15906,949.9874,949.9287,950.0686,950.12244,950.0811,950.0491,949.9216,949.7941,949.66656,949.51227,949.4174,949.20996,948.99347,948.6647,948.1369,947.7311,947.3694,947.02527,946.69025,946.2599,945.9244,945.56244,945.3551,945.31116,945.2672,945.32666,945.48083,945.8426,946.5243,947.32764,948.10425,948.6647,949.11224,949.7409,950.6537,951.74744
2025-11-11 01:01:23+00:00,2025-11-11 00:00:00+00:00,962.0741,960.48694,959.88434,956.6749,956.373,954.63025,952.365,951.32367,949.88434,947.97186,947.5918,947.26764,946.62244,946.1103,946.70715,949.079,950.2842,951.1341,952.24445,952.44666,952.835,953.03,953.1299,953.697,954.1884,954.74243,954.77264,954.4798,954.8303,955.1528,955.5785,955.824,956.06024,956.35236,957.04224,957.5523,958.34845,958.6807,959.2425,960.1527,961.22577,961.4281,961.79144,961.5123,961.5933,961.8918,962.17645,962.36743,962.73114,963.1219,963.24664,963.2762,963.458,963.6208,963.68787,963.6498,963.79095,963.60156,963.6109,963.50684,963.48755,963.5536,963.9524,964.34015,964.643,964.8278,964.41656,963.99036,963.72363,963.36755,963.5043,963.5194,964.12,964.4819,964.7287,964.9284,965.10846,965.15607,965.4025,965.4408,965.20386,964.891,964.6734,964.5786,964.294,964.19867,964.29236,964.04895,963.6573,963.01135,961.9433,960.9378,959.92883,959.16077,958.77155,958.11346,957.64594,957.39453,956.97986,956.2977,955.8056,955.3045,954.80383,954.32935,953.8724,953.33826,952.674,952.2785,951.8214,951.7615,951.75275,951.6249,951.0731,950.13135,949.2842,948.7215,948.22784,947.8309,947.5494,947.267,947.12823,946.929,946.86786,946.9876,947.5199,948.32666,949.0377,949.5854,950.141,950.791,951.4895,952.18665,952.94763,953.7058,954.43396,955.2171,956.10065,957.03674,957.9076,958.6112,959.15686,959.77637,960.39685,960.991,961.6538,962.386,963.09753,963.80914,964.51105,965.1179,965.5446,965.7815,965.9334,965.99023,965.9428,965.8856,965.89514,966.0566,966.27423,966.48126,966.7405,966.973,967.1,966.9857,966.6774,966.44305,966.4001,966.426
2025-11-12 01:02:58+00:00,2025-11-12 00:00:00+00:00,952.72723,953.0091,953.2591,954.1999,954.3616,954.35406,954.9715,955.2093,955.8629,955.9942,956.35236,956.9398,957.9154,958.35175,959.5659,961.2965,962.10376,962.63574,962.5281,963.0433,963.563,963.6216,963.53467,963.4359,963.68677,963.7917,963.44086,963.76276,964.1295,964.1915,964.08435,963.78766,963.6702,963.6406,963.25226,963.16345,963.3034,963.453,963.38824,964.201,965.0892,965.2419,964.9354,963.8127,963.261,962.8608,962.58765,962.18695,962.294,962.3636,962.19446,961.8733,961.7505,961.3434,961.0405,960.6428,960.25433,959.6765,959.288,958.8995,958.463,958.1972,958.22925,958.3372,957.5706,956.8369,955.72534,954.79156,953.9523,953.27045,953.0573,952.7211,952.0648,951.7452,950.7862,949.7761,948.9625,948.6494,948.5609,948.1814,947.53503,947.6983,947.3685,948.4298,948.35803,949.59814,949.8594,950.7631,950.9563,951.4692,951.90405,952.1399,952.62317,953.0605,953.8912,954.3631,955.0447,955.6115,956.12805,956.6717,957.0341,957.49994,957.76654,957.7387,958.01373,958.23145,958.3635,958.6947,959.13,959.47046,959.7835,960.16364,960.2489,960.20935,960.1207,959.9381,959.78564,959.73944,959.905,960.25854,960.58954,960.8826,961.1476,961.50726,961.9232,962.32904,962.74457,962.9801,963.1308,963.27167,963.39276,963.504,963.7586,964.15674,964.5943,964.89087,964.99994,965.0699,965.0805,965.1944,965.33624,965.47864,965.658,965.9197,966.1506,966.50714,966.9213,967.3554,967.7145,967.9985,968.377,968.7458,969.10474,969.46344,969.80237,970.03687,970.4253,970.9778,971.485,971.94543,972.12335,972.15704,972.111,971.93097,971.67505,971.52356,971.51385,971.51056
2025-11-13 01:18:05+00:00,2025-11-13 00:00:00+00:00,963.6178,963.57306,963.4507,963.4115,963.91125,963.5017,963.98254,963.91455,963.8365,963.5556,963.5223,963.35834,963.05023,962.8112,963.3187,964.3927,965.07806,965.672,965.61194,964.96497,964.84717,964.4764,963.71106,962.86273,962.413,962.20135,961.674,961.3634,960.98566,960.5409,960.0204,959.3765,959.09296,958.54346,957.8612,957.4536,956.895,956.5162,955.8723,955.90564,956.34265,956.0782,955.551,953.1272,952.4928,952.1405,951.94916,951.50446,951.2095,950.4076,949.8533,949.4547,948.583,948.81836,948.2736,949.3352,949.1716,949.6199,950.5669,950.84656,951.7652,952.33563,953.3966,954.1058,954.1278,954.4155,954.4155,954.3621,954.5428,954.95935,955.19806,955.3487,955.6175,956.1121,956.32227,956.41895,956.5243,956.4307,956.7249,956.8011,956.9904,957.2839,957.5009,957.63306,957.67017,958.29443,958.58826,958.998,959.0935,959.3106,958.93854,958.7567,958.69904,958.77527,958.8077,959.1503,959.6609,960.06757,960.59753,960.814,961.2296,961.44617,961.83215,962.1429,962.5379,962.64886,962.7696,963.09875,963.2191,963.5579,964.17523,964.8127,965.0482,965.222,965.02386,965.052,965.0042,965.033,965.15594,965.25494,965.5214,965.9615,966.4899,966.9436,967.387,967.6612,968.0299,968.2938,968.55786,968.72723,968.86676,969.0062,969.3003,969.77826,970.4001,970.89075,971.08905,971.1331,971.0875,970.9173,970.66125,970.4813,970.50854,970.61554,970.7015,970.8674,971.10223,971.3663,971.6206,971.9894,972.2631,972.51746,972.677,972.83624,972.97565,973.2096,973.41895,973.81256,974.26514,974.5766,974.79456,974.96204,975.0299,974.8875,974.5553,974.38525,974.37537,974.52026
2025-11-14 01:03:24+00:00,2025-11-14 00:00:00+00:00,958.49054,958.6907,958.9899,958.6685,958.79346,957.5725,957.32715,956.8736,956.3438,955.568,954.93396,954.2716,953.83545,953.134,952.6404,952.83105,953.0662,952.8546,953.718,953.01227,952.3074,951.73724,951.07513,950.12317,949.49646,949.0732,947.8848,948.34686,949.04645,948.57764,949.4202,950.44885,952.026,953.1518,953.64905,954.1675,954.7294,955.76685,956.4597,957.0736,957.66724,958.0329,958.10364,955.41974,955.2388,955.5778,955.6447,956.0796,956.45184,957.0229,957.29956,957.39575,957.4823,957.75757,958.1272,958.44946,958.5818,958.81824,959.0544,959.29083,959.51715,959.84796,960.50116,960.7782,960.96893,961.3097,960.9286,960.84186,960.96436,961.09814,961.3377,961.5467,962.0861,962.4636,962.8412,963.0286,963.1308,963.4415,963.75214,963.8728,964.0035,964.32324,964.4731,964.5382,964.78265,965.1215,965.4054,965.8606,965.9177,966.1215,965.65857,965.4025,965.31726,965.4218,965.59143,965.69684,965.90985,966.2001,966.624,966.96313,967.4168,967.8802,968.06946,968.0593,968.40845,968.4734,968.43353,968.6877,969.111,969.36487,969.70856,970.1793,970.4361,970.4413,970.36743,970.19714,969.9411,969.7801,969.84546,970.0864,970.30676,970.4829,970.6429,970.8121,970.9819,971.26575,971.45514,971.6345,971.8041,971.99347,972.0881,972.20245,972.3368,972.585,972.8629,973.01935,972.9313,972.71735,972.50854,972.27954,972.1555,971.91925,971.6845,971.4183,971.24396,971.157,971.0722,971.0915,971.0816,971.1669,971.0915,970.9792,970.81067,970.50854,970.0349,969.53235,969.2291,969.3524,969.7792,969.9025,969.5236,968.8509,968.16876,967.3825,966.58636,965.8851,965.57214,965.36383
