forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:59+00:00,2025-11-05 00:00:00+00:00,315.0001,85.91447,128.36752,133.02507,158.19853,213.6901,257.00537,327.46497,323.49847,329.03632,334.93256,338.5522,329.82657,318.23978,309.09384,303.34073,298.523,291.25058,299.51138,296.96564,301.8274,302.47116,303.9965,309.55963,316.5481,316.5481,316.9749,328.5705,302.47116,281.3099,68.19853,98.530685,107.74477,121.60746,127.18479,127.74687,130.426,129.09386,135.0001,150.64235,160.55988,168.69011,177.7543,171.20267,178.60284,186.58185,187.0283,186.3401,187.2531,194.30031,206.56499,235.09743,261.87,267.66275,262.8751,261.6342,262.8751,271.97488,264.09396,266.3087,270.0,273.6913,288.92474,309.66782,334.79892,338.70258,338.58694,345.52966,345.74994,339.341,335.55606,334.69864,342.8972,347.61926,337.6198,339.07544,334.2307,334.35904,339.44388,348.11136,18.435053,344.47583,18.435053,33.6901,18.435053,18.435053,35.537766,41.185837,347.4712,1.9748993,349.69522,344.87595,349.99207,357.7543,353.79663,343.90912,346.53476,339.44388,338.34393,332.24155,323.31018,311.18582,309.90784,310.192,310.2798,310.36444,310.36444,313.93918,316.63654,316.70132,314.40942,315.0001,326.70642,337.6198,334.53668,333.43503,329.74365,326.7934,326.59216,326.65927,325.0079,317.29062,309.8055,304.43906,302.57404,303.31064,302.90524,300.46545,297.8972,295.20108,294.44394,294.30453,296.56497,300.96368,307.47626,311.98712,312.08908,311.05472,310.1559,310.31403,309.64413,309.47244,309.61066,309.55963,307.87503,304.50858,296.56497,287.3541,270.0,248.19853,231.84273,223.02507,214.3804,207.55272,199.09358,187.85323,180.0,175.4861,173.51703,173.15732,173.11838,174.03561,177.6141,187.32631,202.1095,213.92984,221.4676,228.57643
2025-11-06 01:06:07+00:00,2025-11-06 00:00:00+00:00,278.42688,290.55612,300.06848,294.22772,295.20108,259.9921,243.43501,224.9999,103.24053,116.56499,132.27362,133.26433,139.63554,135.0001,138.36655,154.02567,168.69011,173.06575,172.6005,177.73955,177.06439,180.0,180.90936,175.03035,178.53123,200.80687,225.70723,264.09396,266.12155,270.0,261.52893,261.87,252.75845,259.9921,270.0,275.44025,271.273,286.88687,294.36243,311.25693,309.09384,308.77417,304.931,344.7448,342.42865,346.42953,344.47583,338.58694,341.91644,357.0644,353.41815,344.7448,334.44006,343.73972,15.945477,6.70975,42.510403,39.289394,55.304783,51.34017,50.710617,60.255207,57.264786,42.878906,34.69522,19.440128,5.19435,3.5762644,3.0127327,3.9004252,4.6667724,360.0,338.83865,341.22186,341.8219,336.46762,331.26028,326.54666,320.64825,318.21558,308.65982,310.9554,308.3952,304.85452,307.66568,313.91916,314.47443,311.98712,333.13815,343.0446,350.21765,354.09393,353.04715,353.74606,352.6477,348.4862,345.14133,344.05453,339.62347,326.82147,316.3971,313.53125,306.86996,303.6901,299.98157,298.88647,301.26367,303.23172,300.65057,298.88647,299.5387,309.61066,306.86996,307.47626,304.9921,301.5042,296.56497,288.9705,273.814,253.49556,233.53067,220.81499,209.24873,197.24155,186.5197,178.60284,175.03035,173.15732,172.33328,173.77426,175.23645,178.23764,182.60251,191.30989,206.09537,224.9999,253.5399,284.30032,298.5399,300.25635,296.56497,292.751,290.97357,288.74142,286.50443,286.22028,286.60706,286.96622,285.81924,283.81503,282.72437,281.84204,281.12915,281.3099,282.2251,282.926,282.926,281.49652,279.95056,280.92276,285.10114,289.85532,292.30624,292.4162,291.18143,291.03757,291.93854,294.04422
2025-11-07 01:03:45+00:00,2025-11-07 00:00:00+00:00,170.9606,167.31963,182.93561,199.0257,266.0549,283.53586,288.8,287.96924,283.57043,285.06854,282.5288,287.87878,287.1028,298.1785,292.98874,323.67307,347.34744,353.11835,327.6804,332.928,339.71735,346.55136,348.17853,356.82022,357.13766,2.93562,357.0644,7.695961,22.751022,32.005356,54.46224,53.530666,44.999897,20.854538,57.528828,72.47434,77.4712,60.94549,79.99209,77.4712,48.814175,69.44387,75.96373,10.713074,2.385899,360.0,1.0809096,357.7543,346.55136,341.89615,342.64587,338.19852,332.5925,328.86108,322.92685,320.31458,316.36386,312.27362,306.50153,308.25446,307.72504,311.42358,312.614,317.67548,326.94415,330.86578,332.31903,335.2826,332.31903,330.3617,330.01843,337.6198,334.44006,327.99466,320.01315,312.7974,311.49637,306.86996,305.53775,306.25394,305.9098,303.6901,302.61923,301.60745,300.25635,289.79895,287.6502,290.77234,278.42688,262.1468,254.05453,248.74942,239.74365,229.84407,214.50858,197.92801,194.03627,189.0902,193.29858,187.85323,187.59456,182.60251,179.14493,181.66025,187.88304,179.14493,194.69736,194.03627,216.38445,218.65984,230.38934,276.70975,291.4478,293.6294,292.72977,294.03427,294.2613,293.09686,288.1781,281.9761,277.76508,280.1542,286.38962,290.64706,293.49857,294.88034,296.56497,297.824,299.57773,300.39865,301.6512,302.15228,302.3073,301.46408,299.56024,299.1974,300.25635,302.47116,304.19565,306.4914,309.19327,311.32538,311.03525,309.47244,307.6263,307.30402,307.87503,306.57312,300.96368,292.751,287.3541,287.928,291.80148,292.6199,290.92456,286.6993,285.4222,289.53674,295.27768,298.8107,300.17343,300.411,300.7841,304.28693,308.48022,313.2101,316.08084,322.3057
2025-11-08 00:57:50+00:00,2025-11-08 00:00:00+00:00,330.9455,347.90527,360.0,17.241547,346.75946,341.56494,346.86597,351.87,6.842679,38.290207,29.475794,34.159744,29.248732,35.134277,39.400646,34.9921,29.357658,27.897186,6.0089183,356.186,355.42615,352.47626,355.91446,356.87793,357.03912,357.95462,10.0805435,12.907409,358.4926,8.530679,356.67267,344.6044,345.73544,347.4712,323.42688,321.1886,311.37842,308.8114,314.38403,317.08255,319.55383,321.4495,319.92715,337.49643,331.4487,331.26028,332.31903,330.5929,330.85202,331.23245,336.3706,335.77228,327.99466,319.574,315.0001,315.0001,315.0001,310.60123,309.40063,305.36255,309.40063,306.86996,303.6901,314.06088,316.04153,311.7602,302.3474,292.06796,285.12405,273.17978,257.90524,237.38077,227.86247,216.02747,194.03627,188.3658,182.66295,183.23964,177.6141,171.86998,167.77489,168.87085,177.91748,183.3664,192.80426,190.53912,200.13638,226.08084,267.13766,298.30066,305.31128,308.21106,305.83774,303.42484,299.4758,296.0033,288.03436,286.46008,295.60214,298.88647,296.56497,295.79596,298.41257,296.92758,296.93945,296.93945,300.25635,304.59235,302.3474,300.8276,300.8276,300.96368,302.52487,305.15424,305.46344,305.31128,304.82455,304.69522,305.80344,307.5192,308.25446,306.86996,303.38855,298.70584,295.46332,293.3556,291.3707,289.88525,288.8,287.7005,286.5874,286.5874,286.5874,287.7005,289.50253,291.19412,294.2744,296.99576,298.23734,299.14798,298.85556,298.0724,295.97433,290.55612,285.6423,292.3802,311.63345,351.87,101.3099,137.4896,143.13002,140.71062,137.72638,137.60262,140.59937,144.46223,150.2552,158.19853,166.20049,175.38943,187.23683,201.47685,212.47118,220.71075,231.34016,244.1337,252.64589,255.96373
2025-11-09 01:03:35+00:00,2025-11-09 00:00:00+00:00,357.5634,348.4862,348.887,345.74994,340.9422,335.09525,348.34073,356.68228,357.43628,342.216,327.8043,324.5666,321.20343,313.72705,306.34756,311.25693,316.5481,316.52072,323.9239,322.4715,338.06146,350.53775,347.6375,343.90912,348.11136,347.15228,344.93146,344.19742,336.5014,329.42084,325.4374,323.97253,327.20047,325.0079,322.22424,325.6196,324.16226,325.4914,321.54626,322.12494,323.8067,313.09085,294.77512,290.92456,281.3099,270.0,245.55606,236.3099,223.53127,203.9625,196.55714,194.03627,191.53459,184.66678,181.00507,176.05489,171.41646,174.64427,186.00891,186.88162,194.03627,210.73541,197.70052,224.9999,254.47583,281.3099,294.44394,302.22873,302.3998,305.75397,305.53775,304.82455,303.147,303.42484,307.09293,294.10223,276.20334,282.75754,289.3846,291.99118,292.78244,289.50253,286.09088,293.33405,292.78244,291.19412,294.62354,300.46545,304.7961,305.628,303.6901,302.86868,300.5475,298.1785,294.36243,292.24908,283.32455,276.3401,278.36578,278.36578,276.70975,276.91113,277.1249,280.954,279.16226,285.4222,282.09473,284.5345,284.5345,287.1028,304.3804,308.15726,299.74478,288.43503,273.814,260.53775,237.99466,194.03627,157.3801,139.08571,130.36446,123.690094,118.30067,113.19862,110.13639,107.35411,106.38962,106.99091,110.22495,111.801476,113.70266,116.00329,118.70586,122.12497,124.56259,128.04709,133.06943,138.57643,141.21562,138.36655,132.75424,129.40063,128.90414,130.10085,131.25691,131.82008,132.37354,132.4208,130.91429,128.991,127.99879,128.43733,129.3405,129.70987,129.0194,128.15727,129.05313,133.8066,139.76372,149.18436,165.74994,185.04236,201.96062,230.4774,277.5237,301.23917,307.16455,309.1304
2025-11-10 01:07:22+00:00,2025-11-10 00:00:00+00:00,312.4362,316.5911,320.63068,326.0035,332.30063,336.61475,333.43503,328.39255,329.03632,326.3099,310.60123,327.38077,322.76508,312.39737,318.81418,319.18503,309.8055,292.1095,297.21603,293.6294,278.36578,265.10098,255.17348,252.25523,220.81499,218.15727,200.72563,196.4601,189.27252,191.76826,191.30989,192.26476,194.32275,193.39252,194.38142,206.56499,200.40997,226.04153,262.50424,279.7275,291.57138,307.45065,305.0595,315.0001,313.06943,307.45065,305.07382,313.36346,312.5104,300.96368,291.03757,268.49258,283.53586,291.80148,297.80136,302.00534,303.6901,298.76755,296.11386,294.77512,292.16638,293.45905,295.64096,299.62366,306.70294,308.25446,305.13428,303.23172,303.02386,298.68604,295.64096,296.56497,295.20108,291.4478,287.24155,292.16638,290.3232,297.47433,296.56497,285.6423,292.24908,297.75842,300.96368,282.99463,254.74483,206.56499,184.08554,158.96242,151.92761,152.24155,150.2552,145.71307,133.72705,128.15727,111.44781,101.68935,95.7105,95.906044,104.03627,93.945114,100.491425,90.0,87.87895,79.50858,69.86362,77.27565,79.380394,81.6342,76.328674,82.694336,88.6361,95.7105,104.03627,111.25058,111.63095,113.317726,113.682106,112.833694,111.297424,108.43504,106.85848,107.92801,110.37652,111.66602,111.286476,110.70912,110.62997,110.99293,111.345856,112.714455,114.90475,117.407486,119.66662,119.66662,119.66662,119.66662,122.27562,125.311295,127.13101,125.311295,122.07397,118.55953,116.00329,114.08745,113.27898,113.523224,114.59978,114.28583,112.036285,109.23077,107.05705,107.8403,110.0373,111.08383,110.70912,109.06929,106.04001,99.926186,92.1747,84.8719,78.54128,71.81086,65.55606,59.96681,54.46224,50.6595,46.576496,43.36347
2025-11-11 01:01:36+00:00,2025-11-11 00:00:00+00:00,196.38962,195.01842,186.70975,191.94415,187.59456,190.9806,189.18877,186.80896,185.80663,188.88058,197.57135,201.41304,214.43904,221.87778,235.1246,278.74606,302.98853,309.05313,297.2995,296.56497,292.24908,289.8322,285.17297,283.44864,285.59286,295.5599,297.072,295.51382,289.5732,285.94547,286.8215,288.03436,291.03757,288.92474,284.4208,281.3099,279.21094,282.99463,287.52567,294.2744,294.51962,291.6445,291.2093,296.2219,295.4975,295.38788,291.25058,285.78082,279.21094,279.7275,286.9909,295.27768,302.3474,298.88647,291.4478,293.1986,293.9625,292.16638,298.4428,290.55612,297.55273,299.74478,307.87503,305.83774,299.0545,285.94547,275.19434,275.44025,284.74362,281.3099,240.94548,236.3099,168.69011,160.0168,128.65984,125.837746,129.09386,125.837746,124.286934,122.00535,120.96369,121.60746,115.76928,117.34979,119.53869,124.992096,133.95847,138.46832,153.00424,154.65387,160.75038,160.78723,162.64589,161.56496,160.34608,157.3801,151.99092,154.69865,159.55037,160.34608,165.06853,166.86597,164.57777,166.86597,168.69011,170.8699,171.7242,171.7242,176.6336,178.80653,175.03035,180.0,183.814,185.82625,187.27492,188.97255,189.0902,191.30989,189.46225,184.76355,192.5288,270.0,310.2363,318.01288,322.76508,327.8043,329.62094,327.6526,325.0079,322.52374,322.52374,321.5819,322.52374,324.78232,329.03632,332.4028,337.75092,346.60748,355.71094,4.398633,11.888645,16.990906,18.970512,19.093594,24.227736,42.878906,65.77226,78.6901,83.659904,83.88459,86.05489,90.0,93.945114,95.906044,95.906044,95.7105,97.35229,100.30479,104.420815,106.55715,110.22495,112.833694,112.30626,106.31393,98.13002,91.3639,87.064384,81.38444
2025-11-12 01:03:13+00:00,2025-11-12 00:00:00+00:00,282.26477,289.13373,292.5206,293.38525,292.71445,290.28265,296.05344,286.31393,276.17007,275.7105,278.97253,279.24603,282.26477,284.93146,284.32275,292.6199,300.57913,303.4952,293.80594,298.9091,303.25436,301.26367,294.44394,287.87878,282.5288,282.99463,280.88547,278.74606,289.1791,285.25516,280.78424,281.88864,270.0,259.9921,252.64589,243.43501,224.9999,221.18582,213.6901,234.46223,224.9999,195.94547,169.6952,133.45189,129.55963,138.65233,128.991,114.62355,103.49575,112.1664,108.43504,109.09359,118.61037,140.52757,145.6196,163.0724,152.35411,135.0001,143.53067,147.38077,144.6887,132.27362,137.86247,148.17259,160.11475,167.692,172.01076,174.09395,175.07298,172.7469,168.90631,161.56496,159.07542,159.90468,166.50426,172.03047,168.69011,168.9965,176.05489,190.49142,207.55272,248.19853,283.57043,294.90472,316.30188,327.6002,317.1211,306.86996,313.0251,318.57642,320.1945,324.9405,313.7547,311.18582,301.13892,296.56497,298.0724,309.20718,315.0001,316.5074,317.35333,309.20718,304.7779,305.21768,305.53775,305.21768,301.4295,295.94223,298.3929,294.67685,293.38525,300.96368,307.6943,307.07315,306.46933,307.45065,306.86996,307.26648,305.9422,304.1145,303.6901,308.991,317.86246,324.6887,329.03632,331.55716,335.37646,340.20102,344.3577,346.50424,345.3791,343.3007,345.25638,354.80566,6.3401003,10.954029,14.036275,15.255177,14.826528,11.592147,7.59456,4.864438,1.3638979,354.64426,347.00537,342.8972,344.05453,345.06854,347.27563,352.6477,354.2895,351.87,346.50424,343.0724,343.0724,343.0724,345.3791,350.13425,354.80566,357.27374,353.6599,341.56494,329.74365,320.7106,315.0001,311.63345,306.86996,123.690094
2025-11-13 01:18:18+00:00,2025-11-13 00:00:00+00:00,285.7087,283.627,286.6993,287.74475,279.86575,282.26477,275.19434,259.69522,247.1663,233.13002,221.98714,158.96242,161.56496,168.69011,159.44388,208.07239,175.23645,157.61983,192.99461,191.30989,188.97255,178.26433,151.1893,142.3057,138.01286,142.69597,135.0001,136.63654,131.82008,123.6901,123.02387,120.96369,120.0685,126.384445,133.1524,121.42952,114.22774,113.198616,120.0685,146.3099,156.80139,157.96371,160.34608,183.63287,182.04536,185.59924,180.0,165.5792,177.06439,186.78888,188.97255,200.37651,198.92474,226.2188,223.60289,270.0,295.76926,303.11136,300.65057,304.90256,334.35904,326.61145,316.33215,311.85495,325.2039,327.17145,322.0578,312.8389,309.23734,304.931,307.18478,309.8055,305.83774,302.7352,300.81564,300.19153,300.32352,298.23734,299.14798,297.43964,295.20108,297.95087,300.25635,292.78244,286.6993,284.03625,283.0693,289.8322,307.5192,311.3477,306.34756,299.21915,300.25635,304.69522,302.00534,300.34317,302.15228,299.35767,301.5042,300.1413,302.1957,294.90472,301.60745,306.86996,324.24603,331.8215,338.5522,342.18103,340.20102,333.43503,331.1893,338.9624,338.19852,334.35904,335.09525,334.2307,332.6502,332.6502,332.5925,333.43503,333.43503,331.1893,327.72437,329.9315,338.19852,352.5687,2.385899,9.865748,18.435053,22.833694,20.556128,12.99463,5.19435,10.304792,22.61991,26.564985,32.005356,44.999897,180.0,315.0001,333.43503,344.05453,8.130019,44.999897,66.037506,97.12492,153.43501,180.0,208.61037,238.39255,252.64589,259.69522,270.0,80.53775,97.12492,113.962494,123.6901,120.96369,114.44395,105.25517,97.12492,75.96373,33.6901,26.564985,29.054508,34.9921,48.366554,70.01681
2025-11-14 01:03:39+00:00,2025-11-14 00:00:00+00:00,106.699326,116.56499,122.00535,115.55992,110.854546,112.24908,104.62092,128.2902,127.875046,123.6901,116.56499,109.98319,124.3804,135.0001,120.0685,143.13002,164.2913,180.0,169.6952,177.66275,182.33725,186.00891,170.13426,151.38963,139.18501,118.61037,149.03632,224.9999,239.0363,246.25049,284.03625,297.4075,309.8055,313.995,311.3477,310.60123,335.09525,327.52884,318.94528,323.13,321.70978,321.34018,319.21426,312.8789,310.91428,306.86996,310.0302,315.0001,304.62424,302.6609,300.96368,298.1415,296.56497,296.56497,303.9965,305.2725,306.38446,301.86594,297.69937,304.3804,300.96368,300.96368,296.56497,300.46545,306.68982,308.79657,308.92755,307.0305,308.2902,313.11182,314.3098,315.0001,313.31537,312.4362,312.4362,308.45374,311.05472,316.00497,319.23648,320.82635,324.86572,321.34018,323.8417,319.18503,320.7106,322.3057,325.17545,342.072,350.2725,354.95764,346.373,338.19852,330.01843,329.74365,324.78232,343.0724,4.969664,360.0,348.6901,341.56494,349.69522,360.0,354.55975,357.5105,5.19435,344.47583,357.13766,5.7105074,7.12493,323.13,337.3801,355.91446,351.2539,360.0,333.43503,324.46225,319.39877,319.39877,320.1945,338.19852,360.0,44.999897,108.43504,126.86999,116.56499,110.55613,108.43504,119.05451,138.36655,143.97253,140.71062,129.28938,121.60746,122.73522,124.50858,125.21768,124.3804,121.75944,122.471176,124.286934,126.027466,123.11135,115.64096,106.50443,99.78234,97.853226,95.906044,95.906044,93.691315,93.366394,93.17977,96.340096,99.72751,103.24053,104.420815,105.52418,106.14441,107.19863,107.700516,108.43504,109.09359,109.440125,107.74477,101.3099,92.2457,83.54128,73.66389,66.03751
