forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:47+00:00,2025-11-05 00:00:00+00:00,957.2812,956.95715,957.33203,957.01776,956.7475,956.81165,958.455,960.1041,960.9571,961.9577,963.6487,965.0821,966.69543,967.63544,969.63367,971.485,972.03296,972.5577,972.31934,971.9422,972.4456,972.5581,972.09033,971.3923,970.92554,970.93475,970.532,970.0892,969.55994,969.03,968.85004,968.41425,967.4759,965.9319,964.37823,963.5918,963.0234,962.2453,960.98773,960.06323,959.34454,957.95703,956.7541,956.17395,955.1563,954.12067,953.77527,953.43854,953.33484,953.3526,953.03204,952.8132,952.8796,952.5597,952.1359,951.72095,951.33276,951.13654,951.1983,951.1959,950.9177,951.05414,951.5312,952.11664,952.42914,952.70514,952.619,952.8902,953.89484,954.9101,956.05,956.93335,957.9758,958.72455,958.98096,959.04156,959.07104,959.2232,959.29846,959.51575,959.6481,959.74274,959.8851,959.6202,959.7912,959.96136,960.15845,960.07355,960.1118,960.59503,960.75555,960.8213,960.6594,961.41516,962.2455,963.3784,964.6187,965.6991,967.08624,968.3531,969.9165,970.7966,971.8205,972.7053,973.462,973.6948,974.0629,974.3161,974.64307,975.0956,975.7143,976.3066,976.47473,976.5261,976.44055,976.36017,976.2298,976.29517,976.6201,977.1585,977.42084,977.35394,977.0123,976.6905,976.45245,976.2342,975.9729,975.8147,975.7081,975.55,975.15295,974.6195,974.1896,974.06146,973.9507,973.6784,973.0744,972.2205,971.3587,970.5863,969.90576,969.2605,968.60754,968.0744,967.5882,967.4127,967.3045,966.9869,966.3045,965.5076,964.6463,963.80524,962.8897,961.9196,960.715,959.4449,958.1277,956.9518,955.71686,954.56305,953.29236,952.09534,951.06635,950.30176,949.6979,949.6077,950.1856,951.18353
2025-11-06 01:05:49+00:00,2025-11-06 00:00:00+00:00,969.57043,969.9495,970.0672,970.5522,970.1076,968.67883,967.96875,967.77936,967.3529,966.02655,965.24,964.5582,963.85693,962.5869,961.53796,960.93066,960.0714,959.00964,956.6069,954.82196,954.27783,953.71655,953.0352,952.9225,953.28394,953.6199,953.431,952.7816,952.53723,952.2922,951.88293,951.5361,951.4589,951.33734,951.61304,951.8886,952.1195,952.2781,952.4808,953.466,954.29297,954.49335,954.1486,953.4319,954.20856,955.0779,955.9709,956.6465,957.3953,958.03125,958.17444,958.42175,958.85077,958.26587,957.77374,957.9159,957.8873,957.6224,957.7834,957.5843,957.4606,957.5937,957.6506,957.6884,958.1148,958.1528,958.1907,957.87787,958.3801,959.27997,960.18884,961.3907,963.14197,964.6296,965.87866,967.569,968.78705,970.05566,971.3064,972.34204,973.3869,973.98895,973.97217,974.2695,974.28253,974.89374,975.4277,975.6816,975.8882,975.9476,975.76624,975.6683,975.77545,975.9648,976.2657,976.5039,976.85876,977.0988,976.94354,976.7423,976.7558,976.60065,976.3604,976.1842,976.2483,975.93396,975.6502,975.94415,975.93396,975.8394,975.9386,976.1275,975.90656,975.5276,974.97375,974.24646,973.34705,972.65533,972.1982,971.9366,971.65643,971.2581,970.8337,970.3341,969.71985,969.1154,968.4257,967.66003,966.7997,965.9291,965.00104,963.9686,962.98364,962.15,961.3718,960.50464,959.4469,958.2877,957.27826,956.33887,955.4671,954.8459,954.41315,954.13965,954.0537,954.2758,954.6051,955.09717,955.6215,956.1368,956.65204,957.08984,957.5189,957.9479,958.41675,958.8761,959.4173,959.8974,960.4587,960.8833,961.2826,961.5321,961.80286,961.88104,961.8807,962.0363,962.36365,962.84125
2025-11-07 01:03:29+00:00,2025-11-07 00:00:00+00:00,952.05945,950.6952,951.00494,951.36536,951.7519,951.0764,950.6321,950.86847,950.85944,951.40173,951.61816,951.253,951.181,951.7725,952.07935,952.6093,952.6255,953.6535,954.4412,954.6143,955.0977,955.40546,955.76953,956.4592,957.1143,957.26624,956.92084,956.5354,956.6483,956.78015,956.4312,955.97577,955.88104,955.97577,955.673,955.8256,956.5838,956.6807,956.74945,957.1752,957.7211,957.7464,957.1195,960.4261,960.817,961.80554,962.8501,964.1108,965.2855,966.6591,967.8234,969.41284,970.7614,971.8553,972.69385,973.303,973.89105,974.1496,974.46796,974.60675,974.641,975.14777,975.9755,976.49054,976.8941,977.0657,976.7224,976.6977,976.7846,976.88904,977.011,977.3366,977.7677,978.133,978.0541,977.8703,977.99036,977.8358,977.37787,977.00385,976.74445,976.7145,976.11646,975.917,975.4784,975.279,975.37524,975.0545,974.09973,973.59406,972.31586,970.8556,969.56616,968.88403,967.5677,966.68774,966.11926,965.26654,963.77893,962.3005,960.84064,959.65564,958.1095,955.8444,954.9035,952.6685,950.9045,950.241,949.91693,949.80945,950.2303,950.7181,951.3968,952.02325,952.4966,952.53784,952.25287,952.3747,952.99786,954.0259,954.8016,955.2486,955.6267,955.9534,956.3508,956.6969,957.0941,957.41223,957.78064,958.23444,958.7644,959.47424,960.1337,960.85626,961.7097,962.35126,962.81665,963.1535,963.4438,963.57635,963.7679,963.9755,964.4394,965.00397,965.56665,966.0507,966.54254,967.0605,967.72723,968.5071,969.2008,969.7714,970.1616,970.5609,970.89307,971.0546,971.3577,971.83984,972.463,972.71576,972.59717,972.306,971.693,970.776,969.6414,968.7015,968.1782,967.7444
2025-11-08 00:57:37+00:00,2025-11-08 00:00:00+00:00,956.95593,957.68616,957.7438,958.44696,958.5425,958.0123,957.8517,958.0124,957.2165,957.1784,957.5474,957.9359,958.07825,957.7941,958.73175,959.82117,959.8497,959.88794,959.64185,959.46185,960.1439,960.74054,961.6969,962.8423,964.22424,965.88055,966.43726,967.4638,968.7696,969.77155,970.247,971.0843,971.90094,972.638,973.1656,974.0414,975.21735,975.98987,976.4297,976.66974,977.10486,976.9365,977.02625,976.0522,976.01556,976.24365,976.5158,976.661,976.997,977.3167,977.4565,977.5016,977.5171,977.44745,977.3676,977.10834,976.94354,976.5792,976.12054,976.07025,975.94495,975.8302,975.917,975.88257,975.2895,974.74725,973.4711,972.35376,971.4242,970.43896,969.2839,968.297,967.6218,966.52985,965.48834,963.9366,962.56635,961.48663,959.4688,957.81085,955.4518,953.0351,951.859,950.94135,949.8044,949.87866,949.791,950.05,950.206,950.7256,950.7287,950.841,950.961,951.1167,951.6264,952.1755,953.0606,953.54706,954.0181,954.7769,955.87006,956.45325,956.8281,957.4504,957.9644,958.4112,958.95233,959.49384,960.0073,960.6251,961.3253,962.0655,962.49146,962.71686,962.80963,962.7529,962.6514,962.6602,962.9074,963.35767,963.7381,964.0858,964.35596,964.644,965.0631,965.4914,965.80615,966.0466,966.16376,966.31714,966.6019,966.9243,967.31287,967.9757,968.808,969.40173,969.7065,969.7683,969.6681,969.37213,968.90936,968.6157,968.524,968.59863,968.6291,968.6726,968.77026,968.7915,968.6504,968.4424,968.1393,967.7325,967.14496,966.6618,966.16,965.6674,965.2582,964.95917,964.73145,964.3921,963.7927,963.0635,962.2137,961.27576,960.1328,959.2523,958.5758,958.07227
2025-11-09 01:03:24+00:00,2025-11-09 00:00:00+00:00,965.1065,966.0798,967.0442,968.19977,969.2293,969.7421,970.80505,972.0306,972.0144,972.4775,972.9644,973.5693,974.43353,974.97003,976.0686,977.39276,977.6061,978.0123,977.42334,977.12317,977.12524,977.2155,977.4944,978.0025,978.55005,979.12775,979.0932,979.1332,979.4671,979.18317,978.7745,978.6799,978.8993,978.81445,978.4261,978.1214,978.035,978.113,978.1599,978.361,978.4746,978.3442,977.1984,974.41785,972.8834,971.88763,970.80444,969.9355,968.9297,967.56525,966.5934,964.8538,963.277,961.3125,959.12537,958.3223,956.04956,954.48676,952.52686,951.7126,950.87897,950.7654,951.05756,951.56573,951.5705,951.4483,951.91003,952.31915,952.58997,952.67426,953.3868,953.8114,954.2134,955.0709,955.7781,956.14233,956.3528,956.7921,957.0317,957.6095,958.4439,959.0308,959.55145,960.499,961.0676,961.73096,962.8093,963.5369,964.20325,964.8076,965.2114,965.23175,965.32,965.4304,965.5701,965.8158,966.15405,966.63196,967.0238,967.30206,967.5681,967.44806,967.7623,967.8198,968.095,967.8962,967.3757,967.36615,967.4331,967.50916,967.9333,968.2441,968.1782,967.741,967.23816,966.48114,965.6448,965.06635,964.86615,964.92926,964.94714,965.01135,965.0433,964.90356,964.57385,964.1761,963.68384,963.20044,962.8122,962.43286,962.2431,962.0534,961.9179,961.84515,961.81604,961.6406,961.17114,960.5515,959.7465,958.8121,957.88745,957.02405,956.48157,956.1811,955.81946,955.3276,954.86127,954.22205,953.39264,952.4853,951.5692,950.5668,949.5554,948.53577,947.57745,946.69727,945.92896,945.40894,945.0009,944.4309,943.5793,942.6601,942.0777,941.9952,942.24603,942.942,944.3368,946.28455
2025-11-10 01:07:05+00:00,2025-11-10 00:00:00+00:00,977.2297,977.28827,978.1296,977.73456,978.06213,977.45404,977.6228,978.36926,978.18,978.16986,977.7711,977.2475,977.6591,977.733,977.5516,978.38513,978.4261,977.6436,977.16595,975.65356,975.20386,974.523,972.9882,971.7515,970.5714,969.32764,967.542,966.2358,964.721,962.95154,961.1639,959.4605,958.40063,957.2549,955.9195,955.26587,954.802,954.9244,953.9764,955.14606,955.6854,956.5491,957.0903,952.7211,953.0842,953.6198,954.4208,954.7746,955.8472,956.64294,957.22534,957.94336,958.25934,958.51685,959.05316,959.69867,960.6008,960.91864,961.5196,962.3848,963.0491,963.91125,964.73413,965.28345,965.9695,966.60504,966.501,966.2974,966.29913,966.2902,966.39954,966.1986,966.51154,966.6606,966.8635,967.0113,966.70844,966.95654,967.1767,966.5711,966.8066,966.30493,965.6719,965.1147,964.7658,964.4445,964.1666,964.08124,963.5297,962.639,961.147,960.1967,959.3325,958.79663,958.5309,958.0813,958.1135,957.9306,957.7476,957.4606,957.1138,956.672,956.44653,956.13525,956.0134,955.5125,955.1062,954.79474,954.48334,954.4474,954.68207,954.89197,954.58624,953.81836,953.08234,952.44934,951.74884,951.17035,950.76715,950.5888,950.2708,949.89105,949.5623,949.12177,948.6993,948.156,947.75085,947.41364,947.2141,947.01404,946.7969,946.6659,946.62146,946.8367,947.1384,947.36224,947.3593,947.1041,946.704,945.9602,944.98517,944.15063,943.5424,942.98706,942.3186,941.34686,940.26154,939.1144,937.846,936.5256,935.4984,934.8593,934.4187,934.1764,934.05524,934.1327,934.382,935.0792,936.1376,936.9376,937.2902,937.56573,937.9985,938.8221,939.7921,940.881,942.01086,943.16516
2025-11-11 01:01:24+00:00,2025-11-11 00:00:00+00:00,967.5732,965.57184,964.44165,962.4394,961.9704,959.99963,958.55334,956.5872,953.3986,952.9626,952.64124,952.339,951.83704,951.5817,952.52893,953.99945,955.15015,955.3574,957.5637,957.62683,958.2227,958.23083,958.1278,958.3543,959.01,959.4177,959.3454,959.43585,959.7969,960.0341,960.5716,960.82086,961.1068,961.8184,962.3974,962.9665,963.6109,963.94257,964.4729,965.34814,966.11975,966.5084,966.69025,965.76434,965.5481,965.6519,965.80536,965.18713,965.48157,965.94226,966.1813,966.09045,966.24347,966.0174,965.98987,965.8308,965.7297,965.58624,964.9712,964.3749,963.9495,963.9797,964.02576,964.2209,963.746,963.29816,962.67267,962.16534,961.7773,961.98444,962.2079,962.1571,962.74713,963.03705,963.23206,963.5484,963.7787,963.9141,963.77386,963.9364,963.9858,963.8544,963.73236,963.7049,963.6774,963.65,964.0714,964.31525,964.08606,963.69366,962.63983,961.60956,960.76105,960.39795,959.9268,959.6362,959.40344,959.15283,959.0406,958.7992,958.60925,958.2726,957.7805,957.12445,956.85675,955.8557,955.0097,954.4918,953.8533,953.3354,952.8866,952.4026,951.47614,950.4774,949.5546,948.91876,948.4226,948.02594,947.87726,947.9209,947.9956,948.05865,948.14667,948.5358,949.227,950.1247,951.09143,951.90186,952.77106,953.5704,954.30023,954.86633,955.5805,956.452,957.36847,958.0534,958.4473,958.7021,958.7989,958.8076,958.6522,958.6954,959.16034,959.7249,960.43445,961.0681,961.74615,962.43286,963.10114,963.6738,964.0751,964.0966,963.85175,963.8152,964.00476,964.31665,964.7329,965.33844,966.1429,966.4732,966.0446,965.23694,964.6002,964.2392,963.96356,963.85986,964.1077,964.6313
2025-11-12 01:02:59+00:00,2025-11-12 00:00:00+00:00,956.54,957.137,958.33386,959.1642,959.67316,960.13196,960.08856,960.63135,961.183,961.39246,961.91315,962.2267,963.0707,963.6107,964.482,965.76215,966.6444,967.3158,966.8473,966.818,967.14795,966.7856,966.1869,965.83545,966.0976,966.2214,966.04865,966.43146,966.945,967.0307,966.6709,966.50037,966.57605,966.46234,965.94135,965.77045,965.69464,965.4863,965.06,965.49286,965.81116,965.4069,964.4541,963.2097,962.6476,962.3281,962.22626,961.93823,962.2542,962.35565,962.1127,962.15424,962.1098,961.6946,961.469,961.06274,961.0539,960.74225,960.34515,960.3273,960.1965,960.24634,960.2324,960.33167,959.8607,959.21747,958.3718,957.43134,956.69147,956.00946,955.6125,955.14105,954.7564,954.2643,953.57416,952.8312,951.93225,951.14514,950.51385,949.8931,949.8952,950.01904,950.2975,950.07306,950.6081,951.3935,952.2131,952.77423,953.04065,953.58923,953.2265,953.2856,953.34674,954.03033,954.8271,955.07837,955.7408,956.6443,957.38324,958.22534,958.71454,959.3069,959.8041,960.11115,960.4678,960.6158,960.88525,961.45703,961.8964,962.20154,962.5322,962.8028,962.9372,962.9071,962.72565,962.4357,961.997,961.6946,961.718,961.7912,962.06226,962.3695,962.88403,963.19965,963.4205,963.45123,963.5673,963.66516,963.75323,963.73663,963.6247,963.40857,963.3147,963.43805,963.77,964.07306,964.4798,965.0371,965.37573,965.38306,965.3529,965.3624,965.6396,966.0503,966.5638,967.04755,967.6352,968.109,968.53424,968.8352,969.24866,969.70996,970.0959,970.4909,970.75165,971.02167,971.3708,972.12213,973.04694,973.6409,973.74243,973.5094,973.3104,973.2044,973.0414,972.9835,973.0801,973.1865
2025-11-13 01:18:06+00:00,2025-11-13 00:00:00+00:00,966.36383,965.90027,966.1805,966.4688,966.9065,966.3959,967.0499,967.1919,966.7846,966.6236,966.46246,966.1687,966.0644,965.1924,965.05084,965.6303,965.8223,965.8982,966.60315,965.7503,965.37915,964.7058,964.02313,963.47864,963.21594,963.3017,962.9393,962.65796,962.38574,962.00934,961.29034,960.7705,960.54395,960.2224,959.7877,959.3531,959.04083,958.84186,958.4794,958.60016,959.02075,958.7144,958.19135,955.7491,955.38855,954.8724,954.5551,954.1632,953.65894,953.58716,952.69214,951.9696,951.6173,950.7804,950.3922,950.5304,950.3233,950.70294,950.979,951.4277,951.75543,952.72205,954.02466,954.7766,955.0529,955.9933,956.1917,956.641,956.6757,957.1849,957.3655,957.8955,958.4924,959.03107,959.5513,959.81305,959.9393,960.1234,960.4601,960.4841,960.6683,960.8603,961.20264,961.288,961.45844,961.76086,962.4056,962.88794,962.61786,962.5339,962.0982,961.7868,961.41174,961.2308,961.1137,960.94946,961.03186,961.3926,961.9336,962.24567,962.33136,962.55994,962.8465,962.7517,962.81085,962.84,962.88794,963.03046,963.46643,963.9875,964.2437,964.67914,965.2754,965.3505,964.8645,964.6547,964.3125,964.1808,964.5914,965.20966,965.7687,966.11847,966.51556,966.8176,967.22375,967.54425,967.87463,968.1201,968.36523,968.5448,968.6394,968.8484,969.0863,969.6373,970.39685,970.9106,970.99786,970.8281,970.63763,970.418,970.1694,970.03534,970.0558,970.18176,970.32544,970.4299,970.563,970.8186,971.2358,971.6713,972.06,972.13556,972.0494,972.00037,972.0088,972.1499,972.3586,972.8243,973.3566,973.7463,973.85944,973.73096,973.53357,973.31854,973.02997,972.84033,972.86615,972.98846
2025-11-14 01:03:25+00:00,2025-11-14 00:00:00+00:00,960.1965,959.63586,960.38806,960.2714,959.85126,959.3538,959.03326,959.2813,958.5354,958.12885,957.4867,957.1656,957.0708,956.502,956.52246,956.893,956.8933,956.49817,956.96515,956.3379,956.0427,955.26575,954.288,953.6227,953.5506,952.6807,951.55927,951.1276,950.73096,950.67847,950.79956,950.7734,952.09344,952.1525,953.2139,954.6726,955.5735,956.49316,957.69366,958.3669,959.08136,959.7219,960.26746,956.62366,956.7362,957.0899,957.5978,957.8425,958.7412,959.32074,959.4881,959.94836,959.943,960.1943,960.6527,960.9303,961.2073,961.4747,961.56134,961.9787,962.2448,962.58563,963.18256,963.73956,963.9705,964.15155,963.6025,963.24585,962.9115,962.8664,963.10114,962.8699,963.06366,963.4074,963.6739,964.0155,964.1296,964.5654,964.60345,964.8018,964.8682,964.92444,964.8095,964.7888,964.85236,965.0589,965.5249,965.98456,965.99567,965.9203,965.3505,965.12244,964.8182,964.8848,964.97144,965.077,965.55115,965.7588,966.3931,966.8176,967.1192,967.2217,967.50336,967.5493,967.47156,967.60205,968.04596,968.4996,969.0576,969.5605,970.1222,970.5842,970.779,970.75226,970.63855,970.41,970.0297,969.8585,970.0309,970.3069,970.52466,970.6379,970.6946,970.84595,971.0726,971.299,971.5353,971.7052,971.8752,971.951,971.6938,971.3319,971.13293,971.3999,971.82886,972.12506,972.1547,971.9518,971.66095,971.1257,970.5075,970.01526,970.00024,970.10016,970.15063,970.0095,969.72516,969.5356,969.4408,969.34595,969.1469,968.8441,968.541,968.1245,967.5946,967.0555,966.5348,966.1276,965.82434,965.3695,964.5244,963.61206,962.73816,962.1046,961.59576,961.0194,960.24274,959.4941
