forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:57+00:00,2025-11-05 00:00:00+00:00,1.08,3.219938,9.659814,9.565437,15.315873,16.267857,16.1198,11.246759,10.1887,9.3876505,10.182337,12.429127,13.039754,13.363711,13.276144,17.595861,18.391737,19.881649,19.164717,18.864824,20.304129,19.67195,15.349684,6.6087217,5.692099,5.1544156,5.04,7.24486,7.9526596,7.8954163,8.435069,9.686609,11.090103,12.7279215,13.783817,13.783817,16.039202,16.299694,21.638964,26.987997,30.817343,27.748037,27.288855,22.553936,21.38897,16.343367,11.304229,7.208994,6.763786,7.5942073,10.182337,11.367109,11.525623,11.113451,11.019764,11.019764,12.224107,15.124284,14.799459,14.799459,21.2522,25.199999,26.64,27.362366,27.722336,27.009598,24.881702,23.266697,22.104116,20.268991,18.193361,14.168641,12.783802,11.435313,10.483357,9.346143,8.311245,7.6367526,6.519877,6.8399997,6.830519,6.489992,7.2,7.8625183,8.4042845,10.538843,12.661564,16.946787,19.9954,23.893261,25.2924,27.645092,31.212229,28.001427,24.248613,24.881702,24.75638,27.248455,30.928587,31.435646,31.542658,31.104082,31.104082,30.978828,30.58517,30.563978,29.275326,27.248455,25.264202,23.000591,20.929594,22.545315,23.770906,22.782625,22.66857,22.86496,22.97522,22.039528,19.134262,15.530151,12.819235,11.808878,11.753876,11.720751,10.948973,9.931042,9.1641035,8.669949,8.714677,8.4963045,8.4963045,8.435069,8.161764,7.386582,6.8777895,6.3690495,6.4096174,7.10031,7.5685663,7.628263,7.69592,7.5942073,7.2359104,6.519877,5.3999996,4.39436,6.0347,8.647496,10.08,10.799999,11.879999,13.324863,15.137133,16.93531,18.36353,19.803272,21.288757,23.319553,25.582806,26.476522,27.021591,29.07989,30.599998,27.504093,24.36591,24.336637,23.565567,21.575987
2025-11-06 01:06:04+00:00,2025-11-06 00:00:00+00:00,5.634891,2.0364676,6.151683,7.92,8.647496,7.771331,7.5599995,8.373386,8.699793,8.669949,10.514218,13.044722,14.264361,12.475961,10.948973,17.57744,22.86496,26.729847,25.620771,28.1169,26.27753,21.26744,10.464798,8.209263,8.049845,10.587917,16.09969,21.129885,17.651016,17.462784,17.811815,17.811815,23.847115,23.740902,23.333443,21.897945,21.407139,20.037485,19.9954,21.897945,21.749481,20.545246,19.592731,21.897945,20.780453,18.947083,16.73516,11.525623,10.495713,10.464797,10.464797,8.557102,7.771331,7.5685663,7.968939,5.4119864,5.3517847,5.8048253,6.162207,7.69592,6.849467,8.669949,11.720751,13.363711,14.759999,17.673029,19.881649,21.96,24.717085,26.654589,25.744402,27.534704,24.315327,18.671474,22.42427,26.044699,26.36616,27.579382,28.58545,29.268686,28.757215,30.248568,30.293522,28.62396,25.140787,26.309572,23.795427,24.387177,25.582806,24.50381,23.469128,22.862125,22.380884,21.758419,17.917007,13.217443,11.183201,12.229406,11.988594,11.885453,10.883676,8.587338,9.19939,9.983106,9.83268,9.904906,9.227524,9.255571,9.178235,8.287822,8.209263,8.217153,9.504272,10.691453,12.496718,13.479583,14.336861,15.042659,15.542662,15.876775,16.923828,19.09358,21.24305,23.4,24.48,25.562534,25.919998,26.661882,27.117346,26.6327,25.417631,23.210928,20.883102,18.171976,18.448023,21.479666,25.0064,27.698954,29.204409,28.533264,26.729847,24.735432,23.241617,21.897945,21.67487,22.366402,23.469128,24.57511,25.264202,25.582806,25.582806,25.325686,24.858253,24.64094,24.087738,23.444265,23.4,24.490587,25.929996,27.722336,29.660152,32.335934,34.07091,34.494312,34.04808,33.29173,31.910301,30.267845
2025-11-07 01:03:42+00:00,2025-11-07 00:00:00+00:00,10.00256,3.8268526,1.08,6.638072,8.587338,9.693296,8.0899935,9.422101,11.620809,13.1041975,14.973576,19.245697,19.829433,21.599998,22.380884,26.400545,26.758923,24.29133,23.584808,21.900904,16.766108,18.0036,16.418526,13.32,12.768586,13.779114,10.30883,8.287822,5.2416787,5.315336,6.489992,4.6800003,5.1165614,5.0528407,6.28713,5.771239,7.5685663,11.304229,13.708391,21.046917,23.219301,26.28,27.475807,23.78453,26.042212,25.071096,26.282463,23.469128,22.930048,20.61766,19.386593,19.008545,20.746122,23.269482,24.863466,25.959969,26.574244,26.282465,26.208397,25.772078,24.72495,23.933908,22.91026,24.248611,25.683926,25.12016,24.633049,24.20314,24.57511,22.104116,20.898613,18.723461,17.555307,17.873556,14.689588,12.031756,11.753877,10.086427,10.296251,9.504273,8.557102,8.4042845,7.5942073,8.759178,10.315115,10.587918,10.685391,14.57889,16.981165,19.08,21.261345,22.881958,24.535526,23.313995,23.491207,25.455843,26.437336,27.51116,28.312117,25.86494,28.19285,31.452133,27.103,25.582806,20.188908,17.884428,18.11841,19.406637,19.586117,19.164719,20.883104,22.963936,25.744402,30.599998,27.009598,27.811018,28.357857,28.696312,28.48326,27.475807,26.7565,25.9225,25.189713,25.1614,26.959166,29.655787,31.559086,31.255795,30.353355,29.055367,27.859905,26.486313,25.630886,25.455843,25.944988,26.795223,28.555965,30.817343,32.219498,31.205997,29.01743,26.496098,23.904108,21.028437,18.161278,15.281989,11.988594,10.009036,9.1641035,9.585739,10.30883,11.043261,11.874544,12.496719,12.371645,12.287555,12.287555,13.138765,14.934577,16.179985,17.068707,18.171976,18.218275,17.148247,15.349684,13.044722,10.182337,7.2
2025-11-08 00:57:48+00:00,2025-11-08 00:00:00+00:00,13.1041975,12.9249525,12.57426,11.183201,9.746631,9.3669195,9.3669195,13.722565,14.04,14.417988,15.546833,15.546833,15.978486,16.73516,17.076298,19.93048,19.770523,23.266697,21.9718,24.119999,25.099514,25.171696,28.019936,26.693459,26.042212,26.700743,25.006397,20.724247,14.372974,14.264361,19.734436,20.421871,21.203358,24.063513,28.167557,28.856194,29.568253,29.784426,28.775238,29.09103,29.6383,29.522196,29.808346,26.183659,25.338476,22.065973,20.608229,20.291357,20.447239,19.855558,17.727943,16.267857,15.937878,12.303366,11.269782,8.39657,9.290511,11.090103,9.957108,9.220499,9.339208,8.12197,7.342588,8.699793,11.246759,13.276144,15.778516,17.673029,18.919704,19.586117,19.296133,20.991426,24.122683,23.42491,28.8,27.595823,29.179993,28.001427,27.820337,25.49908,22.657131,21.659916,18.671474,16.831684,15.277749,15.546833,15.379206,15.459054,18.204042,21.068459,21.2522,22.734219,22.79684,22.127556,23.358425,20.799152,24.675106,24.162947,25.294964,25.600533,25.992397,25.864943,25.364037,24.66197,24.20314,23.828083,24.066206,23.667091,23.03156,22.33161,21.629978,24.344624,28.99062,31.353085,32.47591,31.608328,28.954834,26.14403,23.113008,19.67195,17.287498,16.58346,17.25373,17.654688,17.76081,17.654686,17.555305,17.309973,17.418196,17.193533,16.965895,17.026896,16.87398,17.026896,17.309973,17.782688,18.514643,19.881649,20.172853,19.083395,17.283749,14.77755,11.4862,7.729527,3.7585104,1.835647,5.3999996,9.178235,11.457958,12.984975,14.529915,17.148247,20.380579,22.782625,24.95452,27.14123,27.943514,27.086262,25.922499,25.0064,23.664352,21.892027,20.68356,20.870687,22.68,23.863409,23.006226,21.120682
2025-11-09 01:03:33+00:00,2025-11-09 00:00:00+00:00,20.380579,17.193533,14.021525,12.599998,13.551501,16.870138,17.072504,18.079027,19.171478,19.161337,21.897945,24.967499,24.57511,24.798225,24.184391,26.729847,25.683926,24.675106,23.584808,22.963936,22.450264,22.314194,21.99538,19.66536,18.86139,17.068707,18.847641,18.86139,19.05281,15.990646,12.4811535,12.313894,12.738099,11.019764,8.0899935,10.086427,9.387651,10.799999,14.561099,11.525623,11.983188,13.830749,16.363178,18.455048,20.176065,20.176065,20.570463,21.626984,22.682856,26.28986,26.168804,26.795223,30.05515,28.001427,27.645092,26.717722,24.675106,21.659916,18.472595,17.429354,14.05845,14.386494,14.205182,17.114204,22.322903,21.096123,22.86496,24.27265,24.066206,17.654688,16.65754,18.228943,19.995398,18.899143,21.288757,20.61766,19.130875,19.137648,19.242327,21.325253,19.803272,16.92383,15.328561,17.731598,18.228943,18.345877,17.377226,20.176065,23.871555,24.819122,25.952478,26.141552,25.872454,22.461807,19.319628,13.237039,12.849528,13.397612,13.397612,13.363711,13.679999,13.75558,13.324863,12.6462,11.966953,11.609651,10.948973,10.594036,9.885262,8.759178,8.311245,6.87779,7.342588,7.289444,6.9899354,5.1544156,2.5455842,0.5091169,4.2136917,8.654986,11.841756,13.049689,13.584932,13.896187,14.113652,14.4,14.689588,15.778516,17.477621,19.08,20.767975,22.608458,24.522314,26.758923,29.03752,31.056128,32.619255,33.510952,34.488674,35.362556,35.747112,36.04497,36.44722,36.862663,36.48809,34.51685,32.06426,30.141266,29.574827,29.758307,29.522196,29.09103,28.775238,28.257132,28.79325,29.74306,28.277763,23.749088,21.313093,21.638964,20.275385,22.55106,26.959166,27.288855,24.66197,21.980644,19.878391,18.35647
2025-11-10 01:07:19+00:00,2025-11-10 00:00:00+00:00,15.042659,14.934577,12.864649,14.145756,7.9036193,9.19939,9.726664,7.7043357,6.6185193,7.9932976,9.9571085,7.8954163,13.039754,13.698934,11.043261,10.703569,13.896187,17.84816,17.373497,18.057508,19.130875,20.545246,18.59845,17.015474,20.570463,23.313995,26.415268,27.009598,27.231804,25.772078,25.35637,27.248455,24.75638,18.0,18.847641,16.854767,16.24394,16.700275,18.0036,18.837322,20.497883,26.260265,29.947153,21.734581,22.226902,17.58481,17.917007,18.193361,23.023117,21.42227,21.900904,23.507753,22.66857,21.434364,21.096123,20.991426,18.720001,17.555305,17.377226,15.683776,13.722565,13.722565,13.849476,16.575644,20.617662,22.206486,23.540806,24.819122,24.162947,20.991426,16.610792,11.592895,11.631956,11.503113,11.503113,11.792404,11.252519,11.212135,10.8955765,11.183201,10.805999,9.3876505,8.647496,7.2359104,7.072878,5.0911684,5.904439,6.1305785,7.10031,6.297428,4.802999,2.5959969,1.609969,2.9024127,2.52,4.32,7.5685663,10.105681,11.928989,11.885453,12.605142,13.138765,13.441071,14.471821,15.496736,17.731598,17.935081,18.64369,20.478907,22.881956,24.482647,25.537172,28.079998,30.811037,32.730316,33.58628,33.96233,34.154495,33.96233,34.08042,33.89549,34.574997,35.756172,35.949562,34.955242,33.58628,32.909985,33.71338,35.008957,36.43655,37.695282,39.28621,39.92755,39.606544,39.134167,38.358162,37.600616,37.053776,36.145504,34.54687,32.55363,31.255795,30.85307,31.262014,30.96837,30.555498,29.76484,28.712116,27.553524,26.407907,24.315327,21.53089,18.0036,15.484185,13.556282,12.10157,11.681987,12.387348,13.779114,14.57889,14.480773,14.05845,13.513193,13.53236,14.332341,16.563911,19.469976,22.392462
2025-11-11 01:01:34+00:00,2025-11-11 00:00:00+00:00,28.227306,26.302181,29.195534,28.551426,29.175552,32.571545,30.77737,30.267845,26.980793,23.686249,19.171478,15.844089,14.77755,16.595179,17.873556,20.799152,25.762016,24.766848,26.141552,29.168886,28.337282,28.84721,23.090569,14.986553,14.934577,17.026896,17.654688,17.87718,17.388409,16.595179,15.716793,14.587776,12.682018,13.556282,13.363711,14.759999,15.158522,17.015474,19.469976,22.180206,25.9225,25.992397,25.006397,25.20257,25.478743,22.881958,20.63023,16.746773,13.896187,12.849528,13.138765,13.039754,12.964998,12.964998,12.959999,12.6462,12.287555,12.24,11.901798,11.542478,10.853866,10.853866,11.367109,11.090103,13.004921,14.332341,13.363711,12.245294,11.183201,8.287822,5.3999996,1.0182338,4.3498964,8.435069,10.296251,12.096214,11.720751,12.475961,12.768586,13.276144,14.255272,15.192682,15.03835,17.595861,20.523157,20.991426,21.99538,24.482647,26.052162,27.952787,28.521906,27.36947,26.368616,25.959969,24.609364,24.087738,23.087763,23.587555,24.64094,24.031178,22.608458,22.751316,23.499481,20.929596,18.775301,20.172853,18.709612,14.84318,11.609651,9.957108,10.948973,9.085988,11.570515,10.009036,8.4963045,10.805998,12.55879,13.527572,14.512064,15.042659,14.917212,13.905509,12.10157,11.269782,12.10157,13.891522,14.88242,14.57889,13.281023,12.287555,11.753877,11.841756,11.525623,10.948973,9.746631,9.007196,8.473393,7.8954163,7.491114,6.1094027,4.39436,4.0249224,5.771239,8.759178,10.739833,11.298495,11.681987,11.966954,12.096214,12.55879,12.768586,12.979984,12.979984,12.979984,13.1041975,13.009903,13.202726,13.202726,12.849528,13.138765,14.044615,15.5843,16.520823,16.520823,15.683776,14.830076,13.684735,12.287555
2025-11-12 01:03:10+00:00,2025-11-12 00:00:00+00:00,18.430452,20.730501,21.30093,20.63023,16.394829,16.520823,16.167967,15.815435,16.279802,14.759999,14.799459,16.299694,16.808569,17.555305,17.654688,21.129885,23.710857,23.219301,23.4,24.149532,24.162947,22.26477,17.447933,11.966953,11.570515,10.805999,10.08,11.570515,10.239453,11.304229,10.538843,9.826088,9.346143,9.360001,8.217153,8.669949,8.891343,9.339208,9.339208,8.39657,9.085988,8.942214,8.654987,3.7585104,8.14587,7.8954163,10.195057,11.090103,10.685391,13.044722,13.276144,14.081477,14.277983,14.658676,15.596767,15.175612,14.917212,14.408997,15.683776,16.87398,20.211363,17.294992,16.563911,19.813087,20.883104,22.751316,22.461807,22.104116,21.605999,20.898611,19.164719,16.700275,20.674158,17.026896,15.893093,18.1041,14.186923,11.592894,13.905509,11.525623,15.94601,24.43761,22.728518,23.166218,22.104116,20.172853,18.043148,18.204042,21.53089,25.842384,27.852928,29.620802,29.28418,28.97944,28.091534,23.47741,21.068459,22.728518,23.18579,23.03156,21.603,20.523157,20.65848,20.268991,19.930477,20.188908,19.694992,18.792551,18.692286,18.345877,17.902534,19.469975,21.900904,21.575987,22.26477,22.226902,21.897945,20.63023,17.782686,14.186923,11.525623,10.514218,10.086427,10.086427,9.726664,9.449572,9.585739,9.693296,9.826088,10.144082,10.144082,9.983106,9.983106,10.495713,11.27553,11.966954,12.758432,13.441071,14.039999,14.658676,15.137133,15.2947035,14.48972,12.879752,11.592895,10.495713,9.904906,9.255571,8.759178,7.9526596,7.5685663,7.208994,6.5693827,6.2145634,5.8048253,5.3999996,4.452954,3.563818,4.32,5.95906,6.618519,7.0911775,8.12197,8.473393,8.209263,8.089993,8.707237,9.504272
2025-11-13 01:18:16+00:00,2025-11-13 00:00:00+00:00,10.464798,10.041354,10.163227,11.4862,10.685391,10.315115,10.787993,9.585739,8.669949,9.290511,11.885453,8.891343,7.342588,6.87779,7.92,5.04,6.830519,9.220499,5.8603754,7.172949,9.511088,10.44,8.854829,11.27553,10.805998,10.315115,9.673221,10.30883,10.829958,11.440978,11.183201,11.928989,12.324414,13.493999,14.830076,15.745627,14.561099,13.849476,14.618837,17.462782,17.873554,21.313093,23.157824,21.434364,21.09305,20.456745,18.998316,16.92383,14.480773,14.565548,13.891522,12.074766,10.739833,13.37825,22.89611,10.636766,20.188908,12.783802,12.979984,17.0763,17.727943,19.770523,22.9724,26.486313,28.357855,33.01418,33.326744,33.651817,32.527744,30.599998,30.7542,29.462873,29.947153,30.10685,30.10685,29.784426,28.820242,28.03612,26.576681,25.809765,25.14852,24.86868,23.990698,22.553934,21.900904,21.2522,20.799152,22.73707,25.603062,25.376808,25.364037,25.264202,25.63847,22.66857,19.346441,14.003028,11.885453,11.681987,11.792404,11.983188,11.681987,11.885453,11.753876,11.753876,11.090103,10.514218,10.182337,9.931042,10.009036,10.296251,10.1887,12.55879,13.684735,12.55879,12.181624,12.979984,13.779114,14.081477,13.281023,11.983188,10.495713,9.659814,9.227524,8.905908,8.049845,7.2805495,6.519877,6.130579,5.771239,5.4119864,5.0911684,4.5536795,4.2136917,3.671294,3.6179552,3.4152596,2.9024127,2.5455842,2.4149535,2.2768397,2.1897945,2.1897945,2.6208394,3.396233,4.198285,5.154415,5.5887027,6.2145634,5.771239,5.4119864,4.73506,4.379589,4.379589,3.9763298,3.9763298,3.6,3.6179552,3.7585104,4.510787,4.6938257,3.8939953,2.9024127,2.0991426,2.5455842,4.1046314,5.1165614,5.8603754,6.792466
2025-11-14 01:03:36+00:00,2025-11-14 00:00:00+00:00,10.028439,10.365251,10.296251,10.464797,10.086427,11.298495,10.823973,11.542478,8.942214,10.948973,17.771753,18.782204,19.242327,21.313093,22.768398,25.282152,26.66188,27.66384,26.302181,25.277025,23.584808,19.64228,17.10284,17.974781,17.22742,13.849477,17.555307,14.578888,9.028754,16.267857,17.992796,21.09305,22.66857,22.401142,20.696087,18.79255,19.8,17.555307,16.516901,23.210928,27.105392,26.980793,26.576681,30.631746,31.404713,27.381306,25.809765,23.277834,21.178896,20.969807,20.073025,20.073025,21.30093,21.09305,20.12461,19.64228,18.998316,18.86139,19.05281,19.694992,19.376562,18.504139,17.0763,18.899143,21.650938,22.148046,23.47741,25.1614,25.922499,24.485292,21.915691,18.391737,16.992609,16.981165,16.299694,14.081477,12.181624,11.681987,11.4862,11.183201,11.792404,10.990322,11.119281,10.805998,10.948973,11.043261,10.390226,12.371645,13.004921,13.493999,12.9249525,13.896187,14.689589,14.759999,12.074766,10.041354,9.904906,9.9571085,9.779817,8.311245,7.5685663,7.2805495,5.3999996,5.8048253,5.5887027,5.8603754,6.8399997,7.2805495,6.28713,5.2416787,4.3498964,2.6208394,1.9386592,3.4152596,4.072935,3.8268526,3.319036,2.5959969,2.5455842,2.7416782,3.563818,4.2136917,5.4119864,6.5693827,6.9527545,6.792466,6.8777895,7.127636,7.386582,7.386582,7.653705,7.8954163,8.161764,8.161764,7.928177,7.7043357,7.9932966,8.0899935,8.39657,8.217153,7.5685663,7.4128532,8.435069,10.195057,11.592894,11.885453,11.304229,11.019764,10.739832,9.957108,9.726664,9.693296,10.495713,11.177405,11.720751,12.371645,13.493999,15.192682,17.533146,19.255793,19.586117,19.35314,19.523155,20.598795,21.791153,22.553936,23.219301,23.469128
