forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:53+00:00,2025-11-05 00:00:00+00:00,163.81073,165.5792,180.0,175.42616,195.94547,250.0168,330.85202,327.72437,344.15686,351.76447,347.90527,335.69547,308.65982,277.4313,267.70944,290.55612,294.94388,297.47433,299.98157,308.65982,309.40063,306.86996,308.991,308.0471,319.63553,311.63345,321.34018,20.854538,53.13002,66.80139,90.0,105.64231,113.62939,121.42952,130.60121,134.23619,141.009,136.39711,140.19447,147.82881,154.94241,162.25523,175.72424,171.40417,182.12105,188.13002,187.43132,182.0095,182.4895,185.19434,205.01686,231.84273,249.62347,260.78903,255.96373,262.6477,268.02512,276.11542,280.49142,283.49576,294.44394,313.36346,332.5925,347.00537,341.99573,347.15228,349.21573,348.19757,343.55954,342.69937,342.18103,335.55606,335.89777,347.4712,342.75845,340.20102,337.75092,344.05453,354.2895,8.97255,23.629398,352.87506,23.198618,23.962492,4.398633,12.094739,26.564985,360.0,357.5105,3.8140097,349.69522,345.9637,349.11453,351.74063,350.53775,346.15927,341.0534,341.28815,335.15762,325.0805,316.8476,311.03525,310.84027,310.91428,309.44003,310.52502,313.5057,316.5481,317.72638,320.30096,323.29706,326.76828,336.90314,336.8014,332.6502,333.82477,333.82477,333.03436,331.63104,327.61935,322.85324,315.0001,306.25394,300.69965,302.82855,308.4181,312.7974,312.7974,310.60123,308.15726,306.15826,305.31128,304.82455,309.8055,316.1232,320.01315,320.90613,320.90613,320.90613,318.81415,315.90927,314.06088,313.91916,316.3971,318.81415,322.43134,326.3099,321.34018,248.19853,212.47118,206.56499,205.4633,205.55992,201.80147,194.03627,185.19434,178.45187,173.21112,170.34018,169.31514,171.99536,175.42616,180.0,190.85637,208.12364,224.34154,233.3438,241.60707
2025-11-06 01:05:57+00:00,2025-11-06 00:00:00+00:00,286.50443,306.46933,316.73566,345.3791,18.435053,93.57626,98.42689,111.03758,119.24873,121.60746,139.76372,140.90616,144.0578,140.6307,138.7154,155.09526,165.37909,173.50075,169.57935,171.46931,175.69562,184.1346,184.14455,171.70294,173.51703,187.43132,217.30403,254.21918,251.56496,254.05453,260.83774,259.046,254.57777,258.3664,263.9911,282.99463,301.1849,305.53775,299.4071,308.78436,312.8389,324.86572,319.0446,351.2539,346.8094,346.65125,345.2032,352.87506,343.73972,329.74365,338.9624,346.50424,347.19574,352.5687,24.227736,10.61961,21.801476,14.036275,34.69522,36.86999,39.289394,34.9921,32.471172,34.50859,25.201094,20.854538,6.1154146,1.5481218,1.2453395,353.41815,347.4712,345.06854,345.06854,342.38733,336.21796,332.6502,327.31946,324.78232,319.70792,308.21106,311.42358,309.69904,305.34018,307.66568,313.91916,312.22076,316.6683,334.41153,339.36237,347.19574,352.0566,353.7366,353.41815,354.2073,354.3825,355.42615,354.95764,345.4655,333.43503,325.78424,321.9529,313.6029,308.36752,309.28937,304.28693,301.32864,303.11136,303.11136,300.25635,298.30066,298.30066,310.60123,312.7974,310.76352,304.15976,297.3498,290.77234,280.1246,260.53775,233.61555,212.47118,202.93213,195.42223,188.88058,183.094,178.69807,175.33322,172.47627,171.02745,171.46931,174.55975,178.23764,183.63287,192.09474,204.5377,224.0609,258.6901,290.43292,302.53503,303.25436,299.5387,295.38788,293.6821,291.80148,289.3846,287.176,285.4222,284.03625,284.03625,284.03625,284.26456,285.17297,286.33612,287.24155,287.24155,287.52567,286.60706,283.0693,278.13,276.88162,280.6196,286.04907,289.74692,291.92963,293.38525,294.56717,295.20108,295.4975
2025-11-07 01:03:37+00:00,2025-11-07 00:00:00+00:00,171.60716,170.53775,177.66275,201.80147,272.33725,283.17255,285.0184,287.44727,289.9832,287.24155,280.49142,293.49857,297.47433,292.83368,313.36346,354.50775,358.9584,359.029,353.29025,358.89832,358.89832,1.1934711,3.9004252,6.0089183,3.2704222,4.398633,12.528798,20.37652,23.962492,36.253937,44.999897,16.699326,8.97255,35.217674,37.875053,63.435013,18.435053,83.659904,59.743652,75.96373,118.30067,56.3099,15.945477,8.841739,3.3664,356.87793,351.87,349.21573,345.4998,342.12122,336.54095,332.9692,330.9455,324.8335,324.11777,318.7154,312.82523,305.88223,310.0302,310.13544,312.614,314.39697,318.14505,319.66693,329.30035,335.95578,338.3555,334.61212,334.57315,339.64667,342.8972,337.75092,329.47037,324.2932,319.18503,318.01288,313.6029,312.27362,309.8055,308.36752,303.6901,300.25635,301.32864,299.74478,292.24908,288.43503,280.78424,280.88547,263.15732,248.5522,239.85869,233.97253,227.6426,219.80553,207.1496,193.0919,194.03627,184.08554,188.6731,188.6731,182.72626,182.72626,176.6336,178.31535,180.85507,187.76508,185.90605,195.78082,206.56499,221.00899,248.19853,280.84027,295.38788,297.25525,298.7202,300.25635,300.57913,299.44534,293.87527,285.33334,280.78424,283.39252,289.76724,294.77512,296.2219,297.21603,297.824,300.25635,302.9387,304.43906,304.26114,302.90524,302.08215,301.21835,299.93143,300.20316,301.7872,304.21576,305.53775,306.11945,306.3269,307.16455,308.2902,309.5881,310.50278,311.009,311.55252,311.37842,308.48022,303.6901,297.25525,288.9705,280.954,275.7105,273.9451,278.13,282.09473,286.18927,289.35907,292.5206,297.5972,303.40784,306.09836,306.67444,306.6562,307.34943,309.8055,315.0001
2025-11-08 00:57:43+00:00,2025-11-08 00:00:00+00:00,327.38077,348.40787,340.6409,349.99207,343.0724,343.0724,357.87894,345.4655,335.37646,344.05453,355.23645,7.12493,360.0,21.801476,27.40749,37.476254,26.564985,24.227736,10.304792,7.969524,5.19435,1.9414451,360.0,6.842679,8.841739,357.20734,346.39944,2.4194627,356.77554,358.5856,358.23764,357.5634,340.6409,324.5666,317.17474,308.8114,311.18582,311.98712,317.1211,318.6746,320.65952,321.34018,320.38934,335.11966,336.0375,336.3706,334.61212,333.00424,336.0375,339.56708,340.8209,337.93204,328.17258,320.1945,316.16904,319.7637,318.81418,312.39737,308.0471,305.31128,304.82455,300.25635,301.32864,325.84024,323.47104,313.72705,298.1785,285.25516,271.63654,255.96373,237.52882,219.28938,213.17853,200.55612,189.92618,187.49576,181.10168,180.0,170.8699,168.34074,170.98076,172.27826,169.8754,178.75467,180.0,193.13403,202.93213,247.52052,293.38525,309.0355,311.37842,311.009,305.31128,300.96368,295.51382,292.5206,294.0755,297.01257,300.96368,298.41257,300.6772,300.81564,300.81564,299.5387,303.23172,303.4654,305.25644,306.86996,301.39023,300.6772,298.4741,300.0332,303.08487,306.46933,305.31128,306.0761,307.01074,307.614,307.18478,306.70294,306.15826,304.75598,303.6901,301.15924,298.70584,297.12122,294.86368,293.70264,294.34106,293.83875,294.94388,294.44394,295.51382,295.51382,293.9625,294.53772,296.56497,299.24872,301.29297,301.29297,300.61853,300.01828,300.7354,302.1957,305.83774,317.72638,348.6901,35.537766,95.7105,130.60121,141.009,142.43134,142.81522,143.97253,145.6196,147.52882,150.75127,157.0362,164.6044,172.1999,185.96439,206.98015,224.32605,232.3057,237.99466,243.43501,247.61981,249.44386
2025-11-09 01:03:29+00:00,2025-11-09 00:00:00+00:00,350.53775,344.05453,333.43503,332.5925,337.1663,348.15796,2.1210518,343.1785,325.35898,323.13,318.6523,315.70724,309.28937,299.74478,307.80658,314.44382,318.12222,317.0454,326.74564,338.47733,347.84506,349.21573,348.3664,346.86597,356.24832,342.97937,353.01904,315.0001,321.7661,324.16226,326.68936,324.46225,323.39282,321.7661,317.91092,321.1155,316.08084,315.0001,310.426,308.8845,313.0251,296.56497,277.69595,277.59454,264.2895,246.25049,223.36346,213.6901,200.13638,199.44012,187.76508,185.82625,187.8152,180.93916,176.93358,169.50858,172.46065,178.0909,180.88138,184.23631,188.84174,192.80426,212.73521,228.65231,271.54813,298.92633,307.87503,308.0471,308.36752,305.75397,305.31128,303.147,305.53775,309.8055,291.80148,276.70975,287.52567,293.1986,300.46545,301.6754,299.87592,295.08356,295.14474,300.61853,300.61853,299.35767,296.0753,302.90524,307.66568,306.55255,305.1808,303.05582,302.82855,297.80136,292.5431,287.6502,284.03625,278.88058,277.1249,275.35574,279.16226,279.46225,277.59454,271.97488,279.78235,284.5345,293.7495,289.79895,284.03625,290.85452,296.56497,302.00534,297.75842,283.39252,272.6025,264.2895,252.64589,231.34016,192.5288,141.34016,124.50858,121.75944,120.256355,120.65059,119.53869,118.61037,117.824005,118.30067,119.74479,120.57915,121.328636,122.00535,123.14701,124.46088,126.34755,129.69904,134.43282,139.9938,143.13002,141.92717,138.12222,135.0001,132.99045,132.03899,131.57603,132.55292,135.0001,135.98767,134.51036,131.12138,128.76553,128.23387,129.19327,129.53613,129.3405,129.1304,128.90414,128.90414,130.0062,135.0001,156.0375,186.65433,210.96368,241.55717,284.74362,306.41647,311.93344,314.44382
2025-11-10 01:07:13+00:00,2025-11-10 00:00:00+00:00,322.90707,325.9806,324.63745,330.64233,340.9743,329.42084,334.44006,339.14545,319.39877,297.64587,298.30066,300.96368,286.38962,288.43503,303.02386,302.7352,292.3802,286.31393,288.9705,273.57626,262.1468,244.17906,237.65257,227.4896,212.00534,204.30453,191.6336,190.53912,188.29706,187.96953,187.52373,190.68486,190.40765,196.26028,193.44862,204.62355,202.98874,251.56496,245.55606,279.24603,301.6754,307.208,307.40543,316.77145,311.18582,307.56866,310.0302,317.41956,312.5104,302.27563,294.10223,283.49576,298.76755,302.3998,304.18616,305.13428,306.34756,303.17853,298.76755,297.95087,292.3802,295.64096,298.4428,299.62366,306.52896,307.56866,305.13428,304.59235,303.6901,302.31958,298.85556,300.52963,299.98157,296.56497,292.16638,293.7495,296.56497,293.49857,284.03625,292.24908,292.83368,288.43503,276.0089,291.03757,279.46225,270.0,206.56499,185.19434,180.0,180.0,169.21574,157.1663,149.9315,145.0079,128.2902,119.05451,108.43504,105.945465,99.78234,107.241554,97.59455,102.09474,90.0,79.380394,83.29026,84.95764,85.71093,92.66295,90.0,94.57384,97.253105,100.738846,107.90454,112.42591,115.11481,115.84434,115.11481,114.04423,112.38018,110.11268,109.359085,110.47237,112.19034,112.93214,113.36913,112.95412,112.80457,112.34815,111.58404,111.80147,113.59483,116.2882,118.257935,119.05451,118.93992,118.88649,119.67299,120.46546,121.26367,121.45677,121.349525,120.094154,117.34979,112.95412,110.256546,111.08383,113.44808,115.16783,114.34108,112.95412,111.57137,111.21805,111.08383,110.32322,107.56036,103.69007,100.30479,98.13002,95.85592,92.23113,85.30141,75.76269,67.5741,63.435013,61.587433,59.03632,54.46224,49.214275
2025-11-11 01:01:30+00:00,2025-11-11 00:00:00+00:00,186.3401,180.0,182.77016,189.75235,182.35324,187.90707,181.70978,183.52138,184.899,191.14285,197.78398,206.56499,204.56715,208.07239,233.42688,288.8248,310.0302,309.17365,301.92084,297.6129,294.1932,292.50357,289.8322,283.67133,280.954,282.72437,287.3541,290.77234,281.68933,277.3523,284.03625,294.14554,285.94547,266.0549,256.86597,256.373,254.74483,255.96373,259.50858,286.46008,299.21915,302.82855,291.39987,300.69965,297.27667,297.37762,294.36243,291.318,285.25516,287.3541,290.92456,292.751,293.4287,298.1785,300.96368,292.93213,280.1246,282.99463,291.80148,295.5599,289.1791,287.6502,289.29013,298.8107,291.80148,286.50443,286.50443,282.5288,282.99463,272.6025,285.25516,284.03625,168.69011,135.0001,98.13002,156.3706,133.26433,141.95291,133.60289,133.60289,137.60262,126.528946,129.17365,128.65984,129.2894,135.88132,143.8067,146.0234,154.61214,159.25385,165.01833,166.32867,163.37917,162.3498,161.28816,158.19853,152.15251,154.57317,157.75093,162.838,165.5792,166.37299,165.55592,167.66092,166.80939,171.38443,173.6599,174.2895,173.6599,175.84044,177.5634,180.0,185.82625,189.21095,192.38075,191.30989,186.1154,182.60251,182.86235,188.53069,194.03627,231.34016,335.22488,344.93146,345.17346,345.9637,343.1785,338.8752,332.3541,327.99466,326.65927,326.3099,327.84772,330.42227,334.59232,338.42862,343.53992,349.69522,354.68555,358.60284,4.398633,10.007925,21.801476,47.12111,77.4712,87.27374,87.614105,90.0,98.42689,107.818985,113.19862,114.90474,114.90474,113.19862,105.945465,97.853226,91.97489,93.945114,97.59455,104.93147,113.42871,122.34742,126.25393,122.828545,116.56499,109.98319,107.35411,103.13403
2025-11-12 01:03:06+00:00,2025-11-12 00:00:00+00:00,290.40997,299.60434,297.21603,290.55612,287.52567,291.80148,284.4208,276.91113,258.6901,247.8336,242.5925,250.34608,250.9743,245.37645,250.0168,290.40997,302.692,303.31064,305.1121,303.29358,302.00534,301.39023,297.0505,287.3541,289.0257,290.3232,294.62354,282.5288,284.6209,261.87,237.72438,214.69522,203.19861,209.7448,205.34613,199.29015,210.96368,209.0545,188.74608,170.53775,224.9999,219.09384,223.45189,151.55717,155.22488,159.07542,140.19447,119.4758,114.775116,114.775116,112.1664,123.17853,124.69522,129.55963,144.6887,143.97253,141.95291,144.24602,147.80429,148.73633,138.81418,138.81418,148.49579,159.30447,163.90912,171.1797,173.23392,175.3142,171.74065,174.2895,171.08516,158.74942,158.19853,165.71887,167.36664,170.9098,167.19574,163.44286,174.2895,187.85323,207.89717,277.1249,303.02386,307.09293,337.71436,315.0001,326.92932,311.90585,319.49722,323.13,318.73148,313.06943,302.90524,295.14474,287.3541,288.8,285.0184,286.55716,289.6539,297.12122,308.8534,305.83774,299.0545,286.9909,283.24054,282.5288,287.52567,295.40768,298.30066,297.18103,292.6199,299.1675,302.55,301.79886,304.46088,304.46088,304.75598,304.82455,305.67648,306.25394,308.0471,311.98712,316.46872,319.39877,321.34018,323.61554,327.72437,337.75092,347.00537,352.14676,353.88458,353.15732,355.03033,357.70944,360.0,1.8475709,5.3557334,6.9111314,6.70975,1.6365454,352.30405,347.79953,346.75946,348.6901,349.50858,349.11453,347.4712,347.4712,349.50858,351.57312,353.6599,351.2539,348.23172,347.73523,350.13425,354.80566,357.3975,2.7262611,5.7105074,6.3401003,351.87,318.81415,285.25516,270.0,254.74483,240.94548,206.56499,158.19853
2025-11-13 01:18:12+00:00,2025-11-13 00:00:00+00:00,281.3099,288.9705,294.77512,289.9832,257.19574,242.35411,239.0363,226.33215,222.13753,209.4758,198.43504,180.0,172.87508,202.47948,205.64096,135.0001,188.13002,175.60138,194.03627,195.94547,191.88864,181.43207,171.25392,138.99101,137.4896,143.47105,145.0079,152.02061,155.43285,156.19405,160.0168,161.56496,156.80138,151.69934,144.6887,144.6887,145.17545,143.97253,146.88864,157.249,161.93944,165.71887,164.74483,182.77016,181.02301,183.12207,176.186,167.4712,173.4803,176.82024,186.70975,192.33908,221.63345,222.39738,242.44727,290.3232,308.991,316.2188,316.00497,327.38077,337.28555,311.42358,309.8055,317.66306,327.05078,318.888,313.95847,306.57312,304.50858,304.74326,303.25436,300.81564,298.88647,299.63828,300.51016,302.94922,302.94922,302.68054,300.32352,301.1224,303.6901,299.98157,300.46545,302.8557,296.56497,290.55612,284.57425,287.24155,299.84583,308.5302,311.42358,309.47244,304.641,302.10623,302.8557,303.02386,306.60718,316.90915,319.84406,313.87677,308.0471,304.82455,299.4758,309.28937,311.98712,318.01288,328.67136,337.3801,333.43503,337.3801,340.20102,344.7448,345.9637,340.9743,328.39255,327.8043,330.4613,334.8852,342.12122,356.0549,4.23632,360.0,349.69522,343.3007,351.4693,2.6025116,12.26477,14.620926,15.255177,14.036275,10.007925,360.0,355.23645,360.0,9.462248,15.255177,18.435053,270.0,216.86998,230.19447,246.0375,253.30067,262.8751,296.56497,360.0,56.309914,90.0,111.801476,191.30989,231.34016,239.03632,245.22488,254.05453,296.56497,44.999897,108.43504,111.801476,99.46225,74.054535,56.309914,30.963696,338.19852,320.1945,327.99466,341.56494,360.0,23.962492,56.3099
2025-11-14 01:03:32+00:00,2025-11-14 00:00:00+00:00,124.592354,116.56499,122.969406,130.31403,135.0001,129.17365,131.49637,138.65233,138.81418,136.27295,138.65233,149.62096,148.49579,152.02061,172.09293,169.46088,177.95464,183.63287,174.89792,179.01227,181.94144,184.48453,183.69131,160.46326,173.4803,185.35573,174.47255,249.44386,252.47433,277.8532,284.03625,303.6901,302.61923,293.1986,323.74606,337.0362,310.81497,305.36255,320.4774,322.9695,319.9938,312.10864,312.614,307.99878,307.16455,307.208,304.46088,308.0471,308.82983,303.02386,302.27563,297.18103,289.35907,295.34613,306.38446,309.52258,311.08167,308.48022,302.38065,303.6901,301.60745,301.1849,296.56497,307.6943,311.009,304.641,311.49637,309.17365,309.40063,311.18582,313.63614,314.23618,315.0001,315.855,320.52756,318.23978,313.66785,310.60123,312.1375,315.0001,322.3057,329.03632,331.69934,331.55716,333.43503,337.3801,327.72437,343.1415,350.2725,350.53775,347.4712,338.4985,335.55606,341.07526,344.05453,360.0,11.689341,8.426887,360.0,357.87894,352.5687,357.5105,4.398633,2.6025116,2.6025116,4.763556,2.4894993,11.3098955,4.085537,3.3664,354.2895,350.53775,347.90527,340.0168,315.0001,302.00534,293.9625,288.43503,296.56497,319.39877,339.44388,15.945477,60.94549,81.25392,94.76356,106.699326,130.60121,143.13002,153.43501,155.55606,147.52882,137.72638,132.5104,137.29063,143.13002,147.72438,150.2552,149.42085,147.52882,145.71307,144.46223,138.17992,126.027466,115.70991,107.87879,106.699326,105.945465,106.50443,104.93147,104.420815,103.32455,98.97255,94.76356,91.68465,93.366394,98.3658,101.3099,100.43742,99.24603,99.65983,104.57426,109.722374,111.801476,109.38461,102.99462,95.59925,87.91749,81.60716
