forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:20:39+00:00,2025-11-05 00:00:00+00:00,9.387651,11.183201,17.106628,14.618837,7.6367526,9.114471,11.525623,16.311613,16.299694,17.935081,16.08761,14.76439,13.363711,12.72283,14.33234,16.870138,15.072783,17.10284,19.602652,20.88,19.881649,19.914215,18.218275,16.363178,16.075521,13.854155,10.24578,6.725354,2.7416782,4.0249224,8.350138,11.440978,13.202726,16.055353,17.068707,19.319628,23.34455,25.12016,24.766848,26.712873,30.353355,28.757215,27.598173,19.513195,16.610792,15.2947035,14.007655,10.009036,8.78872,5.904439,1.08,6.9527545,8.217153,7.5685663,7.4128532,9.178235,9.114471,9.72,10.829959,10.8955765,15.273505,17.731598,18.584509,19.829433,19.829433,20.5484,18.888851,18.228943,17.106628,14.759999,12.10157,9.585739,9.028754,8.707237,8.373386,7.9036193,7.42159,7.145796,6.1305785,5.8603754,6.1094027,6.489992,7.10031,7.386582,8.161764,8.435069,10.1887,12.879752,14.458382,17.76081,21.194187,21.749481,21.398056,19.242327,18.58451,17.581125,23.557316,25.068514,26.712873,26.36616,27.059933,26.064596,25.992401,26.009844,25.96995,25.476198,23.507751,21.67786,18.971008,16.075521,14.618837,16.075521,18.39878,19.083395,19.008545,19.228851,19.228851,18.723461,18.0,17.0763,16.075521,14.689588,12.768586,11.457958,10.514218,9.885262,9.511088,9.339208,9.178235,9.178235,9.178235,9.339208,9.19939,9.504272,9.931042,10.233123,10.009036,9.0,8.714677,8.913181,9.449572,9.504272,8.714677,7.386582,5.6002855,3.396233,1.9386592,3.219938,4.829907,6.489992,7.9932966,9.085988,10.495713,11.440979,12.661564,14.799459,16.954432,19.652176,22.805367,24.36591,24.503809,23.857979,21.26744,17.31746,15.124284,16.808569,19.70815,22.59699
2025-11-06 01:05:38+00:00,2025-11-06 00:00:00+00:00,15.349684,11.592894,9.19939,7.8954163,2.52,4.8433046,9.346143,11.609651,12.324414,13.009903,13.779114,16.854767,18.331741,20.945072,22.59699,22.553936,22.17144,24.408424,24.27265,19.694992,23.990698,21.261345,16.62249,11.923557,12.096214,13.237039,12.429127,13.276144,17.163355,19.592731,21.261345,19.164717,18.581022,19.453327,26.099379,24.923338,26.168804,25.942488,26.282465,25.241108,21.9718,19.803272,22.530937,16.75064,15.745627,14.264361,11.659777,7.8954163,7.289444,7.7043357,8.287822,8.217153,7.289444,6.193674,6.12,5.4833565,4.8433046,6.12,5.3999996,5.692099,6.830519,7.5685663,7.8954163,10.308831,10.587917,12.181625,15.716793,16.92383,18.847641,19.826164,18.03237,16.58346,17.49615,18.35647,19.228851,22.392464,21.734581,23.03156,25.140787,26.089447,25.376808,23.469128,23.469128,21.659916,21.746502,20.730501,20.056877,19.809813,20.696085,20.316889,18.806337,17.518356,16.766108,15.646544,13.089354,10.195057,10.009036,11.304229,12.984975,13.755579,13.246826,11.480557,9.585739,9.659814,9.021574,9.983106,9.504273,8.891344,8.891344,8.089993,7.5170207,7.8625183,6.87779,6.28713,7.24486,7.928177,9.0,9.826088,10.163227,10.24578,11.090103,12.7279215,15.188415,17.313717,19.09358,20.163212,21.599998,23.40277,24.850431,24.84,22.461807,19.130875,16.489416,14.982228,15.192682,16.575644,18.59845,20.46941,21.897945,22.057161,20.991426,20.037485,18.59845,17.163355,16.700275,17.81909,19.770523,20.969805,21.2522,20.721119,20.316889,20.418695,20.617662,20.780453,19.562946,18.289274,17.81909,18.844202,20.598795,22.42427,24.031178,25.49908,26.415268,26.544964,26.099379,25.603062,25.49908,25.264202
2025-11-07 01:03:18+00:00,2025-11-07 00:00:00+00:00,9.885262,10.799999,8.404285,8.373386,7.2,7.5942082,6.638072,9.826088,15.111424,15.226764,20.633371,21.322214,24.826952,27.897097,27.248457,28.006058,25.417631,25.14852,21.175835,19.694992,17.193533,14.561099,14.512064,14.917212,14.759999,14.408997,11.609651,11.090103,9.565437,5.7599998,7.208994,5.771239,7.42159,5.6233797,6.489992,7.5170207,6.849467,8.473393,11.808878,13.830749,15.990646,17.782688,19.0392,18.331741,19.05281,18.720001,17.114204,16.267857,17.238699,17.0763,17.057314,18.391737,19.386593,22.288042,23.219301,23.358423,24.387178,24.26998,23.688984,22.771244,20.898613,18.864824,17.283749,17.373497,18.847641,18.847641,18.892282,18.581022,18.218275,17.713316,16.489416,16.135872,15.408671,15.778516,16.199999,14.113652,10.44,10.195057,9.028754,9.107359,8.654986,8.089993,7.8625183,7.9932976,7.5685663,7.9932976,7.42159,9.19939,10.44,12.261157,14.186923,15.807239,16.434305,15.978484,17.193533,18.692286,19.770523,20.991426,20.721119,21.485697,23.933907,25.959969,19.809813,19.70815,16.92383,13.324863,14.003028,15.580141,15.844089,16.65754,17.227419,18.59845,20.268991,21.53089,19.914217,20.870687,22.314194,23.132626,23.540806,23.34455,23.358423,23.042812,22.702845,22.539564,23.023117,23.993399,24.798225,25.284714,26.089447,26.089447,25.603062,24.798225,24.312662,24.633049,25.11758,25.603062,25.630886,25.376808,25.1614,24.863466,24.66197,23.86341,22.26768,20.08916,18.723461,17.884428,17.610588,16.831684,15.349684,14.186923,12.904882,12.245293,12.0694,12.144331,12.783802,13.556282,13.979871,14.494192,14.917212,15.315873,16.263872,17.287498,17.57744,16.704155,15.349684,13.551501,11.304229,9.021574
2025-11-08 00:57:28+00:00,2025-11-08 00:00:00+00:00,16.862455,15.226764,14.04,13.004921,11.720751,9.0645685,7.9526596,7.9526596,8.350138,10.1376915,13.358861,14.869351,15.158522,15.188415,17.581125,17.106628,17.651016,21.41319,16.1198,21.288757,24.014996,27.66384,27.77838,29.598919,30.124065,30.282827,29.620802,30.351225,29.957972,28.533264,26.787966,28.394392,29.301876,31.869658,32.619255,32.957207,33.84766,33.270313,31.559086,31.981293,31.614477,31.92654,32.2396,19.296133,18.0,16.516901,15.175612,14.654254,14.88242,13.779114,12.819235,11.988594,12.738099,12.768586,11.246759,9.931042,9.931042,10.195057,9.686609,8.714677,8.39657,7.9036193,6.28713,7.072878,6.489992,7.5685663,9.422101,11.090103,12.904882,12.43434,13.276144,14.587776,18.03237,18.806337,20.929596,19.917469,23.42491,24.842607,23.42491,21.03152,20.265795,18.455048,14.618837,13.608762,13.363711,12.682018,12.287555,13.207634,13.441071,14.799459,16.418526,17.462782,18.0036,17.462782,17.76081,19.011953,20.46941,20.65848,20.523157,21.575987,20.94507,21.578989,22.065973,22.702845,22.728518,22.065973,22.238562,21.575987,21.261345,20.288164,20.140705,21.42227,23.188583,24.464113,24.387178,24.387178,23.893261,23.4,22.782625,21.980644,21.370783,20.46941,19.376562,18.374111,17.595861,17.25373,17.193533,17.533146,17.782688,18.057508,18.057508,17.917007,17.917007,17.58481,17.25373,17.072504,17.555307,18.58451,18.971008,18.171976,16.575644,14.57889,11.792404,8.534353,5.815978,3.4152596,1.4399999,1.484318,3.7064266,6.297428,9.19939,12.4811535,16.075521,19.171478,22.366402,25.49908,26.727423,25.872454,23.664352,21.26744,18.35647,15.990646,15.349684,15.137133,15.192682,15.124284,15.978486,17.555307
2025-11-09 01:03:16+00:00,2025-11-09 00:00:00+00:00,28.691795,26.339111,28.694056,29.96662,30.432245,26.486313,25.488914,24.967497,25.862436,30.319178,32.59939,31.845251,32.112724,32.47591,34.882866,31.796375,29.620802,28.916763,26.299719,25.729298,26.081993,26.882141,25.872454,25.338476,24.819122,23.358425,23.469128,23.806318,22.930048,23.210928,21.273533,19.969458,18.58451,17.713316,18.335276,17.072504,13.276144,11.681987,11.183201,9.085988,8.287822,12.24,13.281023,11.113451,12.758432,13.009903,14.408997,16.299694,17.731598,20.163212,21.626984,21.349546,22.42427,23.0653,23.110207,21.96,18.556595,17.072504,15.379206,13.746156,11.983188,11.983188,11.928989,14.408997,17.238699,18.581022,18.504139,21.599998,17.709658,16.862455,18.448023,19.809813,20.46941,18.25026,19.469975,20.65848,19.486609,18.514643,16.981165,17.555307,18.359999,18.218275,17.388409,16.516901,17.462782,18.0,17.418196,18.331741,19.191748,21.413193,21.575987,21.575987,21.273533,20.188908,20.056877,17.917007,15.716793,14.241629,14.408997,15.111424,15.034041,13.896187,13.1041975,12.496719,12.224107,12.144331,12.0694,11.113451,10.739833,9.6932955,9.449572,9.904906,10.086427,8.854829,8.654986,7.754637,6.6087217,4.8433046,2.2768397,2.6208394,5.506941,7.628263,9.339208,10.685391,11.885453,12.599998,13.324863,14.565548,15.580141,16.831684,18.11841,19.681828,20.972897,22.493519,24.014996,25.233404,26.220753,26.758923,27.333935,28.1169,28.90107,29.407835,29.407835,28.673721,28.449112,28.00837,27.871534,27.162708,25.77962,24.063513,22.961115,22.66857,22.915916,23.166216,23.933908,24.72495,25.02971,25.582806,25.41763,20.46941,6.849467,15.646544,28.660158,28.66694,22.322903,17.377226,16.92383,17.373497
2025-11-10 01:06:54+00:00,2025-11-10 00:00:00+00:00,24.535524,23.491207,20.345573,17.811815,17.076298,17.654688,17.654688,17.25373,15.141414,14.113652,15.072783,15.072783,15.696165,13.513193,9.885262,8.4042845,11.013882,12.783802,12.984975,13.392774,15.7908325,17.31746,18.792551,20.774214,24.087738,26.693459,27.852928,27.943514,27.943514,27.792374,27.345785,22.238562,19.914215,25.189713,18.892282,17.31746,16.65754,16.923828,17.227419,20.63023,24.29133,23.557316,21.26744,18.0,17.76081,17.76081,18.455048,19.011953,19.803272,20.771093,20.608229,21.434364,21.794127,22.366402,20.570463,19.201874,18.678415,17.709658,17.25373,16.73516,16.854767,15.379206,14.145756,15.111424,17.447933,18.11841,19.386593,19.813087,18.86139,17.917007,17.114204,14.345898,12.661564,12.758432,12.57426,12.496719,11.792404,11.874544,11.177405,10.308831,10.1376915,9.726665,9.47012,8.905908,8.905908,8.647496,8.287822,8.647496,9.028754,8.64,6.924738,6.489992,5.4119864,4.2136917,2.4149535,1.0182338,2.968636,5.1165614,6.696387,7.24486,7.8954163,8.905908,9.114471,10.464798,10.823973,11.659777,12.7279215,13.493999,14.759999,17.026896,18.782204,20.620806,21.659916,22.226902,22.415602,23.4,24.696104,25.49908,26.302181,27.105392,27.598173,28.277763,29.460672,29.853966,29.257614,28.460497,27.459293,27.059933,26.980793,27.105392,27.729347,28.220419,28.712116,28.772987,28.460497,28.58545,29.01743,29.808346,29.808346,29.088802,27.871534,26.867676,26.36616,26.161375,25.661207,24.363249,22.86496,21.485697,20.771093,20.268991,20.082708,19.211996,17.811815,17.026896,16.87398,17.057314,16.595179,15.119999,13.004921,11.367109,10.587917,10.30883,10.1887,10.195057,10.296251,10.464797,10.703569,10.739833
2025-11-11 01:01:17+00:00,2025-11-11 00:00:00+00:00,31.394394,32.831135,35.069984,34.217045,37.191677,37.374172,34.245445,31.796375,29.157776,25.630886,23.977188,18.847641,15.629972,16.923828,23.977188,25.305208,24.863466,21.566973,21.659916,20.966715,21.915693,22.007162,20.150354,21.862406,21.900904,19.137648,19.770523,21.889065,22.608458,21.470612,20.87379,19.969458,19.008547,18.388212,17.654688,17.309973,18.0,17.377226,18.25026,20.188908,19.721298,19.33639,17.58481,20.188908,19.930477,18.919704,17.654688,16.45007,15.646544,14.458382,14.84318,15.827721,14.587776,14.05845,13.556282,13.556282,13.493999,13.138765,12.224107,11.440978,10.661107,10.805999,11.885453,12.605142,14.205182,14.618837,14.84318,14.759999,13.661038,10.390226,7.4128532,6.3690495,3.396233,2.4149535,2.5959969,5.495161,7.289445,8.913181,10.464797,12.387348,13.397612,14.081477,16.263872,17.388409,17.873556,19.803272,21.461555,21.868332,22.427162,23.110205,21.41319,20.620806,20.60823,19.721298,19.130875,20.188908,19.130875,19.05281,19.930477,18.671474,18.556595,17.555305,16.279802,15.978484,14.84318,15.111424,12.224107,10.829959,9.47012,7.9526596,8.707238,5.3517847,7.771331,7.69592,6.638072,7.127636,6.1094027,5.6233797,5.991594,6.763786,7.754637,8.373386,8.707237,9.387651,10.1887,11.4862,12.10157,11.923557,11.753877,11.269782,11.113451,10.787993,10.163227,9.0,7.9526596,6.849467,6.162207,5.0528407,3.9763298,2.6208394,1.8,1.8,2.7416782,4.0249224,5.495161,6.989936,8.435069,9.422101,9.957108,10.883676,11.435313,11.770403,12.181625,12.758432,13.358861,13.979871,14.685176,15.03835,15.39184,15.39184,15.273505,15.137133,14.764389,13.75558,12.57426,11.966953,11.113451,10.630672
2025-11-12 01:02:51+00:00,2025-11-12 00:00:00+00:00,17.518356,22.35481,23.090569,22.17144,20.63023,19.995398,19.995398,19.33639,18.35647,18.204042,16.73516,16.862455,16.327497,17.418196,17.917007,18.837322,19.05281,19.966211,19.486609,20.12461,19.813087,19.242327,17.654688,14.799459,15.542662,16.327497,15.281989,15.827721,15.484185,14.986553,13.207634,12.496719,11.542478,11.165805,10.823973,9.746631,10.308831,11.631956,12.43434,12.864649,13.207634,12.0694,10.703569,4.198285,5.0528407,6.792466,6.989936,5.991594,7.928177,8.78872,10.464797,11.200571,12.387348,13.854155,12.72283,13.854155,13.363711,13.0447235,13.849477,15.978484,17.533146,16.965895,17.309973,17.902534,18.430452,18.289274,17.81909,17.057314,16.700275,15.5843,15.39184,15.683776,15.876775,11.885453,12.599999,13.324863,10.1376915,7.928177,6.8399997,9.72,10.308831,14.33234,19.881649,17.287498,18.532135,18.58451,18.39878,17.388409,18.25026,20.49156,22.206486,23.933908,25.071098,24.640942,24.535526,22.226902,21.2522,21.575987,21.096123,20.46941,19.995398,19.721298,19.930477,19.721298,19.05281,18.388212,17.782688,17.447933,17.533146,16.73516,16.62249,17.447933,19.64228,19.64228,20.46941,20.140705,19.486609,18.35647,16.904673,14.654254,13.217443,12.287555,11.885453,11.592894,11.090103,10.383987,10.00256,9.826088,9.983106,9.983106,9.826088,9.585739,9.449572,9.686609,10.383987,11.119281,10.948973,10.315115,10.00256,10.805998,12.10157,12.594856,11.681987,10.009036,8.669949,8.209263,8.39657,8.373386,8.049845,7.4128532,7.289445,7.491114,7.491114,7.491114,7.289445,6.792466,6.12,5.00128,3.7064266,2.0364676,1.609969,3.5455887,5.1544156,6.130579,6.5693827,7.172949,7.24486,7.42159
2025-11-13 01:17:58+00:00,2025-11-13 00:00:00+00:00,15.281989,14.973576,14.618837,14.05845,14.764389,15.84409,15.941944,14.618837,13.679999,12.605142,11.304229,11.043261,10.163227,8.891344,9.178235,6.6087217,6.618519,6.696387,7.145796,4.39436,2.2768397,4.8965297,6.130579,9.0645685,10.1887,12.229406,14.84318,16.1198,15.716793,15.978486,15.111424,14.512064,15.5843,17.106628,17.518356,17.026896,15.978486,15.815435,16.394829,18.584509,19.164719,19.652176,19.416653,15.463244,14.264361,15.111424,12.864649,10.028439,10.365251,9.726664,9.339208,7.289445,8.4042845,9.227524,16.135872,12.181624,17.884428,14.512064,14.4,15.459054,16.676977,21.178896,20.808498,22.870626,24.48,25.14852,26.61323,26.339111,26.474077,26.141552,26.282463,26.427528,26.099379,26.081993,25.44566,24.675106,24.344624,23.83624,23.210928,22.7057,22.862123,22.539564,22.057161,21.897945,21.096123,20.65848,20.61766,21.2522,22.415602,22.66857,22.86496,22.768396,21.178896,20.3774,19.469976,17.935081,17.339897,16.055355,14.529915,13.783817,12.599998,11.983188,11.435313,11.753877,11.681987,11.720751,10.948973,9.686609,9.220499,9.178235,8.942214,11.304229,11.792404,11.183201,11.304229,11.592894,11.808878,11.808878,10.739832,9.422101,8.14587,7.42159,6.792466,6.763786,6.763786,6.9247384,6.792466,6.696387,6.638072,6.3690495,6.4096174,6.297428,6.12,5.634891,4.510787,3.7064266,3.396233,3.096837,2.3051248,0.8049845,1.4399999,2.5455842,2.9024127,2.9024127,2.6208394,1.8,1.08,1.8,2.3051248,2.5455842,2.8116899,3.219938,3.671294,4.0249224,4.2136917,4.198285,4.6102495,4.8965297,4.6938257,4.6938257,4.072935,3.7585104,3.9763298,4.0249224,4.3498964,4.3349743,4.510787,4.73506
2025-11-14 01:03:16+00:00,2025-11-14 00:00:00+00:00,9.511088,9.793059,12.475961,14.77755,15.137133,16.09969,17.22742,17.076298,15.137133,16.62249,18.64369,17.771753,18.844202,18.751125,18.36353,18.057508,18.289274,15.408671,16.75064,15.827721,16.394829,14.973577,14.982228,16.039202,15.1884165,15.256526,20.188908,21.316135,15.629971,11.525623,22.90743,17.713316,20.08916,22.183128,18.875126,17.654688,22.45315,22.961115,22.26768,22.782625,23.166218,22.9724,21.611996,25.0064,24.86868,23.828083,23.710857,22.17144,21.868332,20.991426,20.00512,19.694992,18.709612,18.678415,18.837322,19.319628,19.652176,19.513195,19.513195,19.652176,20.00512,19.694992,19.469976,20.018072,20.421871,21.437386,22.322903,22.97522,21.767351,21.175837,20.883102,19.174856,18.335276,17.339897,16.363178,15.408671,14.689588,13.551501,12.738099,12.475961,12.738099,12.538134,12.538134,11.988594,11.709688,11.966954,11.720751,13.0447235,13.661038,12.864649,12.864649,13.1041975,12.768586,12.413476,9.449572,7.8625183,7.69592,7.42159,7.754637,7.5685663,7.491114,6.9153743,7.2,6.989936,7.10031,6.9153743,6.8777895,7.145796,6.989936,6.763786,6.12,4.829907,4.3498964,3.0547013,3.9763298,4.0249224,4.198285,4.5820518,4.8965297,4.829907,4.896529,4.32,3.8773184,4.072935,4.198285,3.7585104,3.6179552,2.8799999,1.835647,1.2979984,1.2979984,1.609969,2.2768397,3.219938,4.198285,5.495161,6.9247384,7.8954163,8.557102,8.049845,6.989936,6.3690495,6.638072,7.289445,7.9036193,8.707237,9.387651,9.585739,9.504272,9.422101,8.913181,8.654987,8.161764,8.209263,8.891343,9.659814,10.966713,12.245293,13.527572,14.33234,14.512064,14.707222,14.345898,13.910169,13.684735,13.722565,14.440443,15.496736
