forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:29+00:00,2025-11-05 00:00:00+00:00,197.96924,205.14474,207.95087,211.47679,214.50858,222.10866,227.72636,229.63554,237.75755,240.35022,243.43501,253.66388,271.21884,293.1986,333.43503,344.67844,343.8556,345.78412,346.71512,347.38068,354.36942,0.8951557,4.5738406,357.95462,353.6599,358.0251,5.9060555,10.885482,14.036275,33.023872,40.814987,57.99466,58.671368,74.931465,94.39862,124.69522,133.7812,135.0001,141.76614,148.76085,155.73871,158.74942,164.3577,169.99208,171.75377,170.21767,167.692,165.37909,161.96562,166.2392,173.34567,181.78987,189.46225,192.926,202.3287,210.11365,216.02747,220.85529,238.39255,255.96373,260.78903,270.0,289.0257,308.15726,310.1559,312.7688,307.07315,298.96756,292.8737,289.21277,293.9625,297.8972,289.44012,292.3802,319.53784,330.64233,327.42596,328.39255,333.9967,339.27435,345.4655,339.44388,326.3099,336.3706,345.9637,350.53775,101.3099,214.28693,199.17911,158.19853,196.58742,200.85454,221.51663,231.22581,269.46454,277.4542,316.45016,321.8427,329.9315,333.43503,337.27023,336.8014,337.22958,339.05728,336.529,334.05774,327.6927,327.09476,322.52374,319.66693,316.1934,316.04153,316.00497,319.0857,317.08255,317.0454,317.00955,317.5792,319.574,322.3737,325.37576,327.42596,329.8587,330.01843,323.53067,313.6029,305.75397,301.60745,299.98157,298.30066,293.9625,291.4478,289.0257,287.87878,288.43503,286.9909,285.75125,283.39252,281.3099,280.6196,278.91486,277.81522,276.48297,273.3664,267.70944,256.60748,243.43501,233.13002,227.12111,222.70937,220.23628,220.91429,223.36346,223.53127,220.81499,218.04709,215.75398,214.15974,213.2749,211.86594,210.17343,209.74478,209.0545,208.96756,209.3099,210.37904,211.39021,213.02388
2025-11-06 01:07:53+00:00,2025-11-06 00:00:00+00:00,355.42615,338.9624,5.3557334,18.435053,352.87506,253.30067,345.06854,42.27363,61.92762,64.23073,81.86999,101.68935,109.025696,119.24873,129.09386,143.79045,149.79684,157.3801,161.79143,164.55362,168.9766,167.79955,165.37909,157.8336,161.22188,165.06853,198.03438,182.12105,187.49576,201.61484,226.68465,236.3099,254.74483,288.43503,305.0959,299.93143,289.53674,276.95285,268.727,282.5288,276.3401,278.74606,270.0,286.29413,276.91113,280.45984,288.1528,285.59286,277.69595,281.00348,277.90707,311.98712,354.55975,360.0,360.0,10.124612,27.645891,23.962492,16.699326,39.805527,66.37061,102.99462,81.46932,126.57312,143.13002,177.95464,177.70944,157.3801,181.87784,171.67444,206.14677,261.78088,323.97253,323.47104,327.52884,333.12192,339.05728,340.70987,338.47733,338.07034,342.47433,328.64297,330.35022,330.87604,328.91257,325.90497,324.1301,326.3099,323.97253,322.98923,320.37103,317.44708,318.42398,320.80673,322.0578,330.8026,332.41806,323.31018,318.36655,312.27362,308.21106,310.17917,307.6943,307.97165,305.53775,306.6342,308.45374,306.57312,302.3474,302.3474,307.74686,314.0907,310.73203,309.64413,302.6609,297.09546,290.95584,285.1541,279.0394,268.49258,257.66092,247.52052,241.8215,233.84172,226.27295,216.15828,208.88649,203.6294,200.37651,196.69933,194.32275,193.29858,194.47034,198.9466,205.90645,211.42952,217.37589,223.33975,227.80252,230.7106,233.25244,235.3888,237.13132,238.44865,239.0363,238.10924,236.3099,235.9806,236.97612,240.2552,242.90453,244.5367,247.47939,250.70985,254.24875,256.32867,260.78903,266.98727,274.39862,278.32556,277.9434,276.3401,274.8644,275.94678,278.13,279.65982,278.32556,273.46817
2025-11-07 01:05:28+00:00,2025-11-07 00:00:00+00:00,143.3658,161.56496,178.26433,178.0909,179.18156,198.71184,203.19861,227.9109,232.90707,256.29303,292.47946,278.13,273.814,285.52417,285.59286,285.80258,290.3232,290.44962,279.86575,281.61145,276.0089,273.6214,282.20044,289.9832,288.88617,285.52417,277.1249,278.88058,270.0,261.2539,244.35904,232.3057,228.01286,223.36346,218.04709,205.55992,39.09386,66.801384,150.2552,195.37631,218.21107,216.15828,205.8663,233.13002,250.11475,277.2531,343.93994,350.81122,340.0168,337.93204,341.56494,358.36346,347.19574,346.373,349.33026,351.31372,344.18073,348.3664,347.22876,348.84537,343.93994,344.16754,339.341,341.3232,339.35294,338.6293,336.27957,334.15567,333.7887,333.094,331.4601,329.53452,329.74365,329.98172,326.3099,320.90613,316.08084,308.65982,309.09384,312.18436,308.65982,304.59235,303.23172,305.53775,306.52896,305.75397,310.426,312.9546,306.60718,301.86594,298.30066,293.55228,284.67642,276.48297,266.906,250.34608,236.88864,215.75398,206.56499,207.97939,202.6199,199.65392,200.55612,201.80147,199.53674,200.35332,197.2659,201.28648,205.09622,207.3498,217.46063,221.2846,227.17476,236.4695,238.43108,242.86494,246.61476,249.25385,248.19853,242.35411,235.92276,233.13002,231.84273,232.54935,233.32556,234.58286,236.92932,239.65683,242.8504,247.1663,250.64091,253.44284,259.28693,271.43207,284.34937,294.44394,305.9422,318.27057,326.0035,325.71307,321.8427,318.09415,314.145,308.8845,305.53775,308.65982,313.72705,318.81418,317.6026,313.6029,312.1375,316.46872,322.69595,329.42084,336.8014,345.9637,356.82022,13.240531,33.6901,47.489597,77.4712,167.4712,193.24052,203.9625,216.86998,222.70937,209.0545,135.0001
2025-11-08 00:59:24+00:00,2025-11-08 00:00:00+00:00,249.07542,260.78903,278.36578,303.23172,355.71094,357.0644,4.8990126,6.9111314,21.801476,12.804273,5.19435,22.61991,42.27363,113.19862,90.0,94.89901,120.963684,159.77505,170.36253,155.82089,187.46048,241.06009,318.87134,321.70978,321.6544,323.58353,324.16226,330.86578,331.9756,341.56494,336.0375,342.34976,338.44284,335.43283,332.47485,334.0108,340.52332,340.76923,342.99197,337.09418,338.19852,345.7932,336.29733,330.43973,329.03632,327.75757,327.46497,328.8776,326.853,320.85602,313.53125,307.6943,308.33337,306.6562,304.28693,305.1665,307.5042,312.7688,314.23618,313.4089,314.11868,312.08908,315.0001,331.23245,333.01984,331.69934,327.77127,319.89914,310.97165,303.02386,293.55228,271.78986,261.38443,254.74483,246.57129,242.6502,232.43134,226.16905,213.6901,214.9921,205.34613,203.35558,201.99118,199.29015,198.68744,202.3407,212.00534,217.87505,223.7812,224.9999,240.47873,243.7118,242.176,242.80196,247.0942,251.0295,240.14108,240.94548,245.22488,251.86182,258.887,263.15732,266.186,279.92618,284.03625,290.72565,284.03625,283.70697,289.9832,289.23077,301.47678,310.13544,311.82007,308.32016,309.09384,307.14676,304.69522,302.1712,301.90805,303.02386,302.82855,300.37906,296.56497,295.82092,298.7397,303.6901,306.25394,307.18478,305.9098,304.15976,301.26367,296.56497,293.1986,289.6539,285.94547,282.09473,279.78235,277.59454,273.814,270.0,263.88458,255.96373,240.2552,180.0,137.72638,136.97493,142.69597,147.38077,149.34941,151.11351,152.6502,155.09526,160.90642,166.50426,173.15732,180.0,186.58185,192.5288,197.24155,203.6294,211.42952,216.43095,220.17917,223.06943,226.27295,226.93057,223.56796,215.6765
2025-11-09 01:05:05+00:00,2025-11-09 00:00:00+00:00,297.25525,306.13547,315.0001,317.96103,321.80127,325.90497,326.1038,327.91785,330.67963,337.6593,332.41806,330.9455,332.74475,332.47485,337.3286,336.9745,339.36237,325.73883,336.63086,336.0375,329.99518,327.0023,322.72174,323.44745,321.56268,310.51532,308.78436,318.888,322.206,328.2986,304.8754,307.56866,319.53784,339.44388,329.18436,331.9276,322.59457,325.4914,330.4886,336.8014,338.7907,337.49643,331.75034,315.0001,307.97165,305.78906,299.8988,284.03625,273.57626,264.64426,257.66092,251.56496,237.26477,228.65231,214.15974,208.7397,199.35909,197.59251,196.69933,193.53587,190.2221,195.03787,205.2011,211.65123,221.30852,224.55591,229.39879,233.2758,236.3099,230.01317,243.81195,244.7989,239.65683,231.66663,238.20113,245.29759,255.14134,265.13556,268.56793,285.94547,284.03625,286.38962,295.1148,298.0724,296.56497,294.30453,293.7495,303.6901,307.87503,304.59235,295.20108,289.35907,290.85452,289.29013,282.5288,284.03625,290.55612,289.29013,287.52567,289.44012,289.44012,303.6901,315.0001,305.53775,284.03625,116.56499,102.5288,140.71062,153.43501,159.77505,164.05453,162.89719,166.86597,175.36462,178.40889,180.0,181.36389,180.0,175.81517,167.4712,161.56496,159.44388,158.83867,160.46326,163.30067,166.42955,169.8754,173.6599,177.79745,180.0,175.76369,169.8754,167.27565,168.69011,172.69434,174.80566,176.49654,178.93912,179.01227,178.0909,176.24835,173.34567,168.887,164.64981,162.25523,166.20049,172.34944,176.23604,179.28386,181.4144,183.48926,184.18483,184.23631,184.28908,184.28908,184.93913,185.5721,186.8699,189.46225,193.24052,200.40997,208.14151,212.73521,213.6901,212.52487,210.1413,208.1785,206.56499
2025-11-10 01:09:07+00:00,2025-11-10 00:00:00+00:00,325.24402,315.88132,312.64667,312.5104,312.56332,316.30188,319.70792,319.7637,326.59216,320.01315,319.53784,314.06088,312.18436,308.23386,315.0001,328.5705,332.2816,331.87634,316.93057,309.47244,306.20953,306.86996,302.10623,285.52417,273.57626,276.70975,263.4803,254.29129,252.64589,247.249,235.30478,221.49637,215.90982,217.64769,214.0194,212.73521,211.67543,207.51192,212.34741,217.87505,223.86191,227.35333,230.553,240.81929,246.52899,240.25522,248.19853,250.82089,239.74365,238.81508,250.34608,255.96373,264.4279,271.5074,287.44727,288.9705,298.7397,297.2995,289.9832,293.6294,292.98874,294.30453,288.43503,305.0959,308.2902,310.97165,309.8055,308.21106,308.9559,310.71075,311.87778,315.0001,320.44037,325.71307,324.78232,317.72638,296.56497,288.43503,300.96368,206.56499,175.23645,191.30989,185.7105,180.0,175.91446,174.09395,167.4712,168.9965,167.90526,173.01904,173.41815,175.76369,180.0,175.42616,172.56868,160.0168,152.70052,158.19853,162.89719,171.25392,174.2895,178.63611,171.86998,163.81073,183.94511,176.30869,170.83772,169.04597,170.83772,166.86597,168.31065,184.08554,190.08054,193.17256,192.99461,191.94415,188.91484,184.66678,178.69807,169.28693,164.05453,165.96373,171.86998,174.89792,177.08922,178.0909,178.0909,176.186,172.27826,169.43904,167.96942,167.66092,168.3664,168.9965,171.14212,172.96216,177.30577,181.9091,183.1449,179.34148,172.17102,164.74483,160.93071,158.31087,156.72708,153.18373,149.33115,148.9349,155.91255,167.4712,176.14328,180.7345,182.81549,185.7105,183.43356,178.95839,184.0141,206.13094,229.4847,240.75127,241.33614,237.75755,235.40765,238.07916,241.75035,247.6593,256.84244,267.17294
2025-11-11 01:03:07+00:00,2025-11-11 00:00:00+00:00,259.1145,239.0363,241.8215,227.72638,205.64096,211.60745,209.0545,204.30453,195.52417,199.23076,208.00908,195.15411,197.74477,198.43504,215.70677,223.28511,246.71391,245.50145,245.13632,258.11136,256.67545,263.9459,263.41815,254.24875,241.85849,246.16125,252.29948,255.65063,251.11382,251.11382,252.03076,253.61038,257.4712,260.53775,259.28693,271.39716,293.80594,307.56866,315.0001,325.40765,324.46225,318.01285,311.53168,309.52258,312.58044,314.06088,311.98712,303.02386,297.75842,278.53067,252.47433,242.24155,239.53453,236.3099,233.13002,233.13002,232.59457,231.7098,231.7098,221.82008,214.9921,195.94547,182.4895,172.87508,171.86998,176.6336,181.59111,180.0,180.0,175.23645,162.3498,143.53067,140.71062,147.99466,156.50142,152.35411,146.97614,161.56496,160.55988,163.61038,173.29025,180.0,155.55606,128.65984,119.357666,102.80426,104.03627,122.00535,128.36752,135.0001,149.62096,157.01126,156.19405,156.3706,144.46223,137.72638,139.9698,143.47105,148.17259,148.73633,169.3804,181.78987,186.70975,186.91113,176.98727,181.46877,181.46877,181.36389,180.0,181.14574,186.22574,194.03627,206.56499,208.11311,211.52213,213.51105,214.43904,215.21768,215.21768,215.38036,214.9921,214.6112,214.6112,215.15425,217.64769,221.42357,224.55591,228.15492,231.84273,234.07141,233.86453,231.46979,230.07967,231.34016,233.97253,236.76828,240.78085,247.3801,252.47433,257.5926,262.8751,272.04535,301.60745,18.435053,46.636536,63.435013,83.659904,100.12462,103.57046,104.93147,110.13639,122.34742,134.02907,143.13002,150.2552,160.46326,168.69011,165.5792,157.96371,156.3706,161.24126,168.11136,170.04944,158.80588,139.14471,132.27364,163.61038,210.57915
2025-11-12 01:04:49+00:00,2025-11-12 00:00:00+00:00,241.07367,259.3804,257.24246,266.6982,268.78116,271.273,277.1249,281.0409,290.22495,298.49554,300.96368,324.63745,330.64233,323.47104,311.82007,313.72705,307.47626,310.73203,302.57404,291.57138,294.44394,295.46332,281.9761,259.8754,266.186,266.0549,263.6599,263.41815,237.38077,226.39711,212.61923,210.25635,220.81499,230.71062,231.95291,224.9999,219.80553,204.77512,189.46225,186.84268,186.3401,188.13002,190.78426,183.23964,187.38596,184.96965,185.5721,180.0,180.0,180.0,174.80566,178.26433,187.12492,192.33908,203.42871,209.0545,211.60745,212.61923,213.6901,215.3113,219.80553,214.50858,203.9625,210.96368,213.02386,212.61923,217.56866,220.60121,219.40063,221.76021,218.991,209.24873,203.42871,203.6294,210.1413,214.9921,217.47626,221.87778,218.65984,221.87778,217.74687,216.11943,218.65984,222.64667,222.70937,222.82524,227.23119,232.73352,233.6954,240.6901,243.43501,243.43501,253.46509,263.5413,273.9908,278.61557,276.91113,329.30035,355.10098,1.5911111,8.130019,8.746089,8.97255,10.713074,15.945477,20.556128,28.178495,26.564985,25.709915,35.311302,38.047092,44.06091,55.560955,62.17599,54.46224,56.3099,58.81509,59.93151,60.94549,62.10283,63.435013,65.55606,66.19405,67.93205,70.70986,72.34979,74.84589,77.00539,78.88701,80.53775,80.98076,80.39487,79.69521,79.540146,79.04598,79.04598,79.69521,80.53775,80.29342,79.42653,78.0707,74.38895,68.05125,60.350227,53.275806,47.00956,40.525032,34.472282,26.896168,18.435053,10.822971,6.9111314,5.3557334,4.610574,4.685815,5.7105074,7.7217383,10.560966,14.264554,16.336123,16.798458,15.461285,14.676441,12.99463,10.437421,11.003508,18.435053,29.5387
2025-11-13 01:21:08+00:00,2025-11-13 00:00:00+00:00,270.0,261.57312,246.50142,231.7098,244.65387,266.98727,256.75946,296.56497,59.743652,98.13002,97.76508,95.906044,142.59457,142.3057,130.91429,147.3391,149.82657,159.92839,158.19853,164.53873,167.73524,169.3804,168.40785,163.81073,155.85446,155.69547,161.07526,173.99109,183.01273,195.25517,193.24052,194.4208,197.92801,199.9832,202.1095,204.44394,200.13638,198.43504,199.53674,216.1933,225.70723,224.3098,221.90585,218.82983,217.07317,217.6943,214.9921,205.2011,204.44394,203.38524,209.8988,216.6342,220.97165,221.18582,222.06425,222.7688,224.29277,226.33215,227.79277,228.44748,228.21558,227.4896,232.43134,237.72438,236.97612,247.44272,241.97559,247.8905,252.64589,272.04535,285.46127,282.875,323.67307,349.15973,351.34753,354.71,355.42615,357.7543,357.3975,356.906,356.906,360.0,1.6365454,358.21014,358.09088,356.186,357.95462,8.130019,6.0089183,1.7356651,352.87506,347.27563,340.9743,338.5522,351.2539,4.969664,17.744766,27.552727,40.10085,44.999897,48.57643,49.398785,47.602623,52.431335,60.461315,70.46326,72.07199,80.53775,76.67546,65.13633,73.53991,82.1848,84.193375,65.29759,16.09089,20.897842,32.680546,41.922462,48.814175,55.78425,59.88635,55.750916,46.39711,40.06073,40.485935,42.510403,44.999897,43.02507,41.877792,39.61066,40.601215,41.63345,43.876797,44.999897,46.041542,47.045418,48.122223,49.236485,51.581917,52.81522,55.407658,55.840256,53.84173,48.99101,47.862484,57.528828,75.96373,90.0,97.12492,99.865746,100.30479,98.13002,90.0,84.55976,76.60749,68.19853,66.80139,73.73973,83.88459,91.84757,97.35229,101.3099,103.57046,99.78234,93.814,88.09089,84.2895,80.53775
2025-11-14 01:05:15+00:00,2025-11-14 00:00:00+00:00,166.75948,163.14153,173.82993,184.899,187.30566,191.59215,197.19862,203.70265,204.56715,202.38017,199.9832,201.5015,205.8663,204.44394,207.97939,219.93633,227.72638,228.36655,225.69019,217.26648,211.4295,213.6901,215.6765,208.88649,209.53868,210.96368,219.6678,222.92996,224.9999,221.82008,221.82008,229.28925,233.32556,237.31944,236.0409,233.49846,240.5929,236.79341,246.91484,253.61038,275.9644,308.0471,329.589,281.48196,293.5747,305.78906,345.9637,354.4279,348.9965,343.61038,354.98697,353.41815,358.8767,1.3321922,1.4320632,3.179772,1.6846573,3.5762644,5.527458,360.0,358.0251,1.8475709,4.085537,14.381432,15.124064,5.19435,349.3804,348.3664,348.6901,346.373,356.0549,6.1154146,11.689341,17.241547,12.26477,9.462248,12.99463,19.290138,26.564985,37.30404,42.27363,47.602623,55.304783,55.407658,60.461315,66.37061,73.61038,79.159744,93.73133,86.76037,99.46225,88.45188,54.246033,50.710617,51.18861,45.658466,50.572224,60.141087,40.9143,52.549347,49.28924,48.715385,48.91835,45.763813,52.124958,45.970932,44.999897,46.97493,44.999897,40.763515,48.94529,54.46224,57.42595,58.570484,57.99466,56.725105,55.491425,54.293217,53.74608,52.124958,51.34017,52.765083,56.309914,60.255207,64.23073,69.86362,72.75845,73.73973,74.47583,79.380394,92.60251,98.61557,98.32557,93.90042,86.09958,80.75397,80.07382,83.659904,84.95764,83.829926,83.21112,82.56869,81.528946,81.528946,81.70294,85.60138,88.99494,91.97489,93.301796,93.99084,93.093994,91.46877,88.69808,87.5105,87.27374,88.4089,88.264336,88.531235,88.830894,88.9584,91.0809,93.73133,97.30567,102.33907,109.09359,116.56499,121.42952,122.00535
