forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:21+00:00,2025-11-05 00:00:00+00:00,980.6385,980.28125,981.1855,981.7371,980.7987,980.54285,980.45184,980.702,980.4687,980.2976,980.6385,981.12744,981.3599,982.4445,984.15356,985.70166,986.4022,986.766,986.61237,986.74207,987.57794,988.4948,988.68304,988.69354,988.83655,989.0585,989.12146,989.11664,989.1354,988.75507,988.6702,988.80865,988.7294,987.9074,987.2974,987.37555,987.3448,986.7529,986.2853,986.3487,985.84564,985.0534,983.6424,980.9261,979.574,978.54785,977.74994,977.3014,977.0531,976.48975,976.00073,975.4947,974.96484,974.1393,973.2,972.7108,972.3184,971.6989,971.4666,971.4776,971.2631,971.73566,971.5363,971.82526,972.04486,972.23883,972.30615,972.09204,971.87683,972.1453,972.35736,972.9183,973.675,974.24274,974.61633,975.3023,975.7271,975.6037,976.07086,976.5493,976.8399,976.9488,977.29877,977.7932,977.8102,978.1722,978.84454,978.7809,978.4268,978.4073,977.10394,975.90625,975.30133,975.30133,974.70294,974.37476,976.16876,977.3935,979.63855,980.94476,982.16516,983.5343,984.90735,986.5211,987.3948,988.7295,989.3858,990.2025,991.3402,992.50305,994.0419,995.1828,995.80066,996.017,996.0653,995.9849,995.76337,995.6731,995.9661,996.47894,996.90015,997.2551,997.6221,997.8081,997.8262,997.76764,997.6186,997.4631,997.4105,997.26074,997.19464,997.12805,997.14813,997.3907,997.81335,997.7701,997.1694,996.10004,995.06067,994.04224,993.0644,992.1827,991.5294,991.0654,990.75073,990.65643,990.7149,990.5931,990.17535,989.66736,989.16565,988.6639,988.1686,987.6732,987.05597,986.3483,985.7236,985.3275,984.91345,984.314,983.3296,982.1528,981.0155,979.8913,978.80554,977.9526,977.4859,977.34204
2025-11-06 01:07:41+00:00,2025-11-06 00:00:00+00:00,987.9491,987.7113,988.3842,988.7838,988.6155,988.07245,987.9036,987.8491,987.8731,987.2387,986.6287,987.0271,986.8097,986.70685,986.30927,985.88666,984.9833,983.899,982.18475,980.3947,979.80023,979.0593,977.6388,976.5187,976.8677,976.61206,975.7193,974.6498,974.1598,973.6244,973.06647,972.555,972.21533,972.4036,972.78436,973.5049,974.51404,975.32794,976.0278,976.9815,977.57825,977.4096,976.5582,972.9944,972.8009,972.9726,973.0819,973.2655,974.0562,974.4131,974.58167,975.1823,975.31134,975.6071,975.929,976.1853,976.4573,976.633,976.62695,976.881,976.5853,977.0863,977.2661,977.36127,976.5305,975.39795,974.6099,973.6371,972.48175,972.3905,972.3327,973.8112,975.72406,977.3043,978.36127,979.2233,980.1095,980.9703,981.91113,982.99805,984.3127,985.7238,987.1219,988.8872,990.66614,992.2876,993.7415,994.61707,995.2215,995.5485,995.1798,994.8815,994.72595,994.80994,995.0683,995.26526,995.9354,996.1613,996.2641,996.2184,996.38403,996.19556,996.23285,996.27625,996.423,996.26,995.9868,996.106,996.0592,996.3214,996.9817,997.3308,997.0106,996.359,995.65393,994.9225,994.1525,993.4764,993.1219,992.86414,992.6544,992.5708,992.4421,992.3261,992.0176,991.6184,991.23883,990.86566,990.4991,990.1645,989.75867,989.2876,988.84076,988.42413,987.94025,987.27295,986.45764,985.45654,984.4898,983.41693,982.3763,981.5006,980.89166,980.44727,980.21313,980.11084,980.219,980.21313,980.1726,980.12006,980.05585,979.9912,980.02325,980.04297,980.2138,980.4683,980.9152,981.5972,982.46466,983.07556,983.16156,982.9864,982.83014,982.76984,982.7338,982.69543,982.791,982.8842
2025-11-07 01:05:17+00:00,2025-11-07 00:00:00+00:00,975.6706,975.4826,975.2333,975.68335,974.8633,973.48285,972.6627,972.77216,972.7608,972.8406,972.2839,972.244,972.5106,973.25977,974.23456,974.786,974.99347,975.64557,976.12933,976.0287,976.03973,976.0124,975.52136,975.59216,976.12335,976.64014,976.68317,976.2771,976.3827,976.2507,975.73206,975.4622,975.4622,975.3536,974.9197,974.8854,974.8134,974.6025,974.5724,975.1732,975.1213,975.3483,974.3573,972.81024,972.907,972.7554,973.9083,975.3758,977.4052,978.6071,980.0881,981.2229,982.369,983.72565,984.49396,985.50726,986.16504,986.72577,987.75104,988.9382,989.94696,992.11707,993.58575,994.6148,994.8965,994.9591,994.5266,994.0562,993.79785,993.8756,994.1992,994.5766,995.318,995.6722,995.9418,996.2564,996.4868,996.428,996.56165,996.5355,996.5524,996.20996,995.8741,996.13007,996.09674,996.3727,996.9413,996.914,996.514,996.0465,994.7543,993.81573,992.93555,992.4832,991.6553,990.9502,991.0046,990.3812,990.00885,989.6747,989.05084,988.4399,987.4739,986.2759,985.57306,984.36816,983.28485,982.43115,981.2377,980.58167,980.1846,979.72485,979.06274,978.237,977.5816,976.9514,976.3826,976.13776,976.45654,977.19,977.8485,978.2798,978.63184,978.88696,979.11865,979.24744,979.382,979.43756,979.49866,979.6505,979.96576,980.4679,981.0476,981.7468,982.42505,983.0342,983.40173,983.5999,983.7097,983.5079,983.1264,983.04895,983.41205,984.06714,984.6831,985.3279,986.1331,986.7387,987.1148,987.3937,987.6839,988.00366,988.3356,988.6852,988.93225,989.1977,989.61475,990.3042,991.0534,991.5353,991.6697,991.4374,991.14984,990.6951,990.0918,989.5853,989.318,989.24066
2025-11-08 00:59:16+00:00,2025-11-08 00:00:00+00:00,975.74756,975.9128,975.32104,976.0299,976.2617,975.8345,976.21277,976.5783,975.80133,975.97797,976.1235,976.1899,976.54034,976.39557,976.58746,976.90955,976.67334,976.59515,975.78394,974.504,974.0966,974.3429,975.3822,977.2902,978.92413,980.3259,980.7782,981.35675,982.1523,982.6948,983.08466,983.56744,984.2621,985.0594,986.3242,987.7264,989.3876,990.3856,991.3314,992.29663,993.4929,993.6666,993.8663,993.86304,993.6825,993.73517,994.1553,994.6224,995.35046,995.73627,995.8453,995.7281,995.7964,995.69745,995.6378,995.4518,995.30853,995.159,994.72644,994.87915,995.0184,995.4669,996.08014,996.12726,995.91675,995.452,994.64435,993.5082,992.71985,992.15295,991.60785,990.9998,990.85284,990.4925,990.3575,989.84247,989.13477,988.44,987.5584,986.6965,985.68665,984.58636,983.04114,981.9653,980.6495,979.96136,979.5193,978.89856,977.88165,977.1885,976.4257,975.2106,974.5568,974.2668,974.5051,974.49243,975.77625,976.40643,976.12537,976.67596,977.12994,977.4635,977.39233,977.76263,978.2708,978.95276,979.87024,980.70886,981.3849,982.2604,983.2882,984.22363,984.6174,984.5907,984.42596,984.135,983.69666,983.4524,983.62366,983.88654,984.30493,984.6813,985.2192,985.5578,985.8541,985.94476,986.14935,986.37823,986.5223,986.6787,986.71954,986.6764,986.9068,987.4712,988.306,988.7564,988.7083,988.46893,988.0723,987.51465,986.9054,986.49023,986.3145,986.23206,986.30035,986.4902,986.8294,987.0839,987.054,986.9337,986.7345,986.5472,986.27496,985.9969,985.7859,985.6594,985.61035,985.8609,986.2765,986.3257,985.81866,985.045,984.1948,983.3572,982.45404,981.66895,981.24365,980.9397
2025-11-09 01:04:58+00:00,2025-11-09 00:00:00+00:00,979.122,980.06616,980.69385,982.03906,982.25507,982.9722,983.55774,984.51733,984.6421,985.1001,986.11865,987.49786,988.5188,989.49756,991.1641,992.6504,993.11383,993.4281,993.409,993.51215,994.2707,994.7987,994.9926,995.7583,996.6911,997.3086,997.2944,996.8033,996.6649,996.12286,995.7398,995.72217,995.80096,995.59686,995.64056,996.12573,996.9372,997.0905,997.4546,997.90045,998.39014,998.12646,997.34076,995.2487,994.54535,994.18414,993.6386,992.8537,992.78955,992.83417,992.3,991.6048,991.1863,990.48486,989.60333,988.4327,987.32,985.93097,984.76636,983.72955,982.486,981.38806,980.8452,979.73755,978.59503,977.6626,976.9863,976.17065,975.3811,975.3811,975.19806,975.75323,976.80194,977.43164,977.7391,977.66,978.0144,978.31305,978.61884,979.03656,979.38776,979.55676,980.051,980.87756,981.6378,982.59753,983.8375,984.40155,984.1031,984.6188,984.19836,983.9077,983.85626,983.936,984.1016,984.20337,984.9615,985.6993,985.93604,986.6438,987.0912,987.12775,987.5688,987.551,987.8108,987.7079,987.7746,987.88306,987.70197,988.0704,988.63135,989.042,988.8327,988.22046,987.52496,986.90234,986.2281,985.642,985.27075,984.8925,984.66364,984.4744,984.4455,984.3315,984.12634,983.94476,983.66034,983.18286,982.6087,982.1309,981.9202,981.8121,981.8467,982.05865,982.4121,982.51337,982.0926,981.31323,980.45886,979.58685,978.7421,978.0327,977.7325,977.5713,977.4413,977.2844,977.155,977.0419,976.8373,976.54706,976.2513,975.8479,975.4336,975.0136,974.5662,974.20953,973.88586,973.70374,973.55457,973.3413,972.89764,972.2861,971.6246,970.87164,970.16766,969.7322,969.8615,970.25885
2025-11-10 01:08:56+00:00,2025-11-10 00:00:00+00:00,996.06024,996.2784,996.2684,996.3323,996.402,995.3077,995.341,995.81665,995.95325,995.87,995.78705,996.1393,995.9266,996.5882,997.48663,998.00714,997.8106,997.8947,997.78424,997.21,996.7963,996.2546,995.5473,995.0617,994.6644,994.67096,994.1814,993.0319,992.36725,991.85834,990.6942,989.72955,988.9774,988.06537,986.96045,986.2602,985.66925,984.87177,984.08105,983.04144,981.7568,980.55206,979.85913,977.0348,976.5871,976.9908,976.6321,976.6869,977.1797,977.66583,977.7592,977.9112,978.5105,978.77625,979.38715,979.64136,980.2388,980.59485,981.14404,981.9827,982.8092,983.853,985.04486,985.9301,986.2417,986.35925,986.02435,985.6374,985.4723,985.63184,985.62573,985.60046,986.09357,986.4695,986.6992,986.95337,987.0135,987.1766,987.46643,987.3274,987.48425,987.2425,986.7411,986.7411,986.5296,986.6812,986.7358,986.7742,986.408,985.9444,984.47125,983.4512,982.3743,981.4869,980.8297,980.347,980.4198,980.57983,980.2438,979.6692,979.1466,978.5609,978.0944,977.53156,976.83563,976.01605,975.3394,975.2486,975.05524,975.0956,975.47833,975.65875,975.38965,974.8231,974.02277,973.2539,972.4362,971.93085,971.78595,971.95605,972.0925,972.37164,972.6148,972.8521,972.8521,972.7444,972.5398,972.44305,972.25507,972.0509,971.71106,971.35443,971.1278,971.2301,971.3654,971.23834,970.5905,969.5815,968.41516,967.1571,965.8347,964.6733,963.83307,963.2491,962.61584,961.7175,960.87506,960.2837,960.37103,960.70856,960.98193,960.8456,960.6407,960.60077,960.8841,961.23456,961.66846,962.0717,962.46643,962.5276,962.2136,961.5676,961.109,960.9037,960.7893,960.9582,961.4951,962.1286
2025-11-11 01:03:00+00:00,2025-11-11 00:00:00+00:00,994.5036,993.2615,992.1017,991.372,990.6374,989.2669,989.00397,988.8176,986.7852,985.16486,984.14954,982.83795,981.7124,980.463,980.30646,980.44037,979.9323,978.6666,980.2457,979.91974,979.90393,979.7739,979.7339,979.89124,980.4572,980.87445,980.8807,980.86273,981.11664,981.2616,981.09875,980.85114,980.54926,981.0261,981.4725,982.2333,982.9632,983.57196,984.5582,985.4627,986.30286,986.6617,986.93665,986.2234,986.06384,986.1437,986.1378,986.0601,986.46655,986.76996,986.5291,987.06726,987.11,987.2671,987.0378,986.9051,987.0741,986.7478,986.7662,986.5304,986.57275,986.60254,986.82495,986.4936,986.1369,985.56946,984.4129,983.4105,982.662,982.1424,981.9483,981.79193,981.87115,981.8194,981.7559,981.83527,981.5897,981.4757,981.493,981.2996,981.2941,981.0041,980.9016,981.08905,980.9749,981.34985,982.0069,982.17236,981.9404,981.59674,980.5879,979.9267,979.30804,979.0016,978.6523,978.57666,978.8251,978.7578,978.87286,978.51514,978.3047,978.1797,977.7817,977.57697,977.4802,976.96844,976.775,976.6952,976.47876,976.51227,976.6357,976.7825,976.4736,975.9799,975.44653,974.9454,974.3962,974.07935,974.05945,974.1732,974.41974,974.8491,975.3166,975.585,975.4336,975.08276,974.74304,974.5386,974.4418,974.4141,974.411,974.3846,974.51624,974.95374,975.5548,975.984,976.1601,976.2645,976.21094,976.055,975.8398,975.695,975.6197,975.6082,975.6926,975.77655,975.9508,976.07745,976.282,976.5257,976.5589,976.3432,975.9173,975.5772,975.22003,974.95374,974.83466,974.9986,975.3092,975.6137,975.81494,975.91895,976.0647,976.13434,976.2513,976.43164,976.66895,976.9733
2025-11-12 01:04:39+00:00,2025-11-12 00:00:00+00:00,977.7327,977.52454,979.1202,980.7277,980.264,980.32465,979.96313,980.996,981.4369,981.4911,981.4611,982.0162,982.9213,984.00104,985.3736,986.6446,987.2921,987.1527,987.2496,987.5224,987.5619,987.03876,986.5557,986.7061,987.10535,987.27765,987.24384,987.5046,987.9398,987.60754,987.14215,986.6885,986.8328,986.9173,986.69946,986.5967,986.7179,986.5001,986.6654,987.32245,987.7036,987.2708,985.94574,984.58954,983.723,983.22046,982.81335,982.59406,982.84357,982.7748,982.78467,982.74414,982.6531,982.4715,982.36896,982.0675,982.1642,981.68634,981.2941,981.1857,981.07166,981.44653,982.098,982.258,981.8382,981.55304,980.52814,979.8568,979.41583,979.11456,978.8667,978.58484,978.73004,978.7536,978.58936,978.328,977.8956,977.40076,977.08203,976.7001,976.365,975.6429,975.2157,974.8387,974.197,974.2879,974.5709,974.67926,974.0477,973.4794,972.07117,971.393,971.41406,971.2154,971.18384,971.49774,972.1117,972.2049,972.8372,973.46375,974.0108,974.19275,974.64764,975.18774,975.63086,975.7374,976.0893,976.5265,977.05963,977.64825,978.4303,979.1178,979.16956,978.8715,978.4247,977.9213,977.3686,977.02313,976.92584,977.1334,977.33167,977.72424,978.2025,978.4645,978.4588,978.2254,977.8897,977.54224,977.1776,976.81244,976.3273,975.83545,975.4988,975.4196,975.40485,975.3624,975.2565,975.01904,974.7361,974.3023,973.7254,973.6605,974.2971,975.3508,976.5132,977.661,978.934,980.0682,981.1083,982.0261,982.93176,983.6075,984.27,984.9629,985.7826,986.62683,987.50214,988.59564,989.81,990.5788,990.8288,990.6249,990.4792,990.3875,990.1687,990.145,990.35864,990.58185
2025-11-13 01:19:42+00:00,2025-11-13 00:00:00+00:00,986.47394,985.7605,986.2646,986.46063,986.9759,986.98944,986.71893,986.961,986.9677,986.99176,987.2455,987.7285,987.70416,987.69806,987.79443,988.6519,988.7394,988.6373,987.81055,987.17017,986.83295,986.3491,985.8403,985.4749,985.53595,985.5963,985.52057,985.37134,985.3304,985.00494,984.5715,984.258,984.2521,984.1613,983.87134,983.9621,984.2403,984.12,984.2055,984.36523,984.30884,983.8245,983.10077,979.9857,979.36194,979.14703,978.89935,978.5433,978.86035,978.7817,978.6119,978.1797,977.89545,977.4853,977.17694,976.494,976.30646,975.5157,974.8387,974.70294,974.515,974.738,974.5375,974.06036,973.89624,973.3771,972.62476,971.73724,971.3234,971.42584,971.5924,971.73505,972.41284,972.88196,973.566,974.261,974.801,975.227,976.0681,976.4471,977.09186,977.43164,977.62714,978.0645,978.5603,979.6714,980.4917,980.8376,980.82574,980.69836,979.7668,979.0788,978.4247,978.3107,978.1856,977.9236,978.3684,978.775,978.897,978.83124,978.68085,978.3371,978.28894,978.1832,978.2977,977.99,977.30774,976.65497,976.7396,976.7221,976.68634,976.9071,975.9727,976.15125,975.51196,975.47253,975.6717,975.984,976.53784,977.1024,977.8118,978.44543,979.13916,979.7722,980.45447,981.0828,981.693,982.1576,982.60986,983.0683,983.545,984.12445,984.7101,985.49493,986.2924,986.81824,986.8979,986.808,986.70557,986.60254,986.48755,986.59,986.8505,987.3269,987.74115,988.0346,988.2685,988.42413,988.59235,988.68896,988.8696,989.0378,989.097,989.271,989.4454,989.6322,989.8693,990.2777,990.73517,991.0221,990.9505,990.6104,990.2138,989.74524,989.3258,989.0417,989.14185,989.38184
2025-11-14 01:05:06+00:00,2025-11-14 00:00:00+00:00,983.39844,982.00433,982.8228,983.5445,983.10583,982.59357,982.4622,982.62646,982.2106,981.9556,981.5631,982.149,982.13135,982.4715,982.65155,983.2264,982.8495,982.1483,981.98267,981.4129,980.77264,980.38544,979.98267,979.598,979.33606,979.1786,978.99817,978.6521,978.4475,977.6513,976.8495,976.6619,976.57623,976.2467,975.65533,975.5362,975.32587,975.41705,975.19977,974.7977,975.08154,975.1859,974.85815,971.2313,971.2472,971.1292,971.2861,971.79346,972.57874,973.1906,973.7834,974.5623,975.0391,975.4764,976.05457,976.5178,977.0649,977.1636,977.76263,978.36707,978.8865,979.6293,980.2746,980.6208,980.94,981.2161,980.46655,979.8752,979.5224,979.5963,979.5675,979.6078,979.96185,980.45325,980.6777,980.82324,981.11316,981.1442,981.18665,981.02386,980.96356,980.70966,980.2625,980.3164,980.5635,981.2836,981.205,981.54926,981.374,980.3471,979.7604,978.34686,977.78265,977.4726,976.98615,977.36993,977.68494,977.7924,977.34033,978.2463,979.3089,979.6107,980.20233,980.20844,980.94464,981.1197,981.56573,982.5792,983.22455,984.08124,984.87866,985.538,985.72107,985.4981,985.45526,985.4484,985.41705,985.5137,985.7872,986.0899,986.33044,986.4564,986.516,986.58215,986.7383,986.9972,987.17786,987.293,987.4206,987.4514,987.3548,987.15533,987.0833,987.3501,987.8342,988.0402,987.7683,987.2114,986.648,986.1922,985.73505,985.389,985.1024,984.8294,984.6813,984.6037,984.5617,984.43506,984.423,984.3263,983.6562,982.0259,979.8215,978.19653,977.7313,977.9483,978.1595,978.34686,978.5343,978.1832,976.9601,975.29297,973.86774,973.01483,972.4005,971.9791,971.8537,971.8249
