forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:39+00:00,2025-11-05 00:00:00+00:00,15.6805,14.9805,14.080501,13.2805,12.7305,12.6805,11.7805,10.7305,10.1305,9.330501,8.8805,8.3805,8.080501,8.330501,11.9805,15.6305,17.630499,19.5805,21.130499,22.4805,22.8305,22.8305,22.2305,19.530499,17.380499,15.4305,14.4305,13.9805,13.080501,12.3805,11.7805,11.2805,10.830501,10.4305,9.9805,9.580501,9.4805,9.4305,12.3805,17.0805,19.780499,21.7305,23.130499,24.274,24.924002,24.874,24.124,21.174002,19.724,18.974,18.274,17.724,17.224,17.224,16.324001,15.874,15.574,15.374,15.574,15.974,15.974,16.224,18.624,20.374,20.324001,22.074001,24.924002,25.224,25.124,24.174002,23.374,23.224,21.024,20.124,19.524,19.774,19.474,19.174002,18.974,18.524,18.074001,17.274,16.624,16.174002,15.824,15.824,17.824001,19.874,21.574001,22.974,24.324001,24.974,25.224,25.124,24.474,21.674002,20.574001,19.674002,18.824001,18.274,17.674002,17.024,16.324001,15.724,14.824,14.524,13.924,13.424,12.874,12.374,12.874,13.074,12.974,13.424,13.424,13.024,12.374,11.474,10.174,8.674,7.474,6.824,6.424,6.024,5.474,4.924,4.324,3.674,3.024,2.474,1.824,1.224,1.2739999,2.324,3.974,5.624,7.124,8.574,9.724,10.524,11.024,10.924,9.824,8.174,6.774,6.074,5.724,5.374,4.974,4.574,4.224,3.974,3.774,3.574,3.174,2.774,3.074,4.474,6.574,8.624,10.624,12.574,14.124,15.174,15.774,15.674,14.374,12.324
2025-11-06 01:08:08+00:00,2025-11-06 00:00:00+00:00,17.630499,16.2305,15.3805,14.2305,13.4805,12.9305,12.6305,11.9305,11.1805,10.3805,9.2305,8.7305,9.2305,10.330501,11.7305,13.330501,17.880499,20.530499,22.0805,22.880499,23.280499,23.280499,22.9305,20.630499,18.380499,16.9305,15.9305,15.330501,14.6805,14.3805,14.2805,14.5305,15.9805,16.3305,16.8305,16.780499,16.7305,16.780499,18.380499,20.4805,22.130499,23.630499,24.7305,25.224,24.924002,26.174002,26.424002,23.324001,21.774,21.074001,20.524,19.974,19.424002,19.124,18.874,18.374,18.024,17.924002,17.524,17.474,17.624,17.774,19.174002,21.424002,23.424002,25.074001,26.324001,27.074001,27.474,27.374,26.674002,24.474,23.224,22.424002,23.074001,22.874,22.124,20.874,20.424002,19.174002,17.074001,15.174,13.824,12.924,12.124,11.774,12.424,12.774,13.274,13.824,14.224,14.174,13.474,12.774,12.024,10.474,9.374,8.374,7.474,6.724,6.074,5.474,4.824,4.174,3.574,3.024,2.624,2.224,1.824,1.824,3.324,4.524,5.724,6.924,7.874,8.624,9.074,8.974,7.924,6.274,4.874,4.124,3.624,3.174,2.774,2.474,2.174,1.874,1.624,1.424,1.0239999,0.67399997,1.074,2.724,5.124,7.474,9.724,11.974,13.724,14.924,15.624,15.574,14.224,12.074,10.374,9.574,9.174,8.874,8.624,8.524,8.324,7.924,7.424,7.124,6.924,6.924,7.574,9.224,11.524,13.874,16.274,18.774,20.674002,21.824001,22.424002,22.274,20.974,18.974
2025-11-07 01:05:43+00:00,2025-11-07 00:00:00+00:00,20.130499,18.8305,18.3305,17.6805,17.1805,16.530499,16.380499,16.530499,16.780499,17.030499,17.1805,16.9805,16.280499,16.5805,18.530499,20.3305,21.380499,23.130499,24.030499,24.880499,25.030499,24.630499,24.030499,22.130499,20.3305,19.130499,18.4305,19.4805,18.380499,18.4805,18.7305,18.4305,18.0805,17.6805,17.1805,16.8305,16.0805,15.6805,18.130499,20.380499,22.2305,24.1805,24.880499,27.274,27.574001,27.524,26.824001,24.674002,24.024,23.374,23.074001,21.574001,20.374,19.524,19.074001,18.124,17.824001,16.374,15.124,14.224,13.574,13.074,13.024,13.174,13.524,13.824,14.224,14.224,14.224,13.324,12.124,10.724,10.574,10.174,8.524,7.924,6.824,6.424,5.274,4.474,3.774,3.174,2.524,1.974,1.5239999,1.424,2.974,4.524,5.974,7.174,8.174,8.874,9.324,9.374,8.724,6.574,5.274,4.574,3.974,3.474,3.024,2.624,2.324,2.074,1.874,1.674,1.424,1.224,1.0239999,1.324,4.274,7.274,9.824,11.874,13.474,14.674,15.374,15.324,14.024,11.924,10.174,9.274,8.724,8.374,8.224,8.274,8.224,7.924,7.474,7.124,6.674,6.324,6.774,8.524,11.074,13.624,16.024,18.424002,20.224,21.324001,21.824001,21.624,20.274,18.274,16.624,15.874,15.574,15.224,14.674,14.124,13.674,13.374,13.224,13.074,12.724,12.374,12.624,13.924,15.874,17.774,19.524,21.224,22.524,23.274,23.574001,23.324001,22.174002,20.524
2025-11-08 00:59:36+00:00,2025-11-08 00:00:00+00:00,21.380499,20.3305,20.2305,20.280499,20.4805,20.380499,20.2305,19.530499,19.380499,18.4805,17.780499,17.4305,17.780499,17.380499,19.2305,21.4805,23.280499,24.5805,24.530499,25.030499,25.1805,25.030499,24.530499,22.380499,20.5805,19.5805,18.780499,17.8305,17.3305,17.1805,15.5305,13.9305,12.8805,11.7805,10.580501,10.080501,9.330501,9.1805,11.2805,12.1305,12.3805,13.3805,13.330501,13.174,13.124,12.424,11.574,10.174,9.874,9.024,7.974,7.274,6.374,5.724,5.074,4.424,3.724,3.024,2.374,1.824,1.324,1.374,2.924,4.274,5.474,6.674,7.574,8.324,8.774,8.724,8.074,5.874,4.624,4.024,3.474,2.974,2.574,2.274,1.974,1.724,1.474,1.174,0.92399997,0.824,0.724,1.074,3.874,6.724,9.174,11.024,12.724,13.974,14.824,14.974,14.274,11.524,9.924,9.324,8.774,9.074,9.774,9.374,8.924,8.574,8.374,8.324,8.224,8.124,8.174,8.724,11.674,14.974,17.924002,20.274,21.824001,22.624,22.774,22.474,21.574001,20.274,19.274,18.924002,18.874,18.774,18.574001,18.324001,18.074001,17.924002,17.774,17.524,16.974,16.324001,16.124,16.674002,17.674002,18.824001,20.124,21.574001,22.674002,23.424002,23.824001,23.574001,22.274,20.324001,18.674002,17.624,16.874,16.224,15.674,15.274,14.924,14.674,14.524,14.424,14.224,14.074,14.574,16.074001,18.174002,20.224,22.074001,23.874,25.174002,25.774,25.824001,25.474,24.574001,23.274
2025-11-09 01:05:15+00:00,2025-11-09 00:00:00+00:00,21.9305,20.7305,19.5805,18.5805,17.880499,17.3305,17.030499,16.780499,16.8305,14.580501,13.1805,12.2305,11.330501,10.7305,11.1305,11.2305,11.4805,11.2305,10.830501,8.7305,11.1305,10.830501,10.1305,9.0305,8.8805,7.8305,6.1805,5.0805,4.1805,3.3805,2.5805,1.7804999,1.2305,0.6805,0.2305,-0.2695,-0.61950004,-0.5695,0.63049996,1.7305,2.9805,4.0305004,4.8305,6.824,7.124,7.124,6.624,4.674,3.374,2.824,2.324,2.024,1.724,1.5239999,1.2739999,1.0239999,0.774,0.524,0.374,0.174,0.074,0.474,3.274,6.174,8.624,10.674,12.474,13.724,14.474,14.624,13.874,11.424,9.574,9.074,8.974,9.324,9.524,9.324,8.774,8.424,8.074,7.974,8.024,8.274,8.524,8.824,11.524,14.824,17.824001,20.224,21.824001,22.924002,23.224,23.024,22.274,20.474,19.924002,19.574001,19.374,18.674002,18.224,17.874,17.524,17.174002,17.124,17.074001,17.174002,17.224,17.274,17.374,17.974,19.024,20.574001,21.574001,21.224,22.324001,23.524,23.824001,22.624,20.574001,18.874,18.074001,17.674002,17.324001,16.874,16.474,16.074001,15.724,15.474,15.224,14.824,14.474,14.724,15.974,17.774,19.624,21.474,23.324001,24.474,24.524,23.924002,23.224,22.674002,22.074001,21.474,20.974,20.524,19.974,19.174002,18.274,17.374,16.574001,15.774,15.124,14.424,13.874,13.974,15.224,17.174002,19.074001,20.824001,22.524,23.824001,24.624,24.974,24.724,23.474,21.624
2025-11-10 01:09:23+00:00,2025-11-10 00:00:00+00:00,9.830501,8.6805,7.6305003,6.9805,6.1805,5.5305004,4.5805,3.6805,2.7805,1.9805,1.0805,0.38050002,-0.119500004,-0.16950001,1.1305,2.3305,3.4805,4.5305004,4.7305,5.3305,5.6805,5.7305,5.3305,4.1805,2.6805,1.7305,0.9805,0.3305,-0.119500004,-0.7195,-1.1695,-1.3695,-2.1695,-3.4695,-3.7195,-3.8695,-4.0695,-3.9195,1.2804999,5.7805004,8.2805,9.6805,10.9305,13.724,14.524,14.724,14.074,11.824,9.674,8.624,8.624,8.674,8.674,8.424,7.974,7.624,7.324,7.324,7.574,7.674,7.824,8.374,11.374,14.724,17.474,19.524,21.124,22.174002,22.724,22.874,21.624,20.674002,19.974,20.024,18.974,18.924002,18.574001,18.024,17.874,17.674002,17.524,17.424002,17.274,17.174002,17.124,17.224,17.724,18.524,19.374,20.124,20.774,21.874,22.224,22.424002,21.874,20.724,20.074001,19.174002,18.174002,17.124,16.524,15.974,15.674,15.374,15.074,14.824,14.574,14.424,14.424,15.574,17.774,19.424002,21.124,23.574001,24.774,25.474,25.624,25.124,23.624,21.424002,19.624,18.524,17.774,17.224,17.024,17.124,16.974,16.424002,15.674,14.974,14.224,13.574,13.724,15.224,17.574001,19.524,20.824001,21.824001,22.324001,22.074001,21.374,20.824001,20.674002,20.674002,20.624,20.524,20.424002,20.274,19.974,19.574001,19.374,19.674002,20.174002,20.074001,18.874,17.074001,15.524,14.424,13.574,13.424,14.424,16.074001,17.374,17.974,18.174002,17.874,16.674002,14.924
2025-11-11 01:03:18+00:00,2025-11-11 00:00:00+00:00,3.7305,2.6805,1.7305,0.9805,0.4805,0.0305,-0.36949998,-0.8195,-1.2195001,-1.4695001,-1.3695,-1.5195,-3.3195,-3.5695,2.0805,5.6805,8.2805,10.580501,11.8805,13.0305,13.8805,14.1805,13.830501,11.580501,9.9305,8.830501,8.4805,8.5305,8.1805,7.8805003,7.6305003,7.1305003,6.7805004,7.1805,7.4305,7.5805,7.5305004,7.6805,10.8805,14.1305,16.9305,19.2305,20.4305,20.974,21.824001,22.024,21.424002,18.274,17.124,16.424002,15.774,15.424,15.124,14.724,14.274,13.724,13.574,13.374,13.224,13.124,13.024,13.224,15.624,18.174002,20.124,21.624,22.674002,23.724,24.024,23.974,23.474,20.574001,19.474,20.324001,20.874,20.724,20.424002,20.174002,20.074001,20.074001,19.824001,19.374,18.824001,18.474,18.224,18.124,18.474,19.224,20.024,21.124,22.574001,24.124,24.974,24.874,24.124,20.974,19.524,18.674002,17.974,17.574001,17.124,16.624,16.274,15.974,15.624,15.124,14.624,14.174,13.774,13.874,16.224,18.724,20.824001,22.474,23.574001,24.374,24.724,24.424002,23.074001,21.074001,19.424002,18.574001,18.074001,17.624,17.074001,16.524,16.024,15.474,14.924,14.474,13.974,13.624,13.974,15.474,17.674002,19.824001,21.724,23.574001,24.974,25.774,26.074001,25.924002,25.124,23.824001,22.674002,21.924002,21.374,20.824001,20.274,19.724,19.174002,18.624,18.074001,17.624,17.224,16.874,16.824001,17.074001,17.624,18.624,20.424002,22.624,24.474,25.824001,26.774,26.924002,25.674002,23.674002
2025-11-12 01:05:01+00:00,2025-11-12 00:00:00+00:00,11.4305,10.6305,10.4305,10.080501,9.3805,8.7805,8.330501,8.2305,7.9805,7.7305,7.1805,6.6805,6.5305004,6.4305,10.1805,13.580501,16.2305,18.530499,20.280499,21.1805,21.530499,21.4805,21.130499,18.5805,16.8305,15.4805,14.4805,13.6805,13.1305,12.7805,11.9805,11.330501,10.9305,10.7805,10.3805,10.1305,9.580501,9.4805,12.580501,15.5305,18.530499,20.6805,22.280499,23.774,24.174002,24.074001,23.374,20.474,19.274,18.674002,18.124,17.474,17.024,16.574001,16.224,15.924,15.324,14.824,14.524,14.224,14.024,14.174,16.474,19.024,21.124,22.724,23.824001,24.474,24.724,24.524,23.674002,20.674002,19.474,18.774,18.224,17.674002,17.074001,16.524,16.124,15.724,15.274,14.924,14.524,14.074,13.824,13.924,16.224,18.924002,21.124,22.874,24.074001,24.824001,25.124,24.874,23.924002,20.874,19.274,18.524,18.074001,17.624,17.124,16.674002,16.574001,16.874,16.724,16.024,15.424,15.024,14.974,15.024,17.274,19.924002,22.124,23.824001,25.024,25.874,26.224,25.924002,24.474,22.374,20.624,19.724,19.224,18.824001,18.474,18.274,17.974,17.524,17.074001,16.674002,16.224,15.924,16.174002,17.374,19.224,21.074001,22.924002,24.824001,26.274,27.074001,27.374,27.274,26.474,25.224,24.274,24.074001,24.174002,24.074001,23.474,22.674002,21.924002,21.374,20.874,20.524,20.424002,20.474,20.324001,19.674002,18.824001,18.324001,18.574001,19.174002,19.624,19.774,19.774,19.424002,18.524,17.224
2025-11-13 01:21:19+00:00,2025-11-13 00:00:00+00:00,18.030499,16.5805,15.6305,14.8805,14.3805,13.7305,13.2805,13.4805,14.0305,12.7305,13.4305,13.7305,12.580501,13.4805,15.5305,18.2305,19.5805,22.880499,23.6805,24.380499,24.4805,24.380499,23.7305,21.1805,19.3305,18.3305,17.4805,15.7805,15.0305,14.4805,13.9305,13.2805,12.9305,12.7305,12.5305,12.1805,11.9305,11.8805,14.9305,17.9805,20.9305,22.4305,23.630499,24.724,25.024,24.924002,23.974,20.974,19.924002,19.224,18.624,17.974,17.324001,16.874,16.324001,15.824,15.324,14.924,14.574,14.224,13.974,13.974,16.324001,18.974,21.174002,22.774,24.024,24.724,24.974,24.774,23.824001,21.174002,19.374,18.674002,18.174002,17.674002,17.324001,17.524,17.574001,17.524,16.974,16.424002,15.824,15.424,15.274,15.074,17.174002,19.774,22.074001,23.874,25.174002,25.924002,26.324001,26.274,25.524,22.524,21.224,20.524,20.074001,19.574001,19.024,18.574001,18.074001,17.824001,17.624,17.274,16.774,16.674002,16.574001,16.524,18.574001,21.174002,23.674002,25.474,26.774,27.724,28.174002,27.974,26.724,24.874,23.424002,22.924002,22.824001,22.724,22.524,22.324001,21.974,21.424002,20.774,20.124,19.274,18.424002,18.324001,19.474,21.324001,23.174002,24.924002,26.574001,27.524,27.174002,26.074001,25.074001,24.574001,24.124,23.424002,22.124,20.574001,19.274,18.524,18.074001,17.674002,17.324001,17.074001,16.924002,16.774,16.724,17.024,17.974,19.224,20.324001,21.024,21.574001,21.874,22.024,21.974,21.674002,20.924002,19.924002
2025-11-14 01:05:28+00:00,2025-11-14 00:00:00+00:00,20.1805,19.0805,17.6805,16.8305,16.380499,15.830501,15.2305,14.8805,14.4805,14.1805,13.7805,13.5305,13.1305,13.0305,15.830501,18.7305,20.880499,22.780499,23.630499,24.380499,24.780499,24.7305,24.1805,21.630499,19.6805,18.2305,17.2305,16.3305,15.9305,15.6305,15.4805,15.0305,14.7305,14.7305,14.2305,13.6305,13.330501,13.2305,16.1805,19.030499,21.2305,22.9805,24.2305,25.074001,25.424002,25.324001,24.474,21.824001,19.874,19.124,18.874,18.674002,18.274,18.374,18.024,17.674002,17.124,16.624,16.224,15.674,15.224,15.074,17.474,20.074001,22.374,24.174002,25.074001,25.674002,26.074001,26.074001,25.424002,22.824001,21.774,21.474,21.024,20.324001,20.274,20.174002,19.824001,19.674002,19.474,19.174002,18.974,18.774,18.524,18.624,19.024,19.724,20.724,22.224,24.074001,26.824001,27.474,27.524,26.924002,24.324001,22.724,21.924002,22.024,21.724,21.624,21.474,20.774,19.924002,19.374,19.124,18.874,18.874,18.224,17.824001,19.824001,22.424002,24.124,26.474,27.724,28.374,28.474,27.774,25.874,23.174002,21.024,19.924002,19.374,18.974,18.624,18.474,18.424002,18.524,18.724,18.924002,19.074001,19.174002,19.424002,19.874,20.474,20.874,20.824001,20.574001,20.674002,21.724,23.074001,23.774,23.024,21.574001,20.474,20.274,20.424002,20.574001,20.674002,20.724,20.724,20.424002,20.074001,19.924002,20.224,20.774,21.274,21.524,21.724,21.974,22.574001,23.224,22.974,20.974,18.124,16.124,15.874,16.424002
