forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:48+00:00,2025-11-05 00:00:00+00:00,8.510401,9.074933,8.6431875,7.856417,8.012909,7.6342406,7.1519647,6.6186113,6.6402316,6.541202,6.3235626,6.4588695,6.48955,6.376568,7.6872196,8.97719,10.48979,12.310586,9.079385,8.978753,9.696689,10.878554,11.75015,11.304416,10.952467,10.854484,10.836139,11.138774,10.987916,10.743781,10.469981,9.976848,9.434384,9.106951,8.711893,8.677703,8.492888,9.222592,10.8352375,13.649011,14.497717,15.00145,14.446542,12.91499,12.74935,12.473779,13.080051,12.8462515,12.765616,12.947343,12.967859,12.878088,12.515424,11.895048,11.121843,10.708001,10.984881,12.08963,13.355377,14.544999,15.186971,15.796732,16.779186,17.829815,18.758337,18.943829,19.271301,19.015778,18.497868,18.529953,18.66046,18.739325,18.845804,18.71324,18.992838,19.008572,18.12257,16.466131,15.342693,14.754239,14.375282,14.212733,14.075098,13.888791,13.791252,14.010956,14.318496,14.245328,14.287844,14.392585,14.240874,14.179371,13.650004,12.932198,12.9272,12.470467,12.048907,11.505374,10.894193,10.235891,8.460506,6.4870677,5.8869977,5.6129446,5.0097656,4.1727405,3.5736458,3.4835227,3.4154613,3.0232377,2.045358,2.2828705,2.0913596,1.9201825,1.5997349,-0.32335088,-3.336651,-5.6529207,-6.615035,-6.897918,-7.061283,-7.2733655,-7.6742206,-7.7661853,-7.6683345,-7.6527634,-7.6261187,-7.4934826,-7.296324,-7.1235833,-6.906433,-6.7350864,-6.7350864,-6.788062,-6.9907703,-7.069946,-7.139764,-6.9860716,-6.7462745,-6.7874627,-6.2232857,-6.1798964,-5.7172008,-5.58176,-5.691002,-5.618743,-5.618343,-5.6262946,-5.642257,-5.6202393,-5.6053786,-5.5974035,-5.5500407,-5.5088406,-5.6585073,-5.768417,-5.536726,-5.13595,-4.854077,-4.733623,-4.475622,-4.385467,-4.445453,-4.4842534,-4.996425,-4.474466,-3.5297403,-2.3180692
2025-11-06 01:08:23+00:00,2025-11-06 00:00:00+00:00,11.75757,11.805193,11.461076,11.675432,11.285471,11.012413,10.251318,9.709593,9.335753,9.023832,9.919226,11.0805,11.7305,12.2805,12.880501,13.949568,14.378694,14.525262,15.172761,14.8694105,14.100625,13.594778,12.619346,12.433184,12.692417,12.429598,12.8012705,12.233969,11.841675,11.858193,12.294462,12.217761,12.836837,13.1165905,12.957936,13.550314,13.925759,13.950122,14.952372,15.718509,16.233593,15.899515,16.789782,18.76009,17.520555,15.9367895,16.467812,16.137938,15.6073475,15.178046,14.376208,14.162905,14.00226,13.619187,13.111278,12.769345,12.816808,12.812601,12.899708,13.031022,13.283977,13.736728,14.221232,14.688645,15.333948,15.356783,14.981751,14.570464,14.555804,14.8438225,15.612028,15.471648,15.5222,15.59324,15.695956,15.23218,14.136495,12.650504,10.419424,7.3045106,2.72435,0.8499457,0.95235497,0.81145734,0.82134783,1.2632195,2.0062032,1.5729823,1.6455158,1.8932536,1.9501452,1.6313651,0.7258027,-0.5190656,-0.6850208,-2.0870223,-4.9527717,-6.5731225,-7.7029886,-8.278311,-8.437674,-9.015164,-9.233874,-9.42032,-8.918987,-8.444705,-8.224875,-8.031322,-7.908213,-7.437105,-7.5291924,-7.96933,-8.92631,-9.460812,-9.437392,-9.610993,-10.030112,-9.987369,-9.363931,-8.967796,-8.92631,-8.794273,-9.15199,-9.124893,-9.107532,-9.009224,-8.964538,-8.928112,-8.899594,-8.833052,-8.629144,-8.720562,-8.444843,-8.012172,-7.6233745,-7.1056657,-6.3756194,-6.163236,-5.630804,-5.6612754,-5.544701,-4.982973,-4.4884276,-3.9626164,-3.7137723,-4.0249805,-4.222813,-4.134178,-3.6144166,-2.8364847,-1.9096612,-0.35145134,0.9605503,2.221639,3.026898,3.5250928,4.3928285,5.3566275,6.671649,7.817478,9.07529,10.338051,11.265993,11.484538,11.744162,11.652009,11.7311,11.860737
2025-11-07 01:05:56+00:00,2025-11-07 00:00:00+00:00,11.620452,11.953096,12.904126,13.87687,14.190607,14.2913685,14.19263,14.414571,14.997517,15.175807,13.992784,13.743244,13.934313,14.0481825,14.615216,14.62749,16.700005,17.471018,17.471823,17.449938,17.22216,16.961044,16.930378,17.037651,16.810883,17.182138,15.6841345,15.028837,15.583962,15.543047,15.693467,15.548689,15.691565,15.243339,14.610604,14.017382,13.275837,13.411434,15.574922,16.367702,16.042816,15.45845,14.145115,15.762154,15.812927,15.67558,16.054026,15.92197,15.4933,15.568708,15.464252,15.180441,15.006857,13.714958,12.6332,10.282917,6.763982,4.554666,2.130085,2.258495,2.5053387,2.7888353,3.2293859,2.653836,2.9773054,3.057222,3.0643296,2.2233543,1.9501452,1.0392357,0.7058677,-0.86371803,-0.92031837,-0.3977098,-2.1011517,-4.8029523,-6.319957,-7.9415026,-8.481321,-8.432789,-9.062543,-9.692481,-9.95693,-10.095982,-9.946167,-9.745459,-9.872497,-9.815053,-8.986644,-8.3088665,-8.146789,-7.7832828,-7.390871,-7.3472767,-7.402623,-6.5248675,-6.612927,-6.626,-6.488157,-6.8079906,-6.7961454,-6.7911286,-6.8387165,-6.8467064,-6.8145466,-6.581229,-6.5185537,-6.4607997,-6.45456,-6.220805,-6.2006946,-6.1664953,-5.884477,-5.789438,-6.273637,-6.3464284,-5.755636,-5.237297,-4.263222,-3.771289,-3.9360592,-4.291771,-4.5773926,-4.961581,-4.7990375,-4.3727107,-3.315708,-1.5037771,0.57850593,2.1265106,2.9873056,3.8479996,4.505308,5.4485035,6.5613117,7.588085,8.745119,9.869723,10.617949,10.730339,10.543144,10.708857,11.126449,11.341552,11.360526,11.246727,11.18528,10.956667,10.97187,10.829692,10.92442,10.96012,11.117286,11.177968,11.301869,11.341274,11.58848,11.914582,12.237326,12.494276,12.721885,13.056427,13.122827,13.216334,13.207759,13.262716,13.380769,13.191106
2025-11-08 00:59:47+00:00,2025-11-08 00:00:00+00:00,16.410854,16.474098,16.223288,15.996202,15.76606,15.470677,14.751694,14.414571,14.26456,14.44712,14.830502,14.424879,14.025363,13.6805,14.883786,16.76604,17.085676,16.997654,16.328274,15.687487,15.737116,14.583742,15.174166,14.35163,14.096656,14.546003,13.454188,13.597905,13.550314,6.8161287,2.2319694,1.1418971,0.54402065,1.0897888,1.0806429,1.0482751,0.46398908,0.91970736,2.096679,2.770289,2.9097774,2.8411746,1.1685553,1.3125421,0.81796354,0.22723188,-0.05428381,-0.71056163,-1.3962042,-3.354066,-6.706244,-6.828066,-7.051298,-8.119711,-8.272805,-8.287435,-8.87387,-9.190782,-9.127071,-9.334835,-9.459574,-9.505315,-10.583489,-10.448427,-10.023332,-9.3731785,-9.306965,-9.060883,-9.222967,-9.309188,-9.363931,-8.543904,-8.138297,-8.297865,-8.377645,-8.421644,-8.647834,-8.610534,-8.581162,-8.224875,-7.9853773,-7.7235765,-7.6934376,-7.5762043,-7.464005,-7.231672,-7.0092397,-6.827947,-6.192856,-5.778601,-5.735191,-5.6343136,-4.995277,-4.824913,-3.7885778,-3.7872543,-3.6248648,-3.4359283,-3.980519,-4.2671313,-3.6693172,-0.82914364,1.3215144,3.1577716,4.620865,5.4539,5.818683,6.1318865,6.6111317,7.2487073,8.347602,9.499568,10.684865,11.33925,12.056589,12.328428,12.707622,12.880607,12.799352,13.002005,12.816808,12.717503,12.756798,12.840133,12.967859,13.092422,13.2843275,13.429088,13.204028,13.0145035,12.382668,11.654941,10.869139,9.832765,8.529287,7.648438,7.45338,7.6035066,8.029989,8.428289,8.875899,9.107593,9.118785,9.120943,8.901402,8.296257,7.9153805,7.620642,8.166253,8.741355,9.572543,10.125903,10.732762,11.398933,12.160112,13.090613,13.751953,14.282678,14.569597,14.796776,14.995447,15.205233,15.104447,14.57654,14.160371,13.646861,13.663465,14.179371
2025-11-09 01:05:25+00:00,2025-11-09 00:00:00+00:00,15.79397,17.106916,16.130833,13.5668955,12.9401045,13.21522,13.816749,12.281367,2.189954,2.1274712,1.7166355,1.961031,1.7702032,1.2810198,2.5155299,2.0836241,1.7421228,1.2571064,-0.024556441,0.44393194,0.15579747,-0.7503235,-1.2988313,-2.7145083,-3.1776605,-6.2950544,-7.019006,-7.9207635,-7.304725,-8.575251,-8.721885,-9.035784,-8.997194,-9.633844,-9.82658,-9.677448,-9.889409,-9.400244,-9.541904,-9.374526,-9.499723,-9.941471,-9.910976,-11.464889,-11.612494,-11.569704,-11.464889,-10.375319,-9.9472685,-10.001822,-10.067079,-10.246591,-10.142549,-10.277588,-9.869649,-9.744935,-9.673104,-9.608577,-9.551057,-9.45441,-9.318044,-9.088228,-8.828753,-8.543904,-8.437727,-8.073158,-7.613247,-7.021942,-6.926378,-5.5340686,-4.6173563,-5.3123407,-5.102897,-5.190642,-5.2345147,-5.1357737,-4.400094,-1.011497,1.437632,3.015631,4.212403,4.9735203,5.6346416,6.180669,6.534842,6.856074,7.7274613,9.046327,10.495658,11.55543,12.195782,12.54673,12.527339,12.13384,12.223493,11.957819,11.929928,12.320841,12.623778,12.627458,12.887857,13.092422,13.2843275,13.319561,13.591611,13.7416315,13.986469,14.372624,14.464937,14.562568,14.861948,14.864083,15.014023,15.215688,15.151331,15.094433,14.910363,14.815463,14.83306,14.661936,14.533598,14.443154,14.517942,14.61633,14.554938,14.4830675,14.499474,14.331916,14.210953,14.087471,13.981647,13.916703,14.115223,14.457463,14.904255,15.215688,15.32115,14.935698,14.422042,13.95497,13.339623,13.018856,12.73121,12.698702,12.65687,12.564855,12.427049,12.153716,11.962452,11.725103,11.623737,11.772558,12.003777,12.186542,12.365723,12.657841,12.853194,12.914083,13.010233,13.015665,13.040473,12.940084,12.514717,12.039523,11.400696,11.355719,11.631269,11.950011
2025-11-10 01:09:37+00:00,2025-11-10 00:00:00+00:00,-0.6174249,-0.51599485,-2.2888827,-4.122958,-4.6735444,-6.756446,-8.189595,-7.3362837,-8.117238,-8.410028,-8.844252,-9.147064,-8.980896,-8.834966,-9.728085,-10.824274,-10.130221,-9.853722,-8.292019,-8.782339,-9.113729,-9.450335,-9.759319,-10.120432,-10.801434,-10.673393,-10.828571,-11.0328045,-11.154414,-9.828737,-8.810477,-8.574294,-7.795745,-7.433883,-7.3173947,-7.105335,-6.9437933,-6.441644,-6.175706,-6.256515,-5.2165866,-4.6346087,-3.7969046,-7.808728,-7.094401,-5.7036786,-5.202738,-5.268975,-5.2594843,-5.521766,-5.4100223,-4.8433704,-3.6706069,-1.5586361,0.576685,2.7637215,4.140451,4.9246807,5.4889355,6.163304,6.5381546,7.0243745,7.9585843,9.390799,10.8509655,11.719147,12.564855,12.614632,12.606138,12.131133,11.963794,11.771381,12.163471,12.179547,11.928448,11.991149,12.199787,12.232762,12.267431,12.107267,12.182439,12.419304,12.74097,12.849554,13.204028,13.252477,13.640055,13.753476,13.837506,14.193788,14.319339,14.571607,14.711354,14.904598,15.103457,14.9399,14.699284,14.717636,14.517942,14.275139,14.202061,14.155308,13.987264,13.614455,13.348994,13.436799,13.422094,13.248172,13.269408,13.297544,13.549098,13.794506,13.502765,13.008439,12.703637,12.060499,11.306109,11.037019,10.884231,10.984714,11.165394,11.661434,12.152319,12.506063,12.267431,11.671295,11.385929,11.43783,11.7283125,11.849074,12.06149,12.090136,12.31316,12.697127,12.885621,12.812601,12.586473,12.196144,12.143278,12.195782,12.538413,12.744689,12.603411,12.650504,12.650504,13.290615,13.804709,14.556973,15.006857,15.633765,15.93253,16.370836,16.663221,15.930082,13.271348,9.516467,6.429627,5.1944733,4.714321,4.446033,3.4250815,2.2291274,0.64134103,-0.5169501,-1.202149,-1.8263663,-2.1931078,-2.1152508
2025-11-11 01:03:28+00:00,2025-11-11 00:00:00+00:00,-9.747137,-10.131622,-10.854012,-11.086229,-10.805148,-10.277509,-10.164983,-10.02862,-9.819644,-9.348352,-9.065546,-7.576,-7.9894776,-9.005899,-7.6411595,-6.5291915,-4.9804335,-4.235481,-3.2964633,-3.5015948,-3.167926,-2.9488256,-1.3799897,-0.68645996,-0.75613606,-1.4059108,-2.0303528,-1.8758892,-2.4419222,-2.462855,-2.3221474,1.5370424,3.8305488,4.7292776,5.3258915,5.402981,5.661214,5.918157,7.6462255,9.6232395,11.080307,11.967949,12.383342,11.638085,11.623107,11.352481,11.77294,11.630781,11.5180855,11.607641,11.714907,11.642049,11.701977,11.702185,11.447693,11.4258175,11.669048,11.844274,12.082884,12.150045,12.001533,12.199551,12.60984,13.255397,13.614196,13.984032,14.035806,14.009217,13.948061,13.700877,13.819243,13.616558,13.566566,13.317342,13.002792,12.603411,12.398478,12.304476,12.163471,11.861274,11.908185,11.834435,12.295842,12.613884,12.824434,12.7766285,12.935578,12.7222,12.633473,12.659706,12.282856,11.8921385,11.58061,11.355719,11.721999,11.634053,11.57283,11.552384,11.583489,11.582688,11.565734,11.40826,11.511836,11.506098,11.487182,11.455716,11.363733,11.2113285,10.919221,10.870534,11.150753,11.435952,11.591576,11.62828,11.607283,11.246219,11.170379,10.89966,11.105502,10.976408,10.965488,10.988226,10.813474,10.921365,10.732202,10.538189,10.56503,10.745339,11.1013565,11.460804,11.817005,11.991787,12.31316,12.561015,12.611541,12.529216,12.470467,12.455517,12.464764,12.298034,12.390046,12.613685,12.838538,12.976381,13.100004,13.1745205,13.1468,13.24039,13.127626,13.074321,12.954727,12.9077,12.948748,13.01472,13.235913,13.535894,14.032758,14.709006,15.710432,16.429438,17.237103,17.561125,17.85148,17.963295,18.109749,18.203812,18.508667,18.904125
2025-11-12 01:05:12+00:00,2025-11-12 00:00:00+00:00,-0.6759493,-0.70461947,-0.5926839,-0.7759618,-0.47987047,0.6972777,1.2044867,1.789713,2.7341201,3.4832096,3.795172,3.8792,3.942811,4.1927876,6.029491,8.783626,10.889352,12.2059555,12.703718,12.825303,12.853144,12.137135,11.96413,12.065119,13.310849,12.507904,11.743597,10.958967,10.572061,9.8309765,9.758841,9.434384,9.106951,8.988,8.5424,7.9854302,8.256069,7.7107363,10.16802,12.146537,12.713904,13.062533,12.691251,13.516239,13.236583,13.28252,13.577931,13.168496,13.240524,13.174184,13.165928,13.062855,12.933838,12.801257,12.767978,12.771496,12.666516,12.463371,12.072776,12.145633,12.209218,12.258326,12.520063,12.86015,12.819221,12.639076,12.429338,12.373811,11.924803,11.789102,12.063369,12.097637,11.928448,11.914516,11.867514,11.718857,11.565734,11.312789,11.272316,11.150753,10.649519,10.785052,11.165412,11.600797,12.047695,12.258326,12.57417,12.899708,13.033837,13.068934,12.657922,12.35701,12.286639,12.150957,12.42818,12.288569,12.462128,12.437968,12.199787,12.1851225,12.155083,11.676924,11.48565,11.655544,12.034811,12.520063,12.625687,12.805126,13.110215,13.240394,13.693108,14.033072,14.278053,14.236575,13.88943,13.692315,13.371832,13.445238,13.833731,13.775065,13.795336,13.718463,13.4307,13.28078,12.947343,12.756798,12.744688,13.0699835,13.573963,14.083657,14.220865,14.335982,14.664271,15.092668,15.480798,16.070827,16.756783,17.47342,18.048462,18.244064,18.19733,18.363127,18.687113,18.659193,18.808104,18.836693,18.616049,18.644314,18.564695,18.612257,18.600744,18.94339,19.277702,19.030247,18.073345,16.661348,14.829432,12.458337,9.776847,7.6825767,6.856282,6.708672,6.996518,7.4076962,7.7274604,8.203017,8.530695,8.301354
2025-11-13 01:21:29+00:00,2025-11-13 00:00:00+00:00,12.256921,13.550314,12.672855,12.24993,11.432176,10.845369,10.916307,12.404004,11.088494,10.448305,10.546797,11.575888,11.446585,12.186079,13.127525,13.647807,15.013932,15.238333,14.196236,13.253936,12.981233,12.753278,13.1047325,11.969674,13.260906,13.355671,13.257835,13.374998,12.883292,12.5409975,11.872138,11.743231,11.413906,11.21588,10.803838,10.754396,10.671305,11.044524,12.9104395,13.990541,15.186674,15.52744,15.951842,12.22095,12.150957,12.060499,11.964486,11.963631,11.955091,12.00232,11.916826,11.772572,11.576174,11.455997,11.368126,11.570468,11.294272,11.255605,11.314307,11.459141,11.779823,11.963698,12.423311,13.078744,13.244393,13.169951,12.8813715,12.22095,12.196185,12.060499,12.336981,12.096987,11.955091,11.955128,11.81994,11.441612,11.347026,11.205143,11.206087,11.385929,11.772558,12.196349,12.326558,12.625687,12.805126,12.978038,13.596065,14.1151085,14.392585,14.706626,14.716176,14.844014,14.622962,14.668646,15.059774,14.815463,14.703636,14.666668,14.328588,14.176208,13.794506,13.810728,13.475529,13.640465,13.8499,14.027615,14.229277,14.416124,14.991129,15.543412,16.062338,16.500977,16.801811,16.74833,16.971148,16.992224,16.819963,16.77419,16.791906,17.028826,16.860619,16.54634,16.557663,16.273663,16.185299,16.280754,16.36113,16.551136,17.030571,17.24797,17.413422,17.520617,17.716957,18.360876,19.131365,19.635351,19.773052,19.686714,19.564878,19.517212,19.274845,19.063707,18.95835,18.931864,18.563534,17.734985,16.710154,15.78284,15.190436,14.642676,14.286954,14.124197,14.233443,14.260257,14.235579,14.258133,14.28495,14.548637,14.897134,15.299931,15.536742,16.021843,16.158861,16.147413,15.82625,15.843308,16.321802,16.628004
2025-11-14 01:05:39+00:00,2025-11-14 00:00:00+00:00,13.991562,14.256287,13.796458,14.121311,13.934181,14.093889,13.64956,13.424147,13.146553,12.915766,12.81663,12.568792,12.106977,12.122678,13.895192,14.90585,15.191914,15.270584,14.805822,15.037596,14.8453245,13.730737,13.03998,13.203509,13.595527,13.261653,12.747235,12.628921,12.486195,12.331598,12.067847,11.872259,11.315027,11.444377,11.743597,11.92563,12.089311,12.37052,13.704972,14.497717,14.910496,15.293005,14.992102,13.343557,13.055877,13.010412,12.977906,12.706097,12.377247,12.37986,12.285479,12.143903,11.955128,11.961804,11.962452,12.171974,12.563484,12.704665,12.81967,12.861514,12.941595,13.2082815,13.591611,14.033072,14.231073,14.190209,14.369319,14.530742,14.577278,14.577278,15.013751,14.653859,14.6134815,14.841757,14.816226,14.486732,14.467337,14.332531,14.382734,13.858964,13.33798,13.525785,13.471306,13.684916,13.810728,14.19728,14.581643,14.987233,15.27345,15.672903,15.684506,16.054026,16.087605,15.950268,16.37687,16.287989,16.310139,16.185299,16.300177,16.170013,16.10872,16.18745,16.56742,16.755987,16.856562,16.852339,17.00433,17.03226,17.07028,17.098793,17.432886,18.252947,18.808104,18.993532,18.887243,18.909216,18.674095,18.592495,18.488564,17.776125,17.26616,16.842703,16.725214,16.478733,16.383745,16.1101,16.14996,16.430813,16.693419,17.104435,17.453573,17.90247,18.351362,18.900003,19.448643,19.333588,18.22189,16.614168,15.653692,15.961609,16.901344,17.51393,17.444326,17.270924,17.06137,17.077597,17.241385,17.425863,17.619474,17.67761,17.73278,17.832582,18.171791,18.33736,18.485836,18.756283,19.073183,19.337704,19.59921,19.710201,20.005095,19.965721,19.710201,18.499777,16.803045,15.604067,15.2388935,15.516132
