forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:37+00:00,2025-11-05 00:00:00+00:00,1014.53125,1014.88715,1015.671,1015.64197,1014.99945,1014.2823,1014.6707,1014.75116,1014.34216,1013.6435,1014.1264,1014.2144,1014.6032,1015.48895,1015.9407,1016.56165,1015.97925,1015.2657,1014.3162,1013.5502,1013.1695,1013.16785,1012.7613,1012.6059,1012.55927,1012.52966,1013.0546,1012.7318,1013.0035,1012.80066,1012.6635,1012.65717,1012.5352,1012.02386,1011.70337,1012.28094,1012.7687,1012.9825,1013.0994,1013.2253,1013.1192,1012.2684,1011.31226,1009.1732,1008.28894,1007.88666,1007.7568,1007.65717,1008.2874,1008.6413,1008.79205,1008.6736,1008.2634,1007.7557,1007.2525,1006.85425,1006.3602,1005.9637,1005.76984,1005.67664,1005.6827,1005.9124,1006.00836,1005.7011,1005.16705,1004.22986,1003.09863,1001.9253,1001.62494,1001.46826,1001.44434,1001.3929,1001.27637,1001.1829,1001.1829,1001.1615,1001.052,1000.9573,1001.1556,1001.2519,1001.246,1001.134,1001.31616,1001.49536,1001.9763,1002.6778,1003.1315,1003.1866,1003.3539,1002.72266,1001.76556,1000.89374,1000.50684,1000.4035,1000.6665,1000.9498,1001.30524,1001.831,1002.12396,1002.8097,1003.2007,1003.38324,1003.5758,1003.81104,1004.07477,1004.4786,1005.1202,1005.7527,1006.5961,1007.68823,1009.0173,1009.945,1010.2689,1010.09283,1010.1041,1010.09283,1010.164,1010.61975,1011.65515,1012.97516,1014.20215,1015.14825,1015.9034,1016.56055,1017.1169,1017.5735,1017.93896,1018.31396,1018.7929,1019.1747,1019.5446,1020.0131,1020.40784,1020.9418,1021.4985,1021.66,1021.224,1020.4931,1019.7457,1019.18207,1018.70337,1018.3968,1018.4399,1018.75073,1019.0764,1019.4339,1019.8073,1020.0848,1020.0666,1019.9539,1019.8418,1019.6302,1019.4217,1019.2137,1019.09607,1018.98157,1019.0001,1019.277,1019.6841,1019.78516,1019.2719,1018.3543,1017.4131,1016.44556,1015.5566,1014.83984,1014.4804,1014.39276
2025-11-06 01:08:05+00:00,2025-11-06 00:00:00+00:00,1011.46277,1012.51666,1012.38153,1012.5484,1012.42676,1011.3149,1011.39606,1010.8791,1011.3608,1010.9534,1011.5359,1012.0008,1012.3785,1012.5827,1012.4821,1012.21765,1012.215,1011.771,1010.61804,1009.55096,1008.8711,1008.87225,1008.2634,1008.2917,1008.6222,1008.8861,1008.8481,1008.22186,1007.90674,1007.3977,1006.99365,1006.59705,1006.0097,1005.8307,1005.5481,1005.8484,1006.0631,1005.97845,1006.0179,1005.77124,1005.80286,1004.6776,1003.6659,1001.9601,1001.1751,1001.0788,1001.04767,1001.07367,1001.2563,1001.3439,1001.13513,1001.23425,1001.427,1001.3247,1001.22266,1001.21545,1001.19946,1000.98315,1001.2675,1001.4553,1001.9451,1002.5564,1003.1242,1003.3861,1003.252,1002.8179,1001.96674,1000.9999,1000.61005,1000.50397,1000.6653,1000.94135,1001.4863,1001.95605,1002.6284,1003.30365,1003.5878,1003.5878,1003.5966,1003.9334,1003.7175,1003.8095,1003.99005,1004.3602,1005.1506,1006.14044,1007.4397,1008.6473,1009.46387,1009.5925,1009.5998,1009.49176,1009.6784,1010.52826,1011.56055,1012.8773,1014.51807,1015.96173,1016.80994,1017.4733,1018.04565,1018.5205,1019.1837,1019.84827,1020.31757,1020.49115,1020.8661,1021.43884,1022.0134,1022.6115,1023.16864,1023.4259,1022.9903,1022.1544,1021.4025,1020.7339,1020.14844,1019.837,1020.0792,1020.49164,1021.0161,1021.4706,1021.83685,1022.1109,1022.28723,1022.2702,1022.2568,1022.14575,1022.0383,1022.0298,1022.10986,1022.291,1022.5063,1022.9794,1023.48584,1023.585,1023.0703,1022.1483,1021.2112,1020.26117,1019.19617,1018.4949,1018.2355,1018.23834,1018.2551,1018.30634,1018.4719,1018.5499,1018.3469,1018.0544,1017.863,1017.6648,1017.56555,1017.56555,1017.6565,1017.9453,1018.16986,1018.5524,1018.9682,1018.9707,1018.3521,1017.32367,1016.27673,1015.3113,1014.23065,1013.6198,1013.56323,1013.77765
2025-11-07 01:05:40+00:00,2025-11-07 00:00:00+00:00,1007.7326,1007.69183,1008.0562,1008.1243,1006.9153,1005.61884,1006.3012,1006.184,1006.6871,1005.71954,1006.0246,1005.1382,1005.1382,1005.05084,1004.87463,1004.64014,1004.12836,1003.8775,1003.0502,1002.4208,1001.53076,1001.0697,1000.3372,1000.8146,1001.57916,1001.65826,1001.7326,1001.4323,1001.62463,1001.6407,1001.51227,1001.4874,1001.27,1001.4491,1001.43713,1002.0274,1002.61774,1003.03827,1003.7694,1004.00134,1004.4198,1003.9561,1003.09235,1000.7848,1000.39667,1000.1926,1000.36084,1000.6466,1001.1945,1001.5682,1002.1399,1002.8108,1003.089,1003.2976,1003.33545,1003.52954,1003.5353,1003.6244,1003.81226,1004.2687,1004.9551,1005.9525,1006.97504,1007.56714,1007.904,1008.32947,1008.6285,1009.0048,1009.48895,1010.2267,1010.97687,1011.86145,1013.0282,1013.9064,1014.643,1015.39026,1015.9595,1016.543,1016.92834,1017.50854,1018.0901,1018.4671,1018.7367,1019.80225,1020.2565,1021.1385,1021.57983,1021.72986,1021.291,1020.9442,1020.0933,1019.2249,1018.93713,1018.72925,1018.70715,1019.22235,1019.9244,1020.2814,1020.75037,1021.02594,1021.0073,1021.18884,1021.2709,1021.45215,1021.4388,1021.4285,1021.3222,1020.92084,1020.8184,1021.066,1021.49207,1021.6059,1021.0044,1019.9937,1018.94,1017.987,1016.91736,1016.3121,1016.25104,1016.4558,1016.67395,1016.8244,1016.88965,1016.8667,1016.75604,1016.5578,1016.3615,1016.26245,1016.1666,1016.16815,1016.3549,1016.54156,1016.76447,1017.04974,1017.2675,1017.27155,1016.7521,1016.0197,1015.17126,1014.30664,1013.32654,1012.71716,1012.5598,1012.77277,1012.99646,1013.3469,1013.8105,1014.18335,1014.16943,1014.0642,1013.96204,1013.86285,1013.6677,1013.6706,1013.7605,1014.04675,1014.36005,1014.9194,1015.5052,1015.7845,1015.35364,1014.5164,1013.66266,1012.8882,1012.0961,1011.6811,1011.7255,1011.9472
2025-11-08 00:59:34+00:00,2025-11-08 00:00:00+00:00,1000.6147,1001.3546,1001.03015,1000.9052,1001.1136,1000.78595,1001.2572,1000.9366,1000.7178,1000.1066,1000.9886,1001.881,1002.1991,1002.8013,1002.9429,1003.2907,1003.60547,1003.53467,1002.99603,1002.5295,1001.93726,1001.545,1001.23486,1001.5769,1002.2213,1002.68,1003.545,1003.7229,1004.2054,1004.2841,1004.1585,1004.3524,1004.7517,1005.42645,1006.5998,1007.7295,1008.9756,1009.8613,1010.88947,1011.3257,1011.5646,1011.2008,1010.81616,1009.6594,1009.9435,1010.4082,1011.2377,1012.1589,1013.5052,1014.75946,1015.721,1016.37665,1017.0465,1017.22406,1017.50507,1018.0789,1018.3502,1018.7204,1018.88715,1019.4518,1020.1122,1021.30804,1021.9777,1022.23663,1021.70184,1020.86273,1020.2052,1019.5303,1019.1382,1019.02673,1019.28955,1019.6091,1020.15204,1020.6942,1020.8344,1021.29626,1021.1734,1021.15845,1021.3411,1021.5276,1021.22,1020.6219,1020.31274,1020.2086,1020.59955,1021.4403,1021.6689,1021.07825,1020.37354,1019.453,1018.1227,1016.57446,1015.9034,1015.11475,1014.9869,1014.84454,1015.38544,1015.5502,1015.50684,1015.3899,1014.8912,1014.597,1014.79846,1014.80005,1014.50586,1014.41504,1014.52374,1014.7349,1014.84845,1015.088,1015.4259,1015.4452,1014.9335,1014.16956,1013.26984,1012.2929,1011.3057,1010.69775,1010.85364,1011.4871,1012.03845,1012.3237,1012.52814,1012.6333,1012.63617,1012.6406,1012.5447,1012.44385,1012.3418,1012.33875,1012.435,1012.5326,1012.8344,1013.43976,1014.1504,1014.58,1014.3459,1013.82965,1013.1914,1012.61444,1011.9178,1011.5039,1011.4668,1011.61505,1011.87146,1012.15436,1012.5466,1012.8294,1012.98914,1013.0387,1012.99646,1012.8729,1012.75684,1012.74445,1012.92596,1013.2093,1013.6214,1014.1801,1014.7646,1014.9439,1014.5135,1013.67993,1012.8243,1012.0408,1011.23627,1010.7122,1010.65515,1010.87555
2025-11-09 01:05:13+00:00,2025-11-09 00:00:00+00:00,1001.85046,1002.60223,1002.9702,1003.44714,1003.828,1003.31305,1004.01025,1003.71124,1003.8164,1003.3162,1003.99695,1004.5727,1005.6457,1007.0321,1008.48676,1009.49146,1009.82465,1009.55383,1009.8409,1010.1326,1010.50226,1011.1544,1011.30725,1012.2453,1013.8702,1015.1192,1016.2837,1016.55225,1017.22345,1017.5016,1017.5712,1018.2258,1018.79266,1019.06665,1019.24146,1020.0177,1020.7934,1021.3947,1022.32697,1022.46265,1022.9021,1022.3466,1021.18494,1019.18396,1019.08966,1018.9777,1019.3423,1019.96533,1020.90906,1021.558,1021.99506,1022.25354,1022.42773,1022.50977,1022.5986,1023.08374,1022.78125,1022.3747,1021.9729,1021.5734,1021.66705,1022.3166,1022.65643,1022.167,1021.8555,1020.92896,1019.49805,1017.8482,1016.7803,1016.1887,1016.05743,1015.9161,1016.3464,1016.506,1016.368,1016.0543,1015.7603,1015.76855,1015.6726,1015.77014,1015.97156,1015.7817,1015.6921,1015.70667,1015.9212,1016.0665,1016.21576,1016.23553,1016.2168,1015.4732,1014.5151,1013.5365,1013.0305,1012.7114,1012.46063,1012.4483,1012.7232,1013.14233,1013.44586,1013.5405,1013.83795,1013.53766,1013.43976,1013.443,1013.15155,1013.05524,1012.95776,1012.9561,1013.1544,1013.5586,1014.07666,1014.40393,1014.3313,1013.961,1013.4827,1012.9097,1012.33356,1011.934,1011.8905,1012.12036,1012.2638,1012.33716,1012.5234,1012.5113,1012.496,1012.2825,1012.17126,1011.9638,1011.7579,1011.6524,1011.8386,1012.12524,1012.4378,1012.8942,1013.37646,1013.4506,1013.0117,1012.16675,1011.3072,1010.5348,1009.7487,1009.2345,1009.1734,1009.3809,1009.6045,1009.76105,1009.83606,1009.9155,1009.8012,1009.4931,1009.2887,1009.18805,1009.0905,1009.09216,1009.18207,1009.27203,1009.38477,1009.6439,1009.8254,1009.79083,1009.3243,1008.5423,1007.75476,1007.0635,1006.2674,1005.7586,1005.53284,1005.4966
2025-11-10 01:09:20+00:00,2025-11-10 00:00:00+00:00,1013.94745,1014.28674,1015.9359,1016.70685,1016.9806,1016.4468,1017.31616,1017.8898,1018.36584,1018.2456,1018.71814,1019.09,1019.5637,1020.7529,1021.3657,1021.7904,1021.8283,1021.56836,1021.08405,1021.20276,1021.39905,1021.7827,1021.7552,1022.4145,1023.1764,1023.9441,1024.9103,1024.586,1025.0565,1025.1317,1024.6122,1024.4005,1024.1956,1024.284,1023.88446,1023.98004,1024.0704,1024.2252,1024.707,1024.2944,1024.168,1023.6358,1022.60095,1018.4354,1017.5646,1016.8705,1016.54095,1016.2007,1016.5334,1016.7043,1016.67175,1016.54987,1016.1535,1015.9616,1015.96674,1015.96674,1015.8692,1015.7797,1015.79285,1015.90485,1016.0184,1016.16406,1016.6014,1016.7207,1016.3086,1015.5679,1014.41016,1013.2391,1012.5534,1012.3349,1012.5729,1012.776,1013.30884,1013.489,1013.5652,1013.3533,1013.2493,1012.9444,1012.93994,1012.9596,1012.8131,1012.8268,1012.8329,1012.93207,1013.1319,1013.6336,1014.1535,1014.38904,1014.2175,1013.76886,1012.82367,1011.9427,1011.4598,1011.15784,1011.2342,1011.26776,1011.4457,1011.53314,1011.5242,1011.7104,1011.4944,1011.2574,1011.14294,1011.2317,1011.13104,1010.6875,1010.76654,1010.8549,1011.2438,1011.56573,1012.07434,1012.16895,1011.737,1010.882,1010.1099,1009.23737,1008.4523,1007.84174,1007.7863,1008.0031,1008.2301,1008.3822,1008.5441,1008.51843,1008.3065,1008.00604,1007.6063,1007.2054,1006.9048,1006.6046,1006.3972,1006.28723,1006.2948,1006.5282,1006.7792,1006.8301,1006.28546,1005.5429,1004.68524,1003.8042,1002.9076,1002.2047,1001.6976,1001.3856,1001.17444,1000.96735,1000.86096,1000.56067,1000.0693,999.4832,998.89386,998.2041,997.6104,997.1118,996.8028,996.68805,996.97076,997.94635,999.21936,1000.1088,1000.0317,999.5706,999.1985,999.0102,998.90955,998.9858,999.31854,999.8258
2025-11-11 01:03:16+00:00,2025-11-11 00:00:00+00:00,1020.7592,1021.32434,1022.5833,1023.049,1024.2084,1023.4912,1023.8689,1023.5546,1022.5485,1021.4397,1021.82056,1022.01044,1022.29895,1023.00653,1022.9248,1023.21265,1022.79504,1021.38165,1020.93164,1020.08777,1019.127,1018.5444,1017.5393,1017.46967,1017.9012,1017.86475,1017.74176,1017.02356,1016.8126,1016.4114,1016.3106,1016.3023,1015.9887,1016.0799,1016.0782,1016.57697,1017.1766,1017.3925,1017.73285,1017.4936,1017.384,1016.8404,1015.9786,1013.8124,1013.22314,1012.9212,1012.68665,1012.75336,1013.3991,1013.86426,1013.93726,1014.1123,1014.0923,1013.9868,1014.0842,1014.28094,1014.1806,1013.9791,1014.075,1014.2686,1014.56274,1014.9876,1015.3955,1015.39996,1015.2822,1014.7392,1013.58514,1012.50415,1012.18097,1012.0547,1011.91656,1011.87305,1012.1146,1012.3275,1012.5112,1012.3942,1012.58655,1012.2803,1012.3612,1012.435,1012.19415,1011.95905,1012.0538,1012.3496,1012.64374,1013.1642,1013.5644,1013.5616,1013.43164,1012.7874,1011.70795,1010.525,1009.81683,1009.4592,1009.22626,1009.39874,1009.9831,1010.2632,1010.4348,1010.4551,1010.3226,1009.908,1009.7952,1009.88525,1009.9704,1009.8588,1009.84656,1009.84045,1010.13306,1010.45685,1010.86365,1010.9556,1010.52545,1009.67773,1008.9085,1008.1351,1007.3503,1006.8374,1006.88104,1007.2974,1007.6248,1007.7813,1007.95087,1007.9297,1007.71783,1007.4128,1007.11066,1006.90643,1006.70374,1006.6046,1006.609,1006.81476,1007.0314,1007.56024,1008.1972,1008.43726,1008.0774,1007.4197,1006.6583,1005.89825,1005.13446,1004.54803,1004.42053,1004.57025,1004.7236,1004.7921,1004.86475,1004.84717,1004.83826,1004.7376,1004.4445,1003.96075,1003.3836,1002.8034,1002.31335,1002.0187,1001.83527,1002.17035,1002.61426,1002.85254,1002.4814,1001.7046,1001.0189,1000.4239,999.8204,999.4125,999.3971,999.5773
2025-11-12 01:04:58+00:00,2025-11-12 00:00:00+00:00,1016.73517,1016.499,1017.0637,1016.9388,1015.9253,1015.31757,1015.60376,1015.6851,1015.97406,1015.47687,1015.7679,1015.96924,1016.2765,1016.8027,1017.0342,1017.483,1017.18115,1016.4482,1015.38367,1015.10815,1014.523,1014.1223,1013.51135,1013.7329,1014.267,1014.4217,1014.788,1014.77264,1015.03955,1014.9328,1014.61694,1014.71124,1014.63696,1014.81195,1014.798,1014.8862,1015.2747,1015.57697,1016.15906,1016.4303,1016.7976,1016.161,1014.9988,1013.4107,1012.81146,1012.49554,1012.2588,1012.224,1012.6721,1012.95013,1013.41724,1013.39746,1013.4752,1013.2602,1013.44604,1013.3285,1013.31616,1013.3148,1013.3133,1013.5068,1013.8971,1014.5152,1014.82324,1014.9262,1014.6028,1013.75616,1012.793,1011.7166,1010.9273,1010.5208,1010.2882,1010.35345,1010.8995,1011.1595,1011.2225,1011.29877,1010.98486,1010.9725,1010.9585,1010.84576,1010.64746,1010.3485,1010.24615,1010.2402,1010.43524,1010.85175,1011.05585,1010.9572,1010.5328,1009.68915,1008.3322,1007.2622,1006.4774,1005.973,1005.6332,1005.6147,1006.05457,1006.1107,1006.17554,1006.25507,1005.8537,1005.5626,1005.38086,1005.3628,1005.23944,1005.0276,1005.0168,1005.2103,1005.50494,1005.7199,1006.1256,1006.1278,1005.60187,1004.75494,1003.8933,1003.12506,1002.3427,1001.833,1001.7758,1002.08844,1002.4125,1002.7679,1003.2356,1003.51227,1003.5963,1003.58875,1003.5811,1003.57355,1003.6668,1003.7599,1003.94464,1004.2298,1004.54224,1005.0038,1005.5914,1005.77155,1005.2365,1004.39355,1003.63635,1003.0647,1002.67773,1002.56335,1002.8053,1003.4192,1003.94635,1004.5062,1004.98157,1005.3637,1005.5531,1005.55,1005.6447,1005.735,1005.92444,1006.1168,1006.4097,1006.70715,1007.12146,1007.6691,1008.13556,1008.39276,1008.03723,1007.37396,1006.89075,1006.6826,1006.5554,1006.72,1007.1772,1007.9271
2025-11-13 01:21:17+00:00,2025-11-13 00:00:00+00:00,1013.39685,1013.1554,1014.12274,1014.3869,1014.364,1013.85315,1014.23236,1014.324,1014.90955,1014.30383,1014.4958,1014.987,1015.4718,1015.97345,1016.06476,1016.50684,1016.47656,1016.00757,1014.92865,1014.55896,1014.16113,1013.96844,1013.56323,1013.80316,1014.2404,1014.4078,1014.87964,1014.73724,1014.92053,1014.8017,1014.58057,1014.5668,1014.54706,1014.72687,1014.8164,1015.4934,1015.7832,1015.88684,1016.28876,1016.2104,1016.2965,1015.5408,1014.47424,1012.04193,1011.4429,1011.22614,1010.889,1010.9601,1010.8213,1011.18646,1011.4557,1011.44037,1011.2164,1010.9023,1010.9861,1010.87177,1010.76495,1010.5652,1010.55914,1010.5543,1010.74945,1011.2666,1011.46893,1011.364,1011.03143,1010.1821,1008.726,1007.7539,1006.86835,1006.3643,1006.13336,1006.1104,1006.25165,1006.4066,1006.57495,1006.4594,1006.3646,1006.1815,1006.0732,1005.84015,1005.7183,1005.40857,1005.2028,1005.1968,1005.4894,1006.011,1006.4215,1006.52155,1006.2977,1005.3528,1003.9969,1003.0231,1002.2382,1002.03424,1001.99927,1002.17163,1003.01776,1003.5775,1003.8409,1003.9088,1003.99884,1004.0093,1003.9101,1004.188,1004.3729,1004.2647,1004.2616,1004.2587,1004.55615,1005.2741,1005.5796,1005.8767,1006.04694,1005.29834,1004.23956,1003.5703,1002.88544,1002.577,1002.9254,1003.5467,1004.1809,1004.64484,1005.1202,1005.49774,1005.6699,1005.74225,1005.9197,1006.2055,1006.5961,1006.8903,1007.0798,1007.27203,1007.48676,1008.0392,1008.61395,1008.98486,1008.7526,1008.3182,1007.86365,1007.48334,1007.0826,1006.9669,1007.3264,1007.8698,1008.5204,1009.0897,1009.66754,1010.14343,1010.4133,1010.5812,1010.7574,1010.94836,1011.14667,1011.3433,1011.5286,1011.81274,1012.1191,1012.66187,1013.3236,1013.5881,1013.35095,1012.81433,1012.2577,1011.5745,1010.9712,1010.5539,1010.7151,1011.25854
2025-11-14 01:05:25+00:00,2025-11-14 00:00:00+00:00,1012.9733,1012.6365,1013.30096,1013.6722,1013.45447,1013.0773,1013.2606,1012.93896,1013.1179,1012.7029,1013.1836,1013.5646,1013.94745,1014.84125,1015.0242,1015.41846,1015.4959,1014.53894,1013.8808,1013.4006,1012.6933,1012.58875,1012.19055,1012.3228,1012.2574,1012.01776,1012.37866,1012.0559,1012.3368,1011.71625,1011.19775,1010.9918,1011.0726,1010.95825,1010.84827,1011.13336,1011.42596,1011.4275,1011.5268,1011.1565,1010.74506,1009.9819,1009.2127,1007.3572,1006.4689,1005.8656,1005.63196,1005.6087,1005.8534,1006.0101,1005.9832,1005.8749,1005.6663,1005.5655,1005.45886,1005.1598,1004.93286,1004.52277,1004.3165,1004.4098,1004.8046,1005.22424,1005.5323,1005.73,1005.4036,1004.5524,1003.4856,1002.3053,1001.8079,1001.4937,1001.66254,1001.9488,1002.6051,1003.0744,1003.25195,1003.6306,1003.70905,1003.9913,1003.78546,1003.98376,1004.086,1003.8877,1004.0829,1004.27515,1004.5666,1005.28174,1005.6787,1006.2689,1006.2354,1005.68524,1004.5274,1003.4572,1002.9682,1003.0619,1003.1279,1003.5212,1004.36475,1004.9219,1005.28955,1005.4789,1005.5853,1005.77924,1006.0442,1006.2324,1006.25287,1006.352,1006.35077,1006.4318,1006.81805,1007.3274,1008.0105,1008.2923,1008.06,1007.416,1006.85425,1006.2632,1005.6515,1005.3305,1005.5987,1006.2566,1006.9166,1007.4833,1008.05225,1008.5278,1008.71466,1008.70734,1008.6972,1008.6767,1008.6517,1008.6324,1008.7167,1008.8085,1008.91943,1009.2628,1009.6258,1009.78546,1009.5418,1008.996,1008.434,1007.9517,1007.4533,1007.2328,1007.3797,1007.7059,1008.0421,1008.2056,1008.38367,1008.3659,1008.25073,1008.04193,1007.74176,1007.4546,1007.07544,1006.7942,1006.7053,1006.81464,1006.9271,1007.2387,1007.5551,1007.6816,1007.23566,1006.5011,1005.84283,1005.14856,1004.53314,1004.1058,1004.0636,1004.3088
