forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:23:00+00:00,2025-11-05 00:00:00+00:00,910.9579,909.53546,909.7321,908.6886,907.9891,908.07086,907.59454,906.90857,905.44666,904.5946,903.959,903.336,903.145,901.93695,901.0012,899.9841,899.79395,899.97614,898.8693,897.80225,897.8355,897.9967,897.9606,897.6407,897.82,898.3719,898.7449,899.1563,899.0138,898.9597,898.939,899.86426,900.01794,900.39746,900.93054,900.93854,901.83575,902.2054,902.9154,903.5322,904.5484,905.3382,906.5828,905.2651,905.7278,905.97516,905.97034,906.1277,906.3185,906.6229,906.8168,906.6229,906.5,906.02594,905.35297,904.7406,904.187,904.01215,902.9388,902.0349,901.555,901.3766,901.38605,901.99164,902.9941,903.17255,903.4649,903.7327,903.87506,904.1595,905.1048,905.8149,906.2077,906.70074,907.3151,907.8824,908.6464,909.18915,909.89014,910.40564,911.3204,912.3235,913.117,913.6935,914.77246,915.3759,915.8816,916.6713,916.7772,917.46045,918.02966,918.5516,917.85065,917.91016,917.9809,917.73444,917.5997,918.15326,918.4877,918.8787,919.05994,919.01263,918.9843,919.173,919.27246,919.37177,919.40186,919.23395,918.9577,919.00714,919.1456,919.11584,919.1404,918.7623,918.5039,918.3399,918.1144,917.9435,917.8424,917.72455,917.7658,917.88605,917.9921,918.17444,918.29443,918.3139,918.3139,918.29443,918.1667,917.9498,917.64404,917.22986,916.7462,916.2738,915.71216,915.206,914.8186,914.54553,913.9903,913.1005,912.1138,911.19,910.54144,910.13525,909.7628,909.6274,909.7259,909.6454,909.20807,908.6303,908.31915,908.58026,909.03845,909.44525,909.6425,909.76965,909.8777,910.0113,910.21405,910.4687,910.8057,911.11456,911.3385,911.3364,911.27454,911.07996,910.6828,910.07983
2025-11-06 01:08:41+00:00,2025-11-06 00:00:00+00:00,898.93085,898.42615,898.5077,899.94824,900.1007,901.1475,901.3484,901.356,901.01794,901.92773,902.2021,902.3619,902.73706,902.98267,903.1757,903.8927,904.3853,905.6881,906.36774,906.90967,906.733,906.78723,906.53296,906.06854,905.06165,904.12836,902.87933,901.8817,900.7909,899.4891,898.8282,898.11786,896.8836,896.789,896.0528,896.39545,896.74774,897.7752,898.19214,898.5225,899.71436,900.89386,901.3376,902.8538,903.10144,904.15765,904.9429,905.41907,905.8324,906.5386,907.2399,908.19543,908.7737,909.4399,909.97455,910.87036,911.8078,912.5229,913.25525,913.5982,914.4238,914.86584,915.56195,916.36273,917.1667,917.86694,918.5371,918.8649,918.67944,918.57166,918.67944,918.9434,919.1452,919.7829,920.34814,920.3649,920.3108,920.31396,920.7311,921.07837,920.9113,920.9217,920.88245,920.6067,920.7255,920.8341,920.84424,921.0317,920.91754,920.6009,920.6483,920.30634,919.73834,919.2485,919.0178,918.84204,918.8853,919.04474,919.3503,919.3054,919.15894,919.26715,918.99304,918.7381,918.35565,917.9847,917.7681,917.3656,917.09076,916.73474,916.251,915.7327,915.3672,914.581,914.0445,913.2636,912.4548,911.68994,911.02686,910.41125,909.9197,909.7201,909.7201,909.7201,909.57556,909.39435,909.3204,909.19116,909.1691,909.13184,909.31726,909.505,909.652,909.46796,909.1725,908.9941,909.0662,909.1519,909.24084,909.14575,909.06866,908.9071,908.7176,908.4379,908.31104,908.3068,908.35455,908.3478,908.1607,907.9726,907.8202,907.75574,907.70905,907.69916,907.65594,907.66943,907.7016,907.6958,907.70905,907.71497,907.6664,907.6046,907.3733,906.8491,906.08844,905.5905,905.356,905.40326
2025-11-07 01:06:13+00:00,2025-11-07 00:00:00+00:00,907.7299,906.9807,905.5752,905.91656,905.5369,905.1718,903.6944,902.1024,901.07355,900.1412,899.36145,899.7343,901.3318,901.5266,902.2364,902.2721,903.59076,905.13855,906.3454,906.814,907.20917,907.35144,907.74084,908.201,908.50635,909.13385,909.7721,910.17584,910.08057,910.90674,912.1268,912.8584,913.369,913.78973,914.03253,914.2985,914.5702,914.9721,915.11584,915.78955,916.6532,918.0535,919.1206,917.9086,917.8359,917.843,917.91705,918.44543,918.062,919.01935,919.29877,919.4241,919.81555,919.6604,919.8106,919.9804,920.2583,920.09106,920.299,920.2598,920.1907,920.2012,920.103,920.379,920.3612,920.28516,920.0933,919.5511,919.4084,918.91724,918.9018,918.7094,918.6483,919.018,918.99335,918.59296,918.46564,918.3195,918.03925,917.6258,917.21185,916.68994,916.12964,915.2828,914.29645,913.5268,912.6749,912.1668,911.60547,910.74347,910.5385,909.8592,909.41895,908.5798,908.2592,907.6874,907.03986,907.23376,907.3397,907.31976,907.895,908.6863,908.8839,908.34,908.46387,908.8426,908.3108,908.2715,908.62537,908.6743,908.6341,908.7821,908.9748,908.83923,908.6108,908.7057,908.8655,909.04016,909.2203,909.4201,909.6175,909.813,909.9178,910.0033,909.8352,909.66473,909.4587,909.381,909.35846,909.3025,909.28394,909.3211,909.3398,909.5514,909.7442,909.8893,909.81195,909.7017,909.462,909.148,908.79456,908.50916,908.2225,907.8965,907.6931,907.7045,907.93,908.013,907.9726,907.7721,907.58997,907.3001,907.0285,906.8459,906.77094,906.71497,906.6775,906.6023,906.47577,906.5179,906.8061,907.27454,907.30505,906.55994,905.36426,904.6312,904.6314,905.0066
2025-11-08 01:00:00+00:00,2025-11-08 00:00:00+00:00,909.87805,909.8254,911.05524,911.36017,911.8394,911.7652,911.583,911.7807,911.9646,911.9193,912.2296,912.62384,913.29755,913.5453,914.32684,914.6749,915.8888,917.76733,917.62585,917.70856,917.71564,918.0221,918.1114,917.8393,917.20233,916.5093,915.9979,915.6419,915.5273,915.09235,914.9186,914.6749,914.6169,914.19434,914.0944,913.7464,913.905,913.955,913.88544,913.96295,914.4903,915.64166,916.47754,919.5308,919.11743,918.9448,918.45557,918.4003,918.4618,918.6483,918.6236,918.40155,918.0393,917.8419,917.5747,917.1741,916.50604,915.81195,915.2132,914.3661,913.63477,912.7446,911.9053,911.5945,910.809,910.1314,909.90137,909.289,908.38306,907.63385,907.2405,906.82855,906.19745,906.5239,906.93585,907.2045,907.312,906.71765,906.6255,906.5127,906.69495,907.1374,907.5949,907.64215,908.13153,908.0556,907.75977,908.4,909.1071,909.91974,910.2072,909.75977,909.1862,908.9382,909.04553,909.4746,909.5795,909.79236,909.69336,909.8248,909.8303,909.7297,909.6134,909.64166,909.4209,909.3644,909.1536,909.08344,909.027,909.01654,909.54767,909.529,909.6032,909.29865,909.1165,908.84076,908.5429,908.27655,908.0243,907.82074,907.7045,907.86206,908.05884,908.2007,908.0532,907.7792,907.52313,907.2853,906.95795,906.66766,906.34424,905.9503,905.5939,905.3783,905.0921,904.88513,904.6178,904.2433,903.8604,903.2021,902.51794,902.062,902.1444,902.4445,902.62354,902.4871,902.22723,901.89215,901.64154,901.42444,901.1017,900.49664,899.78577,899.2161,898.9134,898.73517,898.6998,899.02106,899.50275,899.9664,900.1443,900.322,900.4102,900.6054,900.7824,901.03156,901.31744,901.5504
2025-11-09 01:05:36+00:00,2025-11-09 00:00:00+00:00,916.80835,916.6309,916.58374,916.2273,915.57117,915.5374,915.42914,915.0965,914.63617,914.52795,914.72516,914.8335,915.0889,914.7525,914.644,914.68286,915.5395,916.7064,917.19135,917.31976,917.49133,917.6019,917.4601,916.9938,915.9729,915.25464,914.2857,913.5389,913.0503,912.4914,912.1996,911.5513,910.79474,910.22217,909.9361,909.5728,908.89215,908.1999,907.5769,907.47534,907.6376,908.1865,908.9858,909.4642,908.7388,908.1873,907.68695,906.89746,907.1852,907.5071,908.1517,908.54474,908.8117,908.24896,907.7938,907.30853,906.9674,906.5678,906.58606,906.26306,906.509,906.9548,907.1029,907.4779,908.2083,908.974,909.02563,908.9155,908.2352,907.91113,907.89514,907.81177,907.467,907.43945,907.44714,907.22235,906.92865,906.624,906.4086,906.0998,905.903,905.86975,906.2118,906.30835,906.12634,905.94434,905.9666,906.00366,905.9216,905.5374,905.0964,904.65485,903.9097,903.60864,903.25024,903.35443,903.56586,904.028,903.5751,903.35956,903.1019,902.99426,902.69305,902.4963,902.3886,902.3886,902.0993,901.6905,901.5491,901.17084,900.51807,899.9682,899.50604,898.6595,897.8785,896.5542,895.01337,893.65344,892.6739,891.982,891.2523,890.41364,889.6281,888.9855,888.3421,887.84094,887.59155,887.59357,887.9281,888.3995,889.2148,890.2842,891.1909,891.7861,892.234,892.7075,893.44763,894.21356,894.7249,894.7125,894.46594,894.1618,893.9228,893.6421,893.5928,893.95874,894.46954,894.87177,894.84204,894.7034,894.5132,894.44934,894.5124,894.4864,894.5679,894.6689,894.59155,894.2593,893.83777,893.4013,893.28656,893.23206,892.9256,892.3156,891.4483,890.66437,890.0325,889.463
2025-11-10 01:09:54+00:00,2025-11-10 00:00:00+00:00,913.1643,913.03906,912.20667,911.90704,910.9714,911.38525,911.49347,910.87036,910.1772,909.75824,909.3065,908.43524,907.6341,907.43695,907.2463,907.0105,907.4884,908.0013,907.86237,908.254,909.00037,910.05145,910.6304,910.2196,909.878,909.7121,909.52576,909.10614,908.6879,908.6291,908.96356,908.83704,908.4578,908.13043,907.9948,907.915,908.13934,908.1342,907.9314,907.8366,908.3842,909.8097,910.52,910.51117,910.3501,909.9032,909.5636,909.2959,908.62415,908.48926,908.5668,908.686,908.62646,908.1582,907.42224,907.37067,907.0096,907.15485,906.7422,906.5639,906.3938,906.24884,905.6806,905.41675,905.6631,905.3726,905.038,904.17584,902.8499,902.57227,902.18195,901.6086,901.1641,900.6788,900.1378,899.4923,899.114,898.5573,897.87787,897.2134,896.6043,896.0327,895.1193,894.5994,894.0464,893.4414,892.42065,891.6376,890.94214,890.4764,890.7344,891.1279,891.85895,892.6612,893.2865,893.86017,895.0186,895.7507,895.80615,896.0564,895.7495,895.3538,895.1904,895.4197,895.5226,895.55414,896.1755,896.24,896.1846,896.2627,896.52606,896.4989,897.02374,897.1956,897.329,897.3512,897.3527,897.45844,897.79083,898.22266,898.74274,899.2876,899.79877,900.27203,900.68243,901.0335,901.3697,901.68,902.06696,902.4538,902.8908,903.4167,903.9615,904.4477,904.9528,905.317,905.6247,905.89056,906.07153,906.04376,905.82904,905.7465,905.792,905.84235,906.0201,906.46027,907.0838,907.65594,908.0312,908.3362,908.64124,908.92737,909.3027,909.58887,909.8937,910.21783,910.52277,910.68195,910.9306,911.0438,911.20374,911.42084,911.4521,911.12146,910.6263,910.23474,910.03424,910.04315
2025-11-11 01:03:40+00:00,2025-11-11 00:00:00+00:00,906.53,907.1786,907.62634,907.71545,908.02625,909.1897,908.8162,908.092,907.6596,907.8567,907.32874,907.23975,907.8314,907.971,908.35175,908.4478,908.9376,909.3644,911.84576,912.1689,912.04236,911.9516,911.522,910.4884,909.1764,908.214,907.3953,906.45544,905.56,904.80096,904.3839,904.0088,903.6101,903.45074,903.04297,902.3765,902.04285,902.07587,902.3475,901.8563,902.0357,902.245,903.02747,904.8077,905.0138,904.8039,904.6978,904.60724,904.14667,904.05206,904.01215,903.7748,903.556,903.0878,902.96173,902.49335,902.4188,902.166,901.8239,901.4115,901.0692,900.49725,900.32367,900.4212,900.2793,899.5792,898.7668,898.16345,896.98566,896.26996,896.0002,895.5563,895.0209,894.3046,894.05286,893.42596,893.42444,893.2263,892.83124,893.00964,893.8323,893.38464,893.9248,894.05286,893.4841,893.7873,894.23346,894.6975,894.3737,894.42816,894.85956,895.0925,895.7426,896.1561,896.6954,897.34143,897.3399,898.22675,898.47003,898.8558,898.9051,899.6271,899.72314,899.7963,899.08344,899.114,898.9622,898.691,898.61646,898.7014,898.9354,898.96423,899.4114,900.0252,900.51794,900.736,900.84375,900.8617,900.79016,900.55676,900.5361,900.71204,901.0125,901.189,901.2783,901.4041,901.3331,901.17084,900.9013,900.63153,900.2904,899.9681,899.68207,899.3254,898.91595,898.61414,898.527,898.4581,898.2995,897.85504,897.4101,896.92865,896.4646,896.05334,895.98114,896.3546,896.9777,897.708,898.367,899.13324,899.91797,900.63153,901.3632,902.00586,902.5228,903.0399,903.4488,903.8212,904.10443,904.47943,904.9312,905.2771,905.58563,905.55286,905.39404,905.33954,905.4235,905.60803
2025-11-12 01:05:25+00:00,2025-11-12 00:00:00+00:00,908.4687,906.4965,907.16437,906.977,905.8748,905.73724,905.48346,905.1668,904.5057,904.6383,904.75226,904.3634,904.2475,904.44946,904.39777,903.8858,904.1772,904.3853,905.1379,905.32117,905.0729,905.002,905.0731,904.80536,904.2137,903.76276,903.1858,902.9139,902.53375,902.3127,902.1129,901.6234,901.0329,900.20856,899.5584,898.8889,898.24677,897.80133,897.56714,897.51074,897.92474,898.7075,899.5306,900.78094,900.36914,899.19977,898.7068,898.3971,898.0686,897.589,897.7852,897.2668,896.8034,897.2144,896.7472,896.17865,895.7513,896.0742,895.4411,895.0693,895.6901,895.9639,896.16327,897.21765,898.4676,899.25287,899.9843,900.21814,900.20056,900.5219,900.5043,900.1458,900.1236,900.91,901.2693,901.57104,901.624,902.1595,903.01556,903.17773,903.2472,903.3365,903.44214,903.3692,903.4926,903.7079,903.8336,904.17224,904.4237,904.56757,904.62036,904.5311,904.1742,904.014,903.83545,903.6733,903.60016,903.2961,903.2068,903.225,902.8681,902.5294,902.06506,901.5297,900.9943,900.70856,900.26245,899.7271,899.24475,898.8879,898.62024,898.35254,898.1211,897.908,897.62354,897.394,897.0387,896.8248,896.52106,896.359,896.2138,896.3546,896.71,896.9762,897.0452,897.0958,897.2193,897.5417,897.8295,898.1702,898.3304,898.4539,898.54114,898.49915,898.4194,898.5607,899.0186,899.7107,900.21686,900.34357,900.19965,900.1451,900.11096,900.14667,900.2332,900.49854,900.836,901.191,901.49335,901.72437,902.08124,902.45667,902.93915,903.2961,903.5087,903.5958,903.8084,904.09424,904.4879,904.82874,905.06226,905.243,905.3526,905.33954,905.36127,905.1837,904.9487,904.6022
2025-11-13 01:23:01+00:00,2025-11-13 00:00:00+00:00,903.09656,902.75854,902.29565,902.1424,901.58453,901.6176,901.36444,900.67957,899.8406,900.09357,899.7565,898.71326,898.61096,897.8058,897.488,897.4481,898.2749,899.43176,899.20325,900.4165,900.1306,900.6168,900.22455,899.13965,898.3031,897.8274,897.4171,897.06445,897.17377,897.35016,896.6211,896.1035,895.26196,894.7788,894.74475,894.38916,894.3018,895.4625,896.229,897.65485,898.7282,900.46326,901.98236,900.03516,900.30536,900.5925,900.8606,901.50397,901.71906,902.5049,902.6656,903.1656,903.6646,904.4131,904.78705,904.9115,904.92633,905.2306,905.3743,905.2106,905.24506,905.3322,905.5107,905.7784,906.26324,906.3379,906.6284,906.4861,905.9503,905.66425,905.1456,904.87775,904.51794,903.98096,903.72955,903.4257,902.8538,902.17456,901.4953,900.94183,900.5849,900.20953,899.92365,899.35205,898.8167,898.2633,897.8172,897.6022,897.58575,897.4641,897.50226,897.0387,896.4674,896.0926,896.00323,895.89594,895.9671,896.1265,896.3932,896.625,896.67896,897.05493,897.1623,897.2516,897.4832,897.6969,897.64264,897.4994,897.58856,897.64166,897.6946,897.87305,898.14215,898.1794,898.3587,898.2164,897.8771,897.6626,897.59045,897.5534,897.64166,897.76575,897.908,898.06805,898.283,898.6051,898.80176,898.83655,898.76373,898.7094,898.8167,899.0314,899.228,899.4775,899.78,900.155,900.6212,901.034,901.4469,901.6625,901.87823,902.09265,902.3235,902.6601,903.0687,903.6403,904.2849,904.857,905.39087,905.959,906.4554,906.9882,907.43176,907.85657,908.2067,908.5373,908.7969,909.05536,909.26166,909.49115,909.83856,910.20856,910.2727,909.7632,908.9666,908.21893,907.8408,907.6008
2025-11-14 01:05:53+00:00,2025-11-14 00:00:00+00:00,895.1591,896.1227,895.39136,895.49805,894.71185,894.87213,894.9447,894.73004,895.7124,896.1205,896.3332,896.9397,897.9394,898.5623,898.42865,899.12836,899.72034,899.6529,900.60516,901.3392,902.1789,902.64325,902.7855,903.14124,903.1018,902.77606,902.68475,902.8953,902.4287,902.0534,901.9461,901.8592,901.8797,901.7013,901.7195,901.7195,902.042,902.68475,903.4007,903.65894,904.64996,905.8947,906.9851,905.5012,905.4303,905.4314,905.37836,905.30585,905.09,905.0355,904.713,904.5876,904.3016,903.87195,903.37103,902.97766,902.36945,902.08325,901.63715,900.84143,900.3589,900.128,899.65826,899.29865,899.23846,899.06946,898.8777,898.41406,897.8945,897.3737,896.96216,896.5017,896.0922,896.10846,896.0884,896.0856,895.75995,895.66656,895.75336,895.67993,895.80585,896.0523,896.0707,895.8924,895.99994,895.8189,895.99713,896.2306,896.739,896.6754,896.8225,896.62787,896.5925,896.7174,896.896,897.09247,897.4666,897.8771,898.2875,898.6086,899.00055,899.2142,899.35645,899.40967,899.5519,899.6229,899.80145,899.7122,899.8907,900.03284,900.2643,900.4245,900.44275,900.479,900.42615,900.28394,900.1236,900.0523,900.23083,900.48065,900.83765,901.2125,901.49835,901.8736,902.2124,902.4258,902.67535,902.89026,903.1231,903.31976,903.53296,903.70984,903.90454,904.2065,904.4195,904.65027,904.75775,904.8838,904.8128,904.52686,904.2225,903.9893,904.0575,904.28577,904.5133,904.6884,904.7926,904.87823,904.8558,904.8146,904.81036,905.0777,905.3825,905.6687,905.8281,905.9689,906.1097,906.32104,906.51324,906.6914,906.8932,907.08026,907.107,906.9211,906.64435,906.2721,905.9249,905.569
