forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:53+00:00,2025-11-05 00:00:00+00:00,15.124284,7.9526596,3.319036,4.5536795,3.8773184,2.5959969,2.1897945,5.3999996,6.9527545,8.78872,9.360001,8.39657,7.928177,4.829907,5.991594,7.386582,5.815978,5.5887027,6.489992,10.446206,14.24163,15.124284,12.4811535,9.255571,8.28,1.484318,9.659814,10.1887,5.4477882,13.363711,11.212135,24.735432,13.1041975,14.277983,12.538134,5.0911684,4.3349743,4.8433046,5.6233797,8.891343,5.495161,14.003028,26.099379,26.661882,24.36591,38.305763,36.871452,35.06999,41.750687,36.573235,34.51685,34.494312,31.655441,28.576382,27.21038,24.26998,14.021525,7.9932966,5.8603754,3.8939953,5.6920996,7.7879906,10.948973,9.220499,12.0694,8.311245,9.659814,7.4128532,7.072878,18.129137,25.210283,25.40743,35.747112,32.37799,31.845251,14.512064,23.683512,30.396025,34.09373,32.44996,34.404022,39.125893,40.89606,41.928795,38.84331,30.353355,19.829433,18.59845,17.935081,17.298738,17.106628,16.454008,16.394829,14.830076,14.759999,10.853866,9.693296,8.905908,7.5170207,6.9247384,6.989936,6.696387,7.2,7.9932966,7.289445,7.2,7.7879906,8.854829,9.6932955,8.891344,9.511088,8.78872,9.504273,12.879752,13.849477,13.281023,11.480557,10.233123,8.707237,7.5170207,6.638072,6.439876,7.145796,8.534353,9.028754,8.891344,8.766573,8.427383,7.5685663,7.24486,7.42159,7.5170207,7.771331,8.049845,8.049845,7.69592,6.9899354,5.937272,4.5536795,3.319036,2.968636,3.2599385,2.9024127,3.319036,4.0249224,4.896529,5.8603754,6.5693827,6.638072,6.151683,5.815978,5.2416787,5.0528407,5.0911684,5.506941,5.8603754,5.5887027,4.39436,4.0249224,5.815978,8.78872,12.496718,15.530151,18.218275,20.497883,20.94507,17.49615,13.281023
2025-11-06 01:08:31+00:00,2025-11-06 00:00:00+00:00,2.3051248,3.319036,3.671294,7.10031,12.096214,1.4399999,6.519877,7.729527,10.948973,4.3498964,9.387651,5.4477882,12.24,5.1544156,9.19939,6.4799995,4.3349743,3.319036,25.076267,30.312769,43.89048,41.348312,36.927643,34.653625,22.702845,18.58451,13.708391,9.511088,7.5942073,7.5599995,10.990322,12.783802,11.246759,13.392774,14.618837,14.973577,14.986553,14.24163,12.661564,12.496719,11.013882,9.449572,17.826363,2.5959969,7.289444,16.75064,36.890778,31.212229,24.535526,18.161278,10.233123,8.225035,8.557102,20.46941,33.48774,33.626774,34.275703,34.66858,39.72743,41.439106,41.401566,30.563978,33.818928,27.475807,23.132626,19.137648,16.595179,14.24163,12.313893,12.144331,14.917212,14.84318,13.089354,8.714677,5.8603754,4.829907,3.0547013,3.219938,3.0547013,4.072935,5.00128,4.8433046,5.95906,6.8777895,6.618519,7.7043357,8.435069,8.534353,10.086427,13.004922,13.779114,16.075521,15.379206,11.525623,6.439876,4.452954,5.4833565,6.3690495,8.209263,8.587338,9.178235,10.137692,8.766573,8.854829,8.311245,9.255571,8.707238,8.557102,7.42159,6.489992,7.072878,7.172949,5.6920996,2.968636,0.8049845,2.3051248,4.6102495,6.193674,5.3517847,4.0249224,2.9024127,1.484318,6.489992,9.693296,8.654986,5.4119864,2.9024127,3.4152596,6.618519,7.7879906,4.73506,4.379589,7.5170207,4.8965297,3.096837,3.7585104,3.0547013,13.363711,21.09305,23.773632,24.122686,22.961115,20.188908,15.575981,11.592895,7.8625183,4.73506,3.096837,3.319036,4.3349743,4.8433046,4.829907,5.8048253,6.9527545,6.725354,5.771239,4.802999,3.219938,1.9386592,2.4149535,3.396233,4.6800003,5.4833565,6.12,6.989936,7.7043357,7.9932966,7.5942082
2025-11-07 01:06:04+00:00,2025-11-07 00:00:00+00:00,16.965895,16.418526,15.716793,12.496718,10.739832,10.636766,9.659814,3.096837,4.3498964,4.802999,4.8433046,8.404285,10.805998,5.4477882,11.720751,10.144082,7.208994,10.195057,6.28713,7.5942073,34.03476,32.33193,13.608762,11.753877,6.1305785,11.570515,16.485485,16.746773,12.43434,11.91812,27.345785,24.40046,27.682571,33.092598,33.493546,33.518684,34.322937,30.589407,28.84047,28.496904,32.76791,26.987997,34.875435,17.298738,17.727943,15.496736,12.224107,8.714677,8.427383,5.815978,4.8965297,2.9024127,2.6208394,3.6,3.6,3.8268526,4.0249224,3.396233,4.6800003,4.3498964,4.6938257,4.072935,5.1165614,6.193674,6.989936,9.504272,10.00256,10.829958,10.464797,9.885262,10.703569,10.703569,10.44,8.913181,8.39657,10.028439,10.495713,10.028439,10.308831,9.531505,8.473393,8.311245,7.5942073,7.69592,6.9899354,7.5942073,6.9899354,6.519877,5.1544156,4.39436,7.42159,13.324863,16.563911,12.313894,9.504273,7.6367526,7.386582,4.379589,0.8049845,6.8777895,6.519877,12.371645,13.684735,8.28,6.6087217,8.404285,7.5942082,6.489992,5.2416787,6.193674,5.1919937,4.6938252,17.238699,26.867676,34.04808,36.04497,34.449196,31.056128,26.459387,20.073025,14.20062,8.699793,3.6,2.1897945,2.3051248,2.5455842,3.219938,3.2599385,3.219938,4.072935,4.3349743,4.6102495,4.6102495,5.1165614,5.3999996,5.904439,6.4096174,6.638072,5.8603754,3.563818,0.8049845,2.5455842,4.379589,5.95906,6.696387,4.8965297,3.219938,5.315336,6.763786,7.5685663,7.8954163,8.311245,8.707238,8.647496,7.5942073,5.5887027,4.829907,5.315336,6.12,6.28713,4.5536795,2.5455842,1.609969,1.1384199,1.1384199,1.1384199,1.1384199,1.8
2025-11-08 00:59:52+00:00,2025-11-08 00:00:00+00:00,11.013882,14.154915,18.03237,17.84816,20.00512,18.59845,15.192682,24.703976,30.659237,32.86861,33.043606,33.971867,33.1845,29.784426,23.188583,22.870626,29.354904,31.311722,32.846916,35.261627,34.2,31.950888,30.589407,22.79684,13.627795,10.105681,7.6367526,6.379216,3.9763298,1.9386592,9.885262,7.5685663,2.8799999,1.9386592,4.3498964,4.1046314,4.8433046,5.3517847,4.1046314,5.8048253,7.2359104,8.669949,5.771239,14.081477,13.479583,13.104198,12.261157,10.948973,11.480557,9.449572,9.585739,9.290511,10.948973,11.435313,11.609651,11.298495,10.137692,9.6932955,9.255571,8.905908,9.255571,9.255571,9.9571085,8.350138,5.8048253,6.4799995,5.0528407,2.6208394,0.71999997,6.6087217,5.8603754,2.0991426,6.151683,6.519877,5.0911684,5.6002855,7.5685663,2.0991426,4.6938257,4.802999,6.439876,8.209263,10.296251,15.9134655,14.007655,9.826088,9.0,8.311245,13.896187,19.61587,21.479664,26.87491,29.853966,31.394394,26.434887,23.688984,18.709612,6.830519,6.1094027,3.6179552,5.3517847,2.5455842,3.219938,2.5455842,1.8,2.4149535,3.5455887,2.5959969,3.7064266,4.3349743,5.1165614,6.8777895,7.145796,7.653705,8.714677,8.4963045,7.7043357,6.989936,6.12,5.2416787,4.802999,4.6938257,5.692099,7.0911775,8.089993,8.427383,8.766573,8.766573,7.968939,7.628263,7.289444,6.489992,6.151683,6.151683,6.379216,5.5887027,2.8799999,1.835647,3.396233,2.6208394,5.3517847,7.9526596,7.92,6.87779,6.162207,6.489992,7.5599995,8.825508,11.269782,14.84318,18.335276,22.104116,25.567604,26.121714,21.897945,14.81259,8.854829,5.3999996,6.2145634,7.928178,12.984975,25.772078,36.324337,39.96,40.537983,39.985935,38.90832,36.55906
2025-11-09 01:05:30+00:00,2025-11-09 00:00:00+00:00,11.440978,11.4862,7.072878,2.8116899,6.9153743,9.693296,7.9932966,5.1165614,4.6102495,6.9153743,4.1046314,1.609969,0.5091169,1.835647,3.8268526,4.829907,6.28713,9.3669195,5.0142193,1.484318,1.2979984,1.609969,0.8049845,4.198285,7.8954163,11.753876,9.585739,10.144082,9.346143,9.021574,11.525623,10.086427,10.883676,11.200571,13.237038,12.496718,10.685391,11.4862,11.298495,9.885262,7.24486,6.193674,3.319036,4.6800003,1.9386592,2.3051248,5.4477882,2.0364676,4.6938252,3.9763298,7.2805495,8.0899935,3.9763298,5.1919937,5.8048253,5.0142193,3.6179552,5.95906,13.37825,17.555305,11.620809,11.609651,11.525623,7.8625183,9.659814,26.36616,28.296091,30.993471,29.59235,27.169865,24.766848,15.782622,9.6932955,7.5942073,5.8048253,1.609969,3.7064266,4.5820518,4.8433046,5.991594,6.3690495,6.638072,7.42159,6.193674,6.4096174,6.792466,6.6087217,7.386582,5.0911684,6.3690495,4.8965297,3.8773184,1.609969,3.219938,3.4152596,3.671294,4.452954,5.315336,7.145796,7.729527,7.968939,8.707237,8.891344,9.255571,9.885262,10.308831,9.531505,9.531505,9.693296,10.24578,9.504273,9.346143,7.9932976,10.308831,13.779114,14.986553,16.1198,16.375053,15.484185,13.392774,12.181624,12.72283,14.241629,15.39184,14.408997,12.864649,11.770403,12.10157,12.522619,12.979984,11.592894,11.792404,12.261157,23.042812,45.0,55.780254,42.771877,25.233406,28.165257,32.59939,32.726357,30.599998,26.576681,20.870687,16.808569,16.08761,23.452555,29.301878,24.84,15.226764,8.089993,5.0142193,3.2399998,3.0758414,3.319036,5.6233797,7.145796,6.193674,4.3498964,3.0758414,3.219938,4.39436,5.991594,11.609651,19.852295,23.675303,18.345877,9.726664
2025-11-10 01:09:44+00:00,2025-11-10 00:00:00+00:00,6.6087217,9.931042,11.200571,9.531505,11.709688,12.261157,10.883676,10.799999,12.7279215,12.682018,9.021574,10.009036,9.585739,9.693296,9.511088,10.805998,10.086427,6.489992,9.504273,5.2416787,5.506941,2.0991426,2.9024127,9.339208,5.991594,3.396233,6.12,4.510787,4.3349743,3.396233,15.226764,13.392774,6.5693827,4.802999,10.514218,9.422101,6.924738,8.225035,8.435069,6.638072,4.5536795,17.566378,16.299694,19.694992,21.38897,26.758923,23.358425,13.324863,8.669949,5.3999996,1.1384199,4.6938257,5.692099,7.10031,6.792466,9.085988,10.163227,10.1887,8.891343,7.928177,7.289445,6.989936,8.0899935,6.9247384,6.130579,5.00128,1.609969,1.9386592,6.519877,8.089993,4.8965297,7.0911775,6.297428,5.771239,5.3999996,7.0911775,8.557102,8.891343,7.8954163,7.8625183,8.654986,8.699793,8.225035,7.968939,7.771331,6.725354,8.427383,8.557102,7.072878,7.69592,8.427383,8.699793,9.19939,9.504273,9.0,10.315115,11.090103,11.4862,11.792404,10.966713,12.10157,13.1041975,15.315873,15.94601,13.202726,15.379206,17.873554,16.862455,10.163227,7.5685663,30.0767,19.134262,17.935081,16.595179,16.919998,17.057314,17.163355,16.343367,15.137133,14.707222,14.618837,13.608762,12.43434,12.371645,12.979984,13.684735,14.05845,14.205182,14.241629,13.779114,11.966954,9.3876505,8.049845,7.5685663,7.9932966,9.178235,14.113653,23.73271,30.918108,31.92654,30.007679,26.486313,21.67487,16.075521,10.990322,7.8625183,7.072878,7.42159,6.6087217,6.162207,6.28713,6.725354,7.42159,7.69592,8.12197,8.473393,8.557102,8.654986,8.311245,7.968939,7.771331,7.5942073,7.928178,8.825508,10.829958,12.24,12.7279215,12.413477
2025-11-11 01:03:33+00:00,2025-11-11 00:00:00+00:00,5.0142193,10.195057,14.84318,16.485485,12.72283,12.074766,9.255571,16.1198,16.179985,8.4963045,14.773164,15.575981,14.982228,7.42159,7.289444,2.8116899,1.835647,17.208603,19.008545,17.884428,16.29174,16.563911,17.884428,12.397806,10.1376915,6.489992,11.304229,4.68,3.8939953,6.618519,7.6367526,10.685391,11.609651,10.464797,9.511088,9.178235,9.0,10.44,12.496718,11.681987,7.145796,9.605998,2.8116899,4.5536795,4.198285,6.9527545,7.491114,6.989936,4.6800003,5.495161,6.4096174,7.0911775,8.217153,8.39657,8.854829,8.891344,8.669949,8.049845,6.9899354,7.42159,8.311245,8.4042845,8.759178,8.654986,7.771331,7.92,8.854829,6.638072,2.2768397,2.968636,6.792466,12.682018,13.237038,13.53236,13.138765,12.074766,11.841756,11.631956,11.620809,9.826088,6.849467,6.8399997,5.815978,6.87779,9.6932955,10.948973,9.107359,9.3876505,5.506941,0.35999998,5.4833565,11.165805,15.542662,14.081478,11.592895,12.594856,9.511088,2.968636,1.2979984,3.096837,7.7043357,8.373386,9.114471,7.754637,5.1919937,6.162207,3.671294,6.1305785,6.9899354,5.2416787,4.510787,3.671294,4.802999,8.209263,12.599998,12.475961,11.119281,9.6932955,8.311245,6.2145634,4.0249224,1.484318,5.0911684,8.28,9.0,7.928178,7.2359104,6.924738,6.5693827,6.28713,6.28713,5.937272,6.28713,7.072878,8.557102,8.905908,8.350138,7.208994,5.937272,4.6938257,3.8773184,3.671294,3.6,5.04,5.6920996,4.1046314,2.968636,4.8965297,6.6087217,7.729527,8.373386,8.373386,7.8954163,7.42159,6.9527545,6.830519,6.28713,5.771239,5.4477882,4.510787,3.6179552,7.145796,10.296251,11.119281,10.703569,10.483357,9.904906,8.891343
2025-11-12 01:05:18+00:00,2025-11-12 00:00:00+00:00,3.563818,10.691453,10.829958,3.9763298,0.71999997,7.5942082,7.289445,10.883676,11.720751,8.891343,7.5942082,8.4963045,8.942214,8.78872,7.7879906,10.195057,4.8433046,4.452954,2.5959969,1.9386592,6.9899354,4.2136917,1.9386592,5.6233797,9.885262,11.525623,9.227524,8.287822,6.696387,7.491114,11.988594,13.513193,14.77755,15.629971,14.81259,13.684735,13.237038,14.05845,13.551501,12.496718,11.988594,7.42159,13.441071,15.827721,24.033876,22.461807,17.906157,10.296251,7.6367526,14.039999,15.141414,15.2947035,14.512064,14.48972,15.042659,14.84318,15.716793,14.458382,13.32,15.034041,18.511143,15.517629,11.901798,10.823973,7.69592,32.854805,32.28981,29.414444,31.394394,27.086262,28.146843,28.348713,21.915693,12.57426,9.511088,23.358425,19.296135,17.826363,17.057314,14.372974,10.495713,8.766573,7.9526596,8.287822,9.693296,9.021574,8.404285,8.4963045,10.009036,9.085988,6.989936,6.151683,7.8954163,7.653705,10.464797,11.988594,8.587338,6.9247384,7.145796,5.904439,7.145796,7.145796,5.904439,3.2599385,2.9024127,2.16,1.5273507,2.5455842,4.3349743,6.1305785,6.6185193,5.6920996,5.991594,8.534353,8.587338,10.514218,12.496718,13.608762,13.905509,15.484185,16.75064,15.137133,13.009903,11.298495,8.0899935,3.5455887,1.2979984,1.9386592,2.5959969,3.096837,4.452954,6.130579,6.924738,5.506941,2.968636,1.1384199,3.319036,6.618519,9.1641035,9.673221,9.422101,9.422101,11.212135,13.104198,14.4,13.783817,11.988594,11.090103,10.799999,11.212135,10.948973,10.182337,8.669949,7.7043357,6.792466,5.95906,5.3517847,4.896529,4.2136917,4.0249224,4.1046314,4.5820518,4.39436,3.4152596,3.0758414,3.8268526,5.1919937,6.297428
2025-11-13 01:22:54+00:00,2025-11-13 00:00:00+00:00,11.200571,11.457958,8.699793,9.449572,10.685391,10.086427,11.457958,11.212135,12.979984,11.720751,13.217443,11.384198,12.4811535,12.4811535,11.298495,11.119281,9.726664,3.8268526,5.0142193,0.71999997,3.7064266,2.6208394,1.835647,8.209263,12.738099,12.387348,12.387348,14.57889,14.20062,12.287555,14.081477,15.021105,18.440998,19.453327,17.673029,17.595861,16.489416,13.0447235,17.713316,18.075441,14.654254,11.753876,12.218805,25.171696,21.605999,23.023119,22.702845,16.563911,13.896187,11.304229,9.885262,7.10031,23.469128,10.195057,7.10031,11.212135,10.587918,8.669949,10.514218,12.031756,8.404285,10.739832,10.587918,9.504272,8.557102,5.3517847,7.9526596,10.799999,10.594036,11.966954,10.195057,9.085988,11.212135,10.44,10.44,10.44,10.799999,12.096214,11.525623,9.693296,9.449572,8.714677,7.386582,6.638072,6.638072,5.8603754,5.904439,5.692099,5.3999996,6.792466,4.379589,6.638072,7.928177,6.8777895,7.2359104,10.239453,11.659777,15.273505,13.202726,10.739833,7.5170207,3.8773184,2.2768397,4.5536795,1.9386592,2.968636,4.198285,7.9036193,11.013882,12.6462,9.3669195,6.830519,6.9527545,6.6185193,6.830519,6.9899354,7.5685663,7.5942073,6.9899354,5.815978,5.00128,4.198285,3.396233,2.3051248,1.835647,2.5959969,3.563818,4.072935,4.072935,4.072935,3.8268526,3.096837,2.6208394,3.0758414,4.5820518,6.1305785,6.618519,7.2,7.24486,6.28713,5.771239,5.5887027,5.771239,6.830519,7.9036193,8.39657,8.217153,7.9036193,7.491114,6.9153743,6.1094027,5.0911684,4.072935,2.8116899,1.8,0.5091169,0.8049845,2.7416782,4.5536795,5.3517847,4.3498964,2.3051248,1.484318,2.52,3.6179552,4.3349743,3.671294,2.8116899
2025-11-14 01:05:45+00:00,2025-11-14 00:00:00+00:00,14.773164,14.255272,13.513193,15.192682,15.408671,14.336861,12.984975,18.0,19.272614,19.008545,18.278645,18.11841,13.783817,13.584932,12.538134,14.773164,12.538134,10.00256,24.569832,31.035257,24.717085,15.7908325,19.0392,14.561099,20.883102,15.281989,15.745627,19.602652,19.586117,6.9247384,2.1897945,3.0758414,3.7064266,6.4096174,6.9153743,7.072878,8.669949,7.928177,4.896529,2.8116899,2.0364676,1.1384199,1.609969,2.6208394,2.2768397,7.9932976,14.081478,7.5685663,3.319036,10.315115,6.725354,8.891344,8.669949,8.39657,9.178235,7.289445,6.763786,6.193674,6.297428,6.379216,6.6087217,7.289445,7.24486,7.0911775,9.793059,16.055355,18.584509,19.09358,19.881649,19.296135,19.083395,17.287498,12.864649,14.578888,17.10284,16.1198,14.986553,10.636766,7.9932966,6.439876,4.32,7.6367526,8.311245,6.489992,4.32,3.0547013,2.9024127,3.0547013,3.219938,3.0758414,3.0547013,4.3349743,4.829907,5.1165614,5.8048253,8.647496,10.661107,11.874544,9.6932955,7.628263,7.628263,7.24486,7.5942082,5.904439,4.6102495,4.198285,4.1046314,3.96,2.968636,1.8,0.8049845,0.5091169,1.4399999,3.396233,4.6800003,5.315336,5.495161,5.8603754,6.6087217,7.8625183,8.707238,7.9526596,6.162207,4.3349743,3.319036,3.319036,3.8773184,3.9763298,3.9763298,3.671294,2.9024127,2.5959969,3.319036,2.6208394,1.5273507,1.1384199,1.8,2.968636,3.6179552,2.1897945,0.8049845,2.6208394,3.319036,4.3349743,5.3999996,5.692099,5.1919937,4.829907,5.1544156,6.489992,7.289444,8.161764,10.144082,11.841756,11.770403,11.090103,10.44,9.585739,8.854829,9.227524,11.298495,14.168641,16.299694,17.10284,16.923828,16.299694,15.408671,14.529915
