forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:23:04+00:00,2025-11-05 00:00:00+00:00,2.0310001,0.8809999,0.181,-0.219,-0.269,-0.269,-0.169,0.181,0.281,0.43100002,0.48099998,0.73099995,0.8809999,1.431,2.181,3.681,5.881,8.181001,10.231,11.431001,12.431001,12.231,12.281,11.031,9.731,9.481,9.831,10.481,10.1310005,9.231,7.6809998,7.331,6.231,6.131,5.9309998,5.881,4.981,4.7809997,4.4309998,4.7809997,5.381,5.2809997,5.831,9.2275,9.0775,9.1275,8.4275,7.9275,6.4275,5.3775,4.6775,4.1275,3.8775,3.7275,3.4775,3.5275,2.9775,1.3774999,1.4775,1.4775,1.8774999,2.4275,2.7275,5.3275,6.3775,7.5275,9.7775,8.3775,8.2775,7.7775,7.4775,5.4775,4.1275,3.9775,1.9275,0.47750002,-0.67249995,-1.8225,-2.5225,-2.8725,-3.2225,-3.4725,-3.5225,-3.4725,-3.3725,-3.5225,-3.9724998,-3.9724998,-3.1725001,-2.0725,-1.1225001,-0.3725,0.2275,0.5775,0.9275,-0.3225,-2.9225001,-2.9725,-1.9725001,-2.1225,-1.9725001,-1.7225001,-1.7225001,-2.4225001,-2.2225,-2.1725001,-2.1225,-2.5725,-2.3225,-2.2225,-2.6725001,-1.9725001,1.3774999,2.8775,3.6275,4.6775,5.3275,5.2275,3.9275,1.9275,0.5775,0.6275,1.3774999,2.0275,2.3274999,2.5275,2.7275,2.8775,2.9275,3.0275,3.0774999,3.1275,3.3274999,3.7275,4.2275,4.9775,6.0775,7.4275,8.5775,9.5275,10.3275,10.8275,10.8775,10.5775,10.2275,9.7775,9.2775,8.9775,8.9275,9.0775,9.3275,9.7275,10.1775,10.4275,10.3275,9.9775,9.4775,8.5275,7.3775,7.1775,8.6775,11.1275,13.0775,14.1775,14.7775,14.6775,13.4775,11.5275
2025-11-06 01:08:47+00:00,2025-11-06 00:00:00+00:00,8.281,7.4309998,9.031,7.731,3.2810001,3.331,4.731,5.881,4.981,4.481,4.131,4.231,4.6809998,4.631,4.2809997,4.0309997,5.231,5.2809997,5.4309998,5.631,5.881,6.381,6.2809997,5.5309997,5.131,4.6809998,3.381,2.9810002,3.381,3.2310002,3.2810001,3.831,3.2310002,3.9810002,5.081,5.481,5.581,5.881,5.5309997,5.131,5.731,5.4309998,5.581,7.8775,7.4775,7.1775,5.3275,5.0275,3.9275,3.6275,3.2275,3.4775,2.4275,0.9775,-1.5225,-2.9225001,-3.7725,-4.0725,-4.3725,-4.4725,-4.4725,-4.6225,-4.8725,-4.6225,-4.0225,-3.4225001,-2.8725,-2.8725,-2.3225,-1.9225001,-1.9225001,-2.2725,-5.0225,-6.0225,-5.6225,-5.7725,-5.0725,-5.2725,-5.5225,-5.1725,-5.3725,-5.4725,-5.1225,-5.0725,-4.6725,-4.9225,-4.4225,-3.3725,-0.5225,1.4275,2.5275,3.0774999,3.5275,3.6275,2.9775,1.6775,-0.072500005,0.2775,0.82750005,1.5775,2.1775,2.5275,2.6775,2.9775,3.1275,3.4275,3.8775,4.4775,4.6775,4.7775,5.0775,5.6775,6.6275,8.9275,10.6775,11.2775,11.4275,11.3275,10.8775,10.1775,9.9275,10.6775,11.8275,12.3775,11.6775,10.3775,9.2775,8.7275,8.4275,8.1775,7.8775,7.6275,7.5275,7.5775,7.7775,8.2275,9.0275,10.0275,10.8775,11.5775,12.0775,12.0275,11.0275,9.4775,8.1775,7.5775,7.2275,6.9275,6.5275,6.1275,5.6275,5.0275,4.3775,3.6775,2.8775,2.0775,1.5274999,1.3275,1.4275,1.9775,3.2275,4.9275,6.2775,6.9775,7.3275,7.3275,6.9775,6.2775
2025-11-07 01:06:19+00:00,2025-11-07 00:00:00+00:00,6.7809997,6.131,5.381,4.5309997,4.4309998,4.631,3.631,3.2310002,2.431,2.081,2.081,1.731,1.9810001,3.5310001,4.231,4.9309998,4.7809997,4.831,5.981,6.2809997,6.581,6.231,5.881,5.081,4.331,3.7810001,3.2810001,2.7810001,2.381,2.081,1.9810001,1.9309999,1.181,0.381,-0.269,-1.169,-2.2189999,-2.4689999,-1.319,-0.919,0.331,0.63100004,0.63100004,0.2275,1.4275,2.9275,2.4275,0.52750003,-1.6725,-1.9225001,-2.4225001,-2.5225,-2.6225,-2.6725001,-3.1225,-3.2725,-3.3725,-3.3725,-3.3725,-3.3225,-3.3225,-2.9225001,-3.0725,-2.4225001,0.47750002,2.1275,2.6775,3.1275,3.4275,3.4775,2.8775,1.7275,0.47750002,1.1274999,1.4775,2.0775,2.7275,3.0275,3.0774999,3.1775,3.3274999,3.3775,3.6775,4.2275,4.5275,5.0275,5.2775,5.8775,7.0775,7.2275,7.5775,7.3775,8.4775,9.0775,9.5775,11.9275,13.8775,11.8275,10.7775,10.2275,10.0775,9.8275,9.6275,9.7275,9.3775,8.7775,8.3275,8.0775,7.5275,6.6275,5.3275,5.3275,7.2275,8.4775,9.6275,10.2775,10.4775,10.1275,8.9275,7.2275,5.8275,5.1275,4.7775,4.4775,4.2275,4.0775,3.9775,3.8775,3.8274999,3.8274999,3.8775,3.9775,4.0775,3.9775,3.8775,4.1275,5.0275,6.2275,7.2775,7.9775,8.4775,8.5775,7.9775,6.9275,6.0275,5.3775,4.8775,4.5275,4.4775,4.5775,4.6775,4.6775,4.6775,4.6775,4.6275,4.5775,4.5775,4.4775,4.4275,4.9775,6.5275,8.6775,10.5775,12.1775,13.5775,14.3275,14.0275,13.1275
2025-11-08 01:00:16+00:00,2025-11-08 00:00:00+00:00,2.431,0.931,0.48099998,0.63100004,0.781,0.581,-0.36900002,-1.269,-1.969,-2.419,-2.369,-1.919,-1.669,-2.669,-3.0189998,-2.7189999,0.081,1.6309999,2.431,3.681,4.2809997,4.481,4.1809998,3.331,0.931,-0.419,-1.169,-1.6190001,-1.669,-1.819,-1.969,-1.769,-1.6190001,-1.219,-1.269,-1.219,-1.319,-1.169,-1.169,-1.269,1.031,5.0309997,6.981,5.7775,6.4775,5.8775,5.3275,3.7775,2.3274999,2.6775,2.9775,3.4275,4.0775,4.6275,4.9775,4.9275,5.3275,6.0775,6.6275,6.5275,6.6275,6.4775,6.4775,8.0275,10.4775,10.6775,11.0775,11.4775,11.6275,11.7775,11.8775,12.4275,11.4275,13.3275,12.9775,12.1775,11.0775,9.3775,9.5775,9.5275,9.1275,8.3275,7.4275,5.2275,4.9275,5.2775,6.7775,7.4275,8.4275,9.7775,10.3775,10.6775,10.6275,10.3775,9.3775,7.8275,5.3275,4.5275,4.1275,3.9275,3.6275,3.4275,3.2275,2.9275,2.4775,2.2275,2.3274999,2.5275,2.4275,2.3274999,2.0275,2.6275,4.1775002,5.5275,6.5775,7.5275,8.2775,8.4275,7.5775,6.1775,5.0275,4.4275,4.1275,4.0275,4.1775002,4.5275,4.7775,4.7775,4.6275,4.5775,4.6275,4.7275,4.9775,5.3275,5.8275,6.6775,8.2775,10.2275,11.8775,12.8775,13.5275,13.9775,14.3275,14.4775,14.3275,13.7275,12.8775,12.1775,11.8775,11.7775,11.7275,11.9275,12.1775,12.0775,11.1275,9.8275,9.0775,9.4775,10.4275,11.3275,11.9775,12.5275,13.0275,13.4775,13.8275,13.8775,13.4775,12.8275
2025-11-09 01:05:40+00:00,2025-11-09 00:00:00+00:00,1.6309999,0.781,0.43100002,0.231,0.13100001,-0.36900002,-0.319,0.181,-0.86899996,-1.069,-0.319,-0.169,-0.519,-1.3690001,-1.119,-1.419,2.131,6.231,7.731,8.331,8.8810005,9.281,9.431001,7.831,5.481,5.331,5.631,5.9309998,6.381,7.0309997,7.4309998,7.581,7.381,6.9309998,7.131,7.731,7.581,7.5309997,7.731,7.9809995,9.831,12.831,14.481,12.4275,12.1275,12.3275,12.6275,12.8775,12.1275,10.7775,11.6275,12.3275,11.6275,9.5775,8.7275,7.9275,6.7275,5.6275,4.9275,4.0775,4.3775,5.1775,5.5275,6.8775,8.1775,9.2275,10.3775,11.1775,11.5275,11.3275,10.9275,9.6275,6.6775,5.7275,5.1775,4.9275,4.6775,4.4275,4.1775002,4.0775,4.4775,4.4775,4.0775,3.5774999,3.3775,3.2775,3.5774999,3.9775,5.9275,7.7275,8.8775,9.6775,10.3775,10.8775,10.1775,8.2775,6.6275,6.3275,6.3275,6.4775,6.4775,6.1275,6.1775,6.5775,6.8275,7.0775,7.0275,7.1275,7.1775,7.1275,7.0775,7.5275,9.5275,11.7775,14.0775,15.1775,15.6775,15.5775,14.4775,12.7775,11.4775,11.0775,11.0275,11.0275,10.8275,10.6275,10.5775,11.0275,11.6775,11.7275,10.8775,9.4775,7.8775,5.9275,3.7775,2.2775,1.9275,2.1775,2.5275,2.8775,3.2775,3.3274999,2.7275,1.7774999,0.9275,0.32750002,-0.22249998,-0.8725,-1.7225001,-2.6225,-3.3725,-3.7225,-3.8725,-4.0725,-4.3725,-4.7225,-4.9225,-5.0225,-5.0225,-4.5725,-3.4725,-1.9225001,-0.6225,0.3775,1.2275,1.6274999,1.3774999,0.7275
2025-11-10 01:10:06+00:00,2025-11-10 00:00:00+00:00,6.6809998,6.6809998,7.081,7.881,8.281,8.331,8.281,8.081,8.081,8.231,7.931,7.631,7.381,8.031,8.181001,8.1310005,11.081,12.8810005,14.6310005,14.831,14.6310005,14.331,13.981,13.281,11.731,11.181001,9.831,7.931,6.981,6.581,6.381,6.231,5.9309998,5.231,4.6809998,4.1809998,3.5310001,3.081,2.7310002,3.2310002,5.881,7.2809997,7.931,9.9775,10.2775,10.2275,9.7775,8.3775,5.4775,4.7275,4.5775,4.5775,4.1275,4.1775002,3.9275,4.1275,4.5275,4.6275,4.5775,4.2275,4.3275,4.1775002,3.8775,4.7275,6.3775,8.1775,9.3275,9.6775,9.9775,10.4275,10.4775,9.5275,7.6775,6.2775,6.7275,6.6775,7.3775,7.4275,7.4775,7.5275,7.5775,7.7275,7.8775,7.9275,7.8275,7.8775,7.9275,8.5275,11.1275,13.8775,15.5275,16.4775,16.7775,16.4775,15.6775,13.3275,11.2275,11.2775,11.1275,10.9775,10.6775,10.8275,11.1775,10.6775,10.3275,8.7775,5.6775,4.3775,3.8775,4.1275,4.0275,3.8274999,4.1275,4.8775,5.3775,5.6275,5.7275,5.5275,4.9275,4.0775,3.2275,2.4775,1.7275,1.0775,0.6275,0.2275,-0.1725,-0.72249997,-1.3725001,-1.9725001,-2.5725,-3.1725001,-3.6225,-3.9724998,-4.2225,-3.9225001,-2.7225,-1.0225,0.47750002,1.6274999,2.5275,2.8775,2.3274999,1.2275,0.3775,0.17750001,0.2275,0.2275,-0.022499993,-0.3225,-0.5225,-0.5725,-0.5225,-0.47249997,-0.47249997,-0.47249997,-0.42249995,-0.42249995,-0.3225,0.17750001,1.5274999,3.3274999,4.8775,6.1775,7.2775,7.5275,6.2275,4.0275
2025-11-11 01:03:44+00:00,2025-11-11 00:00:00+00:00,13.181001,13.081,11.8810005,10.031,8.081,6.831,5.831,5.231,4.9309998,4.581,4.481,4.331,4.081,4.231,4.231,4.381,5.5309997,6.231,7.4309998,8.681001,9.531,9.931001,9.831,8.581,6.231,5.131,4.381,3.8810003,2.881,2.831,3.0310001,2.831,2.2310002,2.431,2.2810001,2.681,3.381,3.8810003,4.481,5.331,6.9309998,7.881,8.8810005,8.7275,9.5775,9.4775,9.4275,8.2775,6.3275,5.7275,5.8275,6.0775,6.5275,7.2275,7.5275,7.1775,6.9275,7.0775,7.0775,7.2275,7.3775,7.4775,7.5775,8.0775,10.2775,12.5775,14.1775,15.1275,15.7275,15.8275,15.6275,13.6275,12.2275,12.4775,12.7775,12.3275,12.1775,11.8275,11.5275,11.4275,11.3775,10.7775,10.6275,10.5275,10.3775,9.8775,9.6275,9.7775,10.7275,11.6275,12.0775,12.2275,12.6775,12.8775,12.7275,11.9275,9.7775,8.6275,7.8275,8.0275,7.0275,6.4275,6.1275,5.4775,5.3775,4.9775,4.7775,4.0775,3.6275,3.3274999,2.3775,2.5774999,4.5775,5.5775,7.2275,8.4275,9.3775,9.6775,9.0275,7.7775,6.5775,5.5775,4.6275,3.9775,3.7275,3.7275,3.8274999,4.1275,4.4775,4.7275,4.6275,4.3275,4.1775002,4.0775,4.0775,4.5275,5.6775,7.2275,8.6275,9.7775,10.7275,11.0275,10.1275,8.5275,7.2275,6.5775,6.2275,5.9275,5.5775,5.3275,5.0775,4.9275,4.8275,4.6775,4.3775,4.0275,3.5275,2.7775,1.9275,1.4775,1.8774999,2.6775,3.1775,2.9775,2.4775,1.9275,1.3275,0.6275
2025-11-12 01:05:30+00:00,2025-11-12 00:00:00+00:00,8.1310005,7.331,5.7809997,4.9309998,4.9309998,4.7809997,4.381,3.7810001,3.181,2.9810002,2.2810001,2.7810001,3.431,2.4810002,3.0310001,3.581,5.1809998,6.881,9.281,10.181001,10.781,10.731,10.8810005,9.181001,7.581,7.5309997,7.081,6.9309998,6.4309998,6.481,6.7809997,6.6809998,6.481,6.381,6.1809998,5.831,5.6809998,5.7809997,5.9309998,6.5309997,8.731,11.531,13.531,15.0275,17.1275,17.077501,16.5275,15.5275,13.6275,12.5275,11.8775,11.7775,11.6275,12.6775,12.8275,12.3275,12.0775,12.8275,12.9275,12.2275,11.8775,12.1275,12.4275,12.5775,12.6775,10.8775,10.6275,10.2275,10.6275,10.5775,10.3275,9.5775,8.2775,7.9275,7.4275,7.0275,6.8275,6.7775,6.6775,6.2775,6.0775,6.0775,4.9275,3.7775,3.1775,2.5774999,2.3775,1.8275,2.8274999,3.7275,4.7775,5.0775,5.3775,5.6775,5.2775,4.4775,3.9775,4.0775,3.9775,3.6775,3.4775,2.6275,2.5275,3.4775,3.6775,3.4775,3.6775,3.7775,3.9275,2.5275,2.0275,2.7275,4.0275,4.3275,4.3775,4.9775,5.5275,5.6775,5.1775,4.2775,3.5774999,3.2275,3.0275,2.8775,2.8775,2.9275,2.8274999,2.4275,1.8275,1.4275,1.3275,1.3275,1.3275,1.0275,0.6775,1.0275,2.6275,4.8775,6.5775,7.3275,7.5775,7.3775,6.4275,5.0275,4.0775,3.9775,4.2775,4.6775,5.0275,5.4275,5.8275,6.1775,6.4775,6.7275,6.9275,7.1275,7.1775,6.9275,6.5275,6.5275,7.3275,8.5275,9.2275,9.0775,8.4775,7.3275,5.3275,2.8274999
2025-11-13 01:23:06+00:00,2025-11-13 00:00:00+00:00,7.5309997,6.831,6.5309997,6.581,7.1809998,7.131,7.231,7.381,7.631,5.9309998,6.731,6.881,6.5309997,6.4309998,6.5309997,6.831,9.081,11.731,13.481,15.431001,16.230999,16.681,16.130999,14.731,13.181001,12.781,12.781,13.3810005,13.181001,13.1310005,13.231,13.081,12.781,12.681001,12.231,11.581,11.581,11.581,11.031,11.031,12.181001,10.6310005,9.281,10.0775,11.7275,11.8275,10.8275,10.0275,7.8275,6.4275,5.9275,5.0275,5.1275,3.8775,2.2775,1.4775,1.3774999,1.2774999,1.0275,1.4275,0.77750003,0.82750005,1.3774999,1.7774999,1.9775,2.6275,3.5275,4.0275,4.4775,4.9775,5.1275,4.4775,2.6275,2.1775,1.8275,1.4275,1.2774999,1.3774999,1.8275,2.8274999,3.2775,3.3775,2.8274999,2.3775,1.7774999,1.6274999,1.5775,2.4775,3.1775,4.0275,4.8775,5.8275,6.3275,6.6775,6.7275,5.6775,4.5275,3.6275,2.9275,2.5774999,2.2275,1.7275,2.0275,1.5274999,1.4775,1.4275,1.1775,0.7275,0.1275,0.1275,0.2275,0.2775,0.82750005,1.5775,1.7774999,2.0775,2.1775,2.1275,1.6775,1.0275,0.47750002,0.1275,-0.1725,-0.3725,-0.47249997,-0.5225,-0.5725,-0.67249995,-0.82249993,-0.92249995,-1.0725,-1.2225001,-1.2725,-1.3225,-1.3225,-1.0225,-0.1725,0.9775,1.9775,2.8274999,3.5774999,3.8775,3.4275,2.5275,1.7275,1.2774999,0.9275,0.7275,0.6275,0.6275,0.6275,0.6275,0.6275,0.5775,0.4275,0.17750001,0.0775,-0.022499993,0.027500004,0.47750002,1.7275,3.3775,4.7275,5.6775,6.3275,6.4275,5.6275,4.2275
2025-11-14 01:05:58+00:00,2025-11-14 00:00:00+00:00,16.581,16.581,16.230999,15.531,14.8810005,14.081,13.331,13.031,12.831,12.1310005,11.831,12.231,11.581,10.281,7.381,6.9309998,7.1809998,6.981,7.731,7.4309998,7.631,6.0309997,5.581,4.981,4.0309997,3.831,3.081,3.381,3.5310001,3.581,3.831,4.0309997,4.081,4.0309997,3.931,3.9810002,4.131,4.2809997,4.481,4.731,5.1809998,5.5309997,5.881,6.6275,7.0275,7.5775,7.9275,7.9275,5.3275,4.7275,4.5775,4.5275,4.4275,4.1275,4.4275,4.1275,3.7775,3.0275,2.3775,2.3775,2.4775,2.6275,2.6275,2.8775,4.5275,6.1775,7.4775,8.3275,8.4775,8.2275,7.6275,6.3275,3.9775,3.1775,3.1275,3.0774999,3.0774999,3.4275,3.7275,3.0275,2.1275,1.6274999,1.2774999,1.0775,0.9275,1.1274999,0.6775,0.3775,1.8275,2.9275,3.4275,3.7275,3.3775,2.9775,2.3274999,1.4775,0.82750005,0.52750003,0.5775,0.52750003,0.2275,0.1275,0.027500004,0.027500004,0.0775,0.1275,0.17750001,0.2775,0.32750002,0.4275,0.47750002,0.6275,1.0775,1.8275,2.5774999,3.1275,3.5275,3.6275,3.1275,2.3274999,1.6775,1.3774999,1.2275,1.1274999,1.0775,1.0775,1.0275,0.8775,0.6775,0.52750003,0.52750003,0.5775,0.6775,0.7275,0.77750003,0.8775,1.1274999,1.4275,1.6775,1.7774999,1.7275,1.7275,1.7275,1.6775,1.6274999,1.5274999,1.4275,1.3275,1.2275,1.0775,0.8775,0.5775,0.2275,-0.072500005,-0.3225,-0.5725,-0.7725,-0.92249995,-1.0725,-1.1225001,-1.1225001,-1.0725,-1.0225,-0.9725,-0.9725,-1.0225,-1.1725,-1.3725001
