forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:23:16+00:00,2025-11-05 00:00:00+00:00,2.5745785,3.10809,1.2097502,0.6327191,-0.42546275,-1.4213101,-1.2291574,-1.5127246,-1.5138465,-1.563438,-1.6130298,-1.6130298,-1.8590149,-1.6114514,-1.563438,-0.76998115,0.275989,1.2010782,1.4266919,0.6182798,-1.2360435,-3.5213716,-4.736698,-5.305799,-5.704882,-5.890176,-5.1818504,-3.7397647,-2.6180532,-1.9815985,-1.836242,-1.6827074,-1.7269684,-2.121695,-2.2784438,-1.1271852,-1.0648667,-0.4026052,0.16352892,1.7503203,2.4135942,2.3344913,1.3188714,-0.94487995,-0.8573458,-0.024393734,-0.64143413,-0.8755891,-1.2500141,-1.0424047,2.4170165,3.2631454,2.7381575,1.3163939,0.3405807,1.8943738,1.0966868,-0.82909673,-1.110175,-1.0612507,-1.3498113,-1.6547179,-1.7366171,-1.7332505,-1.923425,-1.9475074,-2.050301,-1.7764443,-1.5924785,-1.5594833,-1.2818394,-1.0347005,-1.0746989,-0.9731622,-0.83526593,-0.23318774,0.48481458,0.51908255,-0.22185294,-2.2890713,1.7546875,1.897987,1.6963652,0.6552903,-3.8136322,-4.9354997,-6.026062,-6.697935,-12.255102,-15.20269,-15.645917,-15.149584,-14.480344,-13.594956,-13.355511,-12.9954815,-12.099026,-11.677758,-11.6167345,-11.559113,-11.695783,-11.989925,-12.365873,-12.461608,-12.694005,-13.080469,-13.372764,-13.586612,-13.814022,-13.933081,-13.901361,-13.71898,-13.974715,-13.165388,-11.678438,-10.700376,-9.337442,-8.290916,-7.6813393,-7.303112,-7.114217,-6.6864853,-6.079622,-5.473798,-5.0479684,-4.7766094,-4.5146866,-4.4840827,-4.5810504,-4.678018,-4.950398,-5.3558125,-5.7638373,-5.9556713,-6.1909184,-6.2810616,-5.982476,-5.807959,-5.542716,-5.5421586,-5.5809956,-5.502609,-5.3199463,-4.7528543,-4.762643,-4.722825,-4.4176216,-4.118521,-3.4852552,-2.9017866,-2.3617196,-1.9646537,-1.7327307,-1.5369923,-1.435229,-1.2163963,-0.77395767,-0.4999075,-0.07327248,0.0863576,0.2592743,0.2699957,0.012033482,-0.11253097,0.0038565025,-0.040053703,0.1451421,0.66598594
2025-11-06 01:09:05+00:00,2025-11-06 00:00:00+00:00,-0.97718865,-1.1990004,-1.5064223,-1.119735,-1.052664,-0.9998186,-0.85865456,-0.98438406,-1.5174767,-1.4506669,-1.9159381,-0.6717562,-1.0372008,-0.26463804,-0.20388989,1.9842501,3.9259038,3.5087683,3.652228,3.3473382,2.0485075,0.8090695,-0.44647205,-1.8220923,-1.691335,-1.9349294,-2.001032,-1.9469411,-1.2892627,-1.5735426,-2.1112404,-3.080069,-3.1370008,-3.5234468,-3.26955,-2.8592203,-2.3048015,-2.0591943,-2.1071293,-1.0473688,1.1814362,1.8637137,1.5347353,-2.567219,-2.549212,-2.3828278,-0.82909673,0.43396065,0.76020354,1.4423764,2.0883787,2.1310706,0.19431332,0.90532994,0.54365075,-1.1142144,-0.9713638,0.5590116,0.99962175,0.40937093,-4.045561,-4.637794,-6.0712843,-7.66121,-9.351143,-13.087967,-13.094875,-12.946755,-13.220679,-13.503794,-13.586246,-12.791963,-12.506899,-11.844328,-11.471736,-11.366751,-11.468853,-11.614438,-11.9737625,-12.382902,-12.551764,-12.915702,-13.088483,-13.407766,-13.859964,-14.041475,-14.316427,-14.262367,-14.798485,-15.339888,-15.47308,-15.182988,-14.954962,-14.3419485,-13.21648,-11.726831,-11.819956,-11.911564,-12.328564,-12.267982,-12.119386,-12.2124605,-12.500182,-12.453739,-12.314419,-11.886709,-11.65405,-11.182604,-10.7609215,-10.0309305,-8.9787655,-7.9425454,-6.709904,-5.969697,-5.352646,-4.689939,-3.6959412,-2.8985944,-2.284812,-1.8127049,-1.5594833,-1.2355675,-1.0953368,-0.94411665,-0.76129335,-0.5120459,-0.45224681,-0.25928986,-0.27471042,0.047806423,0.59332645,0.814489,0.95370483,0.76020354,0.43583062,-0.047282342,-0.7940393,-2.096613,-3.7402465,-4.6524606,-4.8690143,-4.6087656,-3.4075015,-2.2263005,-1.2747334,-0.7138914,-0.12802686,0.28930873,0.38173538,0.23873405,0.04805762,-0.35272774,-0.5430885,-0.78104955,-0.543982,-0.19015315,0.08290683,0.349549,0.62531716,0.4291807,-0.49715805,-2.5658138,-5.5133524,-7.6810203,-9.73206,-10.966166,-11.2644825,-10.524298
2025-11-07 01:06:35+00:00,2025-11-07 00:00:00+00:00,-2.7568786,-2.41039,-2.1281905,-2.2639146,-1.769115,-1.3735335,-1.4114028,-1.7120427,-0.89589244,-0.47277272,-0.9025184,-1.7465302,-2.4008548,-2.9620194,-2.7714522,-1.5917195,-1.1654172,-0.9980011,-2.0527396,-2.604733,-2.5109463,-1.6066318,-0.659895,-0.17618519,-0.42378727,0.036706872,-0.6249084,-1.5034828,-3.4606874,-3.8429832,-3.75743,-3.7607021,0.42342892,-1.6526144,-3.059534,-4.8622622,-6.263332,-7.243773,-7.574329,-8.480545,-8.578028,-8.972266,-9.490022,-9.266389,-11.249112,-13.305589,-14.081918,-13.847205,-13.447133,-12.977345,-12.33411,-11.787592,-11.663796,-11.916661,-12.336057,-12.661148,-12.816293,-13.092691,-13.284499,-13.466922,-13.572224,-13.603995,-13.982353,-14.002538,-14.553543,-15.566139,-16.492353,-17.1816,-18.06094,-18.009092,-17.881365,-16.544575,-16.536661,-15.9369755,-15.920649,-15.779039,-15.510542,-13.676202,-11.70058,-9.70976,-8.011821,-6.4815946,-5.5973315,-5.354173,-5.1843085,-5.065904,-4.8719587,-4.705787,-4.4903803,-4.592785,-4.2817082,-3.518723,-1.5577329,-0.68229336,-0.16546111,0.2596952,0.35832918,0.47580618,-0.32878557,-0.6698868,-0.6698868,-0.44138247,-0.21289815,-0.42041346,-0.12525907,-0.18198594,0.17282185,0.39349002,0.46645364,0.716762,0.89104563,1.1223124,1.6595001,1.8627858,2.1165125,1.8533682,1.6147064,1.3436835,1.3581327,1.5679336,1.4007589,1.0096679,0.88945377,0.532854,0.52495813,0.35628727,0.21830882,-0.047282342,-0.2696079,-0.6039117,-0.68750614,-0.8788771,-1.022409,-1.213792,-1.3094858,-1.3822393,-1.5426279,-1.9442067,-2.7039044,-3.275538,-3.8882406,-4.19917,-3.899938,-3.6306434,-3.388299,-3.3541598,-3.3008754,-3.4452531,-3.503699,-3.4753554,-3.545455,-3.5622487,-3.460033,-3.5238957,-3.680514,-3.7470138,-3.6752894,-3.6070669,-3.559531,-3.5101945,-3.3176017,-2.994381,-2.818794,-2.4531512,-1.6848798,-0.86564565,-0.5327805,-0.042905606
2025-11-08 01:00:29+00:00,2025-11-08 00:00:00+00:00,0.8165952,0.19992913,-0.24356718,-0.8841942,-1.173504,-0.3428874,0.28823853,1.2631546,1.3127418,0.8988334,1.1126167,0.8168688,-1.0180336,-3.46901,-4.536284,-5.6440444,-6.2429695,-6.490118,-5.333981,-5.1276045,-5.2231555,-5.250157,-5.1531816,-5.02892,-4.980362,-5.1745963,-5.514518,-6.150349,-7.8457932,-8.623035,-9.712361,-10.851081,-11.3928385,-11.410455,-11.506933,-11.796381,-12.134086,-12.404387,-12.327069,-11.94111,-11.426122,-10.781936,-10.1549015,-19.211603,-19.994848,-20.04027,-19.998798,-18.349752,-17.440487,-17.442703,-17.11237,-17.461884,-17.194958,-16.992945,-16.008093,-15.104173,-13.792848,-11.516102,-9.50475,-8.670258,-8.434043,-8.150605,-7.188065,-6.119871,-4.9411564,-4.267018,-3.8117266,-3.5408514,-2.8985944,-1.6146777,-0.44579238,0.44892612,0.8163102,0.56785977,0.24566305,0.15360096,-0.038909145,-0.013724441,-0.104870155,0.017587038,0.15723191,0.10769188,-0.7856717,-3.5251992,-4.209814,-3.7686574,-3.5919688,-3.2604668,-3.7693021,-5.186221,-5.897583,-5.414848,-4.92047,-3.8520312,-3.4855347,-2.59704,-2.609648,-3.2142713,-3.33613,-3.4059181,-3.6610005,-4.0920978,-4.0844655,-3.6145883,-3.4611957,-3.4114099,-3.6010349,-3.748775,-3.652285,-3.8176455,-4.1498294,-4.172662,-4.5916085,-5.6328154,-6.6019626,-7.482862,-8.070322,-8.2001095,-8.049738,-7.6193604,-7.502988,-7.3136296,-7.2552304,-7.2055764,-7.3003016,-7.449249,-7.5612583,-7.544215,-7.7727575,-7.7175264,-7.9924912,-7.944489,-8.082318,-8.220156,-7.994886,-7.6229134,-6.401809,-4.8985195,-3.4714398,-2.3296602,-1.208734,-0.028201682,0.7608878,1.1248453,1.2698479,1.1526109,1.0126587,0.75778717,0.5916045,0.3372509,-0.084833466,-0.55047625,-1.3432151,-1.6303816,-1.2606452,-0.20983528,0.75996065,1.0081677,0.72209275,0.7008415,1.4316067,2.491527,3.629468,4.2664957,4.630438,5.163274,5.4664183,5.1621876
2025-11-09 01:05:52+00:00,2025-11-09 00:00:00+00:00,-4.3760834,-4.940715,-6.710735,-7.236215,-7.81104,-8.815372,-10.646544,-12.17854,-12.284083,-12.065096,-12.08635,-11.937714,-12.058147,-12.173557,-12.40867,-11.971849,-11.720695,-11.929894,-13.440013,-13.983301,-14.898872,-15.389874,-15.482688,-15.400852,-15.243284,-15.614944,-15.866809,-15.777079,-14.869881,-14.56176,-14.192975,-13.804488,-12.059229,-10.762892,-10.2002,-8.769216,-7.632443,-7.0200553,-6.803497,-6.0972743,-4.9502177,-4.4200244,-3.6330922,-3.7631183,-2.7644303,-1.2259718,0.18950945,0.17700568,0.041032985,0.1313379,-0.013724441,-0.28717396,-0.48708034,-0.23715977,-0.2829723,2.2156732,2.9601889,0.28253376,0.20418635,0.6084099,-0.82895434,-2.716606,-4.237118,-4.346759,-4.7833095,-5.27272,-5.79421,-5.8689566,-6.363591,-5.9352336,-3.9534886,-3.3513825,-3.817211,-4.264496,-4.235503,-3.5376244,-1.507461,0.12314054,0.5745334,0.6284284,0.19281998,-0.6717206,-1.5365596,-2.161653,-2.0743256,-1.9863977,-1.8813472,-1.7879798,-1.7898943,-1.8700212,-2.2443438,-2.4758132,-2.8693688,-3.2619202,-2.9576337,-2.2536337,-2.1761515,-1.880968,-1.7232207,-1.4483061,-1.4267362,-1.3258682,-0.98599815,-0.6253916,-0.096560046,0.042744398,0.13128728,0.265814,0.265814,0.44660017,0.41117284,0.423257,0.8168844,1.0325893,1.0832924,0.938531,0.95058304,1.3483315,1.6526614,1.7174898,1.8432994,1.863038,1.7527544,1.5956634,1.4094864,1.1490091,1.0096679,0.89744705,0.6394224,0.37513787,0.057919603,-0.029951949,-0.2652154,-0.4062729,-0.46663094,-0.33761337,-0.053918216,-0.22280094,0.100772806,1.6387689,3.1998389,3.911795,3.6263328,2.716858,1.3601801,-1.2740396,-5.1267815,-8.720893,-10.191552,-9.920496,-9.421815,-9.151993,-9.020052,-8.302812,-7.4244957,-6.1906013,-5.6619287,-5.5533357,-5.878969,-6.115918,-6.7862296,-7.8985476,-9.014187,-9.684621,-10.211417,-10.512171,-9.99774,-9.330045
2025-11-10 01:10:23+00:00,2025-11-10 00:00:00+00:00,-14.431598,-14.42035,-14.171262,-12.993612,-11.810733,-12.065318,-12.537694,-13.172267,-11.810733,-9.158645,-7.348309,-6.3171196,-5.343653,-4.787059,-4.6395655,-4.0197206,-3.3098722,-2.4679735,-2.0970151,-0.9472622,-0.33469787,0.5029175,0.5666409,0.4132915,0.06729101,0.6787673,0.96371704,0.58163345,-0.7294251,-1.2392,-0.9379396,0.2147094,0.7249234,0.95986027,0.48075303,1.1356316,0.7428026,-0.41719794,-0.8715913,0.79261154,2.8545284,2.895183,2.6077855,-5.8269463,-5.522091,-5.2205834,-4.480482,-4.1466436,-4.0728765,-3.8531158,-3.7224555,-3.5500054,-3.4524288,-3.6556766,-3.7958248,-4.0571427,-4.289755,-4.413747,-4.5901003,-4.5379806,-4.3531327,-4.455278,-4.4205,-4.122857,-4.2210255,-4.0078754,-3.8315217,-3.753119,-3.4963999,-3.318609,-2.7333364,-2.2933555,-2.4279237,-2.346279,-2.1503522,-1.9636,-1.222874,-0.4763366,0.2385784,0.7189943,1.0774056,1.2400101,1.0940143,0.9654871,0.81970197,0.68922406,0.60498023,0.9634921,1.0504314,1.1695933,1.2218518,1.1657022,1.2540339,1.5692681,2.24006,2.0817451,1.9554853,2.1321232,2.1757684,2.2278736,2.0832233,2.1100843,1.7783376,1.7140009,1.6931748,1.550465,1.6402849,1.5448071,1.3061041,1.1443441,0.81174564,0.8619012,0.89217114,0.83787626,0.7111719,2.1440158,3.9453151,4.704443,4.0875254,2.652588,1.4634756,0.9362069,0.5461086,0.012832468,-0.9702268,-1.7908736,-2.7939591,-3.439276,-3.7611463,-4.3174863,-4.832126,-5.0152316,-5.48825,-5.7622833,-5.9906673,-6.0363464,-6.057285,-6.2123985,-5.713944,-4.4631534,-2.9414098,-1.828758,-1.9759967,-2.547298,-3.3825376,-4.1715775,-5.0072474,-5.7966948,-6.4934297,-6.849583,-7.2124915,-7.3485126,-7.5041566,-7.80111,-8.056129,-8.481285,-8.764746,-9.121374,-9.339534,-9.546755,-9.7603245,-10.639076,-11.251122,-11.761009,-11.795205,-11.535043,-11.236565,-10.763524
2025-11-11 01:03:56+00:00,2025-11-11 00:00:00+00:00,-0.26003534,-0.2711899,-1.355172,-1.721846,-0.34305567,0.39537835,0.87355655,0.9218569,0.2174805,0.8288996,1.4954826,1.2789074,-0.83900195,-1.9396789,-2.6049201,0.010554508,1.5438935,1.6259131,2.1634388,1.6230088,1.2763668,0.5215837,0.44908205,-0.43224198,-1.1648408,-1.6669606,-1.8749542,-2.0766406,-2.5804126,-2.8395164,-2.968351,-3.5950592,-3.8982475,-5.3270426,-5.417396,-5.56308,-5.6602025,-6.0367794,-5.9736843,-3.1365342,-2.5471466,-2.174772,-2.048068,-5.3196907,-5.933373,-6.073156,-5.5409203,-5.2757607,-5.4526196,-5.352646,-5.668635,-5.4041433,-4.6490316,-3.7611463,-2.6864893,-2.0366464,-1.448946,-1.0669106,-0.7504154,0.03007402,0.5802798,0.96049654,1.0087955,1.0940032,1.2860824,1.208546,1.4316067,1.458616,1.5187815,1.4314014,2.061036,1.4910095,1.2946043,1.2466393,1.3093483,1.3082943,1.077122,0.9384101,0.47899458,0.29444116,0.06373182,-0.16699517,-0.351589,-0.53619456,-0.72081196,-1.2331624,-1.5841019,-1.4143754,-1.0742623,-1.25128,-1.1207472,-0.677579,-0.3648632,0.39801872,1.04051,1.2599516,1.3895708,1.7627847,2.1165125,1.4316067,0.9749028,1.10893,1.0740952,1.3082943,1.7123659,2.0580804,2.1288378,2.4641323,2.460899,2.5081065,2.4470463,3.027208,3.310543,3.3121164,2.5563257,1.4441749,-0.26711807,-1.6114821,-1.7474568,-0.86258286,-0.55047625,-0.6494985,-0.81312555,-1.2818394,-1.828758,-2.3819625,-2.7121317,-2.987269,-3.3541598,-3.7211013,-4.088092,-4.5010157,-4.6845574,-4.4969893,-4.4509935,-4.088092,-3.6785104,-3.574726,-3.380181,-3.123832,-2.3818486,-1.3577905,0.1356075,1.319999,1.7991925,1.4094864,0.46700478,-0.3977401,-0.6746578,-0.9054422,-0.8191548,-0.95795244,-0.83111256,-0.8023213,-0.46663094,-0.2181614,-0.041826803,-0.18353498,-0.36375943,-0.35931048,-0.12686507,0.15360096,0.35082874,0.19713582,0.0008630174,0.22415547,0.7111719,1.2121438
2025-11-12 01:05:43+00:00,2025-11-12 00:00:00+00:00,-2.4198315,-1.4969243,-0.51761496,-0.11297317,-0.5732183,-1.3576573,-1.9536701,-1.889422,-1.7644645,-2.2056775,-3.0104895,-4.3448076,-4.456594,-4.6018267,-4.4205127,-2.9780676,0.48508552,0.9258594,-0.26856187,-1.4487609,-4.3322363,-4.218824,-4.263143,-4.7438745,-5.091575,-5.3202047,-5.5325556,-5.676467,-5.8034983,-5.6057224,-4.5526485,-4.358206,-4.2646027,-4.220442,-3.6336613,-3.3508184,-4.683169,-4.989129,-4.765291,-3.4496038,-0.19114594,0.1093232,0.6239718,1.1715659,0.9798426,1.7154361,1.8343596,2.1115036,1.8882301,1.5031352,1.3384407,0.77051455,0.63312745,0.44993258,0.5121128,0.56785977,0.052935675,-0.130756,-0.71558845,-0.8527036,-1.2444726,-1.2444726,-1.3356633,-1.1830621,-0.5798076,0.0038565025,0.42897695,0.6010723,1.0451406,1.5409375,1.9347523,2.24006,2.947522,2.6382601,5.4102745,4.719384,3.8985047,2.3714633,0.87939966,0.6524059,0.39200002,-0.08906248,-0.2181614,-0.45323434,-0.73578674,-1.4888184,-2.1442668,-2.6655202,-3.7686574,-3.8539755,-4.314974,-5.3356977,-5.3587155,-5.131593,-4.9640565,-4.6809797,-4.985837,-5.078494,-6.2519717,-9.06001,-11.465206,-11.916232,-11.662699,-11.36163,-11.316465,-11.293593,-11.089266,-11.165372,-11.110759,-11.070346,-10.943876,-11.028412,-11.598358,-11.9343,-12.096472,-11.665119,-11.0581875,-10.485968,-10.210693,-10.476369,-10.664632,-10.498914,-10.237526,-10.187598,-10.552644,-11.170247,-11.558256,-11.5731535,-11.408195,-11.232969,-11.248178,-11.180337,-11.31695,-11.362489,-11.566112,-11.414143,-11.002892,-10.31993,-9.461685,-7.7845817,-5.713944,-3.9045904,-2.5958133,-1.8528169,-1.3498113,-1.2978125,-1.4471661,-1.3686528,-0.9988493,-0.61514753,-0.16451883,0.0008494557,0.10561874,0.10561874,0.099531196,0.08154687,0.11871749,0.06957003,0.1799718,0.20279436,0.3640008,0.4347195,0.5989624,0.80832225,0.9553851,1.2839892,1.6019708,1.8604711
2025-11-13 01:23:17+00:00,2025-11-13 00:00:00+00:00,-2.3270319,-2.1112404,-2.0880022,-1.767948,-2.0078378,-2.5405462,-2.7401445,-3.2631767,-3.4156802,-3.6820662,-3.892609,-3.6667423,-3.742166,-4.2804556,-4.650238,-2.2381773,-0.07749083,0.53628623,1.0189577,1.0470481,1.5276728,1.8400801,1.3938174,0.5039855,0.13632172,-0.21388274,-1.1981633,-2.2451758,-3.0991418,-3.366057,-4.1622944,-4.9051585,-5.5458994,-5.5788918,-6.070468,-6.4663205,-6.3016715,-6.786996,-6.9139824,-7.0764565,-5.1283054,-3.239418,-2.1549542,1.7860824,2.6735704,3.0269659,3.619533,4.06575,3.9742703,5.195895,7.0651054,6.176319,1.7783376,0.48758066,0.579089,1.6402849,1.7742138,1.7742138,1.824399,0.57864016,-0.43924752,-1.1292884,-1.6378053,-2.9953117,-6.7219024,-9.345782,-10.70351,-12.2164,-12.424718,-12.424718,-12.723035,-11.881937,-11.43654,-11.428462,-11.821123,-11.826062,-12.22784,-12.495739,-12.719014,-12.541656,-12.489376,-12.365537,-12.546799,-12.383852,-12.656495,-12.701939,-12.792829,-12.626668,-13.128025,-13.847344,-14.087583,-14.344567,-13.753302,-14.238797,-13.588326,-13.189936,-11.656699,-10.933514,-10.655486,-10.867807,-10.957862,-10.91595,-10.9756975,-10.845809,-10.422589,-10.468463,-10.160249,-10.514336,-10.656424,-10.575082,-10.521992,-10.713375,-11.550031,-12.444139,-12.581668,-13.098407,-13.009872,-12.792897,-13.053271,-13.185562,-12.199506,-10.100961,-7.7014666,-5.858585,-4.224227,-2.9207246,-2.1284852,-2.1284852,-2.5120335,-2.7175095,-2.7238362,-2.682969,-2.4863412,-2.3388722,-2.0347474,-1.7394326,-1.5151675,-1.1536218,-0.9981476,-0.9729347,-0.80288386,-0.8516993,-0.8302198,-1.0257584,-1.0557153,-0.9899295,-1.0389493,-0.9261266,-0.97521234,-0.97521234,-0.97521234,-0.9261266,-0.9261266,-0.81511587,-0.7954907,-0.93188655,-1.0279273,-1.0773959,-1.2327172,-1.1488209,-1.1235291,-0.86369133,-0.81619775,-0.726778,-0.6039117,-0.41287854,-0.049397536,0.13935599
2025-11-14 01:06:12+00:00,2025-11-14 00:00:00+00:00,0.9840377,0.53148454,-0.04952611,-0.49010512,-1.4576781,-1.8633106,-2.2808497,-2.8324208,-3.016302,-3.5873387,-4.182201,-4.182201,-4.2279644,-4.1247945,-3.9369495,-3.1994848,-1.947236,4.4371376,-1.9996419,-0.93612576,0.3638582,4.377363,7.3770175,8.59371,7.1262736,6.935025,6.4876986,5.730246,3.4230208,2.9408112,2.1845078,1.2546285,0.05943513,-0.79440874,-0.8907524,-1.1094273,-0.59786093,0.68193,0.9390637,0.53938705,-0.09394347,0.2267794,0.8649861,-3.1418526,-2.6187212,-2.4413047,-2.3012116,-2.3946059,-2.3327558,-2.4783275,-3.508006,-6.388934,-9.640031,-10.3646755,-10.353388,-10.486772,-10.442783,-10.684229,-10.825381,-10.961237,-11.097097,-11.02111,-10.6339655,-10.158447,-9.892518,-8.620356,-6.998985,-5.813025,-4.5361996,-4.355059,-4.9009404,-6.6692224,-9.550858,-11.404009,-12.229241,-11.8275385,-11.865618,-11.826062,-12.13855,-12.155271,-11.858622,-11.504733,-11.550031,-11.640629,-11.384429,-11.134801,-10.699901,-10.425339,-10.825381,-10.991203,-10.798038,-9.90758,-8.572668,-7.5723557,-7.6311207,-7.166042,-5.2629647,-3.166802,-2.4170194,-2.5650628,-2.1662061,-1.9700933,-1.9738613,-1.9793496,-2.1284852,-2.271777,-2.0787735,-2.1684635,-1.9700933,-1.8213162,-2.2196305,-2.6076856,-2.8045175,-2.5115705,-2.1698098,-1.6624317,-1.2283264,-0.931177,-1.030479,-1.3737029,-1.4731488,-1.1260506,-0.5339722,-0.2857214,-0.33357945,-0.5912522,-0.7058772,-0.45980284,-0.26294622,0.042243052,0.24755278,0.5055469,0.60744816,0.60744816,0.45608166,0.5055469,0.6539421,1.0036596,1.1522377,1.3008147,1.3998656,1.4989158,1.4989158,1.4989158,1.4493906,1.550758,1.5011715,1.6505727,1.8482803,1.9974015,2.0944996,1.9908286,1.7355955,1.5280823,1.4185001,1.1685002,1.0185001,0.96849996,1.0185001,1.1184999,1.3185002,1.5185001,1.6685,1.6185001,1.5185001,1.4185001,1.3685,1.3685
