forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:54+00:00,2025-11-05 00:00:00+00:00,911.16315,911.9592,912.62604,913.66315,913.82324,914.1279,913.6182,913.7444,913.22723,912.4184,911.3637,910.1829,909.14484,908.243,908.197,907.91626,907.72546,906.6402,905.0806,905.0245,904.45013,903.7316,902.8418,900.6451,898.639,897.571,896.60046,896.26886,897.238,898.0991,898.8607,899.90576,900.2553,900.648,901.43463,901.5913,902.2513,902.93054,902.7617,903.96716,905.4199,906.57806,906.9593,901.977,901.8874,901.5473,901.8113,902.55194,902.70905,903.39526,903.561,903.5294,904.2476,904.51697,904.4646,904.7161,904.5014,904.2116,903.93933,903.5786,903.43463,903.0179,902.8004,902.99023,902.9467,902.44464,902.4781,901.9611,901.0566,900.707,900.6943,902.46594,902.8036,904.30194,904.07294,904.2997,904.8049,904.6772,904.9247,905.38763,905.65375,906.20557,906.4711,906.86255,907.9862,909.3405,910.8092,912.98596,914.0691,914.94684,915.5865,915.81665,916.05914,916.5838,917.26776,917.69165,917.8858,918.4621,918.7796,918.9123,919.4082,919.2734,919.3354,919.28864,919.285,919.28864,919.33075,918.9747,918.9941,919.0524,919.0135,919.36487,919.6279,919.4015,918.9383,918.2496,917.393,916.56995,916.05084,915.55835,915.22125,914.85443,914.5648,914.3123,914.1671,914.05927,913.9516,913.66516,913.30835,913.0408,912.8623,912.6839,912.49054,912.4049,912.3037,912.1546,911.86475,911.48883,910.9538,910.075,909.03503,908.0446,907.2597,906.5178,905.94135,905.4795,905.26556,904.962,904.67706,904.46375,904.3034,904.214,904.1602,904.17786,904.23193,904.3575,904.8398,906.00165,907.6094,908.8922,909.7672,910.3875,910.6821,910.4381,909.7961,909.26447,908.9944,908.8418
2025-11-06 01:08:31+00:00,2025-11-06 00:00:00+00:00,898.25385,898.2364,897.78937,898.37897,898.4825,898.1577,898.82275,900.702,901.6811,902.7364,902.00385,902.0478,903.29926,903.02734,903.3107,903.72723,904.398,906.05914,906.3966,906.1074,906.7082,907.12177,906.9113,906.5139,905.955,905.8117,905.3577,904.725,903.87756,903.6624,903.52844,902.4449,900.65137,900.18335,899.8729,898.51105,898.0167,898.021,897.8787,897.7897,898.1968,898.4856,897.67487,901.01276,900.2804,899.7557,897.9318,901.13806,902.1426,902.25,901.92804,902.4999,902.92096,904.1605,904.67615,905.0851,905.5115,906.09796,906.4528,907.183,908.2562,909.51465,911.583,913.5428,914.9174,915.8655,916.6737,917.12384,917.71265,918.87225,919.94714,920.58496,921.37,922.1152,922.7718,923.11035,923.42847,923.7947,923.6073,923.2611,923.10315,922.81586,922.549,922.02466,921.8761,921.4315,921.1451,921.45233,921.2324,921.3003,921.04083,920.4727,919.841,918.80853,918.52216,917.8066,917.55804,917.7175,917.464,916.9376,916.581,916.3839,916.0273,915.549,915.0891,914.87805,914.25836,913.8874,913.4932,913.11786,912.9064,912.91315,912.8633,912.58075,912.55164,911.52325,910.2497,909.0113,908.0708,907.26306,906.6711,906.29767,906.04474,905.8265,905.50104,905.1925,904.8344,904.3946,903.92065,903.6758,903.66,903.8935,904.0725,904.1266,904.1444,904.28687,904.6168,905.1212,905.312,905.13855,904.76105,904.4754,904.3094,904.31573,904.3256,904.5164,904.8093,905.1185,905.39136,905.6802,905.9137,905.9318,905.878,905.73425,905.6435,905.5343,905.53284,905.7115,905.9626,906.14435,906.27124,906.29913,906.26666,905.91364,905.493,905.11725,905.02466,905.14996
2025-11-07 01:06:04+00:00,2025-11-07 00:00:00+00:00,905.02234,905.6523,905.04407,905.54095,906.78436,906.612,906.3078,906.00336,906.6799,905.84546,905.19415,903.16113,902.93024,901.3373,900.60706,900.1072,900.78973,901.2196,901.8632,902.4723,904.1457,903.95435,904.5084,904.4546,905.0249,906.0208,905.9448,906.77783,906.54254,906.7956,907.53687,907.9309,908.372,908.7988,909.84937,910.9052,911.83417,912.80383,913.6572,914.86993,916.4975,917.50244,918.0847,916.91077,917.3297,917.9051,918.3332,918.64685,919.0037,919.798,920.17413,920.47906,921.0644,921.452,921.4832,921.2902,921.41046,921.25525,921.04974,920.80505,920.69653,920.4711,920.4711,921.4953,921.43335,921.1718,920.4479,919.6037,918.91223,918.2156,917.75055,917.19104,916.3137,915.91364,915.56836,914.77686,914.0964,913.75446,913.1487,912.6505,912.2787,911.7249,911.208,910.56506,910.01117,909.37134,908.76514,908.782,908.88055,909.02734,908.3306,907.14514,905.7609,905.2843,904.965,904.25214,903.72833,902.55023,902.5099,903.1648,903.1739,902.7168,902.7754,903.37305,903.7183,904.0293,904.10693,904.43005,904.73425,905.181,905.6815,906.1278,906.76624,906.51746,905.9055,905.57025,905.15314,904.91724,904.9256,905.0359,905.2278,905.37415,905.5131,905.7518,906.16425,906.59283,906.967,907.144,907.1597,907.3004,907.4411,907.68866,907.9198,908.2953,908.81464,909.24866,909.61285,909.97064,910.1238,909.8623,909.4031,909.0584,908.87177,908.7971,908.6805,908.63007,908.61304,908.4875,908.2365,907.84235,907.5024,907.1983,907.03766,906.75165,906.39343,906.088,905.8553,905.92633,906.1594,906.39496,906.60956,906.8063,906.7906,906.5511,906.21674,905.92676,905.58527,905.2999
2025-11-08 00:59:53+00:00,2025-11-08 00:00:00+00:00,902.964,903.3864,904.0007,904.7382,905.5034,906.5923,907.2165,907.9523,908.5468,908.91064,909.9108,910.2813,911.942,913.0125,913.91815,914.8802,916.4406,917.85315,917.7521,917.84454,918.38245,918.66864,919.1509,919.2348,919.0628,919.4943,919.48645,919.77386,920.6903,920.1663,920.1053,920.37994,920.7785,920.48663,919.8189,919.6118,919.62213,919.9779,919.7007,919.6895,920.49133,921.3532,922.0067,920.3075,919.43195,918.573,917.8397,917.24884,916.36035,916.53455,916.0643,915.3781,914.8209,914.193,913.4049,912.7431,912.1185,911.6052,911.1407,910.55286,910.1437,909.57404,909.27716,909.2865,909.23755,908.6462,908.0492,907.4417,906.5055,905.43243,904.85846,904.18774,903.7712,904.2739,903.763,903.36743,902.79285,902.0969,901.8167,902.1599,902.3216,902.719,902.79785,903.371,903.8756,904.10864,904.51965,905.8049,906.11017,906.0304,905.76227,905.5029,905.0939,905.2783,905.8165,905.8425,906.0927,906.0131,906.6219,906.9116,907.3789,907.71936,908.0051,908.0751,908.03613,908.3356,908.45544,908.52167,908.5713,908.76514,909.09106,909.4578,909.7726,909.9177,909.87634,909.5067,908.86566,908.35925,907.9793,907.6571,907.53937,907.6834,907.95135,908.07587,907.94965,907.5917,907.34064,907.1973,907.0004,906.8751,906.6239,906.35474,906.1579,906.06866,906.0338,906.091,906.21655,906.3065,906.18463,905.7159,904.9405,904.3655,903.9997,903.81525,903.7527,903.9528,904.25214,904.4396,904.4813,904.483,904.3823,904.34296,904.3094,904.0515,903.488,902.7828,902.2414,901.9872,902.0073,901.71747,901.09875,900.2555,899.4136,898.6485,897.97906,897.44037,896.9917,896.5946
2025-11-09 01:05:30+00:00,2025-11-09 00:00:00+00:00,918.36395,919.6389,920.13715,920.1271,919.54486,919.8883,920.69025,921.3016,920.39716,919.8992,919.97327,920.1279,920.46716,920.252,920.2717,921.07947,921.68054,922.6105,922.1198,921.9988,922.27905,922.1212,921.7103,920.6889,919.3121,918.4566,917.3671,916.7529,915.6965,914.86993,914.20844,913.6787,913.2657,912.0826,911.3914,910.9378,910.23303,909.71173,909.28687,909.54266,909.88794,910.83606,911.9208,907.8852,906.8214,906.196,905.15,904.1241,903.7299,903.7507,903.68164,903.347,903.5434,903.36743,903.29816,903.7831,903.89264,904.5886,905.1203,905.021,904.67303,904.55316,904.8931,905.2677,906.0155,906.2438,906.30304,905.67126,905.31195,905.31604,905.2615,905.1303,905.31354,905.91595,906.40454,906.58655,906.8045,906.7716,906.4501,906.39636,906.48553,906.70013,906.5923,906.663,907.03766,906.9294,906.907,907.78906,908.1112,908.0306,908.05145,907.26697,906.78625,906.2568,906.1963,905.76514,905.0407,905.1362,905.22736,904.962,904.66046,904.3575,904.1602,904.07086,903.7141,903.7329,903.42926,903.16113,903.28674,903.2509,903.2327,903.4648,903.91003,903.85095,903.40686,902.57074,901.33356,900.19934,899.2816,898.51025,897.6748,896.9188,896.2614,895.4595,894.5334,893.64197,892.69556,891.76624,890.8541,890.0113,889.11255,888.28235,887.7876,887.7798,888.1198,888.3126,888.17993,887.7965,887.39307,886.67957,885.9293,885.8029,886.746,888.22076,889.69104,890.7455,891.705,892.7341,893.8936,895.1284,895.9149,895.8925,895.49164,895.28894,895.48553,895.7929,896.09717,896.2696,896.4557,896.41846,896.2725,895.9857,895.51196,894.7641,893.9422,893.2096,892.76373,892.442
2025-11-10 01:09:45+00:00,2025-11-10 00:00:00+00:00,916.6224,915.44336,914.9878,914.49744,913.57886,912.99817,912.6201,912.4116,912.3712,911.91003,911.2115,910.27026,910.02435,909.8054,909.897,908.575,908.6847,909.65204,910.3327,910.23444,910.21454,909.8325,909.1022,907.90576,907.22205,906.92865,906.38,906.83905,906.7178,906.99414,907.135,907.42194,907.4754,907.86865,908.5662,908.9057,909.42426,910.0677,909.995,909.88477,910.60333,911.58453,911.8695,906.2473,905.8617,905.6707,905.8393,905.7918,906.0326,906.1377,906.5903,906.9495,906.9863,906.8969,906.5209,906.717,906.6091,906.3752,906.35596,905.81903,906.05304,906.1264,905.6918,906.4474,906.5903,906.5796,906.2955,905.4376,904.5417,903.9994,903.7693,903.1202,902.48285,902.3105,902.24207,901.5663,901.01434,900.301,899.81866,899.2106,898.7816,898.4611,897.7111,897.1216,896.6218,896.1041,895.7645,896.2976,896.6292,896.01514,895.53455,894.1327,893.10785,892.56067,892.0306,890.6037,889.06067,888.1161,887.51917,886.394,885.6822,885.41766,885.38434,885.8614,887.82623,889.1542,891.2776,892.4639,893.76025,894.8293,895.0233,895.88043,896.322,896.34937,895.5191,894.6131,893.38605,892.7458,893.2263,894.21796,895.19,895.9896,896.7059,897.38806,897.8754,898.2202,898.50775,898.7191,898.7834,898.9352,899.1926,899.53754,900.0446,900.8743,901.8679,902.7126,903.50476,904.13855,904.4568,904.2658,903.87537,903.60736,903.9256,904.37964,904.8828,905.2439,905.65845,905.96783,906.12195,906.1733,906.2247,906.4162,906.5888,906.7991,907.0283,907.1875,907.58185,908.1732,908.9105,909.56976,910.04834,910.4168,910.64557,910.6323,910.5796,910.70483,911.1507,911.76715
2025-11-11 01:03:33+00:00,2025-11-11 00:00:00+00:00,902.9818,902.8651,902.87964,904.1849,905.4326,906.4286,907.1473,907.5263,906.8323,906.8297,907.77893,908.24426,908.69116,909.316,909.359,909.6959,911.12256,912.2882,912.1827,911.59296,911.43555,910.97797,910.8931,910.2087,909.73364,910.0463,909.3165,909.26263,908.79486,908.52435,908.1291,907.21234,906.5832,906.0636,905.59406,904.9975,904.533,904.8852,904.49176,904.29474,904.75696,905.9922,906.99225,905.792,905.16895,905.053,904.8398,904.39124,903.9694,904.1713,904.3167,904.15704,904.03345,903.9628,903.6609,903.4824,903.32153,903.3936,903.03625,902.804,902.8218,902.7501,902.91095,903.3936,903.9124,903.2193,902.824,902.2159,901.5706,900.7868,900.05194,899.3047,898.51044,897.8726,897.43463,896.88043,896.4907,896.04614,895.619,895.22894,894.50256,894.2187,893.66644,893.30884,893.25275,892.8619,892.9543,893.8699,894.0289,893.8276,894.00055,893.2219,893.20404,893.3334,892.9111,892.3835,892.2479,892.9066,893.4234,894.0924,894.2846,894.475,894.3838,895.2857,895.9857,897.3445,898.01917,898.26996,898.919,899.22644,899.3012,899.90643,900.5542,900.751,900.6983,900.3784,899.8142,899.4219,899.227,899.1808,899.24927,899.5765,900.1149,900.5461,900.7273,900.9082,900.9987,901.1243,901.1599,901.21344,901.26624,901.33704,901.4614,901.78253,902.2472,902.5708,902.8212,902.9347,902.7897,902.3406,901.5723,900.9961,900.54913,900.1827,899.91284,899.794,899.7794,899.69226,899.4434,899.2296,898.92633,898.6943,898.4621,898.31854,898.2459,898.3695,898.5651,899.137,899.799,900.5158,901.19556,901.7438,902.28674,902.63086,902.8133,903.07825,903.4681,903.8623
2025-11-12 01:05:18+00:00,2025-11-12 00:00:00+00:00,908.0172,907.8058,906.7941,907.3505,907.90424,908.0825,907.95715,907.6697,907.9377,907.8642,907.6626,906.9648,906.98114,906.83264,907.0796,907.1941,907.36566,907.5469,908.0947,908.1272,908.205,907.98566,907.94135,906.67694,905.7411,905.162,904.40027,904.73865,905.40936,904.63336,904.6505,904.94946,904.70386,905.12665,904.40106,903.95435,903.8109,904.22253,904.3119,904.45496,905.40936,906.2507,906.25885,903.3086,902.4521,901.74194,901.22644,900.7374,900.2502,899.88306,899.85223,899.33936,899.3221,899.03955,898.6125,898.5575,898.0492,898.0863,897.80066,898.2135,898.05505,897.57904,897.33075,898.124,898.30536,898.9342,898.8112,897.7097,897.6524,897.5548,897.75073,897.66797,897.6134,898.05054,898.3635,897.2141,897.6847,899.02423,899.25903,900.1884,900.2461,900.21295,900.14124,900.46185,900.7291,901.01624,901.89197,902.46423,903.21295,903.40155,903.79767,903.444,903.25366,903.1597,903.1427,903.03436,903.3381,903.2926,903.12256,902.8567,902.6612,902.46436,902.3749,901.8014,901.1565,901.137,900.81177,900.0942,899.73517,899.60706,899.55206,899.90106,900.23083,900.2461,900.14606,899.7932,899.2981,898.89813,898.761,898.8087,898.90894,899.0067,899.15594,899.5155,900.1054,900.9093,901.57043,902.0713,902.4286,902.89276,903.3737,903.78314,904.2466,904.7461,905.29974,905.7297,906.1785,906.5916,906.9683,907.18225,907.2493,907.1923,907.1058,906.8778,906.7005,906.62823,906.591,906.5178,906.49835,906.44403,906.3895,906.38776,906.38617,906.40234,906.3658,906.2399,906.2765,906.5992,906.97644,907.3204,907.50433,907.4668,907.43933,907.33514,907.1396,906.95264,906.83997,906.8063
2025-11-13 01:22:55+00:00,2025-11-13 00:00:00+00:00,906.07477,906.3124,905.01447,905.093,904.8288,904.865,904.43616,904.06177,904.2929,904.48724,904.7894,904.3613,904.2044,903.5073,903.3819,903.52527,904.6779,905.97327,906.282,905.98956,905.76404,905.47034,904.57,903.15564,901.9585,901.4767,900.7318,899.87964,899.34534,899.114,898.9329,898.9359,898.97675,898.75006,899.05835,898.75964,898.2396,898.051,897.22437,897.8772,897.8853,899.16504,900.13196,898.9096,898.9095,898.68945,898.3708,898.2259,898.37573,898.28577,898.9619,899.4869,900.66797,901.3635,901.6776,902.4894,902.65894,903.96045,904.20966,904.5346,905.0186,905.2159,905.7706,905.98505,906.1996,905.9851,906.0021,905.6219,905.1346,904.54095,904.6805,904.3097,903.9823,904.00165,903.8581,903.57117,903.10583,902.7116,902.3905,901.5486,901.11755,900.74066,900.07776,899.5749,899.2502,898.88837,898.529,898.71716,898.7816,898.4977,898.15485,897.34265,896.9931,896.7187,896.80505,896.84863,896.9693,897.1527,898.0666,898.51526,898.6943,898.8006,899.2092,899.43823,899.5986,899.9339,899.98224,900.2973,900.3924,900.526,900.9717,901.36145,901.68066,901.71796,901.91504,901.84436,901.59564,901.50653,901.6288,901.8214,902.0328,902.22974,902.4452,902.6611,902.76874,902.87665,902.91394,902.9512,902.89935,902.86633,902.83295,902.7996,902.83655,902.9406,903.0258,903.20807,903.4557,903.81177,903.96277,903.876,903.69763,903.60803,903.67975,903.92847,904.139,904.3857,904.57855,904.86,905.1935,905.63354,905.91266,906.17664,906.29926,906.4921,906.6475,906.8029,907.0657,907.43604,907.95215,908.3324,908.4392,908.4238,908.2403,907.9438,907.48334,907.109,906.8918,906.6885
2025-11-14 01:05:46+00:00,2025-11-14 00:00:00+00:00,898.66724,899.4379,898.0179,899.3452,898.55383,898.57666,898.4949,898.08136,898.36334,898.4829,897.9156,897.31396,898.16644,897.7378,897.5085,898.8872,900.1203,901.45215,901.1008,901.2012,901.0216,901.136,901.0276,901.7468,902.61035,902.8408,903.40533,904.1972,904.7353,905.14716,905.4175,905.043,904.6158,904.1301,903.7718,903.4338,903.1124,903.274,903.5039,903.7898,904.2576,904.9553,905.59863,903.72253,903.26227,902.9163,903.151,902.82056,902.75134,902.56616,902.6922,902.24817,901.99927,902.12506,902.2141,902.0532,901.7669,901.64075,901.4785,901.53046,901.5473,901.40344,901.33075,901.60394,901.7138,901.61597,901.4907,900.2138,899.61066,899.0095,898.6042,898.2479,897.8772,897.8828,898.0452,897.922,897.8524,897.6933,897.58636,897.6936,897.7831,897.6744,897.76263,897.94025,898.49506,899.0137,899.3526,899.81604,900.0127,899.67377,899.53,898.7755,898.1818,897.9463,898.2459,898.31104,898.535,898.7285,898.83246,898.95496,899.00696,899.07733,898.8803,898.7728,898.64636,898.895,898.895,898.85785,898.9654,899.07324,899.1106,899.04016,898.8471,898.51306,898.17834,897.862,897.4744,897.2988,897.47723,897.7971,898.1355,898.529,898.87024,899.2452,899.43933,899.5962,899.79,900.0391,900.4326,900.73706,901.06,901.4199,901.8317,902.2777,902.8129,903.2066,903.42487,903.43005,903.4162,903.13416,902.8514,902.7272,903.02844,903.4872,903.92865,904.31976,904.67664,904.9443,905.0857,905.1381,905.172,905.18756,905.0766,905.05444,904.9058,904.846,904.80444,905.10486,905.4425,905.69135,905.69135,905.6022,905.3348,904.9077,904.3215,903.965,904.0353,904.33563
