forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:22:52+00:00,2025-11-05 00:00:00+00:00,817.67096,816.05505,815.1875,814.4501,813.2031,812.7557,811.488,811.029,810.8035,810.5644,809.3411,808.1125,807.5684,806.94476,806.0766,805.46674,806.16437,807.76697,807.4893,808.56396,809.8668,808.8824,808.5098,809.90875,809.9442,809.9984,809.8511,809.6064,809.32916,809.0676,809.09106,809.6822,810.3778,810.41016,810.5744,811.1615,811.5369,812.15076,812.60974,813.34674,814.4889,815.2157,815.4225,813.6996,813.3626,812.67535,812.37146,812.6109,812.0157,812.0953,812.2823,812.42725,812.57043,812.6627,812.4151,811.9626,811.9626,811.45154,810.9774,810.54285,810.05664,809.3562,809.0839,809.2908,810.1453,811.1545,811.5549,811.24554,810.8717,811.5755,811.49274,811.4166,811.45905,812.57355,813.53394,813.8627,812.9212,812.5448,812.876,812.96765,813.35596,814.2009,814.58777,814.5676,815.1456,815.8574,816.4902,817.17035,818.5826,818.94257,819.5266,819.8615,819.7012,819.86255,820.09235,819.4289,818.0788,818.3701,818.57733,818.875,819.1766,819.3028,819.18866,819.489,819.24304,819.4366,819.47174,819.3311,819.17267,819.28705,819.29596,819.57574,820.95276,821.7587,822.2251,822.6931,822.987,823.09357,822.84216,822.32733,821.9708,821.8677,821.80975,821.8004,821.5697,821.3123,821.1555,821.054,821.054,821.00824,820.92865,820.7237,820.6322,820.4053,820.2122,820.27386,820.62585,821.26636,821.55963,821.59906,821.47644,821.0535,820.1901,818.9853,818.0701,817.7812,817.85913,817.8879,817.8184,817.73224,817.63086,817.6123,817.6123,817.6267,817.5567,817.5,817.5412,817.69507,817.9147,818.21826,818.79504,819.41425,819.7289,819.63324,819.21747,818.6164,817.7353,816.76697
2025-11-06 01:08:29+00:00,2025-11-06 00:00:00+00:00,808.99493,810.6207,810.69415,810.4665,810.20404,810.2937,809.66504,809.3549,809.5088,809.94604,810.57983,810.5942,811.03973,811.51294,812.35706,812.97534,812.99585,814.0945,816.1254,816.08386,816.0393,816.488,816.1197,815.33514,814.48566,813.29944,812.3234,811.155,809.7726,809.046,808.95215,808.7863,807.9884,807.06,806.70825,806.13513,805.62396,805.6297,804.0833,804.88806,806.5595,808.3141,808.83484,810.8213,811.4956,812.0399,811.47144,811.215,811.1658,812.3604,813.2141,814.00964,814.511,814.87726,814.4635,813.3637,813.0221,813.33484,813.38995,813.6289,813.81537,814.23126,814.64594,815.88367,817.35944,818.09454,819.2368,819.6406,819.6156,819.73096,819.5618,820.01245,819.04395,819.39465,819.39545,819.4589,819.7083,819.98236,820.1675,820.1846,820.5281,820.6339,820.7748,820.7396,820.92444,821.04767,821.215,821.5043,822.4976,822.6053,822.9794,823.26044,823.1949,823.2437,823.3221,822.9395,821.86395,821.6299,821.6538,822.0937,821.6915,821.67053,821.4775,821.444,821.2174,820.9571,820.81006,820.53766,820.44867,820.4364,820.2314,820.2447,820.9055,820.999,821.012,820.5592,819.8308,819.1016,818.2131,817.35986,816.58105,816.1624,815.99927,815.90015,815.865,815.8473,815.79706,815.6811,815.41956,815.2042,814.85657,814.52014,814.31433,814.2534,814.3257,814.5998,815.12897,815.7005,815.9603,815.7286,815.1945,814.58264,813.8247,812.92426,812.35565,812.3356,812.6164,812.7521,812.61755,812.3412,812.0972,811.8202,811.4961,811.2844,811.1387,811.1387,811.1058,810.96747,810.84155,810.86804,811.3406,811.9235,812.34125,812.4553,812.35736,812.10156,811.42505,810.63306
2025-11-07 01:06:02+00:00,2025-11-07 00:00:00+00:00,815.25323,813.7673,812.7148,812.4851,812.7333,811.98645,811.8319,810.7016,810.14636,808.7994,808.54395,807.80286,808.3038,808.9091,809.4163,810.47095,811.79895,812.7362,813.5033,814.3388,815.3609,815.6986,815.68604,815.8167,815.2252,815.3989,816.28406,816.95154,817.5424,818.13336,818.8836,819.48676,819.21625,818.46875,818.13873,817.87524,817.0656,816.5922,816.38855,816.3663,817.8834,819.64954,821.02704,820.22687,820.3034,820.4917,820.4642,820.681,819.3726,820.113,820.31555,820.2314,820.54156,820.4768,820.436,820.66705,820.49194,820.704,820.63354,820.748,820.89734,821.21295,821.537,822.23303,822.97656,823.3846,823.91095,824.15576,824.44354,824.35583,824.44763,824.25146,823.1116,822.9327,822.8336,822.8466,822.7134,822.67975,822.34564,822.15265,822.2532,822.24023,821.7335,821.1338,820.9282,820.45013,820.13135,820.0542,821.0119,820.92096,820.7962,820.4862,819.8232,819.43884,818.6661,817.5348,816.37103,816.3086,816.3854,816.11176,816.0449,815.9598,815.8915,815.761,815.6304,815.57513,815.2136,814.9363,815.04346,815.1971,815.46326,816.40625,816.6693,817.2344,817.2446,817.1042,816.64624,816.14496,815.3735,814.4651,813.85724,813.7798,813.96826,814.08954,813.97144,813.74286,813.61224,813.8047,814.1421,814.3345,814.2181,814.04974,813.8993,813.88824,813.9755,814.25977,814.856,815.6028,816.13464,816.28186,816.2971,816.03766,815.4064,814.4572,813.7841,813.63354,813.8599,814.0184,814.0959,814.1892,814.3142,814.4065,814.4653,814.5085,814.5047,814.5801,814.6411,814.7437,814.9579,815.42017,816.3363,817.384,817.98236,817.809,817.30743,816.7625,816.42114,816.1874
2025-11-08 00:59:51+00:00,2025-11-08 00:00:00+00:00,815.07086,814.5955,813.93024,814.05853,815.53394,816.9022,818.29614,818.61505,818.5279,817.54694,817.13995,815.95795,815.8876,815.8851,816.07135,815.82904,817.2756,820.11664,820.3727,821.2141,821.5128,821.91724,822.2858,822.0135,820.2898,819.1938,818.66113,817.62286,816.976,816.1746,816.4349,815.6523,815.5047,815.6637,815.36865,814.937,814.6978,814.65137,814.13855,813.73895,815.2653,818.06366,820.19257,823.99725,824.37286,824.56287,824.7015,823.81714,822.7862,822.94403,822.8971,822.75934,822.6601,822.5079,822.2484,822.1089,821.8629,821.7632,821.65015,821.105,820.9455,820.5602,820.24115,820.41943,820.71655,820.42395,820.59973,820.01013,819.1142,818.18994,817.3211,816.7025,815.8536,815.7646,815.39484,815.29675,815.1978,815.3597,815.5349,815.16077,814.4576,814.6786,814.65985,814.1386,813.93494,814.1285,814.2346,814.6864,815.6811,816.1969,816.34924,816.4066,816.20795,815.751,815.3986,814.8635,813.42755,813.70966,813.6373,813.34,813.25183,812.7964,812.66974,812.73047,812.8293,813.1343,813.5567,813.2419,812.8925,812.87994,813.0124,813.099,814.22894,814.724,815.2636,815.50995,815.65076,815.48334,814.8815,813.9624,813.3833,813.47046,813.7606,814.08234,814.14746,814.1,814.05133,813.82526,813.56506,813.32056,813.27045,813.38275,813.5425,813.63403,813.8047,814.1341,814.868,815.7418,816.0946,815.70605,814.90594,814.019,813.17926,812.2354,811.53577,811.33716,811.31934,811.34296,811.1383,810.8674,810.5793,810.24274,809.88995,809.5213,809.0897,808.5945,808.4032,808.5959,809.04376,809.4422,809.7852,810.11646,810.3315,810.3621,810.2562,810.11426,809.92395,809.66174
2025-11-09 01:05:29+00:00,2025-11-09 00:00:00+00:00,819.6236,818.5212,817.6382,817.27893,817.1611,816.6972,816.3109,815.6974,815.48206,815.221,815.0733,814.914,814.94727,815.31,815.10425,815.2974,816.7986,819.62463,821.47675,822.9242,824.2933,825.2226,825.4941,824.9317,823.2606,822.45825,820.955,819.3872,818.55927,818.2684,818.0901,817.2444,816.20355,815.3866,814.86786,813.98413,813.6786,813.72473,813.4654,813.2519,814.44934,816.7098,819.3889,820.1092,819.48035,818.2204,817.2754,816.80133,815.9145,815.8121,815.9728,815.4748,815.57025,815.9547,815.74426,815.4329,814.65,814.79114,815.3146,814.5189,815.62244,814.33954,813.98895,814.1948,814.96234,815.5405,815.77106,815.7509,815.5527,814.79285,814.3603,813.86914,812.5301,812.4346,812.3034,812.15466,812.20435,812.25183,812.67065,812.849,812.6061,812.8262,812.99835,812.88257,812.9916,812.8284,812.9695,813.1291,813.98615,814.52484,814.8972,815.4979,814.77673,814.3851,814.3153,813.64075,811.8117,811.58325,811.1874,811.2187,810.97675,810.4142,810.4273,810.15295,810.1027,810.1204,809.73,809.1677,809.16394,808.9818,808.785,808.667,809.0914,809.5319,809.77026,808.85205,807.46906,806.1977,805.2163,804.2352,803.3156,802.43463,801.52905,800.70154,799.74884,798.8561,798.2665,798.1878,798.4606,798.8288,799.3406,799.91394,800.1636,799.69904,798.8673,798.34283,798.5813,799.2188,799.6962,799.9002,800.10266,800.10266,799.87494,799.481,799.4147,799.9386,800.79553,801.3192,801.20496,800.8402,800.6743,800.9984,801.4423,801.6161,801.05914,800.218,799.6455,799.74286,800.0337,800.433,800.8299,801.3063,801.4198,800.97345,800.1772,799.3986,798.6831,797.9794
2025-11-10 01:09:43+00:00,2025-11-10 00:00:00+00:00,820.0268,819.25555,817.73846,816.639,816.5813,816.4491,815.47327,814.7559,814.902,814.9484,814.6296,813.5134,813.1004,812.5688,812.8615,812.50977,813.2475,815.21594,817.99396,819.494,821.1787,821.70154,821.1982,819.50256,817.7809,817.9258,817.5355,817.3195,817.0805,816.50214,816.6283,816.56366,815.7703,815.04755,816.0397,815.94165,815.7276,815.2635,814.6691,813.5782,814.3094,817.2724,818.8979,816.7264,816.22034,815.79266,815.16833,814.484,812.9412,813.01154,813.0089,812.7463,812.51605,812.4327,812.3057,812.3918,812.686,812.39655,812.167,811.84454,811.7468,811.3878,811.0829,811.4242,812.0989,812.71075,813.25305,813.09875,811.9611,811.015,810.6627,810.1275,808.71173,808.39954,808.3773,808.01807,807.476,806.93243,806.2438,805.68243,804.8481,804.1901,803.4845,802.57184,802.6068,801.75635,801.61707,801.8299,802.3086,803.3296,804.386,804.0519,802.79224,802.54626,803.507,804.42505,802.4037,801.8717,801.7362,802.2167,802.9167,802.872,803.52704,803.1916,804.13477,803.7663,800.95435,801.56384,801.7562,802.2911,802.31366,802.1292,802.2009,802.0141,801.9584,801.7239,801.42346,801.3069,801.3001,801.30475,801.5346,801.9435,802.41797,803.0344,803.7042,804.4952,805.2422,806.0152,806.66504,807.14886,807.219,807.00134,807.24817,808.1525,809.4142,810.54803,811.3041,811.84546,812.13403,812.0695,811.7103,811.54285,811.5316,811.5512,811.6902,811.9361,812.1411,812.6377,813.4679,814.36646,815.0247,815.17255,815.04675,814.73615,814.3187,813.7922,813.5054,813.5499,813.80493,814.2793,815.1568,816.17804,816.861,816.9313,816.75616,816.3529,815.71655,815.0009
2025-11-11 01:03:32+00:00,2025-11-11 00:00:00+00:00,815.548,815.44434,815.58795,815.6874,815.8299,817.2709,817.4465,816.9482,817.1881,817.1519,816.29706,815.5024,815.0569,814.60876,814.53644,814.54987,815.68604,818.0251,820.1019,820.1602,819.80945,819.36395,819.07837,818.14575,816.2431,815.0286,813.57263,812.3149,811.00995,810.3024,810.61426,810.2624,809.82715,809.66754,809.65314,808.7454,807.78296,807.57697,807.3845,806.82245,807.8538,811.0105,814.7879,814.84973,813.9647,813.0688,812.6355,811.9103,811.4219,811.65137,811.53284,811.5211,811.3795,811.33124,811.21783,810.99225,810.92596,810.82666,810.3749,809.60297,809.31287,808.8632,808.68524,809.5113,809.9397,809.6611,809.95355,810.27936,809.0656,807.7465,806.64526,805.9246,805.21185,805.01105,805.01306,803.56586,802.8202,802.4228,802.0882,801.7372,801.64124,801.785,802.76,802.0727,802.08813,801.5394,803.3036,803.9264,804.5579,804.56995,804.56384,804.1238,803.2818,802.94666,802.8332,803.08795,803.9868,804.5823,804.869,805.5227,805.37,805.88116,808.1472,809.05927,809.107,809.71454,809.9699,809.95325,810.4959,810.36,809.68085,809.64307,810.4221,810.4803,810.7233,810.5271,810.057,809.6393,809.326,809.09155,808.96185,808.98737,809.1207,809.22107,809.35724,809.5443,809.68463,809.74506,809.72565,809.70605,809.6201,809.5007,809.414,809.2606,809.0935,809.0753,809.5495,810.14215,810.4343,810.30896,809.87115,809.3174,808.60126,807.6798,807.0601,807.0385,807.22003,807.3214,807.2324,806.92255,806.6782,806.38696,805.96906,805.7107,805.5652,805.5787,805.62506,805.7314,805.8708,806.2954,807.2045,808.2686,809.0597,809.09094,808.7219,808.4345,808.16394,807.8845
2025-11-12 01:05:17+00:00,2025-11-12 00:00:00+00:00,816.02625,814.14886,813.8136,812.2415,811.1111,810.82806,810.35944,810.1201,809.86646,810.25525,809.86206,808.89856,808.6671,808.9196,808.99927,808.7798,809.4022,811.22205,813.78735,816.37146,816.26306,816.1621,815.9812,814.6768,813.25006,812.24677,811.9214,811.87616,811.6369,811.02997,810.9821,810.5819,810.10034,809.23395,808.96014,808.8022,808.8215,808.5794,808.142,808.05963,808.5651,811.5001,813.30304,812.4302,811.00916,810.40295,809.81744,809.0616,808.002,808.1501,808.04,807.9221,807.37244,807.6948,807.4247,807.3461,807.676,807.2814,806.7884,807.2814,807.188,806.97986,807.53986,807.93665,808.9258,809.35364,809.7511,809.94653,809.2563,809.36755,809.556,809.4479,808.97565,809.6885,808.91077,808.4679,808.1125,808.3461,808.8252,809.0261,809.32733,809.33795,809.18823,808.87885,809.3619,809.56824,809.69495,810.3281,811.50415,811.603,811.8487,811.8455,811.9372,811.592,810.7489,810.6289,810.05145,809.6879,809.5303,809.38715,808.7972,807.65076,806.48474,805.859,805.6524,804.97894,804.6903,804.0515,803.6845,803.57367,803.1087,803.35144,803.3659,802.805,802.03687,801.37823,800.63873,800.204,800.3154,800.8129,801.2473,801.66656,802.0216,802.4393,802.8714,803.28723,803.719,804.3419,804.98004,805.41034,805.5869,805.4126,805.36554,805.14087,804.8805,805.07056,806.0041,807.4414,808.46576,808.93964,809.1209,809.1266,808.75024,808.1418,807.7582,808.00275,808.51587,809.07574,809.52356,810.0994,810.4193,810.54694,810.5294,810.54346,810.6862,810.92596,811.13324,811.291,811.4481,811.81757,812.6092,813.5871,814.2043,814.3047,814.16376,813.7134,812.882,811.76135
2025-11-13 01:21:33+00:00,2025-11-13 00:00:00+00:00,812.7119,810.7955,809.90955,809.6197,809.23395,809.48895,809.6503,809.17096,808.4289,807.2683,807.3526,807.21185,807.2446,806.89777,806.6396,806.40906,807.26666,808.5651,809.46765,810.95807,812.8748,812.47174,812.2736,810.7543,808.31134,807.63556,808.43384,808.6749,808.93506,808.9996,808.1009,807.3929,806.8874,806.3509,806.7587,806.7029,806.5483,806.4343,806.35364,806.95966,808.96326,811.35846,812.13513,809.7667,810.1363,810.5117,810.14716,809.86993,809.0378,808.9718,808.7219,809.0272,809.20374,809.63556,810.24316,810.7381,810.8817,811.1855,810.4032,809.90247,810.0255,809.97565,809.8568,810.4011,811.6806,811.6667,812.0891,812.26874,811.4555,810.1511,809.6641,809.1129,807.313,807.25214,806.96436,806.6589,806.1295,805.4243,804.79626,804.2174,803.63806,803.4896,803.0545,802.3473,801.75214,801.12415,800.8142,800.90405,801.82385,802.1843,802.3823,802.2992,802.1686,802.5214,802.7621,802.7533,801.9698,801.7689,802.31256,802.4563,802.55206,803.04767,803.3672,803.6548,803.8946,804.3737,804.2944,804.31036,804.27856,803.4266,803.09766,803.0292,804.1788,804.5818,805.0382,805.08984,804.94867,804.5923,804.0756,803.4517,803.0449,803.1274,803.46295,803.78094,803.9224,804.1601,804.23755,804.315,804.2648,804.32684,804.37396,804.4864,804.6783,804.9974,805.476,805.9433,806.4945,807.1881,807.6835,808.10785,808.5561,808.6772,808.37146,807.8427,807.50684,807.53015,807.83673,808.2221,808.742,809.34656,809.885,810.14465,810.2233,810.3878,810.75244,811.2841,811.83624,812.60095,813.43097,813.9735,814.1295,813.9643,813.73474,813.5854,813.28314,812.88116,812.1314,811.1161
2025-11-14 01:05:44+00:00,2025-11-14 00:00:00+00:00,808.33405,809.6871,809.9673,810.24713,810.39606,808.809,808.34143,807.2543,807.2587,807.12366,807.02954,806.60065,808.363,808.9917,808.27637,807.847,809.0904,810.3888,809.0086,809.2902,809.8018,810.0787,810.68054,810.8839,810.4797,810.3744,810.8842,811.1362,810.6174,810.3747,809.9177,809.7908,809.63116,809.5802,809.7726,809.42065,809.59863,810.03394,810.22266,810.2695,811.2413,813.60626,814.6079,812.13525,811.09595,810.3313,809.7413,809.3912,809.04346,807.70734,809.02765,808.9957,807.32074,806.7524,806.2701,805.3333,804.9113,804.5217,804.27704,803.87317,803.469,803.1177,802.8321,802.6128,803.4786,803.65436,803.9084,804.1633,804.062,803.5083,803.5826,803.63824,802.6137,801.9734,802.05334,802.26025,802.5952,802.5299,802.8667,802.7717,802.54974,802.74023,803.4373,803.2942,803.2966,803.2818,803.39526,803.8268,804.09863,804.1786,803.8268,803.04346,802.4352,802.21173,802.0699,802.3593,802.98334,803.83075,804.48627,804.9501,805.1572,805.2364,805.2842,805.444,805.4917,805.6194,805.9389,805.8113,806.00323,806.3071,806.5302,806.4335,806.24286,805.7323,804.9646,804.39026,803.91064,803.62225,803.6704,804.02264,804.34247,804.70996,805.04456,805.3783,805.5343,805.6094,805.81305,806.3098,806.8566,807.3705,807.7223,808.04156,808.29626,808.5,808.7181,808.8448,809.0442,809.2291,809.2339,808.9157,808.3719,807.9081,807.5555,807.22833,807.0063,806.8291,806.6802,806.68,806.8523,807.14453,807.25745,807.05756,806.6778,806.54425,806.8369,807.2963,807.7351,807.98694,808.2181,808.37726,808.55133,808.6176,808.6346,808.52185,808.24603,808.00916,807.6336,807.2604
