forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:24:33+00:00,2025-11-05 00:00:00+00:00,345.9637,28.610369,143.13002,161.56496,158.96242,168.69011,190.3048,180.0,195.25517,216.02747,216.86998,212.90524,210.46547,210.96368,213.23172,214.04597,209.60435,209.24873,206.56499,209.53868,209.84584,209.7448,210.78407,207.03078,210.80138,216.50153,224.29277,237.26477,241.85849,249.62347,257.4712,260.9098,267.70944,286.26028,299.98157,329.3494,357.87894,22.380184,19.983198,19.746927,17.87879,10.885482,357.5105,9.090207,7.4313188,6.0089183,6.70975,47.72637,92.72626,114.44395,117.64589,123.6901,136.63654,141.7098,148.24057,151.38963,156.50142,153.43501,148.57048,153.43501,162.3498,167.73524,178.02512,188.88058,191.30989,192.65256,197.10281,203.86018,204.70241,198.85326,204.30453,201.03758,197.10281,195.94547,190.00792,191.30989,193.39252,192.5288,198.43504,207.5972,205.64096,208.36896,215.07384,226.54811,229.89915,221.18582,236.88864,247.30617,253.9091,259.15973,263.36758,261.87,259.82455,256.86597,260.13425,295.34613,317.4896,293.1986,296.56497,172.87508,155.77226,135.0001,97.12492,127.875046,157.61983,184.96965,217.56866,214.82455,219.80553,231.34016,245.32315,257.5926,257.82855,264.2895,267.5105,271.24533,275.0795,284.93146,304.28693,320.4119,327.91785,327.52884,324.27252,320.64825,320.1945,320.31458,321.04407,321.04407,321.63248,322.3737,321.49933,320.63068,320.0425,321.34018,324.11777,325.53912,324.78232,324.24603,323.32556,322.4958,320.79282,318.81415,318.50363,316.5481,316.9749,321.34018,326.3099,329.03632,325.6196,316.8476,309.47244,305.83774,298.8107,295.46332,289.9832,284.6209,281.3099,285.4222,288.92474,289.29013,284.93146,280.0079,277.5237,280.0079,285.46127,287.19864,278.13,257.4712
2025-11-06 01:10:31+00:00,2025-11-06 00:00:00+00:00,212.79953,215.75398,228.91835,230.6307,241.85849,249.77505,260.53775,265.91446,276.84268,298.30066,323.42688,330.64233,360.0,25.346138,20.409975,19.359097,13.627024,1.7356651,360.0,355.23645,351.02744,345.06854,350.53775,353.9911,90.0,110.22495,119.05451,105.945465,117.75845,129.47243,125.21768,127.40543,135.0001,129.09386,124.3804,133.26433,126.86999,136.8476,142.43134,147.26479,155.55606,169.28693,178.60284,208.30066,207.95087,205.40767,204.77512,178.02512,180.0,178.26433,190.3048,183.27042,192.20045,196.69933,205.8663,205.34613,209.60435,207.51192,216.43095,245.43285,223.7812,223.99501,239.82657,251.93944,252.47433,254.05453,251.56496,254.29129,254.57777,275.7105,294.44394,360.0,318.36655,37.875053,102.5288,117.75845,147.72438,180.0,194.03627,202.47948,206.56499,200.32323,204.90474,205.64096,204.62355,213.23172,217.87505,225.78473,230.57222,228.21558,224.40942,225.57864,222.20723,219.95749,213.23172,232.59457,335.34412,334.2901,319.39877,331.1893,333.43503,326.853,322.3057,322.3737,319.93927,315.0001,314.27487,314.38403,316.30188,314.27487,304.46088,299.84583,297.6129,294.88034,290.22495,289.85532,290.26578,290.13638,290.44962,290.44962,289.59238,288.13818,284.74362,283.0693,282.30798,282.5288,282.75754,283.49576,285.46127,284.93146,281.5601,277.59454,274.96964,275.82623,278.42688,280.92276,284.5002,287.8504,289.3349,284.7968,274.76355,263.04712,251.56496,234.6887,218.991,212.00534,212.61923,212.19571,212.34741,212.90524,214.04597,213.02386,212.12497,212.47118,213.38853,216.43095,220.36446,227.23119,234.92616,239.19862,239.67648,238.39255,237.38077,236.0234,235.37578,233.88057,232.0012,229.574
2025-11-07 01:08:00+00:00,2025-11-07 00:00:00+00:00,61.55718,85.23644,98.13002,106.50443,106.9276,106.26028,115.46331,110.854546,113.198616,104.743614,109.290146,114.22774,119.74479,138.01286,144.63745,154.09355,165.5792,173.6599,169.28693,177.20735,187.35228,189.72751,183.01273,198.43504,192.26476,210.96368,212.19571,205.01686,198.9705,208.30066,209.0545,213.6901,210.96368,218.65984,263.15732,209.7448,281.3099,286.92758,302.7352,316.5481,326.3099,327.26477,307.87503,252.89719,218.65984,206.56499,182.86235,189.46225,180.0,26.564985,116.56499,126.86999,140.19447,128.2902,128.65984,161.56496,147.99466,185.19434,196.9276,202.1664,205.64096,207.3498,223.1524,238.13406,239.30035,209.42737,215.16652,214.50858,214.50858,208.92633,212.34741,201.5015,211.82741,240.94548,268.56793,317.64258,347.73523,294.1791,296.93945,326.3099,330.9455,322.43134,334.44006,327.61935,320.63068,316.63654,322.3057,329.03632,327.87503,322.12494,321.54626,317.8156,319.26797,306.86996,309.3517,317.7928,318.53238,324.11777,325.09744,323.13,313.91916,311.63345,302.61923,296.56497,295.7099,296.56497,291.80148,288.43503,282.26477,285.94547,289.53674,287.24155,263.41815,253.14151,257.4712,248.74942,240.94548,232.85323,223.91916,212.19571,203.19862,202.1095,204.10223,206.56499,210.17343,213.9965,216.6562,217.50421,218.15727,218.82983,220.97165,224.14499,227.56381,231.34016,234.34457,236.3099,236.5601,236.3099,235.81383,234.46223,232.69597,230.19447,227.9109,224.9999,224.9999,229.76372,238.17259,245.69547,252.1212,260.83774,268.15244,273.6913,275.35574,277.1249,275.52744,271.90912,273.814,283.24054,292.30624,296.56497,297.5119,297.8972,297.8972,298.9509,301.60745,303.6901,303.23172,299.98157
2025-11-08 01:01:49+00:00,2025-11-08 00:00:00+00:00,152.10283,146.3099,162.89719,173.29025,186.1154,188.88058,202.751,218.04709,236.3099,257.4712,231.34016,220.60121,232.43134,254.47583,271.73566,303.6901,301.75943,292.83368,280.0079,266.186,243.43501,222.27362,180.0,152.10283,130.23628,123.690094,98.74608,79.69521,127.875046,129.80553,117.89718,107.10281,116.56499,110.22495,146.3099,163.30067,203.6294,218.8845,224.9999,229.63554,231.63248,231.78893,226.93057,228.43373,226.2188,223.56796,219.20718,224.9999,239.0363,343.11313,334.69864,326.61145,330.39563,325.37576,320.57224,314.32605,311.63345,314.23618,315.0001,312.5104,306.86996,303.9766,311.009,308.79657,306.15826,305.07382,298.30066,288.1781,294.65588,300.11365,299.0545,308.65982,315.70724,303.38855,297.0505,290.17075,282.4074,275.49222,275.19434,281.113,279.63748,276.98096,275.94678,274.48453,271.24533,270.0,274.68582,277.76508,278.39285,278.00464,274.3322,273.46817,270.0,262.0305,242.176,230.38934,222.5104,211.26367,213.2749,214.59235,213.6901,214.07724,214.3804,213.36638,217.6943,218.50067,222.92996,223.53127,226.46873,223.60289,232.04572,236.76828,237.26477,237.72438,238.49579,236.97612,234.94049,233.47105,234.3601,236.05637,238.20113,240.12408,242.90453,246.97447,251.11382,254.47583,258.6901,261.6342,263.29025,264.95764,268.31534,271.68463,277.90707,285.0184,290.55612,293.07043,293.6821,293.78204,293.31772,293.45905,293.05133,293.0255,291.80148,292.47946,291.03757,291.80148,291.80148,291.03757,289.0936,282.5288,280.49142,280.49142,280.88547,280.88547,278.74606,278.74606,282.5288,293.4287,302.90524,308.08884,310.23627,311.18582,312.64667,316.73566,323.13,329.3494,332.1028,329.03632
2025-11-09 01:07:09+00:00,2025-11-09 00:00:00+00:00,50.194473,70.559875,69.775055,90.0,153.43501,86.186005,102.99462,56.309914,56.3099,138.36655,164.05453,169.3804,213.6901,217.87505,219.55963,227.04541,224.9999,222.95459,220.73201,218.48022,210.0685,204.10223,197.81898,196.69933,204.44394,212.27562,303.2749,320.1945,11.3098955,323.56903,334.2307,318.81415,308.65982,298.7397,297.55273,295.51382,293.9625,296.56497,296.99576,293.78204,292.6199,283.7995,275.80664,281.113,282.30798,288.77814,299.57773,313.0251,317.7928,315.74396,298.36896,300.96368,294.36243,287.52567,285.81924,283.81503,285.5726,284.5345,293.6821,294.90472,279.81924,276.11542,279.46225,286.29413,280.9806,284.6209,280.3758,281.15463,279.9041,272.16104,254.47583,236.82147,229.9698,220.0302,217.47626,219.61066,217.18478,219.98683,219.2894,210.96368,217.56866,222.58046,226.5911,228.09415,225.76381,227.35333,230.31459,233.65245,238.73633,239.18437,237.90744,242.6762,240.94548,239.0363,236.0035,237.0306,240.06857,246.3706,246.80138,251.56496,257.27563,260.83774,266.186,268.15244,275.7105,275.52744,277.3523,280.6196,277.59454,284.47034,285.0184,290.17075,297.47433,296.11386,297.01257,296.0753,292.0363,287.96924,285.7087,285.94547,288.43503,298.61035,310.60123,317.72638,318.991,316.33215,315.0001,315.0001,316.46872,315.0001,313.4519,310.36444,308.991,310.60123,315.0001,317.72638,319.7637,321.34018,321.1155,316.16904,304.28693,295.34613,300.96368,317.72638,333.43503,332.1028,326.97614,329.42084,349.21573,26.564985,49.899166,52.695976,48.179924,44.999897,46.73567,52.124958,54.16227,56.3099,59.93151,59.53454,56.309914,33.6901,333.43503,279.46225,249.44386,233.13002,206.56499,174.80566
2025-11-10 01:11:49+00:00,2025-11-10 00:00:00+00:00,159.77505,207.64589,220.23628,310.23627,305.4171,308.8534,318.62158,317.1211,314.29276,303.11136,302.00534,295.5599,299.8988,299.35767,298.68604,297.80136,294.05734,287.81897,273.23962,273.3018,267.83896,268.85425,276.63242,281.0409,290.92456,300.06848,300.96368,284.6209,278.74606,270.0,273.73132,283.24054,291.10492,290.6745,289.3846,279.0394,254.87593,252.25523,259.7779,272.6425,275.7927,280.1542,281.6336,278.48886,278.25934,266.6982,253.5399,245.69547,235.78424,219.28938,214.21576,215.36255,219.2894,219.80553,221.08165,220.48593,227.93575,230.85602,230.19447,229.76372,228.36655,223.45189,226.30188,240.14108,245.85446,246.12471,248.19853,245.28258,243.43501,246.66594,241.78273,239.30035,245.55606,249.07542,255.96373,264.80566,270.0,275.19434,274.63538,275.85593,276.3401,281.3099,289.44012,289.35907,293.38525,299.8988,302.79953,308.50067,312.1375,313.53125,312.7688,311.90585,314.19315,315.0001,304.3804,293.9625,297.75842,311.63345,321.34018,319.63553,322.3057,332.44727,334.53668,341.56494,348.6901,3.5762644,8.746089,6.3401003,33.6901,135.0001,149.03632,184.76355,192.5288,202.6199,213.11136,215.3113,214.21576,214.21576,211.60745,206.56499,206.56499,211.60745,219.55963,226.33215,231.34016,235.84026,239.03632,244.8852,252.07199,257.125,258.6901,258.6901,259.9921,266.6336,276.70975,287.3541,303.17853,323.13004,345.4655,18.435053,57.380775,72.03077,71.14675,66.29735,63.435013,64.65388,67.61982,72.64589,75.96373,77.660934,79.380394,76.865974,73.49557,70.20104,71.564964,75.96373,85.23644,96.84268,110.32322,120.65059,133.7812,145.40765,150.64235,146.3099,130.60121,120.256355,122.828545,130.10085
2025-11-11 01:05:14+00:00,2025-11-11 00:00:00+00:00,295.38788,295.67676,300.7841,308.50067,289.3349,281.72507,276.3401,280.3888,296.56497,293.7495,285.78082,284.57425,275.85593,279.46225,283.81503,287.6502,284.2373,279.0578,282.43954,276.1465,268.99493,259.79608,247.3801,227.72638,213.23172,212.73521,212.34741,213.17853,217.74687,220.46214,219.98683,218.85338,221.53168,217.64769,214.0194,217.11694,219.61066,223.45189,227.86247,232.54935,238.52321,243.43501,244.35904,251.56496,254.05453,252.58194,245.89777,234.86572,242.7005,251.56496,260.83774,270.0,273.6913,277.1249,278.61557,281.9761,285.25516,287.44727,288.43503,288.43503,289.0257,293.4287,298.8107,303.07068,303.6901,306.25394,307.5042,303.38855,298.70584,295.01685,272.3859,267.95465,281.68933,289.6539,298.30066,299.24872,303.6901,303.6901,303.11136,304.28693,306.86996,301.75943,304.9921,297.64587,297.64587,290.22495,291.03757,284.47034,266.72958,266.72958,263.9911,259.21576,260.31128,254.05453,257.73523,281.3099,292.83368,295.46332,295.5599,313.53125,338.9624,351.2539,6.842679,20.854538,18.435053,27.645891,30.963696,36.86999,46.73567,51.34017,51.009003,46.636536,32.73523,31.607454,12.99463,350.53775,335.55606,326.3099,360.0,108.43504,120.963684,139.08571,160.70985,175.23645,177.70944,177.5105,180.0,182.3859,186.3401,192.09474,197.81898,207.40749,215.13428,220.91429,225.83023,228.62158,231.63248,235.08052,236.79341,235.53912,233.13002,229.89915,226.78989,223.99501,221.76021,223.91916,229.23648,234.29321,238.78166,242.02061,246.3706,251.0295,253.81071,257.27563,256.86597,256.42953,258.31067,264.80566,271.5074,277.1249,280.71307,284.03625,289.0936,299.74478,311.42358,330.64233,21.037588,69.14546
2025-11-12 01:07:02+00:00,2025-11-12 00:00:00+00:00,249.14546,227.86247,226.27295,210.25635,206.56499,217.56866,227.38597,224.9999,228.99101,228.12221,222.95459,226.63654,225.83023,224.23619,226.50737,229.93927,232.92683,234.46223,238.09193,232.76509,232.3737,230.4774,219.40063,220.15593,229.53786,238.13406,247.69374,261.87,275.85593,283.67133,281.88864,278.13,277.3523,278.42688,278.74606,285.6423,285.25516,279.86575,271.5911,271.46878,279.46225,283.44864,282.9074,311.98712,311.63345,307.23492,286.6993,287.52567,294.22772,299.74478,306.38446,315.0001,304.3804,311.82007,311.82007,311.82007,313.4519,318.1799,318.36655,324.16226,316.9749,304.69522,302.7352,296.56497,270.0,254.05453,246.80138,244.7989,239.74365,237.26477,229.18501,224.9999,223.66785,228.65231,229.76372,236.7251,251.56496,252.89719,266.906,263.08887,273.814,291.80148,294.62354,303.6901,319.39877,318.01288,325.0079,344.05453,345.9637,309.28937,260.13425,250.55988,242.78397,215.53777,192.99461,199.79897,207.40749,205.8663,215.21768,225.9391,224.0609,231.34016,231.76613,235.95401,238.57048,237.72438,232.35231,235.95401,235.22209,237.72438,241.92761,249.67677,253.70587,255.3432,269.11862,271.84756,273.01273,274.57382,278.53067,285.4222,293.1986,291.80148,281.76825,278.74606,282.99463,289.79895,296.56497,301.32864,305.53775,311.82007,321.70978,335.55606,347.73523,357.3975,5.7105074,10.61961,348.6901,288.43503,254.05453,233.74606,217.87505,203.49858,184.57384,162.89719,150.9455,149.8587,152.78398,158.45895,167.00539,180.0,191.88864,199.35909,204.56715,207.89717,207.21602,205.94225,208.30066,217.09291,226.97493,232.79199,235.08052,237.14427,240.94548,246.80139,254.05453,262.52853,277.3523,294.65588
2025-11-13 01:24:35+00:00,2025-11-13 00:00:00+00:00,204.44394,224.9999,236.3099,242.90453,256.29303,259.9921,266.42374,268.09088,278.74606,277.8532,281.68933,284.6209,280.30478,273.17978,265.36462,265.13556,281.72507,291.61484,292.3802,293.45905,297.0505,300.06848,289.29013,287.6502,304.3804,300.96368,301.75943,302.61923,308.15726,308.92755,312.1375,315.0001,323.61554,315.0001,315.0001,315.0001,305.21768,306.02747,311.98712,270.0,267.13766,278.74606,273.9451,286.50443,284.93146,259.69522,231.34016,229.08571,235.6196,231.009,234.6887,234.6887,241.50446,241.38963,247.3801,251.56496,250.9743,260.53775,252.89719,254.93146,262.8751,252.25523,256.373,257.4712,254.74483,251.56496,247.28555,247.75093,236.3099,220.15593,214.07724,212.57405,217.30403,217.30403,220.10085,221.08165,224.9999,232.92683,235.75092,237.99466,238.32457,237.77127,237.77127,231.84273,227.07004,234.24602,239.9315,246.27959,253.52304,263.15732,273.7152,268.51218,283.627,278.97253,284.28113,283.7608,297.2995,299.24872,292.16638,306.46933,319.63553,321.34018,318.1799,310.10083,308.65982,309.55963,313.83093,316.27295,318.01288,318.1799,318.23978,317.2026,299.5387,282.5288,271.68463,261.11942,247.8336,234.46223,219.47243,197.52567,177.27374,164.93146,158.4985,156.0375,157.3801,161.0295,164.3577,169.6952,339.44388,348.6901,5.4402504,37.405437,53.61555,44.999897,24.443953,13.495748,15.642312,23.498587,30.579157,30.256361,29.981556,30.6506,35.75398,43.602894,49.398785,49.635548,46.54811,46.636536,52.124958,58.570484,63.435013,53.74608,40.601215,32.005356,36.253937,44.999897,53.13002,57.99466,60.64234,61.92762,57.264786,51.842735,44.999897,40.601215,40.601215,42.709366,52.431335,63.435013
2025-11-14 01:07:33+00:00,2025-11-14 00:00:00+00:00,210.25635,264.55975,275.44025,285.25516,303.02386,309.47244,307.6943,319.9698,318.991,321.9529,321.009,319.89914,311.42358,26.564985,356.98727,3.3664,6.3401003,298.61035,259.50858,250.9743,253.30067,237.99466,211.75943,211.75943,220.10085,218.65984,219.80553,224.9999,221.98714,230.44037,229.39879,232.69597,242.44727,243.43501,248.19853,251.56496,234.78232,246.80139,249.07542,257.3196,247.93205,240.42226,237.3391,242.44727,234.46223,228.91835,214.3804,217.77574,223.21011,230.6307,229.93927,236.5601,238.09193,243.03436,246.21796,246.0375,246.80139,237.20047,229.08571,235.49142,237.99466,243.9247,241.69934,252.07199,263.06573,266.98727,267.02634,299.0545,296.56497,286.5874,286.46008,314.0907,309.3693,313.1524,316.90915,315.0001,313.0251,310.81497,303.11136,301.32864,299.24872,297.47433,302.00534,297.55273,290.55612,292.6199,307.11694,309.20718,299.60434,297.072,296.05344,292.71445,291.54105,296.56497,291.03757,285.25516,340.0168,16.699326,39.805527,61.92762,64.98315,69.44387,77.4712,95.7105,107.52566,112.833694,109.440125,83.29026,28.30066,1.5481218,81.38444,35.909817,42.709366,48.65233,41.82009,34.3804,20.854538,12.26477,14.036275,20.556128,25.640957,28.30066,33.178535,34.69522,36.86998,39.289394,40.364468,34.9921,25.463305,20.854538,23.198618,30.963696,36.86999,40.601215,43.667847,46.27295,48.99101,52.3057,56.3099,57.724377,55.491425,56.3099,63.435013,68.74943,75.25639,81.46932,87.13766,90.0,90.0,87.13766,84.2895,83.99109,86.98728,86.82024,80.53775,71.564964,69.775055,75.96373,84.55976,92.60251,95.19434,95.44024,95.7105,92.86235,87.27374,87.27374,92.72626,100.30479
