forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:24:45+00:00,2025-11-05 00:00:00+00:00,120.256355,155.37645,169.8754,173.6599,177.70944,186.1154,186.1154,192.5288,193.49574,195.6423,196.50444,196.50444,192.09474,204.14554,208.30066,211.37296,211.53474,213.95909,214.69522,217.18478,218.78438,218.65984,216.38445,212.00534,209.29126,218.85338,228.57643,244.17906,285.6423,254.57777,263.6599,284.03625,306.86996,312.5104,329.03632,7.853233,8.97255,10.840266,16.699326,21.59538,15.068549,17.700521,24.102238,61.389645,74.74483,92.385895,100.88548,98.42689,98.42689,107.818985,115.64096,124.286934,135.0001,133.45189,135.0001,139.89915,152.24155,161.56496,155.22488,160.34608,167.00539,172.87508,182.3859,190.95403,194.38142,198.03438,203.49858,208.9509,212.79953,212.6609,201.16133,194.93147,203.19862,197.81898,190.95403,189.72751,191.59215,195.59286,201.37068,200.80687,211.75943,221.98714,225.74397,239.74365,228.12221,235.0079,242.8504,251.11382,246.3706,248.83867,253.14151,251.07526,250.1447,254.93146,289.6539,309.8055,345.9637,71.564964,143.13002,188.13002,243.43501,198.43504,237.26477,229.39879,233.61555,250.20103,270.0,265.76367,267.5105,281.3099,272.79263,280.4374,284.47034,270.0,265.36462,281.88864,300.96368,314.29276,323.65244,330.35022,335.32315,337.69376,338.57465,338.71353,338.06146,337.75092,337.3801,338.89508,340.6154,342.216,343.49554,343.11313,342.47433,340.3461,338.19852,335.63754,332.52567,330.12408,326.92932,323.36578,320.52756,319.0857,325.84024,337.8336,351.2539,357.79745,357.87894,360.0,2.2025495,4.398633,4.763556,5.19435,3.0127327,360.0,352.40543,340.3461,323.13004,294.77512,266.82022,255.37909,257.27563,262.69434,266.09958,270.0,275.7105,278.13,265.91446,240.2552
2025-11-06 01:10:51+00:00,2025-11-06 00:00:00+00:00,207.25525,216.86998,224.9999,242.02061,252.1212,235.78424,263.41815,282.26477,298.61035,315.0001,332.1028,348.31067,2.7926505,12.094739,19.133741,18.778133,14.036275,17.52567,15.945477,21.44781,39.805527,60.94549,66.37061,85.76369,96.91113,120.65059,116.56499,120.65059,122.73522,121.82741,119.53869,124.159744,125.537766,125.311295,126.027466,131.98714,113.19862,360.0,155.55606,165.96373,172.14677,181.63654,198.43504,214.90257,216.43095,220.46214,202.6199,201.80147,201.80147,212.47118,202.93213,207.55272,201.80147,194.47034,207.97939,206.56499,218.2902,227.81563,229.23648,264.09396,243.43501,235.30478,241.8215,239.03632,240.06857,242.78397,251.56496,256.60748,254.05453,250.9064,244.7989,227.12111,218.2902,209.4758,226.73567,231.34016,223.1524,213.6901,206.56499,217.87505,232.12495,216.38445,223.36346,223.53127,223.66785,227.04541,228.17992,229.60017,222.56331,233.61555,242.38705,248.34395,253.70587,252.47433,243.43501,348.0239,342.072,341.56494,337.1663,337.12628,331.5259,334.7469,338.8752,345.9637,342.75845,341.56494,339.6768,337.21756,341.91644,336.6444,330.5242,312.18436,293.86017,289.47665,293.27896,294.59976,297.824,300.1413,300.19153,298.36896,296.56497,292.4428,288.43503,286.26028,285.78082,287.19864,288.88617,288.43503,287.81897,283.49576,277.1249,272.3859,267.70944,265.91446,266.53183,266.906,268.60284,270.0,268.80655,262.8751,253.8865,246.29735,237.52882,226.27295,214.82455,207.47435,206.56499,206.56499,208.88649,210.1413,213.2749,214.8754,216.60716,218.65984,222.27362,224.9999,230.52757,237.3391,245.46228,249.56708,250.61539,250.9422,250.0168,249.3255,247.21756,244.98314,239.9315,231.34016
2025-11-07 01:08:18+00:00,2025-11-07 00:00:00+00:00,84.805664,79.87539,93.46816,96.340096,95.19434,107.52566,121.82741,124.69522,119.98155,120.46546,120.0685,125.837746,18.435053,128.15727,152.59251,168.69011,188.74608,196.69933,199.35909,206.0033,203.83875,204.22774,191.76826,178.02512,185.7105,181.9091,191.76826,194.03627,185.7105,190.88548,197.92801,207.97939,218.15727,222.61401,303.6901,241.92761,270.0,285.94547,348.6901,15.945477,30.465475,65.22488,114.44395,239.9315,253.30067,282.5288,342.8972,32.471172,90.0,130.91429,150.64235,141.84273,200.55612,224.9999,237.09476,219.09384,204.44394,223.02507,219.47243,221.42357,212.47118,252.25523,231.84273,218.08882,220.71075,224.9999,228.14505,231.07245,235.53912,230.35587,202.47948,255.37909,250.9064,307.56866,5.4402504,353.34567,358.23764,358.05856,15.679591,0.8813861,2.6424956,352.5687,351.87,350.66507,349.99207,349.33026,348.5305,346.8094,346.86597,347.36664,344.42737,331.76263,316.8476,316.30188,320.31458,324.11777,327.77127,328.62704,329.74365,325.40765,321.63248,318.01288,318.1799,318.36655,319.89914,320.1945,338.74942,327.26477,308.65982,250.34608,234.78232,221.98714,223.87679,236.3099,236.6336,235.37578,233.13002,230.19447,224.9999,216.52895,208.30066,204.14554,202.98874,203.9625,207.18103,211.86594,215.83774,217.64769,218.23386,218.8845,218.41809,215.53777,218.92755,229.39879,239.9315,245.46228,246.3706,245.37645,244.91644,244.91644,244.44008,242.90453,237.0306,226.04153,220.426,226.27295,242.5925,254.57777,260.21765,261.87,265.76367,272.20255,281.3099,286.26028,287.6502,283.39252,283.39252,287.74475,291.16132,294.56717,299.0545,304.07724,307.99878,310.60123,312.39737,318.01288,327.52884,338.9624
2025-11-08 01:02:03+00:00,2025-11-08 00:00:00+00:00,221.63345,158.19853,169.50858,197.10281,210.37904,208.49554,207.07199,247.69374,257.90524,257.73523,241.69934,218.65984,214.69522,307.56866,313.1524,342.8972,356.82022,340.0168,180.0,192.99461,182.29056,182.4895,162.64589,158.19853,162.64589,165.2564,140.90616,141.7098,133.26433,111.801476,133.36346,120.46546,116.56499,224.02907,230.90614,227.60262,227.81563,218.45374,234.92616,235.49142,228.44748,225.59058,227.83418,240.64233,241.46011,243.88614,237.09476,266.72958,346.15927,341.0534,333.01984,332.44727,334.48618,338.8752,345.25638,348.11136,343.0091,347.00537,348.17853,344.9816,330.9455,330.9455,330.25522,324.46225,326.3099,324.78232,297.8972,277.59454,294.04422,302.1712,307.47626,316.2188,313.0251,308.65982,303.9965,296.05344,292.8906,285.46127,283.49576,286.09088,287.3541,286.8215,282.99463,279.16226,271.68463,273.094,275.49222,273.3664,270.0,266.76038,265.60138,262.0305,256.21838,245.05612,229.574,216.46933,203.9625,202.47948,207.3498,216.25392,220.31403,216.11943,218.48022,222.7688,224.27486,226.5911,231.51978,231.51978,236.97612,232.43134,240.85202,244.61214,245.77226,244.57317,244.5367,241.87636,237.89377,235.75092,238.52321,243.43501,246.80138,248.19853,249.44386,251.56496,252.1212,252.1212,252.1212,255.96373,261.38443,266.6336,275.04236,283.24054,292.1095,305.75397,323.53067,333.43503,324.86572,310.76352,302.57404,295.94223,287.928,284.47034,290.77234,303.17853,313.72705,323.13004,332.52567,337.3801,335.55606,326.3099,319.0857,317.29062,315.0001,315.0001,306.86996,299.74478,288.43503,288.43503,288.43503,296.56497,298.0724,298.4428,300.37906,304.69522,313.4519,319.0857,300.96368,240.94548
2025-11-09 01:07:21+00:00,2025-11-09 00:00:00+00:00,67.61982,87.5105,106.38962,125.21768,147.26479,160.55988,129.80553,258.6901,180.0,188.74608,213.6901,217.56866,217.40543,215.13428,231.54626,229.02835,224.21526,225.76381,226.30188,226.93057,223.60289,224.16977,226.2188,219.80553,247.69374,302.96942,299.8988,296.56497,297.55273,294.56717,317.6026,313.87677,326.76828,316.33215,306.86996,323.47104,304.28693,306.86996,310.29205,306.02747,288.03436,290.22495,283.0693,285.59286,286.88687,302.7352,321.89236,302.90524,303.20657,303.11136,285.25516,281.113,279.95056,275.7105,281.07016,290.0953,305.21768,304.50858,302.90524,290.55612,270.0,270.0,273.3664,279.46225,274.927,270.0,275.59924,276.58185,274.39862,266.34784,245.85446,228.01286,212.00534,202.47948,210.1413,213.2749,219.61066,223.02507,218.65984,220.73201,224.9999,228.57643,235.22209,235.1246,228.23979,228.46832,233.13002,242.6502,248.19853,249.02643,246.12471,243.81195,249.02643,245.9245,228.17992,228.27058,246.50142,261.2539,266.0549,263.6599,259.50858,257.90524,262.1468,267.87894,276.58185,288.43503,300.57913,303.02386,292.83368,282.5288,283.24054,287.52567,289.9832,287.74475,283.57043,294.14554,309.17365,319.39877,325.84024,335.22488,341.56494,343.73972,340.20102,338.19852,337.3801,339.44388,340.8209,345.3791,350.53775,355.23645,357.5105,360.0,357.13766,349.99207,329.74365,302.47116,270.0,251.56496,245.85446,247.52052,252.89719,257.73523,259.21576,258.6901,260.53775,262.8751,270.0,278.74606,293.1986,303.6901,310.60123,323.97253,6.3401003,48.814175,63.435013,66.801384,75.068535,90.0,110.55613,128.15727,144.46223,161.56496,176.42374,180.0,172.87508,165.96373,154.7989,144.16226
2025-11-10 01:12:09+00:00,2025-11-10 00:00:00+00:00,203.55228,298.5399,302.3474,300.51016,320.4119,310.17917,322.9434,321.48303,318.14505,318.62158,315.0001,316.08084,316.27295,292.83368,311.42358,315.61597,299.1675,288.43503,277.1249,285.06854,284.93146,286.6993,284.26456,283.43103,290.3232,288.69907,281.49652,280.954,263.6599,287.81897,305.53775,270.0,284.03625,264.95764,248.19853,248.5522,233.47105,243.43501,270.0,276.25394,272.6025,270.86804,269.1575,267.83896,261.2539,253.5399,234.46223,218.04709,207.40749,204.90474,213.2749,212.57405,217.34943,220.97165,221.72942,224.19316,227.4896,231.14662,236.3099,237.0306,236.68936,237.42595,235.49142,243.43501,244.74687,248.19853,248.70258,249.86362,254.18074,242.94948,229.89915,224.9999,246.19405,275.52744,272.12103,265.91446,264.09396,266.0549,276.11542,290.55612,304.3804,315.0001,312.8789,325.4914,333.43503,342.64587,360.0,333.43503,327.52884,322.69595,330.75128,332.6502,336.3706,339.44388,342.34976,336.5014,356.186,360.0,360.0,24.623547,48.57643,66.37061,71.564964,44.999897,24.443953,18.435053,345.9637,288.43503,198.43504,192.5288,191.30989,189.46225,193.39252,203.7495,210.65059,214.69522,218.36752,220.81499,216.02747,205.55992,201.37068,203.49858,212.47118,218.991,223.53127,229.39879,233.97253,236.3099,239.0363,242.24155,248.19853,255.37909,260.53775,262.8751,262.5687,261.87,259.9921,257.00537,246.0375,229.39879,216.86998,201.80147,190.3048,175.23645,167.00539,160.34608,159.44388,149.03632,125.537766,101.3099,87.614105,85.42616,87.70944,92.29056,94.57384,96.84268,104.03627,117.552734,135.0001,146.76828,157.93205,166.26372,170.9098,169.3804,163.17851,158.96242,159.27437,161.07526
2025-11-11 01:05:27+00:00,2025-11-11 00:00:00+00:00,292.9638,295.79596,287.6502,285.80258,280.88547,279.1301,272.6025,272.6025,272.72626,280.78424,292.06796,252.3498,240.75127,243.43501,268.9191,273.63287,270.0,266.53183,266.186,254.57777,251.24126,247.30617,231.14662,217.56866,200.77234,204.44394,213.31064,213.36638,215.39488,211.42952,215.36255,209.0545,206.56499,216.52895,214.21576,216.57312,221.63345,225.97093,234.34457,235.66972,234.58286,236.0234,237.99466,249.77505,250.9422,247.98866,234.46223,224.9999,251.56496,261.87,277.76508,297.8972,303.6901,310.2363,303.6901,313.0251,320.1945,324.46225,326.97614,323.74606,324.46225,325.30478,307.56866,306.25394,301.4295,292.24908,300.65057,305.53775,310.0302,313.26434,318.81415,321.34018,327.99466,329.03632,326.3099,327.99466,293.1986,290.55612,309.8055,310.60123,299.0545,281.3099,264.2895,264.2895,276.3401,264.80566,258.6901,239.9315,244.44008,242.52565,241.8215,250.9743,255.52966,259.21576,249.77505,255.96373,263.9911,273.57626,289.44012,306.25394,344.7448,349.69522,355.03033,9.462248,12.804273,17.52567,33.6901,42.27363,38.65983,60.255207,81.25392,120.256355,138.36655,186.00891,203.6294,218.15727,229.76372,232.43134,215.53777,193.39252,180.0,169.6952,153.43501,140.19447,150.2552,168.11136,180.0,186.84268,190.88548,195.06854,195.06854,193.49574,197.74477,208.30066,220.426,228.81418,235.0079,239.21593,241.69934,243.86905,244.7989,243.9247,238.39255,229.23648,222.61401,229.574,240.94548,247.47939,249.77505,252.64589,257.4712,265.23645,275.19434,281.3099,276.70975,262.40546,248.96242,245.22488,246.80138,244.98314,233.74606,221.18582,214.3804,213.6901,213.6901,214.69522,213.6901,206.56499
2025-11-12 01:07:17+00:00,2025-11-12 00:00:00+00:00,214.69522,190.88548,197.96924,200.09532,204.22774,207.18103,212.57405,221.63345,217.14677,223.60289,219.28938,212.19571,213.23172,219.20718,228.90059,235.24402,238.52321,240.75127,242.10283,243.43501,240.4886,234.34457,223.02507,218.15727,226.33215,237.52882,229.89915,236.88864,247.06787,258.31067,270.0,279.46225,306.86996,326.3099,336.0375,341.56494,323.13,321.34018,279.46225,257.4712,289.79895,289.9832,279.92618,319.63553,318.1799,312.8789,292.3802,307.40543,343.0724,339.14545,347.19574,2.385899,357.3975,352.5687,331.9276,333.43503,315.0001,311.18582,284.03625,270.0,236.3099,215.53777,229.76372,220.10085,213.6901,220.23628,234.29321,239.03632,241.07367,240.64233,233.13002,229.89915,232.12495,235.78424,236.88864,250.82089,245.37645,255.4655,265.03033,264.80566,275.44025,284.03625,279.09018,278.74606,281.3099,285.94547,290.55612,276.84268,264.09396,263.29025,258.6901,251.11382,250.34608,242.7005,236.97612,226.46873,205.1148,224.9999,228.12221,229.84407,232.59457,232.85323,233.74606,237.84773,245.89777,253.0091,246.80139,246.57129,239.03632,237.17146,239.23735,246.3706,249.56708,247.06787,252.824,253.9091,253.41258,252.40749,249.62347,243.43501,238.67136,242.35411,249.14546,256.60748,257.19574,258.23172,260.9098,272.4895,291.80148,306.86996,315.0001,324.46225,333.43503,180.0,184.39862,189.46225,203.9625,224.9999,234.46223,233.97253,230.71062,226.39711,221.00899,212.73521,209.53868,211.82741,217.87505,221.49637,222.70937,221.63345,219.61066,218.8845,217.40543,217.11694,217.97166,220.06071,223.69812,232.04572,242.6502,249.73422,249.62347,246.61476,247.93205,257.38068,277.2531,300.01828,314.23618,324.58286
2025-11-13 01:24:48+00:00,2025-11-13 00:00:00+00:00,216.25392,234.46223,234.86572,235.71307,253.0724,259.69522,258.6901,263.41815,276.84268,289.6539,307.87503,288.43503,251.56496,251.56496,275.19434,282.99463,295.34613,299.60434,300.61853,297.5119,299.74478,309.20718,318.1799,310.36444,325.0079,318.36655,327.38077,345.52966,348.31067,8.130019,360.0,338.74942,348.11136,2.6025116,28.810698,29.054508,15.945477,354.80566,352.87506,239.0363,287.3541,298.8107,270.0,231.63248,233.13002,232.43134,224.9999,224.9999,213.6901,216.02747,228.17992,240.5242,236.82147,254.57777,260.53775,265.91446,276.84268,270.0,280.30478,284.03625,265.23645,254.74483,249.67677,244.23071,236.76828,236.3099,237.99466,239.03632,235.30478,234.78232,247.3801,219.55963,216.25392,224.9999,232.3737,234.78232,240.4613,240.2552,241.87636,247.3801,247.6713,250.55988,249.44388,243.43501,239.88634,240.85202,243.82477,246.3706,251.30092,259.01938,261.75375,265.66776,290.6745,297.84747,308.15726,315.0001,302.82855,303.6901,301.32864,297.64587,296.56497,301.4295,315.0001,332.1028,343.61038,6.0089183,22.380184,38.157276,55.304783,66.801384,114.44395,132.5104,165.06853,187.43132,189.46225,205.55992,220.60121,230.71062,233.13002,231.34016,222.27362,204.77512,186.70975,182.72626,192.26476,208.44283,217.23491,219.61066,219.2894,222.08908,234.6887,276.3401,312.8789,295.01685,248.74942,231.009,234.86572,242.74475,250.46326,282.99463,31.75944,42.357407,42.580452,39.644142,38.884502,44.999897,55.304783,62.525658,59.420856,48.366554,39.805527,36.38445,34.3804,35.837746,43.02507,55.491425,64.79892,67.61982,64.79892,60.64234,53.74608,44.999897,40.601215,42.27363,48.814175,57.99466,59.03632,55.304783
2025-11-14 01:07:48+00:00,2025-11-14 00:00:00+00:00,295.20108,342.25522,350.9098,344.93146,2.0453732,360.0,343.61038,337.1663,339.44388,333.43503,356.6336,6.0089183,351.2539,7.12493,17.354122,26.564985,90.0,116.56499,194.03627,214.50858,207.64589,210.57915,196.9276,191.68935,197.81898,197.24155,194.93147,198.43504,206.56499,202.93213,209.24873,210.25635,208.44283,205.64096,201.4478,203.7495,208.61037,208.61037,235.78424,235.78424,236.3099,237.61934,243.43501,234.60512,237.87503,242.24155,244.1337,235.43741,231.1886,236.82147,240.5929,241.46011,239.48984,243.43501,245.77226,247.52052,252.47433,250.27763,243.43501,243.00424,240.37634,240.85202,243.43501,252.38733,259.3804,271.70978,275.8773,284.26456,284.44406,298.76755,306.67444,297.01257,297.072,305.36255,329.74365,336.2505,329.74365,344.05453,349.8754,343.0724,337.6198,318.01288,323.13004,340.3461,356.82022,7.59456,348.6901,270.0,219.28938,236.3099,243.43501,257.73523,256.60748,270.0,224.9999,259.3804,184.76355,129.80553,132.27362,139.39879,144.46223,142.59457,147.09476,141.34016,146.3099,154.65387,173.6599,206.56499,9.462248,27.758451,71.564964,29.475794,37.234917,32.275623,40.236294,41.42357,41.185825,41.760216,43.91917,47.290634,51.072456,52.124958,51.842735,51.842735,52.431335,53.530666,54.46224,53.61555,52.124958,50.52757,48.57643,46.73567,48.366554,56.3099,65.37646,72.89719,76.50425,80.13426,81.86999,84.55976,87.5105,85.23644,78.6901,70.90642,67.83361,71.564964,77.00539,80.53775,79.21575,70.559875,64.98315,59.03632,56.3099,55.491425,59.53454,63.435013,72.47434,84.2895,98.13002,108.43504,114.22774,119.05451,120.46546,119.05451,112.833694,109.290146,100.784256,92.72626
