forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:24:37+00:00,2025-11-05 00:00:00+00:00,1023.6153,1024.4128,1025.4086,1025.5061,1024.506,1024.5038,1024.4004,1024.3971,1024.4944,1023.99414,1024.192,1024.391,1023.89154,1024.206,1024.429,1023.9444,1022.9564,1021.66626,1019.97375,1018.98065,1018.7809,1018.47644,1018.2643,1017.6568,1017.65393,1017.2517,1016.4512,1016.44867,1016.54785,1016.74603,1016.6455,1017.1419,1017.3369,1017.2319,1017.42725,1018.32263,1019.92035,1020.835,1021.63837,1022.24207,1022.44653,1021.8515,1021.455,1020.4629,1020.5598,1020.65295,1021.03345,1021.8217,1022.3166,1022.6126,1022.7099,1022.9083,1022.5083,1022.10846,1021.60956,1021.2102,1020.811,1020.412,1020.1137,1019.9156,1019.8192,1019.63617,1019.0568,1018.2738,1017.4741,1016.6707,1015.67334,1014.6823,1013.9843,1013.2837,1012.7739,1012.5666,1012.1652,1011.86505,1011.3652,1010.9654,1010.1678,1009.5693,1008.9705,1008.87024,1008.2731,1008.274,1008.0755,1008.1776,1008.57983,1008.98157,1009.18054,1008.9853,1008.69745,1008.00757,1007.2115,1007.00354,1007.2971,1007.7993,1008.5883,1009.4871,1009.77814,1010.1741,1010.47345,1010.6731,1010.57855,1010.47943,1010.5793,1010.3738,1010.07324,1009.8733,1010.073,1009.87427,1010.2759,1010.1849,1009.99567,1009.60535,1008.8138,1007.92004,1007.21497,1006.916,1006.81555,1006.9119,1007.40295,1008.09094,1008.8784,1009.86536,1010.9518,1012.0401,1013.03186,1014.12555,1015.0204,1015.8155,1016.511,1017.3065,1018.4008,1019.5953,1020.5924,1021.2937,1021.69727,1021.90173,1021.6076,1021.014,1020.61804,1020.71893,1021.0175,1021.51324,1022.1047,1022.79376,1023.3846,1023.78046,1024.0786,1024.2772,1024.1753,1023.8742,1023.6725,1023.4705,1023.36884,1023.46674,1023.86285,1024.3596,1024.7614,1024.9718,1025.0881,1024.9012,1024.1101,1023.0168,1022.2209,1021.92255,1021.9213,1021.9175,1021.9088,1021.89703
2025-11-06 01:10:38+00:00,2025-11-06 00:00:00+00:00,1014.96454,1015.0634,1015.46094,1016.0546,1015.453,1015.05096,1014.8509,1015.5481,1015.7436,1016.1379,1017.13196,1018.3267,1019.62585,1020.2424,1021.3461,1021.54913,1021.5533,1021.5568,1020.9579,1020.65924,1020.9579,1021.0542,1020.9426,1021.7299,1022.7201,1023.0136,1022.4094,1022.1055,1022.1008,1021.79834,1021.29553,1020.9942,1020.89166,1020.39026,1020.0894,1019.8894,1019.4899,1018.90967,1018.44617,1017.96405,1017.47534,1015.98737,1014.69226,1013.9878,1013.3839,1012.57996,1012.0765,1012.1662,1012.0667,1011.4688,1011.1682,1010.86743,1010.1674,1009.66754,1009.36664,1008.9667,1008.76697,1008.96765,1008.96765,1009.1683,1009.4714,1009.6808,1009.7924,1009.702,1009.3089,1008.516,1007.92004,1007.622,1007.6201,1007.9131,1008.3969,1009.18787,1009.88495,1010.2842,1010.6826,1010.8823,1010.5799,1010.4797,1010.3738,1010.47345,1010.3776,1010.27686,1010.77515,1010.47656,1010.68036,1010.6879,1010.49774,1010.3028,1009.40967,1008.21826,1007.3259,1006.8281,1006.5267,1006.61835,1006.7994,1007.092,1007.48834,1007.8843,1008.2835,1008.1826,1007.9681,1008.7495,1010.54596,1011.83203,1012.3294,1014.12775,1014.5269,1015.22144,1016.3103,1017.20996,1018.0151,1018.5198,1018.3252,1017.82745,1017.5271,1017.62494,1017.9211,1018.41547,1019.3071,1020.49744,1021.48956,1022.18536,1022.78284,1023.2803,1023.6776,1023.8758,1024.1737,1024.3717,1024.67,1024.9677,1025.463,1025.9581,1026.4578,1026.8649,1027.1765,1027.0874,1026.3961,1025.4037,1024.6088,1024.3114,1024.3114,1024.4084,1024.6003,1024.8893,1025.1809,1025.3777,1025.5774,1025.6772,1025.4766,1025.0756,1024.7758,1024.5763,1024.3782,1024.2798,1024.2798,1024.3798,1024.3843,1024.2966,1024.1127,1023.62714,1022.5381,1021.04755,1019.75354,1018.8557,1018.1542,1017.7503,1017.74207,1017.9309
2025-11-07 01:08:06+00:00,2025-11-07 00:00:00+00:00,1020.3307,1021.6249,1021.7203,1022.21674,1021.0142,1020.6132,1019.41284,1020.2091,1019.608,1019.70654,1019.40735,1019.3088,1018.3118,1017.23004,1016.54944,1015.46893,1014.77966,1013.9802,1013.4901,1012.6928,1012.0953,1010.9961,1010.5865,1010.57794,1010.6763,1010.47345,1009.4714,1009.2728,1008.9771,1008.4765,1008.1703,1008.1678,1007.7639,1007.562,1008.0585,1008.3551,1009.05255,1009.46405,1009.8768,1010.2867,1010.4934,1009.79846,1009.40247,1009.01605,1008.81555,1008.9098,1009.4916,1010.28094,1010.6763,1010.874,1011.37213,1011.2719,1011.17334,1010.9759,1010.7783,1010.876,1010.773,1010.5723,1010.37256,1010.1725,1010.1738,1010.483,1010.3953,1010.20544,1009.8101,1008.91864,1008.1258,1007.32904,1007.02405,1006.9129,1007.2996,1007.7927,1007.98895,1007.29016,1007.2905,1007.3923,1006.49164,1006.1924,1006.58417,1007.8796,1008.06384,1009.16,1009.7535,1010.45154,1011.4495,1012.3472,1012.941,1013.4365,1013.9306,1013.8272,1013.6243,1013.3201,1013.9195,1015.0173,1015.9154,1017.51263,1018.4104,1019.5001,1020.19244,1020.9899,1021.38873,1021.78595,1022.38214,1022.8785,1023.2744,1023.67175,1024.1692,1025.1638,1026.3605,1026.8729,1027.1847,1027.0931,1026.402,1025.3105,1024.515,1024.4171,1024.6165,1024.813,1024.7053,1024.5942,1024.4861,1024.4825,1024.4822,1024.3821,1024.182,1023.78265,1023.4837,1023.1848,1022.7867,1022.5885,1022.58887,1022.68994,1022.59436,1022.3053,1021.8199,1021.0325,1019.84314,1018.4522,1017.25806,1016.56,1016.0588,1015.75446,1015.7459,1015.93414,1016.12555,1016.2235,1016.22473,1016.12555,1015.9242,1015.7219,1015.4202,1015.11804,1014.7161,1014.51544,1014.6153,1014.81696,1015.0217,1015.33374,1015.64856,1015.56116,1014.76917,1013.5751,1012.7774,1012.47687,1012.573,1012.76666,1013.25574,1013.94244
2025-11-08 01:01:54+00:00,2025-11-08 00:00:00+00:00,1010.16876,1009.86786,1009.56616,1009.6637,1008.46295,1007.8663,1007.66284,1007.9615,1007.8616,1008.1646,1008.46423,1009.36005,1009.3604,1009.2701,1009.6798,1009.8863,1009.793,1009.69727,1009.2944,1009.1967,1009.09784,1009.19635,1009.08923,1009.6815,1010.3761,1010.3738,1010.2743,1010.37476,1009.9722,1009.36896,1008.56757,1008.267,1008.26764,1007.773,1007.4713,1007.8751,1008.0786,1008.1848,1007.68835,1007.39575,1007.3977,1007.00354,1006.20844,1006.5241,1006.42267,1006.613,1006.69635,1006.9881,1007.3812,1008.0815,1007.28107,1007.8726,1007.27563,1006.4768,1007.95355,1008.4437,1009.03864,1008.3362,1009.43207,1010.2252,1011.22064,1012.3206,1013.1254,1013.23254,1013.23706,1012.94135,1012.6437,1012.74255,1013.23895,1013.9323,1014.61975,1015.61127,1016.9014,1017.8959,1018.59674,1019.5904,1019.88525,1020.2827,1020.6802,1020.97424,1021.2716,1021.66943,1022.2672,1023.16486,1024.0629,1024.77,1024.9777,1024.1881,1023.79706,1023.00366,1022.209,1022.4114,1022.2113,1022.3088,1022.39594,1022.6848,1022.78125,1022.5799,1022.2797,1021.8804,1021.2802,1021.07916,1020.7794,1020.6815,1020.38257,1019.8871,1019.6912,1019.39233,1019.3939,1018.9061,1018.22125,1017.3336,1016.2452,1014.8538,1013.8597,1013.2609,1012.8586,1012.6557,1012.85156,1013.1464,1013.54236,1013.7404,1013.9395,1014.1386,1014.23694,1014.3352,1014.3325,1014.3294,1014.22644,1014.32336,1014.61975,1015.01666,1015.41766,1015.7274,1016.04193,1015.9529,1015.2583,1014.2613,1013.4622,1013.26117,1013.25836,1013.45294,1013.7439,1014.2325,1014.6233,1015.01886,1015.4173,1015.71564,1016.0123,1016.3093,1016.5065,1016.70404,1016.8022,1017.0003,1017.3966,1017.79346,1018.19507,1018.6056,1019.02136,1019.134,1018.64197,1017.9478,1017.3508,1017.05164,1016.95026,1016.94574,1017.23706,1017.7251
2025-11-09 01:07:13+00:00,2025-11-09 00:00:00+00:00,1009.9769,1010.97296,1010.8713,1011.26843,1010.4684,1009.8717,1009.374,1009.07385,1008.7758,1008.4734,1009.0709,1009.4675,1009.2666,1009.5765,1009.58826,1009.6937,1008.7985,1008.40564,1006.9189,1006.9214,1006.8218,1006.71686,1006.50616,1006.5975,1006.79126,1007.4881,1007.4852,1007.0848,1007.38556,1006.8812,1006.0789,1006.5681,1006.9569,1007.252,1007.74786,1008.2423,1009.4328,1009.7298,1009.8293,1010.33075,1010.93243,1010.73694,1010.539,1008.65216,1009.2486,1009.7418,1010.72894,1011.4187,1012.0118,1012.5155,1013.11456,1014.8051,1015.1932,1015.1864,1015.68604,1016.4839,1016.7815,1017.27405,1017.97144,1018.67163,1020.0714,1021.2771,1021.78424,1021.3923,1021.09973,1020.7058,1020.2107,1019.9146,1020.4133,1020.61005,1020.99695,1021.7862,1022.38214,1022.6791,1022.6791,1022.2784,1021.57916,1021.37915,1021.17944,1021.07916,1020.78,1020.2821,1020.0861,1019.78815,1019.7901,1020.1022,1019.61755,1018.43054,1017.14154,1016.25024,1015.0564,1014.06036,1013.66,1013.85425,1014.145,1014.5396,1014.9359,1015.2335,1015.7299,1015.6263,1015.4241,1015.6234,1015.6199,1015.91565,1015.8132,1015.91284,1016.0127,1016.21265,1016.5131,1016.82574,1017.0417,1017.0526,1016.4615,1015.467,1014.76953,1014.5686,1014.66516,1014.8595,1015.25073,1015.73987,1016.1312,1016.427,1016.6254,1016.82324,1017.0204,1017.2172,1017.4142,1017.5105,1017.50696,1017.7034,1018.0987,1018.5942,1018.9954,1019.3065,1019.62305,1019.5373,1018.94763,1018.0563,1017.3614,1016.962,1016.66016,1016.55524,1016.74664,1017.1355,1017.4269,1017.52356,1017.5226,1017.5216,1017.41986,1017.21796,1017.1158,1017.21277,1017.4093,1017.70593,1018.30164,1018.99774,1019.4986,1019.8071,1020.01996,1019.9315,1019.34094,1018.5489,1017.854,1017.45496,1017.2533,1017.2492,1017.44214,1017.9328
2025-11-10 01:11:56+00:00,2025-11-10 00:00:00+00:00,1007.0943,1007.89087,1007.78925,1008.1873,1006.89014,1006.1895,1005.4877,1006.07196,1006.5619,1008.14594,1008.94037,1009.2331,1009.52936,1009.827,1010.62714,1011.0313,1011.03613,1010.9417,1010.2404,1010.24115,1010.8383,1011.0348,1011.3283,1011.9202,1012.714,1013.2088,1012.9134,1013.31335,1014.3062,1014.79944,1015.4857,1015.985,1016.7815,1017.8751,1019.0717,1020.5675,1022.0624,1022.7698,1022.4781,1022.68555,1022.49255,1022.0989,1022.0029,1021.5107,1021.5107,1021.8073,1022.19366,1022.883,1023.2799,1023.37775,1023.37616,1022.97675,1022.2778,1022.1783,1022.0806,1021.7824,1021.4854,1021.28766,1021.189,1020.9899,1020.89166,1020.60205,1020.21576,1019.12726,1017.93866,1016.6481,1015.4549,1014.6589,1014.1596,1014.15515,1014.3456,1014.7372,1015.3295,1015.8235,1016.1236,1016.02344,1016.02344,1016.22217,1016.4178,1016.8143,1016.6114,1016.7097,1017.20703,1017.6052,1018.20404,1019.1179,1019.5324,1019.34033,1019.1457,1018.3504,1017.6543,1017.3551,1017.6533,1017.9463,1018.4264,1019.1167,1019.7114,1020.20935,1020.5071,1020.7051,1020.70386,1021.00183,1020.9989,1021.29553,1021.1945,1021.19293,1021.3913,1021.88995,1022.3914,1022.8024,1023.2181,1023.33154,1022.84247,1021.9514,1021.15576,1020.65643,1020.2538,1020.04834,1020.23785,1020.62415,1020.9142,1020.91064,1020.8107,1020.61127,1020.31085,1019.91077,1019.5107,1019.2106,1019.1099,1019.0099,1019.2086,1019.40735,1019.6115,1019.62463,1019.542,1019.25714,1018.4682,1017.4767,1016.58167,1015.9825,1015.5799,1015.3738,1015.4635,1015.75,1015.9396,1015.8352,1015.6339,1015.4333,1015.33203,1015.232,1015.1311,1015.0284,1015.0249,1015.0227,1015.121,1015.2209,1015.32385,1015.5318,1015.7424,1015.65265,1014.86334,1013.7735,1012.8796,1012.5787,1012.4734,1012.4681,1012.6633,1012.8586
2025-11-11 01:05:19+00:00,2025-11-11 00:00:00+00:00,1011.9247,1012.8201,1014.01874,1015.00964,1014.7043,1014.7991,1015.69403,1016.08856,1016.6871,1017.1844,1018.37695,1020.37164,1021.26843,1021.8749,1022.5815,1022.88715,1022.3924,1021.9988,1021.8019,1021.9053,1022.0067,1022.3053,1022.1991,1022.7906,1023.68494,1023.6824,1022.8808,1022.6781,1022.17755,1022.07745,1021.77655,1021.4803,1021.5798,1021.1814,1020.9801,1020.78,1020.5791,1020.29956,1019.71356,1019.3253,1018.8344,1017.94434,1016.8535,1014.7594,1014.45984,1014.35486,1014.4433,1015.029,1015.62396,1016.1205,1016.61804,1016.71735,1016.816,1016.9151,1017.11285,1017.5089,1017.50757,1017.7063,1018.1063,1018.40375,1019.1023,1019.7159,1020.13153,1020.1427,1019.8502,1019.156,1018.4596,1017.96094,1018.0598,1018.35175,1018.7332,1019.32666,1019.5228,1019.8224,1020.12134,1020.21893,1019.81573,1019.7155,1019.81244,1019.6115,1019.4103,1019.3071,1019.4054,1019.504,1019.8042,1020.1172,1020.1337,1019.8463,1019.4559,1018.2634,1017.06946,1016.2719,1015.97174,1015.6645,1015.64624,1016.03906,1016.435,1016.3325,1016.1312,1016.02985,1015.72797,1015.7262,1015.6246,1015.8218,1016.11816,1016.51373,1017.1103,1017.5082,1018.3054,1018.8156,1019.32666,1019.4361,1019.0447,1018.25055,1017.6549,1017.3557,1017.2543,1017.34985,1017.7411,1018.3294,1018.7205,1018.8166,1018.715,1018.61456,1018.41394,1018.2139,1018.01447,1017.9152,1018.0158,1018.0168,1018.1159,1018.21515,1018.31885,1018.6302,1018.9458,1018.8596,1018.0709,1016.7811,1015.6877,1014.89,1014.3895,1013.98627,1013.9796,1014.17035,1014.26324,1014.1612,1013.96173,1013.6621,1013.26276,1012.7634,1012.36304,1011.9618,1011.6593,1011.4567,1011.452,1011.54706,1011.5474,1011.4583,1011.2745,1010.88837,1009.9984,1009.00616,1008.1109,1007.6116,1007.30945,1007.3047,1007.59705,1007.9874
2025-11-12 01:07:07+00:00,2025-11-12 00:00:00+00:00,1021.88763,1022.38336,1022.9816,1023.07947,1021.7779,1020.77747,1020.9772,1020.8751,1021.17334,1021.0735,1020.87445,1020.6747,1020.275,1019.99396,1019.7108,1019.0226,1017.8327,1016.8427,1016.0525,1015.45746,1015.0592,1014.6566,1014.7442,1015.2335,1015.9281,1015.92615,1016.0275,1016.52563,1017.02295,1017.119,1017.3139,1017.8071,1018.2027,1018.4991,1018.6966,1019.3942,1020.09125,1020.3048,1020.62573,1021.03925,1021.14545,1019.8518,1018.75665,1018.45416,1018.7514,1019.0431,1019.52344,1019.9156,1020.5131,1020.71094,1020.80817,1020.8078,1020.60614,1020.7035,1021.0011,1021.0991,1021.09753,1021.1965,1021.2943,1021.4921,1021.9908,1022.40515,1022.52203,1022.2366,1021.6464,1020.4551,1019.3601,1018.6618,1018.06195,1017.7551,1017.737,1018.03046,1017.92737,1017.5261,1017.4253,1016.725,1016.42676,1016.1248,1015.4364,1015.03796,1015.0354,1014.73425,1014.63727,1014.53613,1014.9289,1015.1391,1015.0545,1014.66675,1013.9707,1012.7717,1011.38574,1010.7911,1010.19244,1009.8863,1009.5712,1009.8625,1009.8599,1009.36066,1009.0617,1008.7629,1008.06287,1007.56573,1006.96735,1006.26666,1005.8654,1005.56586,1005.466,1004.8684,1005.1685,1005.0751,1004.8835,1004.4941,1003.6032,1002.40894,1001.5137,1001.21497,1001.21405,1001.41125,1001.8051,1002.397,1002.99115,1003.6901,1004.392,1005.0923,1005.59076,1005.9879,1006.38446,1006.7796,1007.1738,1007.769,1008.5637,1009.55945,1010.35925,1011.16565,1011.7767,1012.08636,1011.6942,1010.90137,1010.40515,1010.30536,1010.50195,1010.8962,1011.4866,1012.27405,1012.8649,1013.1626,1013.3635,1013.36487,1013.0659,1012.6668,1012.1677,1011.66846,1011.16895,1010.8693,1010.8684,1010.9677,1011.1695,1011.3762,1011.68555,1011.3939,1010.2006,1008.407,1007.2102,1007.0099,1007.2067,1007.6025,1007.8972,1008.2907
2025-11-13 01:24:39+00:00,2025-11-13 00:00:00+00:00,1014.13354,1014.4296,1015.7262,1016.7263,1016.52527,1016.7203,1016.6159,1016.8102,1017.30566,1017.20416,1017.8005,1018.79706,1018.9948,1019.0099,1019.5305,1019.4496,1018.85864,1018.46216,1017.6664,1017.3662,1017.46454,1017.5601,1018.0457,1018.53424,1019.2252,1019.6185,1019.7118,1020.1051,1020.501,1020.3979,1020.39374,1020.6911,1021.1868,1021.58295,1021.7791,1022.37573,1022.87305,1023.0875,1022.91223,1023.1243,1022.7335,1021.64154,1020.54706,1019.4565,1018.8567,1018.6497,1018.6318,1019.12726,1019.02515,1018.9206,1018.619,1018.2181,1017.3178,1017.1206,1016.72943,1016.52936,1015.9312,1015.6218,1015.4206,1015.2269,1015.3219,1015.6339,1015.5477,1015.16425,1014.7578,1013.37885,1012.18933,1011.39465,1010.89307,1010.482,1010.5685,1010.46265,1010.26,1009.7649,1009.2641,1008.86676,1007.9671,1007.4688,1007.069,1006.66895,1005.97095,1005.4707,1005.3702,1004.8709,1005.0722,1004.9762,1004.9849,1004.7921,1004.20044,1003.00946,1002.21423,1001.915,1002.3148,1002.50977,1002.90643,1003.7037,1004.4983,1005.1928,1005.88934,1006.486,1006.98535,1007.4814,1007.9712,1008.7609,1009.1555,1009.65106,1010.2464,1010.9426,1011.8394,1012.6468,1013.3569,1013.5648,1013.47235,1012.4798,1011.6853,1011.48566,1011.58295,1011.7782,1012.2705,1012.8611,1013.354,1013.55194,1013.6526,1013.55444,1013.15814,1012.5637,1012.1671,1012.06793,1012.0677,1012.2664,1012.6635,1013.26056,1013.8597,1014.5632,1015.3683,1015.77454,1015.4816,1014.78925,1014.39325,1014.59143,1015.18585,1015.8785,1016.7677,1017.855,1018.7451,1019.14124,1019.44025,1019.53986,1019.63794,1019.5369,1019.63617,1019.8365,1020.13727,1020.4376,1020.83624,1021.3347,1021.63513,1021.8397,1022.0465,1021.9514,1021.6533,1021.05396,1020.65393,1020.35364,1020.25256,1020.2512,1020.6494,1021.34686
2025-11-14 01:07:38+00:00,2025-11-14 00:00:00+00:00,1018.42957,1018.724,1019.7171,1020.7106,1019.607,1019.2035,1018.8991,1019.0927,1019.3905,1019.6881,1020.5844,1021.3801,1021.67676,1021.6893,1022.5153,1022.83124,1022.3419,1021.94885,1020.5563,1020.0589,1019.95935,1019.6569,1019.5442,1019.533,1019.72644,1019.52124,1018.8178,1018.9138,1018.411,1017.8097,1016.9098,1016.6098,1016.20984,1016.10803,1015.60876,1015.6084,1015.908,1015.42334,1014.74927,1013.8635,1013.1766,1011.8872,1010.9939,1010.59326,1009.8935,1009.48456,1009.17426,1009.4716,1009.3707,1008.274,1007.7728,1007.1738,1006.57666,1006.0758,1005.57556,1005.27576,1004.6771,1003.97784,1003.6776,1003.77655,1003.97534,1003.8783,1003.58527,1003.4962,1002.90515,1001.61255,1000.7182,1000.42145,1000.52075,1000.5116,1001.10895,1002.1041,1003.38806,1004.079,1004.67584,1005.3799,1006.1646,1006.8563,1007.4498,1008.0443,1008.63916,1009.2356,1010.03156,1010.6287,1011.5259,1012.43506,1013.2472,1013.756,1013.3635,1012.6693,1012.0733,1011.8752,1012.47314,1012.9657,1013.54803,1014.4433,1014.94196,1015.34296,1015.9392,1016.1354,1016.4356,1016.6372,1016.8404,1016.84076,1016.7343,1016.8334,1016.6356,1016.63696,1017.04694,1017.05554,1016.86206,1016.5711,1015.7385,1014.7346,1013.93896,1013.44025,1013.1457,1013.2481,1013.94244,1014.9327,1015.9259,1016.6254,1017.3276,1017.8288,1018.2279,1018.52625,1018.82385,1019.2211,1019.5184,1020.01605,1020.61456,1021.41406,1022.1152,1022.91956,1023.62555,1024.0305,1023.73303,1023.13464,1022.7361,1022.83795,1023.1394,1023.5395,1023.9373,1024.4337,1024.7297,1024.8254,1024.7207,1024.6174,1024.6171,1024.5178,1024.419,1024.1191,1023.71893,1023.61945,1023.921,1024.4225,1024.8248,1025.2272,1025.5295,1025.4326,1024.7367,1023.7411,1022.8454,1022.3486,1022.0506,1021.8515,1021.8503,1022.04675
