forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:04+00:00,2025-11-05 00:00:00+00:00,14.386494,8.209263,10.805998,13.450708,13.896187,13.104198,11.770403,11.367109,12.074766,14.494192,16.92383,16.78156,15.141414,14.118243,12.783802,15.546833,17.786331,15.30741,14.291592,12.387348,11.435313,9.585739,6.3690495,1.484318,6.9247384,8.4042845,8.766573,9.931042,10.685391,11.988594,14.773164,17.057314,19.107151,21.94524,22.545315,23.166218,29.09103,31.336546,24.43761,19.107151,21.603,17.654688,13.0447235,14.618837,13.608762,11.440978,11.013882,10.703569,10.1887,8.557102,7.172949,5.00128,5.4477882,10.30883,11.480557,18.668005,17.992796,19.35314,20.188908,24.216522,27.397867,28.19285,26.649727,26.302181,24.609364,22.065973,19.45333,18.03237,15.978486,14.799459,13.661038,9.826088,7.2359104,6.87779,7.7043357,5.904439,6.9899354,9.726665,6.9899354,5.506941,7.2359104,8.049845,7.653705,9.585739,14.512064,17.555305,18.175545,22.346113,24.84,27.362366,30.962095,29.522196,30.855171,28.551426,26.544964,25.630886,26.552288,27.059933,28.00837,28.732422,28.394392,28.075384,27.267473,26.739542,24.967497,24.184391,22.148046,20.620804,19.64228,18.161278,18.0,17.581125,17.786331,17.610588,17.31746,17.31746,17.057314,16.299694,14.618837,12.55879,11.043261,10.137692,9.565437,8.891344,8.654986,8.759178,8.647496,8.287822,7.5942073,7.2805495,7.2359104,7.208994,7.2359104,6.519877,5.7599998,5.4119864,5.4119864,6.130579,6.162207,6.0347,5.904439,6.193674,6.830519,7.928178,9.3876505,10.495713,11.570515,12.6462,13.698934,14.77755,16.215992,17.731598,19.35314,20.833395,22.104116,23.40277,23.499481,22.963936,22.553934,20.929594,20.150354,25.699057,32.688713,35.945957,35.9946,35.68542,34.882866,33.092598
2025-11-06 01:11:20+00:00,2025-11-06 00:00:00+00:00,8.373386,10.308831,9.255571,9.826088,10.233123,8.14587,10.703569,12.229406,15.072783,18.59845,18.391737,20.371038,20.696087,21.638964,17.654688,22.89611,22.930048,20.172853,19.134262,17.555305,16.363178,15.281989,16.516901,19.33639,17.447933,14.917212,17.114204,17.873554,16.45007,15.281989,18.709612,20.00512,20.771093,20.65848,18.709612,17.106628,16.65754,20.265795,18.079027,17.902534,17.208603,15.978486,14.587776,16.923828,14.917212,13.450708,11.090103,8.587338,8.905908,5.154415,6.696387,5.5887027,6.489992,9.726665,7.42159,8.350138,9.114471,8.28,8.4042845,11.4862,12.496718,11.966954,14.081477,18.25026,20.833395,23.042812,24.933735,26.693459,28.528723,27.210379,24.735432,23.532547,24.75638,27.534704,27.059933,25.772078,25.72174,26.009844,26.28,26.31942,26.758923,26.474075,25.72174,25.501621,24.72495,23.507751,21.817902,20.767975,21.129885,19.855558,19.161337,17.87718,17.399586,15.629971,11.808878,10.464797,10.195057,9.931042,8.714677,8.287822,6.9527545,5.7599998,7.2805495,8.557102,8.707237,8.587338,9.449572,9.178235,10.009036,10.028439,10.829958,11.874544,15.192682,16.87398,19.201874,19.829433,20.16,20.5484,21.986542,23.78453,25.210283,26.282465,27.359999,27.362366,26.642431,25.199999,22.366402,17.873554,15.072783,16.595179,19.110542,21.749481,24.248613,25.872454,27.276978,28.220417,29.548521,30.29566,31.193535,31.771912,31.688177,31.353088,30.05515,28.551426,27.820337,28.594517,29.951483,30.911821,31.353085,31.450073,31.104082,30.413076,29.035288,27.792374,26.6327,25.509243,25.006397,25.86494,27.333935,28.829233,30.413076,31.999523,33.137604,33.3559,32.789658,32.35997,31.956968,31.25372
2025-11-07 01:08:45+00:00,2025-11-07 00:00:00+00:00,6.763786,4.379589,3.8939953,8.669949,7.289444,8.942214,12.245293,14.118243,18.161278,23.241617,23.587555,24.18707,26.64,24.821732,26.072052,25.478743,23.068108,17.935081,22.476227,18.581022,14.336861,11.367109,10.086427,8.287822,8.373386,9.19939,9.3876505,5.2416787,10.239453,11.91812,15.646544,17.418196,18.289274,15.542662,19.8,20.037485,23.269482,22.932877,24.993437,25.277023,25.9225,23.34455,25.346148,23.936617,25.582806,26.64,24.20314,22.127556,19.353138,18.11841,17.551615,16.87398,19.453327,21.129883,21.889065,21.67786,22.104116,21.710716,21.94524,21.67487,21.650938,20.87379,19.134262,20.972897,20.87379,20.3774,19.881649,20.969807,19.576189,16.981165,14.480773,10.514218,11.212135,10.97262,10.00256,8.4963045,8.427383,6.519877,6.151683,8.587338,9.290511,9.673221,10.195057,11.090103,11.298495,12.313893,14.003029,16.862455,20.870687,22.881956,25.233406,26.124195,25.764534,25.812277,26.319422,27.475807,26.368616,25.455843,23.051247,20.523157,17.782686,11.200571,11.043261,16.981165,16.62249,17.771753,21.841648,24.884306,26.882141,29.374763,29.379177,31.079071,31.89608,32.825207,32.28981,31.559086,30.737339,30.068083,30.068083,30.5173,31.193535,31.82082,32.682766,33.221584,33.46645,33.353954,33.05145,32.359974,31.178993,29.651413,27.381308,24.821732,23.688984,24.144167,25.600533,27.598173,29.5551,31.89608,32.83705,31.826931,30.096085,27.579382,24.696102,21.479664,18.626305,16.595179,14.618837,13.18308,11.885453,10.799999,10.086427,9.826088,9.793058,10.308831,10.308831,10.483357,10.365251,10.163227,9.983106,10.00256,10.296251,10.703569,10.195057,8.435069,5.692099,2.7416782,1.8,6.12
2025-11-08 01:02:24+00:00,2025-11-08 00:00:00+00:00,6.9899354,6.5693827,4.73506,9.028754,6.489992,11.384198,13.0447235,12.313893,10.594036,11.923557,14.904173,16.78156,16.870138,15.9134655,17.31746,18.079027,20.945072,21.2522,22.881956,22.253124,21.96295,23.893261,22.751316,20.316889,20.188908,21.434364,20.211363,13.32,22.33161,19.734436,16.09969,20.767975,22.26477,23.617756,25.212852,23.675303,22.42427,21.638964,20.371038,26.42753,27.459293,26.980793,26.865265,20.46941,20.771093,20.140705,16.45007,13.217443,11.983188,10.948973,10.787993,9.339208,7.42159,6.151683,4.198285,2.16,4.8433046,7.8954163,9.449572,10.009036,10.805998,10.966713,11.841756,15.745627,19.211996,21.897945,24.216522,27.193705,27.086262,27.72,28.082308,30.960001,31.328272,28.162956,29.301878,27.193705,24.884306,20.49156,13.684735,12.7279215,14.759999,16.45007,16.73516,19.592731,20.46941,20.150354,20.345573,24.40046,24.94413,29.162222,30.684587,29.96662,30.007679,28.712116,29.96662,29.827904,29.96662,29.973106,27.682571,29.46947,29.651413,30.070238,28.660158,26.925497,26.925497,27.553524,27.908709,25.992397,25.455843,26.405453,27.381308,28.66468,30.500309,31.853388,34.06521,33.857227,32.85678,31.303444,29.024128,26.302181,23.710857,21.749483,20.447239,19.486609,19.319628,19.969458,19.652176,18.204042,16.279802,15.111424,14.205182,13.797912,13.441071,13.138765,13.358861,13.32,13.202726,12.979984,12.031756,10.009036,7.289445,4.1046314,2.1897945,6.989936,11.480557,14.021525,15.580141,17.429354,19.878391,22.66857,24.514387,24.95452,24.20314,22.657131,20.364674,17.771753,16.746773,17.81909,20.774214,24.18707,27.381308,30.657122,32.688713,31.688177,28.99062,25.455843,21.980644,17.57744
2025-11-09 01:07:40+00:00,2025-11-09 00:00:00+00:00,20.150354,18.35647,16.610792,18.472595,17.727943,18.971008,17.935081,17.610588,17.581125,18.35647,19.862083,20.620804,21.710716,21.889065,24.023088,24.149532,23.358425,22.539564,21.980644,20.87379,19.296135,19.008545,18.079027,16.610792,14.48972,12.397806,9.511088,7.145796,6.725354,5.4833565,3.0758414,1.8,6.2145634,7.9932966,9.1641035,9.686609,9.504272,10.931203,10.739833,12.904882,15.509274,16.394829,19.930477,28.266306,30.317043,29.195534,29.88217,30.248568,30.293522,31.845251,27.343414,27.047956,20.06334,17.651016,15.137133,10.587918,11.609651,13.1041975,14.685176,15.542662,16.071491,19.586117,20.188908,23.023117,24.826954,27.504093,29.088802,28.757215,28.220419,29.142216,28.017622,24.149532,20.150354,20.275385,23.263912,22.077717,21.794127,24.675106,24.967497,21.897945,21.434364,21.273533,21.068459,21.603,20.326454,18.331741,17.298738,19.0392,23.188583,23.847115,24.33664,24.514387,24.023088,22.380884,19.191748,13.207634,12.9249525,12.429127,12.371645,11.885453,11.609651,11.304229,11.367109,10.661107,10.24578,10.041354,8.854829,7.289445,5.904439,4.6938252,5.991594,6.638072,8.404285,10.383987,12.594856,14.021525,15.0038395,15.575981,16.055355,16.641972,17.673029,18.581022,19.373219,20.111729,20.633371,20.633371,21.142147,21.650938,22.915916,23.933908,25.20257,26.983196,28.510544,29.793125,31.394394,32.55363,33.651817,34.69847,35.42846,35.74167,35.58359,35.27632,34.76377,34.04047,33.441265,32.919827,32.48788,30.222849,26.052162,20.06334,12.605142,3.7064266,13.392774,23.166218,27.80403,30.312769,31.92654,31.404713,28.673721,27.06472,27.532352,28.33957,28.84047,28.36471,27.381308,26.099379,24.344624,22.59699
2025-11-10 01:12:38+00:00,2025-11-10 00:00:00+00:00,6.696387,7.172949,6.725354,5.8603754,4.0249224,1.2979984,5.4833565,8.78872,9.114471,9.9571085,9.47012,9.36,13.039754,16.167967,16.78156,18.86139,20.268991,21.566975,24.798223,27.345785,28.948118,29.957968,27.44513,24.609364,24.087738,24.535524,23.03156,22.86496,18.161278,12.88981,9.931042,12.224107,15.30741,12.682018,15.856354,13.849477,15.2947035,17.873556,14.973577,19.523155,24.795612,29.69727,30.811037,29.46287,30.953718,28.58545,28.220419,27.558228,25.567604,25.43802,26.141552,26.427528,25.952478,25.772078,23.73271,23.686249,22.930048,20.523157,19.483284,19.296133,19.201874,21.03152,20.898611,21.175835,23.871555,25.277025,25.872456,24.863466,23.664352,22.476227,17.068707,11.966953,11.966954,11.298495,10.703569,10.365251,9.449572,9.227524,8.225035,5.991594,4.1046314,1.9386592,2.0991426,4.3349743,5.8048253,6.1305785,7.928177,8.39657,8.287822,10.00256,10.630672,10.739832,10.514218,11.988594,11.090103,12.7279215,13.527572,13.905509,14.345898,14.345898,14.84318,16.327497,18.35647,18.782204,19.839235,20.265795,22.086521,24.248613,25.809765,27.231804,28.820242,31.259941,33.74796,35.15488,36.869694,36.82925,35.90086,35.143818,34.62369,33.864883,33.636406,33.61714,33.60171,33.3559,32.58348,31.336546,30.145567,29.237675,28.460497,28.162954,28.712116,30.113304,30.75209,30.113304,29.024128,27.783045,27.288855,26.434887,25.772078,24.798225,23.507753,20.12461,13.684735,5.4833565,1.9386592,7.10031,12.397806,17.399586,23.667091,29.947153,34.137413,35.09769,33.973778,33.190357,33.425762,33.834255,34.152596,33.93179,33.72491,33.1845,32.305862,31.355152,30.574575,29.601109,29.07989,28.038431,27.067116,26.27753
2025-11-11 01:05:47+00:00,2025-11-11 00:00:00+00:00,34.743263,29.379177,28.017622,23.277834,20.88,13.450708,15.815435,18.25026,20.858265,18.35647,18.532133,20.326454,21.096123,20.858265,20.991426,23.068108,27.212759,29.47826,32.26572,32.55363,31.435646,28.82249,23.18579,18.58451,19.721298,21.603,21.273533,20.46941,19.995398,20.46941,20.447239,18.25026,17.76081,18.331741,19.829433,20.49156,19.592731,19.386591,19.483284,19.353138,23.83624,24.33664,23.993399,27.362368,26.282465,23.0653,20.00512,15.315873,12.9249525,12.682018,12.074766,11.726277,11.620809,11.525623,11.013882,11.013882,10.390226,9.565437,8.557102,7.42159,7.2805495,6.489992,4.3498964,3.7585104,6.193674,7.754637,7.208994,9.028754,11.792404,10.787993,9.826088,11.681987,12.682018,13.896187,14.88242,16.75064,16.746773,17.25373,18.057508,18.193361,16.1198,19.33639,20.150354,20.275385,20.49156,19.469975,20.037485,22.734219,23.576563,24.881702,24.490587,23.78453,21.67487,19.852295,17.294992,14.264361,15.281989,14.417988,14.081478,14.182355,12.287555,11.090103,7.5685663,8.049845,7.5942073,10.105681,11.440978,12.72283,5.0142193,8.311245,9.885262,12.181624,11.609651,12.413476,16.62249,16.394829,15.509274,14.182355,12.641076,10.948973,9.72,9.028754,8.707238,8.759178,8.825508,9.255571,9.605998,9.605998,9.531505,9.605998,9.449572,9.659814,9.290511,8.404285,7.729527,7.6367526,8.12197,9.511088,10.703569,11.592894,12.72283,13.441071,13.237039,12.904882,12.682018,13.479583,14.693999,15.778518,16.45007,16.73516,17.114204,17.651016,17.873556,18.129137,18.416384,18.36353,17.654688,15.941944,13.276144,11.841756,12.074766,13.089354,13.392774,11.988594,9.931042,7.928177,6.618519,5.495161
2025-11-12 01:07:38+00:00,2025-11-12 00:00:00+00:00,20.188908,22.127556,23.686249,22.930048,21.749481,19.930477,19.809813,19.469975,17.533146,19.242327,20.431387,21.129883,20.833395,20.140705,18.514643,19.803272,24.514387,24.774696,24.464113,24.20314,23.219301,21.575987,18.25026,11.874544,11.720751,10.594036,10.538843,10.464798,9.3876505,10.464798,9.346143,10.495713,8.647496,8.557102,7.6367526,9.565437,6.489992,6.439876,5.937272,6.1305785,8.587338,11.384199,15.328561,17.227419,19.35314,12.758432,11.681987,13.746156,14.021525,14.84318,15.94601,17.782688,15.827721,16.595179,16.62249,15.124284,14.404499,14.081478,14.77755,14.618837,13.708391,14.799459,15.517629,16.23596,17.651016,18.345877,19.652176,21.924562,21.42227,19.67195,15.94601,14.168641,13.608762,11.609651,11.435313,12.7279215,24.821732,29.46287,24.184391,24.735432,23.277834,21.370783,20.87379,20.447239,18.837322,17.917007,16.167967,19.35314,25.582806,29.830078,32.571545,33.75948,33.168877,30.926493,28.36471,25.925,25.12016,23.871555,23.73271,23.210928,21.99538,21.194187,20.858265,20.523157,19.995398,19.191748,18.532133,17.533146,16.62249,16.071491,15.192682,16.862455,20.316889,21.096123,20.46941,20.883102,20.883102,19.878391,17.283749,13.896187,11.246759,10.195057,9.693296,9.83268,9.904906,10.137692,10.041354,9.6932955,9.107359,8.766573,8.905908,9.3876505,9.726665,9.422101,8.825508,8.473393,8.350138,8.287822,8.669949,9.114471,9.255571,9.346143,8.825508,7.9526596,7.208994,6.28713,5.8048253,5.0911684,4.2136917,3.671294,4.3349743,5.00128,5.6920996,6.28713,7.289444,8.39657,9.504272,10.009036,10.383987,11.298495,13.849477,16.746773,19.008547,19.813087,19.64228,19.33639,19.469976,19.914215
2025-11-13 01:25:07+00:00,2025-11-13 00:00:00+00:00,10.495713,9.178235,8.854829,9.085988,5.1165614,3.319036,4.5536795,5.315336,10.086427,11.090103,12.0694,7.208994,10.30883,10.390226,9.346143,5.4119864,9.085988,14.618837,13.783817,16.418526,17.518356,16.595179,12.682018,11.753877,12.074766,13.896187,14.113653,13.722565,15.463244,14.618837,15.226764,13.910169,13.1041975,13.1041975,12.864649,13.1041975,12.661564,12.224107,12.261158,13.797912,16.746773,18.374111,19.67195,15.379206,13.276144,14.007655,12.904882,13.684735,12.10157,13.698934,14.618837,20.972897,20.991426,15.646544,20.87379,17.49615,19.406637,17.873556,18.86139,25.6233,26.260265,26.727423,27.21038,27.859905,29.949316,34.936695,34.137413,34.793587,35.09769,31.235058,30.302078,29.548521,29.68636,29.973106,29.882166,29.354902,27.859905,26.729847,26.564486,26.141552,26.089447,24.651457,23.34455,22.218153,21.325253,20.730501,19.855558,19.486609,21.9718,22.218153,22.657131,22.657131,21.897945,21.203358,16.363178,11.592894,11.609651,11.923557,12.397806,12.303366,11.384199,10.829959,10.182337,7.8625183,6.9247384,7.628263,8.557102,9.779817,9.0645685,9.422101,9.826088,8.647496,10.086427,9.779817,9.255571,9.449572,9.360001,9.227524,9.422101,11.013882,11.770403,10.883676,9.449572,8.854829,8.311245,7.42159,6.924738,6.519877,6.130579,5.7599998,5.771239,6.162207,6.2145634,6.28713,6.379216,6.489992,7.24486,8.39657,9.085988,9.085988,8.78872,8.587338,9.021574,9.504273,10.028439,10.028439,9.83268,9.504273,9.178235,8.534353,8.049845,7.5685663,7.0911775,6.9527545,6.9527545,6.9527545,6.9527545,7.289444,7.628263,7.968939,8.427383,8.891344,9.504273,10.00256,10.296251,10.799999,11.298495,12.10157
2025-11-14 01:08:11+00:00,2025-11-14 00:00:00+00:00,12.287555,14.20062,14.84318,17.555305,22.148045,20.883104,16.394829,16.808569,16.676977,15.893093,14.345898,14.578888,12.904882,13.009903,11.440979,9.178235,17.015474,19.493261,18.94024,21.746504,21.605999,21.398056,15.192682,11.367109,12.429127,21.398056,11.966953,21.67487,21.603,23.188583,26.959166,17.826363,18.844202,16.489416,13.779114,11.770403,12.864649,14.05845,13.979871,17.026896,23.132626,23.871555,23.540806,30.432245,29.795301,28.357855,25.140787,22.870626,21.578989,21.261345,20.456745,20.68356,20.26899,20.08916,19.376562,18.374111,18.723461,18.440998,17.935081,16.704155,14.88242,13.979872,12.397806,13.779114,17.581125,18.289274,19.862083,21.203358,20.972897,20.767975,16.904673,12.758432,11.874544,10.931203,10.829959,10.239453,10.1376915,9.449572,9.531505,9.422101,9.826088,9.178235,9.9571085,10.041354,10.703569,10.028439,9.693296,8.089993,10.144082,9.339208,9.107359,9.9571085,9.47012,10.308831,9.107359,10.163227,10.1887,9.931042,9.0,8.891343,7.42159,7.0911775,5.6920996,4.5536795,5.495161,3.8773184,3.219938,6.1305785,5.634891,3.6179552,3.219938,3.319036,4.829907,6.638072,7.5170207,7.754637,7.4128532,7.491114,8.587338,10.144082,11.113451,11.269782,10.990322,10.883676,10.799999,10.739832,10.739832,10.739832,10.739832,11.019764,11.304229,11.592894,11.808878,12.031756,12.229406,12.7279215,14.021525,15.9134655,17.0763,17.477621,17.555307,17.555307,17.782686,17.713316,17.826363,17.148247,16.79314,15.941944,14.81259,12.904882,12.181624,12.88981,14.4,15.575981,15.778518,16.171976,16.808569,17.462784,18.228943,18.94024,19.881649,21.24305,22.007162,21.841648,21.398056,21.068459,20.730501,19.995398
