forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:04+00:00,2025-11-05 00:00:00+00:00,960.0572,961.47675,962.266,963.698,964.1905,964.62537,965.13617,965.6181,966.101,966.3577,966.8792,967.29517,967.8906,968.3061,969.92523,971.08563,971.3903,971.55927,971.40436,971.0624,970.7572,970.69006,970.21844,969.5317,968.7752,968.15955,967.18396,966.53046,965.4411,964.598,963.6503,962.67395,961.1581,959.1685,957.3883,956.1195,954.63196,952.42505,951.2696,950.19604,949.5365,948.6859,948.3435,950.388,949.7979,949.0502,948.90247,948.7009,948.3135,948.02423,947.58185,947.35596,947.5765,947.89166,948.3257,948.52167,949.0892,950.1978,951.3061,952.24457,953.25824,954.56244,956.23346,957.72516,958.3418,959.0168,959.6063,959.7785,959.7224,960.186,960.39276,960.414,960.9036,961.0989,960.7561,960.8605,960.73627,960.81506,960.49756,960.7561,960.4366,960.6514,960.77563,960.76587,961.31366,962.0367,962.5895,963.73413,965.0286,965.89465,966.69525,967.15857,968.31134,969.68555,970.6185,971.80023,973.00507,973.7763,974.37836,974.93567,975.4833,975.9357,976.18915,976.4427,976.6114,976.8649,977.287,977.5196,977.8365,978.0589,978.2375,978.6282,978.78204,978.7025,978.4956,978.1886,977.8219,977.4335,977.2581,977.1725,977.0292,976.7104,976.34644,975.9177,975.50934,975.13104,974.74243,974.3239,973.9054,973.392,972.8787,972.38586,971.9329,971.6352,971.3871,971.0932,970.5178,969.8927,969.20605,968.5351,967.71136,966.97217,966.1481,965.31274,964.4285,963.45074,962.3221,961.0433,959.5289,957.8637,956.2279,954.52515,952.7464,951.156,949.7258,948.4753,947.6122,947.2226,947.2208,947.5095,948.19586,949.25903,950.1992,951.02106,951.8152,952.7291,953.7538,954.8017
2025-11-06 01:11:20+00:00,2025-11-06 00:00:00+00:00,967.6939,967.73346,966.5021,965.962,965.1945,964.7112,963.2721,962.5804,961.888,959.99207,958.6561,957.4708,956.1631,954.64703,953.6717,951.9729,950.7839,950.2349,948.91235,947.9955,947.5339,947.56384,947.6229,947.6349,948.017,948.41986,948.16284,947.86017,947.7198,948.0899,948.3595,948.75104,949.1814,949.6111,950.22754,951.1375,951.94336,952.579,953.2045,953.9337,954.29346,954.29346,953.7063,958.84906,958.8877,958.5651,958.961,958.8282,958.9742,958.96826,958.79474,958.554,958.97797,958.3711,958.15216,958.17194,958.1462,958.2408,958.31573,958.58984,958.919,959.8454,961.05945,962.0649,963.1746,964.4437,965.54364,966.5588,967.7141,968.94446,970.32086,971.407,972.4865,973.34155,973.7471,974.3583,975.09424,975.67194,976.05005,976.23926,976.71204,977.0059,977.2794,977.5631,977.931,978.2046,978.97125,979.3644,979.66766,979.6639,979.40894,978.98846,978.8971,978.7176,978.9984,979.26556,979.31525,979.404,979.3435,979.0639,978.64484,978.2906,978.0068,977.72626,977.486,976.96234,976.4589,976.34406,975.861,975.47253,975.135,974.837,974.32916,973.5658,972.5963,971.55664,970.3354,969.3123,968.6298,968.0506,967.4328,966.47644,965.4734,964.37524,963.2102,962.13995,960.93756,959.8776,958.7969,957.5437,956.14124,954.5694,953.1111,951.6993,950.40985,949.3652,948.79956,948.4668,948.3628,948.4345,948.72766,949.148,949.8484,950.6824,951.38916,951.863,952.12573,952.4649,952.844,953.205,953.6422,953.9663,954.35706,954.76624,955.1659,955.6691,956.22815,957.0516,958.01587,958.7325,959.12415,959.3433,959.51544,959.6054,959.6324,959.69147,959.93524,960.38086
2025-11-07 01:08:45+00:00,2025-11-07 00:00:00+00:00,948.27045,947.4427,948.0627,948.20844,948.4015,948.1663,948.578,949.685,950.8128,951.92334,953.2601,953.9426,955.25,955.86536,956.8774,957.28357,957.63336,958.1629,956.4325,957.039,957.38904,957.44543,957.691,957.65247,957.5484,957.0751,956.6867,956.60175,956.0803,956.1461,955.80414,955.45776,955.1612,954.85767,954.77936,955.28,955.8623,956.9508,958.25793,960.4148,962.7104,964.32416,965.47925,968.4551,969.3361,970.2141,971.23157,972.04443,973.14435,973.82074,974.2536,974.79083,975.40234,975.69934,976.0807,976.51263,976.8603,977.1134,977.38654,977.86975,978.3425,978.9099,979.4032,979.92163,980.51917,980.6204,980.3949,979.9287,979.76184,979.6966,979.2301,979.32544,979.51434,979.1847,978.81006,978.1179,977.699,977.2464,976.2059,975.9964,975.23956,974.8952,974.044,973.0615,971.8625,970.93677,970.12695,969.5736,968.33417,967.01373,965.6454,964.0926,962.4537,960.758,959.46063,957.8319,956.3072,954.55475,952.5457,951.0101,949.39966,947.63873,946.6822,946.3423,946.2862,946.7934,947.6014,948.19745,948.4146,948.8608,949.4112,950.07733,950.69257,951.27924,951.7694,951.9796,951.9468,952.0416,952.33246,952.65515,952.89996,953.10364,953.2299,953.43286,953.89233,954.4372,954.99036,955.5613,956.1503,956.73944,957.4132,957.99194,958.7216,959.5171,960.2647,960.9456,961.46423,962.0011,962.4145,962.8949,963.3564,963.8212,964.3286,964.9503,965.4842,966.08185,966.6028,967.15125,967.5387,967.8599,968.0766,968.2638,968.44116,968.54285,968.48425,968.3604,968.27527,968.32434,968.32715,967.99915,967.3025,966.27136,964.97186,963.3595,961.49225,959.85333,958.51917,957.3185
2025-11-08 01:02:24+00:00,2025-11-08 00:00:00+00:00,958.8475,958.5146,959.1075,958.55536,958.675,958.7398,958.8541,959.2723,959.2227,959.17267,959.5757,960.153,961.27783,962.1735,963.2882,964.9319,966.1025,967.1283,966.7845,967.601,968.64624,969.56287,970.4691,971.69916,972.8597,974.23865,974.7158,974.9465,975.6651,976.21454,976.6134,976.71,976.99536,977.3219,977.56256,977.7533,978.25793,978.81476,978.92096,979.50824,979.9466,979.97394,980.23236,980.3335,980.25214,980.3468,979.8797,980.1171,980.4003,980.6138,980.1748,979.64124,979.51666,979.00305,978.3106,977.64844,977.0404,976.5475,975.65576,975.00366,974.2607,973.00085,972.4639,971.626,970.4785,969.3515,967.463,965.5135,963.8264,961.7515,960.34064,958.7122,956.93207,955.5301,953.5894,952.0645,950.60583,948.5886,947.5291,947.3865,947.02655,947.064,947.5187,947.8123,948.3231,948.46576,949.1007,949.7599,949.7625,950.1047,950.5798,950.7874,950.80994,951.0628,951.825,952.2785,952.93286,953.2016,953.8763,954.2368,954.96716,955.2326,955.4612,955.9643,956.58044,957.13947,957.6797,958.01154,958.5517,959.10114,959.5747,960.2273,960.7916,961.09,961.3412,961.3745,961.3619,961.45667,961.7173,962.1789,962.5719,962.9339,963.33295,963.7222,964.01666,964.31995,964.6989,965.14343,965.5775,966.03033,966.32196,966.5383,966.8027,967.23004,967.8003,968.1342,968.18445,968.0899,967.85077,967.3551,966.71716,966.08105,965.6766,965.2829,964.8395,964.4044,963.8264,963.258,962.519,961.7036,960.8694,959.9981,959.1081,958.2645,957.5531,956.8879,956.47644,956.4575,956.6026,956.5446,956.0169,955.28577,954.3964,953.1714,951.69574,950.50305,949.7142,949.1995
2025-11-09 01:07:40+00:00,2025-11-09 00:00:00+00:00,972.3422,973.4872,974.26996,974.73486,974.51495,974.7472,976.07227,976.5776,976.6512,976.3261,976.8619,977.12476,977.7655,978.16437,979.1814,980.04114,980.4692,980.897,980.79675,981.03357,981.43854,981.75275,981.83716,982.0706,982.2633,982.0394,981.6656,981.0589,980.4412,979.79126,979.44507,978.44794,978.0481,977.76355,977.0189,976.14764,975.66455,974.55096,973.3431,972.9768,972.56445,971.0966,969.5095,966.943,964.865,962.6182,960.6783,959.3079,957.55676,955.50226,954.2146,952.4146,950.7294,949.60223,949.0144,948.66205,949.0021,949.3903,949.57196,950.1978,950.77545,950.73773,951.33514,952.08954,952.5105,952.8316,953.0584,953.03094,953.0257,952.8859,953.06274,953.9069,954.4828,954.8927,955.64154,956.0419,956.70526,957.2648,957.76855,958.3485,958.97437,959.8192,960.39795,961.1846,961.41205,962.1507,962.9652,963.543,963.9264,964.3627,964.59094,964.2706,964.1532,964.0492,964.36993,964.48126,964.65686,965.0186,965.2185,965.0486,964.7933,965.1061,964.95465,965.29553,965.0873,964.9641,964.93536,964.7176,964.7741,964.9254,965.09546,965.3714,965.4443,965.3044,965.0376,964.51465,963.8314,963.3071,963.0238,962.8021,962.63153,962.33167,961.99164,961.6796,961.2819,960.80804,960.3436,959.8789,959.3288,958.67444,957.90717,956.9503,956.1154,955.4125,954.8403,954.1509,953.20636,952.14764,951.0567,949.9435,948.8001,947.7341,946.9658,946.2783,945.7023,945.2105,944.7357,944.30505,943.70306,943.05804,942.4549,941.9701,941.4377,941.12634,940.94214,940.7915,941.0144,941.7541,942.78406,943.52997,943.7073,943.52325,943.2933,943.009,942.7833,942.71045,943.0562,943.5448
2025-11-10 01:12:37+00:00,2025-11-10 00:00:00+00:00,980.0638,980.49976,980.7868,979.93555,979.60077,979.11017,978.59644,978.07,978.2431,977.223,976.4866,976.392,975.59485,974.03094,972.70685,971.5196,970.23517,969.3264,968.0465,966.09155,964.3229,962.8268,961.2925,959.56836,958.32764,957.2665,955.98737,954.5861,953.6764,953.54425,952.7292,952.1035,952.72797,953.07874,953.98724,954.5675,955.04144,955.4771,955.9035,956.1299,956.81696,957.3509,957.3173,953.473,953.52686,953.9327,954.28156,954.9184,955.58044,956.21967,956.67773,957.01984,957.7316,958.196,958.586,959.39233,959.98987,960.3696,961.2604,962.2063,962.2552,962.71936,963.08875,963.6089,963.98193,964.2188,964.07623,963.8327,963.8006,963.7826,963.7242,963.81775,963.8986,964.1566,964.1482,963.9689,963.903,963.6663,963.3254,963.1835,962.9559,962.6435,961.9424,961.4403,960.8339,960.59717,960.81506,961.0045,960.78986,960.3134,959.3708,958.33496,957.5022,956.84717,956.4882,956.3405,956.13983,955.9747,955.6654,955.4871,955.07117,954.77765,954.17194,953.5088,952.9309,951.9741,951.1121,950.96,950.4005,950.13495,949.86,949.8054,949.5369,949.3003,948.94653,948.50165,948.0024,947.7007,947.74365,947.9931,948.25934,948.5002,948.6725,948.75867,948.6638,948.3791,948.0768,947.7398,947.3847,946.94354,946.5197,946.01917,945.70795,945.7762,945.94824,946.12024,946.11127,945.91284,945.7409,945.5273,945.331,945.099,944.8743,944.70886,944.63806,944.7066,944.8696,944.9705,945.0402,945.0539,945.1104,945.0858,945.1251,945.35406,945.8575,946.46484,947.17615,947.80164,948.4461,949.09973,949.77203,950.46295,951.14496,951.808,952.4616,953.29504,954.41296,955.53076
2025-11-11 01:05:47+00:00,2025-11-11 00:00:00+00:00,953.45886,950.8921,950.23834,949.1017,948.69495,948.67596,948.3161,949.375,949.64984,949.6126,950.1343,950.57996,950.8265,951.3668,952.06775,953.43896,954.2958,954.92316,955.8372,955.5854,956.0823,956.3079,956.42957,956.7456,957.2145,957.9742,958.16504,958.1661,958.39374,958.8485,959.1801,959.01917,959.36975,959.9948,960.4397,960.7993,961.7082,962.0772,962.1625,962.6374,963.3661,963.4391,963.67084,963.29047,963.0331,963.0243,963.2217,963.30945,963.7305,963.6847,963.6852,963.799,964.01697,964.0354,963.78894,963.83575,963.75916,963.75916,963.5411,963.3423,963.23785,963.3326,963.56976,964.42413,964.6957,964.6038,964.40845,963.6698,963.0828,962.63074,962.5397,962.2577,962.2131,962.025,961.9785,962.01587,961.7036,961.5141,961.0589,960.65204,960.09406,959.4014,958.7275,957.92114,956.8879,956.31934,956.33777,955.8921,955.11206,954.1841,952.98956,951.75586,950.9945,950.0277,949.495,949.05347,948.8184,948.4809,948.02234,947.7024,947.7618,947.47723,947.0888,946.5021,946.5021,946.5818,946.23737,946.211,946.5374,946.47577,946.57056,946.7184,946.92804,947.0757,947.3265,947.5691,947.98334,948.44904,949.21533,950.1179,950.8209,951.2379,951.4646,951.68097,952.0003,952.3091,952.64453,952.9122,953.0942,953.4836,954.05273,954.82056,955.6254,956.4683,957.3492,958.1348,958.7771,959.22485,959.699,959.99396,960.3282,960.545,960.8653,961.1699,961.51776,961.9847,962.5161,962.962,963.2368,963.35016,963.4543,963.36896,963.27423,963.0847,962.87634,962.75385,962.6683,962.79095,962.9324,962.9951,963.05945,962.924,962.7878,962.4033,961.8177,961.4204,961.3313,961.5046
2025-11-12 01:07:38+00:00,2025-11-12 00:00:00+00:00,956.47327,956.5529,957.0481,957.2772,958.08374,958.3032,958.40924,958.67633,959.3975,959.4075,960.2219,961.06494,961.6903,961.89825,962.75934,964.0297,964.8883,965.2405,964.6135,964.8823,965.43823,965.32544,965.01697,964.58374,964.90857,964.81476,964.37067,964.4741,964.72864,964.5573,963.90814,963.74554,963.8206,963.6215,963.0244,962.8351,962.5804,962.52454,962.30096,962.5794,963.08014,962.71136,961.839,960.97974,960.1661,959.6407,959.11774,958.6211,958.44946,958.35876,957.83014,957.1262,956.7328,956.09644,955.4106,955.10803,954.70154,954.0379,953.5053,952.8597,952.40375,952.1374,952.00165,951.9709,951.5741,951.02216,950.3178,950.0247,949.3513,949.00244,949.14606,948.365,948.2441,948.2788,947.7868,948.9778,949.4592,947.92505,948.0522,948.2471,949.1315,950.1271,950.3629,950.7604,951.6976,952.5934,953.5344,954.544,954.84937,955.21185,955.6728,955.65466,956.1015,956.3808,956.8524,957.62744,958.34076,958.8728,959.52704,959.7927,960.1617,960.2556,960.5483,960.75543,960.7442,961.0554,960.9872,961.11835,961.34393,961.6637,961.9834,962.5114,962.8399,963.0128,962.9273,962.5948,962.11066,961.8931,962.08417,962.35895,962.7631,963.0819,963.43866,963.82404,964.2188,964.7276,965.05707,965.18726,965.23236,965.2774,965.5115,965.84033,966.2086,966.6369,967.1895,967.6118,967.8284,968.0067,968.0301,967.98456,967.98517,967.9757,968.05884,968.22266,968.54626,969.00586,969.534,969.97736,970.3163,970.5604,970.71985,970.8891,971.05835,971.2276,971.28217,971.2422,971.3369,971.7453,972.2038,972.5323,972.4304,972.2041,971.811,971.30115,970.8281,970.3735,970.193,970.2299
2025-11-13 01:25:07+00:00,2025-11-13 00:00:00+00:00,963.10065,963.1487,963.1954,963.3935,963.51575,963.4948,963.56836,962.9659,962.2185,961.6312,961.6379,961.3247,961.13544,960.44604,960.40204,960.913,961.31085,961.58307,961.248,960.61237,960.3236,959.9793,959.58636,958.80945,958.2526,957.8127,957.1705,956.5954,956.0543,955.4397,954.8617,954.0577,953.70856,953.50995,953.11224,952.79114,952.2894,951.9014,951.0971,950.74713,950.892,951.05975,950.8864,949.48303,948.9014,949.323,949.653,949.3652,948.8483,949.33997,949.46075,950.4786,951.47485,951.1969,951.88763,952.89496,953.0896,953.4648,953.73114,954.8459,954.88947,955.64435,956.55,957.2038,957.5236,957.97656,957.8886,957.84924,957.87683,957.9808,958.20306,958.34076,958.69275,958.99646,959.3853,959.5841,959.6787,959.6875,959.79083,960.178,960.12024,960.32697,960.2495,960.4462,960.7174,961.02747,961.27216,961.6862,961.845,961.85706,961.62,961.19116,961.04614,960.8752,961.0202,961.0239,961.57184,961.9862,962.35345,962.6158,962.86786,963.1844,963.33014,963.9134,964.1376,964.3716,964.5208,964.5757,965.0086,965.34686,965.60034,966.28815,966.5686,966.9265,966.84564,966.7054,966.4978,966.2799,966.1924,966.2905,966.42505,966.84503,967.40845,967.89636,968.2151,968.44916,968.5982,968.6526,968.70703,968.77155,968.82605,968.9746,969.1638,969.48804,969.93665,970.2762,970.36597,970.3413,970.23505,970.1245,969.93616,969.8221,969.8098,969.96265,970.0762,970.3163,970.62524,970.94385,971.26215,971.6006,971.8546,972.0136,972.17267,972.34143,972.4903,972.73376,972.92285,973.2371,973.5813,973.9311,974.2598,974.4931,974.53845,974.2567,973.80273,973.40497,973.27966,973.30115
2025-11-14 01:08:11+00:00,2025-11-14 00:00:00+00:00,955.8826,955.611,954.13446,953.2539,952.97864,952.1439,951.3582,950.88434,950.4231,949.3712,949.2124,948.8517,949.20557,948.3704,948.62744,949.31396,949.71204,950.1612,949.8408,949.93854,949.9408,950.13416,949.50366,949.6278,949.96423,951.1031,951.2371,952.51465,953.6456,954.78613,955.3758,956.0083,956.67737,957.0963,957.38086,957.45593,958.3358,959.01636,959.2524,959.8134,959.9948,960.16516,960.18353,958.41473,958.271,958.3476,958.68384,958.87964,959.1091,959.5836,959.9725,960.1715,960.44574,960.81433,961.01227,961.399,961.5962,961.97266,962.17896,962.29034,962.34247,962.72723,963.33014,963.8534,963.99536,964.08295,964.1209,964.04297,963.8039,963.6235,963.68286,963.7607,964.0901,964.41907,964.776,965.04767,965.04456,965.16516,965.14185,965.37646,965.6458,966.02954,965.95984,965.8898,966.0389,966.28253,966.65076,967.3288,967.4955,967.6743,967.32855,967.19824,966.82025,966.8391,966.92365,966.8877,967.006,967.3221,967.64734,967.9813,968.459,968.67285,968.70703,968.84625,968.7213,968.9648,969.02893,969.0087,969.1473,969.3903,969.74835,970.27075,970.36597,970.2273,970.0165,969.7263,969.3679,969.1785,969.1664,969.22504,969.254,969.33496,969.3801,969.445,969.6143,969.8883,970.06744,970.04755,969.82837,969.7139,969.5896,969.475,969.40027,969.5446,969.7289,969.9067,969.9754,969.851,969.8048,969.66174,969.50964,969.2828,969.1512,969.0373,968.8944,968.9039,968.88556,968.9045,968.79016,968.60767,968.3974,968.31226,968.2948,968.14404,967.64154,966.92114,966.5038,966.579,966.863,966.96735,966.6178,966.09766,965.5583,964.98065,964.2891,963.8814,963.7482,963.8045
