forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:03+00:00,2025-11-05 00:00:00+00:00,956.1641,956.9234,957.96173,959.4459,959.9921,960.51166,961.0939,961.61914,962.1648,962.35345,962.7409,963.13873,963.789,964.2298,965.8235,967.1908,967.4446,967.8104,967.5973,967.4384,967.224,967.23413,966.7575,965.9466,965.3277,964.7445,963.67926,962.95,961.9966,961.3362,960.3085,959.64197,958.39166,956.57465,954.86597,953.5289,952.0088,950.07166,947.4296,946.8739,946.275,945.27167,944.7672,947.1121,946.48956,945.77124,945.2893,945.2013,944.98175,944.5634,944.01385,943.6723,943.66925,943.9945,944.2975,944.7163,945.5267,946.17737,947.1552,948.083,949.1345,950.1221,951.8445,953.4583,954.0758,954.8706,955.53986,955.7165,955.7165,956.2926,956.49304,956.6632,957.08203,957.4799,957.2078,957.08136,957.1653,957.144,956.75555,956.9125,956.73553,956.90283,957.144,957.1653,957.5422,958.1065,959.0477,959.6765,960.87213,961.79486,962.4867,962.8952,964.0053,965.4923,966.1947,967.3138,968.5482,969.3945,969.9173,970.35614,970.9,971.2449,971.58936,971.93396,972.10065,972.3509,972.77875,973.01794,973.34045,973.5684,973.851,974.1952,974.4769,974.52313,974.5031,974.2087,973.85114,973.55756,973.45483,973.32935,973.18036,972.9066,972.61316,972.3196,971.932,971.54443,971.0411,970.60016,970.0435,969.6023,969.067,968.553,968.09265,967.8013,967.6575,967.37726,966.907,966.2968,965.6209,964.9451,964.30176,963.56714,962.8997,962.14056,961.30646,960.21936,959.0582,957.7395,956.3781,954.8695,953.3077,951.598,949.92883,948.2486,946.7257,945.19244,944.15045,943.5795,943.396,943.60345,944.20276,945.0899,945.9597,946.7421,947.5158,948.3761,949.45593,950.5251
2025-11-06 01:11:18+00:00,2025-11-06 00:00:00+00:00,964.3863,964.3536,963.06226,962.56256,961.9249,961.22375,959.91315,959.2503,958.6176,957.1309,955.9196,954.6926,953.47565,951.8412,950.813,948.98926,947.65875,947.1556,945.65564,944.7695,944.24146,943.8824,943.7403,943.61426,943.8817,944.198,944.09955,943.7802,943.67584,944.10944,944.34125,944.5072,945.0501,945.6219,946.28796,947.0775,947.9615,948.59625,949.2301,949.9445,950.50024,950.5946,950.23773,954.8678,954.8886,954.7632,955.2364,955.1653,955.4586,955.1439,955.1439,954.9346,955.1966,955.0076,954.64166,954.5891,954.5267,954.77795,954.69434,954.9456,955.312,955.9823,957.1235,958.1503,959.0408,960.17163,961.1246,962.09845,963.3976,964.52905,965.8068,966.8411,967.95953,968.975,969.29596,969.7101,970.4744,970.9669,971.2896,971.55066,972.0106,972.3042,972.58685,972.85846,973.2351,973.623,974.3041,974.7311,975.0745,975.1937,975.0374,974.8066,974.59644,974.5859,974.7544,975.0455,975.0959,975.3252,975.3873,975.0295,974.71466,974.494,974.20056,973.8425,973.66223,973.0538,972.6659,972.4962,971.99243,971.6049,971.2715,971.0821,970.5212,969.78656,968.92303,967.88074,966.86017,965.8423,965.15436,964.5627,963.8431,962.9737,961.89294,960.8961,959.8787,958.95575,957.844,956.6279,955.4217,954.1414,952.81665,951.4173,950.00696,948.46204,947.0014,945.77856,945.0497,944.5557,944.2758,944.1823,944.39984,944.74915,945.4656,946.40594,947.1006,947.5046,947.6737,947.957,948.4584,948.97955,949.4613,949.8651,950.13477,950.5081,950.9108,951.3234,951.8897,952.7141,953.6927,954.51135,955.00995,955.2435,955.42676,955.52277,955.65564,955.8159,956.1536,956.5079
2025-11-07 01:08:43+00:00,2025-11-07 00:00:00+00:00,944.46497,943.7874,944.3949,944.4352,944.8077,944.42474,944.8127,945.71625,946.67993,947.70355,949.0094,949.68427,950.8845,951.67596,952.7903,953.28455,953.49585,954.16626,952.8643,952.80273,953.49585,953.60046,953.904,953.9982,953.97766,953.7788,953.02435,953.0039,952.62823,952.7139,952.62067,952.40106,952.1814,951.826,951.7219,951.9297,952.3145,953.14954,954.2262,956.0478,958.195,959.7989,960.9934,964.4024,965.1151,965.9118,967.06433,967.78503,968.73486,969.4139,969.72656,970.2597,970.8034,971.1477,971.55414,971.9491,972.21,972.5542,972.826,973.19165,973.7352,974.1951,974.8763,975.4092,975.9528,976.29364,976.0015,975.72845,975.53864,975.43414,975.2361,975.21423,975.4319,975.3573,974.98895,974.3914,973.74023,973.3632,972.52594,972.1381,971.57275,971.185,970.25116,969.5166,968.3213,967.2956,966.81836,966.0998,965.0832,963.87573,962.29584,961.08307,959.2962,957.6316,956.25385,954.83203,953.3324,951.6202,949.60406,947.99005,946.2915,944.3545,943.1278,942.59155,942.5169,942.62103,943.10187,943.733,944.22253,944.6001,945.0918,945.6746,946.41797,947.0452,947.62335,947.8316,947.8976,947.99207,948.30414,948.65326,948.9073,949.0005,949.1032,949.28046,949.6074,950.0182,950.5515,951.1239,951.7353,952.43097,953.1167,953.7077,954.4228,955.1578,955.9328,956.5591,957.0963,957.5779,958.0286,958.51434,959.05493,959.6022,960.2105,960.8329,961.37866,961.9829,962.50214,963.0406,963.4001,963.76917,964.05396,964.3383,964.62213,964.7379,964.7699,964.728,964.6441,964.69635,964.706,964.4946,963.9227,963.0311,961.95056,960.4451,958.7558,957.12103,955.79443,954.61694
2025-11-08 01:02:22+00:00,2025-11-08 00:00:00+00:00,955.17737,954.6535,955.09326,955.1768,955.22906,955.2589,954.9841,955.3394,955.5062,955.4441,956.0309,956.4913,957.41174,958.23785,959.29565,960.8264,961.9287,963.0199,962.7381,963.45123,964.4783,965.43066,966.363,967.55646,968.8003,970.21185,970.4974,970.679,971.3961,972.261,972.3344,972.30865,972.4707,972.7152,972.8373,973.2471,973.60675,974.08276,974.35394,974.99146,975.445,975.6243,975.863,976.0328,976.1264,975.9275,975.8128,976.2828,976.15405,976.7177,975.9935,975.74054,975.42554,975.0165,974.51294,973.7268,973.2448,972.55316,971.96625,971.31757,970.8142,969.65094,968.8031,968.3186,967.1795,966.0774,964.33307,962.28284,960.68176,958.72986,957.4228,955.62714,954.0031,952.4531,950.9336,949.0265,947.44275,945.5899,944.2629,943.90967,943.1751,942.9222,943.4498,943.5986,944.03595,944.2891,944.81506,945.4721,945.6191,945.8926,946.2945,946.5142,946.56036,947.0231,947.5489,948.18506,948.79315,949.13153,949.54456,949.85297,950.4639,950.9359,951.28357,951.58154,952.24634,952.74255,953.4031,953.73004,954.2155,954.72076,955.3071,955.93695,956.43555,956.7872,957.078,957.11053,957.09406,957.1788,957.534,958.00885,958.3978,958.74084,959.0932,959.46484,959.7518,960.0588,960.4393,960.8733,961.39056,961.8434,962.1485,962.49457,962.7775,963.2905,963.7606,964.18774,964.44305,964.4734,964.3359,963.8243,963.14777,962.57135,962.224,961.8804,961.6054,961.2818,960.84033,960.4086,959.778,959.0731,958.2537,957.4142,956.46027,955.6208,954.78094,953.96124,953.4191,953.29724,953.4486,953.41644,952.95386,952.29614,951.3913,950.22876,948.919,947.7514,946.9325,946.357
2025-11-09 01:07:38+00:00,2025-11-09 00:00:00+00:00,968.231,969.0009,969.8964,970.4688,970.182,970.40985,971.65155,972.2333,972.26117,971.9455,972.3387,972.4936,973.0139,973.6401,974.6424,975.6333,975.975,976.58105,976.5255,976.77045,977.1494,977.5692,977.70447,978.00616,978.31866,978.28644,978.001,977.50824,977.1604,976.60266,976.20044,975.0903,974.3931,974.05554,973.23596,972.3164,971.9228,970.80927,969.66895,969.41345,969.1814,967.83813,966.42633,963.8164,961.8263,959.97815,957.98474,956.4022,954.48486,952.5811,951.2302,949.38367,947.5711,946.39874,945.5698,944.88513,944.8809,945.20374,945.3527,945.8987,946.42487,946.42487,947.3041,947.90094,948.1286,948.5269,948.82935,948.8882,948.9367,948.8329,948.9348,949.7431,950.4378,950.70496,951.02954,951.9129,952.50464,952.9129,953.60364,954.0258,954.6215,955.4751,956.2097,956.9547,957.20746,957.99634,958.7441,959.37427,959.6798,960.22406,960.5072,960.2088,960.1259,960.1353,960.54816,960.64734,960.6739,961.11096,961.3984,961.21387,961.0492,961.2717,960.928,961.3493,961.2144,961.1941,960.8502,960.91406,960.8936,961.0212,961.3985,961.8481,961.9756,961.9634,961.69904,961.25995,960.64746,960.18463,959.9737,959.82367,959.6439,959.33655,959.00385,958.70087,958.4176,958.06964,957.61725,957.13544,956.54895,955.8784,955.11304,954.348,953.52765,952.841,952.19324,951.424,950.5039,949.5515,948.5559,947.482,946.3503,945.3244,944.531,943.836,943.28094,942.8262,942.5118,942.15155,941.54767,940.9071,940.29694,939.7648,939.24994,938.7879,938.23004,937.6339,937.49963,937.98755,938.8513,939.51874,939.60657,939.50775,939.43494,939.33075,939.2632,939.261,939.5024,939.89276
2025-11-10 01:12:35+00:00,2025-11-10 00:00:00+00:00,976.1642,976.5602,977.4084,976.54974,976.1915,975.67737,975.36255,974.7648,974.54395,973.6851,973.23553,973.19244,972.22864,970.6889,969.4237,968.6208,967.47296,966.3324,965.03204,963.2147,961.76855,960.14087,958.45575,956.47095,954.9878,953.82526,952.27234,950.95166,949.93427,949.65125,948.9909,947.8794,948.546,948.7762,949.56604,950.2262,950.5474,951.1877,951.6393,952.0145,952.83435,953.22986,953.15155,949.2479,949.4281,949.81573,950.21094,950.71655,951.41144,952.278,952.7207,953.03595,953.51917,954.0656,954.4132,955.2676,955.8884,956.1657,957.0291,957.7736,958.2558,958.7815,959.1183,959.5993,959.9778,960.22754,960.1971,959.86945,959.94635,959.85187,960.0007,960.06085,960.22156,960.4502,960.3404,960.3443,960.26404,960.00476,959.7452,959.6004,959.45526,959.2362,958.54504,958.0633,957.58124,957.3826,957.7266,958.06915,957.8456,957.37744,956.4389,955.3826,954.54205,953.8899,953.6999,953.31305,952.97473,952.9218,952.6244,952.3565,952.014,951.8053,951.35815,950.6875,950.09143,949.1576,948.44226,948.30817,947.876,947.47864,947.2153,947.0842,946.9922,946.7427,946.5462,946.05255,945.49133,945.11993,945.04614,945.2483,945.3918,945.6285,945.8935,945.9787,945.8842,945.6951,945.402,944.9676,944.52374,943.98517,943.47473,943.0591,942.74725,942.70935,942.86035,942.9358,942.85077,942.6809,942.52985,942.2936,942.07635,941.8399,941.6885,941.52747,941.44244,941.4517,941.64075,941.67896,941.63214,941.52765,941.4406,941.4005,941.46423,941.6214,941.8332,942.1285,942.5664,943.1676,943.9126,944.6675,945.41223,946.07275,946.81775,947.4683,948.2133,948.948,949.8516,950.83923
2025-11-11 01:05:46+00:00,2025-11-11 00:00:00+00:00,950.4599,947.5795,946.542,945.45654,944.85645,944.85645,944.42474,944.862,945.3789,945.40857,945.7564,946.29266,946.5061,947.0321,947.77704,949.17865,950.1005,950.5987,951.6404,951.51227,952.0059,952.2235,952.3335,952.6337,953.08795,953.80853,953.982,953.89197,954.1791,954.58044,954.89734,954.8569,955.12994,955.8003,956.1677,956.60876,957.65686,958.09784,958.0878,958.6681,959.482,959.53204,959.7296,959.3468,959.0923,959.12134,959.34436,959.41565,959.8837,959.9226,959.9066,960.00476,960.22705,960.2709,960.0113,960.12854,960.0982,959.973,959.79724,959.58795,959.504,959.65155,959.8709,960.7697,961.2303,961.1783,961.0059,960.16797,959.7461,959.46265,959.30804,959.02203,959.2422,959.1335,958.9595,958.9943,958.7208,958.6167,958.3533,957.8266,957.48395,956.70874,955.93854,955.4017,954.3084,953.86597,953.8012,953.33923,952.56476,951.5739,950.48267,949.2551,948.5284,947.5822,946.9361,946.1456,945.99646,945.6566,945.22253,944.56146,944.7032,944.38196,943.8906,943.41815,943.2291,943.1818,942.9547,942.9359,942.90753,942.974,943.2575,943.5116,943.3321,943.23615,943.2999,943.6114,944.08417,944.60504,945.3347,946.10175,946.7729,947.27234,947.5821,947.88086,948.16876,948.4549,948.6751,948.93396,949.11786,949.49994,950.0705,950.829,951.63763,952.5712,953.4607,954.33636,954.99445,955.45557,955.938,956.331,956.655,956.95764,957.35077,957.7196,958.1444,958.6962,959.2028,959.645,960.0126,960.2215,960.33563,960.26135,960.19666,960.02765,959.9533,959.86865,959.804,959.9186,960.05237,960.10614,960.1751,960.0615,959.94025,959.56104,959.09625,958.69946,958.59735,958.6729
2025-11-12 01:07:36+00:00,2025-11-12 00:00:00+00:00,952.53625,952.04376,952.819,953.0527,953.91235,954.13635,954.2457,954.5437,955.2089,955.24347,956.0425,956.7372,957.44147,957.6639,958.6306,960.0826,960.97284,961.3525,960.63257,961.00714,961.4919,961.5211,961.1766,960.8191,960.9879,961.07227,960.693,960.7542,960.9688,960.8872,960.2945,960.0661,960.0671,959.92096,959.4079,959.1561,959.0724,958.9675,958.7687,959.05817,959.74506,959.6291,958.90454,957.96313,957.1041,956.80145,956.37555,955.7254,955.51154,955.3293,954.85706,954.2544,953.82794,953.2351,952.463,952.0559,951.66846,951.2254,950.47943,949.92236,949.46936,949.1303,949.1032,948.9367,948.424,947.9798,947.33026,946.63544,946.3727,945.9584,945.8704,945.1239,945.1475,944.8087,944.2321,944.58936,945.46533,944.52545,944.2918,944.5024,945.1189,946.08295,946.25214,946.84546,947.8034,948.5528,949.4444,950.4316,950.8448,951.12366,951.6074,951.61707,952.0701,952.20856,952.7307,953.4939,954.11053,954.9246,955.27637,955.54315,955.98773,955.9704,956.24567,956.5001,956.5017,956.81714,956.85986,956.892,957.123,957.4377,957.7626,958.27423,958.61395,958.7004,958.72375,958.5068,958.1347,957.92584,958.0834,958.3897,958.76355,959.0905,959.4896,959.8988,960.2972,960.7058,961.03064,961.1668,961.2083,961.3442,961.57416,961.9088,962.275,962.78864,963.25024,963.67004,963.88983,963.98157,964.0092,964.05804,963.97125,964.04517,964.2182,964.3703,964.68616,965.13654,965.7542,966.19403,966.5396,966.8116,966.979,967.14636,967.3031,967.47034,967.5327,967.595,967.68933,968.0982,968.5283,968.8547,968.8348,968.6963,968.388,967.9752,967.3958,966.9341,966.83234,966.75305
2025-11-13 01:25:05+00:00,2025-11-13 00:00:00+00:00,959.68494,959.5577,959.54364,959.7985,959.751,959.7211,959.94165,959.5229,958.748,958.0781,958.19354,957.8796,957.5335,957.1672,957.2823,957.6879,958.35443,958.7232,958.44525,957.8233,957.42456,957.0275,956.6135,955.8253,955.1936,954.8387,954.00494,953.4835,952.95264,952.4413,951.8296,951.0742,950.6375,950.4192,949.92755,949.51056,949.0638,948.63696,948.02106,947.5448,947.81354,947.85645,947.8307,945.99084,945.76904,945.79254,946.145,945.9901,945.52344,945.49817,945.2792,946.1735,947.39557,947.0185,947.80206,948.18854,948.8595,949.5098,949.58307,950.43317,950.89355,951.4346,952.5004,953.0272,953.2107,953.78156,953.7852,953.6554,953.6847,953.88336,954.0648,954.11053,954.4627,954.7501,955.13153,955.3138,955.4015,955.39404,955.5754,955.8503,955.9669,956.06274,956.0641,956.05475,956.4637,956.6735,957.0087,957.43713,957.60944,957.73663,957.5372,957.1064,956.89246,956.87256,957.101,957.1299,957.6811,958.10345,958.46155,958.67316,958.91473,959.2816,959.3859,959.9613,960.28546,960.5152,960.67206,960.82855,961.1524,961.50793,961.7586,962.45404,962.75836,963.1227,963.04535,962.9158,962.60944,962.4845,962.46893,962.527,962.7274,963.13556,963.7735,964.2541,964.5672,964.7239,964.8909,964.96375,965.0365,965.1098,965.1719,965.32806,965.5166,965.94696,966.5035,966.8411,966.9173,966.875,966.75684,966.6382,966.4578,966.34283,966.40027,966.4249,966.6134,966.76935,967.0933,967.3443,967.6787,968.03436,968.2957,968.45215,968.61926,968.77576,968.9213,969.17194,969.3604,969.68585,970.0435,970.3921,970.70966,971.01276,971.03986,970.76263,970.20386,969.8902,969.81335,969.88196
2025-11-14 01:08:09+00:00,2025-11-14 00:00:00+00:00,953.19543,952.51965,951.25977,950.36145,950.2018,949.21155,948.50446,948.0418,947.6836,946.61554,946.4458,945.9448,945.93494,945.1482,945.2327,945.7227,946.19495,946.5516,946.7542,946.6786,946.7934,946.921,946.04675,946.00964,946.2326,947.39514,947.6875,948.39856,949.34485,950.6656,951.05444,951.8945,952.60144,953.0227,953.1689,953.39435,954.1514,954.80585,955.2651,955.7526,956.1004,956.1327,956.22266,954.2254,954.1699,954.2644,954.5704,954.75604,955.07886,955.5353,955.8967,956.0889,956.27075,956.67126,956.94684,957.2117,957.51697,957.83234,957.94867,958.23267,958.32776,958.59,959.0506,959.64764,959.9674,960.02136,960.00104,960.00256,959.7347,959.7444,959.88806,959.8863,960.1868,960.598,960.8718,961.23944,961.219,961.4077,961.36523,961.5211,961.7509,962.1797,962.2206,962.2724,962.33466,962.5959,962.8462,963.55334,963.78516,963.9715,963.63184,963.41797,963.13214,963.13214,963.2828,963.0928,963.35583,963.5654,963.9407,964.3273,964.8288,965.04724,964.994,965.22296,965.1073,965.24225,965.3039,965.48175,965.52203,965.76154,966.1382,966.5978,966.78076,966.7285,966.6007,966.32465,965.9755,965.7868,965.75006,965.76483,965.84845,965.89996,965.91986,966.0765,966.2651,966.5903,966.70557,966.70557,966.5067,966.39105,966.2651,966.1282,966.1388,966.2757,966.5597,966.73914,966.7176,966.6998,966.57355,966.4717,966.27875,966.0798,965.9095,965.74066,965.5677,965.5038,965.6262,965.5826,965.4505,965.2559,965.1223,965.0589,965.06726,964.8357,964.3025,963.62354,963.1638,963.24786,963.55145,963.6663,963.2994,962.7439,962.1779,961.5073,960.92065,960.43896,960.3447,960.5333
