forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:05+00:00,2025-11-05 00:00:00+00:00,6.489992,11.709688,11.923557,15.175612,16.418526,15.745627,15.542662,17.309973,17.58481,16.09969,14.81259,13.207634,12.181625,11.043261,10.853866,11.177405,10.829959,8.825508,6.638072,5.1165614,1.484318,4.1046314,7.7043357,9.178235,10.495713,11.988594,14.291592,15.281989,18.075441,16.831684,18.391737,18.504139,20.172853,18.504139,18.723461,19.228851,12.682018,11.304229,8.287822,7.7043357,11.384198,15.39184,21.407139,13.202726,20.326454,21.175835,11.885453,4.510787,0.5091169,4.896529,19.33639,26.230639,22.702845,21.758419,19.917469,19.64558,21.829777,23.143827,21.659918,21.758419,23.565567,21.407139,20.291357,16.79314,13.830749,11.753876,8.587338,8.209263,6.3690495,7.5942082,5.937272,7.69592,9.605998,10.390226,11.792404,13.849476,13.138765,9.178235,12.620554,11.440978,17.10284,18.089775,17.873556,19.995398,21.67487,21.077686,19.44,21.96295,26.67889,25.223133,24.84,24.842607,23.40277,22.253124,19.137648,14.277983,13.004922,14.693999,17.727943,18.709612,18.678415,19.33639,19.161337,17.068707,14.8257065,14.33234,13.441071,13.5515,12.413476,10.483357,9.9571085,10.739833,9.255571,7.9526596,7.208994,7.9932976,9.346143,10.495713,10.805998,10.514218,10.195057,9.726664,9.19939,8.699793,8.225035,7.754637,7.42159,7.0911775,6.6185193,6.28713,5.634891,4.510787,4.1046314,4.39436,5.0142193,6.2145634,7.2,8.350138,9.531505,10.661107,11.720751,12.429127,12.9249525,13.1041975,13.32,13.5515,14.145756,14.408997,14.494192,14.345898,14.003029,14.241629,14.759999,13.75558,12.074766,11.019764,12.979984,19.959719,30.085318,37.674644,39.122574,37.029285,35.259792,35.259792,35.58359,35.58359,34.614334,32.84692
2025-11-06 01:11:21+00:00,2025-11-06 00:00:00+00:00,9.957108,10.00256,10.97262,12.738099,12.313894,13.004922,13.891522,15.696165,16.375053,14.386494,12.413477,13.202726,12.181624,7.9932966,6.9247384,2.5455842,9.826088,14.081478,21.325253,24.696102,23.333443,20.3774,17.49615,7.928177,7.653705,9.904906,7.10031,9.339208,14.693999,23.051247,25.992401,26.42753,22.828087,15.941944,15.281989,18.0,18.723461,18.59845,20.929594,19.376562,19.33639,16.808569,13.324863,8.78872,6.489992,5.3999996,6.151683,5.04,11.720751,10.105681,12.682018,13.339445,11.177405,14.264361,14.764389,13.849476,17.072504,17.238699,17.057314,19.376562,18.278645,19.469975,19.35314,18.416384,19.70815,22.668568,22.79684,24.248613,23.358425,22.553936,21.485697,19.8,18.335276,18.875126,21.178896,22.553936,22.59699,22.288042,21.924562,21.924562,21.09305,21.096123,21.096123,18.678415,15.94601,15.617529,13.854155,13.217443,12.7279215,10.948973,11.119281,13.237039,11.298495,11.090103,9.028754,7.342588,8.287822,6.725354,7.42159,7.127636,7.24486,8.311245,10.086427,10.105681,10.440001,10.661107,11.503113,12.397806,12.879752,13.797913,14.345898,15.256526,16.516901,17.654686,19.211996,19.914217,20.345573,20.345573,20.082708,19.386591,18.161278,17.518356,16.93531,14.408997,12.287555,19.296133,27.14123,29.317352,28.36471,27.416782,27.609911,27.811018,28.146843,28.745949,29.317352,29.949316,30.599998,31.293089,31.353088,30.758411,29.834423,29.144438,28.73242,28.312117,28.528723,28.594517,29.250967,29.522196,29.379177,29.598919,29.035288,27.77838,26.309572,25.417631,26.111792,27.248457,28.483257,28.58545,28.802248,28.696312,29.07989,29.644857,30.274265,31.25372,32.096577,31.82082,29.414444,25.671307
2025-11-07 01:08:46+00:00,2025-11-07 00:00:00+00:00,6.989936,1.484318,11.874544,20.898613,19.110542,18.345877,18.345877,19.211996,19.930477,19.523155,20.447239,21.889065,19.083395,19.862083,20.12461,20.26899,15.496736,14.917212,14.336861,12.57426,12.181625,12.758432,12.287555,13.358861,11.27553,11.165805,10.1376915,14.84318,14.494192,15.281989,17.643673,21.349546,20.929596,23.241617,23.740902,28.515089,27.504093,25.630886,20.60823,25.277023,25.050413,23.051247,21.349546,20.056877,21.068459,20.948164,18.556595,16.279802,12.72283,13.891522,15.077082,14.264361,15.273505,15.349684,15.778516,16.279802,17.0763,16.575644,17.287498,16.676977,16.179987,15.277749,13.281023,13.896187,16.039202,15.273505,14.021525,12.88981,10.990322,9.449572,9.114471,7.2359104,7.2359104,8.427383,5.1919937,8.209263,9.726664,8.766573,10.1376915,10.495713,11.159999,11.901798,12.313893,13.276144,13.441071,13.1041975,14.24163,15.725037,16.808569,18.775301,19.8,19.803272,20.240196,20.991426,16.808569,13.679999,10.661107,8.78872,15.328561,25.02971,23.023117,23.73271,24.023088,26.309572,28.802248,27.558228,26.64,25.071096,26.019806,27.792374,28.820242,29.627365,30.684587,31.151962,30.599998,31.575506,32.730316,33.71338,34.338036,34.30594,34.62369,34.82895,35.14935,34.94968,33.74796,31.67386,29.827904,28.712116,27.971327,27.475807,27.06472,27.055143,26.944744,26.282463,25.600533,25.455843,26.562046,28.00837,28.90107,28.732422,27.871534,26.064596,22.782625,18.709612,15.629971,14.021525,12.904882,12.10157,11.298495,10.495713,10.00256,9.885262,10.086427,10.009036,9.220499,7.653705,6.618519,5.904439,4.829907,4.0249224,3.0758414,3.4152596,5.4477882,7.754637,9.826088,11.681987,12.682018,12.979984
2025-11-08 01:02:25+00:00,2025-11-08 00:00:00+00:00,14.917212,16.039202,16.09969,16.954432,16.62249,18.057508,15.546833,14.830076,15.986595,16.45007,14.20062,16.299694,16.992609,17.388409,16.516901,12.783802,16.676977,15.856356,14.05845,13.202726,14.529915,15.986593,15.281989,14.336861,14.20062,11.435313,13.527572,11.177405,7.7879906,13.397612,11.113451,8.699793,12.397806,12.287555,11.720751,15.990646,15.546833,15.349684,13.493999,13.493999,16.055355,15.7908325,15.580141,12.984975,12.538134,9.957108,9.83268,7.2359104,7.9526596,6.8399997,7.342588,5.1919937,7.145796,7.628263,9.422101,10.239453,10.799999,11.542478,13.358861,13.979871,16.071491,17.727943,17.935081,21.542923,22.782625,24.863468,27.021591,27.36947,28.162956,26.525429,26.700743,19.914217,14.618837,12.9249525,10.587918,15.463244,22.553936,22.702845,23.993399,26.562046,26.562046,25.864943,26.260265,24.57511,27.381308,26.7565,25.0064,27.086262,29.515608,31.614477,32.417995,31.614477,32.20944,30.945345,30.261421,29.07989,30.007679,30.75209,30.918108,28.533264,25.277025,25.38702,27.811018,29.784426,29.162222,28.091534,25.455843,24.472057,25.759504,27.381308,27.534704,26.099379,26.474077,28.220417,31.575506,31.087412,29.308508,27.532352,25.43802,23.18579,21.096123,19.813087,18.86139,18.057508,17.072504,15.778518,14.8257065,13.849477,13.049689,12.43434,11.770403,10.948973,10.00256,8.587338,6.193674,3.6,0.35999998,4.6102495,8.669949,11.753876,14.565548,16.323528,17.31746,17.713316,18.374111,18.723461,19.346441,19.406637,18.899143,17.84816,15.856354,13.70839,11.720751,10.587917,12.783802,20.008356,26.302181,29.533169,30.563978,31.09575,31.079075,30.500309,29.055367,26.459387,22.59699,19.022177,14.982228,11.480557
2025-11-09 01:07:40+00:00,2025-11-09 00:00:00+00:00,10.086427,11.770403,13.441071,14.934577,16.73516,12.979984,12.475961,13.493999,13.392774,15.077082,16.575644,17.0763,15.986593,15.986593,15.192682,16.704155,16.563911,15.281989,16.87398,15.629971,15.077082,16.179985,15.596767,11.165805,7.968939,8.12197,8.287822,8.12197,8.0899935,6.8777895,7.208994,8.557102,9.6932955,12.144331,12.245294,12.605142,12.979984,14.081478,15.137133,14.471821,16.394829,17.654688,17.373497,28.802248,25.241108,25.683926,22.366402,16.93531,15.484185,13.708391,10.739832,12.682018,17.388409,17.782688,17.727943,21.120682,20.61766,24.315327,25.189713,24.696104,24.967497,25.759504,26.260265,25.43802,26.886963,28.185955,27.238941,27.362368,25.952478,26.208395,26.339111,22.930048,23.224882,23.540806,22.881958,20.771093,17.992796,18.331741,18.998316,17.551615,17.581125,17.873556,19.137648,17.873556,17.377226,17.81909,18.289274,18.692286,19.255793,21.096123,20.87379,20.3774,19.319628,17.551615,12.758432,10.739833,10.239453,10.24578,9.178235,8.311245,6.8399997,5.8048253,4.3349743,2.968636,1.484318,2.1897945,4.3349743,6.9153743,8.854829,9.793058,11.177405,11.269782,14.113652,17.566378,18.626305,19.406637,19.64228,19.35314,18.075441,16.363178,15.696165,16.870138,18.837324,20.898613,22.45315,23.233252,23.977188,24.195107,23.928492,23.950148,24.248611,24.569836,24.850431,25.076267,25.537172,25.476198,26.230639,26.649727,26.36616,24.363249,20.767975,15.807239,9.779817,9.19939,14.764389,19.13426,22.79684,24.795612,24.149532,21.900904,20.140705,19.966211,20.456745,21.120682,21.485697,21.980644,22.476227,22.728518,23.023117,23.83624,25.925,28.174458,29.462873,29.144442,28.03612,25.671307,22.206486,17.555305
2025-11-10 01:12:38+00:00,2025-11-10 00:00:00+00:00,8.707238,5.0911684,3.6,7.729527,9.346143,9.693296,9.779817,11.304229,12.9249525,12.758432,14.081478,15.629972,15.84,17.057314,18.775301,17.698677,19.083395,20.721119,19.559633,15.745627,21.794127,19.483284,15.7908325,11.435313,9.693296,13.217443,18.692286,16.78156,15.484185,15.778518,19.721298,18.844202,18.391737,17.238699,17.072504,16.263872,15.978484,16.645864,19.011953,19.469975,20.380579,24.014996,26.474077,29.055367,29.257614,29.387999,27.908709,27.381306,24.819122,23.83624,21.659916,19.734436,21.915693,22.427162,21.659916,16.766108,15.546833,23.224882,19.721298,15.683776,15.484185,16.563911,15.905319,16.516901,17.399586,19.171478,18.581022,18.289274,16.79314,14.654254,9.693296,7.968939,7.968939,7.289444,5.506941,5.04,4.3349743,3.0758414,1.1384199,3.4152596,6.489992,7.289445,8.39657,9.83268,10.00256,10.966713,11.183201,10.30883,13.089354,15.349684,14.904173,15.277749,15.315873,16.1198,15.646544,13.202726,14.332341,14.759999,16.42247,18.043148,18.998316,20.12461,21.09305,23.188583,24.20314,24.387178,25.140787,25.630886,26.795223,28.99062,30.070238,32.058197,32.688713,32.726357,32.726357,31.581665,29.810522,27.887802,24.798225,21.650938,19.09358,18.947083,19.881649,19.008547,14.84318,10.182337,7.8954163,8.669949,11.298495,14.982228,17.884428,20.12461,21.892027,22.66857,22.961115,23.507751,25.02971,27.295977,29.09103,31.485083,33.772907,35.246925,34.746994,33.651817,32.353966,31.950888,31.367548,30.871965,30.154163,29.882166,29.237675,28.732422,28.58545,28.165257,27.859905,27.41678,26.576681,25.140787,23.4,22.104116,22.553934,23.688984,24.569832,23.933907,22.033648,20.188908,17.373497,14.685176
2025-11-11 01:05:48+00:00,2025-11-11 00:00:00+00:00,26.576681,25.651104,23.688984,23.828083,22.553936,24.472057,25.772078,23.532547,22.288042,23.4,23.584808,24.798225,23.675304,23.4,21.578989,20.291357,25.12016,28.930204,34.726475,34.895866,34.838253,32.714474,29.947153,22.380884,16.595179,16.485485,18.58451,19.486609,20.188908,19.191748,16.73516,15.978486,14.934577,15.379206,15.111424,15.39184,14.264361,12.979984,13.556282,15.188415,17.163355,17.58481,17.462782,22.59699,21.794127,20.26899,15.379206,11.631956,11.503113,11.113451,10.630672,9.360001,8.427383,7.9526596,7.342588,5.7599998,5.5887027,2.1897945,2.6208394,5.8603754,6.489992,7.6367526,8.161764,9.793059,11.720751,13.746156,13.397612,15.876775,18.335276,18.844202,16.1198,16.45007,16.179987,15.408671,16.299694,16.870138,17.935081,16.489416,15.9134655,14.982228,14.512064,14.336861,14.654254,14.33234,14.039999,14.003029,14.494192,14.154915,16.56,17.057314,15.379206,13.281023,9.693296,8.669949,10.1376915,9.693296,9.826088,10.195057,12.181624,11.525623,11.525623,12.7279215,13.237039,12.879752,13.089354,14.799459,13.392774,15.077082,6.379216,10.483357,10.24578,10.464797,12.783802,12.682018,12.599998,11.988594,10.948973,9.957108,8.913181,8.217153,7.771331,7.928178,8.654986,9.021574,8.4963045,7.127636,6.193674,5.692099,5.692099,5.495161,5.8603754,7.342588,9.028754,10.00256,10.587918,11.720751,13.830749,16.676977,18.359999,18.35647,17.25373,16.311613,15.175612,13.905509,12.979984,12.57426,12.620554,13.004921,13.202726,13.661038,13.202726,12.031756,11.183201,11.27553,11.304229,11.183201,11.159999,11.183201,11.212135,11.367109,12.303366,13.584932,14.336861,12.984975,10.195057,8.39657,8.473393,9.746631
2025-11-12 01:07:39+00:00,2025-11-12 00:00:00+00:00,18.899143,17.992796,17.76081,20.870687,22.127556,19.721298,19.930477,19.966211,20.497883,20.945072,18.35647,16.179985,16.516901,17.555305,16.279802,15.7908325,17.906157,19.08,20.12461,19.813087,19.164717,16.299694,12.413476,8.707238,9.422101,7.9526596,8.287822,8.4042845,8.766573,7.289444,6.9247384,9.0,8.225035,6.489992,6.638072,8.587338,7.42159,7.42159,9.422101,9.673221,14.8257065,13.53236,13.0447235,14.081477,14.386494,15.484185,13.783817,13.104198,13.570615,14.587776,13.202726,13.339445,12.661564,13.089354,13.979872,14.277983,15.277749,16.595179,18.0,20.172853,22.771244,23.000591,22.725668,22.148046,21.817902,21.986542,22.065973,22.380884,16.75064,21.575987,24.033876,20.730501,24.031178,28.44,31.178993,29.5551,24.20314,23.565569,21.175837,22.065973,21.261345,20.799152,20.799152,19.130875,19.562946,22.104116,23.233253,24.717085,26.980793,31.883888,30.75209,31.259941,31.435646,28.84721,24.20314,23.4,20.456745,19.652176,18.847641,17.555307,16.746773,16.179985,15.463244,15.226764,16.327497,17.309973,16.73516,16.055353,15.7908325,15.315873,13.584932,13.18308,15.530151,14.003028,13.18308,13.551501,13.746156,13.783817,12.768586,11.246759,9.504272,8.225035,7.92,8.654986,9.028754,9.178235,8.854829,7.8954163,6.9527545,6.379216,7.172949,8.427383,8.891344,8.049845,6.792466,5.6233797,5.3517847,5.3517847,5.3999996,5.1919937,5.1919937,5.154415,5.4477882,5.8603754,6.9527545,7.729527,8.287822,8.714677,9.422101,9.686609,10.233123,10.739832,11.246759,11.753876,12.496718,12.984975,14.003028,15.03835,16.323528,17.84816,20.12461,22.608458,24.567198,25.199997,24.75638,24.184391,22.91026,21.129883
2025-11-13 01:25:07+00:00,2025-11-13 00:00:00+00:00,1.835647,3.8773184,9.6932955,7.9932976,6.519877,1.8,4.2136917,6.5693827,5.8603754,3.6,2.3051248,2.5455842,2.5959969,6.9153743,7.2805495,6.151683,6.1094027,7.491114,8.854829,7.628263,10.028439,12.10157,10.739832,11.019764,12.181624,12.641076,12.7279215,11.525623,10.829958,12.7279215,15.986593,16.199999,14.799459,15.530151,16.363178,17.072504,15.30741,16.548256,17.581125,16.489416,18.58451,23.241617,23.795427,24.48,23.266697,19.829433,15.4800005,28.357855,17.208603,21.129883,16.831684,13.755579,15.683774,17.429354,20.808498,22.415602,23.042812,25.189713,26.980793,27.169865,27.86921,28.66468,26.944744,26.61323,28.82249,32.2396,32.28981,32.730316,32.730316,28.84721,27.698954,26.89419,25.772078,25.11758,23.847115,21.734581,19.813087,19.011953,19.829433,20.037485,18.892282,17.917007,16.746773,16.45007,14.8257065,12.57426,11.91812,11.298495,13.513193,14.039999,12.10157,11.298495,10.587918,10.086427,7.42159,7.491114,8.905908,10.538843,11.177405,10.483357,10.137692,9.346143,8.707238,8.350138,9.47012,9.531505,8.707238,9.255571,8.557102,8.654986,9.449572,6.9899354,8.427383,8.534353,8.287822,7.7879906,6.792466,6.297428,7.2,8.404285,9.449572,9.085988,8.699793,8.209263,8.4042845,8.669949,9.0,9.0645685,8.905908,9.107359,9.449572,9.605998,9.885262,9.531505,9.178235,9.255571,10.24578,12.10157,13.527572,14.007655,13.854155,13.570615,12.864649,12.074766,11.252519,10.948973,10.483357,10.495713,10.30883,9.826088,9.693296,9.387651,8.891343,8.891343,8.891343,8.707237,8.707237,8.854829,9.504273,10.30883,11.298495,12.819235,14.021525,15.021105,15.530151,15.546833,14.4,13.202726
2025-11-14 01:08:12+00:00,2025-11-14 00:00:00+00:00,16.299694,16.42247,13.684735,12.879752,12.287555,12.879752,17.31746,18.668005,19.602652,19.826164,21.933426,21.068459,20.49156,20.870687,16.520823,20.898611,21.862406,23.535301,28.312117,23.319553,20.364674,23.110205,18.345877,14.118243,28.227304,26.42753,22.771244,17.935081,17.581125,20.883102,20.808498,18.671474,19.770523,17.068707,14.039999,11.841756,11.874544,10.086427,13.979871,14.84318,19.523155,21.413193,20.497883,25.006397,24.387178,24.27265,19.513195,15.778516,12.879752,13.37825,14.007655,13.849477,13.53236,14.081477,13.513193,12.387348,12.43434,12.313894,12.096214,11.525623,10.948973,10.086427,9.360001,5.6002855,5.3517847,6.6185193,6.9899354,6.439876,7.072878,6.162207,6.9899354,6.792466,6.618519,7.2,9.0,10.383987,8.707237,7.289445,7.9932966,8.78872,8.891343,9.19939,9.028754,9.107359,9.255571,9.114471,7.9932976,6.849467,7.928178,8.669949,8.825508,9.605998,9.6932955,9.6932955,8.4042845,8.669949,7.771331,7.5942073,8.287822,8.311245,9.178235,10.315115,10.630672,10.00256,9.885262,9.983106,10.24578,9.826088,9.793059,10.315115,10.464797,9.826088,13.479583,14.88242,15.876775,16.676977,17.287498,17.10284,15.778518,13.570615,12.413476,12.413476,12.768586,13.527572,14.336861,15.496736,16.179987,15.990646,15.629971,15.315873,15.778516,16.831684,17.566378,17.309975,16.831684,16.595179,17.057314,17.884428,18.218275,18.11841,17.581125,17.208603,16.87398,16.610792,16.434305,16.575644,17.581125,18.089775,18.075441,17.581125,16.92383,15.379206,13.049689,11.966954,11.609651,12.245294,12.605142,13.32,14.05845,14.440443,14.404499,14.417988,14.154915,14.05845,13.905509,14.168641,14.20062,13.979872
