forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:24:57+00:00,2025-11-05 00:00:00+00:00,0.06448222,0.56044465,0.8528333,0.360078,-0.18196985,-0.6183907,-1.0624801,-1.4632438,-1.9067848,-1.9966196,-2.0445297,-2.0445297,-1.8962572,-1.7989998,-1.8981843,-0.7575835,0.59581095,1.6595547,1.1038752,0.99389577,0.36617553,-0.9208331,-0.87959224,-0.18854801,0.27433324,0.58164275,0.07165522,0.12053512,-0.17108099,-0.59918946,-0.95001215,-1.4254575,-1.2882096,-0.87959176,-1.2968976,-1.4637263,-1.9096513,-0.8903847,0.706249,2.1906662,3.781474,3.557615,2.4289868,0.11097842,0.12078502,-0.14646304,-0.40990508,-1.1317422,-1.2119006,-1.5266502,-1.866439,-2.1370912,-1.9436741,-1.5554894,-0.94098413,-0.9407892,-1.2535756,-1.2685375,0.7806631,0.41958305,-0.85436535,-1.3344225,-1.0501561,-0.69216835,-0.86401606,-0.74062794,-1.2022095,-1.574466,-1.5959624,-1.4574819,-1.4347107,-1.2615964,-1.575721,-1.9667397,-2.5426507,-2.876318,-2.9726694,-2.1114748,-1.1283153,0.442106,-1.0130379,-5.3028417,-4.8362,-0.9074504,2.0591664,1.2599059,-3.8885,-5.7689104,-6.5888634,-7.505639,-12.861054,-13.544615,-12.688619,-11.637866,-11.195031,-11.3580475,-10.943799,-11.295064,-11.429361,-11.404006,-11.549163,-11.6234045,-11.817239,-12.2507305,-12.518609,-12.788338,-13.237492,-13.41733,-13.832003,-14.019101,-14.210881,-14.349109,-14.80991,-15.237433,-15.658253,-16.258085,-16.000914,-15.871015,-15.382893,-15.190694,-14.913899,-14.696102,-14.485853,-13.903562,-12.547311,-11.077193,-9.865161,-8.93455,-8.000819,-7.338444,-6.7929354,-6.3918185,-6.0245514,-5.636617,-5.358491,-5.0802135,-4.660964,-4.4962764,-4.867372,-5.3422556,-5.713243,-6.0633817,-6.0279446,-6.0715194,-6.241361,-6.2262883,-5.861251,-5.861251,-6.0182395,-6.2540426,-6.241361,-5.5775023,-4.636162,-3.6449325,-2.8911383,-2.2828643,-1.7762272,-1.4367161,-0.96449465,-0.64889765,0.11736907,1.0635781,1.3942988,1.0827168,0.5546177,-0.05609449,-0.13346703,-0.31286523
2025-11-06 01:11:09+00:00,2025-11-06 00:00:00+00:00,0.6140114,0.8263695,0.3905836,-0.02485371,0.09217324,0.28796357,-0.29941761,-0.29277524,-0.20151863,-0.31502476,-0.6455467,-1.2784536,-1.6392839,-1.5421658,-0.47763965,2.1389117,3.889416,4.829352,4.725796,2.7134976,1.5113944,1.409183,1.2422931,0.67050993,-0.25384793,-1.3535608,-1.8305608,-2.1759236,-2.2952497,-1.9893348,-1.9821771,-2.0049098,-1.9934466,-2.1831858,-2.539993,-2.8065705,-2.867139,-3.0523882,-3.0079074,-2.191015,-1.4378601,-0.6480625,-0.31675428,-3.2441783,-3.2199233,-3.1661055,-2.979256,-2.8525155,-2.8660257,-2.9605608,-3.0075026,-3.124768,-3.0075026,-2.7903037,-2.632997,-2.1056907,-1.7184964,-2.207654,-4.1542826,-4.5793524,-2.7581635,0.27746338,-1.2589427,0.07021576,-4.8748703,-6.5855136,-7.952995,-7.9533176,-11.622943,-12.132183,-11.560809,-11.792251,-11.795629,-11.872527,-12.259132,-12.642072,-12.746016,-12.75722,-12.9012985,-13.033711,-13.306214,-13.398737,-13.541812,-13.735283,-13.931521,-13.978995,-14.026474,-14.218574,-14.589677,-14.650868,-14.927963,-14.666431,-14.765688,-14.988685,-14.422916,-13.972463,-14.085917,-13.854668,-13.912935,-13.793058,-13.632309,-13.632309,-13.724816,-13.724816,-13.909838,-14.162276,-14.281302,-14.359964,-14.1762085,-14.084335,-14.169686,-14.108128,-14.268101,-13.742151,-12.435824,-11.417912,-9.835072,-8.51952,-7.7419286,-7.5730205,-7.1860914,-6.0568295,-4.542904,-3.213008,-2.5239615,-1.9653527,-1.7846707,-1.7677507,-1.719708,-1.4935573,-0.9604364,-0.38712487,-0.16272207,0.21612065,0.53771114,0.39522538,-0.07188755,-1.5075656,-3.1306102,-4.3365755,-5.250941,-5.380496,-5.1231146,-4.820119,-4.1635203,-3.0608957,-1.8395631,-0.9132068,0.06274214,1.0571136,1.4579784,1.1201979,0.25430188,-0.51574236,-0.9003923,-1.1888955,-1.2850662,-1.1888955,-0.9003923,-0.5719885,0.18166953,0.6375527,0.6630671,-0.4590047,-2.3125052,-4.382099,-5.5268226,-6.4790545
2025-11-07 01:08:34+00:00,2025-11-07 00:00:00+00:00,-1.2122569,-0.9496297,-1.4372464,-2.177441,-2.3124716,-2.3159225,-2.7749603,-2.0829375,-1.7002982,-1.5685673,0.40743494,1.1715081,-0.47060767,-1.3409814,-1.1504163,-0.5678141,-0.27619824,0.365075,-2.0208936,-1.8912777,-2.140112,-2.222418,-2.4336298,-2.6192126,-2.3636773,-1.9020029,-0.9927571,-0.66944873,-0.51228696,-0.18196985,-0.28052586,-2.135425,-2.4803305,-2.5799804,-2.7162457,-0.18196985,-1.225107,-2.894047,-2.6032434,-5.0862103,-7.202197,-7.958873,-8.15232,-7.5261707,-9.816019,-12.581889,-13.037558,-12.132566,-11.970145,-11.036451,-10.773644,-10.732567,-11.163957,-11.376589,-11.584056,-11.698449,-11.891419,-12.0843935,-12.354771,-12.675153,-12.740162,-13.011864,-13.237492,-13.991695,-15.064252,-15.8725195,-16.792347,-17.146008,-17.343838,-17.489601,-17.25716,-16.52647,-16.800632,-16.955744,-16.852755,-17.032316,-17.492853,-17.627153,-17.716696,-17.761465,-18.050093,-18.347626,-18.565842,-18.617746,-17.291395,-15.81605,-14.600903,-13.488238,-11.713123,-9.837326,-8.203474,-7.122536,-5.8136134,-4.504454,-3.5359762,-2.9689517,-1.8985507,-0.76815087,-0.7172741,-0.68691605,-1.0819379,-0.94590276,-1.0516174,-1.0250202,-0.8486921,-0.53093696,-0.116154686,-0.069587514,-0.11875027,0.071392246,0.44851774,1.0141407,1.4144487,1.0846788,0.8234157,1.0830187,1.3788943,1.896088,1.9590408,2.0833054,1.6889256,1.0893269,0.30228007,-0.29616794,-0.94098413,-1.4233217,-1.590096,-1.3367885,-1.0078796,-0.6406864,-0.52406687,-0.32342666,-0.4195837,-0.5638224,-1.0033003,-1.2759063,-1.7604152,-2.9216018,-3.9371343,-4.383366,-4.549212,-4.6387305,-4.2131634,-3.9254484,-3.8885252,-3.8504384,-3.9561386,-4.021645,-3.9999225,-4.1860075,-4.1699,-4.2990003,-4.2919197,-4.256031,-4.189708,-4.2571673,-4.1863704,-4.1863704,-4.2571673,-4.126487,-4.0653906,-3.9816642,-4.042928,-3.9422638,-3.506094,-2.9492428,-2.4197066,-2.0116339
2025-11-08 01:02:16+00:00,2025-11-08 00:00:00+00:00,0.033148997,0.03585182,-0.013737282,-0.01412169,-0.162505,-0.56127983,-0.21209446,-0.41045293,-0.6088127,0.03540652,0.42427012,1.50862,1.3655106,1.1267908,-0.029641338,-2.8882947,-4.0307302,-4.988138,-5.3076577,-5.8005958,-6.295294,-6.643146,-6.9429584,-7.4831586,-7.9306393,-8.399001,-8.330002,-9.407706,-10.387527,-11.2663355,-12.351104,-12.218214,-13.068093,-15.658042,-14.114731,-14.163867,-14.701094,-15.091838,-15.287892,-13.869059,-13.652212,-13.371015,-12.959717,-17.820642,-17.954435,-17.696571,-17.040493,-15.953248,-14.906691,-13.909838,-13.41198,-13.557842,-13.650759,-13.940117,-14.187394,-14.531542,-14.670031,-14.464978,-14.83395,-15.68212,-16.493103,-17.26904,-17.90058,-18.063656,-16.997162,-13.535433,-10.620371,-8.24803,-6.688589,-5.3521686,-4.4399076,-3.8433738,-3.5908606,-3.3552248,-2.3724012,-1.0060257,-0.62842727,-0.8486921,-0.6254075,-0.34097463,-0.34097463,-0.0964344,0.09876568,0.0041178814,-1.4849696,-2.3271768,-2.2274287,-2.477262,-2.7372828,-3.0326235,-4.1288595,-4.7467,-4.790562,-4.116978,-3.43056,-3.3049362,-3.0225797,-3.0137656,-3.076329,-3.0045292,-2.8378081,-2.8903093,-3.0732446,-3.6104708,-3.39522,-3.1661055,-3.635153,-3.8321357,-3.7592785,-3.6436706,-3.8067312,-3.8722427,-3.9561386,-5.387431,-6.5677977,-7.528671,-7.690839,-7.77805,-7.687927,-7.2680206,-7.123487,-7.109615,-6.878719,-6.7458615,-6.93872,-6.939591,-7.1571455,-7.2448816,-7.520477,-7.4777513,-7.4872565,-7.502835,-7.641622,-7.6878858,-7.5490966,-7.1641946,-6.6654315,-6.1180634,-5.7989163,-4.971052,-4.1288595,-3.1631427,-2.5882504,-2.1972435,-1.8871512,-1.3566688,-0.97038496,-0.5405413,-0.25458694,-0.11371016,-0.11875027,-0.39556667,-1.0789417,-1.598765,-1.8554084,-2.1848044,-2.4944437,-2.357216,-2.111301,-1.5958182,-0.79503465,0.2440818,1.4026852,3.1350446,5.2267475,6.3258667,6.7567983,6.482448
2025-11-09 01:07:32+00:00,2025-11-09 00:00:00+00:00,-8.085954,-7.8778906,-8.196377,-8.82699,-9.820022,-9.680702,-10.100242,-10.383268,-10.681487,-10.828472,-10.926463,-11.1766815,-11.568141,-11.808414,-12.100404,-11.819252,-11.683677,-11.670889,-13.049182,-12.742438,-13.115605,-13.747983,-13.4202,-13.478264,-14.075889,-14.616972,-15.076256,-15.192308,-14.613504,-14.0550585,-14.167567,-13.962613,-14.20594,-14.152855,-14.008601,-14.533367,-15.031919,-15.254039,-14.889968,-12.829269,-10.161083,-8.639755,-6.6600733,-8.16587,-6.8340507,-5.444564,-4.619572,-4.352815,-3.9252326,-3.267013,-1.7900968,-0.53366965,-0.79650843,-1.1169671,-1.1786547,-1.1256253,-1.0328904,-0.82224065,1.9661161,2.8791702,2.752806,0.6990426,0.5194095,-0.771185,-3.1952813,-5.281427,-7.2818704,-7.150005,-6.158052,-5.6107273,-4.834427,-4.2935853,-4.303682,-4.381909,-4.3069334,-4.490462,-4.5784035,-4.6271114,-4.207322,-3.5908606,-3.7758791,-4.057347,-3.8792331,-3.7641933,-3.5220227,-3.4993012,-3.3572156,-3.1257448,-3.0511353,-2.9264932,-2.99124,-2.8140745,-2.6695855,-2.6242096,-1.876348,-2.1967726,-2.1970794,-2.039495,-1.81476,-1.6372637,-1.6052119,-1.9564484,-2.0276935,-2.1505046,-2.388544,-2.5313735,-2.6265957,-2.611189,-2.6588845,-2.4469354,-2.3933063,-1.9600803,-1.5317539,-0.6697226,0.04823317,0.5053474,0.7667495,1.2749292,1.670281,1.9286164,1.8493825,1.7724043,1.5048643,1.5048643,1.629956,1.7516842,1.8224916,1.794478,1.7628787,1.619416,1.059986,0.41460034,-0.06618093,-0.7277053,-1.1883924,-1.6866559,-1.1719286,0.26955584,1.3421618,2.2879033,3.0408108,3.91666,3.6549792,2.8768077,2.6385775,3.374525,4.224617,4.4000273,4.039907,3.2567718,2.3414843,0.8904787,-0.70806456,-2.5048013,-4.263147,-5.91323,-7.1205525,-7.3228407,-6.9252615,-6.4580307,-6.3002844,-6.0507126,-6.01201,-6.575096,-7.0595465,-7.560467,-7.3023987,-6.8792267
2025-11-10 01:12:26+00:00,2025-11-10 00:00:00+00:00,-11.580861,-10.524279,-10.740878,-10.935622,-11.225485,-11.350155,-11.418733,-11.586903,-12.122025,-12.616471,-13.301751,-13.082842,-12.58504,-12.440517,-12.520274,-9.797266,-6.8950076,-5.1225476,-4.6853523,-3.3283217,-1.8896602,-0.6254394,-0.33131266,-1.3706595,-2.3420925,-2.528503,-1.2786615,-1.5781062,-2.1400464,-2.188183,-1.8541228,-2.5799804,-1.2879544,-0.7936493,-0.5635209,-0.22759658,0.36493134,0.077636294,-0.7240352,0.9764205,2.991097,4.440969,5.2795496,-5.1231146,-5.2943535,-4.904596,-4.2494736,-4.1140337,-3.814743,-3.5732253,-3.909826,-3.8138487,-3.8603656,-3.9367936,-3.8717403,-4.010434,-3.8321357,-3.7961595,-3.811471,-3.7834852,-3.9255843,-4.067688,-4.067688,-3.9653718,-3.7118282,-3.7697968,-3.8211687,-3.6095037,-3.8862646,-3.6639836,-2.7860916,-3.1781163,-3.2518837,-2.9676828,-2.8803039,-2.6046243,-2.5239615,-2.6547558,-2.7442942,-2.796139,-2.6296978,-2.4308076,-2.4078734,-2.2296433,-2.216986,-2.159799,-1.9585557,-1.4189554,-0.724219,-0.032242868,0.46046537,0.54998416,1.0830187,1.2637262,1.4091047,1.4667364,1.4854324,1.3626715,1.4412527,1.4603078,1.5080472,1.7150578,1.5840758,1.5840758,1.6319795,1.6798818,1.6892841,1.5994002,1.3590797,1.1668171,0.97454745,0.7751776,0.47766522,0.17927913,0.25343627,0.4651855,0.8977816,1.3833275,0.99900204,0.5023456,0.45935073,1.2687415,2.1894853,3.2209942,4.279797,5.0178533,5.31764,4.6797223,3.6002576,2.685458,1.9363945,1.3142294,0.8617649,0.8990268,0.9987969,1.05559,0.6695928,0.15213096,-0.2612369,-0.60986626,-0.94847566,-0.9635602,-0.17919351,1.0738523,1.5272033,0.9655448,-0.14108644,-1.0798533,-1.6129521,-2.146088,-2.679261,-3.4869947,-4.2950215,-5.1409516,-5.9897356,-6.714629,-7.414591,-7.7640133,-7.8114214,-7.9035563,-8.0389,-8.179653,-8.219389,-7.8243194,-7.0766816,-6.556015,-6.411681,-6.4506907
2025-11-11 01:05:39+00:00,2025-11-11 00:00:00+00:00,-2.8471203,-4.4611406,-4.9860053,-3.9680548,-3.476346,-3.5110576,-2.8245826,-2.2979772,-1.5847287,-1.6097661,-1.9037331,-2.012786,-2.1602576,-2.5365977,-2.4385462,-1.4139621,1.0746046,2.709897,4.933888,4.6207104,4.168742,3.5184846,2.6722298,1.7621497,0.52993256,0.11983805,0.045347948,0.02388812,-0.48802888,-1.1996827,-1.415047,-2.2672548,-2.0709743,-1.9067848,-1.851999,-1.749577,-1.749577,-1.9013454,-2.2094777,-1.4139621,-0.536843,0.64856774,1.4291596,-3.2810683,-3.2165027,-3.26137,-2.4500856,-2.739106,-3.2960372,-3.5575016,-3.5172422,-3.2631962,-3.3537173,-3.1257448,-3.1827662,-3.0078294,-2.9526606,-2.9526606,-2.5351706,-2.2680492,-2.7542763,-2.8380828,-2.686227,-1.9911923,-1.0130379,0.105325155,0.9411468,1.4988033,1.9714502,2.0813599,2.7980146,2.6148665,2.038595,2.084653,1.8701448,1.7467418,1.7150578,1.6672376,1.7277845,1.7916496,1.8912464,1.7949678,1.5032729,1.2574208,0.85421735,0.60091245,0.27683586,0.4013782,1.1132457,1.0960138,0.9487989,1.0491431,1.3072755,2.1065707,2.369602,1.8645341,1.670281,1.4527934,1.2687415,0.98177236,0.5978635,0.66566944,0.31574196,0.2701761,0.50626594,0.8586796,1.2061371,1.648171,1.6233603,1.9566705,2.0940835,2.6605809,3.0380235,3.2026815,3.0467901,3.0855818,3.0482724,3.4815962,3.9521198,4.2602186,4.3672476,3.9899285,3.627549,3.1494899,2.5104873,1.9654481,1.4186934,1.2982813,1.380303,1.4973485,1.3590797,1.3135493,1.1691166,1.3613051,1.69606,2.132789,2.8773198,3.3628612,3.8156466,3.9452684,3.947865,3.8443873,4.0844846,4.3591337,4.224617,3.9899285,3.608177,3.4841354,3.512356,3.527773,3.5792904,3.4315257,3.562785,3.4546297,3.5219312,3.8008482,3.824317,3.7753172,3.7029836,3.7655473,4.012909,4.1458983,3.8444061,3.39869,3.3386395,3.0009172,2.9828506,2.6558137
2025-11-12 01:07:30+00:00,2025-11-12 00:00:00+00:00,-3.4644895,-3.4603739,-2.4203713,-1.9479927,-1.5888312,-1.2922328,-1.100382,-1.3235412,-1.6680659,-2.1110377,-2.5048008,-3.8733065,-4.118134,-3.9094,-3.9737854,-1.6541638,0.46255463,0.6906408,-0.080120906,0.58238417,-0.10337883,0.78234816,0.9464926,0.64863795,0.63462883,-0.36827436,-0.98473394,-1.659632,-1.0512956,-1.2619917,-2.169748,-2.4860532,-2.5834239,-2.4407763,-2.3065321,-2.1312346,-1.8575019,-1.8575019,-2.1201293,-0.71202976,1.0254602,2.753038,4.0707946,1.6465888,1.3513101,1.3306911,1.8689852,1.7319576,1.7748541,1.6425394,1.7169981,1.4383564,0.987492,0.84845674,0.6167176,0.16289335,0.07039222,-0.02211335,-0.11461998,-0.34097463,-0.6645057,-0.9407892,-0.7563526,-0.54732454,-0.26792425,0.117938384,-0.15483949,0.02229905,-0.015505323,1.2991589,1.5581589,1.0491431,1.305893,1.3103245,1.3493896,1.5956984,2.6797876,3.160204,3.2742012,3.956064,4.218148,4.682717,4.482511,1.7925348,1.3337181,3.38626,3.7959442,3.746107,2.2989988,0.853455,0.38496083,0.6253597,0.30228007,-0.44168228,-0.90104425,-1.0561298,-1.6261045,-3.2631962,-5.160498,-5.368047,-5.4889,-5.4205465,-5.8412194,-7.071898,-9.0948515,-10.151448,-10.967869,-11.190973,-11.025668,-10.63233,-9.785612,-9.499826,-9.906375,-10.0757065,-10.289574,-10.414041,-10.458044,-10.590063,-10.766104,-10.642868,-10.863711,-11.040405,-10.79765,-10.974948,-10.787809,-10.965696,-10.878635,-10.891393,-10.677353,-10.764152,-10.814966,-10.783619,-11.056076,-11.373984,-11.64651,-12.11921,-12.664085,-12.968096,-13.694404,-13.95483,-13.962784,-13.395217,-13.086688,-12.483421,-12.255877,-12.440817,-12.548069,-11.630211,-9.038747,-6.332773,-4.763837,-4.613558,-5.0547523,-5.2297506,-4.4443784,-3.429882,-2.9174514,-3.459046,-4.375966,-5.0321755,-5.0553885,-4.615267,-3.9734294,-3.1257448,-1.968049,-1.0773796,-0.5719885,-0.38978595
2025-11-13 01:24:59+00:00,2025-11-13 00:00:00+00:00,-1.4242766,-1.4720299,-1.8515424,-1.6372229,-1.7961528,-2.2323625,-2.7019222,-2.7987208,-2.8955204,-3.7043822,-4.767762,-4.9471126,-5.0167804,-4.82255,-4.8986263,-1.983965,0.34657627,1.5286458,5.613662,5.5576177,5.9063206,5.810365,6.0495625,4.322811,4.3127136,3.1070826,1.9018372,1.1773913,0.5524957,-0.47461447,-1.2094616,-1.5947964,-1.9576533,-2.4175694,-2.780947,-3.0188715,-3.6002166,-3.90629,-3.986107,-2.3406932,-0.22209908,1.6166072,3.079886,-0.9495236,0.26765957,0.6969892,1.3107135,1.1817288,1.4397893,2.0544243,1.5739232,1.4392064,1.8184953,3.8371947,4.3557954,5.230427,6.505453,5.1238747,2.9104438,1.619416,0.7441549,0.67383814,0.39360014,-0.6973085,-3.6656265,-6.0279446,-7.1447253,-7.377518,-7.5121927,-7.556124,-8.49184,-9.314293,-9.82282,-10.03111,-10.443873,-10.779831,-10.718998,-11.215747,-11.313136,-11.510242,-11.579722,-11.807451,-12.1263075,-12.354087,-12.764146,-12.900847,-13.1287,-13.399318,-13.6292305,-13.998351,-13.9117775,-14.205764,-14.215275,-14.1303625,-13.619936,-12.800341,-12.100932,-11.677415,-11.45873,-11.383779,-11.228791,-11.082595,-10.899621,-10.829025,-10.652722,-11.146903,-11.539613,-11.6755085,-11.811414,-11.691934,-11.443095,-11.766111,-11.84826,-11.876282,-11.899879,-11.684303,-10.787809,-10.565473,-10.876751,-11.49946,-11.383779,-10.452728,-8.721248,-7.150297,-5.3191347,-3.443401,-2.5042086,-2.266188,-2.5510747,-2.6992264,-2.649071,-2.5042086,-2.4589686,-2.5086217,-2.6033955,-2.6996741,-2.7480152,-2.6992264,-2.652409,-2.509034,-2.213328,-2.0161932,-1.9615477,-1.7585593,-1.8099103,-1.9090945,-1.9090945,-2.0557494,-2.154355,-2.2545357,-2.3563225,-2.2082808,-2.0602407,-2.1095872,-2.2038262,-2.454615,-2.707235,-2.8130243,-2.962163,-2.9505515,-2.5537128,-2.0725136,-1.7450716,-1.5510861,-1.250524,-1.1055812,-0.9010622,-0.8892876
2025-11-14 01:08:02+00:00,2025-11-14 00:00:00+00:00,1.2238153,0.7742583,0.4528406,0.05382867,-0.3195087,-1.0373685,-1.4566102,-1.5963688,-1.5798246,-1.8969725,-2.2791624,-2.408401,-2.5508635,-3.617552,-4.5684934,-4.294227,-2.1359947,-1.2849817,0.17473225,0.5153434,0.3622853,0.93498766,1.1648327,0.4995222,1.0734875,3.5155659,5.898836,8.39017,8.277813,8.094709,6.993795,3.807325,3.236782,1.9239393,1.1863323,1.4323759,0.812491,-1.7797313,-2.56079,-1.5124059,-3.5115843,-4.189161,-2.7006092,-3.9404552,-2.8758988,-2.1383276,-1.1407772,-0.48939618,0.48803088,2.1088347,2.1368415,2.1088347,1.4140049,-1.5377226,-8.922181,-9.8175125,-9.77278,-9.77278,-9.184293,-9.19491,-9.540618,-10.424506,-10.744015,-10.724402,-11.817338,-12.275565,-12.540767,-12.36264,-11.88962,-11.932614,-12.534688,-12.188119,-11.950381,-11.562857,-11.352799,-11.532954,-11.39641,-11.237733,-11.2154,-11.246182,-10.918199,-10.9722595,-10.780902,-10.503784,-10.503784,-10.595533,-10.687284,-10.826666,-11.464823,-11.283149,-11.577088,-11.722759,-12.128281,-11.786726,-10.944779,-11.260911,-11.177261,-10.66902,-10.66902,-10.561435,-10.552092,-10.274427,-9.611133,-7.790267,-6.468439,-6.4694324,-6.6121197,-7.1041403,-8.073143,-8.837584,-9.068081,-9.354113,-9.224719,-9.214996,-8.96457,-8.364321,-7.502835,-6.8288555,-6.8288555,-7.014284,-7.1997247,-7.2460866,-7.502835,-7.29245,-6.978559,-6.309863,-5.9201584,-5.5153584,-4.9408054,-4.5037827,-4.1289954,-3.6666832,-3.3417845,-3.4250295,-3.6471674,-3.7352965,-3.3041854,-2.6383681,-2.1692123,-1.6915,-1.1549411,-0.8116021,-1.0033003,-1.5855715,-1.8180901,-1.3878301,-0.646922,0.01775638,0.1602202,0.27288648,0.36408424,0.5498312,0.79042834,0.84037113,0.84037113,0.84037113,0.79042834,0.69054264,0.540714,0.4408283,0.39088538,0.4408283,0.4408283,0.4907712,0.68,0.68,0.53,0.19111368
