forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:37+00:00,2025-11-05 00:00:00+00:00,-5.6132665,-6.3502283,-5.8938437,-5.432753,-1.2491194,-0.6890908,-0.2362443,0.23616421,1.4293163,1.637101,1.2875887,0.9251112,0.5754921,-0.054937348,0.38352126,-0.5931869,-0.83018357,-1.5627409,-0.6404889,-1.3112671,-2.029206,-2.4487736,-2.8954787,-3.384936,-3.9656682,-3.9350338,-4.2201056,-4.4960694,-5.048078,-5.600196,-5.5702033,-5.2384887,-4.7392144,-4.2561126,-3.7478335,-3.320906,-2.6092236,-2.217704,-1.5720228,-0.41892597,0.89309514,2.1195562,2.3833423,1.3120643,0.44856313,0.012640119,0.57769746,0.025620254,-0.8102321,-1.2006663,-1.6188343,-1.5980731,-1.4505907,-1.5377121,-1.5554448,-2.0570905,-2.011483,-1.4972544,0.5430943,1.1946117,0.8628995,-0.6372872,-2.0570905,-2.288619,-2.8540616,-3.8409455,-4.768108,-3.9704316,-3.8853111,-3.9704316,-3.9162958,-3.9893026,-3.8801856,-3.5772266,-3.334453,-3.1091678,-2.9101357,-2.4942243,-2.3295171,-2.0888267,-2.4689155,-3.5755348,-4.905742,-5.8311253,-1.2066166,-0.962622,-0.5360403,0.0726201,-1.4844357,-3.942539,-7.208842,-6.076296,-2.4100313,-2.634348,-3.8341324,-6.320292,-7.0223894,-7.5354414,-8.319381,-11.841708,-13.002722,-12.231613,-12.273879,-12.863107,-13.334293,-13.711287,-13.578098,-13.611674,-13.452328,-13.6425495,-13.878933,-14.772155,-17.017141,-18.860971,-19.829052,-20.934938,-21.065086,-20.209354,-19.795416,-19.69529,-20.084381,-20.3493,-20.302559,-20.6438,-20.942461,-20.579868,-20.708462,-21.283867,-21.793001,-20.794199,-17.935463,-15.015031,-12.984407,-11.534969,-10.4642,-9.2734165,-8.011391,-7.280107,-7.0826764,-7.5127735,-7.6952047,-8.201953,-8.489187,-8.347206,-8.629345,-8.522897,-8.384665,-8.147078,-7.895767,-7.7810054,-7.3427043,-6.8815284,-6.6589065,-6.3488398,-6.1822596,-6.274953,-6.1975336,-6.140208,-6.028987,-5.8457932,-4.872236,-4.6890054,-4.177705,-3.758817,-2.6656013,-1.7733558,-1.0862334,-0.77442485
2025-11-06 01:13:14+00:00,2025-11-06 00:00:00+00:00,-2.906007,-3.1697903,-3.178652,-3.7064853,-3.8533452,-4.121923,-4.847161,-5.2849245,-5.065646,-4.5872545,-3.2079663,-2.4487863,-2.6937368,-2.0166512,-1.5892525,-0.7129583,0.20055236,1.2751294,1.0410429,1.032267,0.41226724,0.09542931,0.6272954,-0.96148825,-2.0135627,-0.6350535,-0.75491744,-0.5042633,-0.65977854,-0.9998333,-1.1113431,-1.5325911,-2.2963398,-3.0885456,-3.647097,-2.820294,-2.8596864,-3.074534,-2.8827655,-0.692866,-0.92887485,-2.5191958,-3.2390857,-5.3283353,-5.773495,-5.815225,-5.663984,-5.7321806,-5.889683,-5.798167,-5.4451585,-4.7896733,-3.9541564,-2.9397492,-2.432899,-1.9492062,-1.9192541,-2.1419833,-2.2805972,-1.5341395,-1.0499461,-0.32903802,-1.3355564,0.4701001,1.9857322,0.952379,-4.557207,-6.076296,-4.9243507,-3.0802755,-3.8045866,-1.4845103,0.5097371,-3.745939,-5.2317715,-6.377355,-7.392464,-8.830447,-10.31563,-11.188476,-11.1956,-11.228604,-11.574501,-12.607768,-13.646144,-14.359718,-15.134475,-16.107851,-16.04301,-15.183551,-14.661335,-13.623378,-13.440409,-12.888587,-12.871873,-12.661855,-12.44801,-12.481488,-12.3502245,-12.293607,-12.306062,-12.529867,-12.863379,-12.946351,-12.902062,-13.18254,-13.276037,-13.190205,-13.202441,-13.078017,-13.22625,-13.38694,-13.852576,-14.642039,-14.4081335,-14.241631,-13.334269,-11.862299,-11.248664,-10.74701,-10.636272,-10.212009,-9.819749,-9.284349,-8.425905,-7.2052517,-6.3751845,-6.053252,-5.7997375,-5.6231136,-5.6607614,-5.4445114,-5.3572493,-5.133727,-5.1326914,-4.513516,-3.699273,-2.164058,-1.3821155,-0.95162445,-1.1400608,-0.41017538,0.31843334,0.46367893,0.26740837,0.13119143,0.18336113,0.3920363,0.57680476,0.5680505,0.599968,0.5799437,0.3005902,0.02121392,-0.44446573,-1.1657697,-1.3792616,-1.4036247,-1.2818612,-0.8765732,-0.33497903,0.24218595,0.27721852,-0.32569525,-0.53130114,-0.36793286,0.006401269,0.47228786
2025-11-07 01:10:30+00:00,2025-11-07 00:00:00+00:00,-0.35187668,0.4805797,0.42007998,0.74851596,0.62348473,0.42253032,-0.037697606,-1.1640409,-1.4056163,-0.25598988,1.0845835,0.7039903,0.53137803,0.1889085,0.88024306,1.6592442,0.7714319,0.082143985,-1.6006396,-2.8004894,-3.324573,-3.509132,-3.6793368,-5.1370463,-6.2271905,-6.373062,-5.8122163,-5.9913635,-5.919652,-5.2009945,-5.1560874,-5.5370173,-5.44774,-3.9953895,-1.2115675,1.889708,1.0298544,0.6748857,0.8326903,-1.7561668,-2.3836706,-3.6636374,-4.2875,-2.6083775,-1.9416453,-0.68365586,0.013910531,2.076587,-0.51523006,-3.360497,-4.7451124,-3.8766582,-4.442447,-6.6145144,-7.8119087,-9.378583,-9.353963,-10.184907,-10.659284,-10.877249,-11.448609,-11.972417,-12.332403,-13.403367,-14.4648285,-16.086126,-17.32608,-17.849394,-18.402807,-18.152811,-17.88072,-17.74599,-17.454018,-17.117504,-16.926348,-16.54081,-16.405075,-16.212297,-16.286566,-16.323181,-16.468626,-16.832788,-17.685873,-18.517622,-19.615288,-20.298887,-20.430414,-20.387861,-19.319906,-15.618369,-12.118797,-9.657713,-8.713555,-7.625778,-6.6108093,-5.974991,-5.705943,-5.4343605,-5.1443295,-5.006991,-4.915437,-5.2516913,-5.524558,-5.4852366,-5.3116813,-5.573066,-5.9122005,-5.8191075,-6.0033107,-5.482777,-4.907672,-3.5742311,-2.5665667,-1.0539663,0.06300652,0.6627199,0.919671,1.5279897,2.1415617,2.4123738,2.0790772,1.9105691,1.8251326,1.587591,1.124204,0.84614,0.6144004,0.7857787,1.2543063,1.5655916,1.8556596,2.1536696,2.3959804,2.4777448,2.33978,2.189313,1.7729268,1.4068266,0.68117255,0.50803876,0.29198018,0.60491496,0.77074283,0.7235298,0.3950246,-0.08091968,-0.776393,-1.3328841,-1.584111,-1.7021233,-1.7791834,-1.6678982,-1.7129829,-1.5341395,-1.4182146,-1.2222903,-0.8676703,-0.24898487,0.58283013,1.383493,2.3936403,3.3925092,3.68193,3.5008485,2.9906063,2.7576835,2.6227338,2.495516
2025-11-08 01:03:01+00:00,2025-11-08 00:00:00+00:00,-6.3831835,-6.6189733,-5.7226477,-4.208901,-2.1134965,0.71634364,1.5412434,1.4960109,1.3913018,0.5047527,1.0618486,0.80887353,1.5940491,1.2751129,1.8766979,1.9780172,-1.2728262,-1.7717563,-3.2746356,-1.3866829,-1.92879,-1.9750715,-1.3941141,-2.0056696,-1.9058299,-1.2964964,-1.1539254,-1.816993,-4.520671,-5.137663,-4.8137345,-6.008695,-6.104151,-6.8872895,-7.315437,-7.648469,-8.136983,-9.748066,-10.07698,-10.5731325,-11.284094,-11.803706,-13.432772,-18.736216,-19.376022,-19.918139,-20.286394,-19.778723,-18.787085,-18.191034,-17.371075,-16.62608,-16.166906,-16.00377,-16.046984,-16.005617,-16.280777,-16.292463,-16.476366,-16.614304,-16.66028,-16.614304,-16.938654,-16.89666,-17.753775,-18.955067,-18.609827,-14.533479,-11.714745,-10.756186,-9.958254,-9.656357,-9.780737,-9.632006,-8.564572,-6.4722953,-5.0238256,-4.021006,-3.5932016,-3.4029675,-3.6939836,-3.9311323,-4.045204,-3.7639391,-3.6217532,-3.4883978,-3.1919744,-2.5049083,-1.6517768,1.1824939,1.4260142,1.2540072,1.2540072,1.211004,1.4181608,1.4837202,0.94522125,1.2664402,1.2168864,1.1385818,1.0920322,0.9277514,1.1531775,1.2002125,0.6018595,0.0017515209,0.10786588,0.35977876,0.13435434,-0.24833606,-0.43934128,-1.265458,-2.732897,-2.7323809,-2.64265,-2.7073627,-2.2331893,-2.0601337,-2.206714,-2.4521005,-2.906371,-3.5772266,-4.165784,-4.6639104,-4.896316,-5.3505387,-5.4568615,-5.821289,-6.094646,-6.073804,-5.321128,-4.405354,-3.404574,-1.89164,0.056638036,1.6966163,2.9241836,3.701926,4.0838075,4.0016932,3.6276333,3.3671303,3.6831672,3.4404569,3.3647628,3.39798,3.3663669,3.249497,2.7481437,2.118616,1.5251474,0.6821545,-0.14543605,-1.1809686,-2.2912288,-3.3525937,-4.0713925,-4.308348,-4.730595,-4.643444,-4.112339,-3.7279496,-3.9001675,-3.6681576,-4.223273,-3.6681576,-2.9067209,-2.8558476
2025-11-09 01:08:13+00:00,2025-11-09 00:00:00+00:00,1.2995507,0.90648806,-0.4113914,-2.1246843,-3.3035457,-3.9812174,-4.4168973,-5.9547153,-7.913476,-7.424563,-7.267864,-6.431535,-9.124695,-9.184284,-9.825827,-10.071493,-10.267543,-10.28406,-10.769635,-12.271595,-14.36173,-15.471589,-15.187503,-15.495987,-14.6840315,-14.132556,-14.613338,-13.560295,-13.163013,-12.964881,-12.639752,-12.280147,-11.9774475,-11.845143,-12.094525,-12.457414,-12.923842,-13.215066,-13.204644,-12.75344,-12.454773,-13.197703,-15.949946,-16.53856,-14.284679,-12.142198,-11.139285,-11.031582,-10.860479,-10.356699,-9.730284,-8.282774,-6.4664745,-5.1381893,-4.4986076,-4.2004347,-4.0502295,-4.2004347,-4.4009905,-4.57667,-4.6998734,-4.6100793,-4.1162786,-3.5922217,-1.9746104,-1.036657,-0.31476793,0.35378793,0.49139905,0.14869541,0.7012829,0.51226634,0.5930325,0.8062604,0.9388301,0.6928744,0.5333865,0.430314,0.35349944,0.44616085,0.25760308,-0.021481406,0.0726201,0.025570106,0.1083788,0.23836757,0.67514396,1.2703843,1.3969876,1.7499452,1.3491093,1.3811445,1.091693,1.1350658,1.2875328,1.6614854,1.4655942,1.31765,1.1705453,1.5523466,1.7660651,2.1389341,2.3555622,2.5103438,2.7646205,2.8383656,2.8996856,2.755289,2.558185,2.4065874,2.1298394,2.3001735,1.5776691,1.0848845,0.52277064,-0.57332647,-0.6928477,-0.6097272,-0.32569525,-0.32991835,-0.36902922,0.32285377,1.1846005,1.8515607,2.3797834,2.5141597,3.1197486,3.7408323,4.203321,5.0775495,6.0823126,7.273767,7.994797,8.476946,8.601846,8.651955,8.309326,7.228682,5.519751,4.4911923,4.4289804,4.209158,4.4003773,4.257512,4.274685,4.4203296,4.7821026,4.6435585,3.4556243,1.6443663,0.45077902,1.4219433,3.0004773,4.3024344,5.553297,6.4702353,6.1178703,4.1498227,1.105236,-1.3760184,-2.2327695,-2.2160077,-2.6720402,-4.5742893,-7.539653,-10.665342,-11.695545,-11.256897
2025-11-10 01:13:28+00:00,2025-11-10 00:00:00+00:00,-15.022327,-14.162848,-14.106783,-13.431928,-12.923503,-12.312628,-12.108078,-12.877658,-13.64734,-13.398236,-13.523685,-13.737037,-13.766042,-13.7829,-12.727262,-11.60545,-10.668863,-12.154373,-14.81219,-15.078467,-11.958713,-9.528261,-9.183198,-10.472858,-10.632267,-10.462238,-10.611532,-11.065612,-10.88397,-10.359914,-9.555174,-8.9085245,-8.021469,-8.143182,-8.219236,-8.0814,-7.4681873,-7.4412785,-6.744939,-4.7354503,-2.029206,1.014401,1.4741611,0.39369616,0.7073193,0.2646085,0.3541754,0.20386031,0.25031224,0.8563727,1.4875414,1.5187494,1.2924379,1.0107808,1.0589144,1.0759004,0.9881496,1.0282403,0.8039976,0.9240759,0.7802231,0.76891077,1.0174898,1.106046,1.3628478,1.3208838,1.1225883,0.862888,0.732525,0.68847513,0.9143395,1.0008345,0.94863474,1.0920322,1.1908402,1.4368417,1.7612294,2.0362296,2.4619308,2.8294187,3.2905204,3.6411529,3.7735033,3.811309,3.5874856,3.4139194,3.4400513,3.111042,2.5641685,2.1961331,1.9055839,1.0909417,0.43443084,0.09893678,1.0784711,1.2170027,0.7259565,0.8649077,1.2366686,1.3637735,1.8367478,2.1276495,2.283362,2.2370303,2.2333536,1.812948,1.6244539,1.3427718,1.003449,1.0971451,1.5271366,2.6743534,3.8452785,5.5372467,5.295617,4.6292157,3.5647578,2.8229723,3.1672108,3.3219314,3.818077,4.2369237,4.736816,4.6389694,4.0431285,2.809459,1.6018409,0.6854714,-0.28072873,-0.7190569,-0.81784856,-0.73482037,0.14367238,1.5425133,2.5638099,2.77914,2.3001869,1.772456,1.0759004,0.6778177,0.39031544,-0.20139697,-1.384149,-3.4376347,-5.1742473,-5.732777,-5.8950257,-5.705788,-5.6231136,-5.547963,-5.1443295,-4.810701,-4.5458975,-4.3024855,-4.374429,-4.7001224,-5.184624,-5.579819,-6.0591354,-6.5180993,-6.657471,-7.2702475,-7.335636,-6.806685,-6.1960425,-5.860186,-6.3481655,-6.780424
2025-11-11 01:06:21+00:00,2025-11-11 00:00:00+00:00,-9.066592,-9.149603,-9.522096,-9.320973,-8.954483,-8.229588,-6.7384396,-6.3666625,-6.1390204,-6.0244985,-5.3770733,-4.968706,-5.6640444,-5.436002,-4.8422303,-2.5709872,-0.41783172,1.1478848,0.9016649,1.7237934,1.8111963,2.1549191,1.879419,1.2793486,0.37528548,0.4695906,0.52773666,0.22236946,0.18862656,-0.314679,-0.8627208,-1.3480681,-1.9305232,-2.1441712,-2.5816946,-2.8733897,-3.4081898,-3.7241986,-3.2918046,0.1690213,1.0513741,1.4025172,1.3539929,-0.21002892,-0.113772556,-0.07054779,0.37289044,0.5020204,0.26789764,0.29079786,0.5680505,0.60116404,0.9664745,1.4550973,1.8398291,2.204392,2.5081015,2.5103438,2.624627,2.2727356,2.2254355,1.8556596,1.7140145,1.587591,1.3518146,1.0027345,0.65789884,0.53423184,0.3643231,-0.030039052,1.959753,0.77657264,0.5468096,0.53855693,0.36674848,0.38929215,0.27496877,-0.091481246,-0.66165864,-0.6870713,-0.3445104,-0.29713294,-0.48173535,-0.6668076,-1.2827892,-1.8290575,-1.9913051,-1.3826616,-0.934599,-0.58456415,-0.1951376,-0.3604053,0.09655293,-0.0695982,1.3823482,1.5923091,2.1138508,3.494007,5.0145364,5.631086,6.059441,6.5135813,7.0857735,7.718844,8.231091,8.431038,8.426125,8.038086,7.485648,7.0763764,6.832137,6.563636,5.189548,3.6450672,1.775849,0.68689144,1.1486739,2.0182464,2.6934857,3.1230624,3.0530305,2.676627,2.1354764,1.7138096,1.7138096,2.1247313,2.4268708,2.4705281,2.5602226,2.424431,2.2727356,2.0549135,1.9871428,1.9599533,2.083533,2.1842163,2.6433082,2.809459,2.817532,2.964049,2.9544325,3.2324677,3.1776128,3.3190892,3.3823204,3.4404569,3.5859518,4.027114,5.044739,5.7938232,6.289033,6.3691773,6.319599,6.3691773,6.3691773,6.5742283,6.623869,6.7779484,6.8276496,6.8773503,6.8720675,6.7074375,6.4865866,6.4865866,6.387809,6.289033,6.3505917,6.3608313
2025-11-12 01:08:16+00:00,2025-11-12 00:00:00+00:00,-0.8107423,-1.3797956,-1.4917508,-1.6873504,-2.160207,-2.4748926,-2.664584,-2.8951375,-3.0885456,-2.6842058,-2.7525582,-2.5455232,-2.4323452,-2.3673923,-2.238759,-0.33642775,-0.21684381,0.0021082389,-1.4180058,-1.2297615,-1.2742097,-0.929617,-1.0337478,-1.9947387,-1.970004,-2.4068716,-1.9637326,-1.8968929,-1.7287217,-1.1172533,-0.9384481,0.3043878,1.2357883,1.5658132,1.4127759,0.8053232,1.1677239,0.85426843,1.4415896,2.339839,2.1767073,1.7183979,1.3653529,-0.61535525,-0.9837995,-1.3186334,0.34999287,-0.58933115,-1.3309532,-1.0314431,-1.4003611,-1.6667966,-1.8281926,-2.1846886,-3.0234895,-3.7682083,-4.354175,-4.2522626,-4.119186,-3.643659,-3.854221,-3.589294,-3.504235,-2.1899743,-2.1713145,-2.6328132,-3.6603775,-4.2625465,-4.8951025,-4.9729214,-4.1833115,-3.2496843,-3.1815507,-2.6766908,-2.810354,-2.709444,-2.599178,-2.3739936,-2.5122392,-2.5780277,-3.3604817,-3.540283,-3.1538067,-3.2248023,-3.012543,-2.548548,-2.1899743,0.29198018,1.2573249,2.1586065,2.6671898,2.8577228,2.8581483,2.6373608,2.547548,2.728702,2.5545533,2.4722152,2.5812967,2.653483,2.487105,2.6068528,2.5135915,2.706554,2.5127134,2.4619308,2.4152195,2.3442647,2.3343008,2.310631,2.204392,2.424431,2.4705281,2.4108748,2.592452,2.3745782,2.015706,2.1780794,2.4573946,2.261691,2.148692,2.0228999,2.1276495,2.0482354,2.0917232,1.988927,1.6577954,1.0529451,0.16671878,-0.5387083,-0.9155599,-1.3926573,-1.8286436,-2.5718234,-3.2693677,-3.5774534,-3.0653539,-2.3687093,-1.9115741,-1.3386182,-0.74068123,-0.34205958,-0.49154246,-0.84033704,-1.2310145,-1.5677072,-1.8105673,-2.0099602,-1.9146687,-1.6185939,-1.8653226,-2.9981627,-4.630517,-6.070635,-7.11923,-8.061666,-8.448655,-7.9852567,-6.956217,-6.0187063,-5.1022696,-3.8645756,-2.9240475,-1.7961127,-0.9154135,-0.43035483,-1.0381774,-2.3308454
2025-11-13 01:25:40+00:00,2025-11-13 00:00:00+00:00,-1.3562307,-1.6995444,-2.2431629,-1.9169635,-1.2996062,-1.2364336,-2.0252311,-2.0138435,-1.9224728,-1.7970706,-1.583686,-1.2050016,-2.0164936,-2.3527536,-1.2532411,0.4356809,0.94910455,0.26855582,1.8828946,1.0244372,0.26168603,0.31509918,0.048463397,-1.1287947,-1.3006951,-1.4126003,-1.244293,-1.6917062,-1.3866829,-1.6164017,-2.2680063,-2.3607917,-2.8438146,-2.9008608,-2.9399068,-3.0007968,-3.2939696,-3.3666418,-2.9567778,-0.9253512,-1.1150614,-1.6002617,-1.3655505,-2.1430283,-1.7839904,-0.9038547,-1.3260349,-1.1085184,-2.0163572,-1.9505132,-1.9932219,-2.2524092,-3.2396827,-3.4459763,-3.3604817,-3.3177345,-3.1040215,-2.6228535,-2.9820724,-3.797989,-3.4404533,-3.325561,-1.09426,-0.934599,1.5716785,3.446194,4.4986954,4.0775647,3.681184,3.2325225,3.5367177,3.4742806,3.5324166,3.6022143,3.7467744,3.414906,2.77914,2.2626534,1.9747758,1.926795,1.5429337,1.5970553,1.3888812,1.1346611,0.952852,0.68377244,0.47979456,-0.72656715,-1.5465081,-1.2697641,-1.1020174,-0.9317313,-0.61644036,-0.75908226,-1.2044772,-1.6431749,-2.2912288,-3.0172217,-3.7988539,-4.8863926,-5.9865956,-6.622819,-7.5591598,-8.449026,-10.291781,-11.981396,-13.269546,-13.653339,-12.307854,-9.149374,-1.0676051,-0.0014014913,0.048483953,0.36159575,0.46113226,0.5151118,0.66423774,0.51760536,0.1712295,-0.3246643,-0.57230884,-0.47343203,-0.22713459,-0.031688426,0.16252212,0.26205906,0.35552308,0.24802543,0.08873061,-0.11104135,-0.011155361,0.098369345,0.34779605,0.4475665,0.5972221,0.75413847,1.0619048,1.4583052,1.7757248,1.9879968,2.2731552,2.214675,2.2731552,1.9879968,1.7143375,1.3815433,1.0746272,0.9269979,0.8888038,0.84850806,0.8061515,0.60854256,0.56391567,0.36605445,0.2696726,0.07156187,0.12108964,0.41552,0.6424286,1.1932191,1.7840657,2.6607213,2.9853868,2.9348829,2.6534894,2.6534894,2.861988,3.0457604
2025-11-14 01:08:51+00:00,2025-11-14 00:00:00+00:00,-0.7857747,-0.7576137,-0.32069078,0.5687797,1.1499376,0.937142,0.51634794,-0.032801624,-0.19728345,-0.32014567,-1.042561,-1.5079123,-2.1019335,-2.1494224,-2.4870696,-0.6619726,-1.3379557,-1.6141603,-1.5291806,-1.2515125,-1.6739402,-1.5755471,-0.829382,-0.91603243,-1.547796,-2.2500713,-2.991996,-3.0461042,-2.939458,-3.5552669,-3.8192487,-3.384936,-3.184386,-4.4927554,-3.4846437,-0.812203,0.58261126,1.8484758,2.4102983,4.5685015,5.6601086,6.449632,6.487907,3.75704,3.8016198,3.5341237,3.0982654,3.5490465,3.4460988,3.552802,3.2263837,2.8470366,2.5565267,2.5296805,2.6035604,2.4917724,2.5101287,2.1737273,2.0332563,1.7925608,1.5037136,1.3592857,1.4528059,1.1531775,0.85425466,0.7235298,0.7459651,0.9050914,0.99120593,0.9325287,0.48750478,0.2758082,-0.114319436,-0.2556991,-0.5615934,-1.0546256,-1.5157746,-2.2814665,-2.746453,-3.4953651,-4.4072547,-5.22889,-5.321128,-6.099163,-7.60954,-9.453662,-10.123098,-7.3390403,-2.0105615,-0.98216593,-0.64102566,-0.4844724,-0.20094346,-0.44171476,-0.83285743,-0.98216593,-1.4300941,-1.1393052,-1.3803241,-1.6224208,-1.5727093,-1.5727093,-2.296157,-2.7451363,-2.296157,-1.687417,-1.667011,-1.8105673,-1.9605513,-1.9640151,-1.9693744,-2.2556827,-1.9125141,-1.5693554,-1.1136352,-0.70796764,-0.40173,-0.3431093,-0.5243426,-0.9718907,-1.4798641,-1.8369027,-2.235533,-2.5345073,-2.783653,-2.9331417,-3.0826302,-3.1324594,-3.2716172,-3.3213892,-3.570249,-3.8191102,-3.8191102,-3.461781,-2.6663718,-1.8656194,-0.8701539,0.36958402,1.361337,2.056684,2.5034156,2.7006543,2.597706,2.293304,2.043882,2.193535,2.59261,2.941799,3.241103,3.634652,3.784479,3.8344212,3.784479,3.7345366,3.7345366,3.8344212,3.9343052,4.1840153,4.6774993,4.783318,4.6405215,4.290708,4.033487,3.9767501,3.8688452,3.7206616,3.4821682,3.043063
