forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:11+00:00,2025-11-05 00:00:00+00:00,15.606501,14.3065,13.2565,12.9065,12.4565,12.9065,12.606501,11.1565,10.2565,9.5065,8.4565,7.7064996,7.1064997,6.3564997,6.5065,7.8065,9.5565,10.9565,12.2065,12.8065,13.606501,13.856501,13.7065,12.356501,9.6565,8.0565,6.9065,6.0065,5.5065,5.2064996,4.8564997,4.5065,4.3065,4.0065,3.8565,3.8565,3.9065,3.8565,4.3564997,7.3564997,9.7565,11.856501,13.7065,16.874,17.424002,17.874,17.024,14.974,13.124,11.874,11.174,10.824,10.374,9.824,9.624,10.124,9.124,8.374,8.424,8.524,7.774,7.324,8.724,12.674,14.774,16.324001,17.224,17.624,17.724,17.424002,16.824001,13.774,11.074,9.974,9.074,8.724,8.624,8.474,8.024,7.674,7.824,6.824,6.274,7.474,9.524,8.374,8.274,8.924,10.274,11.974,13.374,13.574,13.874,12.624,10.074,6.074,1.0239999,-0.47599998,-1.576,-2.026,-2.426,-3.326,-4.276,-4.926,-5.476,-5.826,-6.226,-6.626,-6.976,-7.276,-6.626,-4.076,-1.526,0.67399997,2.524,4.074,5.174,5.424,4.274,2.224,0.574,-0.22600001,-0.726,-1.076,-1.426,-1.676,-1.926,-2.126,-2.326,-2.426,-2.626,-2.776,-2.476,-1.526,-0.076000005,1.724,4.124,6.874,9.124,10.824,11.974,12.224,10.874,8.524,6.574,5.574,4.974,4.524,4.174,3.924,3.724,3.524,3.374,3.324,3.224,3.224,3.674,4.624,6.074,8.324,12.224,16.924002,20.574001,22.474,23.274,22.974,20.974,17.824001
2025-11-06 01:11:32+00:00,2025-11-06 00:00:00+00:00,9.4065,7.9065,6.7565,5.8564997,5.3564997,4.9564996,4.4065,3.9565,3.9065,3.8065,3.6065,3.6565,3.3565,3.9065,4.5565,7.3564997,10.1565,12.3065,13.856501,15.106501,16.456501,17.1565,17.206501,14.9065,12.106501,10.9565,9.5565,8.9065,8.2565,7.1064997,6.2064996,5.6064997,6.1064997,6.6565,6.0065,5.5565,5.1565,4.8065,5.0065,7.9564996,12.0565,15.0065,16.8065,17.524,17.924002,17.774,17.274,14.024,11.824,10.874,10.374,10.124,10.124,9.924,8.774,9.324,9.624,9.024,9.974,11.724,11.274,9.924,7.774,5.874,7.324,9.274,11.224,13.474,13.824,12.874,10.724,6.974,5.624,3.574,2.024,0.524,-1.176,-1.926,-2.476,-2.776,-3.526,-4.326,-4.676,-4.876,-5.076,-5.176,-4.776,-3.026,-1.026,0.974,2.774,4.124,4.924,5.274,4.974,3.574,0.724,-0.426,-1.326,-1.7260001,-2.076,-2.776,-3.476,-3.876,-4.226,-4.326,-4.676,-4.776,-4.926,-5.076,-4.176,-1.026,2.024,4.574,6.624,8.174,9.174,9.324,8.174,6.174,4.574,3.974,3.774,3.624,3.374,3.174,3.124,3.124,3.224,3.674,4.624,5.924,7.224,8.324,9.424,10.974,13.524,16.524,18.924002,20.574001,21.624,21.574001,19.724,16.724,14.274,12.974,12.174,11.574,11.074,10.724,10.374,9.874,9.324,8.924,8.524,8.274,8.474,9.374,10.724,12.374,14.524,16.974,18.874,20.124,20.824001,20.624,18.924002,16.274
2025-11-07 01:08:56+00:00,2025-11-07 00:00:00+00:00,9.7065,8.3065,6.8564997,7.2064996,7.5065,7.3564997,6.8564997,5.8065,5.2565,5.2565,6.8065,6.6565,5.4564996,4.8564997,5.3065,8.5065,11.356501,13.7565,15.5065,16.456501,16.8065,17.0565,16.8565,14.356501,11.5565,10.0565,8.7565,8.6565,8.9065,9.6565,9.9065,11.2065,11.0565,10.2065,10.2065,7.5565,6.2565,5.5065,5.3564997,7.0565,9.3065,10.7565,11.5565,13.324,12.774,11.424,9.624,7.724,5.474,4.474,2.624,0.27400002,-0.076000005,-0.676,-1.426,-2.026,-2.026,-2.676,-3.476,-3.826,-4.276,-4.826,-4.726,-3.476,-1.9760001,-0.376,1.174,2.474,3.374,3.824,3.574,2.074,-0.47599998,-1.326,-2.076,-2.776,-3.376,-3.776,-4.326,-4.676,-4.576,-5.076,-5.376,-5.326,-5.376,-5.626,-4.876,-1.426,1.474,4.124,6.324,7.824,8.974,9.774,9.824,8.274,6.224,5.824,5.624,5.624,5.324,4.924,4.824,4.774,6.024,7.174,7.924,8.674,9.574,9.574,10.524,15.024,18.674002,20.424002,21.074001,21.974,22.324001,21.774,19.774,16.824001,14.524,13.474,12.974,12.574,12.024,11.574,11.124,10.674,10.224,9.824,9.324,8.874,8.774,9.224,10.024,11.074,12.624,14.424,15.774,16.574001,16.924002,16.624,15.224,13.124,11.374,10.424,9.774,9.224,8.674,8.224,7.824,7.474,7.124,6.824,6.324,5.824,5.774,6.374,7.524,9.024,11.274,13.924,16.074001,17.574001,18.574001,18.674002,17.324001,15.074
2025-11-08 01:02:32+00:00,2025-11-08 00:00:00+00:00,12.4065,10.6565,10.0065,8.4565,8.0565,7.5065,7.3065,7.1565,7.9065,7.9065,7.3065,7.7565,6.8065,4.8065,4.1565,5.8564997,8.8065,11.0565,11.7565,10.9565,10.4065,9.0065,8.8065,7.6565,6.1565,4.8564997,3.5065,3.2065,2.0065,1.6065,-0.1935,-0.6935,-0.1435,-0.2935,-0.5935,-1.3435,-1.5435,-2.0435,-3.3435,-2.7935,-2.0935,-1.2935,-0.2435,2.974,3.774,4.124,3.774,2.224,-0.426,-1.526,-2.426,-3.176,-3.726,-4.226,-4.476,-5.026,-5.476,-5.726,-5.976,-6.276,-6.426,-6.526,-5.326,-2.476,0.174,2.674,4.824,6.324,7.324,7.674,7.224,5.724,3.574,3.274,3.374,3.524,3.824,3.574,3.324,3.424,3.724,4.224,4.524,5.724,6.824,7.324,8.824,11.474,15.224,19.274,21.774,22.574001,22.174002,21.874,20.624,18.024,14.124,12.674,11.774,11.324,10.674,10.224,9.674,9.074,8.474,7.874,7.274,6.774,6.374,5.974,6.524,9.474,12.324,14.024,15.274,16.524,17.374,17.324001,15.824,13.424,11.424,10.324,9.574,8.924,8.324,7.874,7.474,7.124,6.824,6.524,6.124,5.774,5.874,6.524,7.624,9.074,11.024,13.324,15.274,16.874,18.124,18.374,16.974,14.624,12.724,11.874,11.524,11.174,10.724,10.274,9.924,9.774,9.674,9.624,9.324,8.974,9.274,10.424,12.174,14.474,17.674002,21.424002,24.324001,26.174002,27.174002,26.974,24.774,21.324001
2025-11-09 01:07:47+00:00,2025-11-09 00:00:00+00:00,5.9564996,6.3564997,5.1064997,3.9065,2.6565,1.6565,0.8565,0.15650001,-0.3935,-0.7435,-1.0435,-1.4435,-1.5435,-1.2935,-1.3435,-1.0935,-0.4935,0.20650001,0.9565,1.6065,2.1065,2.3565,2.1065,0.9565,-0.9935,-1.9435,-3.5435,-4.9435,-5.7935004,-6.4435,-6.8435,-7.1935,-7.6435003,-8.0435,-8.1935,-8.4435,-8.5935,-8.7935,-8.393499,-5.4935,-2.1935,0.056500003,2.1065,5.924,6.924,7.224,7.074,5.624,3.774,3.274,3.374,3.124,3.324,3.074,3.024,2.924,2.524,2.124,2.774,4.574,6.724,7.674,8.124,10.324,14.274,17.974,20.674002,22.474,22.524,21.824001,20.224,17.424002,14.024,12.574,11.574,10.674,9.874,9.274,8.574,8.074,7.624,7.374,7.174,7.274,7.524,7.424,8.174,10.924,14.374,16.124,17.674002,18.924002,19.374,19.374,18.874,15.474,12.924,12.024,11.224,10.524,9.974,9.574,9.374,9.174,8.924,8.724,8.674,8.924,8.774,8.674,8.774,11.624,14.724,17.424002,19.724,21.274,22.224,22.124,20.324001,17.474,15.124,13.924,13.274,12.724,12.174,11.724,11.374,11.024,10.724,10.524,10.324,10.174,10.374,10.974,11.824,13.074,14.924,17.124,18.824001,19.774,20.274,20.174002,19.174002,17.624,16.574001,16.624,17.174002,17.624,17.724,17.724,17.674002,17.724,17.724,17.274,16.124,14.524,13.024,11.674,10.374,9.524,9.374,9.624,9.824,9.824,9.724,9.524,9.274,8.924
2025-11-10 01:12:49+00:00,2025-11-10 00:00:00+00:00,-0.0435,-1.3435,-2.1435,-4.0935,-5.6435003,-6.1435003,-6.3435,-6.8935003,-7.0935,-7.3435,-7.8435,-7.7435,-7.9435,-8.0935,-7.6935,-4.7435,-1.8935,0.30650002,2.2065,4.0065,5.3065,5.9065,5.8564997,4.4065,2.3565,1.4065,1.1565,1.2565,1.1565,1.8565,2.5565,2.8565,2.7565,2.7065,2.7565,3.0565,3.1065,3.5565,4.5565,8.3065,12.9065,16.6065,18.8565,21.524,21.174002,20.674002,19.274,16.574001,13.274,12.024,11.074,10.274,9.674,9.274,9.074,8.574,7.924,7.324,6.874,6.524,6.074,5.724,6.274,9.224,11.724,13.874,15.324,16.324001,16.824001,16.924002,16.474,14.074,11.724,10.674,10.174,10.224,10.424,10.324,9.874,10.124,9.724,9.224,9.574,9.524,9.124,9.024,9.424,11.374,13.824,16.124,17.974,19.324001,20.174002,20.374,19.824001,16.624,14.074,12.924,11.874,11.174,11.174,10.724,9.824,9.574,9.474,9.374,9.424,9.624,9.524,9.074,9.274,11.624,14.674,16.724,18.624,19.424002,19.524,19.124,17.974,16.324001,15.074,14.374,14.074,14.324,15.524,17.274,18.624,19.124,19.224,19.174002,19.124,18.874,18.224,16.724,14.774,13.224,12.574,12.274,11.774,10.574,9.174,8.024,7.424,7.124,6.974,7.074,7.374,7.524,7.324,6.974,6.624,6.374,6.174,5.924,5.524,5.074,4.824,4.724,4.774,5.224,6.474,8.124,9.324,9.724,9.674,9.424,8.974,8.374
2025-11-11 01:05:55+00:00,2025-11-11 00:00:00+00:00,2.6565,2.0065,1.7565,1.5065,2.1065,2.3065,2.4065,2.2065,1.9065,1.9565,1.2065,1.2065,2.4065,2.9565,3.9065,7.4564996,11.356501,15.106501,16.956501,18.8565,20.3565,20.2565,19.4065,16.0565,13.3065,11.606501,9.9065,8.3065,7.3065,6.5565,5.8564997,5.3564997,4.4065,3.7065,3.2565,2.8065,2.3065,1.7065,2.3565,6.2064996,9.106501,11.4565,13.3065,17.074001,17.474,17.674002,17.174002,14.124,11.824,10.674,9.824,9.674,9.624,8.874,8.774,8.574,9.624,9.774,9.824,9.674,8.824,7.774,8.474,10.924,13.974,16.624,18.724,20.274,21.274,21.724,21.124,17.374,14.924,13.674,12.874,12.224,11.574,10.974,10.674,10.374,10.224,9.974,9.824,9.774,9.624,9.124,9.774,12.874,16.224,18.774,20.474,21.774,22.424002,22.224,21.174002,17.624,15.174,14.624,13.824,13.224,12.624,12.224,11.624,11.124,10.874,11.024,10.524,10.124,9.474,8.924,8.624,11.274,14.824,17.574001,19.824001,21.324001,22.074001,22.024,20.624,18.374,16.524,15.574,15.024,14.424,13.624,12.824,12.074,11.474,10.924,10.474,10.024,9.674,9.574,9.724,10.124,11.024,12.924,15.324,17.124,17.924002,18.174002,17.924002,17.174002,15.924,14.724,13.624,12.524,11.574,10.824,10.224,9.924,10.024,10.424,10.624,10.474,10.124,9.774,9.474,9.224,9.074,9.224,9.474,9.724,9.824,9.874,9.824,9.574,9.224
2025-11-12 01:07:47+00:00,2025-11-12 00:00:00+00:00,15.2065,13.5065,12.1565,10.856501,9.7565,8.9065,8.1565,7.5065,6.6064997,5.7565,5.0065,4.3564997,4.0565,3.3565,3.6565,6.8065,11.1565,15.0065,15.9565,17.706501,18.5565,18.706501,18.0065,15.356501,12.5565,10.7565,9.5565,8.7065,9.0565,9.0065,8.5065,8.1565,7.9065,7.8065,7.6565,8.5065,7.9564996,8.2065,8.2565,10.606501,12.9065,15.4565,17.5565,21.024,21.974,22.324001,21.624,17.874,15.474,14.324,13.424,12.824,12.424,12.074,11.924,11.874,11.874,11.674,11.224,11.124,11.324,11.374,11.924,15.174,19.374,22.574001,24.674002,25.774,26.224,25.974,24.674002,20.274,17.974,16.674002,15.374,14.874,14.324,14.274,14.074,13.524,13.124,13.274,13.174,13.224,13.874,14.574,14.524,17.424002,19.574001,20.174002,19.374,19.324001,19.474,19.424002,18.674002,15.974,14.524,13.524,12.674,12.874,12.774,12.124,12.124,10.724,10.574,11.224,9.374,8.674,8.224,7.874,8.124,10.774,13.324,15.224,16.574001,17.524,17.924002,17.724,16.574001,14.774,13.224,12.274,11.524,10.974,10.574,10.324,9.974,9.474,8.874,8.274,7.624,7.024,6.624,6.724,7.024,6.924,6.074,4.774,3.624,2.674,1.824,1.174,0.824,0.62399995,0.474,0.27400002,0.124000005,-0.126,-0.47599998,-0.82600003,-1.176,-1.376,-1.526,-1.7260001,-2.226,-2.876,-3.026,-2.526,-1.626,-0.376,1.424,3.574,5.374,6.774,7.824,8.174,7.324,5.724
2025-11-13 01:25:14+00:00,2025-11-13 00:00:00+00:00,13.0565,11.4065,10.2565,9.2565,8.856501,8.2565,8.4065,8.5065,7.7064996,7.4065,7.0565,6.6565,6.1064997,6.6064997,6.9065,9.7065,12.5065,14.9565,17.1565,19.706501,21.1565,21.6565,20.8065,17.3065,14.2565,12.356501,11.0565,10.5065,9.9565,9.1565,8.5065,7.7565,7.3065,7.0065,6.5065,6.1064997,5.6565,6.0065,6.5065,10.2565,14.4065,18.3065,21.2565,26.274,26.924002,27.024,25.624,21.224,18.724,17.624,17.124,16.424002,16.424002,16.524,16.224,14.974,13.874,14.024,14.224,14.324,14.074,14.724,15.924,19.024,19.974,19.074001,18.124,18.724,18.824001,18.474,17.874,15.824,13.224,12.174,11.224,10.524,9.974,9.224,8.474,7.824,7.474,7.074,7.124,6.374,5.774,5.324,5.674,7.874,9.824,11.374,12.674,13.574,14.174,14.274,13.674,11.624,9.174,8.124,7.424,6.874,6.674,6.374,6.174,5.924,5.624,6.524,6.574,6.174,6.074,4.974,4.474,3.624,3.274,2.924,2.574,2.324,2.174,2.024,1.874,1.7739999,1.724,1.674,1.674,1.674,1.724,1.7739999,1.724,1.424,0.974,0.574,0.124000005,-0.326,-0.376,0.024,0.774,1.874,3.524,5.524,7.224,8.474,9.374,9.574,8.574,6.874,5.424,4.674,4.174,3.774,3.474,3.324,3.174,3.074,3.024,2.974,2.924,2.924,3.124,3.574,4.224,5.224,6.874,8.874,10.424,11.374,11.924,11.824,10.724,9.024
2025-11-14 01:08:20+00:00,2025-11-14 00:00:00+00:00,15.9065,13.9065,12.6565,11.856501,11.0565,10.2565,9.9065,9.2565,8.7065,8.2065,7.8564997,7.7064996,7.2064996,6.7064996,6.8065,10.106501,14.4565,18.1065,20.456501,23.0565,24.7565,25.7565,24.5065,20.3065,16.706501,14.7565,13.5065,13.0565,12.7565,12.0065,11.2065,10.5565,11.5065,10.7065,11.6565,10.5065,11.106501,10.5065,9.9565,12.0065,14.356501,16.5065,17.5065,19.524,19.624,19.524,18.774,15.924,13.974,12.774,11.874,10.774,10.124,9.624,9.224,8.674,8.174,7.924,7.374,7.624,7.124,6.474,6.824,9.174,11.174,12.924,14.324,15.274,15.874,16.024,15.524,13.124,10.774,9.574,8.674,8.024,7.724,7.124,6.574,6.174,5.924,5.574,6.624,6.524,6.174,5.674,4.374,3.474,2.274,1.724,0.424,0.27400002,0.574,0.67399997,0.574,0.474,0.424,0.174,0.074,-0.076000005,-0.326,-0.326,-0.22600001,-0.076000005,0.024,0.174,0.324,0.424,0.474,0.524,0.67399997,1.324,2.274,3.074,4.424,5.324,6.074,6.174,5.124,3.474,2.024,1.174,0.574,0.124000005,-0.176,-0.326,-0.47599998,-0.676,-0.82600003,-0.926,-1.026,-1.026,-0.776,-0.22600001,0.574,1.7739999,3.724,6.074,8.124,9.774,11.174,11.824,11.374,10.174,9.024,8.174,7.374,6.824,6.624,6.724,6.874,7.124,7.474,7.874,8.274,8.724,9.074,9.374,9.624,9.824,10.074,10.274,10.224,9.824,9.174,8.424,7.474,6.374
