forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:16+00:00,2025-11-05 00:00:00+00:00,18.967001,15.667,14.617,13.917,11.566999,9.617,8.066999,6.967,6.067,5.017,4.017,3.5670002,3.117,2.5670002,2.367,5.217,7.9170003,9.967,11.016999,13.117,14.816999,15.367,15.117,13.917,10.766999,9.516999,9.217,7.767,7.467,7.517,7.467,7.6670003,6.217,5.367,3.917,3.967,5.967,6.867,7.317,9.717,14.266999,16.967001,15.766999,17.427,18.677,18.077002,17.177,16.077,14.276999,13.276999,12.377,12.026999,11.577,11.227,10.477,9.627,8.877,8.077,7.677,7.4769998,7.2269998,7.2269998,7.177,8.526999,10.427,12.177,13.727,15.127,15.827,16.527,16.727001,14.477,11.526999,10.427,10.377,10.727,12.026999,12.977,11.377,10.927,10.577,4.9769998,3.2770002,3.227,2.677,2.927,2.377,4.7269998,7.427,8.427,9.127,9.227,8.776999,8.177,6.527,4.9769998,3.227,2.0770001,0.627,-0.47300002,-2.023,-3.2229998,-4.073,-4.573,-4.9230003,-5.323,-5.323,-5.0230002,-4.823,-4.6730003,-4.223,-1.623,1.077,3.377,5.377,6.927,8.077,8.377,7.427,5.677,4.127,3.177,2.477,1.977,1.777,1.727,1.777,1.777,1.827,1.877,1.777,1.6769999,1.977,2.677,3.7770002,5.377,7.9769998,11.127,13.727,15.677,17.127,17.277,15.227,11.877,9.427,8.927,9.377,9.727,9.677,9.526999,9.427,9.327,9.276999,9.276999,9.327,9.477,9.927,10.727,11.827,13.377,15.827,18.677,20.827002,21.877,22.127,21.477001,19.327002,16.177
2025-11-06 01:11:39+00:00,2025-11-06 00:00:00+00:00,11.016999,9.217,8.266999,7.517,6.867,7.9170003,8.167,7.717,6.017,5.4170003,4.6670003,4.117,4.4170003,6.817,6.867,9.367,11.617,14.816999,16.817001,18.167,17.667,17.217001,16.567001,15.266999,12.516999,10.766999,9.617,9.066999,7.317,5.617,4.317,3.417,3.467,2.3170002,1.817,1.517,1.217,0.867,0.617,4.6670003,9.417,12.717,14.967,15.927,17.027,16.377,15.577,13.827,11.727,11.127,12.977,13.026999,12.727,12.477,11.377,9.526999,5.627,4.027,2.8270001,3.377,4.5769997,3.477,2.977,4.877,7.627,8.427,9.227,9.276999,8.727,7.9769998,6.777,4.927,2.927,2.027,1.227,0.377,-0.27299997,-0.8230001,-1.423,-2.073,-3.023,-4.0230002,-4.823,-5.5230002,-5.723,-5.723,-5.2730002,-3.7229998,-2.023,-0.023000002,1.827,3.127,4.127,4.8269997,4.877,3.7770002,1.227,0.377,-0.22300002,-0.57299995,-0.8230001,-0.97300005,-1.173,-1.223,-1.173,-0.97300005,-0.97300005,-0.8230001,-0.27299997,0.377,1.327,4.377,8.627,12.227,15.477,17.877,19.527,19.727001,17.527,13.877,11.077,10.177,10.127,10.276999,10.427,10.776999,10.977,10.877,10.727,10.727,11.026999,11.526999,12.177,13.026999,14.077,15.276999,16.977001,18.827002,20.127,20.627,20.577002,19.777,17.577002,14.627,12.577,12.276999,12.877,13.227,12.977,12.477,11.927,11.327,10.677,10.077,9.526999,9.026999,8.927,9.227,9.877,11.127,13.427,16.227001,18.377,19.427,19.727001,19.277,17.627,15.227
2025-11-07 01:09:03+00:00,2025-11-07 00:00:00+00:00,14.566999,11.417,9.766999,9.467,10.066999,9.967,9.167,7.317,5.567,4.4170003,3.717,3.2670002,2.5170002,2.0670002,2.017,5.017,9.066999,12.266999,14.016999,15.617,16.517,16.967001,16.217001,13.816999,10.667,9.766999,10.516999,10.266999,10.917,8.617,8.316999,5.817,4.317,3.5670002,3.717,3.967,2.3170002,1.6669999,1.217,3.867,5.517,6.6670003,6.9170003,8.627,9.026999,8.877,7.677,5.777,4.027,3.0770001,2.5270002,1.4269999,0.527,-0.523,-1.373,-1.5730001,-1.7229999,-1.7229999,-1.7730001,-2.1729999,-2.7229998,-3.023,-2.9729998,-1.0730001,0.92700005,2.627,4.027,4.9769998,5.877,6.527,6.877,5.927,2.977,1.127,0.02700001,-0.423,-0.673,-0.923,-1.023,-0.923,-0.873,-0.773,-0.72300005,-0.32299998,0.07699999,0.577,1.477,4.777,9.026999,12.977,16.427,18.427,19.627,19.927,19.677,16.177,13.377,12.377,11.677,11.577,11.727,11.776999,11.526999,10.776999,10.377,11.227,12.877,12.677,12.177,11.477,12.026999,13.177,15.727,17.127,18.077002,19.177,19.877,19.627,17.727001,14.927,12.727,11.877,11.627,11.276999,10.526999,9.627,8.927,8.477,8.177,7.8269997,7.2269998,6.627,6.4769998,7.0769997,8.177,9.526999,11.227,13.227,14.877,16.227001,17.227001,17.427,16.277,14.377,12.627,11.477,10.526999,9.776999,9.177,8.776999,8.627,8.927,9.477,9.827,9.677,9.377,9.327,9.627,10.177,11.377,13.677,16.577002,18.927,20.577002,21.627,21.527,19.277,15.827
2025-11-08 01:02:38+00:00,2025-11-08 00:00:00+00:00,13.367,11.766999,10.867,10.967,10.667,10.516999,8.867,5.467,3.867,3.217,2.417,2.467,2.667,2.167,2.117,4.367,5.967,6.867,7.4170003,7.867,7.967,7.867,7.617,6.6670003,4.817,3.717,4.017,2.7670002,1.4169999,0.617,-0.033000007,-0.583,-0.833,-1.283,-1.783,-3.383,-4.933,-5.133,-5.3329997,-1.633,1.117,2.3170002,3.617,6.3269997,7.527,8.127,8.027,6.677,3.427,1.877,1.027,0.377,-0.32299998,-0.8230001,-1.123,-1.273,-1.3230001,-1.473,-1.523,-1.523,-1.473,-1.373,-1.023,1.827,5.527,9.276999,12.877,15.677,18.577002,19.627,19.527,14.276999,11.177,11.677,10.877,10.827,10.427,10.127,10.627,10.677,10.526999,10.526999,11.127,13.526999,12.727,11.977,11.427,12.877,15.477,17.177,17.877,18.027,18.227001,18.277,18.077002,15.526999,12.427,10.927,9.776999,9.077,8.827,7.627,6.677,7.627,6.927,6.177,6.4769998,6.277,5.777,5.527,5.527,9.526999,11.827,13.477,14.827,16.127,17.077002,17.177,15.776999,13.477,11.577,10.577,9.977,9.526999,9.127,8.927,8.877,9.177,9.677,9.927,9.526999,8.827,8.477,8.577,8.977,10.177,12.727,16.027,18.827002,20.977001,22.677,22.977001,21.027,17.727001,15.077,13.927,13.427,13.077,12.627,12.327,12.127,12.127,12.177,12.127,11.677,11.026999,10.776999,10.877,11.377,12.776999,15.977,20.127,23.227001,24.627,24.977001,24.377,22.327002,19.277
2025-11-09 01:07:52+00:00,2025-11-09 00:00:00+00:00,5.467,4.1670003,2.967,2.0670002,1.467,0.617,-0.033000007,-0.48300004,-0.73300004,-0.783,-0.93299997,-1.783,-3.4329998,-4.533,-4.983,-1.033,1.217,2.617,2.7670002,4.017,4.9170003,5.4170003,5.267,4.367,1.517,-0.48300004,-1.533,-2.583,-4.183,-5.383,-6.183,-6.3329997,-6.5829997,-6.983,-7.533,-7.5829997,-7.5829997,-7.433,-7.533,-3.9829998,3.167,7.867,11.217,16.777,19.377,20.327002,19.827002,15.026999,11.627,12.026999,11.127,10.776999,10.526999,10.276999,10.776999,10.877,11.327,11.577,11.677,12.377,12.627,13.827,13.427,14.026999,16.227001,18.227001,18.927,18.927,18.977001,18.927,18.277,15.727,12.877,11.276999,10.026999,8.577,8.027,8.227,9.276999,8.877,8.477,8.327,7.8269997,7.377,7.277,7.427,7.627,9.927,13.026999,15.227,16.777,17.977001,18.877,19.277,19.127,16.477001,14.077,13.377,13.077,12.927,12.627,12.377,12.077,12.026999,11.477,11.477,11.677,11.526999,10.927,10.327,10.377,12.776999,16.527,19.427,21.077002,22.177,22.427,21.877,20.227001,17.777,15.727,14.427,13.526999,12.877,12.477,12.377,12.227,12.026999,11.776999,11.577,11.327,11.077,11.077,11.377,11.927,12.727,13.977,15.477,16.877,18.377,19.727001,20.227001,19.177,17.227001,15.427,14.177,13.077,12.127,11.427,10.827,10.177,9.427,8.577,7.4769998,5.8269997,3.927,2.5770001,2.177,2.3270001,2.877,4.027,5.627,6.877,7.5769997,7.927,7.927,7.377,6.527
2025-11-10 01:12:56+00:00,2025-11-10 00:00:00+00:00,3.917,1.767,0.21700001,-0.833,-1.483,-2.1829998,-3.883,-4.783,-5.133,-5.233,-5.383,-5.483,-5.883,-6.533,-6.783,-3.633,2.3170002,7.067,10.667,13.766999,16.067,17.617,17.817001,14.667,10.516999,9.316999,8.066999,6.767,5.267,4.567,4.067,3.967,4.567,6.1670003,6.6670003,7.1670003,6.9170003,5.867,5.1670003,7.967,13.066999,15.117,16.967001,18.277,18.777,18.827002,18.277,15.577,12.577,11.026999,9.927,9.327,8.227,7.4769998,7.127,7.2269998,6.9769998,7.177,6.877,6.5769997,6.4769998,6.027,6.777,9.026999,11.427,14.177,15.776999,17.277,18.327002,18.577002,18.177,15.227,13.177,13.927,13.477,13.026999,12.827,12.026999,11.877,12.177,12.276999,11.577,11.177,11.127,10.977,11.127,10.577,12.177,16.677,19.777,20.777,21.727001,22.327002,22.227001,21.477001,17.077002,15.776999,13.977,13.477,13.526999,13.177,12.677,12.026999,11.577,10.827,10.827,10.526999,10.477,10.776999,10.727,10.477,11.877,13.276999,14.776999,15.927,16.877,17.577002,17.727001,16.977001,15.727,14.877,15.127,15.727,15.526999,13.677,10.977,8.827,7.8269997,7.377,6.677,5.377,3.8270001,2.5770001,1.6769999,1.027,1.077,2.3270001,4.2269998,5.777,6.5769997,6.9769998,6.877,6.027,4.677,3.427,2.5270002,1.777,1.177,0.827,0.67700005,0.627,0.627,0.727,0.727,0.42700002,0.07699999,-0.072999984,0.127,0.577,1.4269999,3.0770001,5.127,6.8269997,7.9769998,8.776999,8.877,7.9769998,6.377
2025-11-11 01:06:00+00:00,2025-11-11 00:00:00+00:00,12.016999,10.816999,8.816999,7.117,6.317,5.767,5.9170003,6.367,5.967,6.367,6.1670003,6.567,6.517,6.317,6.567,9.967,14.117,16.017,16.017,17.717001,18.217001,18.017,17.517,15.367,12.016999,9.717,8.717,8.017,6.317,5.9170003,5.267,4.767,4.367,3.867,3.0670002,2.167,1.817,1.567,1.117,3.167,7.967,12.566999,15.766999,18.227001,19.277,19.727001,19.527,16.627,14.227,13.077,12.977,13.377,13.276999,12.677,12.327,12.227,12.677,12.577,12.677,11.477,10.776999,10.627,10.677,12.627,15.776999,18.177,19.827002,21.077002,21.877,22.177,21.827002,17.777,14.077,14.127,13.977,13.227,12.827,12.627,12.077,12.427,12.276999,11.827,10.977,10.327,10.177,10.077,10.077,12.977,15.977,18.277,19.727001,20.777,21.127,21.327002,21.027,17.927,15.927,14.526999,13.927,13.827,13.026999,12.977,12.377,12.776999,12.727,12.727,12.276999,12.026999,11.877,11.377,11.627,12.827,14.377,16.177,17.227001,18.327002,19.177,19.227001,17.977001,15.877,14.127,13.077,12.327,11.677,11.127,10.677,10.427,10.477,10.677,10.776999,10.526999,10.177,9.776999,9.177,8.627,8.627,9.977,11.977,12.977,12.077,10.177,8.627,7.927,7.5769997,7.4769998,7.7269998,8.177,8.477,8.327,8.027,7.777,7.7269998,7.777,7.627,7.177,6.527,6.127,5.9769998,5.9769998,6.527,7.9769998,9.877,11.427,12.327,12.827,12.727,11.727,10.127
2025-11-12 01:07:52+00:00,2025-11-12 00:00:00+00:00,14.316999,12.117,10.766999,9.766999,9.117,7.567,7.1670003,6.367,5.217,4.517,4.1670003,3.0670002,2.217,2.017,2.017,4.1670003,8.417,12.717,17.117,19.367,20.717001,20.867,20.617,17.917,14.667,12.566999,10.917,10.217,9.467,8.516999,8.316999,7.967,7.717,6.767,5.9170003,5.1670003,4.967,5.367,5.217,8.017,13.266999,17.367,19.767,21.977001,22.927,22.727001,22.027,18.627,15.877,14.377,13.477,12.877,12.577,12.276999,12.827,12.776999,12.227,12.026999,11.727,11.427,11.127,10.927,10.927,13.377,16.877,19.577002,21.127,21.927,22.677,22.727001,21.877,18.877,16.577002,15.927,15.627,16.227001,17.327002,16.077,17.877,17.027,17.827002,16.377,15.127,14.526999,14.877,15.127,15.127,15.927,17.877,19.777,21.027,22.077002,22.877,23.177,22.677,20.127,17.977001,17.127,17.077002,16.977001,16.127,14.577,13.827,13.127,12.627,11.327,10.077,9.577,9.977,9.377,8.627,9.927,12.276999,14.077,15.477,16.277,16.577002,16.377,15.526999,14.227,13.077,12.327,11.677,10.977,10.026999,8.977,8.177,7.927,7.877,7.7269998,7.177,6.4769998,5.777,5.027,4.2269998,3.627,3.227,2.977,2.877,2.977,3.2770002,3.477,3.627,3.727,3.477,2.5770001,1.377,0.577,0.577,0.977,1.227,1.127,0.877,0.627,0.277,-0.072999984,-0.17300001,-0.072999984,0.277,1.127,2.977,5.3269997,7.277,8.526999,9.327,9.577,9.026999,7.927
2025-11-13 01:25:19+00:00,2025-11-13 00:00:00+00:00,13.066999,10.367,9.117,8.316999,7.317,7.067,7.467,7.267,7.4170003,7.467,6.767,6.567,6.317,6.067,6.4170003,8.316999,12.766999,16.667,20.267,21.467001,22.217001,22.167,21.867,18.817001,16.567001,14.467,12.417,10.117,9.516999,8.667,8.316999,7.567,6.9170003,6.617,6.017,5.6670003,5.067,5.017,5.367,7.267,12.066999,17.067001,21.117,23.377,23.327002,23.527,22.177,18.877,16.327,15.776999,16.177,16.077,15.177,14.526999,15.627,16.277,16.977001,16.577002,16.177,14.526999,15.827,15.427,14.377,15.276999,17.077002,17.927,18.777,19.527,20.027,19.777,17.927,15.727,12.627,11.427,10.627,9.877,9.577,9.577,9.477,8.977,9.377,7.9769998,7.127,6.427,6.3269997,6.527,6.4769998,7.177,8.927,10.727,12.377,13.427,14.227,14.927,15.026999,13.526999,11.526999,10.427,9.427,8.627,8.027,7.2269998,6.5769997,6.277,6.2269998,5.877,5.377,5.677,5.5769997,5.027,4.377,3.677,4.2269998,4.327,4.8269997,5.677,6.7269998,7.127,6.527,5.3269997,4.2269998,3.5270002,2.927,2.427,1.977,1.627,1.327,1.127,1.027,1.027,1.177,1.4269999,1.777,2.0770001,2.477,3.2770002,4.8269997,6.777,8.377,9.377,10.026999,10.077,9.177,7.627,6.3269997,5.527,4.9769998,4.627,4.527,4.5769997,4.5769997,4.427,4.2269998,3.977,3.5270002,3.0270002,2.727,2.727,2.977,3.677,5.177,7.127,8.776999,10.077,11.177,11.427,10.377,8.577
2025-11-14 01:08:26+00:00,2025-11-14 00:00:00+00:00,18.767,17.167,15.816999,13.717,13.367,10.066999,9.367,9.266999,8.417,7.367,6.567,6.517,6.517,6.067,5.6670003,7.817,14.066999,19.867,21.767,23.267,23.367,23.467001,22.767,19.817001,17.167,14.266999,12.417,11.667,10.816999,11.217,11.066999,11.117,10.266999,9.566999,8.467,7.817,7.317,6.567,6.317,8.967,12.417,17.067001,20.017,18.777,19.827002,20.427,19.677,16.477001,13.477,12.627,11.827,11.276999,10.677,10.427,10.477,10.677,10.977,10.877,10.377,10.177,9.526999,8.927,8.327,9.877,12.227,13.877,15.627,16.927,17.377,17.377,17.077002,15.427,13.627,12.727,11.827,10.977,10.026999,9.526999,8.477,7.677,7.0769997,6.627,5.4769998,2.677,1.077,0.577,0.477,0.527,0.92700005,1.277,1.4269999,0.92700005,1.227,1.277,1.227,1.227,1.227,1.127,1.127,0.977,0.377,-0.023000002,-0.57299995,-0.673,-0.8230001,-0.873,-1.523,-1.423,-1.5730001,-1.523,-1.473,-0.923,-0.22300002,0.327,1.127,1.877,2.627,3.0270002,2.977,2.5770001,2.177,1.877,1.527,1.177,0.827,0.477,0.227,0.02700001,-0.072999984,-0.122999996,-0.023000002,0.177,0.327,0.377,0.42700002,0.577,0.877,1.227,1.577,1.877,2.127,2.277,2.277,2.127,2.027,1.977,1.9269999,1.827,1.627,1.4269999,1.327,1.477,1.827,2.0770001,2.277,2.427,2.477,2.177,1.727,1.877,3.177,5.0769997,6.5769997,7.377,7.8269997,7.7269998,6.8269997,5.427
