forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:26+00:00,2025-11-05 00:00:00+00:00,7.026192,6.9720755,6.392131,6.4547534,5.821661,5.6770954,6.255911,6.4825935,4.2197223,0.94671714,0.28810462,-0.6059039,0.78632057,1.275882,1.2752427,0.7379726,0.6986004,0.82691437,-0.50240165,-1.1827657,-1.9185386,-3.2472687,-3.6371124,-3.6986918,-3.3022194,-2.301071,-2.1872857,-2.234208,-2.6393113,-2.7193892,-2.3850038,-1.5970305,-0.95724607,-0.4508855,-0.6095431,-0.75659823,-0.59431195,-0.39797583,0.30365038,1.2219995,2.7167802,3.9303596,5.1241355,6.535774,7.7505164,8.512662,8.94139,8.872411,9.149269,9.072024,9.183561,9.163138,8.678825,7.6167192,6.2391,5.209914,4.410231,3.5316763,2.3125165,1.3943486,0.63009197,0.07127711,0.5159055,0.84769195,-0.3123069,-2.0948665,-2.455419,-2.9449213,-2.8607202,-2.4131155,-1.3678454,-1.3475866,-1.6611792,-1.5582337,-0.8419454,0.8996081,1.359739,0.7011474,0.37296256,0.31784663,0.37703288,0.42620024,0.40317845,0.48488265,0.57065,0.56493455,0.81911564,-0.17622377,-2.0679293,0.0529217,-0.15242447,-1.1768605,-2.4654274,-3.6353781,-3.6158257,-1.3735335,-0.8867555,1.4073459,-1.1634123,-5.314056,-7.805008,-8.278257,-9.035568,-9.301752,-9.728604,-10.569915,-11.112039,-11.779335,-11.583906,-11.562626,-11.812427,-13.047055,-14.641203,-15.283583,-15.291206,-15.282701,-15.087714,-14.437506,-14.309449,-14.017022,-14.169344,-14.198623,-14.011467,-13.821936,-13.988869,-14.076087,-14.08235,-14.00649,-14.142532,-14.2785845,-14.641427,-14.958963,-15.122708,-15.498666,-16.27809,-16.855839,-17.023033,-16.087395,-15.733076,-14.58458,-13.143812,-11.142166,-10.00062,-9.080079,-8.984509,-8.897558,-8.536685,-8.436734,-8.39043,-8.352421,-7.98071,-7.3564944,-6.4779615,-5.9154496,-5.485188,-5.0907226,-4.8075166,-4.499764,-4.227283,-4.017456,-3.4804409,-2.9880505,-2.8124917,-2.393866,-1.3926413,-0.30214086,0.17236008,0.31929535
2025-11-06 01:12:56+00:00,2025-11-06 00:00:00+00:00,-3.417068,-3.505704,-3.5636034,-3.1284766,-2.883224,-2.7235518,-3.144777,-3.0953326,-2.1089854,-1.3140229,-0.84437263,-0.7409023,-0.16838805,-0.10871356,0.4099519,1.4960035,3.442126,4.5698013,5.308389,6.3676305,6.488006,6.920126,6.9847317,6.6202893,5.9610987,5.660831,5.004456,3.8440115,2.1363752,0.9899249,0.20688847,0.3055991,0.7117432,0.61079836,0.8172059,0.04041716,-1.1220422,-1.648272,-1.4601747,-0.48042718,-0.18874988,-0.2993926,-1.0831981,-1.0247993,-1.368975,-1.4116676,-0.7354853,-0.61813724,-1.5270932,-1.725863,-1.377994,-0.5045682,0.28682846,0.5364385,0.84884644,1.0365131,1.0019464,1.0844214,1.1206144,1.2965552,1.2162656,1.3718597,1.1346787,1.1141108,-1.1367484,2.7654793,1.274601,1.1766672,1.8849313,2.775031,2.5006077,2.728612,2.9722915,2.9018693,2.7214801,2.565775,2.285701,-1.9334953,-4.3968134,-5.799902,-7.0657525,-7.5993977,-7.897053,-9.027952,-9.88659,-9.890496,-9.7464,-11.291137,-11.85942,-11.287319,-10.844027,-9.856621,-9.363091,-9.138799,-8.617173,-8.710359,-8.430342,-7.8251495,-7.6404643,-7.362916,-7.0657525,-7.0550976,-7.090599,-7.1366262,-7.338828,-7.4682546,-7.517035,-7.649145,-7.9422417,-7.991092,-8.150299,-8.282012,-8.476512,-8.026306,-8.041984,-8.229377,-8.102007,-8.27808,-8.38056,-8.17689,-8.488505,-8.482321,-8.467651,-8.513375,-8.239048,-7.98071,-7.570376,-7.4791994,-7.524788,-7.524788,-7.524788,-7.1420302,-6.822156,-6.1825256,-5.519721,-4.5502553,-3.6604748,-2.5136106,-1.7967284,-0.61973834,0.27143893,1.1801937,1.5112106,1.2402571,1.1219089,1.0114422,0.85294527,0.77840155,0.7427507,0.74657863,0.744202,0.689486,0.8881374,0.86336887,0.7865976,0.7982459,0.938797,1.1899313,1.5699834,1.9259053,2.3424683,2.0431871,2.0200613,2.029167,2.3759224,3.0247364,3.372506,3.1605086
2025-11-07 01:09:16+00:00,2025-11-07 00:00:00+00:00,8.181576,7.661574,7.662011,6.8603888,4.90602,4.1613293,4.322094,3.203968,2.7590249,2.3279674,1.8651829,1.6094645,0.85058963,0.878234,2.4007409,4.050367,2.8436406,2.3558424,-0.21187176,-0.09803996,-0.78656673,-2.3293264,-2.7119968,-3.2472687,-4.416447,-4.6186357,-4.5840397,-4.922931,-5.137624,-5.5441966,-4.9294457,-4.3120656,-4.266417,-3.040585,-1.1451967,-1.1204778,-1.9553406,-3.828045,-2.6910448,2.4716568,2.6341126,2.794579,2.5609412,2.7744777,1.2554489,1.1617723,0.85294527,2.8332622,2.3403769,1.6944948,2.1964421,4.036497,1.4295955,-2.219443,-3.7083747,-5.341067,-7.135611,-7.8016725,-9.035568,-9.254327,-8.9358835,-8.697198,-8.45725,-10.170634,-12.042096,-13.610607,-13.56002,-13.760895,-13.626241,-12.976399,-12.281041,-11.963509,-11.687448,-11.234981,-11.028169,-10.670182,-10.732888,-10.536698,-10.639641,-10.52594,-10.428119,-10.297804,-10.34524,-10.58243,-10.629871,-11.071517,-11.194307,-11.402788,-11.35826,-11.445346,-11.365017,-11.650156,-12.451482,-12.790955,-12.578693,-12.7682705,-12.281041,-11.929734,-10.838534,-9.210573,-8.211208,-7.5814257,-6.8866363,-6.613193,-6.2942142,-5.543054,-4.7396226,-4.0922513,-3.862313,-3.6783762,-3.079665,-2.2353737,-1.4438928,-0.5695568,-0.076200806,0.4606031,1.1966138,1.6739866,1.9240156,1.5112106,0.9258582,0.938309,1.0706675,1.3566283,1.6630569,1.807449,2.2186143,2.4705548,2.703001,2.917196,2.8767588,2.5946481,2.5946481,2.923775,3.4409208,3.497304,2.8130274,1.6748016,0.09898941,-0.6895852,-1.4707844,-1.8169242,-1.9978901,-1.9333643,-2.152896,-2.2655852,-2.8504307,-3.013775,-3.465108,-3.826239,-4.1422753,-4.368041,-4.593831,-4.4546843,-4.5048447,-4.563326,-4.2645907,-4.108029,-3.5968003,-3.1491668,-2.9593902,-3.055743,-2.8990917,-2.2495677,-0.9949667,0.44638193,1.2715712,1.3913525
2025-11-08 01:02:49+00:00,2025-11-08 00:00:00+00:00,-0.63520306,-1.4578509,-1.1524453,1.311702,1.3636606,1.2277544,0.9899249,1.8204808,2.3272254,2.6668167,2.7516408,3.2554078,2.7748682,2.7991648,3.1703348,1.2121289,1.7626972,1.3352907,2.9621358,2.6231246,0.5305393,-0.56138563,1.2522377,0.7026676,1.0228947,1.443906,2.3018613,2.825401,0.16166313,-1.0821286,-2.6050992,-4.145392,-4.7665324,-5.4366956,-6.3000946,-8.634351,-9.321339,-10.494001,-11.332755,-11.784907,-11.185462,-13.778911,-16.16208,-14.196893,-14.54799,-14.288453,-14.060451,-14.037535,-13.397926,-12.302065,-11.49353,-10.97727,-10.492129,-10.026955,-9.870895,-9.895624,-9.890496,-9.810518,-9.645134,-9.662794,-9.512396,-9.537706,-9.47399,-9.301877,-9.142324,-9.212116,-9.301448,-9.517722,-9.425617,-9.289227,-9.4651375,-9.211461,-9.277674,-9.3365345,-9.732721,-10.4675045,-11.000155,-10.763975,-9.158573,-8.125631,-7.594745,-6.913544,-6.73077,-5.749345,-4.7483273,-4.134443,-3.182671,-2.6188633,-1.9692477,-1.0877728,-0.42804623,-0.25322703,0.5934008,1.7167897,3.1809247,2.4637136,1.6964595,1.6630569,1.616319,1.5863552,1.5813277,1.55624,1.5600693,0.8450981,0.51712716,-0.2421406,-1.3005528,-1.9271917,-1.8436153,-1.7325975,-1.5167983,-1.1360962,-0.69176406,-1.0925007,-1.5180613,-2.5262053,-3.6404965,-4.419295,-4.540029,-4.0508523,-4.44504,-5.019461,-5.300493,-5.5065613,-5.725402,-5.480345,-5.5517263,-5.452034,-5.315256,-5.1406775,-5.2008815,-5.2233787,-5.1777134,-5.0952554,-4.684153,-3.9537969,-2.3764427,-0.5088137,1.2270821,1.9545349,2.5307071,2.8281276,3.3214405,3.7897954,3.6841736,3.5349383,3.3026955,3.6168585,4.3718038,5.39299,6.1440787,6.5685973,6.8404927,6.6439953,5.9326186,4.891032,4.084578,3.5385048,2.8431838,2.4306555,2.3627532,1.6193007,0.8573072,0.59911156,0.91118264,1.6009365,1.790201,1.7256943
2025-11-09 01:08:02+00:00,2025-11-09 00:00:00+00:00,2.748301,1.4553592,-0.42642722,-1.0874015,-1.8133694,-2.5943346,-4.296198,-4.8611693,-5.4366956,-6.832534,-7.9118466,-8.08906,-9.540784,-8.178054,-8.45376,-8.993206,-8.990127,-9.021338,-9.277228,-10.371954,-10.938242,-10.846481,-11.541595,-11.764228,-12.502873,-12.317547,-12.600211,-12.084604,-11.628122,-11.226656,-10.98941,-10.966399,-10.84615,-10.898192,-10.862915,-11.0089035,-11.252223,-10.885448,-9.849534,-8.947122,-8.386832,-8.236748,-8.297167,-10.794363,-10.476967,-10.307139,-10.394819,-9.856621,-9.77823,-9.839705,-9.942126,-9.960276,-9.759005,-9.838416,-9.214422,-8.686241,-8.345508,-7.873324,-7.873324,-7.279132,-6.6729217,-5.569262,-4.969718,-3.9596393,-3.0067534,-2.7810657,-1.9542626,-1.17243,-0.7555022,-0.046089374,2.0545897,2.320614,1.803265,1.8470829,1.761343,1.7725216,2.1194525,2.2191265,2.5271037,2.469101,2.329883,1.6592839,1.0727881,0.53263193,0.08619391,-0.056817032,-0.09850972,-0.08577471,0.25023568,1.2910731,2.1611774,2.0022318,2.4439287,2.5322564,3.4398155,2.9128742,2.7296355,2.672091,2.6357641,2.8123057,2.6825824,2.6416674,2.5489385,2.7277381,2.6331458,2.8439488,3.1837533,3.158152,3.4314084,3.3957922,3.5399368,3.9827652,4.5601,5.6219206,6.7035217,7.109734,7.2973795,7.8154063,8.624848,8.937256,8.97733,9.087391,9.163138,9.499484,9.894679,10.574374,10.930411,11.258189,11.519019,11.519019,11.38103,10.933763,10.5642,10.3989725,10.18811,10.233088,10.799948,11.333556,11.752912,11.577156,11.146873,10.900406,10.684892,10.325041,10.042001,9.907216,10.091543,10.130421,10.696393,11.464918,11.940548,11.821795,11.251573,10.546283,9.912864,9.519685,9.075702,8.445755,8.121664,7.80365,7.5305796,7.4418535,7.073937,6.4573116,5.665388,5.038686,4.4183774,4.193632
2025-11-10 01:13:11+00:00,2025-11-10 00:00:00+00:00,-10.862738,-10.587754,-11.011306,-10.558741,-9.947011,-9.550612,-9.514335,-9.539646,-9.338165,-9.324041,-9.811954,-10.619606,-11.334919,-11.936933,-9.693668,-8.428515,-8.184224,-7.9067154,-8.037941,-8.5076685,-9.250625,-9.704341,-10.007473,-10.576484,-10.582886,-9.931157,-9.651167,-10.453907,-10.028841,-8.942792,-9.750456,-10.654213,-10.787787,-10.436321,-9.761429,-9.063947,-9.338365,-9.012392,-7.247021,-5.8859806,-4.9881387,-4.0935717,-2.9874291,-0.0529956,1.1603019,2.8065345,3.356883,2.734608,2.3847752,2.3160048,1.9756486,1.749681,1.6280715,1.6970497,1.9321452,1.7817371,1.7214644,1.683661,0.7072632,-0.34751746,-1.1747853,-1.8717725,-2.0459654,-2.1966908,-2.4244668,-1.9731728,-1.410519,-1.387225,-0.9511694,-1.3989627,0.23442501,-0.78166705,-0.9838819,-0.7976867,-0.79612315,-0.6843048,-0.6377328,-0.6896139,-0.48631164,-0.71866894,-0.76514196,-0.5553068,-0.6257231,-0.25650537,0.038453784,0.8521059,1.7481942,2.8689063,3.5154767,3.8736384,4.2435746,4.8104305,5.3198113,6.02799,6.7600517,7.184631,7.642355,8.240278,8.761706,9.3189335,9.856521,10.188763,10.401985,10.465055,10.266769,10.068482,9.9197645,9.560335,9.312787,8.705394,8.555164,9.713775,11.44407,12.212162,12.044275,11.913877,11.15094,10.600319,10.183039,9.676774,9.277993,8.82509,8.543574,8.55271,9.595804,11.232514,12.465004,12.968508,13.096457,13.221244,13.26913,13.096457,13.144261,13.678734,14.365248,14.730051,14.939544,14.7488985,14.408865,13.961654,13.122006,12.310468,11.189735,9.905837,8.524984,6.9154034,5.4010253,4.13142,3.6955466,3.9550931,3.9701335,3.8287385,3.7944722,3.678503,3.7018907,3.6117496,3.5194614,3.2223322,2.7214801,2.2111924,1.8924674,1.4510039,1.0909774,0.76138616,0.41188747,0.3712168,0.55702084,0.87361217
2025-11-11 01:06:10+00:00,2025-11-11 00:00:00+00:00,-7.011049,-6.6976566,-6.682524,-7.2844186,-7.562024,-7.7937636,-7.3743014,-7.4213505,-7.3743014,-6.9979367,-7.246731,-7.23907,-6.79296,-6.804518,-5.015517,-3.5192413,-2.7607098,-1.0125583,0.84149873,1.2935368,2.1771567,2.0350385,2.5595956,1.2225924,0.5677136,0.42178556,0.06829595,0.13541538,0.47125438,0.320981,0.46786287,0.30365038,0.03899848,-0.64995444,-1.2480178,-1.5062978,-1.894604,-2.0328074,-0.5811601,1.8127906,2.8569012,3.5421543,3.40899,-1.7899576,-0.99476624,-0.51601046,0.8711203,0.530498,0.09780983,-0.0021706673,-0.13181186,0.096755296,0.5823148,0.86336887,1.0324956,1.4189682,1.9236493,2.2074618,2.3020618,2.6331458,2.764029,2.8587961,3.2378428,3.4505844,3.5487664,3.9844043,4.5397725,4.557051,4.809771,5.0325503,5.6222067,5.5495257,5.2460613,5.602786,6.032333,6.4024286,7.0674934,7.56911,7.846252,8.280673,8.26146,8.288903,8.2650175,8.189649,8.111892,8.179756,8.70292,9.31217,9.74002,9.574177,8.9929085,8.621323,7.926243,7.698044,8.348792,8.18029,7.916417,8.97733,10.9115925,11.481332,11.312861,11.378752,11.162744,10.869847,10.278757,9.297358,8.391149,8.283902,10.269572,11.850412,12.396377,12.229565,11.260019,9.166286,8.282424,7.7065163,8.364666,9.343373,10.159593,10.618966,11.062407,11.671,12.644114,13.223727,13.87514,14.347485,14.551417,14.295352,13.775057,12.887262,11.608509,9.811445,8.343586,6.8566937,5.3678584,4.44148,4.3767624,4.831707,5.099257,5.121652,5.1385303,5.85312,6.839503,8.09653,8.684132,8.961033,9.156318,9.563481,10.385558,11.439656,11.997574,11.976915,11.652912,11.42483,11.71755,11.937421,12.250752,12.405311,12.350512,12.484748,12.469995,12.553905,12.29204,12.19153,12.383444,12.325849,11.785496,10.888348
2025-11-12 01:08:03+00:00,2025-11-12 00:00:00+00:00,1.3442395,1.4311675,1.3236431,1.2180105,1.0862519,1.3235395,1.9172645,1.6676813,0.7613179,0.27896333,0.48347944,0.15764011,-0.30220032,-0.61933947,0.5668348,2.1093135,1.7997998,1.5135281,2.6188285,2.6751523,1.3306162,1.4186829,1.4261038,0.6096151,2.3740127,2.794579,2.0107236,1.3901286,1.1329055,2.1997333,2.2301965,2.1816819,1.7076507,1.5138713,1.9096117,1.9884677,2.0163012,2.065103,2.6394997,3.6337142,4.027704,4.100514,4.0868077,3.8154116,4.033195,3.9286275,4.720652,4.651151,4.853315,5.246444,5.5631313,6.0234294,6.638977,6.826988,7.036725,7.0821457,6.791229,6.1666517,5.6825986,5.44126,5.0525327,4.8544974,4.5651283,4.528543,3.880505,3.285157,2.7420847,2.8511498,2.8495681,2.8495681,3.5398817,3.583742,4.153078,4.953052,5.2263255,5.1358023,5.5401783,6.856536,8.231071,8.696605,8.648761,8.337532,7.3041005,5.7314262,4.0711102,2.8590157,2.1530383,1.6885482,0.6464474,0.56034964,0.7560901,1.4883943,2.504474,2.88133,3.4153051,3.700552,3.4766676,3.7150705,4.250617,4.250145,3.9253144,3.6614723,3.3351436,3.2169816,3.0754008,2.917196,2.8297417,3.0114968,2.9388914,3.1837533,3.2237017,3.3351436,3.5947452,3.437759,3.035977,2.6502993,2.6193357,2.3977597,2.2758627,2.4368927,2.0770986,1.8537947,1.6626545,1.2919576,0.69796145,0.19293317,-0.5073626,-0.79612315,-1.2991859,-1.5599018,-1.9631805,-2.4629903,-3.013775,-3.9537969,-4.6132174,-5.5955524,-6.1432,-6.6550307,-6.8761635,-6.8975134,-7.019977,-6.317691,-4.96619,-3.5227215,-2.6110885,-2.13222,-1.827656,-1.844123,-2.2638676,-3.0489523,-3.6143014,-3.9000323,-4.334278,-4.573653,-4.9087195,-5.4026403,-5.836403,-6.443336,-7.2919836,-8.100661,-8.482321,-8.600595,-9.028433,-9.323735,-9.637158,-9.550551,-9.411032,-9.08893
2025-11-13 01:25:29+00:00,2025-11-13 00:00:00+00:00,-0.99537504,-0.38926733,0.14115602,1.1788391,1.0331115,0.8953303,0.8469399,0.6262185,1.0909052,0.60340786,0.37104285,0.71160966,0.27982175,0.56249654,2.5245013,3.8604662,4.840923,4.4342685,5.6892185,4.8525424,5.1811585,4.6491237,4.6926465,4.3010716,4.4985986,5.1055326,5.3879523,5.33454,4.8010654,4.6070657,4.7919445,4.8632045,4.895193,5.1478677,5.147299,5.039415,4.1691895,4.471301,5.0064993,6.9232435,9.940345,11.325449,10.9159775,5.750068,4.9745483,4.8887444,5.5993094,5.6345396,5.9312744,5.8926835,5.657016,5.5655856,5.594756,5.457261,5.199852,4.982063,4.621339,4.4347467,4.2852917,3.7048142,2.7952476,1.786341,1.246298,0.5338454,-0.6797172,-0.82147163,0.038371567,1.3236697,2.7627003,3.7242742,4.919917,5.121682,5.0196795,3.8067899,3.8324978,4.2870092,4.5168915,4.4698725,3.1430852,1.3215426,-0.2758823,-1.6612927,-2.8048396,-3.2185864,-3.6323934,-3.8170989,-4.218944,-5.5955524,-6.7069893,-7.271876,-7.0544252,-6.9047008,-6.522773,-6.0310845,-6.0294437,-6.401972,-6.9161463,-7.618948,-8.29172,-9.276968,-10.400716,-10.832197,-11.306966,-11.500357,-11.587072,-11.539144,-11.359603,-11.933976,-12.252112,-12.610295,-12.166104,-7.0233707,-3.8994849,-3.1330247,-3.537988,-3.1854243,-3.1930969,-2.7494905,-1.9590361,-1.1144592,-0.34890088,0.2504939,0.740829,1.0839913,1.4263102,1.4826026,1.3909712,0.8913727,-0.0033490658,-0.9599079,-1.6202859,-2.3156304,-2.9541886,-3.589877,-4.134981,-4.702842,-5.3362317,-5.9572034,-6.498134,-6.0359993,-5.123129,-4.0314245,-3.3698428,-3.4484718,-3.2110028,-2.769302,-2.3563304,-2.0593882,-2.0942082,-2.4409206,-2.5363083,-2.6316981,-2.7270892,-2.8224823,-2.8108482,-2.9541886,-2.8586285,-2.8375192,-2.8092837,-2.5338874,-2.0770755,-1.429912,-0.9207696,-0.6333233,-0.38744444,0.05211998,0.08967396,0.22596703
2025-11-14 01:08:37+00:00,2025-11-14 00:00:00+00:00,5.638752,6.6909947,7.2847447,7.6110787,7.834472,7.2987385,6.637512,6.1589284,5.679054,5.2432685,4.8110614,4.472609,4.1779113,4.0504475,5.168211,8.357465,10.31006,11.024042,8.853179,7.9055624,6.0771527,6.1207466,6.060248,5.2596445,5.686434,3.9606981,3.6541734,3.8851511,4.671085,4.3470545,4.2946887,3.515577,2.9115746,2.0830588,2.0314517,1.8056037,1.0215188,-0.31780604,-1.0922137,3.185583,5.19802,5.6203995,5.761971,4.523855,5.538141,5.449344,5.1381426,4.7082877,4.481001,4.284764,3.8945446,3.3571458,2.7186537,2.3071718,1.5477931,1.274601,1.0426776,1.0350006,1.1526905,0.9922107,0.97007066,0.7797619,0.5627409,-0.1807648,-0.60502887,-0.7694895,-0.4197557,-0.12995799,-0.20778236,-0.20778236,-0.019051395,-0.105002366,-0.77043355,-1.2085471,-1.3801816,-1.6974826,-1.8926903,-2.4018257,-2.8647497,-3.374047,-3.916512,-4.7361794,-6.066396,-8.092881,-10.212955,-11.026831,-10.764704,-9.641067,-7.1400995,-3.1407812,-3.1708252,-3.2517734,-2.367127,-1.2310776,-0.34350675,-0.10523313,-0.062029146,-0.34883583,-0.24941635,-0.19970672,-0.44268632,-0.44254285,-0.24432762,-0.09555943,0.003618961,-0.4477108,-1.0215507,-1.2448343,-1.1958138,-1.1467934,-1.1144592,-1.3980093,-1.6095126,-1.893254,-1.7425314,-1.7396828,-1.7675978,-1.6922525,-1.5687349,-1.5050553,-1.4257088,-1.4214171,-1.3496319,-1.2799639,-1.524398,-1.8177259,-1.8977374,-1.770427,-1.5524031,-1.341275,-1.337022,-1.3864294,-1.341275,-1.2673103,-1.0844206,-0.7763322,0.040986534,1.1533287,2.1793075,2.8696191,3.4426959,3.9958408,3.9894118,3.65252,3.38461,3.3883433,3.4862103,3.6330097,3.6330097,3.8032467,3.9012477,4.266101,4.7279997,5.1889715,5.8122945,6.4307036,6.9452715,7.1510406,7.2560706,7.2560706,7.4051747,7.448875,7.597791,7.8524766,8.25865,8.459828,8.609474,8.808998
