forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:29+00:00,2025-11-05 00:00:00+00:00,272.29056,272.4895,302.61923,358.09088,343.49554,325.84024,308.65982,343.3007,338.38516,327.26477,334.57315,335.2826,339.55035,339.77505,335.37646,357.5634,11.888645,29.248732,44.999897,42.510403,122.00535,139.76372,162.18102,166.42955,149.34941,146.3099,154.98314,155.32315,153.43501,147.80429,146.3099,147.17146,122.34742,148.78166,132.27362,121.26367,118.072395,88.264336,182.66295,207.12122,226.5481,246.94867,270.0,273.12207,293.86017,302.15228,312.3574,319.39877,330.9455,327.99466,336.3706,334.79892,315.0001,323.8417,321.34018,312.08908,300.96368,291.80148,276.95285,285.6423,282.99463,283.29858,291.10492,298.9796,303.87857,315.0001,316.76236,316.3971,316.44406,320.9806,324.24603,332.02063,353.41815,24.775122,66.801384,94.76356,109.53674,130.23628,142.52374,154.65387,153.43501,158.19853,189.68872,304.3804,312.1375,315.3845,317.84222,310.60123,308.65982,306.10754,303.56277,317.92078,318.85358,323.53067,333.094,343.25793,346.4462,348.0239,352.04257,354.09393,348.40787,343.8556,341.80075,342.838,339.8636,333.88614,324.72748,320.35587,315.0001,310.91428,308.65982,318.1799,324.9041,315.0001,307.40543,305.7068,305.9098,307.23492,307.30402,309.47244,304.69522,276.3401,209.0545,194.03627,199.29015,207.64589,215.53777,218.65984,221.63345,224.9999,226.8476,229.08571,231.34016,233.74606,233.74606,239.03632,255.06853,273.814,291.80148,300.96368,302.00534,303.6901,304.69522,304.9921,293.1986,194.03627,160.34608,160.0168,173.6599,192.72435,202.38017,204.56715,205.27768,205.27768,204.67685,204.67685,209.0545,219.2894,232.88306,247.5572,265.68405,283.34872,294.30453,301.6607,307.5192,310.78574,310.29205,305.53775
2025-11-06 01:13:01+00:00,2025-11-06 00:00:00+00:00,151.8215,149.03632,158.83867,165.2564,163.44286,165.96373,147.38077,124.69522,119.74479,147.17146,158.68202,161.11382,144.24602,135.0001,192.80426,206.04176,227.62646,244.35904,248.19853,276.17007,304.59235,335.22488,344.05453,349.46088,345.06854,319.89914,274.57382,279.46225,280.49142,281.00348,295.82092,275.35574,299.0545,284.6209,288.00424,291.54105,288.9705,281.3099,282.80426,280.4374,291.80148,285.94547,274.08554,312.1375,314.4646,319.30457,316.5911,323.53067,11.888645,55.6196,88.025116,93.57626,114.67685,123.6901,119.42737,122.319595,127.6263,136.43204,145.49142,142.12495,13.85145,340.67673,335.2826,327.84772,290.46234,312.08908,318.60138,304.82455,316.51535,320.1945,321.98843,325.7326,335.71854,344.57776,346.0831,348.34973,347.19574,344.8047,344.55362,342.31552,339.2538,335.1707,333.43503,329.30035,325.25674,324.8192,325.8855,328.5705,332.52567,334.05774,335.67444,334.09354,333.094,333.43503,335.69547,341.93942,345.52966,336.8014,345.9637,6.842679,342.64587,341.56494,326.3099,239.0363,224.9999,209.7448,180.0,187.85323,191.30989,188.88058,192.875,192.26476,195.06854,196.88687,197.52565,199.29015,200.35332,199.83221,196.22026,187.27492,181.36389,183.90042,191.30989,197.10281,202.6199,209.7448,219.47243,233.67308,248.19853,260.9606,268.727,275.0795,282.5288,289.5732,297.072,303.6901,311.55252,318.07755,321.8427,321.9272,321.1155,319.7202,319.39877,318.46832,315.0001,307.30402,298.61035,290.55612,282.99463,276.11542,272.04535,267.6141,261.02747,258.6901,262.40546,273.57626,282.5288,291.80148,299.74478,303.11136,304.21576,305.13428,306.86996,311.63345,317.1211,323.74606,332.6502,347.4712
2025-11-07 01:09:21+00:00,2025-11-07 00:00:00+00:00,212.90524,302.90524,306.15826,286.26028,270.0,288.43503,300.06848,300.57913,296.56497,303.02386,280.0079,283.627,296.56497,293.6294,294.22772,297.43964,304.136,309.34048,301.08743,300.83777,304.1145,305.97247,305.31128,309.09384,219.28938,188.42688,173.15732,141.34016,112.61991,114.90474,96.84268,94.76356,215.53777,300.96368,338.19852,341.92758,331.76263,302.96942,304.59235,307.3256,309.98682,310.31403,311.03525,319.23648,323.13,327.56744,331.477,343.20154,349.5484,351.30457,350.99158,350.6471,347.85574,345.78412,344.96213,341.00323,339.8636,339.77505,340.27765,338.9624,336.66592,336.3706,337.3801,337.71436,339.94382,339.02643,336.68225,337.1663,337.30615,339.3255,339.56708,340.14468,341.56494,345.9637,357.70944,348.11136,352.87506,347.00537,307.87503,248.19853,217.56866,217.40543,212.47118,209.24873,205.76927,197.35411,196.38962,199.88525,200.32323,196.18927,196.62083,200.18588,201.80147,204.88034,202.6199,197.176,187.12492,190.38881,199.76726,208.41257,218.51695,228.01286,245.29759,263.92764,273.43356,286.50443,284.30032,285.94547,285.06854,278.97253,282.42593,290.05618,299.1974,302.57404,309.3824,312.31616,314.10492,314.52655,313.22855,308.08884,299.0545,287.74475,280.88547,278.13,284.03625,294.14554,301.8274,306.25394,308.8845,311.98712,317.0454,322.52374,328.4958,334.8852,341.56494,348.0239,353.08887,354.64426,356.3087,351.87,345.9637,341.56494,348.6901,6.0089183,25.201094,51.842735,81.86999,101.3099,112.93214,123.690094,135.0001,145.78424,157.52052,167.66092,173.08887,178.31535,180.0,178.40889,173.99109,174.4279,181.21884,188.42688,194.7436,201.41304,209.8988,219.80553,228.99101,239.9315
2025-11-08 01:02:52+00:00,2025-11-08 00:00:00+00:00,57.094753,83.88459,95.7105,112.47948,115.277695,118.00909,126.430954,127.30403,113.962494,124.75598,352.87506,350.10614,342.5972,313.09085,293.38525,309.90784,303.6901,309.28937,321.8664,321.27106,322.51205,329.03632,326.16946,325.7326,325.7326,338.83865,349.63373,355.3467,354.21768,344.24875,348.38855,345.9637,339.2538,340.0168,342.5527,339.70233,339.35294,337.01126,342.75845,340.60208,342.5119,341.56494,337.54303,336.46762,337.249,340.1678,341.86182,348.92984,348.9965,349.69522,347.66092,346.86597,347.4712,347.00537,344.05453,345.25638,327.26477,296.56497,284.03625,246.80138,228.01286,210.96368,196.69933,193.57045,197.96924,197.19862,196.26028,195.94547,198.99675,198.9466,198.43504,193.19061,183.814,183.3664,189.72751,194.4208,199.76726,209.40709,219.42778,233.13002,245.05612,267.3975,280.84027,293.49857,297.5972,302.61923,305.31128,313.85434,312.5529,313.7456,315.83023,318.2246,315.40063,317.52615,312.91742,311.18582,320.90613,319.0857,309.09384,300.7354,298.92633,325.1246,330.4613,320.1945,324.46225,318.50363,323.13,321.07245,321.07245,320.82635,318.81418,319.39877,327.99466,331.8585,330.1012,324.9041,316.8476,311.98712,318.81418,339.14545,9.462261,37.568665,64.98315,86.98728,109.290146,130.10085,139.18501,137.60262,133.72705,131.18582,132.5104,135.0001,137.38599,136.2188,133.66785,135.0001,146.88864,161.56496,173.41815,187.12492,254.05453,308.65982,306.86996,292.6199,264.80566,214.9921,188.13002,181.97488,190.3048,200.92458,210.46547,215.21768,219.09384,224.9999,234.29321,246.0375,257.3196,265.03033,270.0,273.01273,276.5462,278.88058,280.30478,279.32352,276.80896,272.72626,265.68405,251.99574
2025-11-09 01:08:05+00:00,2025-11-09 00:00:00+00:00,346.60748,352.50424,351.87,349.90256,345.25638,345.11368,353.5813,354.66794,345.7627,350.69012,349.6242,344.05453,344.6044,346.86597,348.19757,350.4171,344.6237,342.80136,341.7748,339.29086,338.81857,339.60504,340.85178,345.00485,340.0168,327.99466,321.9529,318.01288,309.8055,303.6901,301.4295,296.56497,309.8055,293.9625,290.55612,310.91428,273.3664,286.6993,254.05453,224.9999,226.54811,222.95459,220.15593,195.33334,197.40279,201.25058,196.38962,189.46225,183.814,180.90936,188.13002,194.03627,201.29742,207.03078,211.60745,215.21768,238.49579,265.60138,278.84174,290.40997,294.86368,290.0953,289.74692,319.82083,324.74356,323.86453,317.00955,319.1447,317.41956,316.7899,318.48337,320.7106,309.52258,308.8534,310.31403,306.25394,300.96368,305.13428,303.6901,287.3541,278.13,274.76355,270.0,265.23645,260.2725,268.31534,275.19434,280.1246,297.4075,328.67136,343.0724,4.085537,56.309914,105.945465,109.290146,64.2901,90.0,113.42871,116.56499,128.15727,142.43134,157.249,161.56496,170.53775,169.99208,176.53185,183.46815,197.87878,209.4758,212.47118,212.27562,214.3804,223.60289,222.5104,226.2188,228.50363,229.574,228.50363,221.00899,204.62355,190.88548,187.59456,189.46225,191.0409,194.03627,198.43504,200.28264,197.28159,191.82146,186.78888,185.44025,186.78888,185.19434,180.0,174.50777,170.21767,168.19759,166.84245,165.80142,163.23737,160.70985,158.45895,157.78235,157.75093,157.249,154.93257,153.43501,154.47035,161.11382,170.10614,177.06439,192.5288,318.81418,333.7781,330.57263,324.01923,319.05365,318.57642,320.44037,322.4715,325.73883,330.16455,334.113,334.7595,334.72232,334.41153,335.69547,338.19852
2025-11-10 01:13:15+00:00,2025-11-10 00:00:00+00:00,342.12122,345.3791,329.03632,312.8789,289.29013,288.43503,297.8972,312.8789,281.3099,296.56497,300.25635,309.8055,287.1028,270.0,191.30989,165.96373,184.57384,208.49554,219.3693,214.33028,208.36896,208.1785,207.40749,196.69933,181.9091,178.21013,189.68872,198.43504,203.83875,207.21602,158.19853,53.13002,47.489597,29.744795,342.34976,306.02747,313.66785,294.90472,296.56497,302.96942,322.43134,319.3161,323.70728,320.6673,320.27393,318.36655,316.04153,320.9806,319.26797,317.0454,311.7602,309.8055,305.36255,303.2749,305.9098,304.59235,300.96368,304.15976,313.7812,325.30478,336.2505,334.79892,326.3099,233.13002,116.56499,151.69934,147.09476,173.41815,185.19434,184.28908,171.86998,154.17906,163.44286,154.65387,155.89777,160.34608,163.41258,165.4655,172.7469,175.51547,178.83089,187.27492,190.78426,192.875,195.7087,196.85847,198.43504,203.80595,213.6901,214.07724,218.23386,217.99878,223.02507,232.25313,239.0363,226.73567,192.99461,184.5139,190.78426,196.4601,201.57137,200.85454,201.03758,202.06795,200.92458,202.47948,197.24155,189.46225,185.35573,176.72958,169.56258,159.27437,164.47583,159.64668,157.20345,153.43501,148.90276,145.2039,145.2039,147.40742,149.17241,148.60979,147.26479,146.56012,147.31946,148.8776,153.43501,163.14153,172.6005,183.094,210.76265,276.98096,302.47116,308.96674,313.09085,315.97092,317.77026,318.52155,320.50043,324.53006,329.62094,332.68448,333.9354,333.94656,332.91653,329.53452,324.3954,321.34018,320.67303,321.8143,322.64032,322.34116,321.8143,321.49933,320.57224,319.2975,319.10822,319.58618,320.6809,322.05225,323.2127,324.1249,325.38394,326.0765,326.3099,326.7934,328.04193,329.3494
2025-11-11 01:06:13+00:00,2025-11-11 00:00:00+00:00,182.29056,180.0,185.31445,200.85454,207.93706,213.20659,239.0363,352.87506,325.6196,320.1945,312.5104,305.9098,301.26367,302.7352,307.56866,299.1974,317.4896,321.8427,318.36655,319.55383,316.87787,313.53125,317.29062,321.5819,299.24872,287.1028,285.94547,289.0936,285.6423,293.1986,297.64587,302.47116,297.55273,298.4428,293.7495,294.62354,289.1791,297.8972,287.3541,283.24054,307.40543,350.53775,198.43504,200.92458,200.85454,198.43504,191.30989,190.71307,176.98727,168.11136,169.82455,171.46931,168.69011,166.67546,162.07199,159.22766,164.05453,178.15244,195.6423,200.85454,209.0545,227.72638,235.0079,296.56497,315.0001,260.53775,326.3099,278.13,300.96368,320.1945,33.6901,50.710617,72.64589,106.38962,133.26433,152.52565,158.19853,165.17348,189.78233,195.25517,195.06854,203.19862,202.47948,195.25517,195.25517,195.25517,195.25517,190.6196,198.06056,199.38461,200.13638,197.90454,194.23732,189.60513,183.69131,177.83897,172.40544,176.56644,180.0,182.08252,183.23964,186.20335,182.86235,180.0,181.59111,189.46225,193.24052,196.18927,226.63654,219.47243,243.43501,236.3099,247.249,276.95285,285.12405,288.00424,290.0953,291.318,294.10223,298.61035,303.23172,303.23172,303.6901,305.9098,315.0001,326.3099,335.55606,343.61038,353.08887,1.7898695,9.16228,14.931467,20.772345,26.564985,32.82854,39.98684,53.13002,66.37061,74.57778,81.25392,86.68229,87.58054,79.845795,66.91485,57.99466,60.255207,67.52052,71.564964,68.19853,62.676193,55.86401,49.15974,43.09086,39.97087,41.121376,44.999897,46.888172,40.9143,30.618525,21.991192,17.102825,14.300317,12.407412,12.652561,14.036275,14.620926,12.094739,6.170083
2025-11-12 01:08:07+00:00,2025-11-12 00:00:00+00:00,306.02747,284.93146,271.90912,282.5288,276.58185,262.1468,270.0,280.88547,293.9625,311.18582,267.6141,295.20108,309.28937,298.0724,291.80148,326.3099,287.52567,278.13,232.59457,216.46933,213.6901,194.47034,183.94511,155.37645,152.52565,141.7098,136.8476,115.55992,107.650215,102.5288,84.805664,84.95764,86.308685,87.3975,81.46932,65.55606,63.435013,279.46225,293.9625,322.12494,296.56497,292.3802,282.5288,283.39252,266.82022,244.7989,237.26477,257.90524,234.46223,190.6196,166.50426,191.76826,208.30066,218.41809,223.95847,238.17259,244.23071,245.85446,250.0168,261.87,262.50424,258.40784,247.93205,252.71841,250.6651,233.32556,234.3601,237.17146,238.07916,234.94049,234.24602,228.46832,211.15924,213.38853,218.08882,222.35739,237.99466,245.82089,243.43501,248.89508,257.15228,252.64589,263.51703,268.80655,271.19345,297.0308,333.43503,357.76886,13.1575575,17.102825,9.950565,5.8262515,8.97255,360.0,5.7105074,9.865748,12.528798,47.72637,68.19853,90.0,101.88863,90.0,100.784256,125.21768,136.63654,127.694305,120.0685,121.328636,132.27362,132.39738,138.99101,126.528946,121.18491,123.388535,125.41714,125.537766,124.91948,122.471176,116.56499,107.74477,99.090195,96.11541,96.24182,94.89901,90.818436,85.73219,80.39487,75.55593,71.31256,67.49644,65.37646,63.435013,59.743652,50.6595,39.019398,31.504223,36.552567,47.72637,52.66673,44.421352,28.12365,16.189287,14.500209,17.744766,18.435053,6.5197067,344.57776,324.6887,320.7106,325.17545,329.42084,333.43503,334.79892,336.8014,325.0079,296.56497,270.0,236.3099,202.6199,186.3401,182.29056,180.0,176.82024,171.02745,165.2564,159.77505,155.89777,153.43501
2025-11-13 01:25:32+00:00,2025-11-13 00:00:00+00:00,112.24908,107.74477,116.56499,118.30067,102.72436,86.531845,86.82024,95.19434,90.0,101.3099,90.0,85.76369,87.3975,85.23644,63.435013,261.87,306.25394,305.83774,312.27362,191.30989,172.56868,163.73972,143.61555,130.81499,136.54811,112.833694,103.39252,130.91429,170.53775,194.5345,202.8337,44.999897,33.6901,26.564985,28.610369,21.037588,360.0,353.29025,344.7448,5.19435,288.43503,286.31393,270.0,254.62369,257.3196,254.67844,244.5367,232.69597,220.60121,235.9806,238.46526,234.92616,242.5925,246.66594,246.92957,252.47433,252.64589,259.07724,257.82855,259.31512,274.61057,305.36255,343.0091,5.3320737,11.99689,8.235533,1.6602461,355.85544,358.29022,2.8623457,3.1220706,5.8559217,355.91446,357.87894,26.564985,41.82009,23.749514,20.556128,4.085537,20.224945,30.963696,36.86999,46.636536,52.594578,68.62931,79.99209,90.0,121.60746,133.83095,140.19447,144.46223,146.65927,145.75092,146.0234,139.51407,124.04598,112.833694,116.56499,117.030785,114.36244,111.44781,110.22495,109.98319,112.5431,108.08354,100.00792,87.56341,86.423744,82.056625,86.82024,88.21013,108.85326,106.96623,117.01259,107.650215,104.62092,103.17256,103.73629,113.962494,133.7812,151.8215,154.98314,153.43501,151.92761,158.19853,166.86597,172.40544,172.14677,167.4712,162.89719,160.20103,155.37645,155.22488,157.249,161.56496,164.21918,165.69969,167.90526,169.43904,170.69014,171.74065,170.38034,161.56496,142.85323,127.47626,129.40063,140.82635,152.70052,159.44388,166.37299,171.38443,172.87508,170.53775,168.31065,167.90526,165.96373,164.05453,159.67677,156.0375,151.8215,147.52882,144.3235,141.66663,140.06367,138.7154,135.78474,127.568665,117.64589
2025-11-14 01:08:41+00:00,2025-11-14 00:00:00+00:00,161.56496,158.5522,156.57129,175.36462,178.31535,187.90707,197.87878,71.564964,40.236294,25.016869,335.22488,33.6901,288.43503,325.4914,339.77505,331.38962,291.80148,275.49222,273.3018,259.07724,256.5348,254.15685,242.52565,230.3322,231.51978,243.9967,240.42226,258.6901,284.03625,310.2363,323.13004,312.5104,266.3087,356.906,292.06796,285.25516,283.13403,293.1986,299.0545,318.1799,320.1945,323.13004,339.07544,348.887,351.87,350.75397,355.71094,13.495748,30.068504,48.57643,75.96373,105.25517,131.63345,130.10085,123.02387,129.47243,147.09476,126.25393,138.36655,130.36446,127.694305,136.54811,127.30403,130.23628,132.0891,140.9645,147.20047,149.9315,145.0079,142.02834,137.4896,119.05451,111.541046,108.43504,109.0578,104.697365,105.10115,107.57135,110.13639,110.44964,104.26455,101.12915,94.610565,90.868034,93.06642,85.68405,73.66389,69.34101,90.90936,83.99109,82.40546,78.231735,76.55138,81.15827,81.25392,75.677246,87.87895,76.865974,84.2895,86.308685,99.78234,105.945465,108.43504,112.61991,119.74479,130.91429,147.26479,133.1524,131.63345,140.19447,135.0001,138.65233,138.01286,140.35587,141.7098,139.02835,135.80684,131.72942,128.08882,121.865944,119.05451,120.963684,124.07724,127.14677,126.57312,124.992096,123.23173,123.6901,124.11452,124.50858,123.2749,121.50421,121.50421,122.471176,121.865944,123.690094,126.86999,131.08165,131.90585,127.568665,119.42737,108.85326,97.43131,87.79745,83.77426,88.830894,101.59215,113.198616,112.714455,108.43504,106.53492,107.52566,111.57137,112.109505,100.491425,80.909805,64.5367,55.304783,26.564985,290.55612,297.75842,306.25394,309.20718,309.9363,310.17917,311.71066,315.64368,321.48303
