forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:37+00:00,2025-11-05 00:00:00+00:00,955.07025,954.26904,954.80396,956.64044,957.1803,958.49927,960.272,961.59576,962.6701,963.98096,965.119,966.19855,967.3337,968.0231,969.28217,970.95966,971.5548,972.22284,971.42065,971.30115,971.60016,971.4288,971.0808,970.1458,969.3288,969.18964,968.4982,967.78705,967.00024,966.1761,965.65466,964.7648,964.12164,962.78925,961.2943,960.5096,960.1125,959.384,958.172,957.9952,957.6777,957.3075,956.12885,955.191,954.2609,953.57916,953.1482,953.0174,953.1865,953.5579,953.0682,952.8926,953.01904,952.7934,952.7167,952.48206,952.27875,952.7519,952.4911,952.5497,952.42773,952.7572,953.5736,953.92834,954.2118,954.53314,954.36096,953.92914,954.1538,954.5469,954.69183,955.5153,956.55676,957.40234,957.54443,957.7702,957.9199,958.01263,958.05896,958.1921,958.23083,957.86975,957.40845,957.04095,956.94745,956.65173,956.8697,956.7686,957.0903,958.3297,959.47925,960.0463,960.7732,961.1277,961.6233,962.65393,963.3777,965.1119,967.4034,969.2862,970.8948,972.10455,973.31335,974.3536,975.43445,975.8754,976.2219,976.7572,977.21875,977.9741,978.86523,979.7108,980.01544,979.9805,979.8918,979.6559,979.3497,979.08545,979.15344,979.34424,979.3065,979.0093,978.57294,978.07214,977.6017,977.1618,976.74286,976.34436,976.05084,975.6625,975.13873,974.6149,974.1943,973.9278,973.7613,973.3575,972.64966,971.7932,970.93695,970.1607,969.383,968.73883,968.3907,968.17163,967.9196,967.55554,967.1839,966.6428,965.8371,964.96643,964.0111,963.0557,962.0156,960.8907,959.642,958.3933,957.2517,956.25397,955.45325,954.79834,954.30536,953.86694,953.6672,953.57935,953.6379,953.9281,954.5527,955.39813
2025-11-06 01:13:14+00:00,2025-11-06 00:00:00+00:00,968.6645,967.9302,967.3242,967.91986,967.2373,965.97705,965.11444,964.9057,963.9404,962.82623,961.7865,961.3522,960.4438,959.6866,958.7108,957.93744,957.40643,957.11,954.71045,953.73413,953.4949,953.2024,953.25385,953.1521,953.63104,954.23096,954.61017,954.23474,953.893,953.63464,953.87756,954.11615,954.3637,954.42175,954.79663,954.92096,955.1791,954.8963,954.9025,956.0087,956.44586,956.23883,955.5882,953.992,954.12915,954.55786,955.11285,955.4098,956.12067,956.60693,956.7877,956.79645,957.1068,956.623,956.642,956.8888,956.4542,955.70715,955.0553,954.676,954.7238,954.9695,955.3096,956.2842,956.3951,956.52014,955.9993,955.4997,955.264,956.37933,957.37354,958.4525,960.19006,962.8531,966.84485,969.0869,970.7914,972.04614,973.361,974.3507,975.5176,976.28436,976.4315,976.9354,976.97736,977.44946,978.25714,978.67316,978.616,978.52344,978.1884,977.6324,977.38354,977.19446,977.3139,977.2776,977.676,977.9444,978.0,977.93835,977.96063,977.90894,977.4584,977.4905,977.53296,977.15533,976.79895,976.8092,976.6835,976.40015,976.3356,976.353,976.0897,975.55927,974.8694,973.9084,972.7835,971.7896,971.0411,970.4317,969.89667,969.4502,968.98706,968.53345,967.881,967.14355,966.302,965.4408,964.5895,963.67255,962.8034,962.0671,961.3205,960.77045,960.3087,959.68726,958.88104,957.91705,956.9764,956.08563,955.3263,954.8023,954.6404,954.71216,954.96704,955.4327,956.0911,956.6725,957.2443,957.83405,958.3381,958.76575,959.0219,959.39154,959.7704,960.1677,960.6019,961.2532,961.8552,962.4349,962.7961,963.0337,963.0826,962.9976,962.7217,962.49756,962.4186,962.4714
2025-11-07 01:10:30+00:00,2025-11-07 00:00:00+00:00,952.43994,952.06525,952.62445,953.3891,953.43506,953.0836,952.3598,952.96985,953.2168,954.0227,954.04816,954.0918,954.19275,954.73627,955.1273,955.62994,955.4656,956.0907,956.7591,956.0974,956.1849,955.9527,955.81433,955.6405,955.4987,955.6254,955.23505,954.7364,954.841,954.6804,954.48224,953.59283,953.26154,952.80707,952.23016,953.63055,955.381,956.19324,956.30695,957.2074,957.8109,957.8522,957.8217,957.776,958.25867,959.3769,960.6663,962.45624,964.22595,966.5347,968.44696,969.939,971.30664,972.41797,973.4095,974.05304,974.9998,975.47363,975.83215,976.1798,976.4739,977.08234,978.11035,978.58026,978.7743,978.6923,978.5866,978.02057,977.7816,977.7267,977.896,977.9751,978.2703,978.73883,978.34283,978.40875,978.23193,977.49854,977.45703,977.1427,976.923,976.32513,975.9266,975.5387,975.39233,974.61584,974.65485,973.83856,973.22284,972.395,970.8969,969.13855,967.6339,966.7436,965.79694,964.61414,963.9594,962.93774,961.71716,960.5911,959.30475,958.14075,956.8822,955.66046,954.0795,952.77203,952.0125,951.6619,951.34955,951.6926,952.31915,953.087,953.6185,954.0704,954.4679,954.6141,954.605,954.74335,955.1143,955.63385,956.04553,956.3756,956.8042,957.1381,957.53033,958.02594,958.5489,959.14453,959.682,960.3543,961.0118,961.71735,962.38275,963.0457,963.7732,964.27203,964.6724,964.8411,964.9442,964.871,964.6493,964.6135,964.8813,965.22797,965.72986,966.28217,966.8895,967.40204,967.8771,968.24756,968.6272,968.9305,969.1577,969.28076,969.38434,969.39343,969.46906,969.82904,970.36005,970.59595,970.48676,970.0662,969.4715,968.4981,967.36523,966.3572,965.65344,965.08014
2025-11-08 01:03:01+00:00,2025-11-08 00:00:00+00:00,956.94653,957.03613,956.87634,956.7713,956.6183,955.993,956.0491,956.20953,955.2444,954.5536,954.0786,954.7696,955.20154,956.52234,956.87115,957.5526,957.50696,958.0087,958.2999,958.1385,958.83374,959.5157,960.07465,961.75653,963.6689,965.7719,966.92786,968.1621,969.4901,970.5243,971.36865,972.0335,973.05566,973.8958,974.5266,975.198,976.04266,976.6963,977.13794,977.90326,978.48944,978.63245,978.77325,977.81433,977.6122,977.55835,977.541,977.5484,978.00336,978.2659,978.2981,978.26685,978.35065,978.2147,977.81647,977.523,977.21844,976.68335,976.13715,975.90607,975.9581,975.8214,975.81287,975.3159,974.6419,973.86005,972.7599,970.95374,969.75806,968.464,967.5067,965.97107,965.3665,964.0884,962.9221,961.80304,960.57605,959.29047,957.7499,956.3607,954.7999,953.0594,951.84845,951.6118,951.0534,950.8814,951.1792,951.87305,951.9258,951.86346,951.83295,951.58624,952.04395,952.3197,952.86005,953.1497,954.3937,955.4387,956.5205,956.9479,957.6802,958.174,958.77155,959.5583,960.3719,960.90344,961.2164,961.9736,962.286,962.9293,963.6677,964.5255,964.8773,964.8857,964.76447,964.5562,964.1809,963.9644,963.9882,964.25085,964.4867,964.8017,965.1056,965.4091,965.6933,965.8919,966.1,966.24164,966.393,966.4588,966.40155,966.43866,966.55225,967.14056,967.8795,968.4002,968.4345,968.2359,967.86456,967.30505,966.58655,966.00854,965.8702,965.8674,965.83856,965.77515,965.78577,965.72986,965.4934,965.20026,964.9068,964.53754,964.168,963.71356,963.22125,962.7293,962.312,962.0821,961.9253,961.68604,961.1829,960.5823,959.74304,958.7178,957.6506,956.5894,955.7885,954.9767
2025-11-09 01:08:13+00:00,2025-11-09 00:00:00+00:00,965.00745,967.1122,967.3908,968.6742,969.72784,970.84894,971.5572,972.59875,973.0321,973.33777,973.9471,974.9445,975.5638,975.8897,976.9914,977.83093,977.9462,978.30273,977.9255,977.6524,978.2371,978.3282,978.56866,978.8349,979.2149,979.58276,979.24713,979.0898,979.1528,979.1001,978.86914,978.47046,978.5438,978.32336,977.9875,977.76685,977.735,977.8187,977.68304,977.9983,978.0675,977.39923,976.6394,974.0128,972.38544,971.0364,969.5862,968.0672,967.2726,966.1581,964.5552,963.3199,961.9601,960.2124,958.3039,956.73486,955.03406,954.19366,953.12524,952.1792,951.6592,951.6592,952.3852,952.848,953.38293,954.04156,954.25195,954.3818,954.6232,954.7525,955.20844,955.25525,955.8341,956.53235,957.62646,958.0865,958.48755,958.8395,959.12427,959.4655,960.1753,960.8001,961.5289,962.3521,962.52246,963.3553,964.6236,965.339,965.791,966.2582,966.3021,965.86694,965.56744,965.47266,965.5884,965.56146,965.723,966.2285,966.306,966.638,966.76184,966.7242,966.78125,966.8101,966.77246,966.1761,965.68384,965.39984,965.1064,965.0874,965.3996,965.74133,965.50854,964.8979,964.13,963.19495,962.1092,961.2206,960.7894,960.5595,960.4983,960.5356,960.66223,960.59906,960.2244,959.66925,959.22656,958.89685,958.5762,958.27374,957.8858,957.525,957.2864,957.2734,957.29614,957.2094,956.7891,956.15765,955.3384,954.27545,953.0317,951.9877,951.2829,950.6816,950.11334,949.62146,949.0782,948.48315,947.66437,946.785,945.9141,945.0598,944.2134,943.36835,942.37823,941.29333,940.56854,940.28906,940.27313,940.6543,941.6963,943.2247,944.4509,945.2355,945.813,946.4586,947.34344,948.2866
2025-11-10 01:13:28+00:00,2025-11-10 00:00:00+00:00,976.4015,976.697,977.6107,977.99884,978.135,977.9146,977.4949,977.8409,977.8612,978.2069,977.8083,976.822,976.70636,977.03094,977.3883,977.4843,976.6933,976.78125,976.3016,975.2121,974.2582,973.2889,971.6126,969.8122,968.5799,967.29144,965.47565,963.98303,962.58496,961.5351,960.0169,958.3676,957.2818,955.78827,954.8982,954.4713,954.23364,953.8458,953.4773,955.18243,956.6975,957.60974,958.1317,954.14,954.29535,954.8473,955.18225,955.6729,956.8087,957.904,958.56134,959.2366,959.618,959.85803,960.4184,961.0063,961.897,962.57904,963.1282,963.8854,964.6801,965.48376,966.24164,966.59955,967.29767,967.65283,967.31805,966.68475,966.08325,965.6951,965.7065,965.38116,965.3323,965.50586,965.48956,965.6509,965.3112,964.8765,964.7537,964.2709,963.7788,963.3429,962.4033,961.72186,960.9552,960.5209,960.15826,960.21387,959.885,959.1879,958.11523,957.193,955.93256,955.4142,955.07086,954.35223,954.3458,954.1857,953.8709,953.4022,953.0281,952.5768,952.2202,952.2697,952.05286,951.6558,950.9654,950.65424,950.5321,950.4284,950.50116,950.5007,950.0206,949.233,948.35406,947.4731,946.61786,945.8675,945.19617,944.7325,944.18994,943.70703,943.33594,942.9048,942.4044,942.03406,941.72406,941.73285,941.89435,941.9687,941.9687,941.8844,941.93665,942.18567,942.4771,942.4496,941.8525,940.8423,940.16364,939.98126,939.93005,939.8436,939.51385,939.1575,938.6916,938.1359,937.46405,936.71594,935.7785,934.6697,933.741,933.0783,932.5103,932.0007,931.36017,930.8813,930.6003,930.9056,931.5034,932.12885,932.5928,933.0842,933.84125,935.0343,936.5018,937.97815,939.3694,940.8643
2025-11-11 01:06:21+00:00,2025-11-11 00:00:00+00:00,965.1721,962.5903,961.93854,961.10767,959.6485,957.8977,957.4414,956.382,954.1417,952.9825,952.5675,952.2754,952.94714,953.1374,953.9888,955.93756,957.53186,958.2142,959.9624,959.98517,960.30634,959.84973,959.1913,958.91455,959.0016,959.7387,959.5899,959.599,959.97876,960.61414,960.9927,961.02014,961.2835,961.8401,962.4807,962.96106,963.43097,963.9851,964.43835,965.5617,966.8466,967.23944,967.52057,965.9884,965.5497,965.1794,964.6758,964.1052,964.6175,965.03613,964.48926,964.32056,964.076,963.69934,963.6807,963.30194,963.1404,962.4682,961.5511,961.0405,960.3406,960.4558,960.66174,960.9171,960.68933,960.6078,960.1486,959.5903,959.2198,959.2628,959.2969,959.2541,959.8491,960.2561,960.51776,960.7023,960.61115,960.6237,960.6726,960.52277,960.3913,960.17426,960.0428,960.0059,960.04504,960.2829,960.7359,960.87854,960.57263,960.1674,959.2627,958.35486,957.3598,956.9107,956.716,956.06323,955.81836,955.96576,955.757,955.2635,955.0563,954.3811,953.647,953.1462,952.53314,952.02057,951.10504,950.3791,949.6351,949.2023,948.93604,948.8191,948.31775,947.5954,947.0518,946.696,946.59735,946.6564,947.08215,947.67224,948.31116,948.8885,949.6211,950.3361,951.23193,952.21375,952.9528,953.30914,953.51514,953.8577,954.46094,955.10895,955.8299,956.6427,957.4247,957.99493,958.293,958.35657,958.3454,958.12335,957.7273,957.5891,957.80963,958.1789,958.6407,959.0916,959.5472,959.9079,960.0883,960.19214,960.2322,960.24774,960.29236,960.409,960.67444,961.01447,961.34503,961.83704,962.32904,962.537,962.1862,961.64575,961.0962,960.71735,960.4238,960.40564,960.66174,961.2022
2025-11-12 01:08:16+00:00,2025-11-12 00:00:00+00:00,958.093,958.10333,958.8122,959.9966,960.26276,960.74615,960.52893,961.27606,961.5963,962.1047,962.34753,962.4882,963.2808,963.16376,963.87445,965.3742,966.595,967.11456,966.70874,966.8348,967.0066,966.4554,965.624,965.22327,965.3329,965.3888,964.8821,964.97754,964.9582,964.41785,963.87634,963.5254,963.3827,962.74945,961.8512,961.23706,960.90515,960.55414,960.2143,960.60474,961.2033,960.9625,960.453,960.1857,959.6766,959.1843,959.0731,958.8175,959.1654,959.3429,959.3394,959.42114,959.2544,958.8978,958.5685,958.4284,958.37384,958.02594,957.62885,957.525,957.4796,957.6506,958.02594,958.1343,957.6915,957.3474,956.40826,955.54486,954.8922,954.2273,953.89734,953.2671,953.2858,953.4481,952.9748,952.58765,952.39813,952.02747,951.68243,951.13043,950.99994,950.58453,950.2897,950.36664,950.03845,951.0546,951.6031,952.57135,953.31793,954.2867,954.23456,954.08765,954.1914,954.3815,954.83,954.97906,955.963,956.5194,957.1606,957.4948,957.9547,958.2154,958.5307,958.58875,959.13873,959.5787,959.94806,960.29236,960.814,961.2598,961.6307,962.15405,962.2856,962.1243,961.7359,961.18866,960.389,959.8615,959.6197,959.5508,959.64575,959.8189,960.16064,960.322,960.38873,960.3611,960.2196,959.91846,959.58813,959.38043,959.3332,959.41833,959.5888,960.0334,960.5631,961.2441,961.9424,962.6955,963.2774,963.4144,963.38116,963.4718,963.9892,964.631,965.3575,965.9495,966.5312,967.0923,967.6226,968.04785,968.4718,968.82135,969.1905,969.518,969.75055,970.05414,970.40955,971.1132,971.953,972.53845,972.6587,972.41797,972.1875,971.9494,971.63135,971.31793,971.12787,971.0443
2025-11-13 01:25:41+00:00,2025-11-13 00:00:00+00:00,965.8901,964.522,964.6747,965.15656,965.0035,964.67017,964.8111,964.6392,963.7103,963.3781,962.7525,962.5535,962.28925,961.6393,961.3766,961.9675,962.17926,962.5652,963.0195,962.4702,962.4818,962.10315,961.6707,961.0702,960.88605,961.0486,960.5613,960.0818,959.7427,959.63855,959.0801,958.43713,958.1914,957.9642,957.61414,957.4629,957.1411,957.0653,956.5922,957.0506,957.563,957.6095,957.2715,954.6821,953.997,953.677,953.1752,952.6539,952.95844,952.8208,952.44147,952.23425,951.9672,951.6736,951.49274,951.2419,951.2931,950.9563,950.5083,950.80145,950.7637,951.9165,952.868,954.0793,955.42,956.13934,955.8563,956.0373,956.33905,956.60583,956.4575,956.99384,957.778,958.6723,958.8638,959.1904,959.58307,960.0582,960.54236,960.35406,960.63873,961.18805,961.0268,961.0642,961.1677,961.66,962.13306,962.3238,962.4358,962.48895,961.8075,960.7864,960.1121,959.64575,959.4377,959.1952,959.2181,959.785,959.7774,959.89087,959.938,959.6168,959.21954,959.06775,959.05835,958.6417,959.21014,959.1062,959.49396,960.38306,961.11115,962.31354,962.28564,963.2216,962.0274,962.0573,962.1534,962.3616,962.6835,963.01404,963.47656,964.04425,964.7355,965.1796,965.3,965.2663,965.2697,965.5596,965.8884,966.2174,966.3272,966.44696,966.7207,967.2629,967.87396,968.345,968.34424,968.21844,967.908,967.49176,967.00824,966.6014,966.4882,966.5427,966.6706,966.9715,967.2454,967.614,967.83923,968.0546,968.2798,968.41986,968.57935,968.7291,968.859,968.88464,969.0835,969.5703,970.1255,970.55884,970.72675,970.56805,970.4045,969.99445,969.39624,968.9713,968.91876,969.12946
2025-11-14 01:08:51+00:00,2025-11-14 00:00:00+00:00,958.1464,958.48615,958.3446,958.34143,957.89136,956.73865,956.44525,956.73865,956.29486,956.05896,955.63367,955.32184,955.3977,954.991,955.1325,955.619,956.16736,956.3395,956.7428,956.146,956.0354,955.35,954.3702,953.83203,953.01276,952.62396,952.5218,952.70306,952.7622,952.66736,952.4766,952.26953,952.3977,952.72217,953.20544,954.7092,955.83746,956.9269,957.22345,958.2785,958.8917,959.34625,959.74854,956.5274,956.4586,956.81195,956.8702,957.0144,957.1968,957.8491,958.2894,958.65247,958.9482,959.234,959.5383,959.84235,960.29236,960.5094,960.7658,961.2022,961.51587,961.80115,962.6251,962.9361,962.96045,963.1814,962.894,962.31635,961.5528,961.1858,961.2805,961.14465,961.4678,961.7795,962.09155,962.1862,962.1768,962.32904,962.1692,961.7077,961.57605,961.55725,961.25256,961.0798,961.47565,961.51434,961.63776,962.0849,962.257,962.3992,961.594,961.9714,961.9658,962.67633,963.711,963.3985,963.98315,964.37134,965.21747,965.19135,965.30554,965.433,965.34814,965.433,966.37866,966.633,966.7239,966.9441,966.6509,966.89905,967.51605,968.09845,968.3645,968.35394,968.2732,968.0485,967.775,967.5953,967.56555,967.5337,967.6336,967.70575,967.9113,968.1166,968.4258,968.64044,968.8548,968.86993,968.6858,968.42676,967.9886,967.47626,967.3173,967.7953,968.5316,968.9477,968.82684,968.4749,968.0407,967.6608,967.2902,966.92096,966.61017,966.214,966.0528,966.1,966.28925,966.19464,965.78766,965.1817,964.49084,963.724,962.9669,962.21967,961.6613,961.20703,960.84735,960.6865,960.5256,960.1847,959.29474,958.1207,957.21173,956.84247,956.729,956.62494,956.4263,956.1329
