forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:40+00:00,2025-11-05 00:00:00+00:00,250.82089,228.81418,164.47583,171.86998,214.9921,162.18102,175.76369,168.11136,171.46931,168.69011,166.60748,160.20103,150.2552,154.7989,184.23631,180.0,193.70699,219.28938,201.80147,135.0001,143.74608,146.65927,156.80138,147.80429,151.1893,154.2901,173.04713,165.06853,180.0,296.20004,315.57864,321.009,321.70978,313.56796,312.92996,306.67444,307.97165,304.9921,305.53775,311.46762,312.82523,313.6029,304.46088,310.23627,306.38446,309.8055,328.39255,303.6901,274.76355,315.0001,171.86998,160.0168,171.25392,175.91446,172.87508,183.57626,169.3804,166.75948,173.6599,173.6599,171.46931,177.79745,166.60748,172.64772,165.96373,165.06853,165.69969,173.77426,161.24126,166.26372,162.89719,155.22488,163.49556,164.3577,166.86597,169.04597,167.90526,157.06787,163.0724,157.1663,149.03632,156.3706,165.2564,156.80139,173.6599,167.4712,180.0,210.96368,232.69597,246.80139,287.6502,333.43503,352.87506,357.3975,3.46817,14.620926,18.435053,11.888645,19.653913,357.13766,335.22488,352.40543,360.0,336.0375,18.435053,68.19853,180.0,270.0,111.801476,110.55613,81.25392,270.0,63.435013,116.56499,126.86998,121.60746,120.256355,126.86999,180.0,219.80553,226.8476,219.09384,200.55612,190.00792,199.29015,210.25635,216.86998,219.98683,221.42357,222.43619,220.31403,214.9921,214.69522,228.81418,246.19405,255.65063,259.3804,262.18478,262.47626,261.2539,257.34744,256.55136,261.67444,273.17978,277.1249,260.53775,236.76828,223.99501,222.08908,223.99501,223.95847,219.61066,210.69965,205.8663,202.38017,202.38017,207.97939,226.08084,245.13632,254.64981,256.21838,254.64981,250.86626,245.37645,238.67136,234.58286,234.83348,236.3099
2025-11-06 01:13:18+00:00,2025-11-06 00:00:00+00:00,315.0001,325.30478,312.27362,333.43503,354.2895,316.5481,326.3099,323.67307,330.5242,102.99462,162.89719,189.46225,276.3401,311.49637,306.09836,304.9921,296.56497,296.13095,301.29297,293.05133,288.8248,282.72437,302.90524,324.46225,194.03627,202.8337,183.3664,163.30067,176.42374,194.93147,183.814,180.0,161.56496,135.0001,135.0001,154.7989,153.43501,153.43501,180.0,180.0,174.55975,172.40544,165.96373,170.39487,164.74483,173.9459,180.98773,182.2457,178.60284,172.69434,172.30405,171.6342,160.9743,163.49556,160.20103,167.19574,162.3498,163.0724,169.6952,171.57312,172.56868,177.27374,202.6199,226.63654,236.3099,236.3099,250.82089,275.90604,311.42358,357.6141,8.130019,9.462261,14.931467,9.462248,356.42374,333.43503,350.53775,22.61991,4.398633,5.19435,9.462248,60.255207,315.0001,348.6901,360.0,99.46225,102.5288,147.52882,126.86998,124.69522,149.03632,168.69011,132.87889,102.09474,146.3099,126.86998,118.61037,218.15727,151.92761,191.30989,155.55606,160.34608,141.34016,173.99109,174.2895,151.69934,163.61038,135.0001,147.26479,158.19853,165.96373,209.7448,250.0168,247.06787,232.43134,233.84172,235.17543,238.24055,243.43501,250.70985,263.29025,300.96368,360.0,15.945477,16.699326,10.61961,360.0,343.3007,326.3099,298.61035,266.98727,251.56496,245.89777,245.05612,246.50142,249.82925,257.00537,265.76367,272.08252,273.23962,272.33725,271.273,270.0,267.3975,262.8751,250.34608,217.40543,190.3048,197.74477,216.15828,221.76021,214.9921,200.55612,188.61557,181.78987,176.05489,174.09395,180.0,188.32556,193.73628,197.6502,203.02553,205.94225,205.94225,202.8337,201.54105,201.54105,204.10223
2025-11-07 01:10:33+00:00,2025-11-07 00:00:00+00:00,219.80553,184.08554,165.96373,177.39749,186.00891,176.6336,167.4712,167.4712,149.03632,121.60746,90.0,95.44024,125.537766,144.46223,175.60138,187.35228,177.06439,172.87508,159.44388,156.2505,154.2901,153.8385,160.34608,157.78235,160.1447,162.25523,166.2392,167.82855,171.25392,176.56644,174.50777,171.15826,165.96373,154.35904,143.97253,147.99466,148.67137,188.13002,207.89717,304.33026,313.1524,298.8107,305.83774,355.76367,12.804273,13.392516,360.0,7.12493,19.290138,64.98315,74.054535,61.69934,60.255207,50.194473,77.4712,116.56499,198.43504,120.96369,71.564964,128.65984,161.56496,126.86999,167.00539,163.0724,164.3577,155.22488,156.57129,147.52882,139.9698,159.14546,130.60121,112.61991,164.47583,149.03632,194.03627,201.80147,116.56499,161.56496,315.0001,340.0168,24.443953,19.653913,39.805527,325.30478,37.568665,336.8014,320.1945,345.9637,342.34976,11.888645,3.3664,29.744795,32.471172,10.304792,338.9624,323.97253,304.9921,303.6901,299.74478,315.0001,333.43503,349.69522,326.3099,306.86996,270.0,246.0375,270.0,276.17007,274.5139,274.39862,279.86575,277.59454,275.0795,276.3401,276.07236,268.727,256.60748,244.7223,232.12495,210.96368,192.5288,181.97488,178.0909,176.30869,172.64772,170.83772,172.87508,180.0,187.12492,191.5601,192.26476,189.65982,189.46225,189.46225,190.6196,194.03627,200.95586,208.52303,214.28693,218.15727,219.5226,220.10085,216.11943,208.49554,203.80595,206.56499,212.82854,220.76352,226.97493,232.35231,235.6196,237.42595,239.30035,239.34941,236.3099,229.08571,234.46223,260.9098,275.5721,281.72507,285.25516,288.75873,292.20352,295.01685,296.56497,298.49554,299.5387,300.25635
2025-11-08 01:03:04+00:00,2025-11-08 00:00:00+00:00,159.86362,159.14546,160.0168,164.74483,164.62369,165.61858,159.27437,173.6599,169.04597,168.11136,157.8905,137.86247,132.13753,180.0,270.0,258.31067,277.30566,312.18436,305.0959,299.1675,329.65683,324.78232,334.05774,338.45895,341.02948,3.0127327,333.43503,356.186,3.0127327,9.462261,360.0,330.64233,340.3461,360.0,306.86996,348.6901,14.036275,251.56496,279.46225,224.9999,204.44394,224.9999,212.47118,120.96369,78.6901,54.46224,100.30479,90.0,41.98713,61.92762,71.564964,109.653915,164.05453,118.072395,101.768265,23.962492,19.653913,48.01287,349.69522,352.40543,15.255177,18.435053,224.9999,59.03632,3.5762644,343.3007,218.65984,298.30066,300.96368,332.6502,325.6196,339.44388,338.9624,349.3804,9.462248,341.56494,344.05453,281.3099,281.3099,270.0,270.0,270.0,300.96368,300.96368,270.0,243.43501,241.55717,247.75093,250.82089,255.06853,263.82993,272.9356,270.0,281.9761,276.0089,260.78903,256.67545,267.33704,272.66293,273.27042,241.38963,171.86998,164.47583,159.77505,160.70985,160.55988,158.19853,161.56496,156.0375,168.69011,185.04236,183.17976,183.17976,186.00891,187.90707,185.35573,182.20255,177.39749,177.5105,177.70944,182.12105,192.99461,207.47435,215.3113,210.25635,196.26028,184.76355,182.4895,182.4895,187.76508,195.25517,203.49858,214.28693,226.39711,237.80429,246.3706,249.62347,251.56496,255.17348,265.76367,289.44012,326.3099,351.2539,10.304792,23.962492,35.537766,44.999897,33.6901,315.0001,299.0545,294.77512,296.56497,307.87503,319.39877,339.44388,360.0,5.19435,356.6336,345.9637,343.3007,342.072,342.03076,342.47433,345.5792,350.8377,357.79745,5.19435,12.528798
2025-11-09 01:08:15+00:00,2025-11-09 00:00:00+00:00,4.398633,17.818983,13.5704565,348.23172,333.43503,7.59456,342.8972,337.6198,329.03632,5.19435,326.3099,251.56496,18.435053,321.34018,333.43503,315.0001,245.22488,214.3804,330.25522,209.7448,263.29025,319.39877,338.9624,330.64233,303.6901,3.8140097,339.77505,295.01685,309.47244,285.25516,296.56497,296.56497,253.61038,276.84268,228.50363,127.30403,129.80553,219.80553,248.19853,158.74942,146.3099,173.6599,336.0375,330.9455,347.4712,323.97253,305.53775,320.52756,345.3791,329.53452,338.19852,352.40543,30.256361,4.763556,355.91446,344.7448,343.3007,326.3099,315.0001,308.65982,318.01288,340.3461,326.97614,311.49637,307.74686,309.09384,306.60718,297.18103,290.85452,284.34937,279.92618,281.3099,280.78424,282.99463,290.37653,279.78235,272.29056,265.76367,255.96373,180.0,157.61983,168.69011,164.47583,180.0,168.11136,172.56868,193.57045,202.98874,201.5015,188.13002,193.13403,192.5288,185.7105,175.23645,184.39862,165.96373,140.19447,151.92761,165.96373,172.23492,182.72626,174.55975,171.46931,190.3048,199.44012,161.56496,90.0,270.0,360.0,309.8055,281.3099,306.46933,309.28937,308.65982,309.8055,306.86996,300.25635,296.56497,303.6901,326.3099,7.12493,18.435053,18.435053,360.0,270.0,270.0,44.999897,33.6901,38.65983,29.744795,20.556128,12.528798,355.23645,346.60748,342.64587,341.14676,341.1752,342.7184,343.53992,344.05453,345.61856,345.5792,346.86597,346.50424,346.60748,342.47433,337.1663,334.65387,337.1663,340.70987,345.9637,351.4693,357.13766,3.0127327,10.61961,21.037588,21.037588,2.8623457,350.53775,344.87595,344.24875,343.44284,345.5792,349.3804,358.0251,4.5738406,5.19435,360.0
2025-11-10 01:13:32+00:00,2025-11-10 00:00:00+00:00,331.9276,286.6993,344.7448,263.6599,270.0,295.01685,303.6901,98.97255,57.264786,47.290634,104.743614,66.801384,210.96368,21.801476,49.085716,290.22495,315.0001,317.1211,336.8014,315.0001,198.43504,282.99463,210.96368,304.28693,349.3804,330.4613,343.3007,2.8623457,351.87,324.46225,296.56497,229.39879,207.824,202.06795,208.92633,208.7397,220.81499,220.81499,230.19447,233.13002,241.14444,231.51978,237.72438,283.32455,288.85324,277.9434,268.56793,276.63242,278.84174,287.96924,276.3401,275.5721,276.95285,277.90707,270.0,206.56499,162.47433,158.74942,161.56496,163.61038,157.61983,170.13426,197.35411,200.55612,205.01686,209.98155,213.11136,218.65984,210.57915,190.3048,166.75948,151.92761,151.69934,158.96242,165.96373,168.69011,165.96373,163.61038,173.99109,199.29015,199.29015,169.99208,157.61983,180.0,219.80553,252.89719,291.80148,306.38446,310.10083,300.57913,315.0001,319.89914,327.09476,345.9637,14.036275,29.744795,30.963696,18.435053,14.036275,270.0,315.0001,224.9999,270.0,360.0,153.43501,236.3099,201.80147,224.9999,243.43501,246.0375,292.3802,308.36752,312.27362,315.0001,318.01288,333.43503,19.983198,59.743652,63.435013,53.13002,39.805527,29.744795,23.962492,26.564985,28.610369,36.027473,36.86998,33.6901,28.30066,24.775122,24.775122,24.775122,21.801476,12.804273,8.8805895,4.398633,360.0,355.91446,351.87,350.31128,349.82455,350.78906,353.29025,356.3087,360.0,360.0,360.0,360.0,360.0,355.91446,355.60138,351.2539,351.87,352.40543,356.186,3.8140097,10.61961,13.392516,14.036275,12.339083,9.16228,2.1210518,355.03033,351.4693,349.3804,351.87,4.085537,14.036275
2025-11-11 01:06:24+00:00,2025-11-11 00:00:00+00:00,305.53775,312.7974,21.370695,11.3098955,25.201094,10.007925,270.0,304.50858,317.72638,224.9999,242.24155,226.73567,221.49637,212.19571,208.44283,224.9999,240.01845,253.49556,249.77505,250.1447,250.55988,264.2895,256.29303,263.21112,258.9591,264.80566,268.75467,270.0,271.0416,279.78235,278.91486,270.0,258.6901,242.6502,207.89717,175.23645,154.44008,173.41815,183.01273,181.46877,181.33218,181.36389,180.0,227.38597,213.6901,191.76826,154.7989,151.92761,154.98314,167.4712,174.2895,180.0,174.2895,174.55975,177.27374,172.87508,173.6599,180.0,216.86998,274.39862,172.87508,174.2895,261.02747,272.3859,277.1249,278.53067,279.86575,294.44394,302.7352,254.74483,273.17978,295.64096,311.18582,315.0001,303.6901,206.56499,216.86998,213.6901,224.9999,228.81418,228.81418,240.2552,281.3099,278.13,243.43501,298.61035,320.7106,324.46225,327.6526,332.7005,333.43503,338.83865,343.3007,345.9637,355.03033,356.82022,360.0,353.6599,344.7448,347.73523,347.73523,355.03033,357.5105,360.0,3.179772,14.036275,13.240531,14.743609,11.888645,2.2905633,352.14676,348.0239,349.5626,351.67444,350.31128,349.82455,350.2725,352.40543,360.0,18.435053,34.69522,38.65983,32.005356,18.435053,360.0,345.9637,326.3099,326.3099,345.9637,18.435053,90.0,116.56499,124.992096,135.0001,142.12495,153.43501,158.19853,168.69011,169.6952,167.00539,165.06853,160.55988,158.74942,153.43501,152.10283,151.92761,157.3801,161.56496,161.56496,153.43501,360.0,360.0,5.7105074,4.085537,357.13766,351.2539,349.04596,349.99207,350.53775,351.02744,350.31128,349.46088,349.91946,350.13425,351.34753,352.5687,354.92047,356.00916
2025-11-12 01:08:19+00:00,2025-11-12 00:00:00+00:00,285.3763,280.78424,284.03625,287.96924,270.0,214.50858,195.94547,193.49574,175.42616,189.0902,169.11452,160.90642,168.69011,176.6336,183.99083,190.3048,191.0409,185.7105,186.91113,185.35573,187.59456,182.20255,169.11452,160.90642,162.25523,157.8336,156.2505,162.3498,175.23645,164.74483,173.99109,186.3401,161.56496,121.60746,107.35411,123.690094,151.69934,201.03758,233.97253,276.3401,272.6025,279.86575,276.70975,308.36752,305.75397,290.77234,287.52567,231.34016,218.65984,303.6901,219.80553,224.9999,236.3099,236.3099,231.34016,270.0,44.999897,26.564985,18.435053,33.6901,75.96373,360.0,337.1663,330.64233,325.56094,327.42596,321.34018,321.1155,326.3099,337.8336,2.8623457,8.130019,19.983198,4.763556,356.186,350.53775,354.2895,344.7448,354.55975,354.2895,354.55975,354.2895,2.8623457,10.61961,14.036275,19.653913,357.27374,352.87506,338.19852,337.06787,334.35904,340.20102,334.65387,36.86999,29.744795,63.435013,75.96373,90.0,90.0,104.03627,108.43504,128.65984,186.3401,147.26479,224.9999,137.72638,180.0,206.56499,184.76355,187.59456,149.03632,199.65392,184.08554,203.19862,243.43501,273.57626,282.5288,285.94547,288.88617,289.74692,289.35907,284.03625,270.0,258.6901,262.23492,272.04535,278.88058,283.627,287.928,291.5015,291.80148,289.0936,289.79895,295.76926,301.4295,303.36636,304.62424,304.33026,305.39487,307.14676,310.2363,311.82007,307.56866,285.94547,206.56499,171.86998,165.96373,161.56496,163.30067,164.74483,164.74483,164.74483,168.69011,161.56496,135.0001,96.340096,78.6901,71.564964,360.0,296.56497,327.99466,342.64587,349.21573,353.9911,360.0,11.3098955,23.198618,44.999897
2025-11-13 01:25:43+00:00,2025-11-13 00:00:00+00:00,150.75127,170.83772,171.25392,176.6336,180.0,167.90526,160.0168,152.24155,152.35411,189.86574,193.24052,180.0,175.91446,180.0,254.05453,315.0001,303.6901,282.72437,296.56497,309.8055,303.6901,330.64233,351.87,84.2895,80.53775,71.564964,53.972538,18.435053,6.3401003,6.3401003,52.124958,51.34017,48.366554,18.435053,338.19852,320.1945,329.74365,322.43134,322.69595,318.6523,317.1211,315.0001,311.98712,325.30478,335.09525,339.44388,353.9911,353.29025,8.130019,4.763556,354.80566,7.12493,333.43503,336.0375,343.3007,315.0001,324.46225,353.6599,12.528798,347.4712,360.0,355.23645,11.3098955,347.90527,350.53775,360.0,360.0,350.53775,360.0,82.875084,113.962494,135.0001,135.0001,196.69933,164.05453,183.3664,147.26479,160.55988,189.46225,184.76355,184.76355,167.19574,169.21574,157.75093,182.86235,171.46931,180.0,201.80147,325.30478,305.0959,304.9921,295.08356,297.12122,296.56497,289.9832,315.0001,294.22772,285.6423,285.0184,278.97253,278.74606,271.68463,271.73566,271.90912,265.23645,253.0724,254.74483,261.6342,266.906,268.49258,266.186,278.53067,284.28113,284.28113,285.80258,286.6993,286.5874,286.46008,285.0184,282.99463,281.00348,280.30478,279.16226,276.11542,270.0,259.21576,246.3706,224.9999,189.46225,171.25392,169.6952,187.12492,239.0363,293.9625,308.15726,313.36346,313.6029,311.18582,311.18582,316.46872,329.9315,340.55988,336.8014,321.34018,311.18582,321.34018,26.564985,75.96373,90.0,270.0,270.0,270.0,296.56497,333.43503,18.435053,36.86999,38.65983,39.805527,35.537766,26.564985,353.6599,315.0001,304.69522,306.86996,325.0079,341.56494,360.0,33.6901
2025-11-14 01:08:54+00:00,2025-11-14 00:00:00+00:00,5.7105074,68.19853,56.309914,90.0,165.96373,172.40544,169.3804,176.42374,86.186005,70.70986,58.570484,57.264786,44.999897,4.398633,318.81418,317.0454,322.85324,322.88306,328.2986,325.40765,330.64233,333.43503,356.98727,360.0,343.73972,340.0168,327.72437,333.43503,324.78232,323.61554,331.55716,327.8043,327.99466,332.74475,336.19403,329.62094,334.98312,337.249,325.0079,325.84024,327.38077,327.99466,324.46225,354.2895,26.564985,90.0,118.61037,156.80138,168.69011,183.814,157.3801,156.3706,180.0,175.23645,159.44388,161.56496,165.2564,165.2564,176.82024,180.0,180.0,261.87,298.61035,305.75397,286.1444,299.0545,306.3269,289.1791,291.1248,303.34073,299.98157,300.37906,285.59286,282.09473,280.78424,277.1249,272.9356,264.95764,261.38443,265.91446,265.71094,266.906,266.53183,262.6477,260.53775,264.95764,271.3019,274.66678,277.5237,278.91486,277.9695,279.65982,279.86575,281.0409,283.24054,289.6539,287.1028,287.1028,212.00534,224.9999,232.43134,229.76372,227.12111,224.9999,210.96368,194.93147,191.30989,187.59456,190.6196,210.96368,255.4655,278.36578,286.55716,287.52567,289.85532,291.80148,290.85452,291.03757,285.94547,236.3099,180.0,168.69011,180.0,194.03627,180.0,180.0,170.53775,171.86998,180.0,180.0,171.86998,164.05453,180.0,270.0,295.01685,301.75943,307.6943,312.1375,315.0001,315.0001,308.65982,300.96368,326.3099,360.0,21.801476,53.13002,80.53775,98.13002,105.945465,120.96369,126.86999,135.0001,180.0,270.0,153.43501,128.65984,129.80553,135.0001,300.96368,304.9921,307.56866,312.8789,315.0001,315.0001,320.1945,360.0,63.435013,63.435013
