forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:05+00:00,2025-11-05 00:00:00+00:00,6.3845,5.5845,4.5845,3.9845002,3.4345,2.8845,2.0845,1.4844999,1.1845,1.0345,0.8345,0.7345,0.9845,2.9845002,5.9845,8.434501,9.8345,11.0345,11.7845,12.3845005,11.5345,10.3345,9.5845,9.2345,9.0345,8.8345,7.8845,8.184501,8.0845,8.2845,6.1844997,4.2844996,3.8345,3.6845,3.6345,3.6345,3.4845002,4.4845,5.2345,5.3845,5.0845,4.8845,5.0845,5.3345,5.2345,4.7345,3.1845,1.6845,0.8345,-0.3515,-1.2515,-1.9014999,-2.0015001,-2.0015001,-2.4015,-2.4015,-1.9014999,-1.3514999,-1.6014999,-1.5515,-0.051499993,2.0985,3.6985,5.1985,6.9985003,8.0985,8.9985,10.3984995,10.598499,10.0485,9.9985,10.2485,10.2485,10.1985,9.2985,8.9985,8.8984995,8.7985,8.8984995,8.9485,8.848499,9.1985,9.348499,9.2485,9.3984995,9.598499,11.1484995,12.4485,13.9985,13.9485,14.2985,13.8984995,13.4985,11.348499,9.2985,8.4485,7.7985,7.8985,7.0985003,6.5485,6.5985003,7.2985,7.2485003,7.0985003,7.0485,6.9985003,6.8485003,6.4485,7.3485003,7.6985,7.8985,8.3485,8.598499,8.9485,9.1484995,8.7485,8.1484995,7.7985,8.1985,8.848499,9.1985,8.7985,7.9985003,7.4985003,7.7485003,8.2485,8.0985,6.5985003,4.4485,2.6985,1.7485,1.2485,1.2985001,2.2484999,3.7984998,5.0485,5.8985,6.4485,6.4485,5.5485,4.0485,2.6985,1.6985,0.7985,0.0485,-0.5015,-0.8514999,-1.1014999,-1.2014999,-1.2014999,-1.1014999,-0.95149994,-0.7515,-0.6014999,-0.70149994,-0.80149996,-0.3515,1.2485,3.3985,5.0985003,5.9485,6.2985,6.3485003,5.9985003,5.3485003,4.6485,3.8485,2.9984999
2025-11-06 02:36:37+00:00,2025-11-06 00:00:00+00:00,7.1345,6.8845,6.8345,6.4344997,5.8345,5.8345,5.9845,4.7345,3.5345001,3.2345002,3.0345001,2.7345002,2.3345,4.7345,5.7844996,5.5845,5.6345,5.4344997,5.3345,5.2844996,4.4845,3.6845,2.2845001,1.0845,0.6345,0.0345,-0.31550002,-0.2655,-0.1655,-0.2655,-0.31550002,-0.31550002,-0.2655,-0.2655,-0.1655,-0.065500006,0.18450001,1.6344999,3.6345,5.1345,6.4845,7.1345,8.5345,8.8845005,8.5345,7.4845,7.3845,7.1844997,7.0845,9.1985,9.348499,9.3984995,9.348499,8.9485,8.9985,8.6985,8.3984995,7.7485003,7.2985,7.1985,7.9985003,9.598499,11.8984995,13.9985,14.4985,14.1484995,15.348499,15.6985,14.2985,12.4985,9.6484995,8.6985,8.0485,7.4985003,7.1985,7.3985,7.2985,6.6985,6.6985,7.1985,7.8985,6.8985,7.6985,7.9485,7.9485,8.2485,8.2985,8.4985,8.4985,8.4485,8.7485,8.6985,8.1985,7.9985003,8.2985,8.4985,8.7485,8.848499,8.7485,8.598499,8.3984995,8.2985,8.598499,8.7485,8.9485,9.098499,9.2485,9.348499,9.4985,9.5485,9.5485,9.598499,12.1484995,11.4485,10.2485,9.5485,8.4985,7.3985,6.4985003,5.5985003,4.5985003,3.3985,2.0985,0.9985,0.2485,-0.3015,-0.70149994,-0.95149994,-1.1014999,-1.2014999,-1.4015,-1.5015,-1.2515,-0.3015,0.9985,2.1485,2.9485,3.5484998,3.7984998,3.4485,2.7484999,2.1485,1.8485,1.5985,1.4485,1.2985001,1.1485,1.1485,1.3485,1.6985,1.7985001,1.4485,0.89849997,0.49850002,0.3485,0.3485,0.7985,2.0485,3.7984998,5.2985,6.3485003,7.1485,7.5485,7.3485003,6.6985,5.8985,4.8485003,3.6985
2025-11-07 02:33:19+00:00,2025-11-07 00:00:00+00:00,3.4845002,2.7345002,1.9844999,1.2344999,0.5845,-0.21550001,-0.21550001,-0.21550001,-0.2655,-0.21550001,-0.21550001,-0.21550001,-0.065500006,1.6845,3.8845,5.2844996,6.6345,7.8845,8.9845,9.684501,9.8845005,8.2845,6.2844996,5.1345,5.6844997,6.5845,7.0845,7.4845,7.5845,7.7345,8.1345005,8.184501,7.8345,7.8845,7.3345,6.8345,6.4845,7.7345,11.2345,12.7345,12.7845,12.684501,12.2845,12.0845,9.2845,8.8845005,7.9344997,6.8345,5.6844997,4.5985003,3.9984999,3.6485,3.3485,3.5484998,3.9485,2.6485,2.5484998,2.1985,1.9485,1.6985,1.9985,4.3985,6.0985003,6.9985003,7.9485,9.598499,10.9985,11.7485,8.4485,7.7985,7.1985,6.9985003,7.7485003,8.3485,8.4985,8.6484995,8.6985,8.6484995,8.2485,7.7485003,7.2985,7.2985,7.3985,7.4485,7.5485,7.8985,8.2485,8.2985,9.6985,7.7985,5.6985,4.5485,4.2985,4.5485,3.2984998,2.7484999,2.8485,1.9985,0.49850002,-0.051499993,-0.3515,-0.70149994,-1.0015,-1.4015,-1.6014999,-1.5515,-1.6514999,-1.5015,-1.6014999,-0.40150002,0.5985,1.6985,2.8485,3.7484999,4.5985003,4.5985003,4.1485,3.6985,3.3485,2.9984999,2.5484998,1.9485,1.2485,0.8485,0.89849997,1.2485,1.6485001,2.0985,2.6485,3.0484998,3.1485,3.0484998,3.2984998,3.9984999,4.9985003,6.0485,7.3985,8.848499,9.6484995,9.4985,8.7485,7.6985,6.0485,4.0485,2.9984999,3.7484999,5.4485,6.4985003,6.1985,5.2485003,4.5485,4.4485,4.5485,4.4985003,3.9485,3.2484999,3.0985,3.9984999,5.4485,6.4985003,6.8985,6.9985003,6.6985,5.9485,4.8985,3.8485,2.8985,1.9485
2025-11-08 02:21:45+00:00,2025-11-08 00:00:00+00:00,7.4845,6.9344997,7.4845,7.9344997,7.9344997,7.9845,8.5345,9.1345005,8.434501,8.1345005,7.5344996,6.8845,6.6345,8.2345,11.3845005,12.3345,12.0845,12.4845,12.684501,12.0345,10.5345,9.4845,8.3845005,6.0344996,4.3845,3.1845,2.0345001,1.1344999,0.7345,0.38450003,-0.1155,-0.31550002,-0.2655,-0.1155,0.8845,1.3345,1.7344999,2.5845,3.1345,3.6845,4.4845,6.0344996,6.7844996,6.8845,7.4845,7.6844997,7.6345,7.9344997,7.9845,8.9485,9.2485,9.348499,9.1985,9.1985,9.098499,8.9985,9.0485,9.0485,8.848499,8.3984995,7.4485,6.6985,6.7985,6.8985,7.1485,7.0485,7.5985003,8.0485,7.8985,7.7985,7.8985,7.7985,5.6485,4.1485,3.4984999,2.6485,-0.40150002,-1.6514999,-1.9014999,-2.0015001,-2.1015,-2.1515,-2.2515001,-2.1515,-1.9515,-0.5015,0.6485,1.6485001,2.1985,2.7984998,2.7484999,2.2985,1.7485,0.5485,-0.3515,-0.80149996,-1.0015,-1.1515,-1.2515,-1.1014999,-1.0515,-0.95149994,-0.70149994,-0.3015,-0.3015,0.3485,0.6485,0.2985,0.4485,1.5485001,2.3985,2.2484999,4.0985003,4.6985,5.1985,5.3485003,5.0985003,4.7485003,4.1985,3.5985,3.2484999,3.4984999,4.0985003,4.5485,4.6485,4.5985003,4.5485,4.4985003,4.3985,4.2485,3.7984998,3.2984998,3.2984998,4.2985,5.7485003,6.8485003,7.2485003,7.2485003,6.9985003,6.4485,5.5985003,4.6485,3.4984999,2.2484999,1.3985,1.2485,1.5485001,1.7485,1.7485,1.6485001,1.4485,1.1485,0.7985,0.3985,-0.15150002,-0.7515,-0.80149996,0.1485,1.6485001,2.8985,3.6485,4.0985003,4.1485,3.5985,2.5985,1.5985,0.69850004,-0.25149998
2025-11-09 02:42:39+00:00,2025-11-09 00:00:00+00:00,6.1844997,4.7844996,3.7845001,2.9845002,2.3845,1.9345,1.4844999,1.8844999,2.7345002,2.1845,3.0845,3.2345002,3.1845,4.1844997,5.7345,5.8345,6.7844996,8.2345,8.7345,8.5845,8.1345005,7.8345,7.2345,7.1844997,7.3345,7.4845,7.7345,8.0345,8.3845005,8.5845,8.5345,8.4845,8.3345,8.184501,8.0845,8.0845,8.2845,8.6345005,9.2845,10.4845,11.3345,11.5845,12.3345,12.0345,11.3845005,10.9845,10.684501,9.3845005,8.184501,7.4485,7.6485,5.5485,4.2985,3.3485,2.0985,1.6985,0.94850004,-0.80149996,-2.0015001,-2.4515002,-2.4515002,-1.5515,-0.20149997,1.1985,1.9985,1.9985,1.7485,1.6485001,1.3485,0.0485,-1.1014999,-1.6514999,-1.8015,-2.0515,-1.9014999,-1.7015,-1.3514999,-0.70149994,-0.3015,-0.101500005,-0.051499993,0.6485,0.7985,0.7985,0.1985,2.2985,3.6985,4.7985,5.5985003,5.8485003,5.7485003,5.9485,5.8485003,4.0985003,2.0485,0.89849997,0.5485,0.3985,1.8485,2.8985,3.9485,4.4485,4.5485,4.2985,2.9984999,3.7484999,3.3985,2.7984998,3.9984999,4.5985003,5.4485,6.3485003,7.3485003,7.9485,8.1484995,7.3985,6.0485,4.6485,3.1485,1.5485001,0.3485,-0.25149998,-0.45149997,-0.5015,-0.40150002,-0.101500005,-0.051499993,-0.45149997,-1.0015,-1.3514999,-1.3514999,-1.1014999,-0.5015,0.6485,2.0485,3.2484999,3.9984999,4.5485,4.5485,3.7984998,2.5985,1.5485001,0.94850004,0.49850002,0.1485,-0.051499993,-0.15150002,-0.20149997,-0.3015,-0.3515,-0.45149997,-0.6014999,-0.80149996,-1.0015,-1.3015,-1.6014999,-1.3514999,-0.20149997,1.4485,2.8485,3.8985,4.6985,4.9485,4.3985,3.2984998,2.2484999,1.3985,0.5985
2025-11-10 02:35:34+00:00,2025-11-10 00:00:00+00:00,5.5344996,5.6844997,6.0344996,6.1345,6.6345,6.4344997,6.3345,6.2345,6.2345,6.2844996,6.2844996,6.3845,6.5344996,7.0845,7.3845,8.434501,9.3345,9.4845,9.934501,9.5345,9.434501,9.2345,9.0845,8.9845,8.9845,7.9845,6.5845,4.4845,3.2345002,2.3845,1.6344999,0.9845,0.38450003,0.1345,-0.015500002,-0.1155,-0.015500002,0.93450004,1.5845,1.2845,1.9345,2.3845,1.7344999,1.3844999,0.7845,-0.36549997,-0.31550002,-0.31550002,-0.2655,-1.1515,-0.80149996,-0.3515,-0.101500005,-0.101500005,0.0485,-0.15150002,0.3485,0.94850004,1.2985001,1.3485,1.2985001,2.1485,3.0985,4.0985003,4.6985,5.0985003,5.4485,5.7485003,5.6485,4.5485,2.8985,2.2985,1.3485,0.2985,-0.3015,-0.3515,2.6485,3.7484999,2.5484998,2.4485,2.4984999,3.3985,4.3485003,3.7484999,1.9485,4.1485,5.2985,5.6485,6.3485003,6.4985003,5.9985003,6.1985,5.4485,4.2985,3.4485,3.0985,2.4984999,1.6485001,1.6485001,1.0985,0.7485,0.4485,0.1985,-0.20149997,-0.55149996,-1.0015,-1.6014999,-1.9515,-1.8514999,0.7485,2.9984999,4.1985,4.9985003,5.4985003,5.2485003,4.5985003,3.4485,2.2484999,0.89849997,-0.5015,-1.6014999,-2.1515,-2.3515,-2.5015001,-2.7015002,-2.9015,-2.9015,-2.6015,-2.1515,-1.9515,-2.5015001,-3.3015,-3.2515001,-1.6014999,0.8485,2.8985,4.1485,4.9485,5.1485,4.4485,3.0985,1.7985001,0.69850004,-0.40150002,-1.3514999,-2.1515,-2.8015,-3.3015,-3.5515,-3.6015003,-3.6015003,-3.6015003,-3.6015003,-3.5515,-3.6515,-3.7515,-3.2515001,-1.7515,0.2985,2.0985,3.4485,4.5485,4.9485,4.1985,2.7984998,1.4485,0.4485,-0.5015
2025-11-11 02:23:58+00:00,2025-11-11 00:00:00+00:00,8.684501,7.2844996,5.8845,4.2844996,2.8845,2.3345,1.7845,0.9845,0.1345,-0.1155,-0.2655,-0.31550002,-0.2655,-0.065500006,0.43449998,0.7345,0.68450004,0.5845,0.3345,0.43449998,-0.015500002,-0.2655,-0.36549997,-0.5155,-0.56549996,-0.4655,-0.56549996,-0.4155,-0.21550001,-0.31550002,-0.31550002,-0.31550002,-0.2655,-0.36549997,-0.21550001,-0.1655,0.0345,1.1344999,2.0345001,2.7345002,3.0845,3.7845001,4.2844996,4.4344997,4.2844996,3.8345,2.9345,1.8844999,1.4844999,0.49850002,1.8485,3.5985,3.6485,2.7984998,3.3985,3.4984999,3.3485,3.6985,3.3485,4.2485,3.9485,3.7484999,5.1985,6.3985,7.2985,6.9485,6.6485,6.2985,5.0985003,3.8985,3.0985,2.4984999,2.0985,1.5485001,1.1985,0.2485,-0.55149996,-1.0015,-1.2014999,-1.3015,-1.3015,-1.2515,-1.5015,-1.6514999,-0.7515,0.8485,2.1485,2.9984999,4.1485,4.5985003,4.2985,3.9984999,3.4984999,2.0985,0.69850004,0.1485,-0.051499993,-0.3515,-0.55149996,-0.70149994,-0.9015,-1.1014999,-1.2515,-1.4015,-1.6514999,-1.9014999,-2.1515,-2.3515,-2.4015,-1.3015,0.3985,1.4485,2.6985,3.3485,3.7984998,3.2984998,2.2985,1.2485,0.3485,-0.6014999,-1.4015,-2.1015,-2.7015002,-3.1515,-3.4515002,-3.6015003,-3.6515,-3.5015001,-3.2515001,-2.9015,-2.5015001,-2.0015001,-1.5515,-1.0515,-0.55149996,-0.25149998,-0.20149997,-0.3515,-0.40150002,-0.20149997,0.0485,0.2485,0.2985,0.3485,0.3985,0.5485,0.7485,0.89849997,1.0485001,1.1485,1.2985001,1.4485,1.5985,1.8485,2.2484999,2.6985,3.0985,3.4485,3.7484999,3.9984999,4.1985,4.3485003,4.2985,3.8985,3.2984998,2.7484999,2.2985,1.8485
2025-11-12 02:27:01+00:00,2025-11-12 00:00:00+00:00,0.0345,-0.21550001,-0.4155,-0.36549997,-0.2655,-0.4655,-0.36549997,-0.36549997,-0.4155,-0.21550001,-0.21550001,-0.1655,0.0345,1.0845,2.5345001,2.3345,2.6845,3.6345,4.0345,4.3345,4.1345,3.3345,2.5345001,1.7344999,1.3844999,0.68450004,0.5845,1.0345,0.8345,0.93450004,0.8345,0.68450004,0.6345,1.1845,0.68450004,0.6345,0.68450004,1.8345,3.4345,3.7845001,4.0345,4.2345,4.3845,4.4845,4.0845,3.2845001,2.5345001,2.1345,1.6845,0.6485,-0.0014999807,0.7485,0.3485,-0.0014999807,-0.0014999807,-0.25149998,-0.3515,-0.3515,-0.40150002,-0.5015,-0.45149997,0.8485,2.3985,3.5985,4.4985003,4.9485,4.9985003,4.7985,3.5985,1.8985001,0.7985,0.1985,-0.3515,-0.6515,-0.8514999,-0.80149996,-0.8514999,-0.9015,-0.80149996,-0.95149994,-1.0515,-1.3015,-1.6014999,-1.7515,-1.6514999,-0.40150002,1.3485,2.9984999,4.0985003,5.0485,5.6485,5.5985003,4.5985003,2.6985,0.89849997,0.69850004,0.6485,0.5485,0.4485,0.5485,0.8485,1.1485,1.1485,0.94850004,0.6485,0.5485,0.7485,0.94850004,1.0985,1.7485,2.3485,2.4984999,3.9984999,5.6985,7.7485003,7.3485003,5.9985003,4.7485003,3.7984998,2.9485,2.1985,1.6485001,1.2485,0.89849997,0.5485,0.1985,-0.101500005,-0.40150002,-0.70149994,-0.95149994,-1.2515,-1.5515,-1.4015,-0.55149996,0.69850004,1.7485,2.5484998,3.1985,3.3985,2.8485,1.7985001,0.8485,0.09850001,-0.6014999,-1.2515,-1.9014999,-2.5515,-3.0515,-3.3515,-3.5015001,-3.5515,-3.5515,-3.4515002,-3.4015,-3.6015003,-3.8015,-3.3515,-1.6514999,0.7485,2.6985,3.8485,4.5485,4.6485,3.8985,2.5484998,1.3485,0.5985,-0.0014999807
2025-11-13 02:44:41+00:00,2025-11-13 00:00:00+00:00,1.7845,1.5845,1.1845,1.1845,1.3844999,1.4345,0.68450004,0.68450004,0.7845,0.7345,0.68450004,0.7345,0.6345,2.1345,4.4344997,5.3845,5.8345,5.7844996,5.5845,5.3345,4.9344997,3.4345,2.1345,1.4345,0.8345,0.8845,1.1344999,1.1845,1.1845,0.68450004,0.2845,0.3345,0.2845,0.18450001,0.0845,0.0845,0.18450001,1.1344999,2.3345,3.1345,3.3845,3.4345,3.3345,3.2345002,2.7345002,1.7344999,1.0345,0.7345,0.5345,-0.45149997,-0.70149994,-0.8514999,-1.1515,-1.0515,-1.2515,-2.1515,-1.7015,-1.4015,-1.4514999,-1.7015,-1.7515,-0.25149998,1.3985,3.0484998,3.9485,4.7485003,5.3485003,5.0985003,4.5985003,2.8985,2.1985,2.0485,2.4485,2.0485,2.4485,1.6485001,1.5485001,0.94850004,1.2485,1.7485,2.4485,2.8485,3.3985,3.8485,4.2485,5.1985,8.6985,9.9485,9.4985,8.0985,8.1484995,6.4985003,5.4485,4.0485,2.8485,2.0485,1.5485001,0.89849997,0.2485,-0.051499993,-0.051499993,-0.101500005,-0.45149997,-0.45149997,-0.6515,-0.70149994,-0.40150002,-0.25149998,-0.95149994,1.1485,2.6985,3.5985,4.1485,4.3985,4.4485,3.8985,2.9984999,2.1485,1.5485001,0.9985,0.5985,0.3485,0.1485,0.0485,-0.051499993,-0.101500005,-0.15150002,-0.25149998,-0.3015,-0.40150002,-0.6515,-0.95149994,-0.6515,0.6485,2.5484998,4.1485,5.2985,6.2485003,6.4985003,5.8485003,4.5485,3.1985,1.7985001,0.3485,-0.80149996,-1.4015,-1.6514999,-1.8015,-2.0015001,-2.1015,-2.1515,-2.2015002,-2.1515,-2.1515,-2.4015,-2.6015,-2.1515,-0.3515,2.1985,4.1985,5.2985,5.8985,5.9485,5.3485003,4.1985,2.9984999,1.6485001,0.1985
2025-11-14 02:28:10+00:00,2025-11-14 00:00:00+00:00,2.8845,2.5845,1.6845,0.8845,0.43449998,0.43449998,0.2845,0.2845,0.4845,0.38450003,0.43449998,0.2845,0.18450001,1.5345,3.0345001,3.7845001,4.4344997,4.8845,4.9344997,4.7844996,4.0345,2.6845,1.4844999,0.3345,0.2845,0.0845,0.0345,-0.015500002,-0.015500002,-0.065500006,-0.1155,-0.065500006,-0.1155,-0.1655,-0.1155,-0.1655,-0.1155,0.7845,1.7845,2.5845,3.5845,4.4845,5.0344996,4.9344997,4.7844996,4.2844996,3.3345,3.1345,3.0845,1.7485,1.2985001,0.2985,0.5985,0.7485,1.0985,1.5985,1.9985,2.1485,2.1985,2.5985,4.3985,7.9485,7.7985,8.4485,7.9485,7.2485003,5.3485003,4.2985,4.1485,2.8485,1.6985,0.7485,0.3985,-0.55149996,-1.1515,-1.3514999,-1.3514999,-1.5515,-1.6514999,-1.6014999,-1.8514999,-1.9515,-1.9014999,-1.9014999,-1.8514999,-0.3015,1.2485,2.2484999,2.7484999,3.0985,3.4485,3.0985,2.4485,1.1985,0.2985,0.0485,-0.051499993,-0.25149998,-0.3515,-0.40150002,-0.55149996,-0.6515,-0.45149997,-0.3515,-0.20149997,-0.051499993,-0.0014999807,-0.051499993,-0.0014999807,1.6485001,3.3985,4.5485,5.4485,5.9485,6.2485003,5.5985003,4.3485003,3.0484998,1.6485001,0.1485,-1.0015,-1.5015,-1.6014999,-1.7015,-1.8015,-1.9014999,-1.9515,-2.0515,-2.1515,-2.2515001,-2.5015001,-2.7515001,-2.2015002,-0.25149998,2.4485,4.5485,5.4985003,5.8485003,5.6985,4.8485003,3.4485,2.1485,0.9985,-0.101500005,-0.9015,-1.2515,-1.2515,-1.2515,-1.2515,-1.2014999,-1.2515,-1.4514999,-1.7515,-1.9515,-2.3015,-2.6015,-2.1515,-0.20149997,2.4984999,4.6485,5.7985,6.3985,6.3485003,5.4485,3.8985,2.4984999,1.3985,0.4485
