forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:20+00:00,2025-11-05 00:00:00+00:00,1003.7695,1003.9334,1004.09656,1003.4653,1004.331,1005.4994,1004.485,1004.5621,1004.6476,1004.7093,1005.4842,1005.47754,1005.97815,1005.6837,1005.12964,1004.62537,1003.2936,1002.16144,1000.7156,998.7568,995.7611,993.3439,991.0423,988.85944,987.4636,985.3736,983.16644,982.205,980.60925,980.3087,982.48474,984.39624,986.24615,988.3168,990.58514,992.65607,994.92664,996.64923,997.9574,999.44366,1000.52216,1001.32117,1001.8131,1002.6124,1003.69507,1005.2547,1006.08563,1006.2264,1006.6809,1007.20276,1007.95264,1007.7256,1007.12854,1007.12854,1007.0117,1006.81415,1007.0341,1006.76276,1006.55383,1006.2596,1006.32684,1005.5331,1004.91125,1004.2842,1003.1749,1001.3434,999.7998,998.07855,996.70294,995.39545,994.7014,995.3047,994.51404,993.62256,993.0913,992.48615,991.8888,991.3905,991.09814,990.4085,990.1079,989.9246,989.9308,989.8279,990.2292,990.2376,990.20184,990.7486,990.8105,990.80835,990.92114,991.103,991.4826,992.4833,993.48663,994.5389,995.4012,996.097,996.5577,997.029,997.42615,998.0485,998.5408,998.92944,999.22406,999.3208,999.4132,999.1986,999.9284,1000.4373,999.7536,999.77246,998.69604,997.72217,996.54425,995.63824,994.724,993.91876,993.14465,992.3811,991.7037,991.09406,990.56696,990.24963,990.0622,989.98425,990.0768,990.5085,991.01086,991.62756,992.2781,992.84906,993.3453,993.58405,993.74994,993.803,993.7403,993.56573,993.66455,994.2194,995.04517,995.8763,996.722,997.5717,998.32916,998.89746,999.3758,999.76,999.9529,999.9529,999.95764,1000.1618,1000.2693,1000.4738,1000.5679,1000.7611,1000.7812,1000.7531,1000.6494,1000.5247,1000.16583,999.68646,999.3923,999.2784,999.34955,999.5174,999.8782,1000.43427
2025-11-06 02:37:00+00:00,2025-11-06 00:00:00+00:00,988.5609,987.45917,986.1807,984.5828,983.8786,983.70386,984.1625,986.0906,987.8184,990.27155,992.04175,993.7084,995.2849,996.4579,997.8883,999.0591,1000.24927,1001.3257,1002.0108,1002.41046,1003.1645,1004.03235,1004.7509,1005.3043,1006.66315,1006.4387,1006.028,1005.4375,1005.24207,1004.94354,1004.7459,1004.7437,1004.9413,1004.9413,1005.2377,1005.14777,1005.15875,1004.7399,1004.02124,1003.1947,1002.36475,1001.2192,999.6819,998.11096,996.7147,994.80347,993.5125,993.0205,992.9382,994.2733,993.78534,993.58954,993.1924,992.9782,992.78265,992.47375,992.46124,992.8294,993.00836,992.9056,993.9272,994.48755,994.28467,994.5669,994.98206,994.9683,994.917,995.42535,996.0616,996.5825,997.3556,998.206,998.57404,999.14404,999.82336,999.93066,1000.32153,1000.4941,1000.69165,1001.1081,1001.236,1001.09546,1001.3268,1001.2383,1001.2383,1001.2509,1001.25305,1001.2613,1000.66833,998.98627,998.8997,998.6014,998.48145,997.18854,996.41034,996.2209,995.8359,995.54376,995.5394,994.7428,994.2402,993.9396,993.75446,993.4639,993.1759,992.29254,992.3976,991.9075,992.1113,991.22375,990.433,990.2376,989.84686,988.7313,988.8802,989.0493,989.4015,989.7515,990.0103,990.26886,990.523,990.66956,990.7124,990.66455,990.5331,990.41003,990.4911,990.7767,991.26404,991.75336,992.43604,993.1233,993.6281,993.8678,994.02374,993.97516,993.7131,993.245,993.0582,993.24054,993.70465,994.3704,995.24646,996.32245,997.2051,997.6925,997.9823,998.27875,998.5839,998.8956,999.0977,999.08234,998.95935,998.74414,998.44116,998.1448,997.67053,997.13257,996.6154,995.79,994.55,993.1998,992.1296,991.7258,991.5999,991.6651,991.81824,992.0658
2025-11-07 02:33:39+00:00,2025-11-07 00:00:00+00:00,1005.1193,1004.3951,1004.75757,1004.1253,1004.5906,1004.4738,1004.1619,1003.56915,1004.6538,1005.1455,1005.2465,1005.3408,1005.2509,1004.5423,1003.5404,1002.90894,1002.3732,1001.4375,1000.2975,999.3342,998.457,997.11005,995.5438,994.7004,994.1247,993.1091,991.73364,990.9451,990.25745,989.57794,988.9956,988.64746,988.4457,988.1164,988.2747,988.95624,990.1338,990.2929,990.2155,990.8572,991.6416,991.94037,992.3195,993.401,994.4765,995.1603,996.4079,997.5457,998.9838,1001.195,1001.9598,1002.4387,1002.52466,1003.0272,1003.835,1003.7786,1004.0706,1004.1543,1004.2421,1004.72504,1005.03467,1005.04034,1004.8167,1004.6573,1004.1044,1003.0863,1002.5507,1001.79095,1001.8524,1001.6274,1001.3058,1001.39606,1000.93335,1000.1678,999.7788,998.8956,997.90955,997.6108,997.0012,995.79425,995.08374,993.4037,993.5069,991.6311,991.9319,992.73676,991.46674,990.77704,991.62524,992.041,992.4472,993.18884,994.06757,993.97943,994.51886,995.6808,995.784,995.9447,996.1754,996.4474,996.1378,996.51746,997.097,997.27673,997.8604,998.5541,998.7473,999.24817,1000.03375,1000.38385,1000.7246,1000.6741,1000.6256,999.97284,999.91046,1000.0092,1000.1878,1000.4648,1000.845,1001.4223,1001.6993,1001.77203,1001.74115,1001.4271,1000.93536,1000.2591,999.4863,998.61676,997.6526,996.8794,996.29083,995.8913,995.3093,994.5488,993.7022,992.85724,991.9257,991.09625,990.4371,990.13464,990.20245,990.258,990.48553,990.895,991.14624,991.1786,991.0533,990.8997,990.78815,990.74835,990.6197,990.5168,990.42206,990.5187,990.89056,991.55237,992.03986,992.37494,992.63434,992.77734,992.59656,992.2053,992.09406,992.4578,993.2038,993.8506,994.40283,995.05334
2025-11-08 02:22:02+00:00,2025-11-08 00:00:00+00:00,993.7333,992.619,992.9301,992.06964,990.67145,990.37305,989.84155,989.2588,989.5329,989.3971,989.65643,989.63745,990.5188,990.9803,991.40967,992.134,992.6121,992.7352,993.0277,993.70337,995.1252,996.47614,997.60425,998.61395,999.9142,1000.55225,1001.1939,1001.653,1002.03064,1002.5048,1002.0872,1002.37256,1002.5702,1002.6647,1002.91534,1003.1328,1003.5454,1004.0703,1003.78674,1003.5187,1002.95605,1002.04724,1001.1896,999.3182,998.8536,998.0692,998.1659,997.38776,997.4888,999.69885,999.21716,998.6283,997.53485,996.9419,996.3447,995.6488,994.5635,994.66235,993.3694,993.6472,993.80524,993.2799,991.90045,991.60834,990.23505,988.74854,988.17834,988.19696,987.49884,987.69257,987.49884,988.2855,988.78876,989.4171,989.98206,990.4397,990.8009,991.1406,991.32697,991.8166,991.7135,992.0076,991.8054,992.1064,992.31274,992.57477,992.23004,991.68097,990.9145,989.9522,989.7523,990.2268,990.796,991.33655,992.08734,993.1542,993.8369,994.2252,994.8136,995.1169,995.2178,995.7162,995.82587,996.1401,996.5353,996.4652,996.47833,996.06793,995.97565,995.82623,994.9739,994.07806,992.9722,991.31793,990.3509,989.66534,989.2596,988.9484,988.7273,988.60297,988.5881,988.5987,988.6244,988.6434,988.6477,988.74426,988.841,989.03644,989.42773,989.7176,990.0939,990.4677,990.7641,991.10315,991.36206,991.40845,991.1288,990.73346,990.5253,990.6011,990.9606,991.31573,991.8594,992.39844,992.95435,993.3431,993.5537,993.76013,993.9577,994.0522,994.241,994.5243,994.9042,995.2819,995.8503,996.4164,996.9082,997.3457,997.7079,997.86115,997.6958,997.41876,997.32214,997.5947,998.14435,998.69366,999.34576,999.9953
2025-11-09 02:42:53+00:00,2025-11-09 00:00:00+00:00,998.7252,999.534,999.98956,1000.35016,1001.0116,1001.5803,1001.7607,1001.8833,1002.7131,1002.4013,1003.4177,1003.5143,1004.2016,1004.34174,1004.3976,1004.60583,1004.25543,1004.0198,1003.1533,1002.25964,1001.84357,1001.63116,1001.0152,1000.5189,999.8334,999.04694,998.2687,997.49066,996.31934,995.3436,994.4478,993.4574,993.15063,993.23914,993.5375,993.7351,993.9412,993.8567,993.3853,993.5316,993.072,991.8032,990.149,989.64264,989.22296,988.31946,987.8129,986.9694,987.7149,988.4686,988.27936,988.09265,988.33636,988.39484,988.5387,988.91656,988.78516,989.0049,989.0506,989.42554,989.52435,988.8728,989.0312,988.40094,987.9416,987.74396,988.02954,988.5192,989.099,989.73395,990.67126,991.83215,992.4183,993.2962,993.7967,994.3984,995.1056,995.6283,995.8437,996.3465,996.4474,996.57715,996.4849,996.4849,996.9526,997.0443,996.5123,995.7686,994.9134,993.73816,992.84436,992.1614,991.66296,991.49,991.50073,991.8459,991.83057,991.6264,991.6896,991.5374,991.0882,991.20844,991.1138,991.4984,991.5415,991.7715,992.0529,992.5212,992.9679,993.4874,993.8202,993.75934,993.6036,993.13434,993.2416,993.5069,993.9443,994.47784,995.00635,995.5298,995.9712,996.24115,996.4299,996.62524,996.82733,996.9392,997.04016,997.12146,997.19586,997.37775,997.5753,997.883,998.1071,998.2568,998.41705,998.37024,998.1061,997.7344,997.6355,998.0976,998.7372,999.38306,999.8507,1000.3249,1000.60596,1000.59674,1000.3948,1000.195,1000.09186,1000.0896,1000.08527,1000.0787,1000.0696,1000.0607,1000.0472,999.935,999.9463,1000.0962,1000.26794,1000.23035,999.68274,998.92676,998.44324,998.41986,998.6689,998.9195,999.17883,999.4402
2025-11-10 02:35:55+00:00,2025-11-10 00:00:00+00:00,999.5491,998.666,997.2995,996.715,996.0485,995.64264,994.5493,994.7429,994.34766,994.15186,995.0413,994.255,994.55994,994.6818,993.8976,992.94885,991.6001,990.7208,989.74084,988.64746,988.6536,987.95337,987.9476,987.8426,988.7321,989.1746,988.8259,989.5346,989.5778,989.64233,989.8099,990.07794,990.4446,990.8289,991.81036,992.29987,992.8971,992.93225,992.36566,991.4656,991.20374,991.31116,990.9912,990.774,990.8444,991.2,991.79285,992.7852,993.77313,992.34814,992.8578,993.174,993.679,994.3706,994.87134,995.3563,995.47723,995.2071,995.12366,995.0271,995.42004,995.556,994.8065,994.05914,992.9978,991.82886,991.0533,990.67035,990.864,991.01495,991.3398,991.5112,991.4703,991.3257,991.69434,991.8897,992.1194,992.1667,992.4115,992.6046,992.6069,993.23865,993.1804,993.55005,994.36176,994.9507,995.09827,995.1132,994.7476,994.2597,994.43616,994.741,995.40125,996.0438,996.9953,997.77075,998.5352,998.8935,999.58514,999.95605,1000.13837,1000.32275,1000.7069,1000.98535,1001.3652,1001.7402,1001.91077,1002.4878,1003.08527,1003.79395,1003.5961,1003.54926,1003.08984,1002.3207,1002.0136,1001.98553,1002.1335,1002.3777,1002.5162,1002.7504,1002.8987,1002.8741,1002.865,1002.7592,1002.65137,1002.6425,1002.6425,1002.7548,1002.8741,1003.0805,1003.54956,1004.1059,1004.5033,1004.7756,1004.9839,1004.9753,1004.6344,1004.1746,1003.8867,1003.95557,1004.2922,1004.6307,1005.07605,1005.61993,1005.9724,1006.0353,1005.9067,1005.7852,1005.57623,1005.27747,1004.98114,1004.68475,1004.2897,1004.09454,1004.1886,1004.3818,1004.4045,1004.275,1003.9717,1003.557,1002.92395,1002.0822,1001.50653,1001.47424,1001.61145,1001.74994,1001.80475,1001.7625
2025-11-11 02:24:13+00:00,2025-11-11 00:00:00+00:00,985.3615,986.3681,986.6079,986.07166,985.7136,986.182,986.5494,986.0141,986.67505,987.8498,988.14185,988.14185,988.43604,988.5456,988.2688,987.8892,987.5949,987.58405,987.6695,988.0691,988.9387,989.42395,989.71136,990.4007,991.38434,992.078,992.3766,992.77606,993.2813,994.26715,994.7632,995.54486,996.2095,995.89307,995.9875,995.89087,996.0053,995.50757,994.7607,994.4945,993.6226,992.5657,991.4014,991.0103,990.80646,991.0835,991.045,991.21674,991.0984,992.2235,992.48,992.6542,992.75525,992.9164,993.23865,993.5392,993.6318,993.84436,993.9282,994.26306,995.0407,995.6251,995.5882,995.4412,994.6884,994.0808,993.8706,994.05365,994.3981,994.84094,995.49817,995.9663,996.44305,996.51776,997.19415,997.2513,997.41345,997.6898,997.9771,998.269,998.0714,998.37,998.65546,998.9449,999.57776,999.9451,999.8047,999.9402,999.4961,999.02106,998.8106,999.19305,999.66547,1000.0988,1000.6301,1001.1988,1001.48596,1001.4727,1001.5628,1001.3582,1001.15186,1001.1431,1001.13617,1001.3271,1001.3158,1001.502,1001.3923,1001.38324,1001.77606,1001.8254,1001.90125,1002.0464,1001.4095,1000.7461,1000.37036,1000.44745,1000.79895,1001.24713,1001.60266,1002.0545,1002.315,1002.28357,1002.05865,1001.84094,1001.6296,1001.52386,1001.32404,1001.1334,1000.8484,1000.6669,1000.4872,1000.3122,999.93713,999.36694,998.50024,997.6242,996.5396,995.2487,994.0611,993.0818,992.1051,991.12585,990.14014,989.0554,988.0697,987.1871,986.3066,985.5227,984.7388,983.9527,983.46515,983.27405,983.37933,983.78534,984.6916,985.798,987.0994,988.3988,989.7952,991.0904,991.98816,992.7852,993.7711,995.1374,996.6927,998.0521,999.218,1000.18665
2025-11-12 02:27:17+00:00,2025-11-12 00:00:00+00:00,988.8465,989.82135,990.2074,990.50635,991.4042,992.8818,993.3714,994.4246,995.3004,995.1028,995.0108,995.21063,994.9186,994.81384,994.2841,994.0799,993.40576,992.1577,991.08575,990.6088,990.6001,990.4649,990.73364,990.6021,990.77606,990.6599,990.357,990.6752,990.3766,990.3831,989.9879,990.16815,990.3657,990.78705,991.05286,991.6457,992.2363,992.3872,992.53796,993.15857,993.4616,993.5754,993.68036,994.1701,994.84283,995.4035,996.06696,996.6401,997.4134,998.9483,999.2159,999.4468,999.23157,999.3147,999.611,999.6989,999.59564,999.99084,1000.2851,1000.2806,1000.67804,1000.9331,1000.7046,1000.46027,999.70844,998.7397,998.24786,998.1402,998.38525,998.41046,998.9549,998.9285,998.70654,998.49554,998.0915,997.6986,997.3012,997.00256,997.20465,997.0005,996.8972,996.7872,996.675,996.86597,997.2655,997.12366,996.6079,996.0867,995.4425,994.69226,994.2238,993.72754,993.58624,993.5049,993.5254,993.6155,992.8229,992.12695,991.431,991.0401,990.16406,989.2879,988.69507,988.0935,986.401,985.50745,983.7378,982.65955,982.3696,981.805,981.0401,981.1453,980.8139,980.1936,980.08057,980.5584,981.4906,982.42664,983.3747,984.42505,985.1837,985.65393,985.83417,986.01666,986.1991,986.3815,986.6646,987.14557,987.62616,988.3069,989.0838,989.8607,990.6579,991.38715,991.93585,992.4757,992.7079,992.8348,993.13983,993.80786,994.75037,995.59796,996.5531,997.41125,998.1725,998.53845,998.8056,998.9806,999.2635,999.553,999.84705,1000.0446,1000.1478,1000.2487,1000.43726,1000.7245,1000.84406,1000.92065,1001.0276,1000.9154,1000.5698,1000.0071,999.61615,999.38635,999.2291,999.17676,999.2426,999.41345
2025-11-13 02:44:56+00:00,2025-11-13 00:00:00+00:00,992.5848,992.2818,992.6578,992.7521,992.6402,992.45135,992.3438,992.1593,992.73035,993.2199,993.3144,993.6108,994.2101,994.6749,994.96063,995.0034,995.12134,995.22424,995.29553,995.49316,996.3656,996.7975,997.3405,997.9029,998.5682,998.6692,998.37506,998.5792,998.67804,998.7571,998.8401,999.23535,999.62836,999.8215,1000.1157,1000.6075,1001.19806,1001.2469,1000.89526,1000.82916,1000.6466,1000.2536,999.85614,999.8499,1000.0258,1000.0854,1000.1512,1000.14026,1000.42554,1001.172,1000.7655,1000.4625,999.955,999.9597,999.75305,999.6142,999.93054,999.45013,999.2503,998.8438,998.84174,998.80975,998.3884,997.66986,996.91815,995.6679,994.60626,994.1016,993.8827,992.9207,992.69293,991.7971,990.925,990.0187,989.24524,987.82764,986.2424,984.53674,983.2654,981.7061,980.05634,978.5915,977.4291,976.75616,976.4766,976.41754,976.4629,976.11804,975.90234,975.64764,976.0451,976.768,978.00916,979.0375,980.0736,981.0275,982.0927,983.0527,983.7161,984.09796,984.3944,984.58984,984.96985,985.26624,985.35614,985.65027,985.96,986.3617,987.0225,987.50946,987.7741,988.10895,988.03375,988.34076,988.837,989.5051,990.45465,991.40625,992.36816,993.43097,994.4015,995.0821,995.66614,996.2545,996.7438,997.13684,997.62854,998.21704,998.8075,999.49475,1000.175,1000.7545,1001.4593,1002.2087,1002.88495,1003.4486,1003.59656,1003.53845,1003.6479,1004.0155,1004.55255,1005.1859,1005.81635,1006.4437,1007.0838,1007.6496,1008.0334,1008.4219,1008.6103,1008.8035,1008.9,1009.0951,1009.29517,1009.49274,1009.6789,1009.8673,1009.9867,1010.16656,1010.37897,1010.2687,1009.82214,1009.0575,1008.5656,1008.5396,1008.6876,1008.83295,1008.9714,1009.00574
2025-11-14 02:28:27+00:00,2025-11-14 00:00:00+00:00,999.25476,999.53174,999.5892,1000.0547,1000.03925,1000.138,1000.0304,1000.2255,1001.22046,1001.5124,1001.70996,1002.2015,1002.78766,1003.1439,1003.30383,1003.33624,1002.86804,1002.3976,1002.0988,1002.19354,1002.4686,1002.1049,1002.1559,1002.204,1002.69794,1002.1905,1001.692,1001.2968,1000.99835,1000.9961,1000.6975,1000.59656,1000.0059,999.3122,998.8204,998.52185,998.524,998.0698,997.1254,996.2711,995.32587,993.8802,992.7156,992.0218,991.2184,989.9149,988.4887,987.3052,986.31305,987.23914,985.4412,983.91595,981.8541,980.27985,978.9116,977.55,975.8875,975.1035,974.61163,974.7272,975.2973,975.83923,976.12964,976.05743,976.13574,976.1072,976.3249,976.77515,977.6584,978.39386,979.4315,980.57623,981.3515,982.0018,982.4691,982.75696,982.9545,983.3407,983.63275,984.1289,984.4144,984.7062,984.9058,985.3998,985.89624,986.3595,986.6246,987.26056,987.4798,987.59344,987.9048,988.58154,989.64044,990.9697,992.4125,993.58704,994.5703,995.2532,995.74274,996.53094,996.82074,997.0136,997.71423,997.91614,998.4167,999.01605,999.2159,999.5101,1000.50024,1001.26483,1001.7363,1001.8846,1001.72565,1001.9447,1002.4514,1002.9178,1003.4571,1004.0924,1004.7229,1005.44696,1006.08704,1006.5586,1006.949,1007.2408,1007.434,1007.62683,1007.82227,1008.0154,1008.2085,1008.5001,1008.7851,1009.16876,1009.49023,1009.87476,1010.3897,1010.5803,1010.4238,1009.94476,1009.74066,1009.90155,1010.2359,1010.57434,1010.8197,1011.1657,1011.4261,1011.7066,1012.00305,1012.1018,1012.00305,1011.8077,1011.7066,1011.79645,1011.8818,1012.0701,1012.1529,1012.337,1012.35754,1012.3467,1012.17053,1011.9681,1011.52356,1010.9564,1010.5592,1010.4217,1010.3545,1010.39197,1010.44226,1010.4989
