forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:25:38+00:00,2025-11-05 00:00:00+00:00,194.62091,216.25392,273.814,257.90524,241.69934,226.97493,180.0,216.38445,201.4478,197.81898,187.85323,189.46225,186.1154,165.2564,193.39252,205.34613,206.56499,158.19853,175.91446,164.05453,151.69934,147.99466,145.30478,73.300674,104.93147,153.43501,180.0,199.9832,198.43504,231.34016,283.0919,281.43365,289.44012,297.5119,299.4071,296.56497,297.47433,297.0308,298.67307,297.5527,301.21835,300.8276,304.15976,311.18582,307.6263,305.07382,308.2902,298.92633,296.56497,299.5387,280.30478,273.57626,287.1028,279.46225,253.30067,250.0168,243.43501,243.43501,234.46223,212.00534,198.43504,180.0,188.13002,192.99461,186.3401,196.58742,196.26028,191.09369,189.63747,191.113,207.55272,215.09589,211.60745,209.0545,215.70677,206.56499,209.0545,201.16133,196.50444,193.49574,189.0902,191.30989,212.00534,180.0,184.39862,174.80566,194.03627,234.46223,276.70975,285.25516,288.43503,299.74478,296.56497,281.3099,288.43503,274.76355,282.5288,288.43503,338.9624,322.43134,336.8014,341.56494,344.05453,351.87,10.304792,21.037588,23.962492,44.999897,39.805527,333.43503,41.63345,67.3801,84.2895,83.41815,74.931465,66.2505,53.972538,44.999897,41.82009,43.26433,43.02507,34.50859,22.380184,7.59456,339.44388,255.96373,237.26477,244.44008,254.74483,258.9591,259.69522,259.69522,261.15826,263.01904,265.68405,267.95465,268.99493,271.023,271.023,270.0,266.98727,264.98697,263.88458,263.77426,262.33328,256.82745,249.14546,242.24155,241.07367,241.69934,242.30061,240.57263,237.0306,232.59457,226.00499,217.74687,217.74687,229.68597,243.9247,250.6651,250.9743,249.44386,247.4569,247.06787,247.61981,248.19853,248.19853,247.61981
2025-11-06 01:13:16+00:00,2025-11-06 00:00:00+00:00,47.290634,48.814175,255.96373,200.22495,201.80147,265.42615,288.43503,298.30066,302.61923,301.21835,180.0,234.78232,252.64589,292.24908,293.86017,296.56497,291.94876,290.64706,296.56497,295.74066,289.79895,280.78424,255.52966,257.66092,239.74365,239.0363,258.6901,255.37909,243.43501,224.9999,240.2552,252.3498,256.60748,229.39879,188.53069,171.86998,171.46931,173.99109,188.74608,187.90707,188.32556,178.66782,181.12328,193.44862,188.97255,193.57045,197.24155,206.56499,213.11136,212.73521,211.42952,214.04597,216.86998,214.59235,210.65059,206.56499,201.37068,201.25058,196.38962,212.00534,220.60121,187.59456,242.10283,261.11942,252.64589,238.17259,255.96373,264.64426,264.55975,273.814,270.0,284.03625,318.36655,333.43503,343.3007,355.23645,349.69522,14.036275,36.027473,48.01287,44.999897,26.564985,6.3401003,41.63345,48.366554,41.98713,47.72637,26.564985,40.601215,46.73567,47.290634,19.290138,47.489597,35.217674,52.124958,58.570484,57.99466,19.653913,360.0,16.389616,3.5762644,18.435053,57.528828,360.0,9.462248,54.46224,11.3098955,344.05453,118.30067,341.56494,106.699326,203.9625,217.23491,231.34016,245.69547,254.05453,265.36462,271.46878,270.0,267.33704,263.51703,260.53775,258.6901,258.11136,259.82455,263.04712,267.3975,272.43658,275.7105,277.81522,275.82623,270.0,263.79663,257.5926,253.39293,252.96214,258.0239,264.95764,270.0,271.90912,271.1691,271.3639,272.66293,273.57626,271.14572,263.51703,249.62347,237.65257,239.30035,247.1663,249.90468,244.05775,232.81522,221.34767,211.60745,201.03758,198.43504,210.37904,223.09087,230.04251,232.88306,233.97253,235.0079,238.49579,242.10283,244.09354,242.02061,235.30478
2025-11-07 01:10:32+00:00,2025-11-07 00:00:00+00:00,238.57048,233.13002,243.43501,254.05453,246.0375,194.03627,193.39252,191.30989,182.72626,177.13765,180.0,175.60138,190.78426,189.0902,194.93147,197.35411,194.03627,181.63654,175.81517,173.04713,166.37299,129.80553,121.75944,148.73633,158.80588,166.93068,169.43904,174.05324,178.66782,180.0,186.98096,182.60251,180.0,172.40544,180.0,189.78233,187.85323,204.62355,237.65257,262.0566,277.2749,267.27374,280.954,277.49576,283.627,279.09018,286.38962,301.60745,304.69522,312.70938,334.98312,333.43503,315.0001,310.60123,270.0,315.0001,360.0,44.999897,78.6901,75.96373,90.0,101.3099,120.256355,110.55613,104.03627,118.30067,130.23628,120.65059,124.69522,97.853226,66.2505,75.96373,76.75947,66.5713,58.392544,54.46224,43.26433,14.036275,4.763556,10.007925,11.76827,2.6025116,84.2895,319.39877,309.28937,293.1986,296.56497,315.0001,284.74362,288.03436,291.25058,296.56497,292.5206,298.21725,300.7354,294.56717,293.83875,288.8248,292.0363,294.56717,291.80148,285.52417,281.59213,284.4208,280.30478,272.9356,270.0,271.24533,274.76355,278.13,280.73883,282.72437,282.1549,278.00464,273.63287,266.93356,256.55136,246.44772,245.22488,248.68202,249.44386,239.85869,220.81499,201.80147,195.06854,196.50444,199.65392,205.1148,209.57774,212.38066,212.38066,210.96368,211.18492,214.77791,219.47243,225.90929,236.3099,245.46228,250.20103,248.40463,241.29414,235.22209,230.38934,224.9999,223.45189,228.99101,234.63745,239.9315,242.8504,247.1663,250.64091,252.03076,253.0091,254.47583,260.53775,266.82022,273.01273,276.48297,277.66672,278.8203,281.49652,285.4222,288.74142,291.03757,293.05133,293.83875,294.22772,292.83368
2025-11-08 01:03:03+00:00,2025-11-08 00:00:00+00:00,155.82089,159.67677,167.4712,164.24876,172.56868,174.92049,185.19434,191.76826,188.13002,185.04236,180.0,173.6599,192.09474,205.55992,249.44386,272.20255,275.38922,273.01273,284.93146,305.39487,303.6901,300.96368,313.66785,304.3804,273.3664,254.05453,224.9999,198.43504,194.03627,180.0,171.86998,190.00792,158.19853,123.6901,48.366554,23.198618,50.194473,46.8476,46.636536,43.53127,62.525658,67.83361,60.64234,94.635376,86.729576,81.86999,75.61857,69.27436,64.8852,64.35905,86.98728,102.5288,99.46225,90.0,75.57919,71.075264,60.64234,50.194473,19.653913,31.328646,9.462261,8.97255,348.6901,347.00537,356.6336,37.875053,333.43503,270.0,310.60123,275.7105,290.55612,283.67133,292.5206,285.3763,286.31393,278.13,271.54813,268.4089,270.0,261.2539,260.53775,257.19574,253.30067,254.74483,263.15732,266.82022,275.7105,277.8532,273.63287,275.6175,278.88058,270.0,267.70944,268.8309,272.54474,277.66672,278.58353,275.19434,279.81924,276.98096,271.1691,266.186,259.82455,250.55988,240.4613,231.34016,230.44037,210.57915,192.99461,199.53674,205.1148,209.35765,218.23386,215.39488,218.65984,218.15727,215.75398,214.82455,216.02747,217.30403,223.53127,234.24602,244.8852,252.03076,254.87593,256.75946,259.046,260.53775,259.8754,259.1145,254.05453,243.43501,240.2552,255.2564,267.87894,273.3664,271.5074,267.20737,264.55975,265.91446,270.0,273.01273,276.5197,280.6196,283.13403,285.4222,285.4222,286.6993,289.53674,292.1095,295.8663,299.93143,303.6901,306.02747,305.36255,303.23172,304.15976,307.74686,311.53168,314.23618,317.1211,319.82083,321.78894,321.9529,320.85602,320.4774,320.0425,319.39877
2025-11-09 01:08:14+00:00,2025-11-09 00:00:00+00:00,298.0724,360.0,199.9832,258.6901,239.74365,218.65984,145.0079,101.3099,153.43501,59.03632,46.54811,279.86575,44.999897,22.93213,37.234917,55.0079,69.62349,60.068577,91.59111,87.33706,74.98159,68.45896,68.68202,78.178535,75.677246,79.31514,79.919464,91.21885,96.952866,91.97489,75.37909,35.217674,38.290207,7.12493,42.878906,36.86998,311.82007,55.0079,35.537766,26.564985,16.389616,331.69934,7.12493,209.7448,233.13002,71.564964,168.69011,199.9832,257.4712,270.0,281.3099,290.22495,294.10223,292.06796,297.12122,292.5206,290.22495,281.00348,274.28906,270.0,273.90042,279.09018,284.7968,290.89783,295.30136,293.9625,289.3846,284.5002,290.3232,289.0578,287.78397,284.85864,283.53586,286.96622,288.12195,283.53586,279.27252,279.09018,279.27252,267.20737,258.9965,241.69934,233.53067,241.55717,224.9999,214.9921,224.9999,226.12321,226.08084,224.9999,231.58191,235.30478,224.9999,210.96368,216.86998,233.13002,201.03758,186.3401,203.9625,228.36655,255.06853,265.10098,263.29025,259.69522,263.6599,261.11942,267.33704,255.06853,265.23645,279.86575,279.65982,290.69553,292.0363,288.43503,287.74475,286.5874,284.34937,283.32455,282.33908,283.49576,284.03625,284.74362,283.39252,284.6209,289.79895,292.47946,295.82092,296.56497,295.8663,296.56497,297.21603,299.0545,301.86594,307.56866,312.1375,315.64368,318.73148,320.64825,321.89236,321.20343,319.39877,317.54483,317.02136,317.17474,315.78473,313.31537,310.46216,308.45374,308.45374,309.64413,310.60123,310.46216,310.1559,308.8845,307.74686,306.57312,306.02747,308.08884,310.60123,312.97864,315.0001,318.62158,321.17017,322.22424,322.43134,321.91116,320.35587,318.69147
2025-11-10 01:13:30+00:00,2025-11-10 00:00:00+00:00,46.90914,42.436188,8.365798,2.0453732,30.256361,25.90646,21.801476,12.99463,7.7650824,30.963696,303.6901,44.999897,289.9832,281.3099,5.7105074,54.782326,50.710617,54.865723,39.805527,66.37061,24.775122,125.537766,231.84273,140.71062,243.43501,214.50858,231.58191,239.0363,220.36446,231.009,240.94548,240.2552,233.53067,230.38934,226.2188,224.9999,221.00899,228.99101,243.9967,243.43501,234.11777,240.25522,241.0491,279.1301,280.49142,286.50443,283.29858,284.03625,285.17297,289.0257,282.09473,278.27582,281.49652,279.81924,274.48453,271.39716,257.66092,243.43501,233.53067,239.03632,228.01286,217.56866,230.38934,235.40765,236.3099,239.30035,237.17146,237.65257,241.69934,246.0375,244.65387,224.9999,232.12495,231.34016,245.55606,259.69522,274.76355,267.3975,244.98314,255.2564,274.57382,273.3664,274.23633,258.23172,263.15732,268.45187,274.39862,279.68872,294.10223,311.18582,307.40543,304.07724,304.1145,301.21835,298.61035,299.1974,295.90643,298.61035,298.30066,296.56497,299.0545,295.7099,299.24872,301.32864,301.32864,298.61035,301.4295,296.56497,289.44012,289.9832,302.47116,305.83774,308.08884,309.20718,309.3693,311.30853,316.16904,321.34018,323.13,320.7106,315.0001,311.18582,307.87503,308.65982,318.01288,330.25522,336.3706,339.44388,342.64587,341.56494,336.8014,331.69934,327.26477,327.09476,329.42084,330.01843,328.17258,324.63745,322.85324,322.59457,322.85324,323.13,322.52374,319.7637,317.6026,316.5481,316.8476,315.0001,315.0001,310.2363,310.2363,310.2363,315.0001,317.29062,317.29062,312.70938,315.0001,322.59457,330.25522,333.43503,328.67136,318.1799,310.10083,307.87503,310.91428,315.0001,325.30478,334.98312
2025-11-11 01:06:23+00:00,2025-11-11 00:00:00+00:00,222.70937,265.91446,275.5721,271.273,272.6025,262.0566,251.56496,228.81418,235.49141,239.9315,242.10283,245.77226,251.20001,250.49745,251.89613,254.05453,251.30092,252.09546,254.05453,256.93066,257.692,255.71887,257.24246,253.61038,256.2005,255.71887,257.90524,265.1561,265.38943,270.0,265.76367,261.08514,254.62369,243.43501,226.54811,197.6502,195.94547,196.69933,197.52567,194.38142,195.94547,195.75124,192.5288,248.74942,250.55988,252.64589,248.74942,236.3099,233.13002,235.0079,236.3099,267.27374,257.19574,244.7989,243.43501,239.0363,237.38077,248.5522,276.78888,285.52417,278.61557,264.2895,276.0089,280.71307,282.5288,291.318,288.88617,289.6539,282.68036,281.3099,283.32455,280.4374,282.99463,288.8248,300.06848,299.57773,295.90643,293.80594,290.37653,290.37653,290.72565,295.27768,297.21603,293.80594,299.74478,306.3269,307.34943,312.70938,315.0001,316.5074,317.2312,313.26434,316.73566,316.9749,318.36655,317.0454,315.0001,314.0907,312.27362,312.3574,312.4362,314.16977,314.19315,313.31537,309.64413,311.18582,311.18582,314.02905,313.09085,313.26434,315.70724,319.60016,320.90613,322.59457,320.77435,320.1945,318.36655,317.1211,315.78473,315.0001,315.0001,313.66785,315.0001,315.0001,310.2363,306.86996,303.6901,302.47116,307.87503,311.18582,310.60123,320.1945,323.13,90.0,128.65984,131.63345,135.0001,135.0001,135.0001,132.70937,126.86998,122.471176,116.56499,110.55613,98.13002,90.0,80.53775,71.564964,56.309914,39.805527,23.198618,350.53775,309.8055,301.60745,306.86996,311.72943,313.72705,315.59058,317.95087,319.7637,320.30096,320.94687,320.94687,320.4119,319.30457,318.9006,318.7154,319.39877
2025-11-12 01:08:18+00:00,2025-11-12 00:00:00+00:00,270.0,283.1906,274.08554,272.00952,264.98697,260.18076,258.6901,254.05453,213.6901,207.97939,213.31064,205.40767,201.16133,192.20045,190.43742,194.7436,204.77512,205.97433,218.41809,216.15828,220.0302,218.04709,210.57915,206.56499,197.81898,193.57045,177.70944,182.3859,186.58185,195.6423,203.19861,212.47118,231.7098,232.59457,204.22774,195.94547,200.85454,216.86998,271.46878,274.96964,276.98096,277.59454,272.3859,305.21768,304.07724,304.50858,302.82855,301.1849,302.57404,302.00534,297.75842,303.02386,299.1974,297.75842,301.60745,301.86594,301.86594,303.34073,302.6609,306.11945,305.0959,308.48022,311.08167,315.0001,316.3971,319.18503,318.53238,315.78473,308.48022,308.08884,312.18436,314.02905,311.98712,311.98712,308.8845,308.65982,309.9575,307.97165,311.2846,310.23627,313.26434,315.97092,316.08084,321.5819,311.98712,314.16977,317.17474,315.0001,307.23492,303.43988,305.88223,306.86996,303.6901,305.21768,299.24872,293.9625,292.24908,292.83368,295.01685,281.3099,276.3401,276.3401,259.69522,251.56496,165.96373,224.9999,138.36655,198.43504,175.60138,180.0,305.53775,291.80148,265.91446,265.23645,279.7275,281.82147,284.57425,286.79846,288.77814,291.57138,292.83368,289.74692,283.39252,280.08054,279.86575,281.3099,282.5288,283.7363,285.25516,286.46008,287.2816,286.92758,288.43503,290.80685,294.77512,296.56497,297.37762,298.5399,298.96756,299.14798,300.01828,299.8988,298.3929,295.90643,292.98874,292.751,291.80148,291.4478,287.74475,280.30478,273.01273,270.0,270.0,265.60138,251.56496,236.3099,238.39255,263.29025,284.6209,295.7099,297.3498,298.88647,298.1785,298.4428,300.06848,305.53775,315.0001,324.46225
2025-11-13 01:25:42+00:00,2025-11-13 00:00:00+00:00,182.60251,194.03627,183.94511,189.46225,182.4895,188.74608,190.3048,184.76355,219.55963,236.3099,224.9999,219.47243,214.3804,215.53777,271.78986,281.3099,278.97253,284.38144,290.72565,287.44727,292.6199,289.0936,270.0,282.5288,290.77234,284.5345,270.0,206.56499,222.70937,224.9999,217.56866,218.65984,217.87505,194.03627,168.69011,180.0,227.72638,278.13,304.9921,309.98682,306.60718,307.87503,307.11694,320.79282,318.36655,312.3574,313.1524,307.40543,309.28937,307.47626,305.31128,303.6901,301.32864,303.11136,306.38446,296.56497,300.96368,303.23172,305.53775,298.1785,304.28693,308.65982,311.7602,308.15726,297.75842,298.49554,296.56497,293.9625,284.47034,287.52567,277.59454,262.8751,240.2552,224.9999,260.53775,116.56499,129.80553,165.96373,163.30067,135.0001,143.13002,163.30067,233.13002,270.0,264.2895,259.69522,250.9743,262.8751,274.46707,274.3322,279.0578,286.7827,306.86996,295.46332,286.88687,283.34872,284.5002,287.47485,286.5874,276.3401,275.0795,276.20334,271.33218,267.20737,264.14407,260.53775,260.78903,261.02747,270.0,265.81516,270.0,270.98773,272.72626,277.47147,280.56094,281.88864,281.5138,281.94415,283.24054,284.30032,284.57425,284.32275,282.80426,281.0409,279.92618,278.53067,277.1249,276.0089,273.17978,271.68463,270.0,270.0,274.39862,283.13403,291.25058,296.56497,299.29126,302.00534,303.34073,302.15228,298.7397,295.7099,296.56497,297.8972,301.60745,303.6901,303.6901,301.60745,298.30066,289.6539,285.94547,284.93146,284.03625,284.03625,284.93146,285.94547,293.1986,307.40543,315.0001,318.12222,316.90915,314.02905,313.0251,315.0001,321.07245,324.6887,321.70978,306.25394
2025-11-14 01:08:53+00:00,2025-11-14 00:00:00+00:00,249.77505,252.64589,243.43501,237.99466,231.84273,242.10283,261.46933,261.02747,248.96242,200.55612,135.0001,185.7105,199.9832,234.46223,302.82855,304.69522,312.58044,308.65982,307.47626,277.69595,301.86594,297.4075,293.49857,289.44012,282.5288,295.34613,296.56497,294.62354,285.06854,297.2995,294.77512,287.52567,290.85452,297.97937,299.0545,296.56497,295.94223,295.90643,288.88617,289.6539,290.55612,287.52567,275.85593,293.80594,285.94547,276.70975,284.03625,258.6901,213.6901,230.71062,290.55612,167.00539,153.43501,127.875046,119.74479,135.0001,180.0,333.43503,270.0,246.0375,234.46223,281.76825,282.80426,281.5601,273.12207,273.17978,270.0,288.77814,281.49652,296.56497,296.56497,283.39252,293.9625,288.43503,281.59213,276.63242,273.9908,268.6361,267.0644,270.0,264.14407,258.0239,261.2539,262.8751,262.8751,268.66782,271.14572,274.31595,278.97253,280.92276,282.63336,284.99512,285.52417,287.74475,286.26028,283.49576,284.85864,281.3099,279.24603,275.7105,273.46817,275.7105,273.57626,275.35574,277.90707,276.0089,275.5721,273.094,270.0,273.3664,278.84174,282.4074,289.0936,294.2744,291.3707,293.70264,293.9625,295.01685,291.80148,286.6993,276.70975,270.0,270.0,270.0,273.814,278.13,282.09473,282.09473,277.59454,277.59454,277.59454,278.13,284.03625,294.44394,300.96368,304.43906,308.8534,311.63345,314.11868,313.95847,310.60123,304.50858,293.1986,282.99463,274.39862,270.0,273.57626,276.70975,283.24054,289.44012,292.3802,289.44012,287.3541,284.03625,281.3099,278.13,284.03625,294.44394,300.1413,304.046,308.2902,312.58044,315.83023,317.91092,318.991,320.52756,319.39877,315.0001
