forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:27:06+00:00,2025-11-05 00:00:00+00:00,877.0318,876.6333,875.7151,876.3017,876.2589,875.17566,875.03973,874.9518,874.49255,874.7095,874.07654,873.8075,873.82947,873.83624,874.9106,878.169,881.0338,881.5651,880.8191,881.38226,881.50366,881.50366,881.5106,880.74817,879.2207,878.5236,878.18225,877.6155,876.5711,876.248,875.6469,874.92914,873.9274,872.55585,871.72815,871.48505,871.25745,870.68335,871.18665,872.6517,875.7553,876.5164,876.2781,873.43976,872.18976,871.5147,870.9273,870.59174,870.4449,870.3664,870.1559,870.8439,871.36505,871.10724,870.8909,870.52295,870.5603,870.0345,869.952,870.4396,871.04846,871.9661,873.2859,874.63354,875.38,875.6243,875.0606,874.1914,873.4044,872.6863,872.3375,871.6765,870.52167,870.99084,871.5918,871.91296,872.0615,872.1209,871.9237,871.4701,871.20886,871.0807,870.7108,870.4907,870.5549,870.8662,871.58997,872.31726,872.1158,872.49457,872.3004,871.7017,871.4458,871.93665,872.3375,873.3304,874.53534,875.80286,876.8941,878.40375,879.783,880.70624,881.0492,881.7067,882.9331,883.95764,883.55786,884.45294,885.25555,885.6397,886.3745,887.7569,888.45825,888.8306,888.84186,888.3862,887.55145,886.80334,886.23755,885.7289,885.5458,886.0532,886.84863,887.4948,887.7244,887.8428,887.7741,887.6055,887.2887,886.9103,886.3859,885.79956,885.5054,885.7572,886.31616,886.60095,886.21875,885.5417,884.6991,883.76807,882.78033,881.78644,880.8524,879.9898,879.48224,879.5611,880.0297,880.26514,880.16656,880.0112,879.7068,879.3559,879.0283,878.6147,878.10803,877.6244,877.38007,877.7052,878.2549,878.53406,878.2139,877.6112,876.81396,875.87286,874.819,873.9157,873.234,872.7393
2025-11-06 01:14:57+00:00,2025-11-06 00:00:00+00:00,880.67,878.17566,877.4868,877.5293,876.6392,876.4305,874.55597,874.05756,873.62616,873.42786,872.3687,871.978,871.4932,871.047,870.6894,872.5942,875.37024,876.0594,875.77405,875.48444,874.78973,874.50525,874.46356,873.5701,872.04315,871.6729,871.1148,871.22,871.11285,871.0068,870.74225,870.9954,870.9748,870.87573,871.1748,871.3205,871.42914,871.6913,872.35596,874.6611,876.2831,877.2713,877.3618,874.1462,873.18677,872.5739,871.94415,871.2418,870.2423,870.95184,870.88226,871.0517,871.2869,871.71844,871.1544,870.546,870.2822,869.88995,869.35034,869.28876,869.6364,869.79803,870.3824,871.4274,871.711,872.00354,872.18536,872.39813,872.7752,873.4277,873.9495,874.2151,874.7508,875.91724,877.13477,878.146,879.1228,880.2165,881.5025,883.1444,884.4976,885.47943,885.8532,887.0013,887.69574,888.34845,889.6346,891.2748,891.83844,891.8893,891.6182,890.74164,889.638,888.82184,888.68976,888.7596,887.7508,888.74,888.75964,888.97626,889.19037,888.604,888.532,888.38525,888.6305,888.10345,887.871,887.7729,887.5276,887.356,887.57434,888.5829,888.4607,887.7136,886.81506,885.7186,884.4137,883.2918,882.48096,881.8032,881.3986,881.41345,881.7348,881.91144,881.9048,881.77905,881.5438,881.10693,880.67004,880.263,880.04065,879.9955,879.86835,879.71564,879.51953,879.26624,878.9273,878.47406,877.8202,876.8114,875.611,874.63074,873.8248,873.1358,872.63916,872.4019,872.3005,872.2796,872.3108,872.52466,872.67456,872.7795,872.88403,873.12006,873.4198,873.7192,874.22217,875.0357,876.1122,876.8214,877.17993,877.15424,877.00586,876.5283,875.87787,875.1425,874.3353,873.5238
2025-11-07 01:12:10+00:00,2025-11-07 00:00:00+00:00,871.0897,870.0748,869.1414,869.66486,869.6452,870.35675,869.7963,870.5269,871.11096,872.34143,870.7896,870.2141,869.97687,870.90173,872.00903,874.4275,876.0351,877.23126,877.2522,876.89984,876.437,875.86835,875.4748,874.85236,873.1029,871.9075,871.2243,870.1702,869.6434,869.98816,869.6509,868.9041,868.31934,868.76855,868.58966,868.1332,867.3278,868.0675,869.4323,872.41864,875.2838,877.1192,876.94934,872.8444,872.6482,873.12354,873.73474,874.0452,874.50665,875.47034,876.15045,877.2224,878.7494,880.14026,880.995,882.25354,883.55945,884.6022,885.2137,885.78876,886.34875,886.6699,888.0764,889.6815,890.3169,890.7036,890.48315,889.3161,888.4872,888.3242,888.41046,888.401,887.06274,888.67413,888.35767,888.23035,888.44403,888.7532,888.4748,888.70795,888.2703,887.9176,887.3183,886.73047,886.36316,886.4847,886.71216,886.9603,886.32794,885.3962,884.3577,883.0856,881.8638,880.87335,880.1383,879.5245,879.0433,879.26526,879.34064,879.4322,879.4376,879.0595,878.4912,877.9461,877.4007,876.95856,876.57916,876.5894,876.66266,876.318,876.11835,876.3542,875.94543,875.1471,874.5193,873.8742,873.1957,872.6119,872.2201,871.9328,871.8986,872.2308,872.7231,873.20764,873.521,873.8603,874.22156,874.5597,874.81067,875.0841,875.1798,875.2519,875.6193,876.631,877.911,878.84515,879.29767,879.48944,879.2724,878.68585,877.80316,876.9643,876.1578,875.3635,874.94934,875.2215,875.84357,876.4432,876.75806,877.09344,877.19135,877.0336,876.7485,876.5493,876.32275,876.11804,876.2954,877.3149,878.81525,879.85315,880.2514,880.19934,879.8975,879.31036,878.4228,877.53864,876.58563,875.6011
2025-11-08 01:04:34+00:00,2025-11-08 00:00:00+00:00,873.1008,872.0419,869.8496,869.7307,869.4135,869.20514,868.7292,868.53076,868.2983,868.68787,868.37585,867.89294,867.5274,867.6493,868.4299,871.1661,875.1553,876.12946,876.9941,877.38293,877.3396,877.38293,877.4048,877.0149,875.8915,875.6437,875.777,875.928,876.7696,877.10974,877.51794,878.46844,879.63477,880.8079,881.84753,882.183,883.2741,883.9724,884.3764,886.47064,887.82043,888.8063,889.2672,888.9145,888.391,888.0758,887.7528,887.7006,886.11536,887.10974,888.2124,888.1643,887.91516,887.7429,887.6402,887.2887,887.3153,886.7163,886.4847,886.4361,886.1799,886.00836,886.1753,887.0236,886.5021,885.8048,884.9552,883.5258,882.47424,881.4174,880.6823,880.0068,879.32855,879.45514,879.2779,879.00134,878.7469,878.2869,877.92633,877.61176,877.2044,876.33124,875.6094,875.66693,875.5332,875.6194,875.36926,875.018,873.95715,873.8864,873.5895,872.3175,871.3236,870.877,870.43207,870.26465,870.06714,871.12714,871.65594,871.7622,871.66113,871.4497,871.79987,872.7462,873.3032,874.03076,874.507,874.4566,874.3394,874.6398,876.2129,878.53406,879.29767,879.4466,879.2959,878.77264,878.01807,877.2826,876.7292,876.1343,875.8837,876.1354,876.744,877.13104,877.08905,876.9437,876.6705,876.3787,876.0463,875.7824,875.5814,875.4033,875.58704,876.2856,877.16486,877.8464,878.043,877.84564,877.4972,876.7815,875.7703,874.97327,874.4817,874.12195,874.06757,874.3906,875.01117,875.52246,875.7993,875.9499,876.0559,876.0064,875.82513,875.6428,875.39185,875.0303,875.0482,875.71,876.6622,877.39984,877.6122,877.5621,877.29425,876.7988,876.17255,875.4261,874.4353,873.4116
2025-11-09 01:09:43+00:00,2025-11-09 00:00:00+00:00,876.46387,875.7054,875.63574,877.16516,878.0233,878.43414,879.5731,880.1503,880.5215,881.24713,881.68677,883.0021,883.7879,884.4991,885.3684,887.61346,889.0895,890.10913,889.9856,890.23236,890.55206,890.08484,889.19965,888.4774,887.38666,887.13367,886.83026,886.38116,886.46027,886.6637,886.32367,885.8826,885.09766,884.4204,883.8185,883.0311,882.3497,882.1945,882.3051,885.45996,887.0399,887.6012,887.4149,885.0569,883.9203,883.1448,882.4961,881.9266,881.3938,881.39075,881.5054,881.30426,881.0339,880.75226,880.56323,879.8853,879.07477,878.3101,877.74396,877.46387,877.0564,877.0379,877.17944,876.72437,875.4686,874.99384,874.8564,873.51715,872.40894,871.60736,871.1583,871.00745,871.1225,871.94885,872.45996,872.6633,873.0715,873.51764,873.79126,873.842,874.0688,874.3348,874.3591,873.8628,874.3558,875.1432,876.4823,878.45306,878.7134,878.73615,878.531,877.6257,877.02423,876.6252,876.3026,875.861,874.44904,875.5104,876.2833,876.9703,877.4902,877.44183,877.44183,876.95825,876.73834,876.58813,876.35156,876.39056,875.9015,875.6953,876.1153,877.8711,877.9343,877.6914,877.3195,876.33624,875.15094,874.1196,873.5312,873.1878,872.97504,873.2215,873.6135,873.87354,873.78516,873.566,873.21686,872.8242,872.3887,871.9311,871.4701,871.07227,870.919,871.2505,871.73846,872.03204,871.88336,871.49,870.8842,869.8975,868.7071,867.8189,867.33,867.02747,866.90485,867.1561,867.59625,867.8387,867.733,867.3237,867.0651,866.87067,866.7193,866.5257,866.15955,865.83386,865.54926,865.5906,865.8495,865.8933,865.74365,865.46515,865.2722,865.16504,865.14417,865.2517,865.53033,865.9547
2025-11-10 01:15:10+00:00,2025-11-10 00:00:00+00:00,886.0796,885.8582,884.5682,884.2486,884.8353,885.23755,883.2313,883.36945,883.26227,882.34357,881.1679,880.54144,881.00586,881.4208,881.88873,883.98157,885.6808,886.27155,886.86053,886.86884,887.01404,886.5871,886.2208,885.32965,883.1803,882.002,881.17816,880.1902,879.23737,878.98694,878.3775,877.3922,876.3743,875.2076,874.21686,873.81146,873.30115,873.19165,873.5108,875.7666,877.6117,878.1609,878.4185,873.8027,873.01135,872.67285,872.383,872.11365,872.16364,872.9651,873.2778,872.6933,872.91693,873.2616,873.3025,873.266,873.67377,874.12726,874.5755,875.22406,875.5507,875.7192,877.05566,878.5919,879.4493,879.7704,879.4061,878.4212,877.46454,876.7143,876.39935,875.65875,875.12506,875.6364,875.95416,876.1176,876.10626,875.8341,875.32794,875.1518,875.1066,875.0656,874.57086,875.227,874.4059,874.8027,875.41614,875.92267,875.7075,875.28015,875.0092,874.46204,873.3895,872.7155,872.21027,871.5407,870.98926,871.0202,871.2582,871.12805,870.56256,869.9313,869.4099,868.7802,868.36444,867.99255,867.4698,867.01074,866.43933,866.1101,866.25433,867.62805,868.30237,868.0882,867.2988,866.227,864.8268,863.66394,862.9619,862.5078,862.2555,862.1382,862.1662,862.32416,862.6972,863.21985,863.5026,863.3717,862.99866,862.6211,862.1496,861.758,861.6277,862.04834,862.8227,863.3667,863.40375,863.29346,863.0014,862.6121,862.04266,862.0082,862.58734,863.6955,864.79474,866.0572,867.4001,868.42633,868.9317,869.1194,869.0858,868.7441,868.28925,867.9248,867.8488,867.8667,868.1722,869.0546,870.2809,871.1881,871.51294,871.5707,871.36945,870.8734,870.21484,869.50366,868.8422,868.1106
2025-11-11 01:07:50+00:00,2025-11-11 00:00:00+00:00,880.2568,879.6733,878.18884,877.6962,876.984,877.1998,875.99854,874.77466,873.54785,873.30896,872.5909,872.0938,871.62665,872.02386,872.67694,874.8779,876.3199,876.086,877.63354,877.3914,877.6534,877.77386,877.7483,876.6949,875.5729,874.9188,873.0893,872.38635,872.0753,872.3035,871.927,870.9669,870.33777,870.3297,871.4627,871.5637,871.2605,871.7185,872.9214,875.1641,877.6541,879.30457,880.12787,878.88385,878.15485,877.4301,877.10754,876.4251,875.5799,876.22314,876.80145,876.87946,876.8693,876.9332,876.975,876.8663,877.5985,876.85236,876.2459,876.0287,875.83093,875.7612,876.30994,877.0923,876.8968,876.49286,876.5005,875.841,875.02325,874.46173,874.21204,873.68,873.36383,874.1927,874.3491,874.3036,874.2982,874.09906,873.8561,873.63715,873.43994,873.1733,872.7139,872.62134,872.5988,873.0811,873.6962,874.3028,874.2566,873.8867,873.0808,871.9694,870.95447,870.1529,869.66266,869.0055,868.4351,868.9408,869.37604,869.87103,870.00116,869.1838,868.4262,868.1655,867.9032,867.88,867.223,866.9773,866.7492,866.5255,866.8383,868.2525,869.4559,869.97,869.5653,868.8731,867.65045,866.65985,865.8217,865.1184,864.87665,865.4231,866.5051,867.2384,867.49646,867.4953,867.38525,867.03235,866.5659,866.20966,866.1234,866.1514,866.35126,866.9157,867.56604,868.0016,867.8988,867.5579,867.1499,866.74097,866.2443,866.1793,866.6739,867.5974,868.4108,869.17786,869.897,870.4672,870.8942,871.1752,871.3885,871.48456,871.48804,871.58154,871.81134,872.1556,872.50543,873.0099,873.651,874.0413,874.2053,874.2107,873.9599,873.43823,872.6942,872.02106,871.3181,870.6744
2025-11-12 01:09:48+00:00,2025-11-12 00:00:00+00:00,873.99896,873.33795,871.3717,872.0376,872.2519,871.815,872.0259,871.6149,871.22235,871.584,871.2107,871.23145,871.486,872.13446,872.86884,875.4399,877.8739,879.3713,880.2781,880.5891,880.5301,880.1085,879.5675,879.0014,877.62103,876.63654,876.15894,875.7935,875.9132,875.4371,874.60156,874.0,873.35095,873.23584,872.633,872.03265,872.11865,871.7592,871.8049,873.80426,878.09576,879.46674,879.48395,875.91235,874.8551,874.5111,874.007,873.88257,873.3698,873.95984,874.62976,874.47253,874.7508,874.6149,874.4358,874.54443,874.62823,874.31995,874.0969,874.1608,874.29156,874.7006,875.5082,876.4,876.6963,876.4543,875.9233,875.1465,874.34326,873.7699,873.3474,873.06274,872.3674,872.962,873.5907,873.78687,873.72205,873.2659,873.0041,872.96027,872.80804,872.71765,872.3887,872.1037,872.18744,872.466,872.9023,873.614,873.6412,873.4349,873.06274,871.98956,871.02277,870.6288,870.25287,869.9485,869.40466,869.5269,869.9605,870.4369,870.95496,870.9557,870.6315,869.9752,870.2367,870.0422,870.1326,869.7599,869.64514,869.7092,869.73145,870.6965,871.24365,871.0213,870.2687,869.3481,868.1176,867.2008,866.7497,866.6004,866.76227,867.3042,868.2328,868.83527,869.04736,869.0208,868.9067,868.7912,868.6518,868.5561,868.5861,868.72375,868.97754,869.52576,870.1674,870.72736,871.0721,871.32227,871.3866,871.11975,870.69916,870.32916,870.1254,869.94037,870.0217,870.61456,871.46185,872.06744,872.2552,872.3105,872.3901,872.7679,873.1746,873.6379,874.1338,874.7402,875.36707,876.2015,877.23627,878.07117,878.7535,879.34296,879.4541,878.9727,878.132,877.50385,877.09436,876.9186
2025-11-13 01:27:09+00:00,2025-11-13 00:00:00+00:00,877.16473,875.93134,874.40405,874.4467,874.1214,874.23096,873.7983,873.231,872.197,872.09796,871.3128,870.9159,871.0638,871.61896,872.0406,873.86163,878.0966,879.2028,879.1997,878.5201,878.2031,878.12427,877.9006,876.584,875.41064,874.5698,874.09393,874.7274,874.2327,873.4874,872.68427,872.21515,871.7622,871.3536,871.1552,871.4432,870.8684,870.79065,871.01495,872.72986,877.25305,879.39026,879.65326,875.4324,874.737,874.2042,873.70044,873.015,872.4998,873.1563,873.6341,873.80853,873.6998,873.8079,873.52423,873.1974,873.0441,872.95435,872.4769,872.23627,872.27625,872.27155,872.3797,873.3978,873.5354,873.4172,873.02637,872.2443,871.42456,870.82263,870.3338,869.83624,869.1027,869.6552,870.0048,870.48047,870.52167,870.47626,870.67194,870.4094,870.082,869.90405,869.62103,869.92194,870.04785,870.5014,871.1544,872.0365,872.15186,872.18945,871.4293,869.98773,868.7893,868.06995,867.7986,867.64703,867.4136,868.01044,868.7902,869.1381,868.90283,868.8992,869.5287,869.4804,868.70496,868.3962,868.0453,868.35443,868.12836,868.7318,869.4916,870.2731,870.5435,870.93365,870.7764,870.4859,870.0226,869.58954,869.27966,869.032,869.0735,869.6487,870.5014,871.24475,871.6211,871.74115,871.8603,871.8064,871.71075,871.61475,871.6218,871.82294,872.213,873.1646,874.38605,875.30444,875.57043,875.4081,875.1634,874.6992,874.1516,873.78436,873.68524,873.7609,873.895,874.2187,874.73566,875.1865,875.5514,875.8091,875.9139,875.75726,875.53326,875.1096,874.4314,873.7391,873.481,874.24866,875.4442,876.4279,876.8321,877.00714,876.84955,876.30237,875.521,874.9186,874.77704,874.9108
2025-11-14 01:10:30+00:00,2025-11-14 00:00:00+00:00,875.9738,874.61487,873.38385,873.85376,873.29987,872.6355,871.84296,871.67365,871.35657,871.7465,871.8373,871.46857,871.2046,871.07825,871.35944,873.33746,876.8426,877.9748,878.8254,878.78143,878.76996,878.6063,878.2948,877.35614,875.3785,874.8729,875.0484,874.70056,874.5482,873.2729,872.463,871.91376,871.288,870.8852,870.3493,869.8862,870.50354,870.79425,870.5286,871.8947,875.08594,876.45557,876.8018,873.19403,872.3275,871.57965,871.0508,870.56635,869.83105,870.3664,870.4803,870.6489,870.8619,870.9728,870.8412,870.7537,870.73004,870.90454,870.88226,870.66064,870.499,870.5578,871.1916,872.101,872.1535,872.00433,871.6726,870.5081,869.6521,869.0856,868.7026,868.1466,868.0619,868.5283,868.8364,869.2696,868.9896,868.6853,868.1559,867.7034,868.14026,867.675,867.69055,867.8146,868.0955,868.4589,868.7811,868.82733,869.08496,869.1172,868.8381,868.443,867.9178,867.72174,867.5734,867.49493,867.3436,868.172,868.5462,869.09564,869.51935,869.85614,870.24176,870.69916,870.7629,870.6908,870.6821,871.0672,871.12573,871.5514,871.98193,873.31445,874.1091,873.6128,872.7415,871.8903,870.8278,870.0088,869.64856,869.59186,869.7241,870.13184,870.7928,871.3003,871.5093,871.4841,871.4812,871.50037,871.4779,871.2763,870.7996,870.07245,869.76904,870.1018,870.86255,871.366,871.6312,871.71844,871.4262,870.5435,869.26953,868.46954,868.59735,869.08844,869.3799,869.0349,868.48346,867.91003,867.5206,867.20447,866.91705,866.768,866.7114,866.6254,866.30225,865.8381,865.58154,865.6748,866.0009,866.27527,866.62933,867.1096,867.1367,866.5875,865.7704,865.1227,864.84045,864.8074
