forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:14+00:00,2025-11-05 00:00:00+00:00,-6.294729,-5.8642526,-6.2141867,-7.5843883,-10.199819,-10.272384,-11.695023,-11.287511,-11.135044,-11.4284315,-11.055049,-11.019537,-10.539449,-9.462251,-9.589604,-7.321223,-6.300442,-5.7615433,-5.0528035,-5.4328823,-5.9490986,-6.1358485,-6.945287,-8.333728,-9.864517,-10.434838,-10.842902,-10.162897,-12.147957,-12.260444,-12.889512,-13.006835,-11.596517,-11.233418,-10.26976,-11.102833,-11.227035,-11.281572,-11.926604,-9.486957,-8.426248,-7.9572296,-8.555769,-8.561571,-8.411846,-8.789949,-11.307237,-10.803313,-11.461522,-5.831368,-5.8560586,-5.5421076,-5.1190195,-5.3312683,-5.404328,-4.9861846,-4.6059175,-4.616032,-4.003828,-3.8105068,-3.6221976,-3.5671449,-2.4738636,-3.521614,-3.8359668,-3.1821074,-3.0617106,-3.1168206,-3.2748077,-3.8842514,-4.1554294,-4.2789373,-3.6099234,-3.6873791,-3.7518604,-3.7155058,-4.055985,-4.810908,-5.3195386,-5.376106,-4.9586377,-5.037632,-5.253532,-5.0792756,-4.749331,-4.968656,-4.3847404,-4.2259517,-4.472746,-4.3448253,-3.7295053,-3.897503,-3.7600012,-3.4146495,-2.7250977,-2.3567772,-1.9321946,-2.6095147,-2.848035,-2.896638,-3.3259912,-3.2083097,-3.0888348,-3.1201284,-2.9237742,-2.997078,-3.170302,-3.3076599,-3.806982,-4.9384294,-5.7152596,-6.558263,-7.1634145,-7.1267,-7.068282,-6.9131784,-6.2710776,-5.998006,-5.785949,-5.418712,-5.20017,-4.6922493,-4.8761363,-4.557645,-4.57389,-4.6048236,-4.6054935,-4.6633883,-4.7338305,-4.771596,-4.865227,-4.9697285,-4.8594303,-4.8594303,-4.9248257,-4.6861763,-4.6190596,-4.3107624,-4.2692885,-4.0991316,-3.6174116,-3.502748,-2.8907685,-2.104327,-2.0172868,-2.4501207,-3.0129776,-3.532712,-3.5562363,-3.596686,-3.6531143,-3.7686498,-3.46689,-3.5777447,-3.3437774,-3.488415,-3.3287716,-3.148764,-3.0397334,-2.987477,-2.9275842,-3.164823,-3.1971726,-3.455472,-3.400465,-3.3143027,-2.814165,-2.8872411
2025-11-06 02:15:08+00:00,2025-11-06 00:00:00+00:00,-9.272043,-9.996112,-10.485016,-9.761793,-9.20238,-8.593863,-10.622255,-11.638038,-12.47681,-12.193226,-11.87215,-12.04646,-12.089264,-12.766934,-12.645836,-10.267877,-8.915886,-8.978807,-9.5089855,-7.969923,-6.905904,-7.201778,-10.934632,-10.312105,-11.035056,-11.367134,-11.249694,-10.924025,-11.37031,-10.707428,-10.727683,-10.841722,-10.549515,-10.79164,-10.720158,-10.740377,-10.738555,-10.400265,-10.2996855,-7.977791,-7.393177,-6.225718,-5.757795,-5.5366507,-5.1076984,-5.0588083,-5.588703,-5.628743,-6.856708,-2.2705567,-2.4394372,-2.9071975,-2.9762363,-2.923372,-2.7735026,-2.7235563,-3.2037227,-3.258644,-3.1967528,-3.1924157,-3.2896948,-2.987477,-2.6281834,-2.6690087,-2.8397715,-2.124112,-2.312857,-2.3400538,-1.8351567,-2.7664785,-3.8510022,-4.855747,-5.061461,-5.5421076,-5.5652847,-5.2469177,-5.404328,-5.333503,-4.7354174,-2.6808543,-3.1294615,-3.5332887,-3.892309,-4.3860598,-4.9248257,-5.5984726,-7.181625,-9.220297,-9.608406,-9.014333,-8.4042225,-7.5505824,-7.2285748,-7.0194097,-6.5971746,-6.301688,-5.285772,-5.560583,-4.774556,-4.3546143,-4.2086935,-4.264473,-5.749687,-6.3729863,-6.4545774,-6.4617825,-6.481717,-6.2000184,-6.55728,-6.432581,-6.522179,-6.7713428,-6.656156,-6.506349,-5.732611,-5.5891438,-5.1075854,-4.9938955,-4.82524,-4.429556,-4.268826,-4.3444133,-4.13117,-4.39931,-4.600456,-4.3107624,-4.428755,-4.4729724,-4.826383,-4.796377,-4.8227882,-4.8608437,-4.6861763,-4.5966554,-4.2833667,-4.289102,-4.2086935,-4.3126283,-4.7371855,-4.8673816,-4.671448,-4.5671763,-4.257069,-3.4767702,-3.2900229,-3.1899302,-3.531905,-3.8739603,-3.8843305,-4.485849,-4.562752,-4.616032,-4.6439786,-4.6450305,-4.661608,-4.6048236,-4.3404593,-4.1637917,-3.7221951,-3.4166915,-3.6432295,-3.7554646,-4.090666,-4.07085,-4.2156396,-4.2789373,-3.7185886,-3.6475265
2025-11-07 02:12:20+00:00,2025-11-07 00:00:00+00:00,-9.037038,-8.695435,-10.31576,-9.597413,-8.739627,-8.808703,-8.679663,-8.937094,-9.280408,-9.056578,-9.196815,-8.836273,-8.8420515,-8.800312,-8.284509,-5.5838895,-4.91385,-4.3957453,-4.032849,-4.389656,-4.0813293,-4.186293,-4.5794835,-5.542963,-7.182414,-7.5855765,-7.646498,-7.7041225,-7.729805,-7.9076366,-8.323992,-7.540051,-7.5653367,-7.7858057,-7.962201,-8.138614,-8.491488,-8.040588,-8.144572,-5.6972914,-5.1529107,-5.086428,-5.2398925,-4.389656,-4.204833,-4.186293,-4.660732,-4.9451423,-6.1826205,-6.3393373,-6.107792,-6.0421124,-5.9218774,-5.376106,-5.3713827,-4.746079,-3.777022,-3.5674512,-4.2386146,-5.044294,-8.129973,-9.956593,-10.304561,-9.967606,-9.349712,-8.713984,-8.4042225,-7.251928,-7.2710276,-6.63437,-6.850498,-6.808275,-5.7566786,-5.6896024,-5.396472,-5.384052,-5.256862,-5.344284,-4.517144,-4.2361965,-4.2833667,-4.341169,-4.364102,-4.8594303,-5.174698,-5.7781467,-5.867989,-5.9493446,-5.912639,-5.5558434,-5.5465345,-5.457805,-5.202909,-5.7495003,-5.251819,-5.12743,-4.302464,-4.3444133,-4.485849,-4.4764256,-4.295824,-4.223061,-4.3847404,-4.7368855,-4.6938467,-4.707717,-4.414648,-4.816219,-4.865227,-5.0890627,-4.6105285,-4.7380238,-5.569955,-6.2284465,-5.8796806,-6.1228933,-5.937974,-5.790698,-5.2828236,-5.473527,-5.1064243,-5.2448573,-5.373447,-5.5315237,-5.631756,-5.671047,-5.732611,-5.7718163,-5.743456,-5.7324347,-5.7377396,-5.714567,-5.8462315,-5.6267962,-5.144136,-4.776119,-4.9081035,-4.9501276,-5.3287573,-5.459161,-5.185067,-5.405634,-5.5694036,-4.754342,-4.814509,-4.403697,-4.226255,-4.38719,-4.1420946,-4.1420946,-4.2280273,-4.5288234,-4.872667,-5.25958,-5.21035,-5.6422305,-5.3531046,-5.2230086,-4.426373,-4.2259517,-4.056169,-4.2601,-4.814509,-5.1026626,-4.955389,-5.2621503,-5.3840985,-5.2009554
2025-11-08 02:04:42+00:00,2025-11-08 00:00:00+00:00,-5.7004366,-6.8426247,-6.5962834,-6.08533,-6.472553,-6.9890075,-6.489931,-6.5955896,-6.7359614,-7.089802,-7.443709,-7.644574,-8.088598,-8.31065,-8.264072,-5.607455,-5.396741,-5.4128094,-5.1147647,-4.472532,-4.8408113,-4.9451423,-4.660732,-5.664039,-7.7118974,-8.329,-7.2795186,-9.749484,-9.531406,-10.084316,-10.335333,-10.48263,-10.008783,-7.2225103,-7.61148,-8.006928,-8.358512,-8.8420515,-8.550102,-8.661745,-8.374476,-7.993398,-7.7465916,-7.196788,-7.3689866,-7.3351436,-7.668156,-7.8746285,-8.706735,-4.217477,-3.8172288,-3.8150384,-3.9460642,-3.7407868,-3.2896948,-3.355498,-3.5671449,-4.0577602,-4.414648,-4.5071397,-4.6105285,-4.9248257,-5.059538,-5.0623856,-4.9946218,-4.6922493,-4.3016405,-4.302464,-4.490017,-4.2308817,-4.257069,-4.1742105,-3.6248279,-3.6601682,-3.3114924,-2.9908924,-2.9518921,-3.284726,-3.4131389,-3.46689,-3.8213308,-3.5225492,-3.5674512,-3.578162,-3.892309,-4.161613,-4.2386146,-4.1637917,-4.572686,-4.9501276,-4.9093194,-4.5885606,-4.443635,-4.0963273,-4.0963273,-3.47014,-3.6452544,-3.502748,-3.6695607,-3.446078,-3.5562363,-3.170994,-3.3287134,-3.0239325,-2.9999557,-3.121232,-2.950008,-3.1743276,-2.9519498,-3.3129997,-3.2227323,-2.600047,-3.338773,-3.497766,-3.878903,-4.480974,-4.7731037,-4.9963126,-5.2828236,-4.7128954,-4.939607,-4.4879947,-4.7685294,-4.38719,-4.3569307,-4.7437153,-4.6490836,-4.616032,-5.092922,-5.0792756,-5.2131524,-5.3635106,-5.1331315,-4.6928644,-3.8126488,-3.553019,-3.5702908,-4.0483093,-5.12743,-5.364695,-5.9385233,-6.3817425,-5.9385233,-5.323758,-4.920146,-4.6157928,-4.4719224,-4.7371855,-5.077909,-5.163101,-5.376106,-5.3713827,-4.9944534,-5.136284,-5.296966,-5.387997,-5.231883,-5.144136,-5.1257367,-4.774556,-4.7437153,-5.0360613,-5.3762197,-5.61035,-6.301924,-6.7424183,-7.103225,-6.3195033
2025-11-09 02:09:50+00:00,2025-11-09 00:00:00+00:00,-4.9049144,-5.9237375,-5.001239,-5.9793406,-6.082871,-6.271236,-6.2430806,-6.8647656,-7.3039713,-5.89586,-6.9086823,-7.4357557,-7.4771566,-8.4594345,-8.3150425,-7.653521,-7.1024213,-6.663327,-6.3647985,-5.7681203,-5.9303155,-6.4083605,-6.6707463,-6.87833,-7.36574,-8.113927,-8.194748,-10.139039,-10.697417,-11.384943,-11.342796,-11.472307,-11.5797,-12.230208,-12.533326,-12.054377,-10.947787,-11.440186,-11.137162,-9.873877,-9.971143,-9.1945715,-9.20238,-8.623451,-8.693761,-8.6493,-8.282392,-9.2217655,-10.378423,-3.8311982,-4.0132084,-3.7493176,-3.596686,-3.8284628,-3.988658,-4.075464,-4.042889,-4.0667753,-4.0577602,-4.104365,-4.026956,-4.2513885,-4.2962775,-3.933392,-4.513413,-5.7435403,-6.454895,-6.224722,-6.1974483,-5.323758,-5.2828236,-5.143863,-4.150835,-4.9095654,-4.4816976,-4.907537,-4.815017,-4.7437153,-5.1305985,-4.600456,-4.9486747,-4.907217,-4.6928644,-4.6496696,-4.5114536,-4.8407097,-4.3254194,-3.7686498,-5.0446153,-5.404328,-5.3287573,-5.3762197,-5.1026626,-4.9963126,-4.709876,-4.2789373,-3.735614,-3.2049432,-3.8365526,-4.783513,-6.191276,-6.335961,-7.007866,-6.977181,-6.5695267,-6.033706,-6.0742297,-5.916978,-5.8195424,-5.275758,-4.1315184,-3.1271718,-3.4840193,-2.2336216,-1.6520313,-1.467085,-2.1487176,-2.2286592,-1.8574903,-1.4566092,-1.7207614,-1.8868289,-2.6520352,-3.2900229,-3.2326748,-3.574657,-3.4548204,-3.4840193,-3.61935,-3.6867287,-3.7713654,-3.8284628,-3.6806533,-3.4131389,-3.2807019,-3.0648022,-3.2728245,-3.247482,-3.8141716,-3.0561717,-1.9391637,-0.7763833,1.00025,2.218591,2.757241,3.155744,3.591009,3.5638041,3.5916982,3.1585865,3.2076764,3.3473773,3.6508324,3.9064624,3.880161,3.2013807,2.52508,1.3421979,-0.365141,-2.0983942,-4.2962775,-6.9523535,-9.682551,-11.506241,-13.108565,-13.700542,-13.189863,-12.345658
2025-11-10 02:15:22+00:00,2025-11-10 00:00:00+00:00,-7.1123185,-7.687129,-7.1408243,-6.8647656,-8.226659,-9.072631,-9.992839,-9.435687,-9.154677,-9.292412,-9.400328,-9.338793,-9.286273,-8.930663,-8.726995,-6.2927976,-6.478131,-6.438136,-6.5780554,-6.092481,-6.2556825,-6.2238574,-6.601701,-6.7246566,-8.576912,-8.949949,-8.839776,-8.927273,-9.196815,-9.313052,-9.6655245,-9.545622,-9.897513,-9.922938,-9.650217,-9.669515,-9.848992,-9.968811,-9.875986,-7.659095,-6.7124567,-6.7310987,-6.7322745,-7.214043,-7.2231364,-6.996775,-8.243162,-8.561644,-10.404555,-4.810908,-4.779772,-5.2909017,-5.6743693,-6.057938,-6.1420774,-6.1197457,-6.205789,-6.031024,-6.2902746,-6.3942533,-6.4729924,-6.3499627,-5.6175504,-4.7324224,-6.2710776,-6.175073,-6.2330184,-6.504324,-6.347636,-6.441573,-5.9533815,-5.790698,-4.322334,-3.878903,-4.6566076,-5.204743,-6.0840874,-6.0421124,-5.5315237,-5.489124,-5.8022127,-5.8874516,-5.8186316,-5.815016,-6.031024,-6.6560993,-6.0742297,-4.9586377,-6.1680393,-5.0351357,-4.3142405,-4.4024587,-4.1781163,-5.010404,-4.6474476,-4.084002,-4.649542,-5.0030546,-5.064717,-5.440124,-5.607007,-5.664406,-5.7109165,-5.7011337,-5.6743693,-5.6282353,-6.0564246,-5.947674,-5.944618,-5.8735948,-5.6017823,-4.8616123,-4.4428763,-3.4602017,-2.6513102,-1.2494692,-0.28635883,0.7804637,0.7932927,-0.07097822,-0.5577613,-0.12040725,0.4870575,0.35847676,-0.5918856,-2.401004,-3.5800042,-4.4880424,-5.0330276,-5.4872766,-5.9870496,-6.703252,-7.2883153,-8.160252,-8.970441,-9.736882,-11.180857,-13.391711,-16.327261,-18.222858,-18.658062,-18.384361,-17.47284,-15.235339,-14.282479,-13.703896,-13.391711,-12.987121,-12.673168,-12.673168,-12.294743,-11.809087,-11.141744,-10.856771,-10.490083,-10.434751,-10.523675,-10.301369,-10.601352,-10.328675,-10.311756,-9.695667,-9.565288,-8.842697,-8.672707,-7.823035,-7.568234,-6.6560993
2025-11-11 02:07:57+00:00,2025-11-11 00:00:00+00:00,-6.260394,-7.4502273,-8.199303,-8.374476,-8.487238,-9.153523,-9.629797,-10.09577,-10.145807,-10.073486,-10.055848,-10.042706,-10.142302,-10.2079935,-10.297753,-8.09974,-7.321223,-6.9217477,-6.638277,-6.0482054,-5.9461665,-6.592738,-6.9107814,-7.1513405,-10.002358,-10.118157,-10.065488,-10.079634,-10.88362,-11.0512295,-11.088117,-10.977944,-11.446266,-11.642848,-11.728826,-11.688184,-11.001255,-11.129683,-11.261752,-9.941505,-8.183129,-7.6192117,-8.812406,-8.595922,-9.035157,-10.14405,-12.278816,-12.847067,-15.390357,-4.9512553,-5.690457,-5.899107,-6.3303833,-7.077647,-6.7340546,-6.512744,-6.3797884,-6.5919356,-6.888998,-6.956028,-6.8274794,-7.251928,-6.162766,-5.6743693,-7.701188,-7.536498,-7.6630087,-7.3778853,-6.6857514,-6.8674645,-6.0754085,-5.651297,-5.3566895,-5.0360613,-5.457805,-6.1680393,-6.5039067,-6.1252537,-6.3797884,-6.63437,-7.0587764,-7.1239533,-6.956028,-7.337251,-7.298879,-7.238689,-6.9373536,-6.184906,-6.217278,-6.316511,-6.380582,-6.019894,-3.8672936,-1.8151156,-0.2626607,0.056510165,-0.14539088,-1.3825364,-1.3104947,-0.6011793,-0.36855233,-0.060969405,-0.1471953,-0.15791607,-0.12552918,-0.25952604,0.008828547,0.35847676,0.26861677,0.40340444,3.9283838,4.4826326,5.1097307,5.279882,4.9700146,3.8071663,2.0530887,1.7889632,3.8448188,5.036738,4.944861,4.5786486,4.260831,4.0217433,3.7538993,3.761897,3.718769,4.0040503,4.4232683,4.6541677,4.8831778,4.8831778,4.8831778,4.737026,4.5908723,4.2389393,3.1758108,1.7202955,-0.09712262,-0.5466757,-0.27543375,0.04873803,0.662929,1.2710645,1.6213337,1.650118,1.5104889,1.5803659,1.5051348,1.6205434,1.718231,1.5246757,1.5968143,1.3896842,1.3430797,1.0755069,1.0904835,1.0277622,0.98767406,0.94766575,0.8694746,0.4285324,0.13709769,-0.51636076,-1.0456145,-1.438201,-0.94253606,0.1870909
2025-11-12 02:09:57+00:00,2025-11-12 00:00:00+00:00,-7.9971056,-8.940142,-8.83137,-8.781689,-8.207822,-8.237827,-8.754882,-8.850514,-9.010817,-8.505834,-8.215058,-8.259615,-8.526976,-8.458441,-8.75394,-7.4498386,-6.3817677,-7.1097145,-7.3351436,-7.3860283,-7.5122967,-7.407644,-7.969923,-8.40376,-11.050595,-11.552505,-10.9759035,-10.496007,-10.787554,-11.162501,-11.829362,-11.130477,-10.892814,-11.019537,-11.935554,-12.020328,-12.170349,-12.13207,-11.943794,-10.5685425,-8.936212,-8.581871,-8.567753,-8.314874,-8.75887,-8.841618,-8.76346,-10.570066,-11.895043,-5.12743,-4.3642507,-5.3566895,-6.191276,-6.8398566,-6.9658628,-7.1883407,-7.610763,-7.525773,-7.6956286,-7.507913,-7.238689,-7.5831447,-6.8953576,-6.2710776,-8.031573,-7.741599,-7.500072,-7.433311,-7.544384,-6.782502,-6.3817425,-5.817419,-5.638395,-5.6665387,-5.2448573,-4.4816976,-4.3444133,-5.163101,-5.5426116,-5.6896024,-5.8582144,-5.8302145,-5.8195424,-5.7814627,-5.6706815,-5.224051,-4.7520466,-3.7276947,-4.173322,-4.0483093,-3.6873791,-3.2748077,-3.2726555,-3.47014,-3.1389527,-1.8933705,-2.2693818,-2.4207788,-2.4244928,-2.19052,-1.817331,-0.4567906,-0.55733097,-0.6259292,-0.045922592,1.4393694,2.930564,3.5613077,3.578764,3.1659064,4.748979,6.5271726,6.008733,3.9753876,3.6760678,2.15816,0.24388576,-1.6522065,-2.3353422,-2.4244928,-1.7738808,-0.7664365,0.06959697,0.86988854,1.3161538,1.4355704,1.7669375,2.112764,2.140051,2.326593,2.1866872,1.9068596,1.7202955,1.9258116,2.019289,2.1866872,1.8245109,1.3658558,0.4996666,-0.4717252,-1.4115164,-2.0812054,-2.0181355,-1.9911393,-1.6579257,-1.0712945,-0.74176836,-0.6336693,-0.525012,-0.50425714,-0.49036872,-0.62122416,-0.44119248,-0.5450162,-0.39836025,-0.47258976,-0.27160403,-0.1459015,-0.2668286,-0.20685352,0.023335682,0.040976256,0.18802193,0.24141839,0.55587775,0.8014783,1.1725236,1.1348834
2025-11-13 02:27:17+00:00,2025-11-13 00:00:00+00:00,-9.477863,-10.163219,-10.477928,-10.745899,-10.799825,-11.302685,-11.1769495,-10.677394,-10.805688,-10.5685425,-10.740377,-10.781707,-10.704814,-10.781983,-10.256897,-9.149831,-7.595819,-7.940711,-8.690072,-8.355017,-7.924786,-9.271598,-9.115219,-8.798332,-11.28799,-11.951981,-11.613817,-12.141612,-12.652497,-12.518674,-12.141234,-12.799457,-12.965357,-13.1482315,-13.036962,-13.205774,-12.303306,-12.68866,-12.817135,-10.78334,-8.766203,-7.745084,-7.257616,-7.5122967,-6.0692577,-4.413611,-1.7783695,-1.5753249,-3.6142023,-3.8194141,-2.6945605,-1.4115164,-1.4263273,-1.817331,-1.7692168,-2.0095437,-2.2215476,-2.4039633,-2.4667616,-2.4971182,-2.8983123,-2.8965032,-2.5911448,-1.4008046,-2.5799925,-2.5103264,-1.9509417,-1.5043803,-1.7930917,-1.8096937,-1.9406909,-1.9822938,-1.7510247,-1.4194047,-1.9718322,-1.6522065,-0.45550504,0.42763585,1.8482151,1.9063588,1.3513616,1.408113,1.3658558,1.7855995,1.6482626,1.5567005,1.7720937,2.3558676,3.1741178,3.9248195,3.566066,4.801994,5.628216,5.4134254,4.891671,5.119841,4.5884604,4.4058957,4.402129,4.4710994,4.448835,4.827214,4.92298,4.875799,4.98903,4.7981954,2.518004,2.0007386,1.8596002,1.7992384,1.7390003,1.6674796,1.3161538,1.1904227,1.0932862,0.583111,0.17548372,-0.19141857,-0.5017001,-0.58985794,-0.41255912,-0.24666685,-0.5129471,-0.25952604,-0.020540472,0.2674413,0.3362569,0.39456365,0.3451132,0.3821798,0.15040629,0.27430728,0.27430728,0.5794788,1.2714043,1.7855918,2.6530163,3.8368845,4.2736154,3.6760678,2.727053,1.6439213,1.5549545,1.5263667,1.7957385,2.1191807,2.7268949,3.5197985,4.822466,5.813097,6.2769885,5.481622,3.9117918,2.7466917,3.0695076,4.0000844,4.8729787,5.3626943,5.4875774,5.8000045,6.011352,6.230731,6.2908983,5.9020653,5.3828354,4.8599873,4.843923,5.338258
2025-11-14 02:10:39+00:00,2025-11-14 00:00:00+00:00,-6.306341,-6.7006454,-7.6197047,-8.403181,-8.540852,-8.668694,-8.461019,-8.331209,-8.44381,-8.4594345,-8.578286,-8.57972,-7.9512033,-8.353472,-8.353472,-6.7103486,-5.5382743,-4.7008824,-4.522765,-4.197538,-4.0401645,-2.929282,-2.5181124,-2.23693,-4.2808948,-4.2685723,-3.2124546,-2.3723195,-3.2310514,-3.7415764,-3.7544575,-4.0238185,-4.0359325,-4.0394588,-4.418987,-4.5130925,-4.45467,-4.570303,-4.570306,-2.6167147,-1.5521722,-2.1502092,-1.8974762,-1.3429338,-1.0445338,-1.2835561,-1.6166632,-2.3610218,-4.322578,-1.1824385,-0.68279195,-0.25387174,-0.7194868,-1.109442,-1.2438364,-1.4821438,-0.8236522,-0.49233654,-0.2599878,-0.0009862982,0.15973133,0.31215078,0.72981703,1.9073405,3.5006804,4.228733,4.3053436,4.3555098,4.707702,4.532944,4.97671,4.9389124,4.210741,3.427842,4.0736604,3.5556445,2.7359788,1.6270095,0.5065936,0.25356394,0.53446305,0.82488203,0.58966845,0.48575863,0.6487917,0.7973661,0.9618049,0.8699142,0.66028535,0.68670964,1.0024256,0.583111,0.28578463,-0.07649817,-0.5862721,-0.7170519,-0.24666685,-0.18073769,-0.21518317,-0.12557682,0.094063036,0.13073641,0.34315145,1.0849816,1.5570334,1.7388504,1.9021553,1.7613522,1.9066826,1.9023999,2.1303601,2.5663717,2.5954955,3.072659,2.3806467,1.2119645,-0.8499074,-3.1471894,-4.3871913,-5.022814,-5.120505,-4.6577563,-3.8172288,-2.706919,-1.7787331,-0.99881524,-0.50732,-1.042861,-1.8581225,-2.2200298,-1.5124053,-0.379247,0.5539794,1.4523246,2.270184,2.812191,3.2756078,3.5425792,3.5921621,3.189998,2.2015734,1.5484531,1.7441647,2.3675015,2.4755154,1.9212866,0.899176,-0.36445594,-1.8620669,-3.1654625,-3.9780135,-3.8929715,-3.0814826,-2.5759716,-2.5342302,-2.6617458,-2.8525312,-3.0579746,-3.0761137,-3.2470145,-3.453239,-3.9844306,-4.624277,-5.402474,-6.152273,-6.416889,-6.109589,-5.5294647
