forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:26:57+00:00,2025-11-05 00:00:00+00:00,60.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,214.0,417.25,582.5,691.5,735.0,705.0,608.0,448.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,225.0,425.0,588.0,691.0,713.0,686.0,592.0,441.0,248.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,196.0,392.0,554.0,662.0,703.0,676.0,583.0,434.0,242.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,188.0,384.0,544.0,650.0,692.0,666.0,574.0,423.0,236.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,185.0,380.0,540.0,648.0,698.0,674.0,583.0,435.0,254.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,166.0,327.0,497.0,630.0,687.0,669.0,582.0,434.0,252.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,161.0,322.0,492.0,626.0,683.0,664.0,577.0,429.0,248.0
2025-11-06 01:14:43+00:00,2025-11-06 00:00:00+00:00,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,205.0,405.5,567.75,685.0,725.0,695.0,596.0,435.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,215.0,409.0,568.0,671.0,697.0,671.0,579.0,430.0,240.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,189.0,384.0,543.0,649.0,691.0,665.0,575.0,428.0,239.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,187.0,384.0,546.0,653.0,695.0,669.0,577.0,376.0,187.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,184.0,380.0,540.0,647.0,697.0,673.0,582.0,434.0,252.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,161.0,321.0,491.0,625.0,682.0,665.0,578.0,430.0,249.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,133.0,273.0,428.0,552.0,600.0,579.0,504.0,384.0,229.0
2025-11-07 01:11:57+00:00,2025-11-07 00:00:00+00:00,57.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,191.75,388.0,547.25,653.0,693.0,665.0,568.0,412.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,190.0,384.0,532.0,636.0,689.0,664.0,573.0,424.0,235.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,187.0,384.0,544.0,651.0,693.0,667.0,575.0,426.0,236.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,182.0,378.0,538.0,644.0,686.0,661.0,570.0,421.0,232.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,181.0,377.0,538.0,646.0,696.0,671.0,580.0,431.0,249.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,157.0,315.0,484.0,614.0,668.0,645.0,554.0,403.0,226.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,124.0,272.0,454.0,607.0,671.0,651.0,563.0,418.0,240.0
2025-11-08 01:04:23+00:00,2025-11-08 00:00:00+00:00,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,196.5,396.25,557.25,668.0,704.0,676.0,579.0,423.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,211.0,407.0,566.0,671.0,694.0,668.0,576.0,427.0,237.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,182.0,376.0,535.0,641.0,683.0,657.0,567.0,419.0,231.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,180.0,376.0,536.0,642.0,684.0,658.0,566.0,417.0,228.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,177.0,371.0,531.0,637.0,687.0,663.0,573.0,425.0,245.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,153.0,310.0,477.0,610.0,668.0,652.0,567.0,421.0,241.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,151.0,308.0,477.0,611.0,669.0,652.0,567.0,421.0,240.0
2025-11-09 01:09:34+00:00,2025-11-09 00:00:00+00:00,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,195.75,395.0,558.75,672.0,711.0,682.0,584.0,427.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,208.0,402.0,560.0,664.0,686.0,661.0,570.0,421.0,232.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,181.0,377.0,538.0,645.0,688.0,662.0,569.0,420.0,229.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,177.0,372.0,531.0,635.0,648.0,652.0,534.0,412.0,226.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,166.0,363.0,521.0,626.0,677.0,652.0,563.0,416.0,238.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,146.0,299.0,464.0,595.0,654.0,639.0,555.0,410.0,232.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,137.0,262.0,373.0,460.0,516.0,529.0,478.0,360.0,207.0
2025-11-10 01:14:57+00:00,2025-11-10 00:00:00+00:00,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,188.25,385.75,548.0,660.0,699.0,669.0,572.0,417.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,207.0,401.0,560.0,665.0,692.0,667.0,575.0,424.0,232.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,177.0,372.0,533.0,635.0,599.0,570.0,452.0,391.0,227.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,145.0,352.0,526.0,636.0,683.0,649.0,567.0,418.0,228.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,164.0,354.0,510.0,614.0,664.0,640.0,552.0,409.0,234.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,142.0,297.0,471.0,612.0,675.0,662.0,577.0,428.0,244.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,144.0,301.0,470.0,604.0,663.0,646.0,561.0,415.0,236.0
2025-11-11 01:07:41+00:00,2025-11-11 00:00:00+00:00,49.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,189.75,388.5,551.25,665.0,705.0,675.0,578.0,421.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,204.0,400.0,558.0,663.0,682.0,656.0,565.0,415.0,228.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,111.0,362.0,473.0,616.0,683.0,640.0,568.0,369.0,152.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,167.0,357.0,513.0,616.0,658.0,633.0,543.0,397.0,213.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,158.0,345.0,502.0,595.0,626.0,582.0,493.0,371.0,221.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,51.0,175.0,388.0,586.0,668.0,646.0,555.0,410.0,231.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,140.0,294.0,461.0,594.0,652.0,635.0,550.0,407.0,230.0
2025-11-12 01:09:38+00:00,2025-11-12 00:00:00+00:00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,184.5,382.75,544.25,657.0,696.0,666.0,571.0,412.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,95.0,378.0,505.0,562.0,676.0,569.0,463.0,400.0,229.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,165.0,355.0,511.0,614.0,655.0,630.0,541.0,396.0,213.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,160.0,348.0,507.0,612.0,654.0,630.0,541.0,397.0,213.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,153.0,338.0,493.0,598.0,647.0,624.0,537.0,395.0,223.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,140.0,293.0,458.0,589.0,647.0,631.0,549.0,406.0,230.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,116.0,257.0,423.0,557.0,610.0,585.0,492.0,341.0,175.0
2025-11-13 01:27:00+00:00,2025-11-13 00:00:00+00:00,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,177.25,375.5,539.25,647.25,696.0,666.0,495.0,380.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,196.0,388.0,543.0,642.0,655.0,631.0,542.0,395.0,214.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,158.0,346.0,501.0,603.0,645.0,620.0,533.0,390.0,209.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,153.0,338.0,491.0,595.0,638.0,616.0,531.0,388.0,207.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,156.0,345.0,502.0,608.0,659.0,636.0,549.0,404.0,228.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,118.0,243.0,369.0,466.0,511.0,501.0,432.0,307.0,163.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,89.0,199.0,327.0,435.0,490.0,487.0,418.0,286.0,141.0
2025-11-14 01:10:19+00:00,2025-11-14 00:00:00+00:00,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,180.0,377.25,539.0,624.0,659.0,614.0,546.0,378.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,184.0,372.0,525.0,625.0,645.0,620.0,532.0,389.0,196.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,158.0,343.0,495.0,596.0,637.0,614.0,529.0,387.0,207.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,155.0,345.0,502.0,607.0,650.0,626.0,538.0,394.0,210.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,148.0,333.0,488.0,556.0,568.0,505.0,405.0,286.0,158.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,102.0,227.0,374.0,486.0,509.0,458.0,372.0,267.0,149.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134.0,291.0,461.0,598.0,658.0,641.0,553.0,402.0,222.0
