forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:16+00:00,2025-11-05 00:00:00+00:00,798.9194,796.8154,796.10565,796.94366,795.9739,795.3954,794.6228,794.16064,794.7226,795.21594,793.9302,793.73596,794.2869,792.8763,792.7525,796.2972,800.7805,802.53644,803.0148,802.719,802.4693,802.1235,801.69745,800.60583,798.46826,797.36884,797.69916,796.7022,795.5289,794.88745,794.44977,794.5199,794.2304,793.10504,792.5303,792.44604,791.6572,792.28467,792.4427,794.38007,796.4814,797.3676,797.3952,797.49945,797.11176,796.70966,796.15814,795.2431,793.2011,791.0006,791.1061,790.7177,790.1085,790.99963,790.8134,790.02563,790.03265,790.14105,789.8632,790.1007,790.6215,790.95154,791.80695,793.5934,794.13007,794.07184,794.0294,793.22943,792.51855,791.8293,791.3537,790.9004,789.5331,789.75073,790.1649,790.2211,790.1425,790.0527,789.91595,789.7027,789.71313,789.5302,789.29224,789.2682,789.6926,789.98035,790.5949,792.3108,792.9992,792.65607,792.536,792.09314,791.501,791.37195,791.6541,791.9588,791.57855,792.47864,793.1794,795.639,795.5076,796.64734,796.97266,797.31146,797.8949,798.7975,798.8335,799.8239,800.1712,800.2923,800.6973,802.1469,802.51904,802.10596,802.6724,802.3711,801.851,801.3167,800.78973,800.4103,800.0801,800.05664,800.1132,800.2178,800.23267,800.2253,800.2253,800.16956,800.007,799.91486,799.70844,799.5725,799.64374,800.2615,801.08167,801.74445,802.21106,802.3748,802.29407,801.6314,800.67804,799.7159,798.5714,797.43164,796.731,796.8115,797.4998,797.8752,797.90344,797.76587,797.55005,797.29974,797.0492,796.79816,796.4779,796.1917,796.1834,796.677,797.4788,798.0901,798.315,798.3152,797.8963,797.054,795.92993,794.85724,793.8578,792.9413
2025-11-06 02:15:12+00:00,2025-11-06 00:00:00+00:00,799.481,798.36615,797.014,796.3847,795.68396,793.94055,793.8959,794.2324,793.79065,793.2272,794.0314,793.9082,793.75165,793.32666,792.90106,793.3381,795.5069,796.5115,796.6367,796.72687,796.4501,796.04755,795.62335,795.16693,793.0676,792.3077,792.1524,791.8363,791.57996,791.79333,791.5818,791.59424,791.13605,790.6965,791.3447,791.2772,791.50104,791.71216,791.8811,793.82544,794.9834,796.1885,796.80554,796.5633,795.73083,794.9114,793.9776,793.23254,791.3191,788.59607,788.9447,789.0695,788.9698,789.0145,789.04724,789.04596,789.04407,789.0413,788.88184,788.99023,789.09784,789.35114,790.00946,791.60626,792.33466,792.5182,792.44617,792.03735,791.4278,791.47845,791.5339,791.4656,791.18945,792.2103,793.5398,794.4508,794.93396,795.0359,796.998,797.34796,797.5158,798.1341,798.7082,799.3885,799.48834,800.1828,801.35803,802.198,802.21954,802.4424,802.3771,801.76855,801.48694,801.4164,801.23285,801.2581,800.51056,800.55176,800.37897,801.1922,800.57196,799.6902,800.2736,800.5118,800.58954,800.3036,800.1183,799.9809,799.8013,799.9622,800.3992,801.5693,802.1607,801.9661,801.57086,800.8515,799.79346,798.7528,797.7317,796.6683,796.0502,796.11755,796.5356,796.75354,796.6592,796.44305,796.1487,795.8542,795.55975,795.2649,794.8574,794.5278,794.36365,794.6761,795.1952,795.5957,795.76135,795.6733,795.3424,794.5528,793.4325,792.50354,791.917,791.547,791.41254,791.62756,792.1204,792.57904,792.713,792.8116,792.8982,792.99725,793.0855,793.1399,793.0581,792.9073,793.02936,793.5805,794.4037,795.18225,795.86316,796.4629,796.53613,795.9377,794.98193,794.0495,793.2258,792.4854
2025-11-07 02:12:24+00:00,2025-11-07 00:00:00+00:00,793.31586,792.43915,791.64746,790.68274,789.9612,790.5329,790.9797,791.67163,791.25793,791.19037,791.803,791.2537,790.40186,790.33014,790.69556,793.2353,795.40393,796.76105,797.27,797.3595,796.4353,795.37976,794.6023,793.7915,791.95496,790.8405,790.4386,790.57385,790.68536,790.8538,790.6324,790.08606,790.00714,789.75885,789.21686,789.2131,789.4232,790.1599,790.9005,792.8573,794.6182,796.17145,796.9398,797.2268,797.007,796.6184,796.318,795.8316,794.59485,791.51715,792.42065,793.27563,794.6684,795.204,795.01996,796.654,797.2486,798.202,798.45123,798.1235,798.9285,799.3435,800.3056,801.54224,801.2536,801.506,801.68713,801.3395,800.58026,800.77936,801.38,801.4799,799.9858,799.8285,799.85596,800.2806,800.23267,800.64233,800.5366,800.33234,800.02106,799.7306,799.2905,799.161,799.36487,799.3712,799.85425,801.21185,801.8017,801.62415,801.21173,799.9413,798.9182,798.0758,797.45245,796.7325,795.5347,796.0159,796.3039,796.2203,796.29224,795.9986,795.55804,795.2732,795.1604,794.86633,794.3985,794.1567,794.3382,794.05255,794.20844,795.03955,795.8992,795.90424,795.40314,794.5617,793.3733,792.39355,791.8181,791.4686,791.3362,791.56177,792.0539,792.5119,792.75653,792.9658,793.0855,793.1941,793.2143,793.31213,793.273,793.23334,793.51105,794.25354,795.23486,796.1291,796.73773,797.23315,797.37695,796.9745,796.323,795.48615,794.50146,793.4651,792.83386,793.1043,793.85333,794.513,794.90436,795.1728,795.36273,795.5527,795.6309,795.60864,795.32776,794.94336,794.9064,795.545,796.645,797.43115,797.94147,798.1513,798.12714,797.59326,796.8126,795.976,795.1211,794.2057
2025-11-08 02:04:45+00:00,2025-11-08 00:00:00+00:00,792.0585,790.72437,789.8784,790.48364,789.8264,790.1177,789.33734,789.3929,789.572,789.9297,790.09607,789.44385,789.1965,789.48505,790.514,792.90204,794.41315,795.50024,795.9965,796.15607,796.16486,796.26166,796.2759,795.8601,794.4128,793.894,794.0314,794.758,794.87714,795.1999,794.753,795.02344,795.6145,795.3716,795.65497,795.3439,795.0825,795.0494,794.3389,796.14197,796.8494,798.44946,799.8083,801.1031,801.6645,802.1348,802.3952,801.9678,800.59784,798.84326,799.3888,799.25604,799.3383,800.2714,800.1239,799.7744,799.5994,799.3613,798.889,798.9106,799.0382,799.1583,799.7451,801.4087,802.0028,801.637,801.4582,800.28424,799.2446,798.4134,797.8898,797.3901,796.0547,796.1804,796.6594,796.6112,796.4162,796.0737,795.6771,795.3492,794.93396,794.5622,794.0086,793.57635,793.35114,793.38574,793.6454,794.60004,795.2832,795.3043,794.6374,793.5539,792.48035,791.51086,791.40894,791.6072,791.08435,791.23804,791.57275,792.01904,792.7349,792.61945,792.62695,792.66766,792.85345,792.9608,793.02386,793.37994,793.58905,794.007,794.5966,796.76746,797.782,797.9485,797.9649,797.63983,797.03406,796.3082,795.3893,794.4083,793.7479,793.81934,794.2222,794.6129,794.75726,794.7682,794.7894,794.787,794.63806,794.6342,794.5956,794.5467,794.815,795.69354,796.80914,797.72174,798.198,798.3807,798.2613,797.6289,796.79785,795.87964,794.973,794.03436,793.5153,793.8643,794.65826,795.21735,795.2952,795.05945,794.9352,794.84424,794.7531,794.6616,794.46796,794.1954,794.27344,794.92664,795.89453,796.6933,797.1547,797.33905,797.1854,796.4089,795.2926,794.17163,793.038,791.8447
2025-11-09 02:09:53+00:00,2025-11-09 00:00:00+00:00,795.3757,794.11646,795.19995,795.3372,795.0261,794.2822,793.7045,795.25244,794.9209,795.17596,794.8052,795.1655,795.7374,796.61255,796.0928,797.0779,797.6259,798.7744,799.95264,800.4628,801.1565,801.85284,802.08,801.3968,799.8951,799.1444,799.25934,798.5411,798.5278,798.7775,798.8047,798.67554,797.8787,797.23645,796.1151,795.49115,795.10394,795.45483,795.5125,797.7988,800.5095,803.5636,804.71423,804.8947,804.9518,804.61945,804.0363,802.98553,800.4841,796.75305,797.1191,797.0695,797.1666,796.84766,796.34717,795.8713,795.71533,795.1871,794.5117,794.2864,794.25165,794.269,794.50275,795.601,796.07776,795.65265,795.0032,794.00977,793.39996,792.9665,792.7633,792.34216,791.7043,792.44464,792.64624,792.465,792.7652,793.2342,793.0516,792.9598,793.08215,793.15594,793.1658,793.06775,792.57074,792.99603,793.6975,796.25146,797.38995,797.60834,797.1002,796.3773,795.2967,794.40717,794.19586,793.86316,792.55176,793.0701,793.61847,794.17737,793.4709,793.36707,793.3332,793.9416,793.6145,793.37427,793.1602,793.0581,793.2242,793.5463,794.22955,795.4967,796.3091,796.1947,795.9025,795.1899,794.1212,793.1234,792.1433,791.256,790.7137,790.6864,791.058,791.2488,791.2156,790.9358,790.66785,790.2436,789.6844,789.19147,788.7316,788.1926,788.00256,788.19507,788.7009,788.9359,788.82477,788.5365,787.97107,787.15155,786.26086,785.39545,784.80524,784.4524,784.1066,783.9553,784.0433,783.9388,783.75323,783.45337,783.18445,782.8348,782.40466,782.09357,781.76385,781.4716,781.4605,781.7605,782.3472,782.8754,783.337,783.81476,784.03076,784.02026,783.7837,783.70575,783.8482,784.1345
2025-11-10 02:15:25+00:00,2025-11-10 00:00:00+00:00,799.77893,797.8024,797.54047,797.7796,797.7052,797.3035,797.5504,796.16864,796.61475,796.6213,796.38165,795.9348,795.5235,795.9473,796.9707,798.5264,802.0796,804.2337,804.7078,804.99927,805.437,805.0815,804.46063,803.2309,800.73895,799.3304,798.97943,797.85516,797.1998,797.2246,796.46576,796.0413,795.6695,795.19415,796.09735,794.70935,795.2233,795.3111,795.8193,796.92004,799.98175,800.8401,800.65234,799.9954,799.76715,798.9624,798.0286,796.7985,795.2301,792.89197,793.0031,793.14746,793.57025,793.78125,793.69,793.8226,793.955,794.09753,793.79034,793.81,794.02893,793.8873,794.2949,796.8665,797.6985,798.3395,798.1629,797.36383,796.31305,795.57275,795.14355,794.79224,792.59,793.30566,793.8197,794.1545,793.98425,793.995,794.2098,794.311,793.849,794.06244,793.2623,793.29614,793.1802,793.3561,794.2336,795.3397,796.2101,796.0639,795.5319,794.45544,793.341,792.66156,792.2781,791.71814,790.13824,790.9545,791.2345,791.1247,791.168,790.5433,790.0084,789.7182,789.0368,788.3427,787.6484,787.03174,786.6383,786.4348,786.3466,787.1489,787.3321,786.65485,785.9338,784.9783,783.7463,782.72485,781.94037,781.24585,780.90344,781.13715,781.6218,781.93494,781.7907,781.53925,781.176,780.85455,780.50995,780.18146,779.9443,779.7298,779.8546,780.3307,781.033,781.7905,782.50665,783.1913,783.6833,783.9428,784.0484,784.1688,784.1869,784.216,784.4122,784.95575,785.639,786.2793,786.7574,787.1157,787.3246,787.3121,787.14874,787.1287,787.17505,787.3659,787.7376,788.33075,789.0605,789.54193,789.7501,789.6184,789.3327,788.7174,787.92444,787.2346,786.6147,786.1278
2025-11-11 02:08:00+00:00,2025-11-11 00:00:00+00:00,799.5509,797.2729,796.4955,796.37976,796.4876,796.7559,796.9776,796.65173,795.4438,793.7825,793.5907,793.2696,793.40875,793.6234,793.7192,796.51227,799.10547,799.6013,799.51324,799.2841,799.2726,798.6894,798.1352,797.15924,795.4218,795.38696,795.45764,795.19354,794.0868,793.379,794.48956,794.7243,793.30084,793.46985,793.4546,793.1728,792.6622,792.62305,793.56964,794.7963,797.6693,799.5247,800.3863,800.46356,800.05255,799.64166,799.05365,797.8142,795.23193,792.7691,793.61847,793.85333,794.5467,794.8479,794.43475,793.9523,793.82794,794.0518,794.0751,793.5441,793.5644,793.80914,794.8077,796.07825,797.0935,797.26794,797.0302,795.46857,794.44775,794.42285,793.8169,793.20544,791.9857,791.8964,791.90546,792.35114,792.5517,792.40594,792.0565,792.04626,791.6762,791.5503,790.9414,790.58984,790.795,791.0046,791.6242,793.1377,793.67175,793.59717,793.202,792.1262,790.99585,790.20917,789.75183,789.1109,787.7972,788.1114,789.69324,789.2702,788.74304,788.3883,787.8306,787.12604,786.5548,786.47675,786.47675,786.1494,786.4304,786.47473,787.76215,787.22174,786.91974,786.99146,787.7198,787.10455,786.2431,785.4852,785.0364,784.592,784.2601,784.0266,783.8756,783.7953,783.91595,784.22906,784.23865,783.70245,782.98444,782.41376,782.2582,782.32733,782.36206,782.29285,782.15405,781.9719,781.7899,781.68555,781.522,781.54095,781.5737,781.5276,781.3745,781.2557,781.2985,781.95593,782.81055,783.3971,783.4857,783.2263,783.1436,783.26746,783.3817,783.4876,783.39526,783.2957,783.4088,784.0449,784.8924,785.6734,786.4269,787.0936,787.3233,786.77997,785.7085,784.91547,784.4994,784.2324
2025-11-12 02:09:59+00:00,2025-11-12 00:00:00+00:00,794.95044,793.6171,793.7408,793.30725,793.4337,792.6002,791.2506,791.82623,791.8051,792.27185,791.9794,792.6157,792.49005,792.40375,792.5642,793.88617,797.45166,798.46436,799.6762,800.0133,800.09937,800.05566,799.70715,798.46466,796.1023,795.197,795.1923,795.6056,795.5735,795.70807,795.39496,794.3889,793.997,794.91364,794.7804,794.3107,794.32086,794.2049,794.7963,796.7367,799.4727,800.6708,800.85486,800.8824,800.26953,799.6393,799.10046,798.0503,795.6899,793.7932,794.37213,794.2433,794.21075,793.382,793.2003,793.09875,793.1092,792.93945,792.7832,792.7155,792.87177,792.67316,793.2682,794.76996,795.4915,795.53986,795.18567,794.2499,793.5628,792.91583,792.502,792.0609,789.69543,790.109,790.60065,790.83527,791.0364,790.83435,790.9462,790.6762,790.40576,790.50464,790.2127,789.67267,789.40015,789.86835,790.2925,792.1095,793.13293,793.3504,793.0556,791.797,790.7718,790.10736,789.5858,789.1451,788.5683,788.506,788.7216,788.85645,789.1129,789.13605,788.9138,788.5563,788.16473,787.4689,786.9875,786.5502,786.3227,786.08466,786.3042,787.69586,788.2318,786.7378,786.5422,786.5707,786.69104,786.663,786.1413,785.2953,784.8874,785.20245,785.7721,786.3642,786.63416,786.8509,787.02405,787.04114,786.9372,786.79834,786.71045,786.5871,786.63763,787.0458,787.6626,788.2613,788.8216,789.34625,789.5802,789.3717,788.99207,788.6344,788.37744,788.1792,788.11707,788.40814,788.91785,789.36346,789.73303,790.0791,790.3552,790.4556,790.4073,790.5417,790.78186,791.20575,791.7286,792.51245,793.4713,794.2411,794.8995,795.3444,795.4632,794.9777,794.0638,793.3003,792.6934,792.18695
2025-11-13 02:27:19+00:00,2025-11-13 00:00:00+00:00,796.99677,795.511,795.02185,794.6004,794.4113,794.62366,794.4113,794.63477,794.4782,794.6797,794.45593,794.09796,793.491,793.5295,793.9601,795.51685,798.16895,799.68506,800.05994,800.4039,799.96375,799.6837,799.26965,798.3108,796.0022,795.23553,795.14856,794.83624,794.2207,794.825,794.9145,795.39496,794.85864,794.09796,793.9619,793.6812,793.2983,793.65515,794.0901,794.6193,797.3193,800.18494,801.1258,800.6228,800.23,799.7098,799.10834,798.1554,796.284,791.10297,791.6173,791.7518,791.8639,791.5845,791.51715,791.4717,791.1345,791.0879,790.7286,790.43665,790.4571,790.5314,790.83356,792.34424,793.421,793.59094,793.22736,792.17584,791.3471,790.6219,790.2238,789.67126,788.48676,789.5999,789.5872,789.6804,789.63745,789.4721,789.41675,789.338,789.1362,788.96783,788.7884,788.68713,788.5623,788.3796,788.814,789.97546,790.2103,789.8373,789.15686,788.2579,786.8237,786.2168,785.3476,785.26697,785.8949,786.62366,786.01556,786.64825,787.15027,787.2438,787.30286,786.20215,785.7866,785.6656,785.4738,785.4902,785.5649,786.144,786.4003,787.22217,788.3165,788.97015,789.09045,788.9698,788.5985,788.07196,787.4505,786.66473,786.3042,786.52673,787.2213,787.6814,787.8027,787.65436,787.64404,787.72974,787.8854,787.9632,787.8664,787.699,787.8897,788.77606,789.9397,790.85706,791.2046,791.3667,791.2491,790.9026,790.28687,789.89557,789.7182,789.6507,789.8378,790.29395,790.9289,791.41815,791.7363,791.8629,791.9009,791.7106,791.43286,791.23315,791.35486,791.5639,791.80695,791.9813,792.07733,792.22424,792.50604,792.7116,792.7523,792.3406,791.6478,791.09845,790.8135,790.62415
2025-11-14 02:10:42+00:00,2025-11-14 00:00:00+00:00,795.969,794.1742,794.29956,794.2659,794.076,794.1762,794.0523,793.7948,794.1089,793.69366,793.53534,793.01953,792.5376,792.7926,793.64465,794.33154,796.5264,798.8288,799.93146,799.4942,799.15186,798.396,797.66797,796.8086,794.91174,794.08746,793.71375,793.4241,793.08936,793.4592,793.40424,792.9468,792.2871,791.98553,791.53876,791.26984,790.96655,790.86304,790.78204,793.0443,795.92377,797.62787,798.4318,797.89636,797.0135,796.33514,795.7501,794.7033,792.7436,789.15607,789.65894,789.78235,790.1502,789.68384,789.55096,789.4944,789.51624,789.60516,789.3585,789.09875,788.7935,788.7596,789.1839,790.31055,790.68475,790.2364,789.58185,788.5719,787.5924,786.1124,786.5958,785.9513,786.54535,785.4292,786.3314,786.6779,786.96326,786.79834,786.8741,786.7775,786.1168,786.1168,786.1168,786.062,786.16943,786.45953,786.7631,787.4106,787.4306,787.93604,788.24365,787.77094,787.2258,787.0151,787.0487,786.82513,786.09924,786.2971,786.7644,786.77167,786.4315,786.28375,786.1091,785.8288,785.34985,785.0965,785.693,786.3807,786.34576,786.1945,786.25256,787.3615,787.7366,788.07745,788.1093,787.66235,786.97845,786.4521,786.15295,785.94324,786.0311,786.5971,787.46313,787.8885,787.69794,787.0565,786.5283,786.064,785.53467,785.23834,785.1817,785.2444,785.4128,785.72974,786.04004,786.30853,786.37964,786.3663,786.2263,785.9438,785.6075,785.2998,784.97766,784.6083,784.50415,784.69415,785.038,785.1894,785.1479,784.9133,784.71277,784.58307,784.4108,784.4245,784.5103,784.7059,785.12463,785.80743,786.7496,787.44336,787.78406,787.81525,787.66797,787.07477,786.32275,785.71716,785.41235,785.32745
